Client,Order,Payment Status,Total,Remaining Balance,Currency,Delivered,Receipt Number,Order Date,Latest Delivery Date,Payment Method,Warehouse
CO,7032,Payment Pending,"$3,456.00","$3,456.00",MXN,Yes,A3960,3/18/2020,3/24/2020,To be determined,Finished Product
TR,7031,Finalized,"$54,926.09",$0.00,MXN,Yes,A3941,3/18/2020,,Online Transfer,Finished Product
CO,7030,Payment Pending,"$30,276.00","$30,276.00",MXN,Yes,A3959,3/18/2020,3/25/2020,To be determined,Finished Product
CA,7023,Finalized,"$1,712.16",$0.00,MXN,Yes,A3937,3/17/2020,3/20/2020,Online Transfer,Finished Product
MA,7022,Finalized,$860.99,$0.00,MXN,Yes,A3931,3/17/2020,3/19/2020,Online Transfer,Finished Product
RO,7021,Finalized,$429.20,$0.00,MXN,Yes,A3939,3/17/2020,3/19/2020,Online Transfer,Finished Product
ES,7019,Payment Pending,$960.00,$960.00,MXN,Yes,A3971,3/13/2020,3/20/2020,Online Transfer,Finished Product
JA,7018,Finalized,$295.00,$0.00,MXN,Yes,A3979,3/13/2020,,Online Transfer,Finished Product
FA,7017,Payment Pending,"$30,048.41","$30,048.41",MXN,Yes,A3927,3/13/2020,3/18/2020,To be determined,Finished Product
YO,7014,Finalized,$861.20,$0.00,MXN,Yes,A3904,3/12/2020,3/19/2020,Online Transfer,Finished Product
CO,7012,Payment Pending,$180.00,$180.00,MXN,Yes,A3905,3/12/2020,3/13/2020,To be determined,Finished Product
TI,7010,Payment Pending,"$1,000.99","$1,000.99",MXN,Yes,A3936,3/12/2020,3/19/2020,To be determined,Finished Product
TI,7009,Payment Pending,"$1,668.31","$1,668.31",MXN,Yes,A3935,3/12/2020,3/19/2020,To be determined,Finished Product
TI,7006,Payment Pending,"$7,340.57","$7,340.57",MXN,Yes,A3934,3/12/2020,3/19/2020,To be determined,Finished Product
TI,7005,Payment Pending,"$1,008.00","$1,008.00",MXN,Yes,A3933,3/12/2020,3/19/2020,To be determined,Finished Product
TI,7004,Payment Pending,"$1,334.65","$1,334.65",MXN,Yes,A3932,3/12/2020,3/19/2020,To be determined,Finished Product
NE,7003,Finalized,"$3,493.92",$0.00,MXN,Yes,A3938,3/12/2020,3/19/2020,Online Transfer,Finished Product
FE,6997,Finalized,$429.20,$0.00,MXN,Yes,A3940,3/12/2020,,Online Transfer,Finished Product
WA,6996,Payment Pending,"$4,773.60","$4,773.60",MXN,Yes,A3943,3/12/2020,3/17/2020,To be determined,Finished Product
TI,6993,Payment Pending,"$9,697.51","$9,697.51",MXN,Yes,A3928,3/11/2020,3/18/2020,To be determined,Finished Product
MA,6991,Finalized,$720.00,$0.00,MXN,Yes,A3929,3/11/2020,3/17/2020,Online Transfer,Finished Product
FO,6990,Finalized,"$3,696.00",$0.00,MXN,Yes,A3902,3/11/2020,3/13/2020,Online Transfer,Finished Product
RI,6988,Finalized,$429.20,$0.00,MXN,Yes,A3901,3/10/2020,3/13/2020,Online Transfer,Finished Product
RI,6986,Finalized,"$7,762.00",$0.00,MXN,Yes,A3946,3/10/2020,3/24/2020,Online Transfer,Finished Product
ZI,6984,Finalized,"$78,508.80",$0.00,MXN,Yes,A3926,3/9/2020,3/10/2020,Online Transfer,Finished Product
BI,6982,Payment Pending,"$2,724.48","$2,724.48",MXN,Yes,A3906,3/9/2020,3/13/2020,To be determined,Finished Product
CO,6981,Payment Pending,"$11,088.00","$11,088.00",MXN,Yes,A3907,3/9/2020,3/13/2020,To be determined,Finished Product
CO,6978,Payment Pending,"$25,040.34","$25,040.34",MXN,Yes,A3898,3/6/2020,3/11/2020,To be determined,Finished Product
FA,6976,Finalized,"$12,388.80",$0.00,MXN,Yes,A3903,3/5/2020,,Online Transfer,Finished Product
ZI,6975,Payment Pending,"$3,790.80","$3,790.80",MXN,Yes,A3894,3/5/2020,3/6/2020,To be determined,Finished Product
WA,6974,Payment Pending,"$3,042.36","$3,042.36",MXN,Yes,A3888,3/3/2020,3/10/2020,To be determined,Finished Product
TI,6973,Payment Pending,"$3,327.58","$3,327.58",MXN,Yes,A3889,3/3/2020,3/6/2020,To be determined,Finished Product
TI,6972,Payment Pending,"$4,536.00","$4,536.00",MXN,No,A3890,3/2/2020,3/3/2020,Online Transfer,Finished Product
IN,6968,Payment Pending,$429.20,$24.49,MXN,Yes,A3879,3/2/2020,3/6/2020,Online Transfer,Finished Product
SO,6967,Finalized,"$1,055.60",$0.00,MXN,Yes,A3899,3/2/2020,,Online Transfer,Finished Product
JE,6966,Payment Pending,"$1,208.16","$1,208.16",MXN,Yes,A3891,3/2/2020,3/6/2020,To be determined,Finished Product
CO,6965,Payment Pending,"$3,360.00","$3,360.00",MXN,Yes,A3893,3/2/2020,3/6/2020,To be determined,Finished Product
CO,6963,Finalized,"$65,145.60",$0.00,MXN,Yes,A3877,2/29/2020,,Online Transfer,Finished Product
BI,6962,Finalized,"$39,966.55",$0.00,MXN,Yes,A3886,2/28/2020,3/3/2020,Online Transfer,Finished Product
TR,6955,Payment Pending,"$5,335.20","$5,335.20",MXN,Yes,A3895,2/27/2020,3/3/2020,To be determined,Finished Product
WA,6947,Payment Pending,"$5,065.20","$5,065.20",MXN,Yes,A3883,2/24/2020,3/5/2020,Online Transfer,Finished Product
SE,6924,Payment Pending,"$20,880.00","$20,880.00",MXN,Yes,A3885,2/19/2020,3/4/2020,To be determined,Finished Product
CO,6923,Finalized,"$59,832.96",$0.00,MXN,Yes,A3947,2/19/2020,,Online Transfer,Finished Product
ZI,6913,Payment Pending,"$54,600.00","$54,600.00",MXN,Yes,A3896,2/17/2020,,To be determined,Finished Product
CI,6899,Payment Pending,$432.00,$24.43,MXN,Yes,A3900,2/10/2020,,Online Transfer,Finished Product
GA,6863,Finalized,$827.78,$0.00,MXN,Yes,A3922,2/4/2020,2/6/2020,Online Transfer,Raw Materials
30,6862,Finalized,$827.78,$0.00,MXN,Yes,A3909,2/4/2020,2/19/2020,Online Transfer,Raw Materials
31,6848,Finalized,$827.78,$0.00,MXN,Yes,A3920,1/30/2020,2/7/2020,Online Transfer,Raw Materials
30,6847,Finalized,$827.78,$0.00,MXN,Yes,A3918,1/30/2020,2/7/2020,Online Transfer,Raw Materials
30,6846,Finalized,$827.78,$0.00,MXN,Yes,A3921,1/30/2020,2/7/2020,Online Transfer,Raw Materials
30,6845,Finalized,$827.78,$0.00,MXN,Yes,A3908,1/30/2020,2/7/2020,Online Transfer,Raw Materials
30,6834,Delivery Pending,$776.04,$0.00,MXN,No,A3923,1/29/2020,2/20/2020,Online Transfer,Raw Materials
PU,6833,Finalized,"$1,655.55",$0.00,MXN,Yes,A3913,1/29/2020,2/3/2020,Online Transfer,Raw Materials
DI,6814,Finalized,$827.78,$0.00,MXN,Yes,A3911,1/22/2020,1/29/2020,Online Transfer,Raw Materials
PU,6813,Finalized,$827.78,$0.00,MXN,Yes,A3910,1/22/2020,1/29/2020,Online Transfer,Raw Materials
30,6812,Delivery Pending,$620.83,$0.00,MXN,No,A3925,1/22/2020,1/29/2020,Online Transfer,Raw Materials
30,6811,Delivery Pending,$620.83,$0.00,MXN,No,A3924,1/22/2020,1/29/2020,Online Transfer,Raw Materials
30,6810,Finalized,$827.78,$0.00,MXN,Yes,A3916,1/22/2020,1/29/2020,Online Transfer,Raw Materials
PU,6808,Finalized,$827.78,$0.00,MXN,Yes,A3919,1/22/2020,1/29/2020,Online Transfer,Raw Materials
30,6805,Finalized,$827.78,$0.00,MXN,Yes,A3917,1/22/2020,1/23/2020,Online Transfer,Raw Materials
PU,6743,Finalized,"$1,826.03",$0.00,MXN,Yes,A3876,1/6/2020,,Online Transfer,Finished Product
DI,6740,Payment Pending,$295.00,$295.00,MXN,Yes,A3880,1/3/2020,,Credit Card,Raw Materials
PU,6739,Payment Pending,$359.04,$359.04,MXN,Yes,A3881,1/3/2020,1/7/2020,Credit Card,Raw Materials
30,6687,Finalized,$827.78,$0.00,MXN,Yes,A3914,12/9/2019,12/13/2019,Online Transfer,Raw Materials
30,6680,Delivery Pending,$827.78,$0.00,MXN,No,A3915,12/4/2019,12/5/2019,Online Transfer,Raw Materials
30,6679,Delivery Pending,$827.78,$0.00,MXN,No,A3912,12/4/2019,12/7/2019,Online Transfer,Raw Materials
PU,6675,Payment Pending,$718.08,$718.08,MXN,Yes,A3882,12/3/2019,12/3/2019,Cash,Raw Materials
