Date,Branch,Branc Description,Operational code,Reference,Concept,Amount ARS,Account
11/05/2020,0,Central House,4805,104375,Immediate Transfers,"30.000,00",24763
11/05/2020,0,Central House,4805,3175,Immediate Transfers,"10.828,00",24762
11/05/2020,700,Guemes Salta,2030,4905,Effective Deposit Online,"2.100,00",24648
11/05/2020,0,Central House,4805,86512467,Immediate Transfers,"3.081,00",23842
11/05/2020,0,Central House,4805,27259764,Immediate Transfers,"10.000,00",24778
11/05/2020,0,Central House,4805,9363,Immediate Transfers,"146.000,00",24762
11/05/2020,0,Central House,4805,6255,Immediate Transfers,"1.052,00",21871
11/05/2020,0,Central House,4805,122107,Immediate Transfers,"14.300,00",24641
11/05/2020,69,Tucuman,1430,10491324,Ctas Mobile Banking Transfer,67,24842
11/05/2020,0,Central House,4805,90435776,Immediate Transfers,"14.700,00",24842
11/05/2020,0,Central House,4805,27388291,Immediate Transfers,520,20299
11/05/2020,0,Central House,4805,61843559,Immediate Transfers,"5.300,00",24647
11/05/2020,0,Central House,4805,70453318,Immediate Transfers,931,24540
11/05/2020,0,Central House,4805,1781,Immediate Transfers,"1.500,00",24286
11/05/2020,0,Central House,4805,7577,Immediate Transfers,"10.845,00",23832
11/05/2020,151,Santiago Del Estero,2030,8474,Effective Deposit Online,"3.000,00",24402
11/05/2020,374,Cba- Barrio Jardin,2030,5467,Effective Deposit Online,"41.000,00",24236
11/05/2020,0,Central House,4805,599,Immediate Transfers,"3.403,00",24780
11/05/2020,701,San Martin Tucuman,2030,1206,Effective Deposit Online,"22.000,00",24766
11/05/2020,701,San Martin Tucuman,2030,1208,Effective Deposit Online,"13.000,00",24766
11/05/2020,701,San Martin Tucuman,2030,1210,Effective Deposit Online,400,24766
11/05/2020,701,San Martin Tucuman,2030,1212,Effective Deposit Online,50,24766
11/05/2020,0,Central House,4805,7578,Immediate Transfers,"4.710,00",24362
11/05/2020,69,Tucuman,1430,15583667,Ctas Mobile Banking Transfer,"5.000,00",24780
11/05/2020,144,Moreno,2030,1279,Effective Deposit Online,"6.500,00",24778
11/05/2020,0,Central House,4805,30254721,Immediate Transfers,"8.685,00",24820
11/05/2020,0,Central House,4805,6262,Immediate Transfers,"7.160,00",24544
11/05/2020,523,Laferrere,2030,3566,Effective Deposit Online,"15.000,00",24236
11/05/2020,174,Rafaela,2030,7022,Effective Deposit Online,"10.000,00",24918
11/05/2020,0,Central House,4805,805487,Immediate Transfers,"4.934,00",24248
11/05/2020,0,Central House,4805,63486642,Immediate Transfers,"23.000,00",24437
11/05/2020,0,Central House,4805,810443,Immediate Transfers,500,23264
11/05/2020,0,Central House,4805,8074,Immediate Transfers,"9.529,00",24761
11/05/2020,0,Central House,4805,95488732,Immediate Transfers,"5.800,00",24428
11/05/2020,705,Calle Avellaneda Sgo Del Estero,2030,1593,Effective Deposit Online,"4.500,00",24842
11/05/2020,151,Santiago Del Estero,2030,2191,Effective Deposit Online,"2.500,00",24766
11/05/2020,0,Central House,4805,94826868,Immediate Transfers,"2.300,00",23679
12/05/2020,705,Calle Avellaneda Sgo Del Estero,2030,1245,Effective Deposit Online,500,24842
12/05/2020,151,Santiago Del Estero,2030,479,Effective Deposit Online,400,24766
12/05/2020,0,Central House,4805,2350,Immediate Transfers,"16.500,00",24841
12/05/2020,0,Central House,4805,20901894,Immediate Transfers,"37.953,00",24843
12/05/2020,705,Calle Avellaneda Sgo Del Estero,2030,1846,Effective Deposit Online,"37.900,00",24763
12/05/2020,705,Calle Avellaneda Sgo Del Estero,2030,1848,Effective Deposit Online,"2.100,00",24763
12/05/2020,176,Alsina,2030,6854,Effective Deposit Online,"27.000,00",24838
12/05/2020,176,Alsina,2030,6856,Effective Deposit Online,"23.000,00",24838
12/05/2020,365,Tucuman-yerba Buena,2030,1760,Effective Deposit Online,"6.000,00",24437
12/05/2020,230,Tucuman Norte,2030,1422,Effective Deposit Online,"3.610,00",24778
12/05/2020,154,Oran,2030,6150,Effective Deposit Online,"4.110,00",24780
12/05/2020,0,Central House,4805,68752941,Immediate Transfers,"5.600,00",24841
12/05/2020,154,Oran,2030,6168,Effective Deposit Online,"6.800,00",24761
12/05/2020,0,Central House,4806,818477,Transfer The Same Holder,"14.000,00",24842
12/05/2020,364,Santiago Del Estero-av. Belgrano,2030,459,Effective Deposit Online,"1.000,00",20258
12/05/2020,0,Central House,4805,782683,Immediate Transfers,600,24286
12/05/2020,0,Central House,4805,92994217,Immediate Transfers,3222,20143
12/05/2020,364,Santiago Del Estero-av. Belgrano,2030,972,Effective Deposit Online,"6.000,00",24841
12/05/2020,385,El Dorado,2030,5751,Effective Deposit Online,"6.000,00",24778
12/05/2020,69,Tucuman,1430,15475627,Ctas Mobile Banking Transfer,"2.383,00",24247
12/05/2020,738,Canning,2030,1231,Effective Deposit Online,"24.000,00",24919
12/05/2020,150,San Salvador De Jujuy,2030,647,Effective Deposit Online,"10.000,00",24820
12/05/2020,0,Central House,4805,85774878,Immediate Transfers,"3.105,00",24384
12/05/2020,0,Central House,4805,4772,Immediate Transfers,"9.171,00",24531
12/05/2020,0,Central House,4805,6012,Immediate Transfers,"8.649,00",24375
12/05/2020,0,Central House,4805,13007103,Immediate Transfers,"25.600,00",24779
12/05/2020,0,Central House,4805,50515313,Immediate Transfers,"6.346,00",23679
12/05/2020,0,Central House,4805,1692,Immediate Transfers,"3.049,00",24248
12/05/2020,245,Salta - Tres Cerritos,2030,9775,Effective Deposit Online,"5.500,00",24763
12/05/2020,0,Central House,4805,34731931,Immediate Transfers,"3.140,00",23843
12/05/2020,0,Central House,4805,2541,Immediate Transfers,"30.000,00",24843
12/05/2020,69,Tucuman,1430,19114092,Ctas Mobile Banking Transfer,930,24384
12/05/2020,0,Central House,4805,5618,Immediate Transfers,"8.250,00",24845
12/05/2020,0,Central House,4805,7491,Immediate Transfers,"8.073,00",23644
12/05/2020,0,Central House,4805,53959726,Immediate Transfers,"5.000,00",24760
12/05/2020,0,Central House,4805,821777,Immediate Transfers,"255.000,00",24780
12/05/2020,0,Central House,4805,83385420,Immediate Transfers,"7.668,00",24841
13/05/2020,0,Central House,4805,3074,Immediate Transfers,"5.025,00",22290
13/05/2020,69,Tucuman,1257,8394163,Credit Trans By Online Banking,"5.890,00",24248
13/05/2020,361,Mendoza-rodriguez Peña,2030,5532,Effective Deposit Online,200,24354
13/05/2020,521,Luis Guillon,2030,388,Effective Deposit Online,"1.000,00",23978
13/05/2020,0,Central House,4805,9849,Immediate Transfers,"10.000,00",
13/05/2020,225,Tucuman - Sur,2030,3737,Effective Deposit Online,"7.230,00",24544
13/05/2020,0,Central House,4805,4981,Immediate Transfers,350,22931
13/05/2020,0,Central House,4805,841565,Immediate Transfers,"2.867,00",24760
13/05/2020,69,Tucuman,1257,11265468,Credit Trans By Online Banking,"4.614,00",24762
13/05/2020,0,Central House,4805,90675289,Immediate Transfers,"28.749,00",24820
13/05/2020,0,Central House,4805,52257888,Immediate Transfers,"1.864,00",24761
13/05/2020,364,Santiago Del Estero-av. Belgrano,2030,719,Effective Deposit Online,"13.700,00",24778
13/05/2020,69,Tucuman,1430,11531831,Ctas Mobile Banking Transfer,"21.866,00",24593
13/05/2020,0,Central House,4805,6932,Immediate Transfers,"16.000,00",24374
13/05/2020,150,San Salvador De Jujuy,2030,1926,Effective Deposit Online,"3.000,00",24772
13/05/2020,0,Central House,4805,9451,Immediate Transfers,"4.754,00",24841
13/05/2020,0,Central House,4805,834185,Immediate Transfers,"2.800,00",24362
13/05/2020,154,Oran,2030,4651,Effective Deposit Online,"44.000,00",24781
13/05/2020,0,Central House,4805,96788294,Immediate Transfers,"2.665,00",24641
13/05/2020,0,Central House,4805,97952127,Immediate Transfers,873,23264
13/05/2020,0,Central House,4805,90929380,Immediate Transfers,"1.018,00",22886
13/05/2020,216,Villa Belgrano,2030,3175,Effective Deposit Online,"4.200,00",24646
13/05/2020,0,Central House,4805,62568555,Immediate Transfers,"9.905,00",24438
13/05/2020,0,Central House,4805,1966,Immediate Transfers,"6.516,00",24763
13/05/2020,0,Central House,4805,8450,Immediate Transfers,"12.765,00",24438
13/05/2020,0,Central House,4805,7020,Immediate Transfers,"7.400,00",24401
13/05/2020,0,Central House,4805,964215,Immediate Transfers,"5.639,00",24841
13/05/2020,0,Central House,4805,45858492,Immediate Transfers,"5.000,00",24091
13/05/2020,0,Central House,4805,2677,Immediate Transfers,"2.795,00",24841
13/05/2020,705,Calle Avellaneda Sgo Del Estero,2030,1627,Effective Deposit Online,"24.500,00",24544
13/05/2020,705,Calle Avellaneda Sgo Del Estero,2030,1629,Effective Deposit Online,300,24544
13/05/2020,230,Tucuman Norte,2030,1747,Effective Deposit Online,600,24384
14/05/2020,361,Mendoza-rodriguez Peña,2030,5530,Effective Deposit Online,"7.420,00",24354
14/05/2020,705,Calle Avellaneda Sgo Del Estero,2030,2324,Effective Deposit Online,200,24544
14/05/2020,0,Central House,4805,33,Immediate Transfers,"1.423,00",24779
14/05/2020,0,Central House,4805,3926,Immediate Transfers,"39.000,00",24761
14/05/2020,0,Central House,2767,23043118,Credin Credit,"3.000,00",24642
14/05/2020,707,Facultad San Juan,2030,2473,Effective Deposit Online,"13.200,00",24780
14/05/2020,71,Gral. Pacheco,2030,7664,Effective Deposit Online,"29.530,00",24778
14/05/2020,0,Central House,4805,19035193,Immediate Transfers,"2.800,00",24642
14/05/2020,0,Central House,4805,59673662,Immediate Transfers,352,24354
14/05/2020,0,Central House,4805,12532575,Immediate Transfers,"1.554,00",24777
14/05/2020,360,Mendoza-general Espejo,2030,5571,Effective Deposit Online,"3.000,00",24835
14/05/2020,89,Villa Ballester,2030,2361,Effective Deposit Online,"16.200,00",24845
14/05/2020,0,Central House,4805,3139,Immediate Transfers,"936,08",21849
14/05/2020,0,Central House,4805,99198450,Immediate Transfers,515,22899
14/05/2020,0,Central House,4805,972883,Immediate Transfers,"21.057,00",24773
14/05/2020,69,Tucuman,1430,14427109,Ctas Mobile Banking Transfer,"5.331,00",23815
14/05/2020,0,Central House,4805,1213,Immediate Transfers,"10.000,00",24399
14/05/2020,0,Central House,4805,4705,Immediate Transfers,"2.000,00",24777
14/05/2020,0,Central House,2767,71747672,Immediate Transfers,"1.500,00",22914
14/05/2020,0,Central House,4805,5553,Immediate Transfers,"1.200,00",23679
14/05/2020,245,Salta - Tres Cerritos,2030,530,Effective Deposit Online,"2.000,00",24539
14/05/2020,0,Central House,4805,14208272,Immediate Transfers,"15.000,00",24843
14/05/2020,0,Central House,4805,64548979,Immediate Transfers,"1.101,00",24642
14/05/2020,0,Central House,4805,64764675,Immediate Transfers,"9.099,00",24642
14/05/2020,0,Central House,4805,82597527,Immediate Transfers,"65.000,00",24414
14/05/2020,69,Tucuman,1430,19315745,Ctas Mobile Banking Transfer,"2.500,00",24540
14/05/2020,0,Central House,4805,2437,Immediate Transfers,"4.867,00",24779
14/05/2020,0,Central House,4805,9419,Immediate Transfers,"11.100,00",24643
15/05/2020,69,Tucuman,1430,6517088,Ctas Mobile Banking Transfer,"2.571,00",23665
15/05/2020,0,Central House,4805,4326,Immediate Transfers,"7.065,00",24840
15/05/2020,449,Concepcion - Tucuman,2030,2351,Effective Deposit Online,"9.900,00",23492
15/05/2020,245,Salta - Tres Cerritos,2030,9743,Effective Deposit Online,"3.000,00",24773
15/05/2020,0,Central House,2767,95025771,Credin Credit,"3.087,00",24284
15/05/2020,0,Central House,4805,7466,Immediate Transfers,"50.000,00",24647
15/05/2020,0,Central House,4805,2468,Immediate Transfers,"4.064,00",24761
15/05/2020,0,Central House,4806,830051,Transfer The Same Holder,"60.000,00",24845
15/05/2020,0,Central House,4805,8205,Immediate Transfers,"5.970,00",24056
15/05/2020,424,Tacuari,2030,2781,Effective Deposit Online,"5.600,00",24415
15/05/2020,0,Central House,4805,94377170,Immediate Transfers,"17.054,00",24819
15/05/2020,6,Florencio Varela,2030,2964,Effective Deposit Online,"4.560,00",22479
15/05/2020,0,Central House,4805,8497347,Immediate Transfers,"3.500,00",24827
15/05/2020,0,Central House,4805,9016,Immediate Transfers,"1.006,00",23028
15/05/2020,700,Guemes Salta,2030,3814,Effective Deposit Online,"19.700,00",29459
15/05/2020,0,Central House,2377,2491221,Payment Interbanking Export Payment,"60.000,00",24919
15/05/2020,0,Central House,4805,20002926,Immediate Transfers,"6.928,00",24919
15/05/2020,0,Central House,4805,691,Immediate Transfers,"20.000,00",24763
15/05/2020,0,Central House,4805,6455,Immediate Transfers,"7.183,00",24645
15/05/2020,0,Central House,4805,2040,Immediate Transfers,"11.860,00",24645
15/05/2020,0,Central House,4805,4563,Immediate Transfers,"35.000,00",24840
15/05/2020,0,Central House,4805,3659,Immediate Transfers,"18.901,00",24777
15/05/2020,245,Salta - Tres Cerritos,2030,9743,Effective Deposit Online,"3.000,00",24773
15/05/2020,365,Tucuman-yerba Buena,2030,1252,Effective Deposit Online,"3.300,00",24779
15/05/2020,0,Central House,4805,53653323,Immediate Transfers,"50.000,00",24594
15/05/2020,365,Tucuman-yerba Buena,2030,1252,Effective Deposit Online,"3.300,00",24779
15/05/2020,57,Gaona,2030,1316,Effective Deposit Online,"1.410,00",24229
15/05/2020,57,Gaona,2030,1316,Effective Deposit Online,"1.410,00",24229
18/05/2020,0,Central House,4805,40123581,Immediate Transfers,"22.000,00",24646
18/05/2020,0,Central House,4805,847918,Immediate Transfers,"3.879,00",24644
18/05/2020,0,Central House,4805,54130454,Immediate Transfers,"5.161,00",24235
18/05/2020,385,El Dorado,2030,690,Effective Deposit Online,"4.200,00",24761
18/05/2020,165,Salta,2030,4665,Effective Deposit Online,"22.700,00",24437
18/05/2020,0,Central House,4805,4645,Immediate Transfers,"11.704,00",24646
18/05/2020,0,Central House,4805,6732,Immediate Transfers,"1.214,00",24428
18/05/2020,0,Central House,4805,846811,Immediate Transfers,"54,00",24414
18/05/2020,0,Central House,4805,851358,Immediate Transfers,"10.000,54",24414
18/05/2020,0,Central House,4805,754729,Immediate Transfers,607,24594
18/05/2020,0,Central House,4805,29955246,Immediate Transfers,"1.800,00",39477
18/05/2020,0,Central House,4805,7846,Immediate Transfers,"4.470,00",24097
18/05/2020,0,Central House,4805,72777760,Immediate Transfers,"1.630,00",24594
18/05/2020,69,Tucuman,1968,53097494,Payment To Suppliers,"4.092,00",24647
18/05/2020,151,Santiago Del Estero,2030,9956,Effective Deposit Online,"5.000,00",24384
18/05/2020,0,Central House,4805,536782,Immediate Transfers,"1.700,00",24647
18/05/2020,0,Central House,4805,583015,Immediate Transfers,850,24647
18/05/2020,0,Central House,4805,65246847,Immediate Transfers,640,23630
18/05/2020,365,Tucuman-yerba Buena,2030,1619,Effective Deposit Online,"15.000,00",24761
18/05/2020,265,Rio Tercero - Cordoba,1295,5000001,Effective Deposit T.Autosav. Suc 0265,"5.129,00",24146
18/05/2020,38,San Justo,2030,5188,Effective Deposit Online,"41.900,00",24777
18/05/2020,0,Central House,2377,2407193,Payment Interbanking Export Payment,"30.000,00",24531
18/05/2020,0,Central House,4805,993551,Immediate Transfers,"3.154,00",24648
18/05/2020,0,Central House,4805,847867,Immediate Transfers,"1.500,00",23256
18/05/2020,0,Central House,4805,48913332,Immediate Transfers,"4.185,00",24761
18/05/2020,0,Central House,4805,39761869,Immediate Transfers,"6.000,00",24845
18/05/2020,264,Catamarca,2030,5641,Effective Deposit Online,"7.400,00",24644
18/05/2020,449,Concepcion - Tucuman,1938,4636,Banelco Onelco Deposit O/Suc 0449,"2.150,00",19589
18/05/2020,225,Tucuman - Sur,2030,5001,Effective Deposit Online,"2.700,00",24777
18/05/2020,165,Salta,2030,458,Effective Deposit Online,"10.000,00",24643
18/05/2020,165,Salta,2030,639,Effective Deposit Online,"15.400,00",26632
18/05/2020,165,Salta,2030,641,Effective Deposit Online,600,26632
18/05/2020,0,Central House,2767,73795811,Credin Credit,"2.963,00",24777
18/05/2020,0,Central House,4805,9057,Immediate Transfers,"3.297,00",24099
18/05/2020,0,Central House,4805,4902259,Immediate Transfers,"1.156,00",24648
18/05/2020,0,Central House,4805,868375,Immediate Transfers,"3.030,00",24841
18/05/2020,0,Central House,4805,4645,Immediate Transfers,"11.704,00",24646
18/05/2020,0,Central House,4805,3194,Immediate Transfers,"2.500,00",24762
18/05/2020,264,Catamarca,2030,5641,Effective Deposit Online,"7.400,00",24644
18/05/2020,230,Tucuman Norte,2030,4018,Effective Deposit Online,950,23630
18/05/2020,230,Tucuman Norte,2030,4018,Effective Deposit Online,950,23630
18/05/2020,150,San Salvador De Jujuy,2030,2824,Effective Deposit Online,"$2.840,00",24778
19/05/2020,0,Central House,4806,903526,Transfer The Same Holder,"500,00",24762
19/05/2020,245,Salta - Tres Cerritos,2030,653,Effective Deposit Online,"3.000,00",24766
19/05/2020,69,Tucuman,2029,133,Effective Deposit Online,"29.000,00",24403
19/05/2020,0,Central House,4805,175,Immediate Transfers,"5.250,00",24766
19/05/2020,85,San Martin,2030,3404,Effective Deposit Online,"11.000,00",24919
19/05/2020,0,Central House,4805,13152291,Immediate Transfers,"4.690,00",23502
19/05/2020,245,Salta - Tres Cerritos,2030,786,Effective Deposit Online,"10.300,00",24766
19/05/2020,0,Central House,4805,2634483,Immediate Transfers,"2.258,00",24362
19/05/2020,364,Santiago Del Estero-av. Belgrano,2030,2172,Effective Deposit Online,"4.700,00",24538
19/05/2020,0,Central House,4805,3317,Immediate Transfers,"20.000,00",24400
19/05/2020,507,Villa Krause-san Juan,2030,851,Effective Deposit Online,"9.200,00",24762
19/05/2020,69,Tucuman,2029,4697,Effective Deposit Online,"28.000,00",24773
19/05/2020,69,Tucuman,1257,16090384,Credit Trans By Online Banking,"8.445,00",24593
19/05/2020,0,Central House,4805,23261898,Immediate Transfers,"10.364,00",24540
19/05/2020,69,Tucuman,2029,2085,Effective Deposit Online,"3.000,00",24647
19/05/2020,6,Florencio Varela,2030,8852,Effective Deposit Online,"10.000,00",24642
19/05/2020,6,Florencio Varela,2030,8854,Effective Deposit Online,"2.000,00",24642
19/05/2020,0,Central House,4805,17349672,Immediate Transfers,"7.855,00",24763
19/05/2020,0,Central House,4805,1178,Immediate Transfers,"50.000,00",24835
19/05/2020,0,Central House,4805,6592312,Immediate Transfers,"5.500,00",24402
19/05/2020,69,Tucuman,1253,7060776,Credit Trans Online Banking Emp,"18.211,00",24780
19/05/2020,69,Tucuman,2029,260,Effective Deposit Online,"$1.700,00",24540
20/05/2020,150,San Salvador De Jujuy,2030,2658,Effective Deposit Online,"25.000,00",24778
20/05/2020,150,San Salvador De Jujuy,2030,2678,Effective Deposit Online,400,24438
20/05/2020,327,Tartagal,2030,3445,Effective Deposit Online,760,23643
20/05/2020,69,Tucuman,1430,9466568,Ctas Mobile Banking Transfer,"4.072,00",24950
20/05/2020,0,Central House,4805,34558837,Immediate Transfers,"36.668,00",23644
20/05/2020,125,Adrogue,1938,2791,Online Deposit Banelco O/Suc 0125,"4.400,00",24773
20/05/2020,181,Posadas,1938,9081,Online Deposit Banelco O/Suc 0181,"10.000,00",24779
20/05/2020,0,Central House,4805,34986608,Immediate Transfers,"18.000,00",24779
20/05/2020,0,Central House,4805,54467090,Immediate Transfers,"2.806,00",24645
20/05/2020,530,Ranchos,2030,7039,Effective Deposit Online,"6.600,00",24230
20/05/2020,147,Merlo,2030,4028,Effective Deposit Online,"5.000,00",24841
20/05/2020,48,Moron,2030,8650,Effective Deposit Online,"5.000,00",24951
20/05/2020,462,Tucuman Centro,2030,1540,Effective Deposit Online,"1.800,00",23028
20/05/2020,0,Central House,4805,873173,Immediate Transfers,605,23630
20/05/2020,69,Tucuman,2029,2317,Effective Deposit Online,"1.600,00",24545
20/05/2020,69,Tucuman,1257,13418258,Credit Trans By Online Banking,"8.742,00",23584
20/05/2020,10,Berazategui,2030,6664,Effective Deposit Online,"2.600,00",24235
20/05/2020,0,Central House,2767,86353960,Credin Credit,"3.000,00",24927
20/05/2020,69,Tucuman,1430,14063379,Ctas Mobile Banking Transfer,"1.950,00",24428
20/05/2020,0,Central House,4805,9570,Immediate Transfers,"10.600,00",24646
20/05/2020,150,San Salvador De Jujuy,2030,2821,Effective Deposit Online,"23.810,00",24545
20/05/2020,365,Tucuman-yerba Buena,2030,2686,Effective Deposit Online,"2.850,00",24645
20/05/2020,69,Tucuman,2029,135,Effective Deposit Online,"3.900,00",23978
20/05/2020,441,Guaymallen Mendoza,2030,3442,Effective Deposit Online,"12.500,00",24951
20/05/2020,61,Rojas,2030,7047,Effective Deposit Online,"10.000,00",24766
20/05/2020,0,Central House,4805,290150,Immediate Transfers,"87.136,00",24647
20/05/2020,0,Central House,4805,689981,Immediate Transfers,"3.712,00",23583
20/05/2020,69,Tucuman,1430,19373941,Ctas Mobile Banking Transfer,"5.696,00",24780
20/05/2020,364,Santiago Del Estero-av. Belgrano,2030,2540,Effective Deposit Online,"6.200,00",
20/05/2020,364,Santiago Del Estero-av. Belgrano,2030,2542,Effective Deposit Online,100,
20/05/2020,69,Tucuman,1430,14063379,Ctas Mobile Banking Transfer,"1.950,00",24428
20/05/2020,364,Santiago Del Estero-av. Belgrano,2030,2540,Effective Deposit Online,"6.200,00",
20/05/2020,151,Santiago Del Estero,2030,124,Effective Deposit Online,"$500,00",21596
20/05/2020,151,Santiago Del Estero,2030,124,Effective Deposit Online,"$500,00",21596
21/05/2020,449,Concepcion - Tucuman,2030,4150,Effective Deposit Online,"5.600,00",24772
21/05/2020,0,Central House,4805,3219,Immediate Transfers,830,24538
21/05/2020,150,San Salvador De Jujuy,2030,3063,Effective Deposit Online,"5.550,00",24781
21/05/2020,0,Central House,4805,77901594,Immediate Transfers,"8.760,00",24772
21/05/2020,536,Sarandi,2030,9302,Effective Deposit Online,"16.000,00",24820
21/05/2020,0,Central House,4805,28293838,Immediate Transfers,"13.400,00",24780
21/05/2020,165,Salta,2030,4336,Effective Deposit Online,"11.700,00",24778
21/05/2020,272,La Rioja,2030,4768,Effective Deposit Online,"2.700,00",23979
21/05/2020,534,Libertador Gral. San Martin - Jujuy,2030,2317,Effective Deposit Online,"3.100,00",24767
