Banner Name,Item,Item2,Parent Batch,Probability Close %,FOB CS,Start Date,Month,Year,Cases per month,Cs / Mo Prob Adj,Monthly Sales
Kent State University,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,75%,$126.76 ,11/1/2023,November,2023,1,0.75,$95 
Los Angeles USD,PFS 5LB,#ERROR!,#ERROR!,75%,$81.60 ,1/1/2024,January,2024,313,234.75,"$19,156 "
Los Angeles USD,HFS 6LB,#ERROR!,#ERROR!,75%,$32.64 ,1/1/2024,January,2024,781,585.75,"$19,119 "
Little Spoon,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,4/15/2024,April,2024,4,1,$127 
LREI,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,50%,$126.76 ,1/1/2024,January,2024,3,1.5,$190 
LREI,HFS 1.15oz 300 ct,#ERROR!,#ERROR!,50%,$126.76 ,1/1/2024,January,2024,3,1.5,$190 
Marin County Day School,PFS 5LB,#ERROR!,#ERROR!,100%,$81.60 ,5/1/2023,May,2023,2,2,$163 
Marley Spoon,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,7/1/2024,July,2024,2,0.5,$63 
Miami University,PFS 1LB,#ERROR!,#ERROR!,50%,$21.52 ,11/1/2023,November,2023,5,2.5,$54 
Miami University,HFS 13oz,#ERROR!,#ERROR!,50%,$21.52 ,11/1/2023,November,2023,5,2.5,$54 
Mt. Diablo USD,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,100%,$126.76 ,11/15/2023,November,2023,20,20,"$2,535 "
Napa Valley USD,PFS 5LB,#ERROR!,#ERROR!,100%,$81.60 ,2/1/2024,February,2024,20,20,"$1,632 "
New York University,PFS 5LB,#ERROR!,#ERROR!,50%,$81.60 ,4/1/2024,April,2024,1,0.5,$41 
New York University,PFS 1LB,#ERROR!,#ERROR!,50%,$21.52 ,4/1/2024,April,2024,3,1.5,$32 
New York University,HFS 13oz,#ERROR!,#ERROR!,50%,$21.52 ,4/1/2024,April,2024,3,1.5,$32 
North Carolina State University,PFS 1LB,#ERROR!,#ERROR!,50%,$21.52 ,11/1/2023,November,2023,8,4,$86 
Novick Childcare,PFS 5LB,#ERROR!,#ERROR!,100%,$81.60 ,10/1/2023,October,2023,58,58,"$4,733 "
Novick Childcare,HFS 6LB,#ERROR!,#ERROR!,100%,$32.64 ,1/1/2024,January,2024,10,10,$326 
Oakland USD,HFS 1.15oz 300 ct,#ERROR!,#ERROR!,100%,$126.76 ,8/1/2023,August,2023,250,250,"$31,690 "
Oceanview USD,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,100%,$126.76 ,10/1/2023,October,2023,34,34,"$4,310 "
Oceanview USD,HFS 1.15oz 300 ct,#ERROR!,#ERROR!,100%,$126.76 ,10/1/2023,October,2023,26,26,"$3,296 "
Oceanview USD,PFS 5LB,#ERROR!,#ERROR!,100%,$81.60 ,1/1/2024,January,2024,10,10,$816 
Ojai USD,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,1/1/2024,January,2024,1,0.25,$32 
Ojai USD,PFS 5LB,#ERROR!,#ERROR!,25%,$81.60 ,10/1/2023,October,2023,1,0.25,$20 
Oregon State University,PFS 1LB,#ERROR!,#ERROR!,50%,$21.52 ,1/20/2024,January,2024,2,1,$22 
Oregon State University,HFS 13oz,#ERROR!,#ERROR!,50%,$21.52 ,1/20/2024,January,2024,2,1,$22 
Quality Food,PFS 1LB,#ERROR!,#ERROR!,100%,$21.52 ,8/1/2023,August,2023,2,2,$43 
Roanoke College,PFS 5LB,#ERROR!,#ERROR!,25%,$81.60 ,3/15/2024,March,2024,1,0.25,$20 
Rhode Island School of Design,PFS 5LB,#ERROR!,#ERROR!,25%,$81.60 ,3/15/2024,March,2024,1,0.25,$20 
San Diego USD,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,50%,$126.76 ,8/1/2024,August,2024,200,100,"$12,676 "
Sonoma State University,PFS 1LB,#ERROR!,#ERROR!,100%,$21.52 ,9/11/2023,September,2023,1,1,$22 
Sonoma State University,HFS 13oz,#ERROR!,#ERROR!,100%,$21.52 ,9/11/2023,September,2023,1,1,$22 
Stanford University,PFS 1LB,#ERROR!,#ERROR!,100%,$21.52 ,1/15/2024,January,2024,3,3,$65 
Swarthmore College,PFS 5LB,#ERROR!,#ERROR!,100%,$81.60 ,11/15/2023,November,2023,1,1,$82 
Swarthmore College,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,75%,$126.76 ,11/15/2023,November,2023,5,3.75,$475 
Tulane University,PFS 5LB,#ERROR!,#ERROR!,100%,$81.60 ,11/1/2023,November,2023,2,2,$163 
Tulane University,HFS 6LB,#ERROR!,#ERROR!,100%,$32.64 ,11/1/2023,November,2023,4,4,$131 
United States Military Academy,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,4/1/2024,April,2024,2,0.5,$63 
University of Alabama,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,8/15/2024,August,2024,10,2.5,$317 
University of California - Berkeley,PFS 1LB,#ERROR!,#ERROR!,100%,$21.52 ,9/15/2023,September,2023,5,5,$108 
University of California - Berkeley,HFS 13oz,#ERROR!,#ERROR!,100%,$21.52 ,9/15/2023,September,2023,5,5,$108 
University of California - Davis,PFS 1LB,#ERROR!,#ERROR!,50%,$21.52 ,1/15/2024,January,2024,5,2.5,$54 
University of California - Davis,HFS 13oz,#ERROR!,#ERROR!,50%,$21.52 ,1/15/2024,January,2024,5,2.5,$54 
University of California - Los Angeles,PFS 1LB,#ERROR!,#ERROR!,50%,$21.52 ,2/1/2024,February,2024,5,2.5,$54 
University of California - Los Angeles,HFS 13oz,#ERROR!,#ERROR!,50%,$21.52 ,2/1/2024,February,2024,5,2.5,$54 
University of California - Santa Cruz,PFS 1LB,#ERROR!,#ERROR!,50%,$21.52 ,11/15/2023,November,2023,3,1.5,$32 
University of California - Santa Cruz,HFS 13oz,#ERROR!,#ERROR!,50%,$21.52 ,11/15/2023,November,2023,3,1.5,$32 
University of Connecticut,PFS 5LB,#ERROR!,#ERROR!,50%,$81.60 ,3/15/2024,March,2024,2,1,$82 
University of Georgia,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,9/1/2024,September,2024,7,1.75,$222 
University of Maryland,PFS 5LB,#ERROR!,#ERROR!,100%,$81.60 ,11/15/2023,November,2023,30,30,"$2,448 "
University of Maryland,HFS 6LB,#ERROR!,#ERROR!,50%,$32.64 ,11/15/2023,November,2023,20,10,$326 
University of North Carolina - Charlotte,PFS 5LB,#ERROR!,#ERROR!,25%,$81.60 ,2/1/2024,February,2024,2,0.5,$41 
University of Richmond,PFS 5LB,#ERROR!,#ERROR!,25%,$81.60 ,3/1/2024,March,2024,1,0.25,$20 
University of Rochester,PFS 5LB,#ERROR!,#ERROR!,25%,$81.60 ,4/1/2024,April,2024,1,0.25,$20 
University of Texas - Austin,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,2/15/2024,February,2024,5,1.25,$158 
University of Washington,PFS 1LB,#ERROR!,#ERROR!,50%,$21.52 ,1/15/2024,January,2024,2,1,$22 
University of Wisconsin - Madison,PFS 1LB,#ERROR!,#ERROR!,100%,$21.52 ,10/1/2023,October,2023,48,48,"$1,033 "
University of Wisconsin - Madison,PFS 5LB,#ERROR!,#ERROR!,100%,$81.60 ,11/15/2023,November,2023,13,13,"$1,061 "
University of Wisconsin - Madison,HFS 13oz,#ERROR!,#ERROR!,75%,$21.52 ,10/1/2023,October,2023,30,22.5,$484 
Vanderbilt University,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,75%,$126.76 ,11/1/2023,November,2023,3,2.25,$285 
Vanderbilt University,HFS 1.15oz 300 ct,#ERROR!,#ERROR!,75%,$126.76 ,11/1/2023,November,2023,3,2.25,$285 
Vanderbilt University,PFS 5LB,#ERROR!,#ERROR!,100%,$81.60 ,11/1/2023,November,2023,1,1,$82 
Vanderbilt University,PFS 1LB,#ERROR!,#ERROR!,50%,$21.52 ,11/1/2023,November,2023,2,1,$22 
Villanova University,PFS 5LB,#ERROR!,#ERROR!,75%,$81.60 ,11/1/2023,November,2023,2,1.5,$122 
Villanova University,HFS 6LB,#ERROR!,#ERROR!,50%,$32.64 ,11/1/2023,November,2023,1,0.5,$16 
Virginia Tech,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,8/15/2024,August,2024,1,0.25,$32 
Wartburg College,PFS 5LB,#ERROR!,#ERROR!,75%,$81.60 ,11/1/2023,November,2023,1,0.75,$61 
Washington & Lee University,PFS 1LB,#ERROR!,#ERROR!,75%,$21.52 ,1/15/2024,January,2024,2,1.5,$32 
Washington & Lee University,HFS 13oz,#ERROR!,#ERROR!,75%,$21.52 ,1/15/2024,January,2024,2,1.5,$32 
Washington University in St. Louis,PFS 5LB,#ERROR!,#ERROR!,50%,$81.60 ,2/1/2024,February,2024,1,0.5,$41 
Washington University in St. Louis,PFS 1LB,#ERROR!,#ERROR!,50%,$21.52 ,2/1/2024,February,2024,2,1,$22 
Washington University in St. Louis,HFS 13oz,#ERROR!,#ERROR!,50%,$21.52 ,2/1/2024,February,2024,2,1,$22 
Wayback Burgers,PFS 5LB,#ERROR!,#ERROR!,50%,$81.60 ,6/1/2024,June,2024,2,1,$82 
Westfield State University,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,50%,$126.76 ,11/15/2023,November,2023,1,0.5,$63 
