Fragrance Name, Cost,Paid in Full / Credit,20%,25%,30%,35%,40%,Competitiion (Liverpool), Price,Margin,Sales paid in Full,GMV,Profit
AGATHA RUIZ DE LA PRADA LOVE FOREVER LOVE 80 ML  DAMA, $ 300.00 , Paid in Full, $ 360.00 , $ 375.00 , $ 390.00 , $ 405.00 , $ 420.00 , $ 570.00 , $ 450.00 ,50%,0, $ -   , $ -   
AIRES DEL TIEMPO EDT 100 ML  DAMA, $ 811.00 , Paid in Full, $ 973.20 ," $ 1,013.75 "," $ 1,054.30 "," $ 1,094.85 "," $ 1,135.40 "," $ 1,440.00 "," $ 1,100.00 ",36%,0, $ -   , $ -   
AMOR AMOR DAMA, $ 736.00 , Paid in Full, $ 883.20 , $ 920.00 , $ 956.80 , $ 993.60 ," $ 1,030.40 "," $ 1,340.00 "," $ 1,050.00 ",43%,0, $ -   , $ -   
AMOR AMOR FORBIDDEN KISS   DAMA, $ 758.00 , Paid in Full, $ 909.60 , $ 947.50 , $ 985.40 ," $ 1,023.30 "," $ 1,061.20 "," $ 1,340.00 "," $ 1,070.00 ",41%,0, $ -   , $ -   
AMOR AMOR IN FLASH 100 ML   DAMA, $ 863.00 , Paid in Full," $ 1,035.60 "," $ 1,078.75 "," $ 1,121.90 "," $ 1,165.05 "," $ 1,208.20 "," $ 1,340.00 "," $ 1,070.00 ",24%,0, $ -   , $ -   
AMOR AMOR L´EAU 100 ML EDT SPRAY NUEVO, $ 682.00 , Paid in Full, $ 818.40 , $ 852.50 , $ 886.60 , $ 920.70 , $ 954.80 ,, $ 880.00 ,29%,0, $ -   , $ -   
ANTONIO BANDERAS BLUE SEDUCTION FOR WOMAN 100 ML EDT  NUEVO, $ 287.00 , Paid in Full, $ 344.40 , $ 358.75 , $ 373.10 , $ 387.45 , $ 401.80 , $ 520.00 , $ 420.00 ,46%,0, $ -   , $ -   
ANTONIO BANDERAS GOLDEN SECRET 80 ML EDT SPRAY , $ 344.00 , Paid in Full, $ 412.80 , $ 430.00 , $ 447.20 , $ 464.40 , $ 481.60 , $ 590.00 , $ 450.00 ,31%,0, $ -   , $ -   
HER GOLDEN SECRET 2 PZS 80 ML EDT SPRAY / DESODORANTE 150 ML , $ 319.00 , Paid in Full, $ 382.80 , $ 398.75 , $ 414.70 , $ 430.65 , $ 446.60 , $ 590.00 , $ 420.00 ,32%,0, $ -   , $ -   
ANTONIO BANDERAS HER SECRET 80 ML EDT SPRAY , $ 344.00 , Paid in Full, $ 412.80 , $ 430.00 , $ 447.20 , $ 464.40 , $ 481.60 ,, $ 450.00 ,31%,0, $ -   , $ -   
ANTONIO BANDERAS HER SECRET GAME 80 ML EDT SPRAY , $ 287.00 , Paid in Full, $ 344.40 , $ 358.75 , $ 373.10 , $ 387.45 , $ 401.80 , $ 590.00 , $ 450.00 ,57%,0, $ -   , $ -   
ANAIS ANAIS  100 ML DAMA, $ 701.00 , Paid in Full, $ 841.20 , $ 876.25 , $ 911.30 , $ 946.35 , $ 981.40 ," $ 1,400.00 "," $ 1,090.00 ",55%,0, $ -   , $ -   
ANAIS ANAIS DELICE L ÉAU 100 ML EDT SPRAY NUEVO, $ 682.00 , Paid in Full, $ 818.40 , $ 852.50 , $ 886.60 , $ 920.70 , $ 954.80 ,, $ 900.00 ,32%,0, $ -   , $ -   
ANAIS ANAIS PREMIER DELICE 100 ML EDT SPRAY NUEVO, $ 874.00 , Paid in Full," $ 1,048.80 "," $ 1,092.50 "," $ 1,136.20 "," $ 1,179.90 "," $ 1,223.60 "," $ 1,340.00 "," $ 1,100.00 ",26%,0, $ -   , $ -   
ALIEN 90 ML EDP DAMA," $ 1,236.00 ", Paid in Full," $ 1,483.20 "," $ 1,545.00 "," $ 1,606.80 "," $ 1,668.60 "," $ 1,730.40 "," $ 1,640.00 "," $ 1,490.00 ",21%,0, $ -   , $ -   
ANGEL 100 ML EDP REFILABLE DAMA," $ 1,281.00 ", Paid in Full," $ 1,537.20 "," $ 1,601.25 "," $ 1,665.30 "," $ 1,729.35 "," $ 1,793.40 "," $ 1,720.00 "," $ 1,520.00 ",19%,0, $ -   , $ -   
ANIMALE ANIMALE DAMA, $ 412.00 , Paid in Full, $ 494.40 , $ 515.00 , $ 535.60 , $ 556.20 , $ 576.80 ,, $ 590.00 ,43%,0, $ -   , $ -   
ANIMALE INTENSE 100 ML DAMA, $ 544.00 , Paid in Full, $ 652.80 , $ 680.00 , $ 707.20 , $ 734.40 , $ 761.60 ,, $ 690.00 ,27%,0, $ -   , $ -   
ANIMAL INTENSE  100 ML EDP + 90 ML CREMA + GEL DE BAÑO+ MINIATURA DAMA, $ 446.00 , Paid in Full, $ 535.20 , $ 557.50 , $ 579.80 , $ 602.10 , $ 624.40 ,, $ 690.00 ,55%,0, $ -   , $ -   
ANIMALE TEMPTATION 3 PZS 100 ML EDT /BODY LOTION 100 , $ 357.00 , Paid in Full, $ 428.40 , $ 446.25 , $ 464.10 , $ 481.95 , $ 499.80 ,, $ 490.00 ,37%,0, $ -   , $ -   
ARMANI ACQUA DI GIOIA 100 ML EDP        DAMA," $ 1,134.00 ", Paid in Full," $ 1,360.80 "," $ 1,417.50 "," $ 1,474.20 "," $ 1,530.90 "," $ 1,587.60 "," $ 1,600.00 "," $ 1,390.00 ",23%,0, $ -   , $ -   
ARMANI CODE EDP 75 ML DAMA," $ 1,096.00 ", Paid in Full," $ 1,315.20 "," $ 1,370.00 "," $ 1,424.80 "," $ 1,479.60 "," $ 1,534.40 "," $ 1,680.00 "," $ 1,350.00 ",23%,0, $ -   , $ -   
ARMANI EMPORIO   100 ML EDP SPRAY  DAMA, $ 981.00 , Paid in Full," $ 1,177.20 "," $ 1,226.25 "," $ 1,275.30 "," $ 1,324.35 "," $ 1,373.40 "," $ 1,495.00 "," $ 1,290.00 ",31%,0, $ -   , $ -   
ARMANI EMPORIO DIAMONDS 100  ML EDP SPRAY  DAMA, $ 962.00 , Paid in Full," $ 1,154.40 "," $ 1,202.50 "," $ 1,250.60 "," $ 1,298.70 "," $ 1,346.80 "," $ 1,420.00 "," $ 1,290.00 ",34%,0, $ -   , $ -   
AROMATICS ELIXIR 45 ML EDP SPRAY DAMA, $ 574.00 , Paid in Full, $ 688.80 , $ 717.50 , $ 746.20 , $ 774.90 , $ 803.60 , $ 840.00 , $ 740.00 ,29%,0, $ -   , $ -   
BANANA CLASSIC 125 ML EDT SPRAY , $ 395.00 , Paid in Full, $ 474.00 , $ 493.75 , $ 513.50 , $ 533.25 , $ 553.00 ,, $ 550.00 ,39%,0, $ -   , $ -   
BANANA REPUBLIC MODERN WOMAN  100 ML EDP SPRAY NUEVO, $ 459.00 , Paid in Full, $ 550.80 , $ 573.75 , $ 596.70 , $ 619.65 , $ 642.60 ,, $ 590.00 ,29%,0, $ -   , $ -   
BEBE EDP 100 ML DAMA, $ 370.00 , Paid in Full, $ 444.00 , $ 462.50 , $ 481.00 , $ 499.50 , $ 518.00 ,, $ 570.00 ,54%,0, $ -   , $ -   
BEBE GOLD EDP 100 ML DAMA, $ 370.00 , Paid in Full, $ 444.00 , $ 462.50 , $ 481.00 , $ 499.50 , $ 518.00 ,, $ 600.00 ,62%,0, $ -   , $ -   
BEBE LOVE  100 ML DAMA, $ 370.00 , Paid in Full, $ 444.00 , $ 462.50 , $ 481.00 , $ 499.50 , $ 518.00 ,, $ 570.00 ,54%,0, $ -   , $ -   
BEBE SHEER EDP 100 ML DAMA, $ 370.00 , Paid in Full, $ 444.00 , $ 462.50 , $ 481.00 , $ 499.50 , $ 518.00 ," $ 1,050.00 ", $ 670.00 ,81%,0, $ -   , $ -   
BEBE NOUVEAU 100 ML EDP SPRAY , $ 370.00 , Paid in Full, $ 444.00 , $ 462.50 , $ 481.00 , $ 499.50 , $ 518.00 ,, $ 600.00 ,62%,0, $ -   , $ -   
BEBE NOUVEAU CHIC 100 ML EDP SPRAY , $ 370.00 , Paid in Full, $ 444.00 , $ 462.50 , $ 481.00 , $ 499.50 , $ 518.00 ,, $ 600.00 ,62%,0, $ -   , $ -   
BENETTON HOT 100 ML DAMA, $ 217.00 , Paid in Full, $ 260.40 , $ 271.25 , $ 282.10 , $ 292.95 , $ 303.80 ,, $ 330.00 ,52%,0, $ -   , $ -   
BENETTON JUST UNITED FOR HER 80 ML EDT SPRAY NUEVO, $ 268.00 , Paid in Full, $ 321.60 , $ 335.00 , $ 348.40 , $ 361.80 , $ 375.20 ,, $ 370.00 ,38%,0, $ -   , $ -   
UNITED DREAMS GREEN LIVE FREE 80 ML EDT + DESODORANTE 150 ML, $ 281.00 , Paid in Full, $ 337.20 , $ 351.25 , $ 365.30 , $ 379.35 , $ 393.40 , $ 520.00 , $ 390.00 ,39%,0, $ -   , $ -   
UNITED DREAMS ORANGE STAY POSITIVE 80 ML EDT +DESODORANTE 150 ml DAMA, $ 281.00 , Paid in Full, $ 337.20 , $ 351.25 , $ 365.30 , $ 379.35 , $ 393.40 , $ 520.00 , $ 390.00 ,39%,0, $ -   , $ -   
UNITED DREAMS PURPLE LOVE YOURSELF 80 ML EDT  + CREMA 100 ML + 15 ML MINI, $ 344.00 , Paid in Full, $ 412.80 , $ 430.00 , $ 447.20 , $ 464.40 , $ 481.60 , $ 520.00 , $ 420.00 ,22%,0, $ -   , $ -   
"""90210"" 100 ML EDP SPRAY ", $ 147.00 , Paid in Full, $ 176.40 , $ 183.75 , $ 191.10 , $ 198.45 , $ 205.80 ,, $ 240.00 ,63%,0, $ -   , $ -   
"""90210"" MAGIC 100 ML EDP SPRAY ", $ 147.00 , Paid in Full, $ 176.40 , $ 183.75 , $ 191.10 , $ 198.45 , $ 205.80 ,, $ 240.00 ,63%,0, $ -   , $ -   
"""90210"" MOMENT 100 ML EDT SPRAY ", $ 147.00 , Paid in Full, $ 176.40 , $ 183.75 , $ 191.10 , $ 198.45 , $ 205.80 ,, $ 240.00 ,63%,0, $ -   , $ -   
"""90210"" PURE SEXY 100 ML EDT SPRAY ", $ 147.00 , Paid in Full, $ 176.40 , $ 183.75 , $ 191.10 , $ 198.45 , $ 205.80 ,, $ 240.00 ,63%,0, $ -   , $ -   
"""90210"" VERY SEXY 100 ML EDT SPRAY ", $ 147.00 , Paid in Full, $ 176.40 , $ 183.75 , $ 191.10 , $ 198.45 , $ 205.80 ,, $ 240.00 ,63%,0, $ -   , $ -   
90210 GOLD JEANS 100 ML EDT SPRAY NUEVO, $ 122.00 , Paid in Full, $ 146.40 , $ 152.50 , $ 158.60 , $ 164.70 , $ 170.80 ,, $ 240.00 ,97%,0, $ -   , $ -   
90210 WHITE  100 ML EDT SPRAY NUEVO, $ 122.00 , Paid in Full, $ 146.40 , $ 152.50 , $ 158.60 , $ 164.70 , $ 170.80 ,, $ 200.00 ,64%,0, $ -   , $ -   
BODY MIST BRITNEY CURIOUS 236 ML DAMA, $ 160.00 , Paid in Full, $ 192.00 , $ 200.00 , $ 208.00 , $ 216.00 , $ 224.00 ,, $ 240.00 ,50%,0, $ -   , $ -   
BODY MIST GIRLFRIEND JUSTIN BEBIER 236 ML DAMA, $ 160.00 , Paid in Full, $ 192.00 , $ 200.00 , $ 208.00 , $ 216.00 , $ 224.00 ,, $ 240.00 ,50%,0, $ -   , $ -   
BOUCHERON  100 ML EDP SPRAY   DAMA                                  NEW, $ 727.00 , Paid in Full, $ 872.40 , $ 908.75 , $ 945.10 , $ 981.45 ," $ 1,017.80 ",, $ 990.00 ,36%,0, $ -   , $ -   
BOUCHERON  100 ML EDT SPRAY   DAMA                                 NEW , $ 650.00 , Paid in Full, $ 780.00 , $ 812.50 , $ 845.00 , $ 877.50 , $ 910.00 ,, $ 990.00 ,52%,0, $ -   , $ -   
BRITNEY BELIEVE DAMA, $ 384.00 , Paid in Full, $ 460.80 , $ 480.00 , $ 499.20 , $ 518.40 , $ 537.60 ,, $ 490.00 ,28%,0, $ -   , $ -   
BRITNEY CIRCUS EDP DAMA, $ 360.00 , Paid in Full, $ 432.00 , $ 450.00 , $ 468.00 , $ 486.00 , $ 504.00 ,, $ 490.00 ,36%,0, $ -   , $ -   
BRITNEY COSMIC RADIANCE - 100 ML EDP DAMA, $ 395.00 , Paid in Full, $ 474.00 , $ 493.75 , $ 513.50 , $ 533.25 , $ 553.00 ,, $ 550.00 ,39%,0, $ -   , $ -   
BRITNEY CURIOUS 100 ML DAMA, $ 408.00 , Paid in Full, $ 489.60 , $ 510.00 , $ 530.40 , $ 550.80 , $ 571.20 ,, $ 550.00 ,35%,0, $ -   , $ -   
BRITNEY CURIOUS 100ML           3 PIEZAS       DAMA, $ 510.00 , Paid in Full, $ 612.00 , $ 637.50 , $ 663.00 , $ 688.50 , $ 714.00 ,, $ 700.00 ,37%,0, $ -   , $ -   
BRITNEY FANTASY EDP 100 ML    DAMA, $ 557.00 , Paid in Full, $ 668.40 , $ 696.25 , $ 724.10 , $ 751.95 , $ 779.80 ," $ 1,250.00 ", $ 970.00 ,74%,0, $ -   , $ -   
BRITNEY FANTASY HIDDEN DAMA, $ 378.00 , Paid in Full, $ 453.60 , $ 472.50 , $ 491.40 , $ 510.30 , $ 529.20 ,, $ 620.00 ,64%,0, $ -   , $ -   
BRITNEY FANTASY MIDNIGHT EDP 100 ML DAMA, $ 516.00 , Paid in Full, $ 619.20 , $ 645.00 , $ 670.80 , $ 696.60 , $ 722.40 ,, $ 910.00 ,76%,0, $ -   , $ -   
BURBERRY  100 ML EDP SPRAY  (CAJA BEIGE) DAMA, $ 676.00 , Paid in Full, $ 811.20 , $ 845.00 , $ 878.80 , $ 912.60 , $ 946.40 ," $ 1,400.00 "," $ 1,100.00 ",63%,0, $ -   , $ -   
BURBERRY BODY 85 ML EDT SPRAY DAMA, $ 612.00 , Paid in Full, $ 734.40 , $ 765.00 , $ 795.60 , $ 826.20 , $ 856.80 ,," $ 1,100.00 ",80%,0, $ -   , $ -   
BURBERRY BODY 85ML EDP SPRAY DAMA, $ 765.00 , Paid in Full, $ 918.00 , $ 956.25 , $ 994.50 ," $ 1,032.75 "," $ 1,071.00 "," $ 1,600.00 "," $ 1,180.00 ",54%,0, $ -   , $ -   
BURBERRY BODY ROSE GOLD EDITION 85 ML EDP  DAMA, $ 676.00 , Paid in Full, $ 811.20 , $ 845.00 , $ 878.80 , $ 912.60 , $ 946.40 ,," $ 1,180.00 ",75%,0, $ -   , $ -   
BURBERRY BODY TENDER 85 ML EDT SPRAY  DAMA, $ 650.00 , Paid in Full, $ 780.00 , $ 812.50 , $ 845.00 , $ 877.50 , $ 910.00 ," $ 1,400.00 "," $ 1,180.00 ",82%,0, $ -   , $ -   
BURBERRY BRIT 100 ML EDP SPRAY DAMA, $ 765.00 , Paid in Full, $ 918.00 , $ 956.25 , $ 994.50 ," $ 1,032.75 "," $ 1,071.00 "," $ 1,600.00 "," $ 1,180.00 ",54%,0, $ -   , $ -   
BURBERRY BRIT SHEER 100 ML EDT  DAMA, $ 620.00 , Paid in Full, $ 744.00 , $ 775.00 , $ 806.00 , $ 837.00 , $ 868.00 ," $ 1,400.00 "," $ 1,180.00 ",90%,0, $ -   , $ -   
BURBERRY LONDON EDP 100 ML  DAMA, $ 690.00 , Paid in Full, $ 828.00 , $ 862.50 , $ 897.00 , $ 931.50 , $ 966.00 ,," $ 1,180.00 ",71%,0, $ -   , $ -   
BURBERRY BRIT RHYTHML 90 ML EDT  DAMA, $ 631.00 , Paid in Full, $ 757.20 , $ 788.75 , $ 820.30 , $ 851.85 , $ 883.40 ," $ 1,400.00 "," $ 1,180.00 ",87%,0, $ -   , $ -   
BURBERRY BRIT RHYTHM FOR HER FLORAL 90 ML EDT  DAMA  (CAJA ROSA), $ 676.00 , Paid in Full, $ 811.20 , $ 845.00 , $ 878.80 , $ 912.60 , $ 946.40 ,," $ 1,180.00 ",75%,0, $ -   , $ -   
BURBERRY THE BEAT EDP DAMA, $ 667.00 , Paid in Full, $ 800.40 , $ 833.75 , $ 867.10 , $ 900.45 , $ 933.80 ," $ 1,400.00 "," $ 1,180.00 ",77%,0, $ -   , $ -   
BURBERRY THE BEAT EDT DAMA, $ 612.00 , Paid in Full, $ 734.40 , $ 765.00 , $ 795.60 , $ 826.20 , $ 856.80 ,," $ 1,180.00 ",93%,0, $ -   , $ -   
BURBERRY TOUCH 100 ML EDP  DAMA, $ 643.00 , Paid in Full, $ 771.60 , $ 803.75 , $ 835.90 , $ 868.05 , $ 900.20 ,," $ 1,180.00 ",84%,0, $ -   , $ -   
BVLGARI  EDT DAMA, $ 747.00 , Paid in Full, $ 896.40 , $ 933.75 , $ 971.10 ," $ 1,008.45 "," $ 1,045.80 "," $ 1,400.00 "," $ 1,200.00 ",61%,1," $ 1,200.00 ", $ 453.00 
BVLGARI BLV II EDP DAMA, $ 667.00 , Paid in Full, $ 800.40 , $ 833.75 , $ 867.10 , $ 900.45 , $ 933.80 ," $ 1,560.00 "," $ 1,260.00 ",89%,0, $ -   , $ -   
BVLGARI CORAL 65 ML EDT  DAMA, $ 650.00 , Paid in Full, $ 780.00 , $ 812.50 , $ 845.00 , $ 877.50 , $ 910.00 ," $ 1,560.00 "," $ 1,260.00 ",94%,0, $ -   , $ -   
BVLGARI JAZMIN NOIR 75 ML EDT DAMA, $ 706.00 , Paid in Full, $ 847.20 , $ 882.50 , $ 917.80 , $ 953.10 , $ 988.40 ," $ 1,560.00 "," $ 1,260.00 ",78%,0, $ -   , $ -   
BVLGARI OMNIA AMETHYSTE DAMA, $ 650.00 , Paid in Full, $ 780.00 , $ 812.50 , $ 845.00 , $ 877.50 , $ 910.00 ," $ 1,400.00 "," $ 1,100.00 ",69%,0, $ -   , $ -   
BVLGARI OMNIA CRYSTALLINE      EDT 65 ML DAMA, $ 650.00 , Paid in Full, $ 780.00 , $ 812.50 , $ 845.00 , $ 877.50 , $ 910.00 ," $ 1,400.00 "," $ 1,100.00 ",69%,0, $ -   , $ -   
BVLGARI OMNIA INDIAN GARNET 65 ML EDT  DAMA, $ 650.00 , Paid in Full, $ 780.00 , $ 812.50 , $ 845.00 , $ 877.50 , $ 910.00 ,,,-100%,0, $ -   , $ -   
CARTIER BAISER VOLE 100 ML EDT SPRAY , $ 854.00 , Paid in Full," $ 1,024.80 "," $ 1,067.50 "," $ 1,110.20 "," $ 1,152.90 "," $ 1,195.60 "," $ 1,350.00 "," $ 1,050.00 ",23%,0, $ -   , $ -   
CARTIER LA PANTHERE 75 ML EDP SPRAY , $ 918.00 , Paid in Full," $ 1,101.60 "," $ 1,147.50 "," $ 1,193.40 "," $ 1,239.30 "," $ 1,285.20 "," $ 1,350.00 "," $ 1,050.00 ",14%,0, $ -   , $ -   
EAU DE CARTIER 100 ML EDT SPRAY , $ 644.00 , Paid in Full, $ 772.80 , $ 805.00 , $ 837.20 , $ 869.40 , $ 901.60 ," $ 1,200.00 ", $ 900.00 ,40%,1, $ 900.00 , $ 256.00 
EAU DE CARTIER  200 ML EDT SPRAY , $ 854.00 , Paid in Full," $ 1,024.80 "," $ 1,067.50 "," $ 1,110.20 "," $ 1,152.90 "," $ 1,195.60 "," $ 1,400.00 "," $ 1,100.00 ",29%,0, $ -   , $ -   
EAU DE CARTIER CONCENTREE 100 ML EDT SPRAY , $ 644.00 , Paid in Full, $ 772.80 , $ 805.00 , $ 837.20 , $ 869.40 , $ 901.60 ," $ 1,200.00 ", $ 900.00 ,40%,0, $ -   , $ -   
EAU DE CARTIER CONCENTREE 200 ML EDT SPRAY , $ 835.00 , Paid in Full," $ 1,002.00 "," $ 1,043.75 "," $ 1,085.50 "," $ 1,127.25 "," $ 1,169.00 "," $ 1,400.00 "," $ 1,100.00 ",32%,0, $ -   , $ -   
EAU DE CARTIER GOUTTE ROSE 100 ML EDT SPRAY , $ 644.00 , Paid in Full, $ 772.80 , $ 805.00 , $ 837.20 , $ 869.40 , $ 901.60 ," $ 1,400.00 "," $ 1,100.00 ",71%,0, $ -   , $ -   
EAU DE CARTIER GOUTTE ROSE 200 ML EDT SPRAY , $ 854.00 , Paid in Full," $ 1,024.80 "," $ 1,067.50 "," $ 1,110.20 "," $ 1,152.90 "," $ 1,195.60 "," $ 1,400.00 "," $ 1,100.00 ",29%,0, $ -   , $ -   
CARTIER LA PANTHERE LEGERE 75 ML EDP SPRAY , $ 835.00 , Paid in Full," $ 1,002.00 "," $ 1,043.75 "," $ 1,085.50 "," $ 1,127.25 "," $ 1,169.00 "," $ 1,600.00 "," $ 1,300.00 ",56%,0, $ -   , $ -   
CH DE CAROLINA HERRERA 100 ML            ," $ 1,172.00 ", Paid in Full," $ 1,406.40 "," $ 1,465.00 "," $ 1,523.60 "," $ 1,582.20 "," $ 1,640.80 "," $ 1,800.00 "," $ 1,500.00 ",28%,2," $ 3,000.00 ", $ 656.00 
CAROLINA HERRERA EDP 100 ML," $ 1,053.00 ", Paid in Full," $ 1,263.60 "," $ 1,316.25 "," $ 1,368.90 "," $ 1,421.55 "," $ 1,474.20 "," $ 1,800.00 "," $ 1,500.00 ",42%,0, $ -   , $ -   
CH L'EAU DE CAROLINA  100 ML," $ 1,020.00 ", Paid in Full," $ 1,224.00 "," $ 1,275.00 "," $ 1,326.00 "," $ 1,377.00 "," $ 1,428.00 "," $ 1,800.00 "," $ 1,500.00 ",47%,0, $ -   , $ -   
CH SUBLIME EDP 80 ML," $ 1,111.00 ", Paid in Full," $ 1,333.20 "," $ 1,388.75 "," $ 1,444.30 "," $ 1,499.85 "," $ 1,555.40 "," $ 1,800.00 "," $ 1,500.00 ",35%,1," $ 1,500.00 ", $ 389.00 
CHANEL ALLURE 100ML EDP                                  ," $ 1,746.00 ", Paid in Full," $ 2,095.20 "," $ 2,182.50 "," $ 2,269.80 "," $ 2,357.10 "," $ 2,444.40 "," $ 2,600.00 "," $ 2,300.00 ",32%,0, $ -   , $ -   
CHANEL ALLURE SENSUELLE 100ML EDP," $ 1,746.00 ", Paid in Full," $ 2,095.20 "," $ 2,182.50 "," $ 2,269.80 "," $ 2,357.10 "," $ 2,444.40 "," $ 2,600.00 "," $ 2,300.00 ",32%,0, $ -   , $ -   
CHANEL CHANCE 100 ML EDP ," $ 1,873.00 ", Paid in Full," $ 2,247.60 "," $ 2,341.25 "," $ 2,434.90 "," $ 2,528.55 "," $ 2,622.20 "," $ 2,600.00 "," $ 2,300.00 ",23%,0, $ -   , $ -   
CHANEL CHANCE EAU FRAICHE 100ML," $ 1,516.00 ", Paid in Full," $ 1,819.20 "," $ 1,895.00 "," $ 1,970.80 "," $ 2,046.60 "," $ 2,122.40 "," $ 2,600.00 "," $ 2,300.00 ",52%,0, $ -   , $ -   
CHANEL CHANCE EAU FRAICHE 150 ML EDT," $ 1,746.00 ", Paid in Full," $ 2,095.20 "," $ 2,182.50 "," $ 2,269.80 "," $ 2,357.10 "," $ 2,444.40 "," $ 2,600.00 "," $ 2,300.00 ",32%,0, $ -   , $ -   
CHANEL COCO  100ML EDP," $ 1,848.00 ", Paid in Full," $ 2,217.60 "," $ 2,310.00 "," $ 2,402.40 "," $ 2,494.80 "," $ 2,587.20 "," $ 2,600.00 "," $ 2,300.00 ",24%,0, $ -   , $ -   
CHANEL COCO MADEMOISELLE 100 ML EDP    ," $ 1,924.00 ", Paid in Full," $ 2,308.80 "," $ 2,405.00 "," $ 2,501.20 "," $ 2,597.40 "," $ 2,693.60 "," $ 2,600.00 "," $ 2,300.00 ",20%,0, $ -   , $ -   
CHANEL No 19 EDP 100 ML," $ 1,746.00 ", Paid in Full," $ 2,095.20 "," $ 2,182.50 "," $ 2,269.80 "," $ 2,357.10 "," $ 2,444.40 "," $ 2,600.00 "," $ 2,300.00 ",32%,0, $ -   , $ -   
CHANEL No 19 EDT 100 ml," $ 1,274.00 ", Paid in Full," $ 1,528.80 "," $ 1,592.50 "," $ 1,656.20 "," $ 1,719.90 "," $ 1,783.60 "," $ 2,600.00 "," $ 2,300.00 ",81%,0, $ -   , $ -   
CHARLIE BLUE 100 ML EDT SPRAY         , $ 115.00 , Paid in Full, $ 138.00 , $ 143.75 , $ 149.50 , $ 155.25 , $ 161.00 ,, $ 350.00 ,204%,0, $ -   , $ -   
