Date,Time,Visitor State,Device,Visitor Type,Page Views,Product Views,Added to Cart,Completed Purchase,Total Spend ($),Average Time on Site (Minutes)
2023-06-05,23:37,Illinois,Desktop,New,2,3,4,2,44.48,25
2023-06-05,07:49,Michigan,Tablet,Returning,10,6,5,0,78.01,26
2023-06-05,15:15,Illinois,Mobile,New,6,4,0,0,60.87,21
2023-06-05,23:28,New York,Desktop,New,2,6,5,1,74.46,25
2023-06-05,08:58,Florida,Mobile,New,10,4,3,0,48.4,25
2023-06-06,04:02,Florida,Tablet,New,8,6,2,3,58.98,20
2023-06-06,21:18,New York,Desktop,Returning,1,5,4,2,76.99,6
2023-06-06,08:46,Ohio,Desktop,New,1,1,5,2,67.79,1
2023-06-06,16:50,Texas,Mobile,Returning,1,1,3,1,66.7,29
2023-06-06,11:51,New York,Tablet,Returning,4,6,4,2,63.44,27
2023-06-06,10:40,Texas,Tablet,Returning,2,1,2,3,75.22,9
2023-06-06,13:35,Illinois,Mobile,New,9,6,5,3,41.92,1
2023-06-06,05:38,Illinois,Mobile,Returning,6,3,0,3,51.08,22
2023-06-06,06:49,Ohio,Desktop,Returning,5,1,3,2,67.01,19
2023-06-07,20:42,Texas,Mobile,New,8,1,2,2,53.24,29
2023-06-07,16:35,Michigan,Mobile,Returning,5,2,5,2,48.84,18
2023-06-07,01:01,Ohio,Desktop,New,6,1,3,1,45.91,4
2023-06-07,21:01,California,Tablet,New,9,2,0,1,57.79,20
2023-06-07,11:04,New York,Mobile,Returning,5,1,3,2,49.85,2
2023-06-08,01:33,Ohio,Desktop,New,6,6,2,1,71.9,23
2023-06-08,13:27,Illinois,Mobile,Returning,4,6,0,3,44.94,22
2023-06-08,04:36,Texas,Tablet,New,4,7,0,1,40.31,27
2023-06-08,23:06,Illinois,Desktop,New,10,6,2,3,50.3,23
2023-06-08,02:29,Ohio,Tablet,Returning,3,3,4,0,79.42,29
2023-06-08,01:01,Texas,Tablet,New,5,3,0,3,71.02,16
2023-06-09,22:25,Illinois,Mobile,Returning,4,3,5,0,60.59,16
2023-06-09,14:52,Illinois,Desktop,New,3,3,0,2,57.81,20
2023-06-09,20:34,Ohio,Tablet,New,10,1,1,2,46.95,15
2023-06-09,20:57,Michigan,Desktop,Returning,6,7,4,0,45.44,4
2023-06-09,18:05,Florida,Desktop,New,6,4,1,1,43.06,26
2023-06-10,03:41,Texas,Desktop,Returning,5,2,1,2,59.65,3
2023-06-10,21:05,Ohio,Desktop,Returning,2,6,4,1,60.07,26
2023-06-10,22:41,California,Tablet,Returning,8,3,3,1,42.96,1
2023-06-10,21:51,Michigan,Desktop,Returning,4,3,5,1,67.64,1
2023-06-10,17:25,California,Desktop,Returning,2,6,5,1,57.75,19
2023-06-10,17:06,New York,Tablet,New,2,1,0,0,50.76,24
2023-06-10,10:38,Ohio,Tablet,New,9,3,1,1,62,27
2023-06-11,20:41,New York,Tablet,New,3,6,1,1,62.5,22
2023-06-11,16:42,California,Desktop,Returning,6,6,3,2,40.93,11
2023-06-11,22:40,Ohio,Mobile,Returning,1,1,2,3,54.45,16
2023-06-11,16:35,Michigan,Desktop,New,4,2,0,1,50.6,11
2023-06-11,09:45,New York,Desktop,New,3,3,4,3,63.11,22
2023-06-11,13:25,California,Tablet,Returning,10,1,2,3,69.68,21
2023-06-11,09:31,California,Tablet,New,9,5,4,2,59.88,23
2023-06-11,19:12,Michigan,Desktop,New,2,3,4,0,74.07,3
2023-06-11,15:11,California,Tablet,New,6,2,5,2,41.56,26
2023-06-12,19:15,Michigan,Desktop,New,8,7,1,0,45.22,12
2023-06-12,12:38,New York,Tablet,New,9,7,5,1,74.85,16
2023-06-12,14:41,Florida,Tablet,Returning,9,1,2,3,77.65,24
2023-06-12,16:10,Texas,Mobile,New,3,5,2,3,75.34,20
2023-06-12,20:42,Ohio,Desktop,Returning,4,4,1,2,69.75,25
2023-06-12,10:58,California,Mobile,New,8,6,4,3,48.04,28
2023-06-12,12:52,Texas,Mobile,New,7,4,4,1,47.55,23
2023-06-12,03:38,Florida,Desktop,New,5,4,0,3,69.23,29
2023-06-13,15:21,Florida,Tablet,Returning,5,5,5,2,45.17,13
2023-06-13,17:46,Michigan,Mobile,Returning,9,1,2,1,54.67,11
2023-06-13,19:16,Michigan,Mobile,Returning,2,2,3,2,73.06,1
2023-06-13,20:26,Florida,Desktop,Returning,9,3,0,2,53.57,24
2023-06-13,12:56,Texas,Mobile,Returning,7,2,2,3,75.58,14
2023-06-13,20:21,New York,Desktop,Returning,8,7,5,3,72.18,25
2023-06-14,15:03,Texas,Mobile,New,8,4,3,0,48.82,7
2023-06-14,18:06,Texas,Mobile,New,5,5,4,3,41.22,3
2023-06-14,07:34,New York,Mobile,New,3,7,4,1,70.02,7
2023-06-14,22:43,Texas,Tablet,Returning,6,4,5,0,70.63,25
2023-06-14,07:02,California,Tablet,New,8,3,0,3,51.2,25
2023-06-14,16:36,Michigan,Tablet,Returning,4,3,2,3,52.17,12
2023-06-15,07:38,New York,Mobile,New,4,7,3,3,43.65,20
2023-06-15,13:29,Ohio,Desktop,Returning,3,1,1,0,63.1,11
2023-06-15,21:07,New York,Tablet,Returning,3,6,2,3,64.75,6
2023-06-15,22:21,Ohio,Mobile,Returning,2,3,4,1,64.74,10
2023-06-15,20:15,Ohio,Mobile,New,6,5,3,3,78.43,9
2023-06-15,01:36,California,Desktop,Returning,3,2,2,0,54.93,28
2023-06-15,09:48,New York,Tablet,New,7,4,4,0,44.84,11
2023-06-16,10:34,Michigan,Desktop,Returning,5,4,4,2,41.4,26
2023-06-16,00:23,California,Mobile,New,2,1,0,2,64.67,7
2023-06-16,23:15,California,Tablet,New,1,4,2,1,70.43,21
2023-06-16,20:38,Michigan,Tablet,Returning,4,3,2,3,79.27,9
2023-06-16,02:44,Michigan,Tablet,New,1,4,3,0,73.75,10
2023-06-17,02:46,Texas,Desktop,New,6,2,4,1,64.22,29
2023-06-17,04:34,New York,Tablet,Returning,6,6,1,3,52.13,17
2023-06-17,07:54,New York,Desktop,New,2,1,0,1,71.44,16
2023-06-17,01:50,Florida,Desktop,Returning,6,5,3,1,52.23,11
2023-06-17,00:30,New York,Mobile,New,9,1,2,2,43.43,22
2023-06-17,01:06,Texas,Tablet,Returning,4,6,3,2,63.71,19
2023-06-17,10:01,Ohio,Desktop,Returning,9,7,4,2,63.13,11
2023-06-17,02:27,Florida,Desktop,Returning,6,5,1,3,41.65,19
2023-06-17,15:10,Texas,Desktop,Returning,10,4,2,0,77.56,17
2023-06-18,22:44,New York,Tablet,New,8,7,5,3,71.02,12
2023-06-18,20:48,Ohio,Desktop,New,8,2,3,3,58.9,27
2023-06-18,12:38,California,Mobile,Returning,10,1,3,1,71.48,2
2023-06-18,07:01,Ohio,Mobile,New,5,2,2,3,68.62,8
2023-06-18,11:24,Florida,Mobile,New,6,2,0,1,78.26,24
2023-06-18,23:22,Illinois,Mobile,Returning,7,6,2,2,62.57,2
2023-06-18,12:04,Ohio,Tablet,Returning,4,4,2,2,51.38,3
2023-06-18,22:31,New York,Tablet,New,1,5,5,0,56.76,19
2023-06-18,02:35,Illinois,Tablet,Returning,7,4,2,1,76.4,23
2023-06-18,06:13,California,Tablet,New,1,7,0,0,75.65,7
2023-06-19,06:29,Illinois,Desktop,Returning,3,2,4,1,51.1,27
2023-06-19,11:31,Ohio,Tablet,New,2,6,5,0,51.02,2
2023-06-19,02:10,New York,Tablet,New,4,5,5,3,74.3,4
2023-06-19,05:09,California,Tablet,New,4,6,3,1,72.1,23
2023-06-19,23:00,New York,Desktop,Returning,6,2,4,3,74.17,9
2023-06-19,04:49,Illinois,Mobile,Returning,8,2,5,2,65.28,5
2023-06-20,20:19,Texas,Tablet,Returning,3,5,0,3,42.97,16
2023-06-20,22:56,Texas,Mobile,Returning,10,4,5,3,78.63,11
2023-06-20,09:31,Ohio,Desktop,Returning,6,5,3,3,50.53,24
2023-06-20,11:01,Michigan,Desktop,Returning,7,7,2,3,54.95,5
2023-06-20,19:49,Michigan,Mobile,New,2,4,5,3,58.45,19
2023-06-20,16:55,Florida,Mobile,Returning,7,5,4,3,79.15,2
2023-06-20,22:05,Florida,Mobile,Returning,9,6,1,1,66.9,26
2023-06-20,03:41,Florida,Tablet,Returning,10,2,3,1,59.15,2
2023-06-20,14:17,Michigan,Mobile,Returning,9,5,5,2,66.46,20
2023-06-21,12:06,Texas,Desktop,New,9,3,1,0,51.18,26
2023-06-21,18:54,California,Tablet,New,2,1,4,3,51.88,8
2023-06-21,16:12,New York,Mobile,Returning,8,1,0,1,54.97,12
2023-06-21,20:58,Texas,Desktop,New,10,3,5,3,75.63,6
2023-06-21,17:48,Illinois,Tablet,New,5,7,4,2,43.96,18
2023-06-21,18:59,California,Mobile,Returning,7,3,3,1,72.06,11
2023-06-21,02:10,Florida,Mobile,Returning,3,3,1,1,67.23,23
2023-06-22,15:55,Florida,Desktop,New,2,2,3,2,54.65,12
2023-06-22,22:03,Illinois,Desktop,New,7,3,5,0,53.41,4
2023-06-22,23:23,Florida,Desktop,New,6,2,3,3,67.99,4
2023-06-22,06:09,Ohio,Mobile,New,7,5,1,3,71.32,9
2023-06-22,12:00,Ohio,Desktop,New,2,2,5,2,76.9,18
2023-06-23,07:11,Michigan,Tablet,New,6,2,2,0,61.57,5
2023-06-23,15:35,California,Mobile,New,3,1,2,0,60.6,30
2023-06-23,05:09,Michigan,Tablet,Returning,7,4,3,2,77.05,2
2023-06-23,08:29,Illinois,Tablet,Returning,2,6,4,0,63.11,28
2023-06-23,12:28,Texas,Tablet,New,9,1,3,0,49.66,8
2023-06-23,23:18,New York,Mobile,Returning,7,3,2,0,56.91,2
2023-06-23,18:42,Florida,Tablet,New,8,4,3,3,51.28,2
2023-06-23,19:33,Florida,Mobile,New,1,3,0,3,66.14,26
2023-06-23,11:56,Florida,Mobile,New,10,7,2,1,56.56,28
2023-06-23,10:01,Ohio,Desktop,Returning,4,3,3,0,46.16,30
2023-06-24,00:22,Illinois,Tablet,Returning,1,1,5,3,55.32,16
2023-06-24,02:07,New York,Mobile,New,2,3,1,3,42.01,14
2023-06-24,09:36,Texas,Tablet,Returning,5,7,5,0,62.47,25
2023-06-24,21:53,Michigan,Tablet,Returning,2,6,1,0,74.23,24
2023-06-24,09:06,Texas,Tablet,New,10,3,2,0,71.89,24
2023-06-24,08:53,New York,Tablet,Returning,7,2,3,2,74.36,4
2023-06-24,04:59,Illinois,Mobile,New,8,7,0,1,79.32,8
2023-06-24,13:41,Michigan,Mobile,New,2,7,4,1,50.33,7
2023-06-24,00:06,Florida,Tablet,New,2,7,0,0,45.68,9
2023-06-25,03:33,New York,Tablet,New,6,5,4,3,44.81,5
2023-06-25,10:29,Florida,Tablet,Returning,9,1,1,1,47.72,22
2023-06-25,10:32,Texas,Desktop,Returning,6,4,2,3,70.57,3
2023-06-25,02:49,Michigan,Desktop,Returning,9,6,3,3,71.21,20
2023-06-25,15:20,Michigan,Tablet,Returning,5,6,5,0,48.07,12
2023-06-25,01:51,Michigan,Tablet,New,5,4,4,1,54.91,30
2023-06-25,20:02,California,Desktop,New,8,5,3,1,54.7,17
2023-06-25,17:47,Florida,Mobile,New,4,5,1,0,58.72,21
2023-06-25,06:54,Florida,Mobile,New,3,2,4,2,77.31,6
2023-06-26,02:02,Ohio,Desktop,Returning,6,7,1,2,68.03,30
2023-06-26,18:01,Florida,Tablet,New,1,2,2,3,46.58,13
2023-06-26,23:26,California,Tablet,New,7,4,4,0,65,4
2023-06-26,08:25,Ohio,Mobile,New,4,1,3,2,78.77,3
2023-06-26,21:57,California,Desktop,Returning,1,5,4,1,47.16,28
2023-06-26,06:23,Florida,Desktop,New,3,3,2,3,74.31,3
2023-06-27,09:22,Florida,Tablet,Returning,10,5,5,0,66.12,12
2023-06-27,20:24,Florida,Tablet,New,1,5,1,2,79.73,14
2023-06-27,02:10,Florida,Mobile,New,7,6,0,0,70.48,19
2023-06-27,05:58,California,Tablet,New,5,3,1,3,69.67,26
2023-06-27,22:14,Illinois,Mobile,Returning,7,6,0,1,49.72,22
2023-06-27,16:25,Texas,Desktop,New,9,1,5,0,41.12,18
2023-06-28,20:02,Illinois,Tablet,New,6,3,0,1,70.2,6
2023-06-28,08:26,Illinois,Desktop,Returning,8,3,0,0,55.53,1
2023-06-28,08:02,New York,Desktop,New,5,3,5,0,48.62,21
2023-06-28,04:51,Michigan,Desktop,New,3,2,1,1,69.58,17
2023-06-28,17:33,Michigan,Tablet,Returning,1,6,5,1,60.91,22
2023-06-28,21:58,Texas,Tablet,New,10,6,5,0,49.42,23
2023-06-28,02:13,Michigan,Mobile,New,6,5,3,0,50.92,24
2023-06-29,06:12,Michigan,Mobile,New,3,7,4,2,53.82,4
2023-06-29,17:53,Illinois,Mobile,New,8,5,2,2,52.84,13
2023-06-29,17:52,New York,Desktop,Returning,4,6,5,3,54.61,25
2023-06-29,10:56,California,Desktop,Returning,7,4,1,2,60.89,8
2023-06-29,15:37,Ohio,Desktop,Returning,10,1,5,0,78.24,10
2023-06-29,02:10,Florida,Desktop,Returning,10,3,4,0,59.04,21
2023-06-29,05:52,New York,Desktop,New,3,6,2,0,78.99,9
2023-06-29,07:08,Illinois,Desktop,Returning,5,7,4,1,66.65,9
2023-06-29,10:49,California,Desktop,New,10,7,1,3,60.23,2
2023-06-29,09:29,New York,Desktop,Returning,5,1,0,2,44.29,22
2023-06-30,05:07,Ohio,Desktop,New,4,1,1,0,64.58,30
2023-06-30,08:45,Florida,Tablet,New,8,1,3,2,76.21,21
2023-06-30,10:11,Texas,Mobile,New,5,4,4,2,75.41,23
2023-06-30,18:48,New York,Desktop,Returning,1,6,5,0,62.43,13
2023-06-30,10:27,Ohio,Desktop,Returning,7,6,1,0,59.83,5
2023-06-30,20:00,Texas,Desktop,New,5,3,2,0,45.49,24
2023-06-30,21:43,California,Tablet,Returning,9,7,1,3,68.12,22
2023-06-30,08:29,Michigan,Mobile,New,4,6,0,2,67.92,1
2023-06-30,19:39,Illinois,Tablet,Returning,2,3,4,2,72.98,13
2023-07-01,14:22,Florida,Desktop,Returning,3,5,4,2,55.31,28
2023-07-01,08:53,New York,Mobile,Returning,5,2,5,2,59.29,26
2023-07-01,04:40,Florida,Mobile,New,6,1,4,3,74.38,2
2023-07-01,11:30,California,Tablet,Returning,10,1,1,0,41.9,9
2023-07-01,08:30,Florida,Mobile,New,6,2,0,3,46.02,17
2023-07-01,15:17,New York,Mobile,New,9,7,3,0,54.83,23
2023-07-01,04:35,California,Tablet,New,2,2,5,0,79.27,6
2023-07-01,20:31,Ohio,Mobile,Returning,9,7,0,3,55.39,9
2023-07-01,03:16,Ohio,Desktop,Returning,8,1,1,3,52.88,10
2023-07-01,08:12,Ohio,Mobile,Returning,4,4,1,0,75.1,16
2023-07-02,12:32,Ohio,Tablet,New,8,2,2,3,70.61,8
2023-07-02,08:18,California,Mobile,Returning,10,4,0,1,69.17,29
2023-07-02,14:48,Texas,Tablet,Returning,7,7,5,1,67.33,2
2023-07-02,12:32,California,Tablet,Returning,8,1,4,1,64.19,20
2023-07-02,23:45,Michigan,Mobile,Returning,5,4,3,1,66.46,26
2023-07-03,05:17,Michigan,Mobile,New,6,5,4,0,45.46,6
2023-07-03,20:59,Florida,Mobile,Returning,8,2,0,0,63.61,11
2023-07-03,20:43,Florida,Tablet,New,10,7,3,3,76.82,15
2023-07-03,22:12,Ohio,Tablet,Returning,10,3,5,1,67.97,22
2023-07-03,08:43,Ohio,Mobile,Returning,3,6,2,3,79.62,5
2023-07-03,03:16,Texas,Tablet,New,7,6,0,2,72.17,10
2023-07-03,11:33,New York,Tablet,New,4,5,5,3,41.66,17
2023-07-03,03:33,California,Tablet,New,7,3,2,3,62.29,26
2023-07-03,21:19,California,Desktop,Returning,6,3,1,3,56.42,20
2023-07-03,20:38,New York,Mobile,New,3,3,4,0,41.02,22
2023-07-04,16:16,Illinois,Mobile,New,6,1,1,2,73.63,7
2023-07-04,23:29,Texas,Desktop,Returning,9,2,0,1,69.58,19
2023-07-04,11:57,Michigan,Mobile,Returning,1,7,0,3,63.53,22
2023-07-04,23:25,Ohio,Desktop,New,6,5,3,2,79.76,19
2023-07-04,09:39,Michigan,Desktop,New,2,1,1,0,40.67,12
2023-07-04,13:31,California,Desktop,New,2,5,4,2,68.02,8
2023-07-04,18:12,Illinois,Desktop,Returning,2,5,4,3,65.71,27
2023-07-04,07:02,Florida,Mobile,New,8,4,0,2,57.82,25
2023-07-05,08:03,Florida,Tablet,New,1,1,3,3,66.13,30
2023-07-05,07:37,New York,Tablet,New,2,2,1,2,60.26,21
2023-07-05,01:12,Texas,Desktop,New,9,5,2,0,40.93,27
2023-07-05,21:45,Illinois,Desktop,Returning,10,4,4,3,74.25,29
2023-07-05,22:19,Texas,Tablet,Returning,1,6,3,1,59.33,18
2023-07-05,07:53,Texas,Desktop,Returning,6,3,4,0,51.77,17
2023-07-05,08:51,Michigan,Desktop,Returning,1,5,2,3,54.15,4
2023-07-06,13:01,Ohio,Desktop,Returning,2,5,4,2,63.25,22
2023-07-06,15:01,Michigan,Desktop,New,8,5,4,1,56.92,6
2023-07-06,20:46,California,Tablet,Returning,10,2,0,1,42.52,24
2023-07-06,11:11,Illinois,Mobile,Returning,3,2,3,3,43.1,11
2023-07-06,07:20,California,Desktop,New,5,7,4,2,78.86,22
2023-07-07,04:42,California,Tablet,New,3,3,2,0,52.01,12
2023-07-07,06:45,Florida,Mobile,New,2,7,5,1,55.12,7
2023-07-07,19:05,Illinois,Mobile,Returning,9,6,2,1,64.2,4
2023-07-07,02:56,Ohio,Desktop,Returning,10,3,3,0,73.11,2
2023-07-07,13:47,Ohio,Mobile,Returning,9,7,2,1,65.82,29
2023-07-08,03:58,Ohio,Tablet,New,9,1,0,2,57.76,25
2023-07-08,01:19,Illinois,Mobile,New,4,2,4,3,62.69,21
2023-07-08,07:30,Ohio,Mobile,Returning,5,4,5,3,70.66,11
2023-07-08,10:56,Michigan,Mobile,New,7,6,2,3,48.77,28
2023-07-08,20:53,Texas,Desktop,Returning,3,2,2,0,76.91,4
2023-07-08,16:28,Florida,Tablet,New,6,7,4,3,63.79,18
2023-07-08,15:11,Illinois,Tablet,New,3,3,1,0,74.55,21
2023-07-09,13:17,Florida,Tablet,Returning,4,7,5,2,46.28,12
2023-07-09,05:43,Illinois,Tablet,New,7,7,1,0,64.9,20
2023-07-09,06:16,Illinois,Tablet,New,5,4,2,1,53.75,15
2023-07-09,18:29,Texas,Desktop,Returning,6,4,0,0,64.87,24
2023-07-09,22:44,Ohio,Mobile,Returning,9,1,5,1,65.41,21
2023-07-09,12:39,Florida,Tablet,New,10,2,4,1,72.49,4
2023-07-10,04:32,New York,Mobile,Returning,7,1,0,1,61.61,3
2023-07-10,10:24,Illinois,Tablet,New,2,7,1,0,79.15,28
2023-07-10,14:39,Texas,Desktop,New,1,5,4,0,66.65,19
2023-07-10,05:55,Illinois,Desktop,New,10,7,5,2,53.53,25
2023-07-10,06:17,Florida,Desktop,Returning,2,5,1,2,53.35,24
2023-07-10,09:12,Florida,Desktop,New,10,1,4,2,51.19,20
2023-07-10,15:13,California,Desktop,New,7,3,5,1,68.83,6
2023-07-10,11:01,Florida,Desktop,New,3,4,5,0,44.88,20
2023-07-10,17:44,New York,Mobile,New,8,3,0,2,69.28,28
2023-07-11,05:26,California,Mobile,Returning,6,7,0,3,77.35,17
2023-07-11,08:02,Florida,Mobile,New,5,1,5,0,73.72,12
2023-07-11,00:15,Michigan,Desktop,New,9,1,4,0,57.27,8
2023-07-11,02:28,California,Tablet,New,6,3,4,1,72.66,30
2023-07-11,12:39,California,Desktop,Returning,2,1,3,0,49.69,2
2023-07-11,19:08,Illinois,Mobile,New,1,2,1,1,58.92,8
2023-07-11,07:48,New York,Tablet,Returning,10,7,2,3,60.31,9
2023-07-11,22:34,Ohio,Desktop,Returning,7,6,5,1,48.32,23
2023-07-11,08:37,Illinois,Desktop,New,7,6,5,0,47.79,19
2023-07-12,12:04,Michigan,Mobile,New,5,1,4,3,57.91,13
2023-07-12,12:11,Illinois,Tablet,Returning,1,7,2,1,67.49,16
2023-07-12,06:05,Illinois,Tablet,New,6,6,0,1,76.41,20
2023-07-12,19:44,Florida,Tablet,New,5,6,0,2,52.6,26
2023-07-12,07:32,California,Desktop,Returning,8,1,0,3,53.85,27
2023-07-13,12:43,Illinois,Tablet,Returning,10,4,3,2,46.82,2
2023-07-13,19:39,Texas,Desktop,New,2,5,1,0,46.36,16
2023-07-13,03:16,Illinois,Desktop,Returning,2,5,2,2,62.72,19
2023-07-13,12:56,Florida,Desktop,New,4,4,2,2,63.17,29
2023-07-13,18:57,New York,Desktop,New,6,5,2,1,69.8,16
2023-07-13,04:30,Illinois,Desktop,Returning,8,5,5,0,49.85,6
2023-07-14,01:08,Illinois,Mobile,Returning,2,3,5,2,61.66,3
2023-07-14,18:30,Michigan,Tablet,Returning,5,2,1,3,55.47,18
2023-07-14,08:59,Ohio,Desktop,New,8,5,3,2,78.66,14
2023-07-14,07:59,California,Desktop,New,6,7,1,1,69,25
2023-07-14,15:34,Texas,Mobile,New,10,3,2,2,53.74,6
2023-07-14,11:14,New York,Desktop,Returning,9,6,5,2,47.21,9
2023-07-14,07:54,Florida,Tablet,New,4,1,2,3,43.92,24
2023-07-14,03:32,Michigan,Tablet,Returning,5,5,0,1,54.91,7
2023-07-15,12:52,New York,Tablet,New,10,7,0,3,57.35,26
2023-07-15,13:17,Florida,Tablet,New,5,6,0,2,77.72,23
2023-07-15,19:47,Florida,Desktop,Returning,7,2,1,1,76.38,22
2023-07-15,19:42,Illinois,Mobile,New,8,6,4,0,74.79,15
2023-07-15,07:34,Ohio,Desktop,Returning,2,3,5,3,49.63,12
2023-07-15,10:16,Texas,Mobile,New,10,2,2,0,45.73,9
2023-07-15,17:39,Illinois,Tablet,Returning,6,6,1,0,71.27,18
2023-07-15,17:55,Florida,Mobile,Returning,5,1,1,1,44.81,22
2023-07-15,08:06,Michigan,Desktop,New,8,6,5,0,60.49,16
2023-07-15,08:52,Florida,Mobile,New,9,5,0,0,48.04,26
2023-07-16,17:45,Ohio,Tablet,Returning,4,1,0,3,49.04,22
2023-07-16,11:57,California,Tablet,Returning,3,5,5,1,40.31,22
2023-07-16,17:50,Ohio,Tablet,Returning,5,4,0,0,61.75,2
2023-07-16,01:02,New York,Desktop,Returning,6,6,5,3,65.14,13
2023-07-16,09:12,Illinois,Mobile,New,8,7,4,0,63.81,19
2023-07-16,11:28,Texas,Mobile,New,5,7,5,2,67.17,19
2023-07-16,04:12,Michigan,Mobile,New,1,4,4,2,56.75,7
2023-07-16,06:23,Florida,Desktop,New,4,6,4,2,78.54,25
2023-07-17,17:35,New York,Desktop,New,8,3,0,1,79.39,16
2023-07-17,12:28,Ohio,Desktop,Returning,9,5,2,1,48.43,4
2023-07-17,06:39,California,Mobile,Returning,8,1,4,0,74.3,7
2023-07-17,19:02,Florida,Desktop,Returning,5,3,1,0,62.13,21
2023-07-17,16:14,New York,Desktop,Returning,2,3,2,2,73.44,21
2023-07-18,06:55,Illinois,Tablet,Returning,7,4,1,2,79.19,26
2023-07-18,13:03,Michigan,Desktop,Returning,8,3,3,0,66.32,8
2023-07-18,17:03,New York,Tablet,New,1,4,3,2,78.32,10
2023-07-18,12:30,Michigan,Tablet,Returning,10,7,4,2,77.4,6
2023-07-18,14:32,Ohio,Mobile,Returning,2,6,1,2,40.19,13
2023-07-18,20:11,Texas,Mobile,Returning,10,5,3,0,56.79,8
2023-07-18,22:04,Michigan,Tablet,Returning,3,2,5,3,55.91,30
2023-07-19,03:51,Texas,Tablet,New,7,2,3,0,45.62,17
2023-07-19,02:15,Ohio,Mobile,Returning,5,3,3,0,73.48,3
2023-07-19,11:27,Illinois,Desktop,New,2,7,2,0,69.82,17
2023-07-19,13:17,Texas,Tablet,New,2,6,4,1,73.42,7
2023-07-19,09:56,New York,Tablet,New,5,5,0,3,78.17,22
2023-07-19,19:32,Illinois,Mobile,Returning,4,7,0,3,71.02,10
2023-07-19,12:09,New York,Desktop,New,1,3,3,3,47.78,21
2023-07-19,23:40,Texas,Mobile,Returning,7,2,5,1,43.14,4
2023-07-20,21:14,Michigan,Desktop,New,3,1,0,3,68.93,13
2023-07-20,13:14,New York,Tablet,Returning,6,4,1,2,74.21,25
2023-07-20,07:22,New York,Tablet,Returning,3,4,3,1,66.13,14
2023-07-20,07:27,New York,Tablet,New,1,3,3,1,62.47,4
