Payment Date,Date Impacted,Details, Card Amount,Clasification,Payment Plan,Card,Bank
18-ago,18-ago,Serv.Costos Financieros,"  2.369,63 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
18-ago,18-ago,Deduc.Impositivas,"  807,24 ",Impuesto,No aplica,MASTERCARD,GALICIA
18-ago,18-ago,Serv.Cobro Anticipado,"  64,71 ",Cobro Anticipado,No aplica,MASTERCARD,GALICIA
23-ago,23-ago,Arancel,"  1.758,87 ",Arancel,No aplica,MASTERCARD,GALICIA
23-ago,23-ago,Serv.Costos Financieros,"  17.273,16 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
23-ago,23-ago,Deduc.Impositivas,"  5.968,32 ",Impuesto,No aplica,MASTERCARD,GALICIA
23-ago,23-ago,Serv.Cobro Anticipado,"  505,68 ",Cobro Anticipado,No aplica,MASTERCARD,GALICIA
24-ago,24-ago,Arancel,"  1.234,55 ",Arancel,No aplica,MASTERCARD,GALICIA
24-ago,24-ago,Serv.Costos Financieros,"  11.146,91 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
24-ago,24-ago,Deduc.Impositivas,"  4.718,14 ",Impuesto,No aplica,MASTERCARD,GALICIA
24-ago,24-ago,Serv.Cobro Anticipado,"  284,05 ",Cobro Anticipado,No aplica,MASTERCARD,GALICIA
25-ago,25-ago,Arancel,"  356,00 ",Arancel,No aplica,MASTERCARD,GALICIA
25-ago,25-ago,Deduc.Impositivas,"  1.632,26 ",Impuesto,No aplica,MASTERCARD,GALICIA
28-ago,28-ago,Arancel,"  1.546,65 ",Arancel,No aplica,MASTERCARD,GALICIA
28-ago,28-ago,Serv.Costos Financieros,"  13.611,09 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
28-ago,28-ago,Deduc.Impositivas,"  5.628,46 ",Impuesto,No aplica,MASTERCARD,GALICIA
28-ago,28-ago,Serv.Cobro Anticipado,"  229,83 ",Cobro Anticipado,No aplica,MASTERCARD,GALICIA
29-ago,29-ago,Arancel,"  1.749,70 ",Arancel,No aplica,MASTERCARD,GALICIA
29-ago,29-ago,Serv.Costos Financieros,"  19.710,68 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
29-ago,29-ago,Deduc.Impositivas,"  7.698,12 ",Impuesto,No aplica,MASTERCARD,GALICIA
29-ago,29-ago,Serv.Cobro Anticipado,"  482,66 ",Cobro Anticipado,No aplica,MASTERCARD,GALICIA
31-ago,31-ago,Arancel,"  224,00 ",Arancel,No aplica,MASTERCARD,GALICIA
31-ago,31-ago,Deduc.Impositivas,"  1.027,04 ",Impuesto,No aplica,MASTERCARD,GALICIA
26-jul,26-jul,16190866-0082,"  1.490,00 ",Crédito,Pesos,NARANJA,NARANJA X
2-ago,2-ago,16190866-0094,"  13.800,00 ",Crédito,Pesos,NARANJA,NARANJA X
10-ago,10-ago,16190866-0107,"  9.500,00 ",Crédito,Pesos,NARANJA,NARANJA X
25-jul,25-jul,16190866-0080,"  23.690,00 ",Crédito,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,16190866-0081,"  6.900,00 ",Crédito,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,16190866-0082,"  69.000,00 ",Crédito,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,16190866-0083,"  29.670,00 ",Crédito,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,16190866-0084,"  11.500,00 ",Crédito,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,16190866-0085,"  20.125,00 ",Crédito,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,16190866-0086,"  20.200,00 ",Crédito,Plan Z,NARANJA,NARANJA X
29-jul,29-jul,16190866-0088,"  21.735,00 ",Crédito,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,16190866-0089,"  8.280,00 ",Crédito,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,16190866-0090,"  63.480,00 ",Crédito,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,16190866-0095,"  33.580,00 ",Crédito,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,16190866-0096,"  15.755,00 ",Crédito,Plan Z,NARANJA,NARANJA X
4-ago,4-ago,16190866-0098,"  9.200,00 ",Crédito,Plan Z,NARANJA,NARANJA X
5-ago,5-ago,16190866-0099,"  24.385,00 ",Crédito,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,16190866-0101,"  23.000,00 ",Crédito,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,16190866-0102,"  40.135,00 ",Crédito,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,16190866-0103,"  10.695,00 ",Crédito,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,16190866-0104,"  32.200,00 ",Crédito,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,16190866-0107,"  7.935,00 ",Crédito,Plan Z,NARANJA,NARANJA X
12-ago,12-ago,16190866-0111,"  7.935,00 ",Crédito,Plan Z,NARANJA,NARANJA X
14-ago,14-ago,16190866-0114,"  42.205,00 ",Crédito,Plan Z,NARANJA,NARANJA X
16-ago,16-ago,16190866-0116,"  12.650,00 ",Crédito,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,16190866-0118,"  12.650,00 ",Crédito,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,16190866-0119,"  31.050,00 ",Crédito,Plan Z,NARANJA,NARANJA X
18-ago,18-ago,16190866-0121,"  58.350,00 ",Crédito,Plan Z,NARANJA,NARANJA X
19-ago,19-ago,16190866-0123,"  23.000,00 ",Crédito,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,16190866-0124,"  37.000,00 ",Crédito,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,16190866-0125,"  3.800,00 ",Crédito,Plan Z,NARANJA,NARANJA X
22-ago,22-ago,16190866-0126,"  26.450,00 ",Crédito,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,16190866-0127,"  30.000,00 ",Crédito,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,16190866-0128,"  49.450,00 ",Crédito,Plan Z,NARANJA,NARANJA X
2-ago,2-ago,Arancel,"  248,40 ",Arancel,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,Arancel,"  171,00 ",Arancel,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,Arancel,"  604,44 ",Arancel,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,Arancel,"  283,59 ",Arancel,Plan Z,NARANJA,NARANJA X
4-ago,4-ago,Arancel,"  165,60 ",Arancel,Plan Z,NARANJA,NARANJA X
5-ago,5-ago,Arancel,"  438,93 ",Arancel,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,Arancel,"  414,00 ",Arancel,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,Arancel,"  722,43 ",Arancel,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,Arancel,"  192,51 ",Arancel,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,Arancel,"  579,60 ",Arancel,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,Arancel,"  142,83 ",Arancel,Plan Z,NARANJA,NARANJA X
12-ago,12-ago,Arancel,"  142,83 ",Arancel,Plan Z,NARANJA,NARANJA X
14-ago,14-ago,Arancel,"  759,69 ",Arancel,Plan Z,NARANJA,NARANJA X
16-ago,16-ago,Arancel,"  227,70 ",Arancel,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,Arancel,"  227,70 ",Arancel,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,Arancel,"  558,90 ",Arancel,Plan Z,NARANJA,NARANJA X
18-ago,18-ago,Arancel,"  1.050,30 ",Arancel,Plan Z,NARANJA,NARANJA X
19-ago,19-ago,Arancel,"  414,00 ",Arancel,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,Arancel,"  666,00 ",Arancel,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,Arancel,"  68,40 ",Arancel,Plan Z,NARANJA,NARANJA X
22-ago,22-ago,Arancel,"  476,10 ",Arancel,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,Arancel,"  540,00 ",Arancel,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,Arancel,"  890,10 ",Arancel,Plan Z,NARANJA,NARANJA X
25-jul,25-jul,Intereses Plan Zeta,"  2.345,31 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Intereses Plan Zeta,"  683,10 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Intereses Plan Zeta,"  6.831,01 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,Intereses Plan Zeta,"  2.937,33 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,Intereses Plan Zeta,"  1.138,50 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,Intereses Plan Zeta,"  1.992,38 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,Intereses Plan Zeta,"  1.999,80 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
29-jul,29-jul,Intereses Plan Zeta,"  2.151,77 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,Intereses Plan Zeta,"  819,72 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,Intereses Plan Zeta,"  6.284,53 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,Intereses Plan Zeta,"  3.324,43 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,Intereses Plan Zeta,"  1.559,75 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
4-ago,4-ago,Intereses Plan Zeta,"  910,80 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
5-ago,5-ago,Intereses Plan Zeta,"  2.414,12 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,Intereses Plan Zeta,"  2.277,00 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,Intereses Plan Zeta,"  3.973,37 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,Intereses Plan Zeta,"  1.058,81 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,Intereses Plan Zeta,"  3.187,80 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,Intereses Plan Zeta,"  785,57 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
12-ago,12-ago,Intereses Plan Zeta,"  785,57 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
14-ago,14-ago,Intereses Plan Zeta,"  4.178,31 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
16-ago,16-ago,Intereses Plan Zeta,"  1.631,85 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,Intereses Plan Zeta,"  1.631,85 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,Intereses Plan Zeta,"  4.005,45 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
18-ago,18-ago,Intereses Plan Zeta,"  7.527,15 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
19-ago,19-ago,Intereses Plan Zeta,"  2.967,00 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,Intereses Plan Zeta,"  4.773,00 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,Intereses Plan Zeta,"  490,20 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
22-ago,22-ago,Intereses Plan Zeta,"  3.412,05 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,Intereses Plan Zeta,"  3.870,00 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,Intereses Plan Zeta,"  6.379,05 ",Costos Financieros,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,IVA 21%,"  5,63 ",Impuesto,Plan Z,NARANJA,NARANJA X
2-ago,2-ago,IVA 21%,"  52,16 ",Impuesto,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,IVA 21%,"  35,91 ",Impuesto,Plan Z,NARANJA,NARANJA X
25-jul,25-jul,IVA 21%,"  582,06 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,IVA 21%,"  169,53 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,IVA 21%,"  1.695,33 ",Impuesto,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,IVA 21%,"  728,99 ",Impuesto,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,IVA 21%,"  282,56 ",Impuesto,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,IVA 21%,"  494,47 ",Impuesto,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,IVA 21%,"  496,31 ",Impuesto,Plan Z,NARANJA,NARANJA X
29-jul,29-jul,IVA 21%,"  534,03 ",Impuesto,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,IVA 21%,"  203,44 ",Impuesto,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,IVA 21%,"  1.559,71 ",Impuesto,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,IVA 21%,"  825,06 ",Impuesto,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,IVA 21%,"  387,10 ",Impuesto,Plan Z,NARANJA,NARANJA X
4-ago,4-ago,IVA 21%,"  226,04 ",Impuesto,Plan Z,NARANJA,NARANJA X
5-ago,5-ago,IVA 21%,"  599,14 ",Impuesto,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,IVA 21%,"  565,11 ",Impuesto,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,IVA 21%,"  986,12 ",Impuesto,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,IVA 21%,"  262,78 ",Impuesto,Plan Z,NARANJA,NARANJA X
8-ago,8-ago,IVA 21%,"  791,15 ",Impuesto,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,IVA 21%,"  194,96 ",Impuesto,Plan Z,NARANJA,NARANJA X
12-ago,12-ago,IVA 21%,"  194,96 ",Impuesto,Plan Z,NARANJA,NARANJA X
14-ago,14-ago,IVA 21%,"  1.036,98 ",Impuesto,Plan Z,NARANJA,NARANJA X
16-ago,16-ago,IVA 21%,"  390,51 ",Impuesto,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,IVA 21%,"  390,51 ",Impuesto,Plan Z,NARANJA,NARANJA X
17-ago,17-ago,IVA 21%,"  958,51 ",Impuesto,Plan Z,NARANJA,NARANJA X
18-ago,18-ago,IVA 21%,"  1.801,26 ",Impuesto,Plan Z,NARANJA,NARANJA X
19-ago,19-ago,IVA 21%,"  710,01 ",Impuesto,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,IVA 21%,"  1.142,19 ",Impuesto,Plan Z,NARANJA,NARANJA X
21-ago,21-ago,IVA 21%,"  117,31 ",Impuesto,Plan Z,NARANJA,NARANJA X
22-ago,22-ago,IVA 21%,"  816,51 ",Impuesto,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,IVA 21%,"  926,10 ",Impuesto,Plan Z,NARANJA,NARANJA X
23-ago,23-ago,IVA 21%,"  1.526,52 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Percepción IVA 3%,"  0,80 ",Impuesto,Plan Z,NARANJA,NARANJA X
2-ago,2-ago,Percepción IVA 3%,"  7,45 ",Impuesto,Plan Z,NARANJA,NARANJA X
10-ago,10-ago,Percepción IVA 3%,"  5,13 ",Impuesto,Plan Z,NARANJA,NARANJA X
25-jul,25-jul,Percepción IVA 3%,"  83,15 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Percepción IVA 3%,"  24,22 ",Impuesto,Plan Z,NARANJA,NARANJA X
26-jul,26-jul,Percepción IVA 3%,"  242,19 ",Impuesto,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,Percepción IVA 3%,"  104,14 ",Impuesto,Plan Z,NARANJA,NARANJA X
27-jul,27-jul,Percepción IVA 3%,"  40,37 ",Impuesto,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,Percepción IVA 3%,"  70,64 ",Impuesto,Plan Z,NARANJA,NARANJA X
28-jul,28-jul,Percepción IVA 3%,"  70,90 ",Impuesto,Plan Z,NARANJA,NARANJA X
29-jul,29-jul,Percepción IVA 3%,"  76,29 ",Impuesto,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,Percepción IVA 3%,"  29,06 ",Impuesto,Plan Z,NARANJA,NARANJA X
31-jul,31-jul,Percepción IVA 3%,"  222,82 ",Impuesto,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,Percepción IVA 3%,"  117,87 ",Impuesto,Plan Z,NARANJA,NARANJA X
3-ago,3-ago,Percepción IVA 3%,"  55,30 ",Impuesto,Plan Z,NARANJA,NARANJA X
4-ago,4-ago,Percepción IVA 3%,"  32,29 ",Impuesto,Plan Z,NARANJA,NARANJA X
5-ago,5-ago,Percepción IVA 3%,"  85,59 ",Impuesto,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,Percepción IVA 3%,"  80,73 ",Impuesto,Plan Z,NARANJA,NARANJA X
7-ago,7-ago,Percepción IVA 3%,"  140,87 ",Impuesto,Plan Z,NARANJA,NARANJA X
