Animal status,National Dairy Registry,Date of birth,Animal ID,Rodeo Number,Milking 1,Milking 2,Milking 3,Production sum,Production avg,Production max
Milk production,0051-01,8/21/2021,940,2,"17,2",14,"13,6","44,8","14,9","17,2"
Milk production,0051-01,8/24/2021,941,1,"17,2","16,6","16,8","50,6","16,9","17,2"
Milk production,0051-01,8/20/2021,942,2,15,14,14,43,"14,3",15
Milk production,0051-01,8/24/2021,943,2,"14,6",10,"11,8","36,4","12,1","14,6"
Milk production,0051-01,5/1/2021,953,1,"15,2",11,"11,2","37,4","12,5","15,2"
Milk production,0051-01,4/6/2021,960,1,17,"14,2","15,2","46,4","15,5",17
Milk production,0051-01,2/21/2021,961,2,13,"9,2","10,6","32,8","10,9",13
Milk production,0051-01,3/19/2021,963,2,"15,6","12,2","11,8","39,6","13,2","15,6"
Milk production,0051-01,2/28/2021,964,1,"13,8","10,8",11,"35,6","11,9","13,8"
Milk production,0051-01,2/20/2021,966,2,"11,2","8,4","12,8","32,4","10,8","12,8"
Milk production,0051-01,8/28/2021,973,1,"13,2","12,6","13,8","39,6","13,2","13,8"
Milk production,0051-01,5/4/2021,1674,2,"12,8","15,2",12,40,"13,3","15,2"
Milk production,0051-01,5/15/2021,1741,2,"19,6","17,6","15,6","52,8","17,6","19,6"
Milk production,0051-01,2/15/2021,1822,2,"17,4","13,2",16,"46,6","15,5","17,4"
Milk production,0051-01,2/4/2021,1841,2,"8,2",5,6,"19,2","6,4","8,2"
Milk production,0051-01,4/28/2021,3825,2,18,"12,2","13,2","43,4","14,5",18
Milk production,0051-01,2/24/2021,3886,2,"12,6","11,8","13,6",38,"12,7","13,6"
Milk production,0051-01,7/20/2021,3911,2,"15,2","11,8",12,39,"13,0","15,2"
Milk production,0051-01,9/5/2021,4113,2,14,"12,2","15,2","41,4","13,8","15,2"
Milk production,0051-01,12/1/2020,4416,2,"16,8","12,6",13,"42,4","14,1","16,8"
Milk production,0051-01,3/15/2021,4552,2,"17,4","11,4","14,8","43,6","14,5","17,4"
Milk production,0051-01,2/10/2021,4554,2,9,"6,8","8,6","24,4","8,1",9
Milk production,0051-01,2/10/2021,4569,2,"7,2","11,8",8,27,"9,0","11,8"
Milk production,0051-01,7/3/2021,4900,2,"18,8","12,8","14,8","46,4","15,5","18,8"
Milk production,0051-01,3/25/2021,4916,2,"14,2","14,8",11,40,"13,3","14,8"
Milk production,0051-01,4/24/2021,4927,2,15,"11,2","10,8",37,"12,3",15
Milk production,0051-01,5/13/2021,4938,2,"14,6","10,6",12,"37,2","12,4","14,6"
Milk production,0051-01,11/5/2020,4940,3,"7,2","5,8",4,17,"5,7","7,2"
Milk production,0051-01,10/24/2020,5067,2,"12,6",9,"8,8","30,4","10,1","12,6"
Milk production,0051-01,8/5/2021,5137,2,17,"13,2","13,8",44,"14,7",17
Milk production,0051-01,7/17/2021,5226,2,19,"15,2","16,8",51,"17,0",19
Milk production,0051-01,4/30/2021,5227,2,"18,2",13,"14,6","45,8","15,3","18,2"
Milk production,0051-01,7/30/2021,5275,2,"18,2","14,4","13,6","46,2","15,4","18,2"
Milk production,0051-01,4/17/2021,5283,1,14,11,"16,6","41,6","13,9","16,6"
Milk production,0051-01,7/22/2021,5284,2,"19,6","15,6","17,6","52,8","17,6","19,6"
Milk production,0051-01,4/17/2021,5306,2,13,"12,2",12,"37,2","12,4",13
Milk production,0051-01,2/8/2021,5310,2,14,9,13,36,"12,0",14
Milk production,0051-01,5/23/2021,5321,2,"15,8","14,2","11,6","41,6","13,9","15,8"
Milk production,0051-01,11/2/2020,5327,2,"14,4",11,"11,8","37,2","12,4","14,4"
Milk production,0051-01,4/20/2021,5331,2,"8,8","6,2",7,22,"7,3","8,8"
Milk production,0051-01,4/24/2021,5365,1,"14,8","11,8",12,"38,6","12,9","14,8"
Milk production,0051-01,2/3/2021,5378,3,10,"6,4",7,"23,4","7,8",10
Milk production,0051-01,5/8/2021,5400,2,"14,2","10,2",15,"39,4","13,1",15
Milk production,0051-01,3/12/2021,5425,2,"14,2","10,8","11,2","36,2","12,1","14,2"
Milk production,0051-01,4/6/2021,5436,2,"17,8","10,8","14,2","42,8","14,3","17,8"
Milk production,0051-01,11/30/2020,5461,2,8,11,"10,2","29,2","9,7",11
Milk production,0051-01,11/21/2020,5474,2,"15,8",12,"13,8","41,6","13,9","15,8"
Milk production,0051-01,3/10/2021,5478,3,5,"3,2","5,2","13,4","4,5","5,2"
Milk production,0051-01,7/20/2020,5505,2,"13,8","9,6","10,2","33,6","11,2","13,8"
Milk production,0051-01,12/4/2020,5528,2,"14,2","10,8","16,2","41,2","13,7","16,2"
Milk production,0051-01,5/14/2021,5531,2,17,"15,2","15,6","47,8","15,9",17
Milk production,0051-01,8/10/2021,5535,2,16,"12,8","13,8","42,6","14,2",16
Milk production,0051-01,8/25/2021,5550,2,"21,6",16,"17,8","55,4","18,5","21,6"
Milk production,0051-01,8/9/2021,5551,2,"19,6","13,6","15,8",49,"16,3","19,6"
Milk production,0051-01,9/11/2021,5575,2,"10,2","7,2","9,2","26,6","8,9","10,2"
Milk production,0051-01,2/16/2021,5600,2,"16,8",12,"11,6","40,4","13,5","16,8"
Milk production,0051-01,3/21/2021,5601,2,"15,2","11,6","13,8","40,6","13,5","15,2"
Milk production,0051-01,1/28/2021,5610,2,"12,8","8,8","11,2","32,8","10,9","12,8"
Milk production,0051-01,2/15/2021,5611,2,"13,6","11,8","10,8","36,2","12,1","13,6"
Milk production,0051-01,1/24/2021,5669,1,14,11,"11,2","36,2","12,1",14
Milk production,0051-01,8/22/2021,5681,1,"21,2","15,8","17,8","54,8","18,3","21,2"
Milk production,0051-01,2/6/2021,5684,2,14,"10,6","12,2","36,8","12,3",14
Milk production,0051-01,3/7/2021,5719,2,10,"8,6","9,2","27,8","9,3",10
Milk production,0051-01,2/22/2021,5723,2,"9,4",7,7,"23,4","7,8","9,4"
Milk production,0051-01,8/11/2020,5734,1,"10,8","8,6","9,2","28,6","9,5","10,8"
Milk production,0051-01,2/18/2021,5735,2,"12,2","9,6","10,2",32,"10,7","12,2"
Milk production,0051-01,2/14/2021,5746,2,"10,8","9,8",14,"34,6","11,5",14
Milk production,0051-01,8/10/2021,5749,2,"20,2",15,"17,6","52,8","17,6","20,2"
Milk production,0051-01,8/7/2021,5765,1,14,"13,8",15,"42,8","14,3",15
Milk production,0051-01,7/16/2021,5779,2,"20,6","15,8","18,2","54,6","18,2","20,6"
Milk production,0051-01,4/24/2021,5782,2,"16,6","12,8","16,6",46,"15,3","16,6"
Milk production,0051-01,8/28/2021,5823,2,"14,8","11,8","13,2","39,8","13,3","14,8"
Milk production,0051-01,3/7/2021,5828,2,"13,8","9,6",12,"35,4","11,8","13,8"
Milk production,0051-01,3/4/2021,5845,3,"11,2",8,"7,4","26,6","8,9","11,2"
Milk production,0051-01,2/5/2021,5852,2,"12,2","7,2","9,4","28,8","9,6","12,2"
Milk production,0051-01,5/24/2021,5858,3,1,1,1,3,"1,0",1
Milk production,0051-01,2/6/2021,5868,2,14,"9,8",9,"32,8","10,9",14
Milk production,0051-01,11/8/2020,5880,2,17,"13,4","16,4","46,8","15,6",17
Milk production,0051-01,5/17/2021,5901,3,12,10,"12,2","34,2","11,4","12,2"
Milk production,0051-01,2/25/2021,5910,2,"18,6","13,6","15,6","47,8","15,9","18,6"
Milk production,0051-01,2/16/2021,5912,1,"15,2","10,8","12,2","38,2","12,7","15,2"
Milk production,0051-01,7/15/2021,5919,1,20,"18,8","20,8","59,6","19,9","20,8"
Milk production,0051-01,2/8/2021,5928,2,"16,2",12,"15,8",44,"14,7","16,2"
Milk production,0051-01,8/28/2021,5929,2,"18,6",14,"17,6","50,2","16,7","18,6"
Milk production,0051-01,7/11/2021,5933,2,"17,6","14,2","17,8","49,6","16,5","17,8"
Milk production,0051-01,4/5/2021,5941,2,11,"9,2",9,"29,2","9,7",11
Milk production,0051-01,8/19/2021,5942,2,17,"13,2","14,2","44,4","14,8",17
Milk production,0051-01,4/8/2021,5945,3,"12,6","9,8","11,8","34,2","11,4","12,6"
Milk production,0051-01,3/6/2021,5950,2,8,"5,2","6,4","19,6","6,5",8
Milk production,0051-01,4/4/2021,5970,2,"15,8","12,4","14,4","42,6","14,2","15,8"
Milk production,0051-01,3/8/2021,5971,2,"14,8",10,"9,2",34,"11,3","14,8"
Milk production,0051-01,4/11/2021,5979,2,"17,6","12,4","14,8","44,8","14,9","17,6"
Milk production,0051-01,4/19/2021,5987,1,"9,8",10,"11,2",31,"10,3","11,2"
Milk production,0051-01,3/28/2021,6000,2,20,14,"14,8","48,8","16,3",20
Milk production,0051-01,3/17/2021,6015,2,"12,8","10,2","12,8","35,8","11,9","12,8"
Milk production,0051-01,1/19/2021,6020,1,"12,6",10,"10,8","33,4","11,1","12,6"
Milk production,0051-01,4/7/2020,6026,2,7,5,6,18,"6,0",7
Milk production,0051-01,3/6/2021,6027,2,"10,8","9,6",11,"31,4","10,5",11
Milk production,0051-01,8/8/2021,6031,2,"18,6","16,2","15,2",50,"16,7","18,6"
Milk production,0051-01,3/28/2021,6035,2,"14,8",10,"14,8","39,6","13,2","14,8"
Milk production,0051-01,4/8/2021,6036,2,"12,2","11,2","9,4","32,8","10,9","12,2"
Milk production,0051-01,1/31/2021,6041,2,16,"11,8","12,4","40,2","13,4",16
Milk production,0051-01,8/10/2021,6042,2,19,"16,6","14,6","50,2","16,7",19
Milk production,0051-01,8/28/2021,6054,2,17,"11,8","13,6","42,4","14,1",17
Milk production,0051-01,11/18/2020,6059,1,13,10,9,32,"10,7",13
Milk production,0051-01,12/11/2020,6063,2,"10,2","7,8",9,27,"9,0","10,2"
Milk production,0051-01,2/10/2021,6067,2,"14,8",10,"10,2",35,"11,7","14,8"
Milk production,0051-01,4/21/2021,6068,3,"11,8","7,6",11,"30,4","10,1","11,8"
Milk production,0051-01,3/21/2021,6075,3,"11,8","8,2",9,29,"9,7","11,8"
Milk production,0051-01,7/10/2021,6083,2,18,"12,8","16,4","47,2","15,7",18
Milk production,0051-01,2/27/2021,6096,2,11,8,"10,6","29,6","9,9",11
Milk production,0051-01,8/15/2021,6101,2,"13,8","13,8","11,8","39,4","13,1","13,8"
Milk production,0051-01,1/30/2021,6115,2,"12,2","8,2","9,8","30,2","10,1","12,2"
Milk production,0051-01,8/21/2021,6121,2,17,"13,8","19,8","50,6","16,9","19,8"
Milk production,0051-01,2/19/2021,6122,2,"13,2","10,8","10,2","34,2","11,4","13,2"
Milk production,0051-01,2/12/2021,6123,2,13,"9,8","10,8","33,6","11,2",13
Milk production,0051-01,2/2/2021,6127,2,"14,6","10,8","12,2","37,6","12,5","14,6"
Milk production,0051-01,4/21/2021,6132,2,"14,8",10,10,"34,8","11,6","14,8"
Milk production,0051-01,2/3/2021,6138,1,"9,4","9,2",8,"26,6","8,9","9,4"
Milk production,0051-01,3/28/2021,6146,2,"16,6",12,"13,8","42,4","14,1","16,6"
Milk production,0051-01,5/23/2021,6154,2,"14,8","10,8",12,"37,6","12,5","14,8"
Milk production,0051-01,2/16/2021,6157,2,"14,6",10,"13,6","38,2","12,7","14,6"
Milk production,0051-01,7/13/2021,6165,2,"21,6","16,8","18,4","56,8","18,9","21,6"
Milk production,0051-01,4/25/2021,6167,2,6,5,5,16,"5,3",6
Milk production,0051-01,2/15/2021,6171,2,"10,8",8,8,"26,8","8,9","10,8"
Milk production,0051-01,2/5/2021,6174,2,"16,8","11,2",13,41,"13,7","16,8"
Milk production,0051-01,7/2/2021,6179,1,"15,6","12,8",13,"41,4","13,8","15,6"
Milk production,0051-01,3/6/2021,6185,2,"12,4","9,4","9,8","31,6","10,5","12,4"
Milk production,0051-01,5/8/2021,6186,2,"14,8","11,2","14,8","40,8","13,6","14,8"
Milk production,0051-01,9/9/2021,6197,2,15,"10,8","14,6","40,4","13,5",15
Milk production,0051-01,7/12/2021,6199,2,17,"12,8","13,6","43,4","14,5",17
Milk production,0051-01,2/2/2021,6200,2,"10,2",7,6,"23,2","7,7","10,2"
Milk production,0051-01,3/29/2021,6201,2,"13,2","9,2",9,"31,4","10,5","13,2"
Milk production,0051-01,3/28/2021,6204,2,"13,2",9,10,"32,2","10,7","13,2"
Milk production,0051-01,2/21/2021,6206,2,12,9,7,28,"9,3",12
Milk production,0051-01,1/29/2021,6207,2,"12,8","9,8","10,6","33,2","11,1","12,8"
Milk production,0051-01,1/21/2021,6214,2,"14,4",10,"10,6",35,"11,7","14,4"
Milk production,0051-01,3/2/2021,6215,2,14,11,"15,6","40,6","13,5","15,6"
Milk production,0051-01,7/19/2021,6216,1,"15,4",12,9,"36,4","12,1","15,4"
Milk production,0051-01,7/23/2021,6220,2,21,"18,8",16,"55,8","18,6",21
Milk production,0051-01,2/7/2021,6228,3,"12,6","8,4","7,8","28,8","9,6","12,6"
Milk production,0051-01,1/26/2021,6230,2,15,12,"13,6","40,6","13,5",15
Milk production,0051-01,2/15/2021,6234,2,"13,8",9,"12,2",35,"11,7","13,8"
Milk production,0051-01,3/26/2021,6236,2,14,"9,8","9,8","33,6","11,2",14
Milk production,0051-01,2/25/2021,6246,1,"6,8","6,4",6,"19,2","6,4","6,8"
Milk production,0051-01,9/7/2021,6252,2,"10,2","8,8","8,8","27,8","9,3","10,2"
Milk production,0051-01,4/28/2021,6256,2,"13,2",10,11,"34,2","11,4","13,2"
Milk production,0051-01,4/16/2021,6257,3,"13,4",9,12,"34,4","11,5","13,4"
Milk production,0051-01,8/9/2021,6267,2,"12,6","8,8","10,8","32,2","10,7","12,6"
Milk production,0051-01,4/22/2021,6273,2,"14,6","9,6","13,6","37,8","12,6","14,6"
Milk production,0051-01,3/22/2021,6280,2,"15,6",10,11,"36,6","12,2","15,6"
Milk production,0051-01,5/9/2021,6281,2,"13,2",10,"12,6","35,8","11,9","13,2"
Milk production,0051-01,2/21/2021,6285,2,"14,2","11,8","12,6","38,6","12,9","14,2"
Milk production,0051-01,7/12/2021,6294,2,"17,2","12,4",16,"45,6","15,2","17,2"
Milk production,0051-01,2/4/2021,6296,2,"12,2",9,10,"31,2","10,4","12,2"
Milk production,0051-01,4/14/2021,6301,3,7,"5,2","6,2","18,4","6,1",7
Milk production,0051-01,2/8/2021,6303,2,13,"9,2",9,"31,2","10,4",13
Milk production,0051-01,3/24/2021,6307,1,13,"9,4",10,"32,4","10,8",13
Milk production,0051-01,2/24/2021,6323,3,"8,2","6,2",6,"20,4","6,8","8,2"
Milk production,0051-01,10/31/2020,6324,2,12,"7,6","9,8","29,4","9,8",12
Milk production,0051-01,7/1/2021,6337,2,"18,2","14,4","19,2","51,8","17,3","19,2"
Milk production,0051-01,8/16/2021,6349,2,"16,6","13,4","15,6","45,6","15,2","16,6"
Milk production,0051-01,2/28/2021,6359,2,"16,8",13,"13,8","43,6","14,5","16,8"
Milk production,0051-01,5/2/2021,6365,3,"14,4",10,12,"36,4","12,1","14,4"
Milk production,0051-01,11/2/2020,6369,2,"12,6","7,6",8,"28,2","9,4","12,6"
Milk production,0051-01,2/6/2021,6378,2,"14,6","11,6",12,"38,2","12,7","14,6"
Milk production,0051-01,2/8/2021,6384,2,14,12,12,38,"12,7",14
Milk production,0051-01,2/8/2021,6403,2,"12,8",9,10,"31,8","10,6","12,8"
Milk production,0051-01,12/11/2020,6404,1,"11,8","9,8","9,8","31,4","10,5","11,8"
Milk production,0051-01,1/27/2021,6406,2,"15,4",10,"13,2","38,6","12,9","15,4"
Milk production,0051-01,4/3/2021,6411,2,"15,2","9,8","10,2","35,2","11,7","15,2"
Milk production,0051-01,6/29/2021,6412,2,"17,8","11,2","13,2","42,2","14,1","17,8"
Milk production,0051-01,7/4/2021,6418,1,"18,4","15,2","15,8","49,4","16,5","18,4"
Milk production,0051-01,8/27/2020,6421,2,11,"7,8","8,8","27,6","9,2",11
Milk production,0051-01,6/25/2021,6424,3,"13,2","9,6","10,8","33,6","11,2","13,2"
Milk production,0051-01,2/6/2021,6439,2,14,"10,4",12,"36,4","12,1",14
Milk production,0051-01,2/20/2021,6444,2,"12,8","9,4","10,8",33,"11,0","12,8"
Milk production,0051-01,7/11/2021,6448,2,16,"12,2",14,"42,2","14,1",16
Milk production,0051-01,8/5/2021,6453,2,"15,8","12,6","12,6",41,"13,7","15,8"
Milk production,0051-01,4/21/2021,6455,2,"15,8",12,"11,6","39,4","13,1","15,8"
Milk production,0051-01,7/17/2021,6465,2,18,15,"15,8","48,8","16,3",18
Milk production,0051-01,2/5/2021,6468,2,"13,8","11,8",12,"37,6","12,5","13,8"
Milk production,0051-01,12/9/2020,6474,2,"16,8","11,2","18,6","46,6","15,5","18,6"
Milk production,0051-01,3/19/2021,6481,2,"18,4","14,8","16,6","49,8","16,6","18,4"
Milk production,0051-01,11/13/2020,6483,2,"16,8","12,2","10,6","39,6","13,2","16,8"
Milk production,0051-01,7/6/2021,6490,2,"19,8","15,6","16,6",52,"17,3","19,8"
Milk production,0051-01,2/20/2021,6494,2,"14,8","9,8","11,8","36,4","12,1","14,8"
Milk production,0051-01,7/12/2021,6502,2,"17,6","11,6","13,4","42,6","14,2","17,6"
Milk production,0051-01,7/5/2021,6506,2,"16,6","11,8","12,6",41,"13,7","16,6"
Milk production,0051-01,8/21/2021,6508,2,"18,2","14,2","14,4","46,8","15,6","18,2"
Milk production,0051-01,2/10/2021,6514,2,"15,8",12,"11,8","39,6","13,2","15,8"
Milk production,0051-01,2/20/2021,6520,2,"15,2","11,4","12,2","38,8","12,9","15,2"
Milk production,0051-01,4/12/2021,6524,1,"17,2",12,"14,2","43,4","14,5","17,2"
Milk production,0051-01,4/12/2021,6527,2,13,"10,8","12,8","36,6","12,2",13
Milk production,0051-01,2/4/2021,6528,2,"16,2","10,8","12,4","39,4","13,1","16,2"
Milk production,0051-01,4/8/2021,6532,2,"18,2",15,11,"44,2","14,7","18,2"
Milk production,0051-01,4/26/2021,6537,2,"17,8","13,2",14,45,"15,0","17,8"
Milk production,0051-01,11/7/2020,6538,2,"16,2","11,8",16,44,"14,7","16,2"
Milk production,0051-01,2/15/2021,6540,2,16,12,14,42,"14,0",16
Milk production,0051-01,3/19/2021,6541,2,17,"13,2","15,8",46,"15,3",17
Milk production,0051-01,4/2/2021,6545,1,"14,8","10,8",12,"37,6","12,5","14,8"
Milk production,0051-01,2/1/2021,6550,2,"16,2","12,2","12,2","40,6","13,5","16,2"
Milk production,0051-01,4/21/2021,6553,1,"8,8",11,"11,2",31,"10,3","11,2"
Milk production,0051-01,1/31/2021,6556,1,"15,2","10,8","11,8","37,8","12,6","15,2"
Milk production,0051-01,2/21/2021,6561,2,16,"11,6","13,4",41,"13,7",16
Milk production,0051-01,2/9/2021,6570,2,"15,4",10,10,"35,4","11,8","15,4"
Milk production,0051-01,7/16/2021,6581,1,"16,6","11,2",16,"43,8","14,6","16,6"
Milk production,0051-01,8/15/2021,6593,2,"18,2","14,2","15,6",48,"16,0","18,2"
Milk production,0051-01,7/27/2021,6596,1,19,"15,6","19,2","53,8","17,9","19,2"
Milk production,0051-01,4/3/2021,6601,2,17,"12,8","13,2",43,"14,3",17
Milk production,0051-01,1/31/2021,6602,2,"9,2","8,6","7,2",25,"8,3","9,2"
Milk production,0051-01,7/19/2021,6609,2,"14,2",10,13,"37,2","12,4","14,2"
Milk production,0051-01,7/16/2021,6610,1,"17,2","11,2","14,8","43,2","14,4","17,2"
Milk production,0051-01,3/6/2021,6625,2,"17,2","11,8",14,43,"14,3","17,2"
Milk production,0051-01,4/18/2021,6639,2,"14,8","11,6","16,2","42,6","14,2","16,2"
Milk production,0051-01,5/21/2021,6641,2,"17,6","14,6","14,4","46,6","15,5","17,6"
Milk production,0051-01,4/4/2021,6643,2,14,"9,6",11,"34,6","11,5",14
Milk production,0051-01,7/1/2021,6654,2,"6,4",5,5,"16,4","5,5","6,4"
Milk production,0051-01,1/31/2021,6660,2,"11,2","8,2",9,"28,4","9,5","11,2"
Milk production,0051-01,5/12/2021,6661,2,"15,8",11,"14,8","41,6","13,9","15,8"
Milk production,0051-01,8/29/2021,6662,2,"12,6",9,"11,8","33,4","11,1","12,6"
Milk production,0051-01,8/24/2021,6663,2,"16,2","11,2","13,8","41,2","13,7","16,2"
Milk production,0051-01,7/11/2021,6665,2,"16,6","15,2","14,8","46,6","15,5","16,6"
Milk production,0051-01,7/2/2020,6671,2,"8,2","7,6",9,"24,8","8,3",9
Milk production,0051-01,4/6/2021,6676,1,"14,4","14,2","16,8","45,4","15,1","16,8"
Milk production,0051-01,5/17/2021,6677,2,"21,2",15,20,"56,2","18,7","21,2"
Milk production,0051-01,2/15/2021,6684,1,10,"7,8",9,"26,8","8,9",10
Milk production,0051-01,4/6/2021,6685,2,"15,2","10,8","12,6","38,6","12,9","15,2"
Milk production,0051-01,3/4/2021,6689,2,"13,8",9,8,"30,8","10,3","13,8"
Milk production,0051-01,3/12/2021,6690,2,"11,2","9,8","10,8","31,8","10,6","11,2"
Milk production,0051-01,3/29/2021,6701,2,"16,4","10,8","13,6","40,8","13,6","16,4"
Milk production,0051-01,2/16/2021,6705,2,"13,2",9,"11,8",34,"11,3","13,2"
Milk production,0051-01,2/10/2021,6708,1,"15,8","13,2","12,2","41,2","13,7","15,8"
Milk production,0051-01,4/10/2021,6713,2,"12,4","8,6",10,31,"10,3","12,4"
Milk production,0051-01,3/19/2021,6715,1,"10,6",8,8,"26,6","8,9","10,6"
Milk production,0051-01,5/22/2020,6736,1,"13,2","9,8",9,32,"10,7","13,2"
Milk production,0051-01,8/14/2021,6745,2,17,"12,8",14,"43,8","14,6",17
Milk production,0051-01,1/27/2021,6749,2,"11,4",9,"9,6",30,"10,0","11,4"
Milk production,0051-01,4/29/2021,6750,2,17,"13,6",12,"42,6","14,2",17
Milk production,0051-01,3/10/2021,6751,2,"12,2","8,6","9,8","30,6","10,2","12,2"
Milk production,0051-01,3/29/2021,6757,2,"11,8","7,6","9,2","28,6","9,5","11,8"
Milk production,0051-01,2/15/2021,6760,2,14,"10,2",10,"34,2","11,4",14
Milk production,0051-01,2/16/2021,6761,2,"13,2","11,2",11,"35,4","11,8","13,2"
Milk production,0051-01,4/16/2021,6763,2,16,"11,2",11,"38,2","12,7",16
Milk production,0051-01,1/30/2021,6764,2,"9,4","6,8",7,"23,2","7,7","9,4"
Milk production,0051-01,4/6/2021,6767,2,"17,8","12,6","14,8","45,2","15,1","17,8"
Milk production,0051-01,4/18/2021,6768,1,"17,8",11,"12,2",41,"13,7","17,8"
Milk production,0051-01,3/15/2021,6789,2,"15,8","10,2","12,8","38,8","12,9","15,8"
Milk production,0051-01,2/25/2021,6794,2,10,7,10,27,"9,0",10
Milk production,0051-01,4/15/2021,6803,2,"11,6",9,"9,2","29,8","9,9","11,6"
Milk production,0051-01,2/2/2021,6807,2,"13,8","9,8","9,6","33,2","11,1","13,8"
Milk production,0051-01,4/21/2021,6811,2,"16,8","12,8","15,6","45,2","15,1","16,8"
Milk production,0051-01,4/28/2021,6816,2,16,"13,2",16,"45,2","15,1",16
Milk production,0051-01,2/18/2021,6820,2,11,9,"9,8","29,8","9,9",11
Milk production,0051-01,3/27/2021,6826,2,13,"11,2",11,"35,2","11,7",13
Milk production,0051-01,8/24/2021,6828,2,18,"13,2","14,8",46,"15,3",18
Milk production,0051-01,2/4/2021,6839,1,13,10,15,38,"12,7",15
Milk production,0051-01,5/12/2021,6841,2,10,7,6,23,"7,7",10
Milk production,0051-01,8/10/2021,6861,2,"19,6","15,8","19,6",55,"18,3","19,6"
Milk production,0051-01,7/21/2021,6863,2,"16,4","11,8","13,2","41,4","13,8","16,4"
Milk production,0051-01,8/21/2021,6864,3,"16,4","11,8",14,"42,2","14,1","16,4"
Milk production,0051-01,4/20/2021,6865,2,"12,8",9,"10,8","32,6","10,9","12,8"
Milk production,0051-01,7/29/2021,6872,2,15,"12,2","12,4","39,6","13,2",15
Milk production,0051-01,11/28/2020,6907,2,"8,2",6,"7,8",22,"7,3","8,2"
Milk production,0051-01,7/14/2021,6910,2,"15,6","11,2","14,6","41,4","13,8","15,6"
Milk production,0051-01,12/4/2020,6911,2,"14,8","9,8","11,2","35,8","11,9","14,8"
Milk production,0051-01,7/21/2021,6915,2,15,"12,6",12,"39,6","13,2",15
Milk production,0051-01,4/5/2021,6917,2,"11,8","7,6","9,8","29,2","9,7","11,8"
Milk production,0051-01,8/21/2021,6920,2,15,"12,6",13,"40,6","13,5",15
Milk production,0051-01,8/20/2021,6921,3,"13,2",9,"10,2","32,4","10,8","13,2"
Milk production,0051-01,4/3/2021,6922,2,9,7,"9,2","25,2","8,4","9,2"
Milk production,0051-01,8/18/2021,6927,2,8,6,"7,6","21,6","7,2",8
Milk production,0051-01,2/15/2021,6928,2,12,"9,8",12,"33,8","11,3",12
Milk production,0051-01,2/7/2021,6943,2,"13,4","9,2",8,"30,6","10,2","13,4"
Milk production,0051-01,7/5/2021,6954,2,"16,8","13,8","15,6","46,2","15,4","16,8"
Milk production,0051-01,2/27/2021,6966,1,"12,2","7,6",10,"29,8","9,9","12,2"
Milk production,0051-01,11/6/2020,6972,1,"9,8","10,2",8,28,"9,3","10,2"
Milk production,0051-01,11/18/2020,6992,2,12,"7,6","8,8","28,4","9,5",12
Milk production,0051-01,4/9/2021,6995,2,"14,4","11,8","11,6","37,8","12,6","14,4"
Milk production,0051-01,3/27/2021,6997,1,"11,2",12,"11,2","34,4","11,5",12
Milk production,0051-01,9/7/2021,7000,2,"16,8",12,"10,8","39,6","13,2","16,8"
Milk production,0051-01,8/9/2021,7005,2,"19,2","13,6",15,"47,8","15,9","19,2"
Milk production,0051-01,9/4/2021,7012,2,"15,8","10,6","13,6",40,"13,3","15,8"
