ID,continente,tipo_producto,canal_venta,prioridad,fecha_pedido,id_pedido,fecha_envio,unidades, precio_unidad, costo_unidad, venta_total, costo_total, beneficio_total, %_ganancia
4168,Asia,Ropa,Online,Crítica,10/15/2021,416881215,10/21/2021,3270, $  85.24 , $  27.96 ," $  278,729.57 "," $  91,413.50 "," $  187,316.06 ",67.20%
1418,África,Verduras,Online,Crítica,11/23/2021,141818320,11/29/2021,6047, $  120.17 , $  70.93 ," $  726,648.64 "," $  428,885.89 "," $  297,762.75 ",40.98%
4779,África,Cuidado personal,Online,Alta,1/31/2022,477993524,3/12/2022,7761, $  63.75 , $  44.20 ," $  494,759.09 "," $  343,056.38 "," $  151,702.71 ",30.66%
8598,África,Ropa,Offline,Alta,7/11/2021,859830653,8/5/2021,1852, $  85.24 , $  27.96 ," $  157,861.52 "," $  51,773.03 "," $  106,088.49 ",67.20%
3420,África,Ropa,Offline,Crítica,8/26/2022,342066037,10/11/2022,3797, $  85.24 , $  27.96 ," $  323,650.20 "," $  106,145.89 "," $  217,504.31 ",67.20%
7497,Europa,Doméstico,Online,Crítica,2/21/2021,749748504,3/16/2021,6098, $  521.25 , $  391.98 ," $  3,178,586.16 "," $  2,390,301.36 "," $  788,284.80 ",24.80%
8282,África,Cosméticos,Offline,Media,8/30/2021,828239381,10/8/2021,3293, $  341.02 , $  205.40 ," $  1,122,965.69 "," $  676,373.64 "," $  446,592.05 ",39.77%
2932,Australia y Oceanía,Verduras,Online,Alta,2/19/2022,293212497,3/9/2022,6948, $  120.17 , $  70.93 ," $  834,918.93 "," $  492,789.68 "," $  342,129.25 ",40.98%
2806,Asia,Cuidado personal,Offline,Baja,11/17/2020,280654180,1/2/2021,663, $  63.75 , $  44.20 ," $  42,265.85 "," $  29,306.32 "," $  12,959.53 ",30.66%
1968,Europa,Ropa,Offline,Media,11/25/2020,196863257,1/9/2021,5067, $  85.24 , $  27.96 ," $  431,902.97 "," $  141,649.00 "," $  290,253.97 ",67.20%
8684,Europa,Frutas,Offline,Alta,10/6/2022,868451058,10/8/2022,2822, $  7.28 , $  5.40 ," $  20,536.82 "," $  15,232.03 "," $  5,304.80 ",25.83%
4923,África,Ropa,Offline,Baja,4/7/2020,492341411,5/24/2020,3619, $  85.24 , $  27.96 ," $  308,477.77 "," $  101,169.87 "," $  207,307.90 ",67.20%
4857,Asia,Cárnicos,Online,Alta,12/2/2021,485770642,12/15/2021,9183, $  329.07 , $  284.46 ," $  3,021,888.38 "," $  2,612,179.65 "," $  409,708.73 ",13.56%
5362,África,Bebida,Online,Alta,11/28/2020,536287581,12/28/2020,8268, $  37.01 , $  24.80 ," $  306,006.95 "," $  205,014.98 "," $  100,991.97 ",33.00%
8517,Asia,Cereales,Online,Crítica,4/3/2022,851753556,5/12/2022,1660, $  160.45 , $  91.35 ," $  266,340.36 "," $  151,634.03 "," $  114,706.33 ",43.07%
8103,Asia,Verduras,Online,Media,5/15/2021,810342395,5/31/2021,7177, $  120.17 , $  70.93 ," $  862,437.12 "," $  509,031.60 "," $  353,405.53 ",40.98%
3105,África,Doméstico,Online,Baja,8/26/2022,310540425,9/1/2022,4668, $  521.25 , $  391.98 ," $  2,433,197.80 "," $  1,829,768.24 "," $  603,429.56 ",24.80%
2211,Asia,Frutas,Online,Alta,11/23/2020,221146476,12/31/2020,1011, $  7.28 , $  5.40 ," $  7,357.45 "," $  5,456.97 "," $  1,900.48 ",25.83%
1312,Asia,Ropa,Online,Alta,9/23/2022,131271874,9/27/2022,5120, $  85.24 , $  27.96 ," $  436,420.61 "," $  143,130.62 "," $  293,289.98 ",67.20%
6003,África,Frutas,Online,Baja,4/25/2022,600340449,6/2/2022,2935, $  7.28 , $  5.40 ," $  21,359.17 "," $  15,841.96 "," $  5,517.21 ",25.83%
9080,Australia y Oceanía,Material de oficina,Offline,Baja,10/20/2022,908088529,11/22/2022,2430, $  507.94 , $  409.47 ," $  1,234,303.43 "," $  995,009.18 "," $  239,294.25 ",19.39%
4045,Centroamérica y Caribe,Cereales,Offline,Crítica,8/4/2020,404564940,8/28/2020,8611, $  160.45 , $  91.35 ," $  1,381,600.51 "," $  786,578.68 "," $  595,021.82 ",43.07%
7601,Australia y Oceanía,Cuidado personal,Offline,Baja,1/21/2021,760131013,1/28/2021,8513, $  63.75 , $  44.20 ," $  542,698.64 "," $  376,296.73 "," $  166,401.91 ",30.66%
1154,Centroamérica y Caribe,Ropa,Offline,Media,11/2/2022,115460574,11/19/2022,6205, $  85.24 , $  27.96 ," $  528,904.27 "," $  173,462.02 "," $  355,442.26 ",67.20%
7315,África,Bebida,Offline,Baja,2/8/2022,731539952,2/9/2022,7783, $  37.01 , $  24.80 ," $  288,056.61 "," $  192,988.82 "," $  95,067.79 ",33.00%
4396,Australia y Oceanía,Cárnicos,Online,Crítica,8/3/2022,439667975,9/21/2022,6379, $  329.07 , $  284.46 ," $  2,099,164.32 "," $  1,814,558.86 "," $  284,605.46 ",13.56%
2914,Asia,Ropa,Offline,Baja,9/11/2022,291455972,9/16/2022,7154, $  85.24 , $  27.96 ," $  609,795.51 "," $  199,991.50 "," $  409,804.01 ",67.20%
5088,África,Cereales,Offline,Baja,9/1/2022,508827769,9/13/2022,2299, $  160.45 , $  91.35 ," $  368,865.35 "," $  210,003.99 "," $  158,861.36 ",43.07%
9340,África,Verduras,Online,Media,4/17/2020,934019696,5/7/2020,6039, $  120.17 , $  70.93 ," $  725,687.31 "," $  428,318.49 "," $  297,368.81 ",40.98%
5795,África,Bebida,Online,Baja,11/25/2020,579580581,12/12/2020,9628, $  37.01 , $  24.80 ," $  356,341.91 "," $  238,737.81 "," $  117,604.09 ",33.00%
7783,Centroamérica y Caribe,Cárnicos,Online,Crítica,8/27/2021,778371751,9/3/2021,6353, $  329.07 , $  284.46 ," $  2,090,608.39 "," $  1,807,162.94 "," $  283,445.45 ",13.56%
2335,África,Verduras,Offline,Media,7/16/2021,233567035,8/17/2021,6531, $  120.17 , $  70.93 ," $  784,809.37 "," $  463,213.79 "," $  321,595.58 ",40.98%
8686,África,Bebida,Online,Alta,10/24/2022,868652760,12/8/2022,2510, $  37.01 , $  24.80 ," $  92,897.61 "," $  62,238.46 "," $  30,659.15 ",33.00%
1774,Europa,Verduras,Offline,Baja,12/23/2020,177427756,1/31/2021,3671, $  120.17 , $  70.93 ," $  441,132.32 "," $  260,367.14 "," $  180,765.18 ",40.98%
6740,Europa,Cereales,Offline,Baja,7/10/2020,674003350,7/30/2020,1424, $  160.45 , $  91.35 ," $  228,475.10 "," $  130,076.42 "," $  98,398.68 ",43.07%
4428,Europa,Ropa,Offline,Baja,1/16/2022,442803370,2/18/2022,4212, $  85.24 , $  27.96 ," $  359,024.14 "," $  117,747.30 "," $  241,276.84 ",67.20%
7885,Asia,Alimento infantil,Online,Crítica,10/27/2020,788564145,12/1/2020,2509, $  199.12 , $  124.35 ," $  499,588.07 "," $  311,988.13 "," $  187,599.94 ",37.55%
3863,África,Cosméticos,Online,Media,7/21/2022,386334502,8/11/2022,3819, $  341.02 , $  205.40 ," $  1,302,340.10 "," $  784,412.67 "," $  517,927.43 ",39.77%
2314,Europa,Cuidado personal,Online,Crítica,11/22/2021,231475770,11/23/2021,7679, $  63.75 , $  44.20 ," $  489,531.64 "," $  339,431.77 "," $  150,099.88 ",30.66%
4896,Asia,Doméstico,Online,Media,1/18/2021,489661777,2/11/2021,656, $  521.25 , $  391.98 ," $  341,940.39 "," $  257,139.67 "," $  84,800.73 ",24.80%
9468,África,Cuidado personal,Offline,Baja,8/18/2022,946878850,10/5/2022,1348, $  63.75 , $  44.20 ," $  85,934.19 "," $  59,585.10 "," $  26,349.09 ",30.66%
5594,Centroamérica y Caribe,Cárnicos,Offline,Baja,7/1/2022,559425818,7/23/2022,5386, $  329.07 , $  284.46 ," $  1,772,393.64 "," $  1,532,091.87 "," $  240,301.78 ",13.56%
6039,África,Verduras,Offline,Media,8/22/2022,603914010,9/1/2022,431, $  120.17 , $  70.93 ," $  51,791.89 "," $  30,568.85 "," $  21,223.04 ",40.98%
6272,África,Frutas,Offline,Crítica,2/24/2021,627267253,3/8/2021,1174, $  7.28 , $  5.40 ," $  8,543.67 "," $  6,336.78 "," $  2,206.89 ",25.83%
6967,África,Alimento infantil,Online,Alta,4/1/2022,696721875,5/12/2022,4340, $  199.12 , $  124.35 ," $  864,173.86 "," $  539,668.58 "," $  324,505.27 ",37.55%
9498,Asia,Cuidado personal,Offline,Baja,7/18/2020,949826705,9/6/2020,3684, $  63.75 , $  44.20 ," $  234,852.79 "," $  162,842.38 "," $  72,010.41 ",30.66%
2444,Europa,Cuidado personal,Offline,Baja,6/30/2022,244443070,7/3/2022,4991, $  63.75 , $  44.20 ," $  318,173.26 "," $  220,615.18 "," $  97,558.08 ",30.66%
2087,Europa,Doméstico,Offline,Alta,1/29/2022,208744800,2/3/2022,1080, $  521.25 , $  391.98 ," $  562,950.65 "," $  423,339.70 "," $  139,610.95 ",24.80%
2912,Australia y Oceanía,Cárnicos,Offline,Crítica,4/9/2022,291218221,5/2/2022,6798, $  329.07 , $  284.46 ," $  2,237,046.41 "," $  1,933,746.84 "," $  303,299.57 ",13.56%
9106,África,Doméstico,Offline,Media,2/22/2022,910662162,3/5/2022,4025, $  521.25 , $  391.98 ," $  2,098,033.67 "," $  1,577,724.33 "," $  520,309.34 ",24.80%
3061,Asia,Material de oficina,Online,Media,3/9/2021,306187951,4/17/2021,6674, $  507.94 , $  409.47 ," $  3,390,016.92 "," $  2,732,794.77 "," $  657,222.15 ",19.39%
3872,Asia,Frutas,Offline,Alta,9/16/2020,387219417,9/27/2020,5685, $  7.28 , $  5.40 ," $  41,372.02 "," $  30,685.36 "," $  10,686.66 ",25.83%
8834,Asia,Verduras,Online,Baja,6/5/2022,883492887,6/5/2022,4033, $  120.17 , $  70.93 ," $  484,632.70 "," $  286,042.14 "," $  198,590.57 ",40.98%
6950,Europa,Bebida,Offline,Baja,4/24/2021,695057189,5/8/2021,1723, $  37.01 , $  24.80 ," $  63,769.95 "," $  42,723.85 "," $  21,046.10 ",33.00%
1422,Australia y Oceanía,Cosméticos,Online,Baja,4/23/2021,142273652,5/16/2021,790, $  341.02 , $  205.40 ," $  269,402.64 "," $  162,263.95 "," $  107,138.69 ",39.77%
5158,Europa,Cereales,Online,Baja,6/28/2022,515816104,8/6/2022,303, $  160.45 , $  91.35 ," $  48,615.14 "," $  27,677.78 "," $  20,937.36 ",43.07%
9266,Europa,Cuidado personal,Offline,Baja,6/14/2022,926670873,7/17/2022,1359, $  63.75 , $  44.20 ," $  86,635.43 "," $  60,071.33 "," $  26,564.10 ",30.66%
5561,Europa,Doméstico,Online,Baja,8/19/2020,556136786,9/5/2020,2089, $  521.25 , $  391.98 ," $  1,088,892.50 "," $  818,848.73 "," $  270,043.78 ",24.80%
9058,África,Alimento infantil,Online,Baja,8/6/2022,905825173,8/22/2022,2653, $  199.12 , $  124.35 ," $  528,261.12 "," $  329,894.18 "," $  198,366.93 ",37.55%
8476,Europa,Material de oficina,Online,Crítica,6/7/2021,847659862,7/22/2021,245, $  507.94 , $  409.47 ," $  124,446.23 "," $  100,319.86 "," $  24,126.38 ",19.39%
6738,Europa,Cárnicos,Offline,Baja,1/26/2022,673877179,2/21/2022,4087, $  329.07 , $  284.46 ," $  1,344,926.26 "," $  1,162,580.66 "," $  182,345.59 ",13.56%
7470,África,Alimento infantil,Online,Baja,9/14/2022,747025954,10/12/2022,435, $  199.12 , $  124.35 ," $  86,616.50 "," $  54,091.21 "," $  32,525.30 ",37.55%
1499,Europa,Cosméticos,Online,Media,12/1/2021,149967515,12/27/2021,7575, $  341.02 , $  205.40 ," $  2,583,196.20 "," $  1,555,885.31 "," $  1,027,310.90 ",39.77%
7358,África,Cuidado personal,Offline,Crítica,2/17/2020,735875689,3/25/2020,824, $  63.75 , $  44.20 ," $  52,529.51 "," $  36,422.94 "," $  16,106.56 ",30.66%
3782,Europa,Material de oficina,Online,Crítica,1/9/2021,378236806,2/18/2021,7531, $  507.94 , $  409.47 ," $  3,825,324.76 "," $  3,083,709.53 "," $  741,615.23 ",19.39%
6208,Europa,Cosméticos,Offline,Alta,7/15/2021,620849692,7/18/2021,2075, $  341.02 , $  205.40 ," $  707,608.20 "," $  426,199.61 "," $  281,408.60 ",39.77%
8278,Centroamérica y Caribe,Snacks,Offline,Baja,11/11/2021,827825677,11/19/2021,869, $  119.01 , $  76.00 ," $  103,421.78 "," $  66,046.78 "," $  37,374.99 ",36.14%
4335,Asia,Doméstico,Offline,Crítica,3/5/2021,433588588,3/28/2021,7353, $  521.25 , $  391.98 ," $  3,832,755.66 "," $  2,882,237.76 "," $  950,517.90 ",24.80%
2928,Australia y Oceanía,Cárnicos,Offline,Alta,11/24/2021,292874753,12/25/2021,7003, $  329.07 , $  284.46 ," $  2,304,506.62 "," $  1,992,060.77 "," $  312,445.85 ",13.56%
4307,Europa,Material de oficina,Offline,Baja,7/31/2022,430733001,8/2/2022,2322, $  507.94 , $  409.47 ," $  1,179,445.50 "," $  950,786.55 "," $  228,658.95 ",19.39%
4925,África,Frutas,Online,Media,3/3/2022,492524659,3/25/2022,7846, $  7.28 , $  5.40 ," $  57,098.48 "," $  42,349.57 "," $  14,748.91 ",25.83%
1939,Europa,Bebida,Online,Baja,6/9/2021,193923556,6/20/2021,5145, $  37.01 , $  24.80 ," $  190,421.60 "," $  127,576.45 "," $  62,845.15 ",33.00%
6709,Europa,Bebida,Offline,Baja,7/26/2021,670916020,8/2/2021,7815, $  37.01 , $  24.80 ," $  289,240.97 "," $  193,782.30 "," $  95,458.66 ",33.00%
4298,Asia,Alimento infantil,Offline,Crítica,9/17/2022,429800879,10/19/2022,6486, $  199.12 , $  124.35 ," $  1,291,481.94 "," $  806,518.53 "," $  484,963.41 ",37.55%
2971,África,Doméstico,Offline,Alta,7/25/2022,297189462,8/19/2022,3821, $  521.25 , $  391.98 ," $  1,991,698.54 "," $  1,497,760.17 "," $  493,938.38 ",24.80%
2700,África,Cuidado personal,Online,Media,8/26/2020,270005595,9/4/2020,9511, $  63.75 , $  44.20 ," $  606,320.54 "," $  420,410.93 "," $  185,909.61 ",30.66%
8654,Asia,Snacks,Offline,Baja,8/15/2022,865485608,9/10/2022,5279, $  119.01 , $  76.00 ," $  628,266.46 "," $  401,220.89 "," $  227,045.57 ",36.14%
8711,Asia,Cereales,Offline,Alta,8/28/2021,871178328,8/28/2021,9882, $  160.45 , $  91.35 ," $  1,585,527.37 "," $  902,679.20 "," $  682,848.18 ",43.07%
4949,Europa,Verduras,Online,Baja,10/12/2022,494945085,11/6/2022,4104, $  120.17 , $  70.93 ," $  493,164.55 "," $  291,077.84 "," $  202,086.71 ",40.98%
9149,Asia,Snacks,Offline,Crítica,5/29/2021,914959704,6/24/2021,5764, $  119.01 , $  76.00 ," $  685,987.47 "," $  438,082.44 "," $  247,905.03 ",36.14%
2297,Europa,Doméstico,Online,Baja,12/7/2021,229708516,1/23/2022,4709, $  521.25 , $  391.98 ," $  2,454,569.08 "," $  1,845,839.47 "," $  608,729.60 ",24.80%
2079,África,Bebida,Offline,Alta,1/4/2022,207990348,1/20/2022,7821, $  37.01 , $  24.80 ," $  289,463.03 "," $  193,931.08 "," $  95,531.95 ",33.00%
4389,África,Verduras,Offline,Crítica,7/20/2022,438916528,8/18/2022,4009, $  120.17 , $  70.93 ," $  481,748.70 "," $  284,339.93 "," $  197,408.77 ",40.98%
5819,Europa,Alimento infantil,Online,Alta,7/30/2020,581910884,8/16/2020,9217, $  199.12 , $  124.35 ," $  1,835,274.29 "," $  1,146,111.83 "," $  689,162.46 ",37.55%
8167,África,Cárnicos,Offline,Alta,2/4/2022,816709744,3/1/2022,1417, $  329.07 , $  284.46 ," $  466,298.14 "," $  403,077.27 "," $  63,220.87 ",13.56%
4933,Centroamérica y Caribe,Doméstico,Online,Alta,8/24/2020,493361937,9/29/2020,5616, $  521.25 , $  391.98 ," $  2,927,343.37 "," $  2,201,366.42 "," $  725,976.95 ",24.80%
3822,Centroamérica y Caribe,Alimento infantil,Offline,Alta,8/10/2021,382228791,9/26/2021,8848, $  199.12 , $  124.35 ," $  1,761,799.60 "," $  1,100,227.56 "," $  661,572.04 ",37.55%
4239,Europa,Cosméticos,Offline,Baja,10/2/2020,423984134,11/14/2020,5182, $  341.02 , $  205.40 ," $  1,767,144.91 "," $  1,064,369.33 "," $  702,775.59 ",39.77%
1796,África,Cárnicos,Offline,Crítica,11/3/2022,179614293,11/23/2022,716, $  329.07 , $  284.46 ," $  235,617.13 "," $  203,672.07 "," $  31,945.06 ",13.56%
1804,África,Cuidado personal,Offline,Media,2/26/2020,180418097,3/15/2020,8579, $  63.75 , $  44.20 ," $  546,906.10 "," $  379,214.11 "," $  167,692.00 ",30.66%
5780,Asia,Cárnicos,Offline,Alta,7/17/2022,578006875,8/21/2022,3934, $  329.07 , $  284.46 ," $  1,294,577.90 "," $  1,119,058.56 "," $  175,519.34 ",13.56%
6943,Europa,Doméstico,Online,Alta,9/1/2021,694304454,9/9/2021,8972, $  521.25 , $  391.98 ," $  4,676,660.38 "," $  3,516,855.33 "," $  1,159,805.06 ",24.80%
3715,Centroamérica y Caribe,Alimento infantil,Online,Alta,1/14/2021,371547162,2/23/2021,7917, $  199.12 , $  124.35 ," $  1,576,420.37 "," $  984,459.95 "," $  591,960.42 ",37.55%
4222,Asia,Bebida,Online,Media,4/6/2020,422283828,4/26/2020,2024, $  37.01 , $  24.80 ," $  74,910.26 "," $  50,187.51 "," $  24,722.76 ",33.00%
3793,África,Cereales,Offline,Crítica,3/23/2022,379375779,3/23/2022,4578, $  160.45 , $  91.35 ," $  734,521.79 "," $  418,181.07 "," $  316,340.72 ",43.07%
7459,África,Cuidado personal,Online,Baja,3/11/2020,745996844,4/3/2020,5899, $  63.75 , $  44.20 ," $  376,057.71 "," $  260,751.14 "," $  115,306.57 ",30.66%
7456,África,Frutas,Offline,Baja,2/20/2022,745633351,4/3/2022,8333, $  7.28 , $  5.40 ," $  60,642.57 "," $  44,978.20 "," $  15,664.37 ",25.83%
5720,Europa,Snacks,Offline,Media,9/16/2020,572084128,11/5/2020,1261, $  119.01 , $  76.00 ," $  150,074.64 "," $  95,840.04 "," $  54,234.60 ",36.14%
9394,África,Bebida,Online,Baja,5/22/2020,939460504,5/24/2020,6095, $  37.01 , $  24.80 ," $  225,582.05 "," $  151,132.84 "," $  74,449.21 ",33.00%
8321,África,Frutas,Online,Alta,10/12/2021,832186305,11/26/2021,1276, $  7.28 , $  5.40 ," $  9,285.96 "," $  6,887.34 "," $  2,398.62 ",25.83%
6549,África,Frutas,Online,Baja,2/28/2020,654997861,4/2/2020,7277, $  7.28 , $  5.40 ," $  52,957.64 "," $  39,278.34 "," $  13,679.30 ",25.83%
8829,Centroamérica y Caribe,Cárnicos,Online,Baja,3/23/2021,882943999,4/7/2021,1605, $  329.07 , $  284.46 ," $  528,164.09 "," $  456,555.41 "," $  71,608.68 ",13.56%
7113,África,Frutas,Online,Baja,6/27/2022,711386048,8/15/2022,3795, $  7.28 , $  5.40 ," $  27,617.73 "," $  20,483.89 "," $  7,133.84 ",25.83%
3059,Australia y Oceanía,Bebida,Offline,Baja,6/9/2020,305997836,7/10/2020,415, $  37.01 , $  24.80 ," $  15,359.57 "," $  10,290.42 "," $  5,069.14 ",33.00%
3527,África,Cárnicos,Offline,Alta,7/19/2020,352765691,8/11/2020,62, $  329.07 , $  284.46 ," $  20,402.60 "," $  17,636.41 "," $  2,766.19 ",13.56%
7079,África,Verduras,Online,Crítica,7/15/2021,707988440,8/8/2021,8367, $  120.17 , $  70.93 ," $  1,005,435.62 "," $  593,432.82 "," $  412,002.79 ",40.98%
8482,Asia,Verduras,Offline,Media,7/13/2022,848277413,8/29/2022,2992, $  120.17 , $  70.93 ," $  359,539.07 "," $  212,208.80 "," $  147,330.27 ",40.98%
3205,África,Doméstico,Online,Media,8/16/2021,320556437,9/25/2021,8628, $  521.25 , $  391.98 ," $  4,497,350.18 "," $  3,382,013.79 "," $  1,115,336.38 ",24.80%
9920,África,Alimento infantil,Online,Alta,3/6/2020,992061841,3/24/2020,1999, $  199.12 , $  124.35 ," $  398,037.68 "," $  248,570.85 "," $  149,466.83 ",37.55%
3003,Europa,Material de oficina,Online,Media,5/20/2021,300342452,6/24/2021,6861, $  507.94 , $  409.47 ," $  3,485,002.41 "," $  2,809,365.44 "," $  675,636.98 ",19.39%
7032,África,Verduras,Online,Alta,4/2/2020,703259599,4/5/2020,8998, $  120.17 , $  70.93 ," $  1,081,260.87 "," $  638,186.75 "," $  443,074.12 ",40.98%
2289,Asia,Ropa,Offline,Alta,3/17/2022,228987109,4/14/2022,1229, $  85.24 , $  27.96 ," $  104,757.99 "," $  34,356.94 "," $  70,401.05 ",67.20%
1260,África,Cereales,Online,Crítica,8/22/2021,126011312,9/18/2021,8402, $  160.45 , $  91.35 ," $  1,348,067.29 "," $  767,487.41 "," $  580,579.88 ",43.07%
8131,Asia,Bebida,Offline,Crítica,6/28/2020,813131034,7/1/2020,2397, $  37.01 , $  24.80 ," $  88,715.37 "," $  59,436.49 "," $  29,278.88 ",33.00%
5294,Europa,Cuidado personal,Offline,Crítica,2/5/2021,529457604,3/5/2021,7126, $  63.75 , $  44.20 ," $  454,278.22 "," $  314,987.73 "," $  139,290.50 ",30.66%
2844,África,Cárnicos,Offline,Media,12/2/2021,284414851,12/7/2021,3530, $  329.07 , $  284.46 ," $  1,161,631.93 "," $  1,004,137.45 "," $  157,494.48 ",13.56%
7077,Europa,Bebida,Online,Crítica,10/22/2021,707739102,10/28/2021,4583, $  37.01 , $  24.80 ," $  169,621.41 "," $  113,640.98 "," $  55,980.43 ",33.00%
6994,Asia,Cosméticos,Online,Baja,6/15/2021,699479186,7/25/2021,290, $  341.02 , $  205.40 ," $  98,894.64 "," $  59,565.25 "," $  39,329.39 ",39.77%
5799,Asia,Cereales,Online,Crítica,12/13/2021,579996430,1/9/2022,2687, $  160.45 , $  91.35 ," $  431,118.40 "," $  245,446.16 "," $  185,672.24 ",43.07%
7399,Europa,Cereales,Online,Baja,6/29/2020,739964663,7/27/2020,842, $  160.45 , $  91.35 ," $  135,095.53 "," $  76,913.16 "," $  58,182.37 ",43.07%
2903,Australia y Oceanía,Ropa,Offline,Baja,5/31/2020,290370213,6/15/2020,5854, $  85.24 , $  27.96 ," $  498,985.59 "," $  163,649.74 "," $  335,335.85 ",67.20%
2125,África,Frutas,Online,Baja,2/22/2021,212511909,2/22/2021,5851, $  7.28 , $  5.40 ," $  42,580.07 "," $  31,581.36 "," $  10,998.71 ",25.83%
2080,África,Frutas,Online,Crítica,7/13/2022,208001077,7/22/2022,996, $  7.28 , $  5.40 ," $  7,248.29 "," $  5,376.01 "," $  1,872.28 ",25.83%
9487,África,Cuidado personal,Offline,Alta,7/9/2020,948761546,7/13/2020,8480, $  63.75 , $  44.20 ," $  540,594.91 "," $  374,838.05 "," $  165,756.86 ",30.66%
9270,África,Snacks,Offline,Crítica,1/18/2020,927029645,1/29/2020,7527, $  119.01 , $  76.00 ," $  895,806.33 "," $  572,076.09 "," $  323,730.25 ",36.14%
