Name,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem name,Lineitem price,Billing Zip,Billing Province,Billing Country,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Cancelled at,Payment Method,Vendor,Id,Billing Province Name,Shipping Province Name
#1168,paid,2023-08-21 00:49:24 -0600,fulfilled,2023-08-22 19:25:51 -0600,no,MXN,650,135,89.66,785,,0,Envio Express 1-2 dias habiles,2023-08-21 00:49:24 -0600,Crema Saffiano - Iphone 13 pro,650,1550,DF,MX,Ciudad de México,1550,DF,MX,,Mercado Pago,Bold21,5351728414880,Ciudad de Mexico,Ciudad de Mexico
#1167,paid,2023-08-03 15:29:03 -0600,fulfilled,2023-08-05 14:51:09 -0600,no,MXN,650,135,89.66,785,,0,Envio Express 1-2 dias habiles,2023-08-03 15:29:03 -0600,Rose Gold Saffiano - Iphone 13 pro max,650,66238,NL,MX,Monterrey,66238,NL,MX,,Mercado Pago,Bold21,5327671165088,Nuevo León,Nuevo León
#1166,paid,2023-07-31 21:55:49 -0600,fulfilled,2023-08-03 19:20:25 -0600,no,MXN,650,100,89.66,750,,0,Envio Estandar 2-5 dias habiles,2023-07-31 21:55:49 -0600,Military Green Saffiano - iPhone 14 pro,650,21258,BC,MX,Mexicali,21258,BC,MX,,Mercado Pago,Bold21,5323862737056,Baja California,Baja California
#1165,paid,2023-07-24 19:51:53 -0600,fulfilled,2023-07-26 20:38:50 -0600,no,MXN,1200,135,165.52,1200,Envio850,135,Envio Express 1-2 dias habiles,2023-07-24 19:51:53 -0600,Baby Blue Saffiano - iPhone 11,550,23098,BCS,MX,La Paz,23098,BCS,MX,,Mercado Pago,Bold21,5314356707488,Baja California Sur,Baja California Sur
#1165,,,,,,,,,,,,,,2023-07-24 19:51:53 -0600,Black Saffiano - Iphone 13,650,,,,,,,,,,Bold21,,,
#1164,paid,2023-07-17 21:13:56 -0600,fulfilled,2023-07-19 16:16:03 -0600,no,MXN,550,100,0,650,,0,Envio Estandar 2-5 dias habiles,2023-07-17 21:13:55 -0600,Tarjetero Saffiano - Azul Marino,550,5100,DF,MX,Cdmx,5100,DF,MX,,Mercado Pago,Bold21,5305283543200,Ciudad de Mexico,Ciudad de Mexico
#1163,paid,2023-07-05 12:51:34 -0600,fulfilled,2023-07-05 15:11:47 -0600,no,MXN,650,135,89.66,785,,0,Envio Express 1-2 dias habiles,2023-07-04 21:07:17 -0600,Black Saffiano - Iphone 14 pro max,650,66470,NL,MX,San nicolas de los garza,66470,NL,MX,,PayPal Express Checkout,Bold21,5288219607200,Nuevo León,Nuevo León
#1162,paid,2023-06-28 18:00:34 -0600,fulfilled,2023-06-28 18:03:35 -0600,no,MXN,1200,100,0,1200,Envio850,100,Envio Estandar 2-5 dias habiles,2023-06-27 11:22:25 -0600,Porta Pasaporte - Black,600,93620,VER,MX,"San Rafael, Ver. ",93620,VER,MX,,PayPal Express Checkout,Bold21,5277849125024,Veracruz,Veracruz
#1162,,,,,,,,,,,,,,2023-06-27 11:22:25 -0600,Porta Pasaporte - Black,600,,,,,,,,,,Bold21,,,
#1161,paid,2023-06-17 00:36:49 -0600,fulfilled,2023-06-19 14:15:22 -0600,no,MXN,650,135,89.66,785,,0,Envio Express 1-2 dias habiles,2023-06-17 00:26:06 -0600,Black Saffiano - Iphone 13 pro max,650,97139,YUC,MX,Merida,97139,YUC,MX,,PayPal Express Checkout,Bold21,5263654125728,Yucatán,Yucatán
#1160,paid,2023-06-13 07:12:37 -0600,fulfilled,2023-06-13 16:59:32 -0600,no,MXN,585,100,80.69,685,,65,Envio Estandar 2-5 dias habiles,2023-06-13 07:12:37 -0600,Black Saffiano - Iphone 14,650,31124,CHIH,MX,Chihuahua,31124,CHIH,MX,,Mercado Pago,Bold21,5258262642848,Chihuahua,Chihuahua
#1159,pending,,unfulfilled,,no,MXN,540,100,0,640,,60,Envio Estandar 2-5 dias habiles,2023-06-12 08:30:22 -0600,Porta Pasaporte - Black,600,64460,NL,MX,Monterrey,64460,NL,MX,2023-06-12 08:57:34 -0600,Mercado Pago,Bold21,5256911192224,Nuevo León,Nuevo León
#1158,paid,2023-06-05 10:10:22 -0600,fulfilled,2023-06-08 00:02:40 -0600,yes,MXN,440,0,60.69,440,,110,Valle de chipinque,2023-06-05 10:10:22 -0600,Baby Blue Saffiano - iPhone 11,550,66236,NL,MX,,,,,,Mercado Pago,Bold21,5247028625568,Nuevo León,
#1157,paid,2023-06-05 11:48:10 -0600,fulfilled,2023-06-06 14:37:58 -0600,no,MXN,520,100,71.72,620,,130,Envio Estandar 2-5 dias habiles,2023-06-03 17:11:34 -0600,Black Saffiano - Iphone 14 pro max,650,53330,DF,MX,Naucalpan,53330,DF,MX,,PayPal Express Checkout,Bold21,5244703441056,Ciudad de Mexico,Ciudad de Mexico
#1156,paid,2023-05-30 13:52:30 -0600,fulfilled,2023-06-01 08:28:38 -0600,no,MXN,600,100,82.76,700,,0,Envio Estandar 2-5 dias habiles,2023-05-30 13:52:30 -0600,Black Saffiano - iPhone 12 Pro Max,600,65750,NL,MX,"centro, general zuazua  ",65750,NL,MX,,Mercado Pago,Bold21,5238371582112,Nuevo León,Nuevo León
#1155,paid,2023-05-04 15:14:21 -0600,fulfilled,2023-05-04 17:51:19 -0600,no,MXN,552.5,100,76.21,652.5,,97.5,Envio Estandar 2-5 dias habiles,2023-05-04 14:43:57 -0600,Black Saffiano - Iphone 13 pro,650,64630,NL,MX,Monterrey,64630,NL,MX,,PayPal Express Checkout,Bold21,5201639309472,Nuevo León,Nuevo León
#1154,paid,2023-05-03 19:59:01 -0600,fulfilled,2023-05-04 17:54:04 -0600,no,MXN,1020,100,140.69,1120,,180,Envio Estandar 2-5 dias habiles,2023-05-03 19:59:01 -0600,Crema Saffiano - Iphone 14 pro,650,25270,COAH,MX,saltillo,25296,COAH,MX,,Mercado Pago,Bold21,5200407462048,Coahuila,Coahuila
#1154,,,,,,,,,,,,,,2023-05-03 19:59:01 -0600,Black Saffiano - iPhone Xs Max,550,,,,,,,,,,Bold21,,,
#1153,paid,2023-04-28 21:25:57 -0600,fulfilled,2023-05-02 16:38:17 -0600,no,MXN,552.5,135,76.21,687.5,,97.5,Envio Express 1-2 dias habiles,2023-04-28 21:25:56 -0600,Black Saffiano - Iphone 14 pro max,650,64349,NL,MX,Monterrey,64349,NL,MX,,Mercado Pago,Bold21,5193118449824,Nuevo León,Nuevo León
#1152,paid,2023-04-23 21:11:59 -0600,fulfilled,2023-04-25 20:50:03 -0600,no,MXN,1105,0,152.41,1105,,195,Valle de chipinque,2023-04-23 21:11:59 -0600,Crema Saffiano - Iphone 14 pro,650,66236,NL,MX,,,,,,Mercado Pago,Bold21,5185937113248,Nuevo León,
#1152,,,,,,,,,,,,,,2023-04-23 21:11:59 -0600,Military Green Saffiano - iPhone 13 pro,650,,,,,,,,,,Bold21,,,
#1151,paid,2023-04-14 11:24:12 -0600,fulfilled,2023-04-17 16:05:44 -0600,no,MXN,650,100,89.66,750,,0,Envio Estandar 2-5 dias habiles,2023-04-14 11:24:12 -0600,Baby Blue Saffiano - iPhone 13 pro,650,1550,DF,MX,Ciudad de México,1550,DF,MX,,Mercado Pago,Bold21,5172860256416,Ciudad de Mexico,Ciudad de Mexico
#1150,paid,2023-04-07 08:54:32 -0600,fulfilled,2023-04-10 21:01:00 -0600,no,MXN,1300,100,179.31,1400,,0,Envio Estandar 2-5 dias habiles,2023-04-07 08:54:31 -0600,Navy Blue Saffiano - iPhone 13 pro max,650,71226,OAX,MX,"Oaxaca de Juárez, Oaxaca ",71226,OAX,MX,,Mercado Pago,Bold21,5163127701664,Oaxaca,Oaxaca
#1150,,,,,,,,,,,,,,2023-04-07 08:54:31 -0600,Military Green Saffiano - iPhone 13 pro Max,650,,,,,,,,,,Bold21,,,
#1149,paid,2023-04-06 17:15:55 -0600,fulfilled,2023-04-10 20:58:10 -0600,no,MXN,1250,100,172.41,1250,Envio850,100,Envio Estandar 2-5 dias habiles,2023-04-06 17:15:55 -0600,Red Saffiano - iPhone 13 pro,650,83630,SON,MX,Caborca,83630,SON,MX,,Mercado Pago,Bold21,5162353688736,Sonora,Sonora
#1149,,,,,,,,,,,,,,2023-04-06 17:15:55 -0600,Baby Blue Saffiano - Iphone 12/12 pro,600,,,,,,,,,,Bold21,,,
#1148,paid,2023-03-22 10:29:41 -0600,fulfilled,2023-03-22 20:31:27 -0600,yes,MXN,650,100,89.66,750,,0,Envio Estandar 2-5 dias habiles,2023-03-22 09:02:59 -0600,Black Saffiano - Iphone 14 pro,650,38080,GTO,MX,Celaya,38080,GTO,MX,,PayPal Express Checkout,Bold21,5140552679584,Guanajuato,Guanajuato
#1147,paid,2023-03-09 13:01:35 -0600,fulfilled,2023-03-09 21:35:24 -0600,no,MXN,650,100,89.66,750,,0,Envio Estandar 2-5 dias habiles,2023-03-09 13:01:35 -0600,Rose Gold Saffiano - Iphone 13 pro max,650,27000,COAH,MX,Torreón,27000,COAH,MX,,Mercado Pago,Bold21,5121068105888,Coahuila,Coahuila
#1146,paid,2023-03-01 13:01:59 -0600,fulfilled,2023-03-02 13:31:59 -0600,no,MXN,650,135,89.66,785,,0,Envio Express 1-2 dias habiles,2023-03-01 13:01:58 -0600,Black Saffiano - Iphone 14 pro max,650,80060,SIN,MX,Culiacán Rosales,80060,SIN,MX,,Mercado Pago,Bold21,5108309065888,Sinaloa,Sinaloa
#1145,paid,2023-02-16 21:47:46 -0600,fulfilled,2023-02-18 19:38:06 -0600,no,MXN,550,0,75.86,550,,0,Valle de chipinque,2023-02-16 21:47:45 -0600,Baby Blue Saffiano - iPhone 11,550,66250,NL,MX,,,,,,Mercado Pago,Bold21,5088087244960,Nuevo León,
#1144,paid,2023-02-14 15:58:42 -0600,fulfilled,2023-02-14 22:41:15 -0600,no,MXN,600,135,82.76,735,,0,Envio Express 1-2 dias habiles,2023-02-14 15:58:41 -0600,Navy Blue Saffiano - iPhone 12/12 pro,600,33059,CHIH,MX,Delicias,33059,CHIH,MX,,Mercado Pago,Bold21,5084967993504,Chihuahua,Chihuahua
#1143,paid,2023-02-08 10:34:53 -0600,fulfilled,2023-02-08 21:48:10 -0600,no,MXN,550,100,75.86,650,,0,Envio Estandar 2-5 dias habiles,2023-02-08 10:34:52 -0600,Black Saffiano - iPhone 11,550,85823,SON,MX,Navojoa,85823,SON,MX,,Mercado Pago,Bold21,5075948667040,Sonora,Sonora
#1142,paid,2023-02-07 09:08:15 -0600,fulfilled,2023-02-08 19:56:15 -0600,no,MXN,650,0,89.66,650,,0,Valle de chipinque,2023-02-07 09:08:14 -0600,Black Saffiano - Iphone 13 pro max,650,64987,NL,MX,,,,,,Mercado Pago,Bold21,5074422595744,Nuevo León,
#1141,paid,2023-02-01 17:23:05 -0600,fulfilled,2023-02-06 11:02:25 -0600,no,MXN,1100,100,0,1100,Envio850,100,Envio Estandar 2-5 dias habiles,2023-02-01 17:23:04 -0600,Tarjetero Saffiano - Negro,550,31213,CHIH,MX,Chihuahua,31213,CHIH,MX,,Mercado Pago,Bold21,5065862643872,Chihuahua,Chihuahua
#1141,,,,,,,,,,,,,,2023-02-01 17:23:04 -0600,Tarjetero Saffiano - Negro,550,,,,,,,,,,Bold21,,,
#1140,paid,2023-02-01 17:52:18 -0600,fulfilled,2023-02-06 11:02:31 -0600,yes,MXN,600,100,82.76,700,,0,Envio Estandar 2-5 dias habiles,2023-02-01 13:50:48 -0600,Black Saffiano - iPhone 12/12 pro,600,21297,BC,MX,Monterrey,64619,NL,MX,,PayPal Express Checkout,Bold21,5065607053472,Baja California,Nuevo León
#1139,paid,2023-01-25 18:42:48 -0600,fulfilled,2023-01-25 20:50:11 -0600,no,MXN,550,100,75.86,650,,0,Envio Estandar 2-5 dias habiles,2023-01-25 18:42:47 -0600,Black Saffiano - iPhone 11,550,25198,COAH,MX,Saltillo,25198,COAH,MX,,Mercado Pago,Bold21,5054945099936,Coahuila,Coahuila
#1138,paid,2023-01-25 16:52:56 -0600,fulfilled,2023-01-26 12:57:04 -0600,no,MXN,550,135,75.86,685,,0,Envio Express 1-2 dias habiles,2023-01-25 16:52:55 -0600,Rose Gold Saffiano - iPhone XR,550,64610,NL,MX,Monterrey,64610,NL,MX,,Mercado Pago,Bold21,5054834737312,Nuevo León,Nuevo León
#1137,paid,2023-01-17 23:36:06 -0600,fulfilled,2023-01-21 09:30:53 -0600,no,MXN,385,135,53.1,520,,165,Standard Express,2023-01-17 23:36:05 -0600,Military Green Saffiano - iPhone XR,550,5100,DF,MX,Mexico,5100,DF,MX,,Mercado Pago,Bold21,5044221345952,Ciudad de Mexico,Ciudad de Mexico
#1136,paid,2023-01-17 22:01:48 -0600,fulfilled,2023-01-21 09:30:46 -0600,no,MXN,650,135,89.66,785,,0,Standard Express,2023-01-17 22:01:47 -0600,Baby Blue Saffiano - iPhone 13 pro,650,28100,COL,MX,Tecomán,28100,COL,MX,,Mercado Pago,Bold21,5044156104864,Colima,Colima
#1135,paid,2023-01-17 16:01:36 -0600,fulfilled,2023-01-21 09:30:37 -0600,no,MXN,650,135,89.66,785,,0,Standard Express,2023-01-17 16:01:35 -0600,Black Saffiano - Iphone 14 pro max,650,22000,BC,MX,Tijuana,22000,BC,MX,,Mercado Pago,Bold21,5043870105760,Baja California,Baja California
#1134,paid,2023-01-07 15:03:45 -0600,fulfilled,2023-01-09 23:19:04 -0600,no,MXN,400,135,55.17,400,BOLD2023,135,Standard Express,2023-01-07 15:03:44 -0600,Baby Pink Saffiano - iPhone X,400,72480,PUE,MX,Puebla,72480,PUE,MX,,Mercado Pago,Bold21,5029978472608,Puebla,Puebla
#1133,paid,2023-01-05 15:38:30 -0600,fulfilled,2023-01-08 18:08:18 -0600,no,MXN,1200,135,165.52,1200,BOLD2023,135,Standard Express,2023-01-05 15:38:29 -0600,Rose Gold Saffiano - iPhone 11,550,10340,DF,MX,Ciudad de México,10340,DF,MX,,Mercado Pago,Bold21,5026963062944,Ciudad de Mexico,Ciudad de Mexico
#1133,,,,,,,,,,,,,,2023-01-05 15:38:29 -0600,Black Saffiano - Iphone 13 pro max,650,,,,,,,,,,Bold21,,,
#1132,paid,2023-01-03 14:47:47 -0600,fulfilled,2023-01-06 14:15:04 -0600,no,MXN,550,135,75.86,550,BOLD2023,135,Standard Express,2023-01-03 14:47:46 -0600,Baby Blue Saffiano - iPhone XR,550,85134,SON,MX,Ciudad Obregón,85134,SON,MX,,Mercado Pago,Bold21,5023634456736,Sonora,Sonora
#1131,paid,2023-01-03 13:53:16 -0600,fulfilled,2023-01-06 15:27:58 -0600,no,MXN,650,135,89.66,650,BOLD2023,135,Standard Express,2023-01-03 13:53:15 -0600,Crema Saffiano - Iphone 13,650,66256,NL,MX,San Pedro Garza Garcia,66256,NL,MX,,Mercado Pago,Bold21,5023571280032,Nuevo León,Nuevo León
#1130,paid,2023-01-02 21:18:20 -0600,fulfilled,2023-01-06 12:12:21 -0600,no,MXN,250,135,34.48,250,BOLD2023,135,Standard Express,2023-01-02 21:18:19 -0600,Naranja Camello 1er Colección - iPhone X,250,72480,PUE,MX,Puebla,72480,PUE,MX,,Mercado Pago,Bold21,5022644306080,Puebla,Puebla
#1129,paid,2023-01-01 02:14:07 -0600,fulfilled,2023-01-01 22:21:01 -0600,no,MXN,650,135,89.66,785,,0,Standard Express,2023-01-01 02:14:06 -0600,Black Saffiano - Iphone 14 pro max,650,45580,JAL,MX,Guadalajara,45580,JAL,MX,,Mercado Pago,Bold21,5020395700384,Jalisco,Jalisco
#1128,paid,2022-12-18 16:33:40 -0600,fulfilled,2022-12-18 21:48:12 -0600,yes,MXN,600,135,82.76,735,,0,Standard Express,2022-12-18 16:33:40 -0600,Black Saffiano - iPhone 12/12 pro,600,66420,NL,MX,Monterrey,66420,NL,MX,,Mercado Pago,Bold21,5001428795552,Nuevo León,Nuevo León
#1127,paid,2022-12-18 19:35:07 -0600,fulfilled,2022-12-18 21:46:19 -0600,yes,MXN,550,135,75.86,685,,0,Standard Express,2022-12-18 16:15:16 -0600,Black Saffiano - iPhone 11 Pro Max,550,64346,NL,MX,Monterrey,64630,NL,MX,,PayPal Express Checkout,Bold21,5001406283936,Nuevo León,Nuevo León
#1126,paid,2022-12-15 11:26:23 -0600,fulfilled,2022-12-15 22:44:54 -0600,no,MXN,1800,135,89.66,1935,,0,Standard Express,2022-12-15 11:26:22 -0600,Tarjetero Saffiano - Negro,550,45136,JAL,MX,Guadalajara,45136,JAL,MX,,Mercado Pago,Bold21,4995611459744,Jalisco,Jalisco
#1126,,,,,,,,,,,,,,2022-12-15 11:26:22 -0600,Black Saffiano - Iphone 14 pro max,650,,,,,,,,,,Bold21,,,
#1126,,,,,,,,,,,,,,2022-12-15 11:26:22 -0600,Porta Pasaporte - Black,600,,,,,,,,,,Bold21,,,
#1125,paid,2022-12-14 13:06:14 -0600,fulfilled,2022-12-15 22:40:29 -0600,no,MXN,600,135,0,735,,0,Standard Express,2022-12-14 12:05:29 -0600,Porta Pasaporte - Black,600,3930,DF,MX,CDMX,3930,DF,MX,,PayPal Express Checkout,Bold21,4993574142112,Ciudad de Mexico,Ciudad de Mexico
#1124,paid,2022-12-12 16:53:19 -0600,fulfilled,2022-12-14 21:00:23 -0600,no,MXN,650,135,89.66,785,,0,Standard Express,2022-12-12 16:53:17 -0600,Rose Gold Saffiano - Iphone 13 pro,650,5530,DF,MX,Ciudad de Mexico,5530,DF,MX,,Mercado Pago,Bold21,4988814721184,Ciudad de Mexico,Ciudad de Mexico
#1123,paid,2022-12-12 15:27:49 -0600,fulfilled,2022-12-14 21:00:13 -0600,no,MXN,600,135,82.76,735,,0,Standard Express,2022-12-12 15:27:48 -0600,Rose Gold Saffiano - iPhone 12/12 pro,600,64650,NL,MX,MONTERREY,64650,NL,MX,,Mercado Pago,Bold21,4988682993824,Nuevo León,Nuevo León
#1122,paid,2022-12-12 18:56:02 -0600,fulfilled,2022-12-14 21:00:04 -0600,no,MXN,650,135,89.66,785,,0,Standard Express,2022-12-11 22:10:18 -0600,Black Saffiano - Iphone 14,650,45116,JAL,MX,Zapopan,45116,JAL,MX,,PayPal Express Checkout,Bold21,4987297235104,Jalisco,Jalisco
#1121,paid,2022-12-15 12:41:56 -0600,fulfilled,2022-12-15 12:42:02 -0600,yes,MXN,650,135,89.66,785,,0,Standard Express,2022-12-10 22:51:34 -0600,Crema Saffiano - Iphone 13,650,4200,DF,MX,Mexico City,4200,DF,MX,,Mercado Pago + manual,Bold21,4985376833696,Ciudad de Mexico,Ciudad de Mexico
#1120,paid,2022-12-05 10:51:32 -0600,fulfilled,2022-12-07 21:25:51 -0600,no,MXN,650,135,89.66,785,,0,Standard Express,2022-12-05 10:51:31 -0600,Military Green Saffiano - iPhone 13,650,66425,NL,MX,San Nicolás de los Garza,66425,NL,MX,,Mercado Pago,Bold21,4972886130848,Nuevo León,Nuevo León
#1119,paid,2022-11-28 23:08:16 -0600,fulfilled,2022-12-03 17:24:49 -0600,no,MXN,1000,135,55.17,1135,,0,Standard Express,2022-11-27 18:03:08 -0600,Porta Pasaporte - Black,600,45038,JAL,MX,GUADALAJARA,45038,JAL,MX,,PayPal Express Checkout,Bold21,4954849378464,Jalisco,Jalisco
#1119,,,,,,,,,,,,,,2022-11-27 18:03:08 -0600,Libreta A5 - Negro,400,,,,,,,,,,Bold21,,,
#1118,paid,2022-11-26 10:39:56 -0600,fulfilled,2022-11-27 11:33:23 -0600,yes,MXN,550,135,75.86,550,BLACKFRIDAY,135,Standard Express,2022-11-26 10:39:55 -0600,Rose Gold Saffiano - iPhone 11,550,73800,PUE,MX,TEZIUTLAN,73800,PUE,MX,,Mercado Pago,Bold21,4951344939168,Puebla,Puebla
#1117,paid,2022-11-25 22:20:36 -0600,fulfilled,2022-11-27 10:54:06 -0600,no,MXN,600,135,82.76,600,BLACKFRIDAY,135,Standard Express,2022-11-25 22:15:38 -0600,Baby Blue Saffiano - Iphone 12/12 pro,600,76800,QRO,MX,San Juan Del RÍo,76800,QRO,MX,,PayPal Express Checkout,Bold21,4950076784800,Querétaro,Querétaro
#1116,paid,2022-11-25 15:01:22 -0600,fulfilled,2022-11-27 10:50:10 -0600,no,MXN,650,135,89.66,650,BLACKFRIDAY,135,Standard Express,2022-11-25 15:01:21 -0600,Black Saffiano - Iphone 14 pro max,650,45599,JAL,MX,Tlaquepaque,45615,JAL,MX,,Mercado Pago,Bold21,4948899791008,Jalisco,Jalisco
#1115,paid,2022-10-28 14:55:29 -0500,fulfilled,2022-10-28 14:55:10 -0500,no,MXN,650,135,89.66,785,,0,Standard Express,2022-10-19 23:27:18 -0500,Black Saffiano - Iphone 13 pro max,650,76902,QRO,MX,Queretaro,76902,QRO,MX,,Mercado Pago + manual,Bold21,4875847598240,Querétaro,Querétaro
#1114,paid,2022-10-03 20:00:41 -0500,fulfilled,2022-10-05 13:59:31 -0500,no,MXN,600,135,82.76,735,,0,Standard Express,2022-10-03 20:00:39 -0500,Baby Blue Saffiano - Iphone 12/12 pro,600,52005,MEX,MX,Lerma,52005,MEX,MX,,Mercado Pago,Bold21,4851557204128,Mexico State,Mexico State
#1113,paid,2022-09-18 22:19:06 -0500,fulfilled,2022-09-20 14:34:15 -0500,no,MXN,520,135,71.72,655,,130,Standard Express,2022-09-18 22:19:05 -0500,Black Saffiano - Iphone 13 pro max,650,64650,NL,MX,Monterrey,64650,NL,MX,,Mercado Pago,Bold21,4829269622944,Nuevo León,Nuevo León
#1112,paid,2022-09-17 14:33:11 -0500,fulfilled,2022-09-20 14:34:05 -0500,no,MXN,440,135,60.69,575,,110,Standard Express,2022-09-17 14:33:09 -0500,Beige Saffiano - iPhone XR,550,76146,QRO,MX,Querétaro,76146,QRO,MX,,Mercado Pago,Bold21,4827495301280,Querétaro,Querétaro
#1111,paid,2022-09-17 13:45:31 -0500,fulfilled,2022-09-20 14:33:57 -0500,no,MXN,520,135,71.72,655,,130,Standard Express,2022-09-17 13:45:31 -0500,Crema Saffiano - Iphone 13,650,25093,COAH,MX,Saltillo,25093,COAH,MX,,Mercado Pago,Bold21,4827427242144,Coahuila,Coahuila
#1110,pending,,unfulfilled,,no,MXN,520,135,71.72,655,,130,Standard Express,2022-09-17 13:32:42 -0500,Crema Saffiano - Iphone 13,650,25093,COAH,MX,Saltillo,25093,COAH,MX,2022-09-17 16:18:02 -0500,Mercado Pago,Bold21,4827408990368,Coahuila,Coahuila
#1109,paid,2022-09-14 15:28:31 -0500,fulfilled,2022-09-20 14:33:40 -0500,no,MXN,440,135,0,575,,110,Standard Express,2022-09-14 15:28:28 -0500,Tarjetero Saffiano - Negro,550,83125,SON,MX,Hermosillo,83138,SON,MX,,Mercado Pago,Bold21,4823115956384,Sonora,Sonora
#1108,paid,2022-09-09 11:15:56 -0500,fulfilled,2022-09-12 15:41:03 -0500,no,MXN,520,135,71.72,655,,130,Standard Express,2022-09-09 11:15:55 -0500,Navy Blue Saffiano - iPhone 13,650,5100,DF,MX,Mexico City,5100,DF,MX,,Mercado Pago,Bold21,4815544090784,Ciudad de Mexico,Ciudad de Mexico
