Cat. Page,Item No.,Description,Case Pack,Weight (lbs) per case,Cubic Feet Per Case,Universal Product Code,Dangerous Goods Class," Indvl Width""    L to R",Indvl Lengt'' F to B,"Indvl Height""  T to B ",Indvl Cubic Ft.,Indvl.  Wt. lbs.,Case Dim. Length,"Case Dim. Width""","Case Dim. Height""",Cu.Ft.Per Case,Country of Origin
19,7640,Non-Stick Camp Griddle,6,12.7,0.36,0 5638907640 2,,10.250,0.500,17.625,0.059,2.07,10.63,3.13,18.50,0.355,USA
50,7735,Wilderness Signal Whistle,6,0.5,0.06,0 5638907735 5,,4.000,0.875,6.750,0.010,0.07,6.88,3.13,4.63,0.058,TAIWAN
19,7760,Pot Holder,12,1.9,0.16,0 5638907760 7,,8.471,3.940,1.064,0.013,0.15,8.87,4.73,6.50,0.158,CHINA
33,7870,Magnesium Fire Starter  ,12,1.1,0.10,0 5638907870 3,,4.250,1.000,5.875,0.008,0.09,7.38,4.50,5.25,0.101,CHINA
77,7890,Sleeping Bag Straps - 2 Pack,6,0.8,0.08,0 5638907890 1,,5.000,1.125,7.000,0.013,0.13,7.13,3.50,5.50,0.079,CHINA
28,7920,Picnic Tablecloth,12,8.9,0.21,0 5638907920 5,,5.000,0.625,10.000,0.018,0.73,10.00,10.50,3.50,0.213,CHINA
41,7925,Snake Bite Kit   ,12,1.5,0.18,0 5638907925 0,,5.000,1.125,7.125,0.015,0.12,7.25,7.75,5.38,0.175,USA
33,7940,Fire Sticks - 12 Pack,6,2.8,0.09,0 5638907940 3,,4.500,1.125,7.000,0.015,0.45,7.38,3.63,5.88,0.091,USA
61,7945,Sharpening Stone,12,2.3,0.04,0 5638907945 8,,3.000,0.750,5.500,0.004,0.19,7.50,2.75,3.75,0.045,CHINA
75,8041,Clothes Clips - 8 Pack,12,2.8,0.18,0 5638908041 6,,3.750,1.250,7.000,0.015,0.23,8.63,8.25,4.38,0.180,TAIWAN
41,8043,Foot Care Kit   ,12,1.0,0.10,0 5638908043 0,,4.000,0.375,8.625,0.008,0.08,8.13,4.63,4.38,0.095,USA
75,8045,Cord-Lock - 2 Pack,12,0.4,0.06,0 5638908045 4,,2.875,0.500,4.875,0.005,0.03,4.88,3.25,6.25,0.057,CHINA
65,8046,Aluminum Tent Pegs - 4 Pack,12,2.4,0.14,0 5638908046 1,,4.125,0.125,11.125,0.012,0.19,11.75,4.50,4.63,0.142,CHINA
65,8047,Aluminum Tent Pegs - Bulk,100,4.0,0.10,0 5638908047 8,,1.125,0.125,7.000,0.001,0.04,7.75,5.50,4.00,0.099,CHINA
47,8048,Pocket Compass,12,1.0,0.14,0 5638908048 5,,3.625,0.625,7.750,0.011,0.08,8.25,7.13,4.00,0.136,TAIWAN
57,8100,Funnel,12,0.7,0.29,0 5638908100 0,,2.375,2.500,3.375,0.024,0.05,11.00,8.13,5.50,0.284,CANADA
41,8125,Sting Relief,12,1.3,0.11,0 5638908125 3,,2.500,1.000,5.250,0.009,0.10,6.25,5.50,5.50,0.109,USA
88,8150,Screen Patches,12,1.0,0.04,0 5638908150 5,,5.250,0.125,7.375,0.003,0.08,7.88,5.63,1.50,0.038,USA
47,8160,Liquid Filled Compass,12,1.1,0.17,0 5638908160 4,,3.625,0.500,7.750,0.014,0.09,8.13,6.88,5.13,0.166,TAIWAN
48,8162,Map Compass,6,0.9,0.08,0 5638908162 8,,3.625,1.000,7.750,0.013,0.14,8.63,3.63,4.38,0.079,TAIWAN
47,8164,Lensatic Compass,12,2.3,0.20,0 5638908164 2,,4.500,1.125,7.875,0.016,0.19,8.13,7.25,5.75,0.196,TAIWAN
88,8205,Sewing Kit,12,1.1,0.07,0 5638908205 2,,3.375,0.750,4.875,0.006,0.09,6.00,5.13,3.88,0.069,CHINA
82,8210,"Stuff Bag 10""",12,2.2,0.21,0 5638908210 6,,6.000,1.000,9.500,0.017,0.18,9.38,6.00,6.38,0.208,CHINA
82,8212,"Stuff Bag 12""",12,2.7,0.21,0 5638908212 0,,6.000,0.500,9.000,0.018,0.22,9.25,6.25,6.38,0.213,CHINA
82,8214,"Stuff Bag 14""",12,3.6,0.27,0 5638908214 4,,6.000,0.625,9.500,0.022,0.29,13.00,5.50,6.50,0.269,CHINA
83,8230,"Utility Bag 14""",12,2.3,0.20,0 5638908230 4,,6.000,0.500,9.500,0.017,0.18,9.38,6.00,6.13,0.199,CHINA
84,8233,Ditty Bag - 3 Pack,12,1.1,0.12,0 5638908233 5,,6.000,0.500,9.625,0.010,0.09,9.38,3.38,6.38,0.117,CHINA
43,8235,Emergency Blanket   ,12,1.6,0.09,0 5638908235 9,,3.000,0.750,6.000,0.007,0.13,9.25,5.13,3.25,0.089,CHINA
24,8236,Salt & Pepper Shaker,12,2.3,0.19,0 5638908236 6,,4.250,1.250,8.375,0.016,0.18,8.88,7.25,5.00,0.186,CHINA
24,8252,Folding Cutlery Set,6,1.6,0.09,0 5638908252 6,,3.000,1.250,7.000,0.014,0.25,7.25,3.75,5.50,0.087,CHINA
48,8268,Pin-On Compass   ,12,0.7,0.11,0 5638908268 7,,3.000,1.125,5.375,0.009,0.05,8.00,7.38,3.25,0.111,TAIWAN
60,8304,Pocket Saw,12,0.7,0.14,0 5638908304 2,,4.750,1.000,6.375,0.012,0.05,6.75,6.88,5.25,0.141,CHINA
27,8309,Fold-A-Cup  ,12,1.1,0.12,0 5638908309 7,,3.250,1.125,4.125,0.010,0.09,8.50,5.88,4.00,0.116,SWEDEN
65,8310,Nail Pegs - 2 Pack,12,6.3,0.29,0 5638908310 3,,3.750,0.750,14.000,0.024,0.51,14.00,7.25,4.88,0.286,CHINA
65,8311,Nail Pegs - Bulk,100,21.8,0.35,0 5638908311 0,,1.875,0.750,10.000,0.003,0.21,12.00,8.50,5.88,0.347,CHINA
65,8312,Nail Pegs - 4 Pack,12,11.7,0.36,0 5638908312 7,,4.500,0.750,13.625,0.030,0.96,14.25,9.13,4.75,0.357,CHINA
84,8319,Dunk Bag,6,1.1,0.13,0 5638908319 6,,7.000,0.750,9.500,0.021,0.17,10.63,7.50,2.75,0.127,CHINA
66,8326,Skewer Pegs - 6 Pack,12,3.4,0.06,0 5638908326 4,,2.875,0.125,8.625,0.005,0.27,5.63,9.50,2.00,0.062,ENGLAND
66,8327,Skewer Pegs - Bulk,150,6.6,0.08,No UPC,,0.875,0.125,7.125,0.001,0.04,8.25,5.75,3.00,0.082,ENGLAND
60,8400,Sierra Saw  ,6,2.8,0.15,0 5638908400 1,,4.000,0.875,12.750,0.025,0.45,13.13,3.38,5.88,0.151,S.KOREA
62,8407,Tent Whisk and Dust Pan,12,3.0,0.37,0 5638908407 0,,5.750,1.000,8.000,0.031,0.25,11.63,9.13,6.00,0.368,CHINA
63,8408,Trowel  ,12,1.6,0.16,0 5638908408 7,,2.625,0.750,10.875,0.013,0.13,11.25,7.00,3.50,0.160,CANADA
85,8415,"Water Resistent Pouch 5"" x 7""  ",12,1.1,0.09,0 5638908415 5,,6.125,0.125,9.750,0.007,0.09,10.00,6.38,2.38,0.088,TAIWAN
85,8416,"Water Resistent Pouch 7"" x 10""   ",12,1.9,0.14,0 5638908416 2,,7.750,0.125,12.250,0.011,0.16,12.88,8.13,2.25,0.136,TAIWAN
85,8417,"Water Resistent Pouch 10.5"" x 13.5""   ",12,2.9,0.14,0 5638908417 9,,7.625,0.125,12.750,0.012,0.23,13.00,8.00,2.38,0.143,TAIWAN
77,8436,"Arno Straps  36"" - 2 Pack",12,1.5,0.14,0 5638908436 0,,4.000,0.750,6.875,0.012,0.12,7.13,6.38,5.25,0.138,GREECE
77,8448,"Arno Straps  48"" - 2 Pack",12,1.8,0.14,0 5638908448 3,,4.500,0.750,6.875,0.012,0.14,7.13,6.38,5.25,0.138,GREECE
77,8460,"Arno Straps  60"" - 2 Pack",12,1.8,0.14,0 5638908460 5,,4.375,0.750,6.875,0.012,0.15,7.13,6.38,5.25,0.138,GREECE
92,8501,Featherweight Mirror   ,12,0.9,0.04,0 5638908501 5,,4.000,0.125,6.875,0.004,0.07,7.25,4.25,2.50,0.045,USA
75,8512,Laundry Reel  ,12,2.7,0.31,0 5638908512 1,,4.375,2.000,8.000,0.025,0.22,12.50,9.38,4.50,0.305,CHINA
25,8525,Contain-Alls  ,12,3.8,0.78,0 5638908525 1,,6.500,1.750,11.000,0.065,0.31,15.00,12.00,7.50,0.781,CANADA
43,8544,Thermal Blanket  ,4,3.6,0.28,0 5638908544 2,,8.000,1.250,12.375,0.070,0.87,11.00,6.00,7.38,0.282,CHINA
33,8607,Fire Paste   ,12,4.4,0.30,0 5638908607 4,,4.250,1.375,8.250,0.025,0.36,8.25,6.88,9.25,0.304,USA
28,8623,Food Cover   ,12,2.3,0.38,0 5638908623 4,,3.125,1.000,16.250,0.032,0.19,16.38,5.88,6.88,0.383,CHINA
49,8634,Wilderness Aid,4,0.5,0.08,0 5638908634 0,,4.500,1.125,7.750,0.019,0.13,8.25,3.38,4.75,0.077,CHINA
33,8647,Tinder Kit   ,12,1.3,0.14,0 5638908647 0,,3.546,7.092,0.630,0.011,0.11,7.09,4.73,7.09,0.138,CHINA
33,8649,Tinder - 10 Pack,12,0.8,0.07,0 5638908649 4,,1.576,8.668,0.591,0.006,0.06,3.55,3.94,8.67,0.070,CHINA
47,8652,Wrist Compass   ,12,0.6,0.10,0 5638908652 4,,2.875,0.500,5.375,0.008,0.04,8.50,5.88,3.38,0.098,TAIWAN
56,8674,Emergency Candles - 2 Pack,4,1.9,0.08,0 5638908674 6,,5.625,1.500,5.875,0.021,0.47,6.13,3.63,6.50,0.084,CANADA
56,8675,Emergency Candles - Bulk   ,160,29.3,0.85,No UPC,,1.250,1.250,5.250,0.005,0.18,20.13,11.25,6.50,0.852,CANADA
,8686,Mosquito Coils - 10 Pack,12,4.1,0.23,0 5638908686 9,,4.750,1.250,4.750,0.019,0.33,10.00,5.25,7.50,0.228,ITALY
35,8688,Mosquito Coil Holder   ,12,2.4,0.23,0 5638908688 3,,5.500,0.750,5.500,0.020,0.20,12.00,5.63,6.00,0.234,CHINA
32,8746,Plastic Match Box   ,6,0.3,0.08,0 5638908746 0,,3.000,1.125,6.000,0.013,0.05,6.25,3.38,6.38,0.078,CHINA
44,8760,Tube Tent  ,12,12.4,0.53,0 5638908760 6,,9.000,1.125,12.000,0.044,1.01,10.63,8.13,10.50,0.525,CHINA
44,8765,Survival Bag   ,12,7.7,0.40,0 5638908765 1,,7.750,1.500,10.500,0.034,0.63,12.00,8.13,7.13,0.402,CANADA
23,8770,Pack Grill   ,6,4.9,0.19,0 5638908770 5,,6.375,0.500,12.625,0.032,0.80,13.13,7.00,3.63,0.193,TAIWAN
23,8775,Camp Grill   ,4,12.7,0.67,0 5638908775 0,,23.750,0.875,12.625,0.167,3.11,24.25,13.13,3.63,0.668,TAIWAN
45,8797,Disposable Hand Warmers - 4 Pack,12,3.9,0.16,0 5638908797 2,,4.250,1.000,7.250,0.013,0.32,8.50,6.25,5.25,0.161,CHINA
45,8797B,Disposable Hand Warmers - Bulk   ,60,4.6,0.13,0 5638908798 9,,3.000,0.125,4.625,0.002,0.08,9.63,6.50,3.50,0.127,CHINA
45,8797BD,Disposable Hand Warmers - Display  ,100,8.0,0.30,0 5638908798 9,,3.000,0.125,4.625,0.003,0.08,12.00,10.25,4.25,0.303,CHINA
89,8811,Snap Fastener Kit  ,12,1.6,0.04,0 5638908811 5,,2.500,0.250,6.250,0.004,0.13,6.50,4.13,2.75,0.043,CHINA
89,8812,Grommet Kit   ,12,3.9,0.10,0 5638908812 2,,4.000,4.750,0.875,0.008,0.32,10.50,3.63,4.38,0.096,CHINA
83,8814,Sleeping Bag Carrier  ,12,2.2,0.20,0 5638908814 6,,5.125,0.500,9.000,0.017,0.18,9.50,5.75,6.38,0.202,CHINA
89,8880,Airstop   ,12,1.3,0.12,0 5638908880 1,,2.500,1.250,4.875,0.010,0.11,7.50,6.50,4.13,0.116,USA
58,8901,Folding Saw   ,6,6.3,0.26,0 5638908901 3,,2.750,1.000,22.250,0.043,1.02,22.00,5.75,3.50,0.256,CANADA
62,8908,Safety Scissors  ,12,2.7,0.13,0 5638908908 2,,4.000,0.750,7.500,0.011,0.22,8.63,7.75,3.38,0.131,TAIWAN
91,8915,Toilet Seat Covers - 10 Pack,24,2.2,0.13,0 5638908915 0,,4.750,0.500,5.000,0.006,0.09,9.00,7.38,3.50,0.134,CHINA
35,8941,Mosquito Head Net  ,12,1.1,0.14,0 5638908941 9,,4.000,0.750,6.000,0.012,0.09,10.25,5.63,4.25,0.142,CHINA
60,8945,Sierra Saw Blade   ,6,0.7,0.02,0 5638908945 7,,2.875,0.125,12.750,0.003,0.11,13.13,3.13,0.88,0.021,KOREA
26,8950,Bota Bag 0.26 Gallon,12,4.2,0.60,0 5638908950 1,,7.000,1.375,12.000,0.050,0.34,13.63,8.13,9.38,0.601,SPAIN
21,8973,Extension Fork   ,12,3.1,0.07,0 5638908973 0,,1.375,0.250,21.250,0.006,0.25,22.38,3.00,1.75,0.068,CHINA
21,8975,Toaster Forks - 4 Pack ,12,4.4,0.16,0 5638908975 4,,2.375,0.375,21.375,0.013,0.36,21.63,2.88,4.38,0.157,CHINA
21,8977,Skewers - 4 Pack,12,4.1,0.11,0 5638908977 8,,3.875,0.500,14.375,0.009,0.33,14.88,4.38,3.00,0.113,TAIWAN
20,8981,Deluxe Broiler   ,6,9.4,0.77,0 5638908981 5,,13.500,0.500,18.625,0.127,1.53,18.88,5.00,14.00,0.765,TAIWAN
20,8982,Broiler   ,6,7.3,0.60,0 5638908982 2,,8.875,0.375,28.875,0.100,1.19,29.00,9.50,3.75,0.598,TAIWAN
20,9010,Camp Cooker  ,6,8.2,0.55,0 5638909010 1,,4.500,1.125,27.000,0.092,1.34,27.00,10.13,3.50,0.554,USA
74,9050,Poly Cord - Camo - 50',12,2.2,0.16,0 5638909050 7,,3.250,0.625,7.125,0.013,0.18,12.00,6.63,3.50,0.161,CHINA
59,9060,Camp Axe   ,4,7.1,0.14,0 5638909060 6,,5.875,0.750,13.250,0.034,1.74,13.75,6.25,2.75,0.137,TAIWAN
63,9065,Folding Shovel   ,4,9.6,0.32,0 5638909065 1,,5.875,2.000,9.625,0.079,2.35,10.00,8.75,6.25,0.316,TAIWAN
56,9075,Citronella Candle   ,12,4.3,0.15,0 5638909075 0,,3.500,1.250,6.000,0.013,0.35,8.63,7.63,4.00,0.152,CANADA
28,9155,Picnic Table Set  ,6,9.0,0.29,0 5638909155 9,,8.500,0.500,12.000,0.049,1.47,12.50,9.00,4.50,0.293,CHINA
24,9166,Stainless Steel Cutlery Set   ,12,2.1,0.05,0 5638909166 5,,2.000,0.500,8.000,0.004,0.17,6.00,5.25,2.63,0.048,TAIWAN
95,9173,Emergency Poncho,24,2.5,0.16,0 5638909173 3,,3.875,0.250,6.000,0.007,0.10,12.00,5.50,4.13,0.158,CHINA
95,9173BD,Emergency Poncho - Display   ,50,6.1,0.43,0 5638909173 3,,3.875,0.250,6.000,0.008,0.12,13.50,9.25,5.88,0.425,CHINA
91,9177,Toilet Tissue - 2 Pack,12,2.6,0.28,0 5638909177 1,,5.250,1.125,8.000,0.023,0.21,14.00,5.50,6.25,0.279,CHINA
91,9178,Toilet Tissue - Bulk   ,200,19.7,1.89,No UPC,,3.000,1.375,6.250,0.009,0.10,20.25,14.63,11.00,1.885,CHINA
21,9195,Camp Fork  ,12,6.7,0.32,0 5638909195 5,,4.500,0.625,40.500,0.027,0.55,41.25,4.88,2.75,0.320,TAIWAN
55,9200,Lightsticks - Bulk - Green   ,50,3.0,0.23,0 5638909200 6,,1.125,0.750,8.750,0.005,0.06,11.00,8.38,4.25,0.227,CHINA
55,9200BD,Lightsticks - Display - Green,50,3.2,0.23,0 5638909200 6,,1.125,0.750,8.750,0.005,0.06,11.00,8.38,4.25,0.227,CHINA
55,9202,Lightsticks - Green - 2 Pack ,12,2.0,0.22,0 5638909202 0,,4.750,0.750,12.875,0.019,0.16,13.38,5.13,5.63,0.223,CHINA
29,9211,Tablecloth Clamps - 4 Pack,12,1.7,0.13,0 5638909211 2,,3.875,0.875,8.875,0.011,0.14,11.25,4.13,5.00,0.134,CHINA
26,9223,Expandable Water Carrier - 2 Gallon   ,6,5.2,1.21,0 5638909223 5,,9.750,2.375,16.000,0.201,0.85,11.25,11.00,16.88,1.208,CHINA
"45, 56",9248,Survival Candle  ,12,6.8,0.29,0 5638909248 8,,4.250,1.500,5.500,0.024,0.55,10.63,9.88,4.75,0.288,CANADA
"45, 56",9249,Survival Candle - Bulk  ,12,5.8,0.18,0 5638909249 5,,4.000,1.375,4.000,0.015,0.47,8.50,8.38,4.25,0.175,CANADA
94,9266,Poncho - Clear   ,12,6.1,0.27,0 5638909266 2,,6.500,0.500,10.000,0.023,0.50,8.75,6.63,8.13,0.273,CHINA
94,9267,Poncho - Orange   ,12,6.5,0.29,0 5638909267 9,,6.250,0.500,10.375,0.024,0.53,9.00,6.75,8.13,0.286,CHINA
94,9268,Poncho - Yellow    ,12,6.2,0.28,0 5638909268 6,,6.500,0.500,10.000,0.023,0.51,9.00,6.63,8.13,0.280,CHINA
94,9269,Poncho -  Olive Drab   ,12,6.9,0.28,0 5638909269 3,,6.375,0.375,10.000,0.023,0.56,9.00,6.63,8.13,0.280,CHINA
66,9306,"6"" ABS Tent Pegs - 6 Pack",12,2.1,0.18,0 5638909306 5,,5.125,0.750,7.000,0.015,0.17,10.50,6.50,4.63,0.183,TAIWAN
66,9307,"6"" ABS Tent Pegs - Bulk  ",100,2.2,0.12,0 5638909307 2,,5.875,0.750,0.625,0.001,0.02,6.88,6.63,4.38,0.115,TAIWAN
66,9309,"9"" ABS Tent Pegs - 6 Pack",12,5.6,0.42,0 5638909309 6,,6.875,1.500,10.250,0.035,0.46,14.00,9.38,5.50,0.418,TAIWAN
66,9310,"9"" ABS Tent Pegs - Bulk  ",100,6.5,0.32,0 5638909310 2,,1.250,0.750,8.875,0.003,0.06,13.88,9.50,4.25,0.324,TAIWAN
66,9312,"12"" ABS Tent Pegs - 6 Pack",12,6.8,0.60,0 5638909312 6,,6.875,1.500,13.000,0.050,0.56,14.00,12.63,5.88,0.601,TAIWAN
66,9313,"12"" ABS Tent Pegs - Bulk  ",100,8.7,0.43,0 5638909313 3,,1.250,0.750,12.000,0.004,0.09,14.38,12.50,4.13,0.429,TAIWAN
30,9316,Disposable Gas Lighter  ,12,2.0,0.19,0 5638909316 4,,2.500,0.500,12.000,0.016,0.16,6.75,3.75,12.88,0.189,CHINA
30,9317,Disposable Lighters - 2 Pack,6,2.0,0.19,0 5638909317 1,,4.250,1.000,14.375,0.031,0.32,6.63,3.75,13.00,0.187,CHINA
22,9340,Tri-Pod Grill  ,4,22.9,1.32,0 5638909340 9,,17.625,1.375,17.625,0.330,5.60,18.63,6.63,18.50,1.321,TAIWAN
76,9356,Stretch Cord Asst. - 6 Pack,6,5.3,0.25,0 5638909356 0,,4.750,2.000,10.375,0.041,0.87,11.25,5.13,7.38,0.246,CHINA
35,9360,Deluxe Head Net  ,12,2.0,0.22,0 5638909360 7,,4.500,1.125,5.875,0.018,0.16,10.25,7.63,4.88,0.220,CHINA
22,9365,Corn Popper,6,10.3,1.32,0 5638909365 2,,12.250,3.500,7.875,0.220,1.68,21.75,12.50,8.38,1.318,CHINA
50,9420,Plastic Signal Whistle,12,0.9,0.13,0 5638909420 8,,4.000,1.125,6.625,0.011,0.07,7.13,7.25,4.25,0.127,TAIWAN
50,9425,Brass Whistle,12,1.3,0.12,0 5638909425 3,,4.000,1.000,6.625,0.010,0.10,7.00,6.50,4.38,0.115,TAIWAN
24,9450,Duracon Cutlery Set  ,12,2.0,0.26,0 5638909450 5,,3.875,0.125,10.000,0.021,0.16,11.75,8.63,4.38,0.257,CHINA
24,9451,Duracon Knife - Bulk   ,50,1.5,0.09,056389013100,,0.750,0.125,7.750,0.002,0.03,7.13,1.88,11.63,0.090,CHINA
24,9452,Duracon Fork - Bulk  ,50,1.5,0.09,056389013124,,1.000,0.125,7.375,0.002,0.03,7.13,1.88,11.63,0.090,CHINA
24,9453,Duracon Spoon - Bulk  ,50,1.5,0.09,056389013117,,1.375,0.125,6.875,0.002,0.03,7.13,1.88,11.63,0.090,CHINA
69,9460,Tent Peg Mallet,6,6.8,0.31,0 5638909460 4,,3.750,2.000,13.000,0.051,1.10,14.50,8.63,4.25,0.308,CHINA
40,9480,Survival Kit   ,6,6.8,0.47,0 5638909480 2,,7.625,2.375,11.625,0.078,1.10,14.25,11.13,5.13,0.470,USA
93,9485,Mini-Fan  ,12,2.0,0.17,0 5638909485 7,,4.000,1.125,7.875,0.014,0.16,9.88,7.50,3.88,0.166,CHINA
66,9496,"Polypropylene Tent Pegs 9"" - 6 Pack",12,4.9,0.32,0 5638909496 3,,6.875,1.500,9.750,0.026,0.40,9.50,8.25,7.00,0.317,CHINA
66,9497,"Polypropylene Tent Pegs 9"" - Bulk",100,6.2,0.47,0 5638909497 0,,1.250,0.625,8.875,0.005,0.06,13.75,9.75,6.00,0.465,CHINA
61,9505,Camp Knife - 5 Function,6,1.1,0.05,0 5638909505 2,,4.750,0.500,6.875,0.008,0.17,7.38,2.13,5.00,0.045,CHINA
61,9507,Camp Knife - 7 Function,6,1.4,0.05,0 5638909507 6,,4.750,0.625,6.875,0.009,0.22,7.38,2.50,5.00,0.053,CHINA
