Campaign Name,Day,Status,Nivel de la entrega,Campaign Name,Configuration,Campaign Type,Results,Reach,Impressions,Cost per Result,Total amount Spent (MXN),Begining of report,End of report
Messenger | Inquilino | Depas,2021-10-12,active,campaign,Messenger | Inquilino | Depas,7 days after clicking or 1 day after visualization,Started conversations,,3,3.00,,0.51,12/10,12/10
Lead generation | Propietarios | CDMX,2021-10-12,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,6,6840,8212.00,165.70,994.18,12/10,12/10
Experimento contenidos 6oct,2021-10-12,inactive,campaign,Experimento contenidos 6oct,7 days after clicking or 1 day after visualization,AD Recall,590,7560,7742.00,0.09,50.18,12/10,12/10
Traffic | Inquilino | Niños Heroes,2021-10-11,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,112,4155,4665.00,0.45,50.44,11/10,11/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-11,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,189,3290,3381.00,0.26,49.71,11/10,11/10
Traffic | Inquilino | Pte Morena,2021-10-11,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,228,3888,4168.00,0.42,96.12,11/10,11/10
Traffic | Inquilino | Olivar,2021-10-11,active,campaign,Traffic | Inquilino | Olivar,7 days after clicking or 1 day after visualization,Clicks on link,236,3071,3173.00,0.21,49.46,11/10,11/10
Traffic | Inquilino | Nonoalco,2021-10-11,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,158,1480,1651.00,0.32,50.32,11/10,11/10
Experimento contenidos 6oct,2021-10-11,inactive,campaign,Experimento contenidos 6oct,7 days after clicking or 1 day after visualization,AD Recall,540,8017,8313.00,0.09,50.17,11/10,11/10
Lead generation | Propietarios | CDMX,2021-10-11,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,8,7465,8691.00,124.91,999.24,11/10,11/10
Traffic | Inquilino | Santa Fe,2021-10-11,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,124,1257,1402.00,0.40,49.76,11/10,11/10
Traffic | Inquilino | Coyoacan,2021-10-11,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,260,5616,5716.00,0.38,99.21,11/10,11/10
Traffic | Inquilino | Santa Fe,2021-10-10,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,121,1086,1202.00,0.41,50.11,10/10,10/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-10,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,199,3215,3288.00,0.25,50.24,10/10,10/10
Traffic | Inquilino | Coyoacan,2021-10-10,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,196,4819,5007.00,0.44,86.86,10/10,10/10
Traffic | Inquilino | Olivar,2021-10-10,active,campaign,Traffic | Inquilino | Olivar,7 days after clicking or 1 day after visualization,Clicks on link,224,2962,3060.00,0.22,50.11,10/10,10/10
Traffic | Inquilino | Niños Heroes,2021-10-10,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,86,3606,4041.00,0.60,51.37,10/10,10/10
Traffic | Inquilino | Pte Morena,2021-10-10,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,235,2211,2400.00,0.35,82.96,10/10,10/10
Experimento contenidos 6oct,2021-10-10,inactive,campaign,Experimento contenidos 6oct,7 days after clicking or 1 day after visualization,AD Recall,480,7588,7841.00,0.11,50.48,10/10,10/10
Lead generation | Propietarios | CDMX,2021-10-10,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,12,6222,7211.00,83.39,1000.63,10/10,10/10
Traffic | Inquilino | Nonoalco,2021-10-10,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,151,1361,1550.00,0.33,50.55,10/10,10/10
Traffic | Inquilino | Nonoalco,2021-10-09,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,158,1354,1504.00,0.33,52.65,9/10,9/10
Traffic | Inquilino | Niños Heroes,2021-10-09,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,115,3552,3860.00,0.52,59.23,9/10,9/10
Traffic | Inquilino | Santa Fe,2021-10-09,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,122,1178,1280.00,0.47,57.54,9/10,9/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-09,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,235,3270,3349.00,0.25,58.4,9/10,9/10
Traffic | Inquilino | Coyoacan,2021-10-09,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,147,3238,3362.00,0.40,58.61,9/10,9/10
Lead generation | Propietarios | CDMX,2021-10-09,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,7,7725,8734.00,146.62,1026.36,9/10,9/10
Traffic | Inquilino | Pte Morena,2021-10-09,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,149,1496,1586.00,0.38,56.94,9/10,9/10
Traffic | Inquilino | Olivar,2021-10-09,active,campaign,Traffic | Inquilino | Olivar,7 days after clicking or 1 day after visualization,Clicks on link,240,3003,3142.00,0.21,51.24,9/10,9/10
Experimento contenidos 6oct,2021-10-09,inactive,campaign,Experimento contenidos 6oct,7 days after clicking or 1 day after visualization,AD Recall,510,7780,8089.00,0.11,55.23,9/10,9/10
Traffic | Inquilino | Coyoacan,2021-10-08,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,150,3219,3323.00,0.39,58.97,8/10,8/10
Lead generation | Propietarios | CDMX,2021-10-08,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,6,7035,8210.00,161.13,966.79,8/10,8/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-08,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,271,3302,3368.00,0.22,59.16,8/10,8/10
Traffic | Inquilino | Olivar,2021-10-08,active,campaign,Traffic | Inquilino | Olivar,7 days after clicking or 1 day after visualization,Clicks on link,303,3145,3300.00,0.17,52.79,8/10,8/10
Traffic | Inquilino | Pte Morena,2021-10-08,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,109,1590,1696.00,0.51,56.13,8/10,8/10
Experimento contenidos 6oct,2021-10-08,inactive,campaign,Experimento contenidos 6oct,7 days after clicking or 1 day after visualization,AD Recall,580,8848,9274.00,0.09,50.08,8/10,8/10
Traffic | Inquilino | Santa Fe,2021-10-08,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,117,1239,1334.00,0.49,56.87,8/10,8/10
Traffic | Inquilino | Nonoalco,2021-10-08,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,174,1499,1656.00,0.31,54.17,8/10,8/10
Traffic | Inquilino | Niños Heroes,2021-10-08,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,108,3425,3725.00,0.54,58.71,8/10,8/10
Traffic | Inquilino | Niños Heroes,2021-10-07,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,105,3525,3851.00,0.55,57.85,7/10,7/10
Traffic | Inquilino | Nonoalco,2021-10-07,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,184,1442,1563.00,0.30,54.71,7/10,7/10
Traffic | Inquilino | Santa Fe,2021-10-07,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,120,1350,1430.00,0.48,57.19,7/10,7/10
Traffic | Inquilino | Pte Morena,2021-10-07,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,155,1605,1667.00,0.37,56.74,7/10,7/10
Traffic | Inquilino | Coyoacan,2021-10-07,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,132,3158,3254.00,0.44,58.19,7/10,7/10
Experimento contenidos 6oct,2021-10-07,inactive,campaign,Experimento contenidos 6oct,7 days after clicking or 1 day after visualization,AD Recall,650,9940,10971.00,0.08,50.09,7/10,7/10
Lead generation | Propietarios | CDMX,2021-10-07,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,11,6388,7351.00,92.09,1013.04,7/10,7/10
Traffic | Inquilino | Olivar,2021-10-07,active,campaign,Traffic | Inquilino | Olivar,7 days after clicking or 1 day after visualization,Clicks on link,341,2833,2939.00,0.16,53.56,7/10,7/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-07,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,235,3443,3517.00,0.25,58.43,7/10,7/10
Experimento contenidos 6oct,2021-10-06,inactive,campaign,Experimento contenidos 6oct,7 days after clicking or 1 day after visualization,AD Recall,40,919,922.00,0.04,1.66,6/10,6/10
Lead generation | Propietarios | CDMX,2021-10-06,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,5,8409,9519.00,197.63,988.15,6/10,6/10
Traffic | Inquilino | Nonoalco,2021-10-06,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,108,1642,1773.00,0.33,35.2,6/10,6/10
Lead generation | Propietarios | CDMX,2021-10-05,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,5,9217,10434.00,203.53,1017.64,5/10,5/10
Traffic | Inquilino | Niños Heroes,2021-10-05,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,149,5629,6094.00,0.66,97.6,5/10,5/10
Traffic | Inquilino | Coyoacan,2021-10-05,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,209,5512,5768.00,0.48,101.07,5/10,5/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-05,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,374,5872,6080.00,0.27,102.28,5/10,5/10
Traffic | Inquilino | Nonoalco,2021-10-05,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,455,4277,4759.00,0.29,132.44,5/10,5/10
Traffic | Inquilino | Santa Fe,2021-10-05,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,256,2397,2544.00,0.41,106.11,5/10,5/10
Traffic | Inquilino | Pte Morena,2021-10-05,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,283,3264,3428.00,0.38,107,5/10,5/10
Traffic | Inquilino | Coyoacan,2021-10-04,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,461,10428,11155.00,0.42,194.49,4/10,4/10
Traffic | Inquilino | Nonoalco,2021-10-04,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,684,5672,6173.00,0.30,203.05,4/10,4/10
Traffic | Inquilino | Pte Morena,2021-10-04,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,556,5270,5486.00,0.36,200.12,4/10,4/10
Lead generation | Propietarios | CDMX,2021-10-04,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,6,9031,10155.00,160.96,965.75,4/10,4/10
Traffic | Inquilino | Niños Heroes,2021-10-04,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,306,10570,11396.00,0.63,193.35,4/10,4/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-04,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,781,11493,11769.00,0.25,194.25,4/10,4/10
Traffic | Inquilino | Santa Fe,2021-10-04,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,423,4113,4402.00,0.47,198.44,4/10,4/10
Traffic | Inquilino | Pte Morena,2021-10-03,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,608,5235,5830.00,0.33,200.9,3/10,3/10
Lead generation | Propietarios | CDMX,2021-10-03,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,10,8802,9788.00,102.23,1022.27,3/10,3/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-03,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,766,11934,12740.00,0.27,204.86,3/10,3/10
Traffic | Inquilino | Santa Fe,2021-10-03,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,476,4294,5152.00,0.42,200.66,3/10,3/10
Traffic | Inquilino | Coyoacan,2021-10-03,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,479,11481,12081.00,0.43,205.12,3/10,3/10
Traffic | Inquilino | Nonoalco,2021-10-03,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,803,5841,6860.00,0.25,201.81,3/10,3/10
Traffic | Inquilino | Niños Heroes,2021-10-03,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,302,10791,11987.00,0.67,202.73,3/10,3/10
Lead generation | Propietarios | CDMX,2021-10-02,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,11,8415,9349.00,90.20,992.21,2/10,2/10
Traffic | Inquilino | Pte Morena,2021-10-02,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,630,5788,6253.00,0.37,230.65,2/10,2/10
Traffic | Inquilino | Santa Fe,2021-10-02,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,532,4742,5522.00,0.43,230.3,2/10,2/10
Traffic | Inquilino | Coyoacan,2021-10-02,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,420,10895,11788.00,0.53,222.09,2/10,2/10
Traffic | Inquilino | Nonoalco,2021-10-02,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,821,6045,7187.00,0.28,226.47,2/10,2/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-02,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,750,12290,12718.00,0.30,228.58,2/10,2/10
Traffic | Inquilino | Niños Heroes,2021-10-02,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,284,10960,11984.00,0.78,220.93,2/10,2/10
Traffic | Inquilino | Niños Heroes,2021-10-01,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,308,11467,12511.00,0.76,232.59,1/10,1/10
Traffic | Inquilino | Pte Morena,2021-10-01,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,680,5919,6420.00,0.34,230.54,1/10,1/10
Traffic | Inquilino | Coyoacan,2021-10-01,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,451,11756,12145.00,0.52,232.71,1/10,1/10
Lead generation | Propietarios | CDMX,2021-10-01,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,9,8467,9237.00,106.88,961.93,1/10,1/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-01,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,776,12232,12841.00,0.30,234.21,1/10,1/10
Traffic | Inquilino | Santa Fe,2021-10-01,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,559,4788,5565.00,0.41,230.96,1/10,1/10
Traffic | Inquilino | Nonoalco,2021-10-01,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,874,6631,7592.00,0.26,229.85,1/10,1/10
Traffic | Inquilino | Coyoacan,2021-09-30,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,406,8789,9033.00,0.58,234.04,30/9,30/9
Traffic | Inquilino | Lomas de Chapultepec,2021-09-30,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,655,9195,9777.00,0.36,233.95,30/9,30/9
Traffic | Inquilino | Niños Heroes,2021-09-30,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,263,9216,10541.00,0.89,234.72,30/9,30/9
Traffic | Inquilino | Nonoalco,2021-09-30,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,654,4901,5638.00,0.35,231.88,30/9,30/9
Traffic | Inquilino | Pte Morena,2021-09-30,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,497,3679,4061.00,0.47,231.67,30/9,30/9
Lead generation | Propietarios | CDMX,2021-09-30,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,12,6651,7485.00,79.25,951.03,30/9,30/9
Traffic | Inquilino | Santa Fe,2021-09-30,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,338,3540,4220.00,0.68,231.48,30/9,30/9
Traffic | Inquilino | Pte Morena,2021-09-29,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,564,3781,4245.00,0.41,231.5,29/9,29/9
Traffic | Inquilino | Coyoacan,2021-09-29,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,405,9052,9312.00,0.58,234.96,29/9,29/9
Traffic | Inquilino | Nonoalco,2021-09-29,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,649,5014,5767.00,0.36,231.78,29/9,29/9
Traffic | Inquilino | Santa Fe,2021-09-29,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,649,5858,6334.00,0.35,228.84,29/9,29/9
Traffic | Inquilino | Lomas de Chapultepec,2021-09-29,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,653,9300,9785.00,0.36,232.88,29/9,29/9
Traffic | Inquilino | Niños Heroes,2021-09-29,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,250,9700,11058.00,0.93,233.71,29/9,29/9
Lead generation | Propietarios | CDMX,2021-09-29,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,13,6565,7487.00,75.65,983.43,29/9,29/9
Reconocimiento Propietarios,2021-09-28,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,300,2263,2291.00,0.08,22.71,28/9,28/9
Traffic | Inquilino | Niños Heroes,2021-09-28,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,290,10586,12113.00,0.80,231.8,28/9,28/9
