Sale Date,Item Name,Quantity,Price,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Order Shipping,Order Sales Tax,Item Total,Currency,Listing ID,Date Paid,Date Shipped,Ship City,Ship State,Ship Zipcode,Ship Country,Order ID,Variations,Order Type,Listings Type,Payment Type,InPerson Discount,InPerson Location,VAT Paid by Buyer,SKU
7/12/2021,Drexel University Hair Bow,1,5,,,0,0,3.12,0,5,USD,557474658,7/12/2021,7/15/2021,Romeoville,IL,60446-4313,United States,2111575928,,online,listing,online_cc,,,0,
7/3/2021,"Harry Potter Bow, Harry Potter Hair Clip, Gryffindor Hair Bow, Ravenclaw Hair Bow, Hufflepuff Hair Bow, Slytherin Hair Clip",1,5,,,0,0,3.03,0,5,USD,561917395,7/3/2021,7/6/2021,Gaston,NC,27832-9609,United States,2105695381,Style:Ravenclaw,online,listing,online_cc,,,0,
6/9/2021,Steelers hair bow for Pittsburgh fans,3,5,,,0,0,3.51,0,15,USD,570098530,6/9/2021,6/14/2021,Blue Ash,OH,45242,United States,2079545448,,online,listing,online_cc,,,0,
6/6/2021,"Villanova Hair Bow, Collegiate Bow, Tailgating Accessories, Cheerleading Bow, Hair Accessories, Philadelphia Sports, Villanova Basketball",1,5,,,0,0,3.01,0,5,USD,571274389,6/6/2021,6/6/2021,LUTHERVILLE TIMONIUM,MD,21093,United States,2076414818,,online,listing,online_cc,,,0,
5/20/2021,"Harry Potter Bow, Harry Potter Hair Clip, Gryffindor Hair Bow, Ravenclaw Hair Bow, Hufflepuff Hair Bow, Slytherin Hair Clip",1,5,,,0,0,7.88,0,5,USD,561917395,5/20/2021,5/24/2021,CARROLLTON,GA,30116,United States,2064869025,Style:Hufflepuff,online,listing,online_cc,,,0,
5/13/2021,"Harry Potter Bow, Harry Potter Hair Clip, Gryffindor Hair Bow, Ravenclaw Hair Bow, Hufflepuff Hair Bow, Slytherin Hair Clip",1,5,,,0,0,3.22,0,5,USD,561917395,5/13/2021,5/17/2021,Fort Worth,TX,76135,United States,2051670512,Style:Slytherin,online,listing,online_cc,,,0,
5/13/2021,"Harry Potter Bow, Harry Potter Hair Clip, Gryffindor Hair Bow, Ravenclaw Hair Bow, Hufflepuff Hair Bow, Slytherin Hair Clip",1,5,,,0,0,0,0,5,USD,561917395,5/13/2021,5/17/2021,Fort Worth,TX,76135,United States,2051670512,Style:Hufflepuff,online,listing,online_cc,,,0,
5/4/2021,"Unicorn Party Favors for Unicorn Birthday Party, Tumbler with Straw, Unicorn Tumbler, Unicorn Cups, Unicorn Mom, Easter Basket Gift",1,11,,,0,0,5.27,0,11,USD,595664248,5/4/2021,5/10/2021,DUBLIN,OH,43016,United States,2042017442,Style:Unicorn,online,listing,online_cc,,,0,
5/3/2021,"Villanova Hair Bow, Collegiate Bow, Tailgating Accessories, Cheerleading Bow, Hair Accessories, Philadelphia Sports, Villanova Basketball",1,5,,,0,0,3.01,0,5,USD,571274389,5/3/2021,5/3/2021,Chatham,NJ,7928,United States,2046695101,,online,listing,online_cc,,,0,
4/22/2021,"Temple University Hair Bow, Temple Tailgating, Temple Owls, Philadelphia Sports, Tailgating Hair Bows, Temple Hair Clip",1,5,,,0,0,3.01,0,5,USD,571274109,4/22/2021,4/28/2021,Chambersburg,PA,17201,United States,2034506363,Style:Temple logo,online,listing,online_cc,,,0,
4/9/2021,"Glitter Wine Glass for Unicorn Party Favors, Unicorn Gift, Unicorn Face, Custom Wine Glasses, Wine Lover Gift, Unicorn Cup, Unicorn Head",1,12,,,0,0,11.69,0,12,USD,611315547,4/9/2021,4/14/2021,FRESNO,CA,93727-4406,United States,2019473185,Style:Unicorn,online,listing,online_cc,,,0,
4/5/2021,"St Patrick's Day bow with Shamrocks, St. Patrick's Day Toddler Girl, St Patrick's Day kids gift, Boutique hair bow, St Patricks Hair Clips",1,5,,,0,0,3.12,0,5,USD,572861288,4/5/2021,4/7/2021,St. Louis,MO,63116-1405,United States,2008470918,Color:White,online,listing,online_cc,,,0,
4/3/2021,"Set of 4 Autism Awareness Button Pins, Autism Support Backpack Pins, Autism Mom, Autism Puzzle Piece, Autism Pride Button, Pinback buttons",1,3.5,,,0,0,3.22,0,3.5,USD,672521391,4/3/2021,4/7/2021,Arlington,TX,76012,United States,2013046965,,online,listing,online_cc,,,0,
4/3/2021,"Baltimore Orioles, Baseball Hair Bow, Baltimore Maryland, Orioles Baby, Orioles Baseball, Orioles Baby Girl, Orioles Fan Gift,",1,5,,,0,0,3.01,0,5,USD,583561803,4/3/2021,4/10/2021,BOWIE,MD,20715,United States,2012790033,,online,listing,online_cc,,,0,
4/1/2021,"Harry Potter Bow, Harry Potter Hair Clip, Gryffindor Hair Bow, Ravenclaw Hair Bow, Hufflepuff Hair Bow, Slytherin Hair Clip",2,5,,,0,0,3.06,0,10,USD,561917395,4/1/2021,4/7/2021,Carmel,IN,46033,United States,2010464371,Style:Slytherin,online,listing,online_cc,,,0,
3/29/2021,"St Patrick's Day bow with Shamrocks, St. Patrick's Day Toddler Girl, St Patrick's Day kids gift, Boutique hair bow, St Patricks Hair Clips",1,5,,,0,0,3.12,0,5,USD,572861288,3/29/2021,3/29/2021,Jacksonville,FL,32210,United States,2006910443,Color:Green,online,listing,online_cc,,,0,
3/28/2021,"Set of 4 Autism Awareness Button Pins, Autism Support Backpack Pins, Autism Mom, Autism Puzzle Piece, Autism Pride Button, Pinback buttons",1,3.5,,,0,0,3.06,0,3.5,USD,672521391,3/28/2021,3/29/2021,Charleston,SC,29407-2804,United States,2000433092,,online,listing,online_cc,,,0,
3/27/2021,"Witches Halloween Wine Glass, Glitter Wine Glass, Fall Wine Glass, Custom Wine Glasses, Wine Lover Gift",1,12,,,0,0,11.69,0,12,USD,849364706,3/27/2021,3/29/2021,Paso Robles,CA,93446,United States,1998438714,,online,listing,online_cc,,,0,
3/26/2021,"Witches Halloween Wine Glass, Glitter Wine Glass, Fall Wine Glass, Custom Wine Glasses, Wine Lover Gift",1,12,,,0,0,11.69,0,12,USD,849364706,3/26/2021,3/31/2021,gooding,ID,83330,United States,2003882369,,online,listing,online_cc,,,0,
3/19/2021,"Easter Hair Bow for Easter Egg Fillers, Easter Hairbows for Easter Basket Stuffers, Easter Hair Accessories, Easter Hair Clip",2,5,,,0,0,3.12,0,10,USD,677705902,3/19/2021,3/22/2021,SUMNER,IA,50674-9072,United States,1989482842,,online,listing,online_cc,,,0,
3/13/2021,"St Patrick's Day bow with Shamrocks, St. Patrick's Day Toddler Girl, St Patrick's Day kids gift, Boutique hair bow, St Patricks Hair Clips",1,5,,,0,0,3.12,0,5,USD,572861288,3/13/2021,3/15/2021,St. Louis,MO,63116-1405,United States,1982159374,Color:White,online,listing,online_cc,,,0,
3/1/2021,"St Patrick's Day bow with Shamrocks, St. Patrick's Day Toddler Girl, St Patrick's Day kids gift, Boutique hair bow, St Patricks Hair Clips",1,5,,,0,0,3.12,0,5,USD,572861288,3/1/2021,3/1/2021,Ocala,FL,34481-9767,United States,1975116501,Color:Green,online,listing,online_cc,,,0,
2/27/2021,"Harry Potter Bow, Harry Potter Hair Clip, Gryffindor Hair Bow, Ravenclaw Hair Bow, Hufflepuff Hair Bow, Slytherin Hair Clip",1,5,,,0,0,3.03,0,5,USD,561917395,2/27/2021,3/1/2021,Carnegie,PA,15106,United States,1966327356,Style:Ravenclaw,online,listing,online_cc,,,0,
2/18/2021,"Villanova Hair Bow, Collegiate Bow, Tailgating Accessories, Cheerleading Bow, Hair Accessories, Philadelphia Sports, Villanova Basketball",1,5,,,0,0,3.01,0,5,USD,571274389,2/18/2021,2/19/2021,Langhorne,PA,19047,United States,1957017026,,online,listing,online_cc,,,0,
2/16/2021,"Santa Cookie Plate and Milk Glass, Christmas Cookie Plate, Carrots for Reindeer Plate, Plate and Glass set, Santa Treats on Christmas Eve",1,18,,,0,0,8.58,0,18,USD,756966197,2/16/2021,2/18/2021,Venetia,PA,15367,United States,1954968070,,online,listing,online_cc,,,0,
2/14/2021,"Temple University Hair Bow, Temple Tailgating, Temple Owls, Philadelphia Sports, Tailgating Hair Bows, Temple Hair Clip",1,5,,,0,0,3.01,0,5,USD,571274109,2/14/2021,2/16/2021,Pottstown,PA,19464-1943,United States,1952998648,Style:Temple Owl,online,listing,online_cc,,,0,
2/7/2021,"Philadelphia Sports Teams Hair Bows, Philadelphia Flyers Bow, Philadelphia Eagles Bow, Philadelphia Phillies Bow, Philadelphia Sixers Bow",1,20,,,0,0,3.01,0,20,USD,676774474,2/7/2021,2/9/2021,WARMINSTER,PA,18974,United States,1951971845,,online,listing,online_cc,,,0,
2/7/2021,Drexel University Hair Bow,1,5,,,0,0,0,0,5,USD,557474658,2/7/2021,2/9/2021,WARMINSTER,PA,18974,United States,1951971845,,online,listing,online_cc,,,0,
1/29/2021,"Harry Potter Bow, Harry Potter Hair Clip, Gryffindor Hair Bow, Ravenclaw Hair Bow, Hufflepuff Hair Bow, Slytherin Hair Clip",1,5,,,0,0,3.12,0,5,USD,561917395,1/29/2021,2/1/2021,Kennesaw,GA,30144,United States,1940461601,Style:Hufflepuff,online,listing,online_cc,,,0,
1/28/2021,"Kansas City Chiefs, Chiefs Superbowl, Kansas City Chiefs Bows, Kansas City Hair Bows, Kansas City Sports, Chiefs Football, KC Chiefs",2,5,,,0,0,3.35,0,10,USD,583772029,1/28/2021,1/28/2021,Castle Rock,CO,80109,United States,1939340285,,online,listing,online_cc,,,0,
1/3/2021,"College Student Gift, College Graduation Gift, College Graduation Gift for Her, Drexel University, Drexel Dragon, Drexel Hair Bow",1,5,,,0,0,2.78,0,5,USD,583829077,1/3/2021,1/5/2021,detroit,MI,48235-3405,United States,1911765887,,online,listing,online_cc,,,0,
1/2/2021,Baby it's cold outside porch sign holiday decor,1,15,,,0,0,8.76,0,15,USD,557468198,1/2/2021,1/12/2021,Big Lake,MN,55309-4561,United States,1902283128,,online,listing,online_cc,,,0,
