Item Id,Sold Date,Canceled Date,Completed Date,Item Title,Order Status,Shipped to State,Shipped from State,Item Price,Buyer Shipping Fee,Gross Payments,Seller Shipping Fee,Mercari Selling Fee,Payment Processing Fee,Shipping Adjustment Fee,Seller Sales Profit,Sales Tax Charged to Buyer,,West coast
m25811433046,3/13/2021,,3/19/2021,HTF We Bare Bears Limited Edition Lotion,Completed,California,Minnesota,9,3.49,12.49,0,0.9,0.56,0,7.54,0.86,,x
m11981189074,3/14/2021,,3/20/2021,VS Pink Sherpa Pullover Army Green Small,Completed,California,Minnesota,15,3.49,18.49,0,1.5,0.74,0,12.76,1.35,,x
m66806149201,3/12/2021,,3/21/2021,Starbucks Venti Honeycomb Studded Cup,Completed,California,Minnesota,54,0,54,5.99,5.4,1.87,0,40.74,3.92,,x
m31594727214,3/13/2021,,3/21/2021,New Smartwool Gray Sports Tee- XS,Completed,California,Minnesota,28,0,28,3.65,2.8,1.11,0,20.44,2.31,,x
m87938705853,3/20/2021,,3/26/2021,VINTAGE USA OLYMPICS FLEECE SWEATSHIRT,Completed,California,Minnesota,20,3.49,23.49,0,2,0.88,0,17.12,1.9,,x
m77463584312,3/17/2021,,3/28/2021,Faux Fur Sandals Ugg Fluff Yeah,Completed,California,Minnesota,11,0,11,3.65,1.1,0.62,0,5.63,0.91,,x
m32779768613,3/24/2021,,3/30/2021,Calvin Klein NWT Bra Set 36C,Completed,California,Minnesota,24,0,24,3.65,2.4,1,0,16.95,1.86,,x
m20947748293,3/21/2021,,4/1/2021,Pink Sherpa Pullover Small,Completed,California,Minnesota,9,0,9,3.65,0.9,0.56,0,3.89,0.86,,x
m56983878160,3/23/2021,,4/1/2021,The North Face Leggings Medium,Completed,California,Minnesota,15,0,15,3.65,1.5,0.74,0,9.11,1.16,,x
m63908854458,3/28/2021,,4/3/2021,NWT Warm Cotton Utility Jacket Old Navy,Completed,California,Minnesota,22,3.49,25.49,0,2.2,0.94,0,18.86,1.82,,x
m64403406069,3/26/2021,,4/3/2021,W7 Baby Blue Freesail Crocs like new,Completed,California,Minnesota,30,0,30,4.8,3,1.17,0,21.03,2.48,,x
m36046457522,3/28/2021,,4/5/2021,Black Adidas Joggers Womens Small,Completed,California,Minnesota,22,0,22,3.65,2.2,0.94,0,15.21,2.09,,x
m59173709460,4/1/2021,,4/8/2021,New Levi's Hoodie Size Large,Completed,California,Minnesota,12,3.65,15.65,0,1.2,0.65,0,10.15,1.14,,x
m75597076830,4/13/2021,,4/19/2021,NEW Sneaker Slippers Happy Feet Pink XL,Completed,California,Minnesota,24,0,24,4.99,2.4,1,0,15.61,2.46,,x
m85992509636,4/22/2021,,4/28/2021,Two Starbucks Striped Grande Tumblers,Completed,California,Minnesota,30,5.99,35.99,0,3,1.17,0,25.83,2.33,,x
m80471117177,4/23/2021,,4/30/2021,NWT Havianas Flip Flops Gray Alpargatas,Completed,California,Minnesota,23,0,23,3.65,2.3,0.97,0,16.08,2.13,,x
m40318856962,5/7/2021,,,Black Pink Sweatshirt XS Victoria Secret,In process,California,Minnesota,16,0,16,3.65,1.6,0.76,0,9.99,1.52,,x
m65537120222,5/10/2021,,,Black Classic Crogs Clogs M10 W12,In process,California,Minnesota,26,0,26,5.99,2.6,1.05,0,16.36,1.89,,x
m88356752788,5/12/2021,,,Crocs Boat Shoes Slip Ons M7 W9,In process,California,Minnesota,21,0,21,5.99,2.1,0.91,0,12,1.63,,x
m80590356012,5/10/2021,,5/14/2021,Starbucks Hawaii Tumbler 2016 Floral,Completed,California,Minnesota,55,5.99,60.99,0,5.5,1.9,0,47.6,4.81,,x
m94321800445,5/7/2021,,5/14/2021,Starbucks Pink Lid and Mint Straw,Completed,California,Minnesota,25,0,25,3.65,2.5,1.03,0,17.82,1.97,,x
m41409384877,6/12/2021,,6/17/2021,Otterbox iPhone 7 Plus Clear Case New,Completed,California,Minnesota,13,0,3.65,1.3,0.68,0,7.37,1.01,0,,x
m60897661970,6/15/2021,,6/22/2021,Navy Blue Classic Crocs Clogs W7 M5 S,Completed,California,Minnesota,24,0,4.8,2.4,1,0,15.8,2.28,0,,x
m42800517719,6/17/2021,,6/22/2021,Apple Earpods Earbuds Lightning Connect,Completed,California,Minnesota,10,3.65,0,1,0.59,0,8.41,0.83,0,,x
m98317573264,6/18/2021,,6/24/2021,M12 Avia Enduropro Athletic Running Shoe,Completed,California,Minnesota,17,0,4.8,1.7,0.79,0,9.71,1.32,0,,x
m82822541135,6/18/2021,,6/25/2021,Rae Dunn Beach Bum Ceramic Platter HTF,Completed,California,Minnesota,29,11.5,0,2.9,1.14,0,24.96,2.25,0,,x
m25820601489,6/22/2021,,6/26/2021,Starbucks x Ban.Do Plaid Venti Tumbler,Completed,California,Minnesota,25,5.99,0,2.5,1.03,0,21.47,2.19,0,,x
m42141822115,6/22/2021,,6/28/2021,Starbucks Blue SS Venti Monstera Tumbler,Completed,California,Minnesota,28,4.8,0,2.8,1.11,0,24.09,2.17,0,,x
m57232780228,6/24/2021,,6/29/2021,Sea to Summit X Bowl Silicone Folding,Completed,California,Minnesota,15,0,3.65,1.5,0.74,1.15,7.96,1.35,0,,x
m78357614220,6/22/2021,,6/29/2021,Starbucks Pink Glass Tumbler Bundle NEW,Completed,California,Minnesota,65,7.99,0,6.5,2.19,0,56.31,5.69,0,,x
m30549962071,6/23/2021,,6/30/2021,Starbucks Blue SS Venti Monstera Tumbler,Completed,California,Minnesota,35,0,4.8,3.5,1.32,0,25.38,2.71,0,,x
m98377377556,6/29/2021,,7/7/2021,Starbucks Glass Tumbler Bundle NEW pink,Completed,California,Minnesota,65,7.99,0,6.5,2.19,0,56.31,5.04,0,,x
m80993204541,6/30/2021,,7/9/2021,Starbuck Pink Frosted Glass Water Bottle,Completed,California,Minnesota,30,5.99,0,3,1.17,0,25.83,3.08,0,,x
m31504403828,7/3/2021,,7/10/2021,Starbucks SS Wood Handle Travel Tumbler,Completed,California,Minnesota,15,4.8,0,1.5,0.74,0,12.76,1.43,0,,x
m93810571145,7/6/2021,,7/11/2021,Starbucks Drink Recipe Cards SEALED,Completed,California,Minnesota,33,0,3.65,3.3,1.26,0,24.79,3.38,0,,x
m84884877621,7/3/2021,,7/12/2021,NEW Starbucks Purple SS Travel Tumbler,Completed,California,Minnesota,17,0,4.8,1.7,0.79,0,9.71,1.62,0,,x
m32127145620,7/12/2021,,7/17/2021,Starbucks SS Jungle Print Venti Tumbler,Completed,California,Minnesota,30,5.99,0,3,1.17,0,25.83,2.63,0,,x
m34686468222,7/14/2021,,7/19/2021,Starbucks Gold Logo Letter Tumbler 2015,Completed,California,Minnesota,16,5.99,0,1.6,0.76,0,13.64,1.64,0,,x
m88689434668,7/9/2021,,7/19/2021,Vintage Oversized T Shirt Bundle Y2K,Completed,California,Minnesota,30,0,5.99,3,1.17,0,19.84,2.33,0,,x
m44926509361,7/16/2021,,7/24/2021,Converse Shoreline Slip Ons Navy Blue W8,Completed,California,Minnesota,18,0,7.99,1.8,0.82,0,7.39,1.67,0,,x
m85349888495,7/18/2021,,7/25/2021,Starbucks Pink Pleated Grande Tumbler,Completed,California,Minnesota,17,5.99,0,1.7,0.79,0,14.51,1.49,0,,x
m13899652760,7/26/2021,,8/3/2021,Set of 3 Starbucks Venti HTF Tumblers,Completed,California,Minnesota,40,7.99,0,4,1.46,0,34.54,4.1,0,,x
m20958323554,7/27/2021,,8/4/2021,Ferrari Scuderia GTO Official T-Shirt 2X,Completed,California,Minnesota,30,0,3.65,3,1.17,0,22.18,2.33,0,,x
m90191910574,7/29/2021,,8/4/2021,Reserved Bundle For Ari,Completed,California,Minnesota,115,7.99,0,11.5,3.64,0,99.86,11.79,0,,x
m34690096665,8/1/2021,,8/8/2021,Womens Large T Shirt Short Sleeve Tops,Completed,California,Minnesota,18,0,3.65,1.8,0.82,0,11.73,1.4,0,,x
m63752699269,7/31/2021,,8/8/2021,Starbucks Korea Sailboat Grande Tumbler,Completed,California,Minnesota,40,4.8,0,4,1.46,0,34.54,3.5,0,,x
m95903014359,8/5/2021,,8/13/2021,Starbucks Spray Paint Venti Tumbler Rare,Completed,California,Minnesota,30,4.8,0,3,1.17,1.19,24.64,2.33,0,,x
m66264180696,8/10/2021,,8/14/2021,Amsterdam Holland Crewneck Sweatshirt MD,Completed,California,Minnesota,18,0,3.65,1.8,0.82,0,11.73,1.85,0,,x
m22387778546,8/4/2021,,8/15/2021,VANS Slip Ons Knit Suede Cali 2014 W8,Completed,California,Minnesota,17,0,4.8,1.7,0.79,0,9.71,1.49,0,,x
m29747512194,8/11/2021,,8/19/2021,Vintage Girl Scouts Tin Lunchbox contain,Completed,California,Minnesota,14,5.99,0,1.4,0.71,0,11.89,1.38,0,,x
m91520360981,8/15/2021,,8/20/2021,Converse Street Mid Brown Leather Shoes,Completed,California,Minnesota,50,7.99,0,5,1.75,0,43.25,3.63,0,,x
m93109565153,8/22/2021,,8/27/2021,Nike Kyrie Irving Flytrap Basketball 7Y,Completed,California,Minnesota,18,5.99,0,1.8,0.82,0,15.38,1.85,0,,x
m50607595139,8/22/2021,,8/30/2021,CHIP Starbucks Dark Blue Replacement Lid,Completed,California,Minnesota,9,3.65,0,0.9,0.56,0,7.54,0.84,0,,x
m10241679685,8/25/2021,,9/2/2021,Starbucks Vera Bradley Grande Tumbler,Completed,California,Minnesota,48,7.99,0,4.8,1.69,0,41.51,3.72,0,,x
m38509869575,8/24/2021,,9/4/2021,NWT Starbucks Elsa Blue Glitter Tumbler,Completed,California,Minnesota,24,5.99,0,2.4,1,0,20.6,1.98,0,,x
m53308344809,8/30/2021,,9/7/2021,CRACKED NWT Starbucks Polka Dot Tumbler,Completed,California,Minnesota,9,5.99,0,0.9,0.56,0,7.54,0.92,0,,x
m77090600239,9/4/2021,,9/10/2021,Rothys Gray Slip Ons Flats W6 Round Toe,Completed,California,Minnesota,55,0,4.8,5.5,1.9,0,42.8,4.26,0,,x
m86466291020,9/10/2021,,9/20/2021,Starbucks Brand Clear Replacement Lid,Completed,California,Minnesota,9,3.65,0,0.9,0.56,0,7.54,0.77,0,,x
m21357315400,9/6/2021,,9/21/2021,Vintage Disneyland Resort Black Jacket S,Completed,California,Minnesota,40,0,4.8,4,1.46,0,29.74,3.8,0,,x
m43948122633,9/11/2021,,9/24/2021,"Hello Kitty Pink Leopard Print Onesie Outfit Sanrio 2009 6"" Plush",Completed,California,Minnesota,18,3.65,0,1.8,0.82,0,15.38,1.4,0,,x
m15560176816,10/3/2021,,10/13/2021,HTF Starbucks Bridal Lace White Ceramic,Completed,California,Minnesota,35,7.99,0,3.5,1.32,0,30.18,2.71,0,,x
m23602271022,10/8/2021,,10/25/2021,NWT Restoration Hardware 5 lb Scale Vintage Retro Style Farmhouse Weigh,Completed,California,Minnesota,31,9.99,0,3.1,1.2,0,26.7,2.87,0,,x
m12761478355,10/10/2021,,10/25/2021,*RESERVED* Clear Pyrex 1 qt Dish,Completed,California,Minnesota,10,0,0,1,0.59,0,8.41,0.93,0,,x
m80336371747,10/24/2021,,10/30/2021,VS PINK Yoga Leggings Black Gray High Waisted Small Capri,Completed,California,Minnesota,16,0,3.65,1.6,0.76,0,9.99,1.24,0,,x
m26709646772,11/2/2021,,11/12/2021,LA Dodgers Knit Beanie Gray Blue Hat Los Angeles Baseball MLB Jersey,Completed,California,Minnesota,21,0,3.65,2.1,0.91,0,14.34,2.07,2,,x
m66063721154,11/6/2021,,11/16/2021,Columbia 3XL Mens Long Sleeve Sun Protection Fishing Shirt Omni Shade Green,Completed,California,Minnesota,24,0,3.65,2.4,1,0,16.95,2.01,0,,x
m93158588161,2/7/2021,,2/17/2021,Fleece Lined Sweatpants Green Tea,Completed,Oregon,Minnesota,13,0,13,3.49,1.3,0.68,0,7.53,0,,x
m95834544010,3/1/2021,,3/9/2021,FILA Sport White Womens hat,Completed,Oregon,Minnesota,10,0,10,3.49,1,0.59,0,4.92,0,,x
m36033660607,3/17/2021,,3/23/2021,"NWT Maroon Puffer Vest - Gap, Small",Completed,Oregon,Minnesota,20,3.49,23.49,0,2,0.88,0,17.12,0,,x
m84828683581,3/24/2021,,4/1/2021,Fleece Peanuts Snoopy Blanket,Completed,Oregon,Minnesota,19,4.99,23.99,0,1.9,0.85,0,16.25,0,,x
m80077985048,4/6/2021,,4/13/2021,IBEX Leggings Womens Large Like New,Completed,Oregon,Minnesota,35,0,35,3.65,3.5,1.32,0,26.53,0,,x
m46426114796,4/17/2021,,4/25/2021,BNWT Starbucks Oil Slick Glass 16 oz,Completed,Oregon,Minnesota,30,0,30,7.99,3,1.17,0,17.84,0,,x
m48418035563,4/24/2021,,5/1/2021,Puff Sleeve Black T Shirt NWT XL,Completed,Oregon,Minnesota,16,0,16,3.65,1.6,0.76,0,9.99,0,,x
m68798696378,5/10/2021,,,USA Hockey Oversized Hoodie XL,In process,Oregon,Minnesota,23,0,23,4.8,2.3,0.97,0,14.93,0,,x
m18481444905,10/4/2021,,10/9/2021,Black Floral Low Heels W8.5 Soft Style,Completed,Oregon,Minnesota,15,0,4.8,1.5,0.74,0,7.96,0,0,,x
m32540601606,10/22/2021,,11/9/2021,NEW Libbey Glass Cupcake Liner Dish Set with Lids 24 pieces,Completed,Oregon,Minnesota,30,7.99,0,3,1.17,0,25.83,0,0,,x
m51878519339,11/7/2021,,,Tiny Baby White Rat Mouse Plush Stuffed,In process,Oregon,Minnesota,6,0,3.65,0.6,0.47,0,1.28,0,0,,x
m25430299420,11/25/2021,,12/7/2021,Vintage 1964 Easy Bake Oven Kenner YELLOW #1600 w Original Box Mix Pans WORKING,Completed,Oregon,Minnesota,130,20,0,13,4.07,0,112.93,0,0,,x
m29554751079,2/3/2021,,2/9/2021,Nike Air Max Premiere Basketball HighTop,Completed,Washington,Minnesota,30,0,30,4.99,3,1.17,0,20.84,3.06,,x
m56182646188,2/4/2021,,2/11/2021,Hi Top Converse Black White Dragon Scale,Completed,Washington,Minnesota,19,3.49,22.49,0,1.9,0.85,0,16.25,2.27,,x
m41723328244,2/28/2021,,3/6/2021,Blue Floral Starbucks Tumbler Steel,Completed,Washington,Minnesota,18,3.49,21.49,0,1.8,0.82,0,15.38,1.91,,x
m41141818758,3/1/2021,,3/7/2021,NEW Eddie Bauer Pajama Set Small,Completed,Washington,Minnesota,25,3.49,28.49,0,2.5,1.03,0,21.47,2.42,,x
m61290179492,3/9/2021,,3/19/2021,Starbucks Venti Honeycomb Studded Cup,Completed,Washington,Minnesota,50,0,50,7.99,5,1.75,0,35.26,4.65,,x
m84294543709,3/11/2021,,3/26/2021,RESERVED,Completed,Washington,Minnesota,60,0,60,7.99,6,2.04,0,43.97,5.1,,x
m42157108511,3/19/2021,,3/29/2021,Kiss Rose Gold,Completed,Washington,Minnesota,5,3.65,8.65,0,0.5,0.45,0,4.05,0.87,,x
m64679304538,3/26/2021,,3/31/2021,VS Pink Gray Capri Leggings Medium,Completed,Washington,Minnesota,23,0,23,3.65,2.3,0.97,0,16.08,2,,x
m56748383472,3/23/2021,,4/2/2021,Adidas Black Matte High Waisted Leggings,Completed,Washington,Minnesota,17,3.49,20.49,0,1.7,0.79,0,14.51,1.84,,x
m79443202870,4/5/2021,,4/9/2021,NWT Starbucks Copper Camping Mug SS,Completed,Washington,Minnesota,16,4.8,20.8,0,1.6,0.76,0,13.64,1.81,,x
m63356651213,4/14/2021,,4/21/2021,Calvin Klein Performance Tie Dye T Shirt,Completed,Washington,Minnesota,11,3.65,14.65,0,1.1,0.62,0,9.28,1.26,,x
m97552427564,4/21/2021,,4/27/2021,Starbucks 2016 Tie Dye Grande Tumbler,Completed,Washington,Minnesota,35,5.99,40.99,0,3.5,1.32,0,30.18,4.2,,x
m87719800155,6/23/2021,,7/1/2021,Starbucks Striped Pink Grande Tumbler,Completed,Washington,Minnesota,20,4.8,0,2,0.88,0,17.12,2.58,0,,x
m98440511041,7/12/2021,,7/19/2021,HTF Starbucks Japan Blue Leopard Tumbler,Completed,Washington,Minnesota,42,0,4.8,4.2,1.52,0,31.48,3.78,0,,x
m31014774073,7/26/2021,,7/30/2021,Steve Madden Silver Anklet Bracelet Set,Completed,Washington,Minnesota,11,0,3.65,1.1,0.62,0,5.63,0.88,0,,x
m91327993964,8/18/2021,,8/24/2021,Gray Slip On Vans Skate Shoes Womens 9,Completed,Washington,Minnesota,20,5.99,0,2,0.88,6.01,11.11,2.24,0,,x
m30829088670,9/12/2021,,9/21/2021,Patagonia Uprisal Hoodie Gray Bear Small,Completed,Washington,Minnesota,33,0,4.8,3.3,1.26,0,23.64,2.57,0,,x
m98866068865,10/17/2021,,10/27/2021,Women's Small Luxury T-Shirt Bundle Athletic Tees Loungewear,Completed,Washington,Minnesota,30,7.99,0,3,1.17,0,25.83,3.8,0,,x
m57800554431,10/26/2021,,10/29/2021,EUC Starbucks Red Ombre Pleated SS Venti Tumbler 2020,Completed,Washington,Minnesota,28,12,0,2.8,1.11,0,24.09,4.12,2,,x
m79220436376,10/26/2021,,10/31/2021,Brooks Womens Ghost 9 Running Shoe size 10 Black Purple Blue,Completed,Washington,Minnesota,35,5.99,0,3.5,1.32,0,30.18,4.14,0,,x
m42198427785,11/17/2021,,11/23/2021,Vintage Winnie The Pooh Cross Stitch Framed Art Nursery Disney Dimensions,Completed,Washington,Minnesota,10,4.8,0,1,0.59,0,8.41,1.32,0,,x
m23842236172,11/29/2021,,12/5/2021,Starbucks Black Matte Replacement Lid for Venti Grande Tumbler,Completed,Washington,Minnesota,15,3.65,0,1.5,0.74,0,12.76,1.51,0,,x
m34135416796,2/8/2021,,2/13/2021,RESERVED BUNDLE,Completed,Alabama,Minnesota,22,3.49,25.49,0,2.2,0.94,0,18.86,1.76,,
m92142628985,3/17/2021,,3/24/2021,New Running Shorts All In Motion Medium,Completed,Alabama,Minnesota,22,0,22,3.65,2.2,0.94,0,15.21,1.76,,
m88960595080,3/17/2021,,3/24/2021,Sensationail Gel Nail Polish Bundle,Completed,Alabama,Minnesota,14,3.65,17.65,0,1.4,0.71,0,11.89,1.12,,
m89646790059,7/25/2021,,7/31/2021,Vans Old Skool Gray W8.5 Skate Shoes,Completed,Alabama,Minnesota,22,0,4.8,2.2,0.94,0,14.06,1.76,0,,
m61312186607,8/26/2021,,9/5/2021,Mens Carhartt Force Gray T Shirt Medium,Completed,Alabama,Minnesota,17,3.65,0,1.7,0.79,0,14.51,1.36,0,,
m41110118215,8/26/2021,,9/7/2021,Vintage Pyrex Butterfly Gold 444 Bowl,Completed,Alabama,Minnesota,16,7.99,0,1.6,0.76,0,13.64,1.28,0,,
m85879393356,10/9/2021,,10/14/2021,The North Face Mint Green Soft Hoodie LG,Completed,Alabama,Minnesota,23,0,3.65,2.3,0.97,0,16.08,1.84,0,,
m42041646778,2/16/2021,,2/21/2021,Korean Face Mask Bundle japan asia,Completed,Alaska,Minnesota,17,0,17,3.49,1.7,0.79,0,11.02,0,,
m37200576391,4/21/2021,,4/27/2021,Aerie Faux Fur Lined Oversized Hoodie,Completed,Alaska,Minnesota,18,3.49,21.49,0,1.8,0.82,0,15.38,0,,
m41825722012,1/30/2021,,2/5/2021,Stainless steel starbucks tumbler,Completed,Arizona,Minnesota,12,3.49,15.49,0,1.2,0.65,0,10.15,1.03,,
m95124638102,2/19/2021,,2/26/2021,Park City Utah Hoodie Womens Medium,Completed,Arizona,Minnesota,12,3.49,15.49,0,1.2,0.65,0,10.15,1.04,,
m41451512464,3/3/2021,,3/9/2021,Starbucks Honeycomb + Korea Bundle,Completed,Arizona,Minnesota,49,0,49,5.99,4.9,1.72,0,36.39,4.21,,
m16170481131,3/6/2021,,3/16/2021,XL Athleta Black Leggings,Completed,Arizona,Minnesota,19,3.49,22.49,0,1.9,0.85,0,16.25,1.2,,
m99880313974,3/25/2021,,4/1/2021,REI Black Capri Leggings Womens Medium,Completed,Arizona,Minnesota,16,0,16,3.65,1.6,0.76,0,9.99,1.25,,
m17806499012,4/5/2021,,4/13/2021,Columbia Womens Shorts Small,Completed,Arizona,Minnesota,8,3.65,11.65,0,0.8,0.53,0,6.67,0.7,,
m72663717431,4/28/2021,,5/6/2021,Sherpa Green Bay Packers Hoodie - Medium,Completed,Arizona,Minnesota,15,0,15,3.49,1.5,0.74,0,9.27,1.22,,
m82519358792,5/13/2021,,,Starbucks Red Embossed Heart Tumbler,In process,Arizona,Minnesota,160,7.99,167.99,0,16,4.94,0,139.06,15.76,,
m29219730887,6/14/2021,,6/24/2021,W7 Teal Blue Jelly Crocs Slip Ons Flats,Completed,Arizona,Minnesota,15,0,3.65,1.5,0.74,0,9.11,1.29,0,,
m39630301240,6/21/2021,,6/27/2021,Starbucks Rainbow Cactus Travel Tumbler,Completed,Arizona,Minnesota,30,4.8,0,3,1.17,0,25.83,2.96,0,,
m38085031180,6/21/2021,,6/28/2021,Starbucks Rainbow Cactus SS Tumbler NWT,Completed,Arizona,Minnesota,35,4.8,0,3.5,1.32,0,30.18,3.45,0,,
m65656982374,8/1/2021,,8/9/2021,NWT Starbucks Universal Studios Tumbler,Completed,Arizona,Minnesota,24,4.8,0,2.4,1,0,20.6,2.23,0,,
m50416573989,8/14/2021,,8/25/2021,Starbucks Grande Heart Tumbler 2018,Completed,Arizona,Minnesota,18,4.8,0,1.8,0.82,0,15.38,1.55,0,,
m50890977850,9/25/2021,,10/2/2021,Bath and Body Works Dinosaur Foaming Hand Soap Pump Dispenser,Completed,Arizona,Minnesota,30,12,0,3,1.17,0,25.83,2.76,0,,
m81888364716,1/22/2021,,1/26/2021,True Grit Sherpa Quarter Zip Large,Completed,Arkansas,Minnesota,18,4.6,22.6,0,1.8,0.82,0,15.38,2.15,,
