Material,Texto breve de material,UMB,Precio,por,Moneda,Valor UNI
10000165,ACEITUNA CONSER NEGRAS FCO 3KGS D AMICO,UN,"13,491",1,CLP," $  13,491 "
10000170,AGUA AZAHAR CRAMER BT 1 KG,BOT,"2,520",1,CLP," $  2,520 "
10000174,ACEITE DE TARTUFO BOSCO DORO FCO 250 CC,UN,"14,200",1,CLP," $  14,200 "
10000177,"ALCACH CONS TROZOS FCO 2,9KGS D AMICO",UN,"18,741",1,CLP," $  18,741 "
10000178,ALCACHOFAS FONDOS FCO 900 GR,UN,"363,900",100,CLP," $  3,639 "
10000179,ALCACHOFAS CORAZON FCO 1 KG,UN,"2,113",1,CLP," $  2,113 "
10000183,ALCACHOFAS FONDOS FCO 819 GR,UN,"281,000",100,CLP," $  2,810 "
10000186,ALCACHOFAS CONSER FDOS HORTELANA FCO 1KG,UN,"2,629",1,CLP," $  2,629 "
10000192,ALCAPARRA FINA CONSERVA KG,UN,"3,720",1,CLP," $  3,720 "
10000197,ALGAS COCHAYUYO 80 GR,BOL,"5,053",1,CLP," $  5,053 "
10000198,ALGAS COCHAYUGO PAQUETE 350 GR,UN,"164,350",100,CLP," $  1,644 "
10000200,ALGAS NORI PAQUETE 10 HOJAS,UN,"1,045",1,CLP," $  1,045 "
10000206,ALMENDRA FILETEADA KG,KG,"10,751",1,CLP," $  10,751 "
10000210,ANCHOAS FCO 140 GR,UN,"2,680",1,CLP," $  2,680 "
10000212,ANCHOA CONSER TR 160 GR CANTABRICO,UN,"2,999",1,CLP," $  2,999 "
10000219,ARROZ ARBORIO RISOTTO SCOTTI RISO PQ KG,UN,"2,165",1,CLP," $  2,165 "
10000220,ARROZ ARBORIO KG,KG,"249,996",100,CLP," $  2,500 "
10000229,ARROZ TUCAPEL ESPECIAL CJ 1 KG,CJ,840,1,CLP, $  840 
10000230,ARROZ GRANO CORTO EXTRA CLASICO KG,KG,831,1,CLP, $  831 
10000232,ARROZ GRANO LARGO GRADO 1 KG,KG,"94,667",100,CLP, $  947 
10000239,ARROZ INFLADO NATUR 100 GR,BOL,587,1,CLP, $  587 
10000242,ARROZ JAPONES SHIRAKIKU 9.07 KG,BOL,"924,367",100,CLP," $  9,244 "
10000247,ARROZ PREGRANEADO GRA LARGO BANQUETE KG,KG,"92,390",100,CLP, $  924 
10000249,ARROZ SALVAJE NATURA FALL RIVER BS 454GR,BOL,"3,950",1,CLP," $  3,950 "
10000251,ARROZ SHIRAKIKU BOL 22 KG,BOL,"8,403",1,CLP," $  8,403 "
10000254,ATUN LOMITO EN ACEITE TR 1.8 KG,UN,"7,044",1,CLP," $  7,044 "
10000258,ATUN LOMITO EN AGUA TR 1.8 KG,GLN,"8,516",1,CLP," $  8,516 "
10000260,ATUN CONS ACEITE OTUNA TR 1800 GR,UN,"7,289",1,CLP," $  7,289 "
10000271,AZAFRAN ZAFFERANO MENEGHINO SB C/3 SCH,UN,"1,525",1,CLP," $  1,525 "
10000272,AZUCAR GRANULADA SACO 50 KG,UN,"34,541",100,CLP, $  345 
10000273,AZUCAR FLOR DELICADA BOLSA 1 KG,BOL,"65,000",100,CLP, $  650 
10000274,AZUCAR FLOR DELICADA BOLSA 500 GR,BOL,273,1,CLP, $  273 
10000275,AZUCAR FLOR BOL 500 GR,BOL,413,1,CLP, $  413 
10000276,AZUCAR FLOR KG,KG,"81,396",100,CLP, $  814 
10000277,AZUCAR FLOR SAN ISIDRO CAMSA KG 1,KG,541,1,CLP, $  541 
10000279,AZUCAR GRANULADA DAMA BCO BOLSA 1 KG,BOL,542,1,CLP, $  542 
10000280,AZUCAR GRANULADA KG,KG,"43,824",100,CLP, $  438 
10000281,AZUCAR GRANULADA SACO KG,KG,"60,198",100,CLP, $  602 
10000288,AZUCAR SOBRE LOGO ENJOY 5 GR CJ 1000 UN,CJ,"479,964",100,CLP," $  4,800 "
10000289,AZUCAR DECOR PATIS FRANCE OMALT CJ 4 KG,CJ,"29,940",1,CLP," $  29,940 "
10000291,BARQUILLO P/HELADOS ROMA CJ 300,CJ,743,1,CLP, $  743 
10000294,BASE HELADO PISTACHO KG CTA,KG,"11,789",1,CLP," $  11,789 "
10000296,BICARBONATO KG,KG,600,1,CLP, $  600 
10000298,BASE HELADO VAINILLA KG CTA,KG,"949,500",100,CLP," $  9,495 "
10000316,CABRITAS CARAMELO EVERCRIP PQ 140 GR,UN,527,1,CLP, $  527 
10000318,CACAO CACAO WASIL CJ 200 GR,CJ,200,1,CLP, $  200 
10000320,CACAO POLVO AMARGO SURCO KG,KG,"3,730",1,CLP," $  3,730 "
10000322,CACAO POLVO GAROTTO SACO 25 KG,KG,"190,322",100,CLP," $  1,903 "
10000323,CACAO POLVO 10/12 PH 7.0 SACO 25 KG,KG,"501,600",100,CLP," $  5,016 "
10000327,CAFE MOLIDO ESPRESSO CASA KG,KG,"1,216,600",100,CLP," $  12,166 "
10000333,CAFE DESCAFEINADO NESCAFE TR 170 GR,UN,"273,333",100,CLP," $  2,733 "
10000334,CAFE ESPRESSO ILLY TR 21 UN,UN,"8,136",1,CLP," $  8,136 "
10000337,CAFE GRA HAITI BOLSA 250 GR,BOL,"1,696",1,CLP," $  1,696 "
10000341,CAFE ITALIANO GRA D AROMA BS 250 GR,BOL,"1,335",1,CLP," $  1,335 "
10000343,CAFE NESCAFE TR 100 GR,UN,"144,467",100,CLP," $  1,445 "
10000344,CAFE PARA PERCOLADA KG,KG,"6,179",1,CLP," $  6,179 "
10000345,CAFE NESCAFE TRADICION SB 1.8 GR,UN,59,1,CLP, $  59 
10000356,CARAMELO CHUPETE GOYA YOGUR BOL 24 UN,BOL,908,1,CLP, $  908 
10000364,CARAMELO SURTIDO ARBOLITO BOL 450 GR,BOL,768,1,CLP, $  768 
10000375,CARAMELO DULCES NAVIDAD BOLSA,BOL,957,1,CLP, $  957 
10000382,CARAMELO SURTI ARBOLITO BS 900 GR AMBR,BOL,"1,597",1,CLP," $  1,597 "
10000383,DULCES HALLOWEEN SURTIDOS,UN,"419,300",100,CLP," $  4,193 "
10000386,CARAMELO TURRON MANI 60 GR CJ 28,CJ,"1,356",1,CLP," $  1,356 "
10000387,CASTAÑAS CAJU CHARNEY TR 80 GR,UN,890,1,CLP, $  890 
10000393,CASTAÑA EN ALMIBAR CONSERVA FCO 1 KG,UN,"394,033",100,CLP," $  3,940 "
10000394,CASTAÑAS CONSER ALMIBAR TR 500GR PERELLO,UN,"210,000",100,CLP," $  2,100 "
10000396,CASTAÑAS CONS PURE FCO 1100 GR,UN,"1,320",1,CLP," $  1,320 "
10000399,CASTAÑAS CONS PURE PERELLO TR 230 GR,UN,"1,320",1,CLP," $  1,320 "
10000400,CAVIAR CONS NEGRO LUMPO S W FCO 100 GR,UN,"2,850",1,CLP," $  2,850 "
10000402,CAVIAR CONSER ESTURION FCO 50 GR,UN,"50,000",1,CLP," $  50,000 "
10000403,CAVIAR CONSER ESTURION FRASCO 25 GR,UN,"30,000",1,CLP," $  30,000 "
10000411,CEREAL ALL- BRAN KELLOGG S CJ 250 GR,CJ,"1,498",1,CLP," $  1,498 "
10000413,CEREAL AVENA INSTANTANEA KG,KG,"140,188",100,CLP," $  1,402 "
10000414,CEREAL AVENA QUAKER TRADICIONAL CJ 1 KG,CJ,821,1,CLP, $  821 
10000415,CEREAL BAR BARRA COSTA 21 GR,UN,"15,400",100,CLP, $  154 
10000416,CEREAL BAR  CJ 20 COSTA,CJ,"134,183",100,CLP," $  1,342 "
10000417,CEREAL CHOCAPIC CJ 600 GR,UN,"200,857",100,CLP," $  2,009 "
10000418,CEREAL CHOCAPIC CJ 500 GR,CJ,"2,165",1,CLP," $  2,165 "
10000419,CEREAL CORNFLAKES CJ 500 GR,CJ,"160,700",100,CLP," $  1,607 "
10000424,CEREAL MAIZ INFLADO NATUR BOLSA 100 GR,BOL,486,1,CLP, $  486 
10000425,CEREAL CORNFLAKES CJ 510 GR,UN,"141,552",100,CLP," $  1,416 "
10000426,CEREAL TRIGO INFLADO NATUR BOLSA 100 GR,BOL,831,1,CLP, $  831 
10000427,CEREAL TRIX CJ 480 GR,CJ,"170,179",100,CLP," $  1,702 "
10000431,CEREAL ZUCOSOS CJ 510 GR,UN,"162,171",100,CLP," $  1,622 "
10000443,CEREZA CONS MARRASQ TR 3.6 KG,GLN,"12,210",1,CLP," $  12,210 "
10000474,CHOCOLATE RITTER LECHE BARRA 100 GR,UN,954,1,CLP, $  954 
10000484,CHOC DULCE POLVO SURCO 150 GR,UN,834,1,CLP, $  834 
10000486,BASE HELADO PLATANO KG CTA,KG,"825,000",100,CLP," $  8,250 "
10000499,CHOCOLATE COSTANUSS BARRA S/AZUC 100 GR,UN,960,1,CLP, $  960 
10000500,CHOCOLATE BARRA 100 GR TOBLERONE,UN,879,1,CLP, $  879 
10000501,CHOCOLATE BARRA SAHNE-NUSS 100 GR,UN,660,1,CLP, $  660 
10000508,CHOCOLATE M&M MANI 49 GR CJ 48 UN,UN,"35,821",100,CLP, $  358 
10000509,CHOCOLATE GRAGEA M&M PLAIN CONFI 52 GR,UN,"37,845",100,CLP, $  378 
10000511,CHOCOLATE GRAGEADO CHUBI 12 GR CJ 40,CJ,"1,548",1,CLP," $  1,548 "
10000515,"CHOCOLATE LOLY CHOC 11,5 GR AMBROSOLI",UN,59,1,CLP, $  59 
10000516,CUADRADO DE CHOCOLATE 80 GR,UN,"94,250",100,CLP, $  943 
10000522,CHOCOLATE M&M AMARILLO 40 GR CJ 18,CJ,"40,200",100,CLP, $  402 
10000524,CHOCOLATE ALFAJOR DOS EN UNO,UN,"1,084",1,CLP," $  1,084 "
10000551,MONEDA DE CHOCOLATE KG,KG,"491,400",100,CLP," $  4,914 "
10000558,CHUCHOCA KG,KG,"84,986",100,CLP, $  850 
10000562,CLAVO OLOR ENTERO KG,KG,"51,467",1,CLP," $  51,467 "
10000563,COBERTURA CHOC GOTA BELCOLADE AMARGO 5KG,BOL,"3,135,917",100,CLP," $  31,359 "
10000564,BASE HELADO ALLEGRA KG CTA,KG,"1,002,000",100,CLP," $  10,020 "
10000565,BASE EXPRESS-CAPRI 50 2 KG,KG,"730,800",100,CLP," $  7,308 "
10000567,COBERTURA CARAT COVERLUX AMARGO BLOQU KG,KG,"280,833",100,CLP," $  2,808 "
10000569,COBERTURA LECHE GOTAS BELCOLADE BS 5 KG,BOL,"7,385",1,CLP," $  7,385 "
10000570,COBERTURA T HARMONY NEUTRO PURAT BD 12KG,UN,"24,117",1,CLP," $  24,117 "
10000571,COBERTURA CHOCOFACIL BLANCO KG,KG,"299,900",100,CLP," $  2,999 "
10000572,COBERTURA CHOC BARRA BELCOLADE AMARGO KG,KG,"749,000",100,CLP," $  7,490 "
10000575,COBERTURA CHOC GOTA BELCOLADE BLANCO KG,KG,"623,000",100,CLP," $  6,230 "
10000577,BELCOLADE BLANCO SIN AZUCAR KG,BOL,"2,707,087",100,CLP," $  27,071 "
10000579,COBERTURA CHOCOFACIL DARK KG,KG,"299,900",100,CLP," $  2,999 "
10000580,COBERTURA CHOCOLATE BCO AMBROSOLI KG,KG,"2,754",1,CLP," $  2,754 "
10000583,COBERTURA CHOC NGRO NESTLE KG,KG,"2,718",1,CLP," $  2,718 "
10000590,COBERTURA CHOC GOTA BELCOLADE LECHE KG,KG,"605,000",100,CLP," $  6,050 "
10000593,COBERTURA MOLDER CHOC AMBROSOLI KG 1,KG,"579,294",100,CLP," $  5,793 "
10000596,COBERTURA PASTRY CHOC AMBROSOLI KG 1,KG,"243,700",100,CLP," $  2,437 "
10000602,CREMA DE COCO TR 240 GR,UN,"1,068",1,CLP," $  1,068 "
10000603,CREMA DE COCO LOPEZ TR 425 GR,UN,"2,601",1,CLP," $  2,601 "
10000604,LECHE DE COCO LOPEZ TR 400 GR,UN,"2,014",1,CLP," $  2,014 "
10000607,COCO RALLADO KG,KG,"2,440",1,CLP," $  2,440 "
10000609,CHANDELLE DE LUCUMA POTE 130 GR,UN,"20,230",100,CLP, $  202 
10000613,COLAPEZ KG,KG,"33,811",1,CLP," $  33,811 "
10000614,COLAPEZ SB SURCO 7 HOJAS,UN,434,1,CLP, $  434 
10000645,COBER CALLEBAUT 811 CALLETS AMARGO KG,KG,"594,633",100,CLP," $  5,946 "
10000651,JENGIBRE KG,KG,"285,063",100,CLP," $  2,851 "
10000671,CHOCLO ENANO CONS COCKTAIL WASI TR 425GR,UN,798,1,CLP, $  798 
10000673,CREMA DE AVELLANAS NUTELA FCO 350 GR,UN,"5,293",1,CLP," $  5,293 "
10000676,CONS FUNGHI PORCINI NATURA TR 810GR MENU,UN,"1,200,000",100,CLP," $  12,000 "
10000682,MARRASQUINO ROJO CONSERVA FCO 250 GR,UN,"4,102",1,CLP," $  4,102 "
10000685,PASTA LANGOSTA CONS GUTLAND FCO 700 GR,UN,"28,300",1,CLP," $  28,300 "
10000686,PEPERONCINO ENTERO FCO 100 GR,UN,"3,087",1,CLP," $  3,087 "
10000695,TALLOS BAMBU CONS AROY-D TR 540 GR,UN,"7,900",1,CLP," $  7,900 "
10000712,CONSER LYCHEE (FRUTO CHINO) TR,UN,"142,800",100,CLP," $  1,428 "
10000727,COBER CALLEBAUT W2 CALLETS BLANCO KG,KG,"589,000",100,CLP," $  5,890 "
10000731,SOPA POLLO CON FIDEOS MAGGI BS KG,BOL,"141,120",100,CLP," $  1,411 "
10000735,CREMA DE ARVEJAS C/JAMON KG,BOL,"3,372",1,CLP," $  3,372 "
10000738,CREMA DE CHOCLO KG,BOL,"2,698",1,CLP," $  2,698 "
10000741,CREMA DE ESPARRAGOS KG,BOL,"2,540",1,CLP," $  2,540 "
10000747,CREMA LIQUIDA COCO LOPEZ TR 240 GR,UN,"126,512",100,CLP," $  1,265 "
10000749,CREMA LIQUIDA LONCO LECHE LT 1,L,"153,833",100,CLP," $  1,538 "
10000752,CREMA LIQUIDA SOPROLE CJ 1 LT,CJ,"1,362",1,CLP," $  1,362 "
10000759,CREMA PASTELERA 800 GR,UN,"226,800",100,CLP," $  2,268 "
10000760,CREMA DE POLLO KG,BOL,"2,584",1,CLP," $  2,584 "
10000763,SOPA DE CARACOLITOS KG,BOL,"2,266",1,CLP," $  2,266 "
10000769,CREMA DE TOMATE KG,BOL,"3,065",1,CLP," $  3,065 "
10000771,CREMA DE VERDURAS KG,BOL,"1,294",1,CLP," $  1,294 "
10000774,CREMA DE LECHE TR 236 G,UN,463,1,CLP, $  463 
10000778,CUCHUFLI S/RELLENO DULCONO ROMA CJ 800UN,CJ,"3,600",1,CLP," $  3,600 "
10000782,DECOFRUT ARANDANOS KG,KG,"3,312",1,CLP," $  3,312 "
10000789,DULCE MEMBRILLO KG,KG,"98,000",100,CLP, $  980 
10000795,DURAZNO MITADES JUGO TR 3 KG,GLN,"284,800",100,CLP," $  2,848 "
10000802,DURAZNO MITADES JUGO TR 3 KG,GLN,"334,280",100,CLP," $  3,343 "
10000815,ENDULZANTE LIGHT MARCO SWEET FCO,UN,4,1,CLP, $  4 
10000821,ENDULZS SIN LOGO RIDER SWEET CJ 400 SB,CJ,4,1,CLP, $  4 
10000824,ESCABECHE CONS PEPINI DH D JUAN TR 2KG,UN,"3,150",1,CLP," $  3,150 "
10000825,ESENCIA ALMEND EXTRA CRAMER BT 1 KG,BOT,"1,670",1,CLP," $  1,670 "
10000830,ESENCIA HUMO LIQUIDA BT 1 KG,BOT,"3,050",1,CLP," $  3,050 "
10000831,ESENCIA LIMON EXTRA CRAMER BT 1 KG,BOT,"15,575",1,CLP," $  15,575 "
10000842,ESENCIA VAINILLA GUTLAND Bt 1 KG,BOT,"1,092",1,CLP," $  1,092 "
10000843,ESENCIA VAINILLA LIQUIDA BT 1 LT,BOT,"1,220",1,CLP," $  1,220 "
10000847,BRILLO MASTER GEL KG,KG,"359,000",100,CLP," $  3,590 "
10000853,FIDEOS FARFALLE TRICOLOR BOL 400 GR,BOL,487,1,CLP, $  487 
10000855,FIDEOS NDOS ESPINACA TALLIANI PQ 400 GR,UN,542,1,CLP, $  542 
10000857,FIDEOS PENNE ZITI RIGATE 27 PQ 500 GR,UN,480,1,CLP, $  480 
10000858,FIDEOS RIGATI 3 SABORES PQ 400 GR,UN,503,1,CLP, $  503 
10000867,FIDEOS ARROZ RICE VERMICELLI PQ 220 GR,UN,"242,508",100,CLP," $  2,425 "
10000868,FIDEOS ARROZ BOLSA 300 GR,BOL,"1,261",1,CLP," $  1,261 "
10000870,FIDEOS CABELLO ANGEL 5 KG,KG,"1,059",1,CLP," $  1,059 "
10000871,FIDEOS CABELLO ANGEL LUCCHETTI BOLSA 1KG,KG,"428,400",100,CLP," $  4,284 "
10000877,FIDEOS CARCOLITOS BOLSA,BOL,"53,250",100,CLP, $  533 
10000878,FIDEOS CORBATAS 5 KG,KG,"1,104",1,CLP," $  1,104 "
10000880,FIDEOS ESPIRALES 5 KG,KG,"1,037",1,CLP," $  1,037 "
10000882,FIDEOS ESPIRALES LUCCHETTI BOLSA 5 KG,KG,"428,383",100,CLP," $  4,284 "
10000883,FIDEOS FETUCCINI PQ 400 GR,UN,411,1,CLP, $  411 
10000886,FIDEOS LASAGNA PQ 400 GR,UN,947,1,CLP, $  947 
10000887,FIDEOS LASAGNA PQ 500 GR,UN,880,1,CLP, $  880 
10000891,FIDEOS MOSTACCIOLI BOL 1 KG,KG,362,1,CLP, $  362 
10000892,FIDEOS MOSTACCIOLI 5 KG,KG,941,1,CLP, $  941 
10000894,FIDEOS NDOS AL HVO TRAT CAROZZI PQ 400GR,UN,548,1,CLP, $  548 
10000899,FIDEOS RIGATONI CAROZZI BS 400 GR,BOL,"344,267",100,CLP," $  3,443 "
10000906,FIDEOS SPAGHETTI 5 KG,KG,911,1,CLP, $  911 
10000910,FLAN CHOCOLATE CAROZZI BOLSA 1 KG,KG,"1,626",1,CLP," $  1,626 "
10000911,FLAN VAINILLA POLVO KG,KG,"1,850",1,CLP," $  1,850 "
10000917,FLAN DULCE LECHE KG,KG,"1,662",1,CLP," $  1,662 "
10000919,FLAN LUCUMA KG,KG,"1,768",1,CLP," $  1,768 "
10000920,FLAN MANJAR CAROZZI BOLSA 1 KG,KG,"143,200",100,CLP," $  1,432 "
10000922,PASTA MOJITO 3 KG,KG,"996,700",100,CLP," $  9,967 "
10000927,FLAN VAINILLA KG,KG,"1,391",1,CLP," $  1,391 "
10000931,ALMENDRA ENTERA KG,KG,"761,731",100,CLP," $  7,617 "
10000933,ALMENDRA ESCAMA KG,KG,"610,020",100,CLP," $  6,100 "
10000934,FRUT SEC AVELLANA C/CASCARA ALMIFRUT KG,KG,"10,504",1,CLP," $  10,504 "
10000935,AVELLANA EUROPEA KG,KG,"880,000",100,CLP," $  8,800 "
10000940,CALLAMPA SECA KG,KG,"15,750",1,CLP," $  15,750 "
10000941,FRUT SEC CALLAMPAS SECAS SURCO BS 80 GR,BOL,"576,500",100,CLP," $  5,765 "
10000943,CASTAÑAS CAJU KG,KG,"7,100",1,CLP," $  7,100 "
10000947,CIRUELA DESCAROZADA KG,KG,"185,036",100,CLP," $  1,850 "
10000952,FRUTA CONFITADA KG,UN,"117,624",100,CLP," $  1,176 "
10000953,DAMASCO SECO KG,KG,"310,000",100,CLP," $  3,100 "
10000957,DATILES KG,KG,"590,329",100,CLP," $  5,903 "
10000958,FRUT SEC DURAZ DESCAROZADO FRUTEXSA KG,KG,"8,368",1,CLP," $  8,368 "
10000960,MANI SALADO LOGO ENJOY POTE 25 GR,UN,"9,900",100,CLP, $  99 
10000962,HIGO SECO KG,KG,"395,048",100,CLP," $  3,950 "
10000966,HONGOS SHITAKE KG,KG,"1,854,444",100,CLP," $  18,544 "
10000967,HUESILLO S/CAROZO KG,BOL,"1,850",1,CLP," $  1,850 "
10000969,HUESILLO KG,KG,"2,808",1,CLP," $  2,808 "
10000972,MANI SALADO KG,KG,"1,969",1,CLP," $  1,969 "
10000973,FRUT SEC MANI SALADO EVERCRISP 27GR,UN,"1,356",1,CLP," $  1,356 "
10000976,MANI TOSTADO S/SAL KG,KG,"2,084",1,CLP," $  2,084 "
10000977,FRUT SEC MANZANA A GRANEL ALMIFRUT KG,KG,"130,000",100,CLP," $  1,300 "
10000980,HONGO MORCHELA KG,KG,"21,800,000",100,CLP," $  218,000 "
10000982,NUEZ CUARTILLO KG,KG,"716,370",100,CLP," $  7,164 "
10000983,NUEZ MARIPOSA KG,KG,"6,150",1,CLP," $  6,150 "
10000984,NUEZ MOSCADA ENTERA UN,UN,102,1,CLP, $  102 
10000986,PASA CORINTO KG,KG,"2,000",1,CLP," $  2,000 "
10000987,PASA NEGRA KG,KG,"1,818",1,CLP," $  1,818 "
10000988,PASA RUBIA KG,KG,"274,986",100,CLP," $  2,750 "
10000993,PIÑONES EUROPEOS KG,KG,"30,000",1,CLP," $  30,000 "
10000995,PISTACHO KG,KG,"1,100,000",100,CLP," $  11,000 "
10000996,PISTACHO S/CASCARA KG,KG,"2,950,087",100,CLP," $  29,501 "
10001005,FRUTILLA CONS TR,UN,"114,283",100,CLP," $  1,143 "
10001007,FRUTAS CONS TALLOS BAMBU TR 540 GR,UN,"2,990",1,CLP," $  2,990 "
10001010,FRUTO SECO ALMEND SIN SAL BS 1 KG,BOL,"4,911",1,CLP," $  4,911 "
10001012,AVELLANA TOSTADA KG,KG,"500,000",100,CLP," $  5,000 "
10001014,NUEZ MARIPOSA KG,KG,"590,000",100,CLP," $  5,900 "
10001016,FRUTO SECO NUEZ MOSCADA KG,KG,"11,679",1,CLP," $  11,679 "
10001020,PASAS RUBIAS ALMIFRUT KG 1,KG,"170,000",100,CLP," $  1,700 "
10001024,GALLETA ARROZ INTEG SAL 130 GR,BOL,980,1,CLP, $  980 
10001026,GALLETA TRIPACK VIVO SALVADO 10X585 GR,UN,"1,108",1,CLP," $  1,108 "
10001027,GALLET DULCE CHAMPAG PQ 100 GR MC CRUHER,UN,"53,000",100,CLP, $  530 
10001033,GALLETA ARROZ INTEG S/SAL 100 GR,BOL,840,1,CLP, $  840 
10001035,GALLETA DULC KUKY CLASICA PQ 45 GR MC,UN,"1,356",1,CLP," $  1,356 "
10001042,GALLETA DULCE CHAMPAGNE COSTA PQ 70 GR,UN,298,1,CLP, $  298 
10001046,GALLETA MANTEQUILLA MACKAY PQ 175 GR,UN,300,1,CLP, $  300 
10001047,GALLETA DULCE MINI KUKY CHOCO PQ MCKAY,UN,"1,356",1,CLP," $  1,356 "
10001048,GALLETA OBSESION TRADICIONAL PQ 85 GR,UN,561,1,CLP, $  561 
10001055,GALLETA SALADA MINI SELZ PQ 45 GR,UN,"1,356",1,CLP," $  1,356 "
