object created,tracking number,rate__shipment__address_to__city,rate__shipment__address_to__state,rate__shipment__address_to__zip,parcel__weight,parcel__mass_unit,rate__amount,rate__currency,tracking_status
2023-01-06T15:57:24.011697+00:00,393108064630,Boulder,CO,80304,23.4,lb,15.28,USD,DELIVERED
2023-01-06T17:47:57.561129+00:00,393114840077,Carbondale,CO,81623,23.43,lb,19.86,USD,DELIVERED
2023-01-06T18:57:59.487130+00:00,393119095636,Lyons,CO,80540,47.8,lb,26.96,USD,DELIVERED
2023-01-06T18:58:07.600659+00:00,393119104325,Lyons,CO,80540,47.8,lb,26.96,USD,DELIVERED
2023-01-06T19:00:55.023565+00:00,393119277323,Boulder,CO,80304,31.65,lb,16.71,USD,DELIVERED
2023-01-07T00:15:50.060046+00:00,393134496552,Arvada,CO,80007,5.1,lb,10.75,USD,DELIVERED
2023-01-07T04:44:14.718410+00:00,393137993420,Florence,CO,81226,11.6,lb,13.85,USD,DELIVERED
2023-01-07T07:11:04.096014+00:00,393139026822,Westminster,CO,80021,37.05,lb,19.34,USD,DELIVERED
2023-01-07T07:13:20.140448+00:00,393139040789,Peyton,CO,80831,41.8,lb,23.47,USD,DELIVERED
2023-01-07T07:13:53.964966+00:00,393139043273,Silt,CO,81652,18.5,lb,18.51,USD,DELIVERED
2023-01-07T07:14:38.154875+00:00,393139046938,FORT COLLINS,CO,80521,42,lb,20.5,USD,DELIVERED
2023-01-07T07:16:02.607981+00:00,393139054638,lakewood,CO,80215,24,lb,14.38,USD,DELIVERED
2023-01-07T15:22:16.968858+00:00,393143390567,Longmont,CO,80504,42,lb,20.5,USD,DELIVERED
2023-01-07T15:22:18.547270+00:00,393143390291,Longmont,CO,80504,11.25,lb,10.88,USD,DELIVERED
2023-01-07T15:22:26.565924+00:00,393143392949,Longmont,CO,80504,42,lb,20.5,USD,DELIVERED
2023-01-07T22:15:14.219282+00:00,393151297361,Dumont,CO,80436,27,lb,19.3,USD,DELIVERED
2023-01-07T23:14:02.711568+00:00,393151988344,Loveland,CO,80537,11.6,lb,10.88,USD,DELIVERED
2023-01-07T23:22:35.139612+00:00,393152073939,Lakewood,CO,80226,25.23,lb,15.28,USD,DELIVERED
2023-01-07T23:33:23.073655+00:00,393152182097,Denver,CO,80218,11.6,lb,10.88,USD,DELIVERED
2023-01-08T04:03:27.516792+00:00,393154002001,Parker,CO,80134,4.75,lb,12.35,USD,DELIVERED
2023-01-08T07:08:17.699100+00:00,393154722285,Denver,CO,80210,22.4,lb,15.28,USD,DELIVERED
2023-01-08T07:09:51.815469+00:00,393154727210,Loveland,CO,80537,31.75,lb,16.71,USD,DELIVERED
2023-01-08T07:10:08.746616+00:00,393154730386,Steamboat Springs,CO,80487,34.75,lb,21.2,USD,DELIVERED
2023-01-08T07:11:25.060790+00:00,393154740413,Lakewood,CO,80226,43.9,lb,21.74,USD,DELIVERED
2023-01-08T07:12:03.227101+00:00,393154742611,Denver,CO,80212,24.3,lb,15.28,USD,DELIVERED
2023-01-08T16:14:37.603446+00:00,393158701710,Castle Rock,CO,80108,22.4,lb,15.28,USD,DELIVERED
2023-01-08T21:49:49.312703+00:00,393164326670,Castle Rock,CO,80108,11.26,lb,12.35,USD,DELIVERED
2023-01-08T22:01:22.106371+00:00,393164492880,Fort Collins,CO,80525,24.3,lb,15.28,USD,DELIVERED
2023-01-09T07:13:28.226049+00:00,393171285841,Boulder,CO,80304,42,lb,20.5,USD,DELIVERED
2023-01-09T07:13:51.028718+00:00,393171291078,Golden,CO,80403,42,lb,23.47,USD,DELIVERED
2023-01-09T07:13:52.847729+00:00,393171289240,Denver,CO,80205,43,lb,21.4,USD,DELIVERED
2023-01-09T07:13:54.323319+00:00,393171291218,Golden,CO,80403,11.25,lb,13.85,USD,DELIVERED
2023-01-09T07:15:44.124490+00:00,393171314061,Arvada,CO,80004,11.6,lb,10.88,USD,DELIVERED
2023-01-09T07:17:18.606012+00:00,393171331476,Wheat ridge,CO,80033,18.6,lb,12.8,USD,DELIVERED
2023-01-09T18:27:46.201546+00:00,393202152287,Thornton,CO,80233,47.39,lb,22.94,USD,DELIVERED
2023-01-09T23:09:38.842671+00:00,393221365884,Louisville,CO,80027,22.75,lb,15.28,USD,DELIVERED
2023-01-10T02:12:59.365659+00:00,393226272841,Steamboat Springs,CO,80487,6.3,lb,13.24,USD,DELIVERED
2023-01-10T05:52:18.384201+00:00,393229348253,Broomfield,CO,80021,24.4,lb,15.28,USD,DELIVERED
2023-01-10T14:57:10.316401+00:00,393241329671,Thornton,CO,80241,41.5,lb,20.5,USD,DELIVERED
2023-01-10T16:27:04.653846+00:00,393247224219,Denver,CO,80209,11.6,lb,10.88,USD,DELIVERED
2023-01-10T23:59:13.569469+00:00,393273128150,Evergreen,CO,80439,21.5,lb,16.56,USD,DELIVERED
2023-01-10T23:59:17.237335+00:00,393273128984,Evergreen,CO,80439,42,lb,23.47,USD,DELIVERED
2023-01-11T05:27:17.282204+00:00,393279524782,Longmont,CO,80504,29.5,lb,16.53,USD,DELIVERED
2023-01-11T06:57:05.181608+00:00,393280516940,Telluride,CO,81435,11.58,lb,15.55,USD,DELIVERED
2023-01-11T07:03:13.270646+00:00,393280575982,Aurora,CO,80010,2.29,lb,12.35,USD,DELIVERED
2023-01-11T07:04:27.879632+00:00,393280588011,Superior,CO,80027,17.05,lb,12.35,USD,DELIVERED
2023-01-11T07:06:54.469032+00:00,393280612925,Brighton,CO,80601,22.4,lb,15.28,USD,DELIVERED
2023-01-11T07:06:58.106064+00:00,393280613027,Colorado Springs,CO,80903,12.2,lb,15.28,USD,DELIVERED
2023-01-11T07:07:33.768932+00:00,393280619210,Castle Rock,CO,80108,4.75,lb,12.35,USD,DELIVERED
2023-01-11T07:08:35.210781+00:00,393280627869,Loveland,CO,80537,4.4,lb,10.2,USD,DELIVERED
2023-01-11T08:01:05.064619+00:00,393281209122,Lakewood,CO,80226,7.75,lb,10.75,USD,DELIVERED
2023-01-11T16:34:25.541001+00:00,393297171878,Denver,CO,80202,16.39,lb,12.35,USD,DELIVERED
2023-01-11T23:13:18.209260+00:00,393320114200,Lafayette,CO,80026,22.68,lb,13.79,USD,DELIVERED
2023-01-12T07:10:15.302414+00:00,393327930590,Grand Junction,CO,81501,41.5,lb,25.1,USD,DELIVERED
2023-01-12T07:15:34.717351+00:00,393327993252,Lakewood,CO,80227,4.4,lb,10.2,USD,DELIVERED
2023-01-12T07:16:57.553334+00:00,393328011195,Aurora,CO,80017,43.8,lb,21.74,USD,DELIVERED
2023-01-12T07:16:58.295207+00:00,393328011130,Aurora,CO,80017,22.4,lb,15.28,USD,DELIVERED
2023-01-12T16:29:59.918435+00:00,393343855233,Vail,CO,81657,41.5,lb,28.07,USD,DELIVERED
2023-01-12T23:16:05.444830+00:00,393366502060,Colorado Springs,CO,80919,5.1,lb,10.75,USD,DELIVERED
2023-01-13T00:53:40.364350+00:00,393369129384,Lafayette,CO,80026,11.6,lb,10.88,USD,DELIVERED
2023-01-13T02:48:04.021961+00:00,393371299280,Boulder,CO,80303,32.62,lb,17.35,USD,DELIVERED
2023-01-13T02:48:14.375234+00:00,393371302924,Boulder,CO,80303,34.3,lb,18.23,USD,DELIVERED
2023-01-13T07:12:29.683991+00:00,393374300313,Longmont,CO,80503,34.3,lb,18.23,USD,DELIVERED
2023-01-13T07:13:25.623755+00:00,393374310818,Parker,CO,80134,6.13,lb,12.35,USD,DELIVERED
2023-01-13T07:18:26.866793+00:00,393374370099,Denver,CO,80219,24.3,lb,15.28,USD,DELIVERED
2023-01-13T23:12:38.944154+00:00,393417915250,Henderson,CO,80640,44.32,lb,21.74,USD,DELIVERED
2023-01-13T23:12:52.986945+00:00,393417924427,Henderson,CO,80640,29.5,lb,16.53,USD,DELIVERED
2023-01-14T02:04:11.362061+00:00,393422117981,Longmont,CO,80501,16.9,lb,11.92,USD,DELIVERED
2023-01-14T07:12:10.056986+00:00,393425196466,Boulder,CO,80305,6.3,lb,10.27,USD,DELIVERED
2023-01-14T07:14:35.367196+00:00,393425213110,Denver,CO,80202,47.8,lb,22.94,USD,DELIVERED
2023-01-14T07:17:37.184029+00:00,393425237963,Loveland,CO,80538,21.4,lb,15.28,USD,DELIVERED
2023-01-14T16:17:22.979507+00:00,393431049073,Dove Creek,CO,81324,24.4,lb,22.44,USD,DELIVERED
2023-01-14T18:52:31.485298+00:00,393434337309,Lakewood,CO,80226,22.4,lb,15.28,USD,DELIVERED
2023-01-14T19:00:58.296909+00:00,393434498005,Aurora,CO,80012,21.52,lb,13.59,USD,DELIVERED
2023-01-15T02:37:03.853732+00:00,393440620720,Denver,CO,80220,6.35,lb,10.27,USD,DELIVERED
2023-01-15T07:05:18.371443+00:00,393441969449,Englewood,CO,80113,47.8,lb,22.94,USD,DELIVERED
2023-01-15T07:08:00.096874+00:00,393441987426,Lafayette,CO,80026,28.15,lb,16.02,USD,DELIVERED
2023-01-15T07:08:02.417019+00:00,393441986485,Lafayette,CO,80026,47.8,lb,22.94,USD,DELIVERED
2023-01-15T07:12:26.717147+00:00,393442013389,Aurora,CO,80012,21.52,lb,13.59,USD,DELIVERED
2023-01-15T17:42:43.218072+00:00,393447442653,Denver,CO,80212,12.35,lb,11.02,USD,DELIVERED
2023-01-16T04:22:33.113312+00:00,393456317194,Arvada,CO,80005,5.81,lb,10.75,USD,DELIVERED
2023-01-16T07:19:29.125250+00:00,393458209656,Fort Collins,CO,80521,6.3,lb,10.27,USD,DELIVERED
2023-01-16T22:01:10.177668+00:00,393497798567,Lafayette,CO,80026,14.9,lb,15.28,USD,DELIVERED
2023-01-17T00:11:44.488119+00:00,393502419273,Fort Collins,CO,80526,22.4,lb,15.28,USD,DELIVERED
2023-01-17T06:04:52.174415+00:00,393507750810,Gill,CO,80624,5.1,lb,14.77,USD,DELIVERED
2023-01-17T06:07:10.982752+00:00,393507773958,Hesperus,CO,81326,24.3,lb,22.44,USD,DELIVERED
2023-01-17T16:42:29.862783+00:00,393526832990,Loveland,CO,80537,40.5,lb,20.45,USD,DELIVERED
2023-01-17T18:11:35.084722+00:00,393533279526,Denver,CO,80218,24.4,lb,15.28,USD,DELIVERED
2023-01-17T20:16:44.728755+00:00,393542192400,Broomfield,CO,80021,41.5,lb,20.5,USD,DELIVERED
2023-01-18T01:47:21.391525+00:00,393561607436,Lafayette,CO,80026,43.8,lb,21.74,USD,DELIVERED
2023-01-18T01:47:25.609450+00:00,393561607756,Lafayette,CO,80026,45.8,lb,22.1,USD,DELIVERED
2023-01-18T01:47:31.746728+00:00,393561610156,Lafayette,CO,80026,3.35,lb,10.2,USD,DELIVERED
2023-01-18T07:11:23.741699+00:00,393565356258,Colorado Springs,CO,80918,22.4,lb,15.28,USD,DELIVERED
2023-01-18T07:14:11.964248+00:00,393565380583,lakewood,CO,80215,44,lb,21.74,USD,DELIVERED
2023-01-18T07:14:16.668458+00:00,393565381101,Lyons,CO,80540,12.2,lb,19.3,USD,DELIVERED
2023-01-18T07:14:19.471537+00:00,393565381329,lakewood,CO,80215,22.5,lb,15.28,USD,DELIVERED
2023-01-18T07:14:37.880209+00:00,393565383891,Colorado Springs,CO,80921,11.64,lb,10.88,USD,DELIVERED
2023-01-18T07:15:54.785471+00:00,393565393436,Superior,CO,80027,12.5,lb,11.02,USD,DELIVERED
2023-01-18T07:18:59.464545+00:00,393565425571,Arvada,CO,80007,6.51,lb,10.27,USD,DELIVERED
2023-01-18T13:37:53.469589+00:00,393571423129,Longmont,CO,80504,31.75,lb,16.71,USD,DELIVERED
2023-01-18T16:43:05.360548+00:00,393582176761,Wheat Ridge,CO,80033,5.05,lb,12.35,USD,DELIVERED
2023-01-19T07:11:56.144191+00:00,393612132357,Erie,CO,80516,22.4,lb,15.28,USD,DELIVERED
2023-01-19T07:12:21.480875+00:00,393612134522,Denver,CO,80210,24.4,lb,15.28,USD,DELIVERED
2023-01-19T07:13:35.187337+00:00,393612143424,Nathrop,CO,81236,11.6,lb,14.9,USD,DELIVERED
2023-01-19T07:16:40.498730+00:00,393612178164,Denver,CO,80222,34.3,lb,18.23,USD,DELIVERED
2023-01-19T07:19:09.592393+00:00,393612202390,Arvada,CO,80004,6.3,lb,10.27,USD,DELIVERED
2023-01-19T07:19:35.378669+00:00,393612205952,Denver,CO,80238,22.4,lb,15.28,USD,DELIVERED
2023-01-19T13:49:59.536900+00:00,393618856292,Louisville,CO,80027,15.03,lb,12.35,USD,DELIVERED
2023-01-19T15:31:19.290096+00:00,393624151871,longmont,CO,80504,34.49,lb,18.23,USD,DELIVERED
2023-01-19T18:50:33.772391+00:00,393636723437,Longmont,CO,80501,44,lb,21.74,USD,DELIVERED
2023-01-19T20:46:23.539685+00:00,393643688926,Avon,CO,81620,47.8,lb,30.73,USD,DELIVERED
2023-01-19T20:46:29.441079+00:00,393643695148,Avon,CO,81620,38.28,lb,27.06,USD,DELIVERED
2023-01-19T22:59:08.950807+00:00,393649835937,Colorado Springs,CO,80904,12.2,lb,15.28,USD,DELIVERED
2023-01-20T02:02:04.051021+00:00,393654115409,Denver,CO,80230,11.7,lb,10.88,USD,DELIVERED
2023-01-20T07:16:51.005134+00:00,393657402211,arvada,CO,80003,4.5,lb,10.75,USD,DELIVERED
2023-01-20T17:11:06.300790+00:00,393675226094,Ridgway,CO,81432,24.3,lb,22.4,USD,DELIVERED
2023-01-20T18:49:40.623360+00:00,393681419689,Denver,CO,80205,24,lb,14.36,USD,DELIVERED
2023-01-20T21:11:37.039675+00:00,393689545164,Colorado Springs,CO,80920,22.5,lb,15.25,USD,DELIVERED
2023-01-20T21:11:40.685027+00:00,393689549343,Colorado Springs,CO,80920,44,lb,21.71,USD,DELIVERED
2023-01-20T22:14:35.570452+00:00,393692487646,Littleton,CO,80122,1.36,lb,10.19,USD,DELIVERED
2023-01-20T23:26:55.562971+00:00,393695400529,Westminster,CO,80020,3.64,lb,10.74,USD,DELIVERED
2023-01-21T00:56:53.028703+00:00,393697328050,Aurora,CO,80018,33.4,lb,20.8,USD,DELIVERED
2023-01-21T01:11:27.886856+00:00,393697577352,Aurora,CO,80012,26.64,lb,15.25,USD,DELIVERED
2023-01-21T07:07:51.929030+00:00,393700368720,Boulder,CO,80301,24.4,lb,15.25,USD,DELIVERED
2023-01-21T07:10:03.048225+00:00,393700379316,Peyton,CO,80831,41.8,lb,23.44,USD,DELIVERED
2023-01-21T07:11:05.609512+00:00,393700386190,Parker,CO,80134,13.34,lb,11.21,USD,DELIVERED
2023-01-21T14:38:08.515696+00:00,393703412524,Castle Rock,CO,80108,8.95,lb,10.54,USD,DELIVERED
2023-01-21T16:34:24.222924+00:00,393705370218,Longmont,CO,80504,20,lb,15.25,USD,DELIVERED
2023-01-21T16:57:44.086059+00:00,393705783046,Windsor,CO,80550,47.8,lb,22.9,USD,DELIVERED
2023-01-21T17:13:39.563799+00:00,393706085860,Boulder,CO,80304,24.4,lb,15.25,USD,DELIVERED
2023-01-21T19:08:27.970877+00:00,393708118088,Denver,CO,80204,24.3,lb,15.25,USD,DELIVERED
2023-01-22T05:40:48.289686+00:00,393714173890,Colorado Springs,CO,80919,11.25,lb,10.86,USD,DELIVERED
2023-01-22T05:46:46.499507+00:00,393714192770,Arvada,CO,80003,28.55,lb,15.99,USD,DELIVERED
2023-01-22T05:46:48.863518+00:00,393714193115,Arvada,CO,80003,47.8,lb,22.9,USD,DELIVERED
2023-01-22T07:13:47.509179+00:00,393714620250,Westminster,CO,80003,11.25,lb,10.86,USD,DELIVERED
2023-01-22T14:46:42.849271+00:00,393717241484,Golden,CO,80401,41.5,lb,20.47,USD,DELIVERED
2023-01-22T15:56:01.614559+00:00,393718099528,Aurora,CO,80018,24.3,lb,18.22,USD,DELIVERED
2023-01-22T16:05:56.992391+00:00,393718242075,Arvada,CO,80002,41.5,lb,20.47,USD,DELIVERED
2023-01-22T16:42:48.607183+00:00,393718768929,Durango,CO,81301,41.5,lb,28.04,USD,DELIVERED
2023-01-22T18:12:49.540722+00:00,393720332950,Brighton,CO,80601,22.4,lb,15.25,USD,DELIVERED
2023-01-22T20:45:06.162021+00:00,393722846838,Denver,CO,80231,6.3,lb,13.57,USD,DELIVERED
2023-01-23T07:15:22.811736+00:00,393729662557,Greeley,CO,80631,44.6,lb,21.71,USD,DELIVERED
2023-01-23T07:15:36.699022+00:00,393729665188,Yoder,CO,80864,45.8,lb,26.07,USD,DELIVERED
2023-01-23T07:15:59.496993+00:00,393729668544,Denver,CO,80202,12.2,lb,15.25,USD,DELIVERED
2023-01-23T07:16:11.323377+00:00,393729671507,Colorado Springs,CO,80917,6.29,lb,10.26,USD,DELIVERED
2023-01-23T07:16:30.544944+00:00,393729673646,Lakewood,CO,80232,23.5,lb,14.36,USD,DELIVERED
2023-01-23T07:17:42.583412+00:00,393729686109,Brighton,CO,80601,10.45,lb,12.33,USD,DELIVERED
2023-01-23T07:19:19.434759+00:00,393729708232,Vail,CO,81657,34.3,lb,24.78,USD,DELIVERED
2023-01-23T07:20:15.210952+00:00,393729716399,Fountain,CO,80817,41.5,lb,20.47,USD,DELIVERED
2023-01-23T16:57:35.341702+00:00,393752650562,Erie,CO,80516,22.2,lb,13.78,USD,DELIVERED
2023-01-23T17:00:17.721623+00:00,393752865685,Denver,CO,80212,41.5,lb,20.47,USD,DELIVERED
2023-01-23T18:00:36.730357+00:00,393757821210,GRAND LAKE,CO,80447,24.4,lb,19.26,USD,DELIVERED
2023-01-23T18:20:49.309122+00:00,393759691762,Englewood,CO,80113,24.4,lb,15.25,USD,DELIVERED
2023-01-23T21:49:30.609555+00:00,393775150971,Calhan,CO,80808,5.51,lb,14.75,USD,DELIVERED
2023-01-24T04:03:19.559573+00:00,393785878779,Longmont,CO,80501,26.8,lb,15.25,USD,DELIVERED
2023-01-24T07:10:47.024314+00:00,393787652412,Denver,CO,80220,21.5,lb,13.57,USD,DELIVERED
2023-01-24T15:26:15.829981+00:00,393799805703,Denver,CO,80218,18.39,lb,12.78,USD,DELIVERED
2023-01-24T15:41:59.455293+00:00,393800798782,Broomfield,CO,80023,29.16,lb,16.51,USD,DELIVERED
2023-01-24T16:22:19.469612+00:00,393803494700,Calhan,CO,80808,15.65,lb,15.67,USD,DELIVERED
2023-01-24T16:26:30.464973+00:00,393803791206,Denver,CO,80218,23.71,lb,14.36,USD,DELIVERED
2023-01-24T19:00:10.990942+00:00,393813998218,Eaton,CO,80615,6.3,lb,13.23,USD,DELIVERED
2023-01-24T21:04:42.847648+00:00,393821747746,Longmont,CO,80501,2.32,lb,10.74,USD,DELIVERED
2023-01-24T23:49:26.548620+00:00,393828756150,Gypsum,CO,81637,9.95,lb,17.12,USD,DELIVERED
2023-01-25T00:13:26.681302+00:00,393829389124,Greeley,CO,80634,17.91,lb,12.33,USD,DELIVERED
2023-01-25T03:28:46.197649+00:00,393832670381,Parker,CO,80134,47.8,lb,22.9,USD,DELIVERED
2023-01-25T07:12:24.125912+00:00,393834687254,Thornton,CO,80602,22.4,lb,13.78,USD,DELIVERED
2023-01-25T07:19:44.421453+00:00,393834749613,Colorado Springs,CO,80904,24.75,lb,14.58,USD,DELIVERED
2023-01-25T07:20:28.662980+00:00,393834757232,Fountain,CO,80817,41.5,lb,20.47,USD,DELIVERED
2023-01-25T08:00:52.890622+00:00,393835079407,Denver,CO,80212,24.4,lb,14.58,USD,DELIVERED
2023-01-25T08:01:19.674292+00:00,393835083476,ALma,CO,80420,41.5,lb,24.48,USD,DELIVERED
2023-01-25T12:02:19.102505+00:00,393837677583,Fort Lupton,CO,80621,12.2,lb,15.3,USD,DELIVERED
2023-01-25T12:02:22.541981+00:00,393837679016,Denver,CO,80211,47.8,lb,22.9,USD,DELIVERED
2023-01-25T12:02:23.495341+00:00,393837678259,Denver,CO,80211,41.5,lb,20.47,USD,DELIVERED
2023-01-25T12:03:12.363344+00:00,393837696979,Johnstown,CO,80534,23.4,lb,14.36,USD,DELIVERED
2023-01-25T12:05:44.558072+00:00,393837759495,Westminster,CO,80003,45.8,lb,22.06,USD,DELIVERED
2023-01-25T12:05:46.792886+00:00,393837759142,Westminster,CO,80003,8.1,lb,10.74,USD,DELIVERED
2023-01-25T15:58:32.988185+00:00,393848020622,Louisville,CO,80027,30.44,lb,16.68,USD,DELIVERED
2023-01-25T19:36:09.273487+00:00,393861677051,Rico,CO,81332,22.2,lb,20.24,USD,DELIVERED
2023-01-25T19:53:34.580464+00:00,393862739520,Castle Rock,CO,80104,8.16,lb,12.33,USD,DELIVERED
2023-01-25T20:59:03.910362+00:00,393866567862,Broomfield,CO,80020,9.05,lb,10.74,USD,DELIVERED
2023-01-25T22:10:56.355366+00:00,393870027515,longmont,CO,80504,12.2,lb,12.33,USD,DELIVERED
2023-01-26T00:09:10.311792+00:00,393874161346,Lafayette,CO,80026,15.35,lb,12.33,USD,DELIVERED
2023-01-26T00:19:26.114165+00:00,393874424475,Thornton,CO,80233,34.39,lb,18.2,USD,DELIVERED
