Order ID,Order Date,PRODUCTS,QUANTITY,Unit Price,Special Discount,SUBTOTAL,Total Price with VAT,Price Difference,Invoiced Price,Invoiced Price with VAT,Delivery Number,Invoice Number,Invoice Date,Delivery Date,Status
7,5/16/2023,NRF INTEGRAL LIQUID WATERPROOFING PACK 12 X 1 LTS,1,3844.21,,3844.21,4651.4941,-4.5375,3840.46,4646.9566,51-16576,49-15700,5/18/2023,5/18/2023,DELIVERED
8,6/1/2023,NRF FLOOR HARDENER 24X20 LTS,2,5616.88,,11233.76,13592.8496,-16.9763,11219.73,13575.8733,51-16846,49-15958,6/7/2023,6/7/2023,DELIVERED
8,6/1/2023,NRF CONCRETE FLOOR HARDENER BAG X 25 KG MEDIUM GREY,38,2835.76,,107758.88,130388.2448,-148.8784,107635.84,130239.3664,51-16936,49-16055,6/13/2023,6/13/2023,DELIVERED
8,6/1/2023,NRF CONCRETE FLOOR HARDENER BAG X 25 KG MEDIUM GREY,22,2835.76,,62386.72,75487.9312,-86.152,62315.52,75401.7792,51-16073,49-16073,6/14/2023,6/14/2023,DELIVERED
NO ID,,NRF CONCRETE BINDER X 5 LTX PACK X 4 UNIT,8,37259.52,,298076.16,360672.1536,-32132.9536,271520,328539.2,51-16845,49-15958,6/7/2023,6/7/2023,DELIVERED
9,6/12/2023,NRF FLOOR HARDENER PACK X 1 LTS,6,5249,,31494,38107.74,-15678.4419,18536.61,22429.2981,51-16073,49-16073,6/14/2023,6/14/2023,DELIVERED
10,6/16/2023,NRF CONCRETE FLOOR HARDENER BAG X 25 GREY,22,3062.86,,67382.92,81533.3332,-92.928,67306.12,81440.4052,41-0312/51-17071,49-16213,6/28/2023,6/22/2023,DELIVERED
10,6/16/2023,NRF CONCRETE FLOOR HARDENER BAG X 25 GREY,26,3062.86,,79634.36,96357.5756,-109.8317,79543.59,96247.7439,51-17219,49-16306,7/4/2023,7/4/2023,DELIVERED
10,6/16/2023,NRF CONCRETE FLOOR HARDENER 24 X 20 LTS,5,6066.18,,30330.9,36700.389,-45.5323,30293.27,36654.8567,41-312/51-17072,49-16213,6/28/2023,6/22/2023,DELIVERED
11,6/23/2023,NRF LIQUID COMPOUND FOR CONCRETE CURINGTAMBOR POR 200 LTS,2,24165.06,,48330.12,58479.4452,-66.6952,48275,58412.75,51-17126,49-16213,6/28/2023,6/28/2023,DELIVERED
11,6/23/2023,NRF LIQUID COMPOUND FOR CONCRETE CURINGTAMBOR POR 200 LTS,2,24165.06,,48330.12,58479.4452,-66.6952,48275,58412.75,51-7259,49-16334,7/5/2023,7/5/2023,DELIVERED
12,6/26/2023,NRF CONCRETE BINDER 20 LTS,2,40397.25,,80794.5,97761.345,-110.0132,80703.58,97651.3318,51-17127,49-16213,6/28/2023,6/28/2023,DELIVERED
13,6/28/2023,NRF CEMENTIVE WATEPROOFER 107 X 25 KG,10,6084.59,,60845.9,73623.539,-83.853,60776.6,73539.686,51-17316,49-16385,7/10/2023,7/10/2023,DELIVERED
13,6/28/2023,NRF FLUID MORTAR 212  X 25 KG,10,3289.35,,32893.5,39801.135,-45.3387,32856.03,39755.7963,51-17316,49-16385,7/10/2023,7/10/2023,DELIVERED
13,6/28/2023,NRF CEMENTIVE WATEPROOFER 620 X 25 KG,5,5073.67,,25368.35,30695.7035,-31.2906,25342.49,30664.4129,51-17141,49-16240,6/29/2023,6/29/2023,DELIVERED
13,6/28/2023,NRF CEMENTIVE WATEPROOFER 615 X 25 KG,5,5266.4,,26332,31861.72,-40.0268,26298.92,31821.6932,51-17141,49-16240,6/29/2023,6/29/2023,DELIVERED
13,6/28/2023,NRF GEL ADHESIVE FOR CONCRETE 31 X 1 KG,6,6339.94,,38039.64,46027.9644,-48.037,37999.94,45979.9274,51-17141,49-16240,6/29/2023,6/29/2023,DELIVERED
14,6/28/2023,NRF PLASTIC 560 X 20 KG,2,32371.81,,64743.62,78339.7802,-87.8581,64671.01,78251.9221,51-17260,49-16334,7/5/2023,7/5/2023,DELIVERED
14,6/28/2023,NRF ADHESIVE GUN (X10 NOZZLES),1,2651.61,,2651.61,3208.4481,0,,0,,,,,CANCELLED
15,6/28/2023,NRF GUARD MAX X 20 LTS,15,28375.36,,425630.4,515012.784,0,,0,,,,,CANCELLED
16,6/30/2023,NRF PLASTIC 560 WHITE X 20 KG,24,31724.37,,761384.88,921275.7048,-1033.0375,760531.13,920242.6673,51-17203,49-16287,7/3/2023,7/3/2023,DELIVERED
17,7/6/2023,NRF CONCENTRATED FORM RELEASE AGENT X 20 LTS,1,39595.62,,39595.62,47910.7002,-54.6315,39550.47,47856.0687,51-17317,49-16386,7/10/2023,7/10/2023,DELIVERED
18,7/7/2023,NRF BOND AT METAL X 12 UNITS,1,43191.87,,43191.87,52262.1627,-59.5925,43142.62,52202.5702,51-17381,49-16448,7/13/2023,7/13/2023,DELIVERED
19,7/18/2023,NRF TOP 107 FLEX A+B,30,9098.36,,272950.8,330270.468,-354.4937,272657.83,329915.9743,51-17544,49-16595,7/28/2023,7/28/2023,DELIVERED
20,7/24/2023,NRF CIM X 4 LTS X 4 UNITADES,4,3389.4,,13557.6,16404.696,-15.7179,13544.61,16388.9781,51-17526,49-16579,7/26/2023,7/26/2023,DELIVERED
21,7/28/2023,NRF FLOOR HARDENER 24 X 25 KG,5,6672.62,,33363.1,40369.351,-49.7552,33321.98,40319.5958,51-17638,49-16691,8/3/2023,8/3/2023,DELIVERED
21,7/28/2023,NRF FLOORHARDENER  TOP GREY X 25 KG,30,3369.15,,101074.5,122300.145,-139.5372,100959.18,122160.6078,51-17638,49-16691,8/3/2023,8/3/2023,DELIVERED
22,8/1/2023,SIZED MEDIUM MARBLE X 30 KG BLANCO,25,11932.42,,298310.5,360955.705,0,,0,,,,,CANCELLED
22,8/1/2023,SIZED MEDIUM MARBLE X 30 KG GREY URBANO,3,11932.42,,35797.26,43314.6846,0,,0,,,,,CANCELLED
22,8/1/2023,SIZED MEDIUM MARBLE X 30 KG PEARL GREY,9,11932.42,,107391.78,129944.0538,0,,0,,,,,CANCELLED
23,8/2/2023,NRF GEOTEXTILE U-14,55,532.16,,29268.8,35415.248,-5262.7135,24919.45,30152.5345,51-17639,49-16691,8/3/2023,8/3/2023,DELIVERED
24,8/3/2023,NRF GEOTEXTILE U-14,190,532.16,,101110.4,122343.584,-18180.2863,86085.37,104163.2977,51-17652,49-16691,8/3/2023,8/3/2023,DELIVERED
25,8/8/2023,NRF GEL ADHESIVE FOR CONCRETE 31 NORMAL X 1 LTS (PAQUETE X 6),1,48568,,48568,58767.28,-66.0902,48513.38,58701.1898,51-17749,49-16780,8/10/2023,8/10/2023,DELIVERED
26,8/28/2023,NRF WATERBARS V-20,6,92346.21,,554077.26,670433.4846,-764.5869,553445.37,669668.8977,50-118710,53-105547,8/29/2023,9/6/2023,DELIVERED
27,8/28/2023,NRF POLYURETHANE ELASTIC SEALER X 600 GRS X 20 UNITADES,1,153400.9,,153400.9,185615.089,-211.6895,153225.95,185403.3995,51-18249,49-17226,9/14/2023,9/14/2023,DELIVERED
27,8/28/2023,NRF POLYURETHANE ELASTIC SEALER X 300 GRS X 12 UNITADES,1,63793.46,,63793.46,77190.0866,-88.0275,63720.71,77102.0591,51-18535,49-17480,9/29/2023,10/2/2023,DELIVERED
27,8/28/2023,NRF FLUID MORTAR 212,10,4575.26,,45752.6,55360.646,-63.0773,45700.47,55297.5687,51-18052,49-17066,9/1/2023,9/1/2023,DELIVERED
28,8/29/2023,NRF FLUID MORTAR 212,15,4575.26,,68628.9,83040.969,-94.6099,68550.71,82946.3591,51-18250,49-17226,9/14/2023,9/14/2023,DELIVERED
29,8/30/2023,NRFBOND AT METAL X 300 GR,12,5640.2,,67682.4,81895.704,-93.2789,67605.31,81802.4251,51-18051,49-17066,9/1/2023,9/1/2023,DELIVERED
30,9/8/2023,NRF LIQUID COMPOUND FOR CONCRETE CURING  DRUM X 200 LTS,2,36945.84,,73891.68,89408.9328,-995.0193,73069.35,88413.9135,51-18204,49-17200,9/13/2023,9/13/2023,DELIVERED
30,9/8/2023,NRF LIQUID COMPOUND FOR CONCRETE CURING DRUM X 200 LTS,2,36945.84,,73891.68,89408.9328,-995.0193,73069.35,88413.9135,51-18251,49-17227,9/14/2023,9/14/2023,DELIVERED
31,9/18/2023,NRF GEL ADHESIVE FOR CONCRETE 32 X 1 KG,6,13431.17,,80587.02,97510.2942,-111.1869,80495.13,97399.1073,51-18403,49-17366,9/21/2023,9/21/2023,DELIVERED
32,9/20/2023,NRF GEL ADHESIVE FOR CONCRETE 31 X 1 KG,6,10240.02,,61440.12,74342.5452,-84.7484,61370.08,74257.7968,51-18404,49-17366,9/21/2023,9/21/2023,DELIVERED
33,9/28/2023,NRF CONCRETE BINDER X 20 LTS,12,57406.99,,688883.88,833549.4948,-942.9651,688104.57,832606.5297,51-18563,49-17507,10/2/2023,10/2/2023,DELIVERED
34,9/29/2023,NRF CEMENTIVE WATEPROOFER 107 X 25 KG,20,9294.77,,185895.4,224933.434,-271.282,185671.2,224662.152,51-18659,49-17584,10/9/2023,10/9/2023,DELIVERED
35,10/5/2023,NRF WATERPROOFER X 5 LTS,4,5354.79,,21419.16,25917.1836,-29.5482,21394.74,25887.6354,51-18787,49-17700,10/23/2023,10/23/2023,DELIVERED
36,10/6/2023,NRF FLUID MORTAR 212,64,5033.77,,322161.28,389815.1488,-539.2244,321715.64,389275.9244,51-18788,49-17701,10/23/2023,10/23/2023,DELIVERED
37,10/6/2023,NRF PVC ROLL FOR CONCRETE JOINTS V15 ,15,5149.78,,77246.7,93468.507,-106.5647,77158.63,93361.9423,51-18789,49-17701,10/23/2023,10/23/2023,DELIVERED
38,10/11/2023,NORMALIZED LIQUID COMPOUND FOR CONCRETE CURING X 200,1,198671.1,,198671.1,240392.031,0,,0,,,,,CANCELLED
39,10/26/2023,NRF TERMIC LIQUID WATERPROOFER X 20 LTS,2,41710.78,,83421.56,100940.0876,0,,0,51-18903,49-17812,11/1/2023,11/1/2023,DELIVERED
40,10/30/2023,NRF POLYURETHANE ELASTIC SEALER X 300 GR GREY,12,5804.7,,69656.4,84284.244,0,,0,,,,,
41,11/1/2023,NRF PRIMER FOR POLYURETHANE SEALERS X 250 ML,16,9405.25,,150484,182085.64,0,,0,,,,,
42,11/6/2023,NRF GEL ADHESIVE FOR CONCRETE 31 X 1 KG,6,10546.92,,63281.52,76570.6392,0,,,,,,,
42,11/6/2023,NRF GEL ADHESIVE FOR CONCRETE 31 X 6 KG,1,47481.11,,47481.11,57452.1431,-65.5215,47426.96,57386.6216,51-19041,49-17940,11/16/2023,11/16/2023,DELIVERED
42,11/6/2023,NRF POLYURETHANE ELASTIC SEALER X 300 GR,12,5804.7,,69656.4,84284.244,0,,0,,,,,
42,11/6/2023,NRF POLYURETHANE ELASTIC SEALER X 600 GR,20,8374.68,,167493.6,202667.256,0,,0,,,,,
43,11/6/2023,NRF TOP SEAL 107 FLEX X 25,8,13013.78,,104110.24,125973.3904,0,,0,,,,,
44,11/13/2023,NRF LIQUID COMPOUND FOR CONCRETE CURING NORMALIZADO X 200 LTS,2,195962.12,,391924.24,474228.3304,-0.2904,391924,474228.04,51-19042,49-17940,11/16/2023,11/16/2023,DELIVERED
44,11/13/2023,NRF LIQUID COMPOUND FOR CONCRETE CURING NORMALIZADO X 200 LTS,3,195962.12,,587886.36,711342.4956,-0.4356,587886,711342.06,51-19076,49-17985,11/22/2023,11/22/2023,DELIVERED
44,11/13/2023,NRF LIQUID COMPOUND FOR CONCRETE CURING NORMALIZADO X 200 LTS,1,195962.12,,195962.12,237114.1652,-0.1452,195962,237114.02,51-19079 estaba pinchado,49-17985,11/22/2023,12/6/2023,DELIVERED
45,11/23/2023,NRF FLUID MORTAR 212 X 25 KG,128,5210.42,,666933.76,806989.8496,-919.479,666173.86,806070.3706,51-19215,49-18109,12/6/2023,12/6/2023,DELIVERED
46,11/30/2023,NRF GEL ADHESIVE FOR CONCRETE 32 GEL X 1 KG,12,15009.86,,180118.32,217943.1672,-248.4735,179912.97,217694.6937,51-19216,49-18109,12/6/2023,12/6/2023,DELIVERED
