"order_itemid","orderid","partID","description","quantity","price","totalPrice"
"3022","227","10089021  ","TimeWise Miracle Set 3D The Go Set® - Normal/Dry Normal/Dry","2","28.00","56.00"
"3023","227","10202992  ","Mary Kay Perfect Palette® (unfilled)","3","18.00","54.00"
"3024","227","10086904  ","MKMen® Daily Facial Wash","3","18.00","54.00"
"3025","227","10203698  ","MKMen® Cooling After-Shave Gel","2","18.00","36.00"
"3026","227","10204258  ","MKMen® Shave Foam","2","18.00","36.00"
"3027","227","10078697  ","Cityscape® Cologne Spray","1","56.00","56.00"
"3028","227","10095123  ","MK High Intensity Ocean® Cologne Spray","1","46.00","46.00"
"3029","227","10044465  ","Lash Love® Waterproof Mascara I ¥ Black","4","16.00","64.00"
"3030","227","10092193  ","Perfecting Concealer Light Beige","1","16.00","16.00"
"3031","227","10114898  ","Blending Sponge ","1","12.00","12.00"
"3032","227","10149210  ","Liquid Eye Shadow Pink Starlight","2","16.00","32.00"
"3033","227","10218576  ","Golden-Rules-May-2023-Collection-Piece","1","0.00","0.00"
"3034","228","10015137  ","Sheer Mineral Pressed Powder Beige 1","1","18.00","18.00"
"3035","228","10078810  ","Extra Emollient Night Cream Sample","1","0.00","0.00"
"3036","228","10224771  ","The Look (Spring 2023), pk./1 - CDS Free","1","0.00","0.00"
"3037","229","10143931  ","Mary Kay Chromafusion® Blush Hot Coral","1","14.00","14.00"
"3038","229","10122321  ","Cheek Brush","1","14.00","14.00"
"3039","229","10160895  ","Gel Semi-Matte Lipstick Sample, pk.1 - Mauve Moment Free","1","0.00","0.00"
"3040","229","10186938  ","The Look (Holiday 2021), pk./1 - CDS Free","1","0.00","0.00"
"3041","229","10114610  ","Mary Kay Petite Palette® (unfilled)","1","8.00","8.00"
"3042","230","10193193  ","Powered by Pink - October 2021 Jewelry","1","0.00","0.00"
"3043","230","10175219  ","Limited-Edition  Womens Fragrance Gift Set","4","36.00","144.00"
"3044","230","10175231  ","Limited-Edition  Mens Fragrance Gift Set","5","36.00","180.00"
"3045","230","10015136  ","Sheer Mineral Pressed Powder Ivory 2","1","16.00","16.00"
"3046","230","10077871  ","Endless Performance® CrÃ¨me-to-Powder Foundation Beige 1","1","18.00","18.00"
"3047","230","10061457  ","Botanical Effects® Skin Care Four-Piece Set “ Formula 1 (Dry Skin)","1","58.00","58.00"
"3048","230","10072682  ","Extra Emollient Night Cream","4","15.00","60.00"
"3049","230","10099043  ","Satin Hands® Pampering Set Deluxe Mini - White Tea & Citrus","4","4.00","16.00"
"3050","230","10092195  ","Perfecting Concealer Light Bronze","2","16.00","32.00"
"3051","230","10108837  ","TimeWise Repair® Volu-Firm® Advanced Lifting Serum","3","70.00","210.00"
"3052","230","10188205  ","Limited-Edition  Rose Quartz Roller Gift With Purchase","5","0.00","0.00"
"3053","230","10053074  ","TimeWise Repair® Volu-Firm® Foaming Cleanser","2","28.00","56.00"
"3054","230","10077869  ","Endless Performance® CrÃ¨me-to-Powder Foundation Ivory 4","1","18.00","18.00"
"3055","230","10083368  ","Eyeliner Sample MK Black","1","1.50","1.50"
"3056","230","10150126  ","White Tea & Citrus Satin Body® Indulgent Shea Wash Deluxe Mini (single)","3","1.00","3.00"
"3057","230","10150128  ","White Tea & Citrus Satin Body® Revitalizing Shea Scrub Deluxe Mini (single)","3","1.00","3.00"
"3058","230","10150131  ","White Tea & Citrus Satin Body® Silkening Shea Lotion Deluxe Mini (single)","3","1.00","3.00"
"3059","230","10160429  ","TimeWise® Microdermabrasion Plus Sample Set, pk./1","5","2.00","10.00"
"3060","230","10179677  ","TimeWise® Miracle Set 3D„¢ Sample Sets, pk./3 (Normal/Dry) Normal/Dry","11","3.00","33.00"
"3061","230","10179678  ","TimeWise® Miracle Set 3D„¢ Sample Sets, pk./3 (Combination/Oily) Combination/Oily","17","3.00","51.00"
"3062","230","10090638  ","White Tea & Citrus Satin Hands® Pampering Set","2","36.00","72.00"
"3063","230","10088625  ","Fragrance-Free Satin Hands® Pampering Set","1","36.00","36.00"
"3064","230","10090136  ","Eyeliner MK Black","2","12.00","24.00"
"3065","230","10092105  ","Lash Intensity® Mascara Black","2","18.00","36.00"
"3066","230","10072824  ","CC Cream Sunscreen Broad Spectrum SPF 15* Medium to Deep","3","22.00","66.00"
"3067","230","10190660  ","Indulge® Soothing Eye Gel","5","16.00","80.00"
"3068","230","10150133  ","Fragrance-Free Satin Hands® Deluxe Mini Set","4","4.00","16.00"
"3069","230","10173098  ","TimeWise® Age Minimize 3D® Night Cream - Normal/Dry Normal/Dry","1","32.00","32.00"
"3070","230","10163901  ","Micellar Water Deluxe Mini","5","2.50","12.50"
"3071","230","10080241  ","Oil-Free Eye Makeup Remover Deluxe Mini","5","2.50","12.50"
"3072","230","10151783  ","TimeWise® Microdermabrasion Plus Set Deluxe Mini","2","4.00","8.00"
"3073","230","10044465  ","Lash Love® Waterproof Mascara I ¥ Black","2","15.00","30.00"
"3074","230","10175892  ","Silky Setting Powder Medium Ivory","1","20.00","20.00"
"3075","230","10175895  ","Silky Setting Powder Light-Medium Beige","1","20.00","20.00"
"3076","230","10156263  ","Limited-Edition Intuitive pH Lip Balm Pink","4","18.00","72.00"
"3077","230","10156264  ","Limited-Edition Intuitive pH Lip Balm Berry","4","18.00","72.00"
"3078","230","10175579  ","Special-Edition  Scents Collection - Velvet Scent","3","36.00","108.00"
"3079","230","10175580  ","Special-Edition  Scents Collection - Blush Scent","3","36.00","108.00"
"3080","230","10125872  ","Mint Bliss„¢ Energizing Lotion for Feet & Legs","11","11.00","121.00"
"3081","230","10088998  ","TimeWise&reg; Age Minimize 3D&reg; 4-in-1 Cleanser - Combination/Oily Combination/Oily","1","24.00","24.00"
"3082","230","10136769  ","2-In-1 Body Wash & Shave","1","16.00","16.00"
"3083","230","10176090  ","TimeWise Miracle Set 3D&reg; - Combination/Oily Combination/Oily","1","110.00","110.00"
"3084","230","10134679  ","TimeWise&reg; Ultimate Miracle Set 3D&trade; - Combination/Oily Combination/Oily","3","165.00","495.00"
"3085","230","10188686  ","¡NUEVO! La Imagen (Invierno 2021), paq./10","2","3.50","7.00"
"3086","230","10160509  ","Mary Kay Unlimited® Lip Gloss Set Deluxe Mini (Single)","1","5.00","5.00"
"3087","230","10139840  ","TimeWise Repair® Revealing Radiance® Facial Peel Sample","5","2.00","10.00"
"3088","230","10095882  ","Lash Intensity® Mascara Black Deluxe Mini Black","3","3.00","9.00"
"3089","230","10175899  ","Silky Setting Powder Light-Medium Bronze","1","20.00","20.00"
"3090","230","10171886  ","TimeWise Replenishing Serum C+E®","2","58.00","116.00"
"3091","230","10122327  ","Powder Foundation Brush","3","14.00","42.00"
"3092","230","10120549  ","TimeWise Repair® Volu-Firm® Day Cream Sunscreen Broad Spectrum SPF 30*","1","52.00","52.00"
"3093","230","10094640  ","Gel Semi-Shine Lipstick Apple Berry","1","18.00","18.00"
"3094","230","10155315  ","Special-Edition  Pink Clay Mask","10","18.00","180.00"
"3095","230","10160886  ","Micellar Water","4","17.00","68.00"
"3096","231","10188690  ","The Look with Samplers “ Spanish (CFL)","16","0.70","11.20"
"3097","231","10188689  ","The Look with Samplers “ English (CFL)","2","0.70","1.40"
"3098","232","10188688  ","The Look with Samplers “ Spanish","26","0.70","18.20"
"3099","232","10188687  ","The Look with Samplers “ English","34","0.70","23.80"
"3100","233","10190118  ","11/21 Director Buzz Kit - Spanish","1","40.00","40.00"
"3101","234","10074680  ","Eye Primer","2","12.00","24.00"
"3102","234","10089645  ","Gel Semi-Matte Lipstick Poppy Please","1","18.00","18.00"
"3103","234","10153484  ","Mary Kay Unlimited® Lip Gloss Pink Fusion","2","16.00","32.00"
"3104","234","10153482  ","Mary Kay Unlimited® Lip Gloss Pink Ballerina","2","16.00","32.00"
"3105","234","10089644  ","Gel Semi-Matte Lipstick Always Apricot","2","18.00","36.00"
"3106","234","10080241  ","Oil-Free Eye Makeup Remover Deluxe Mini","5","2.50","12.50"
"3107","234","10150131  ","White Tea & Citrus Satin Body® Silkening Shea Lotion Deluxe Mini (single)","3","1.00","3.00"
"3108","234","10150126  ","White Tea & Citrus Satin Body® Indulgent Shea Wash Deluxe Mini (single)","3","1.00","3.00"
"3109","234","10150128  ","White Tea & Citrus Satin Body® Revitalizing Shea Scrub Deluxe Mini (single)","3","1.00","3.00"
"3110","234","10097538  ","White Tea & Citrus Satin Hands® Nourishing Shea Cream Sample ","2","8.00","16.00"
"3111","234","10099043  ","Satin Hands® Pampering Set Deluxe Mini - White Tea & Citrus","2","4.00","8.00"
"3112","234","10150133  ","Fragrance-Free Satin Hands® Deluxe Mini Set","2","4.00","8.00"
"3113","234","10107620  ","Mary Kay Chromafusion® Eye Shadow Onyx","3","8.00","24.00"
"3114","234","10089020  ","TimeWise Miracle Set 3D The Go Set - Combination/Oily Combination/Oily","1","25.00","25.00"
"3115","234","10089021  ","TimeWise Miracle Set 3D The Go Set® - Normal/Dry Normal/Dry","1","25.00","25.00"
"3116","234","10163901  ","Micellar Water Deluxe Mini","6","2.50","15.00"
"3117","234","10090131  ","Eyeliner MK Deep Brown","2","12.00","24.00"
"3118","234","10152557  ","Makeup Finishing Spray by SkindinÃ¤via","2","18.00","36.00"
"3119","234","10183260  ","Special-Edition  Face Towel","4","2.00","8.00"
"3120","234","10142167  ","TimeWise® Matte 3D Foundation Samples Beige N 190","1","1.50","1.50"
"3121","234","10142166  ","TimeWise® Matte 3D Foundation Samples Beige W 180","1","1.50","1.50"
"3122","234","10142169  ","TimeWise® Matte 3D Foundation Samples Beige N 210","1","1.50","1.50"
"3123","234","10142160  ","TimeWise® Matte 3D Foundation Samples Beige C 120","1","1.50","1.50"
"3124","234","10142163  ","TimeWise® Matte 3D Foundation Samples Beige N 150","2","1.50","3.00"
"3125","234","10142165  ","TimeWise® Matte 3D Foundation Samples Beige C 170","1","1.50","1.50"
"3126","234","10171880  ","Limited-Edition  Shimmer Liquid Eye Shadow Graphite","6","16.00","96.00"
"3127","234","10107064  ","Mary Kay Perfect Palette® (unfilled)","5","18.00","90.00"
"3128","234","10171881  ","Limited-Edition  Shimmer Liquid Eye Shadow Amethyst","8","16.00","128.00"
"3129","234","10090138  ","Eyeliner MK Steely","2","12.00","24.00"
"3130","234","10054105  ","Foundation Primer Sunscreen Broad Spectrum SPF 15*","4","20.00","80.00"
"3131","234","10093081  ","Lip Liner Light Nude","2","12.00","24.00"
"3132","234","10171069  ","Limited-Edition  Sparkle Lipstick Ruby","10","20.00","200.00"
"3133","234","10099963  ","TimeWise® Matte 3D Foundation Ivory N 160","1","25.00","25.00"
"3134","234","10143930  ","Mary Kay Chromafusion® Blush Juicy Peach","2","14.00","28.00"
"3135","234","10046188  ","Mary Kay Lash & Brow Building Serum®","1","36.00","36.00"
"3136","234","10190660  ","Indulge® Soothing Eye Gel","4","16.00","64.00"
"3137","234","10171074  ","Limited-Edition  Highlighter Rose Sapphire","5","16.00","80.00"
"3138","234","10171876  ","Limited-Edition  Nail Polish Rose Quartz","1","10.00","10.00"
"3139","234","10171877  ","Limited-Edition  Nail Polish Emerald","2","10.00","20.00"
"3140","234","10171072  ","Limited-Edition  Highlighter Canary Diamond","5","16.00","80.00"
"3141","234","10156069  ","Fragrance-Free Satin Hands® Nourishing Shea Cream","2","12.00","24.00"
"3142","234","10100876  ","TimeWise® Age-Fighting Lip Primer","3","25.00","75.00"
"3143","234","10072682  ","Extra Emollient Night Cream","1","15.00","15.00"
"3144","234","10175886  ","Limited-Edition  Matte + Shine Lip Set Rose Pink","7","28.00","196.00"
"3145","234","10175887  ","Limited-Edition  Matte + Shine Lip Set Cinnamon","6","28.00","168.00"
"3146","234","10186579  ","NEW! Limited-Edition Mary Kay Gift Box Set pk./3","12","6.00","72.00"
"3147","234","10089642  ","Gel Semi-Matte Lipstick Mauve Moment","2","18.00","36.00"
"3148","234","10153483  ","Mary Kay Unlimited® Lip Gloss Unique Mauve","2","16.00","32.00"
"3149","234","10166410  ","Limited-Edition  Lip Gloss Case Purchase With Purchase","3","5.00","15.00"
"3150","234","10107623  ","Mary Kay Chromafusion® Eye Shadow Gold Status","1","8.00","8.00"
"3151","234","10107601  ","Mary Kay Chromafusion® Eye Shadow Crystalline","2","8.00","16.00"
"3152","234","10107607  ","Mary Kay Chromafusion® Eye Shadow Cinnabar","3","8.00","24.00"
"3153","234","10107609  ","Mary Kay Chromafusion® Eye Shadow Rustic","3","8.00","24.00"
"3154","234","10107611  ","Mary Kay Chromafusion® Eye Shadow Hot Fudge","3","8.00","24.00"
"3155","234","10107612  ","Mary Kay Chromafusion® Eye Shadow Espresso","2","8.00","16.00"
"3156","234","10107622  ","Mary Kay Chromafusion® Eye Shadow Rose Gold","1","8.00","8.00"
"3157","234","10107624  ","Mary Kay Chromafusion® Eye Shadow Shiny Penny","2","8.00","16.00"
"3158","234","10107625  ","Mary Kay Chromafusion® Eye Shadow Burnished Bronze","2","8.00","16.00"
"3159","234","10107617  ","Mary Kay Chromafusion® Eye Shadow Granite","2","8.00","16.00"
"3160","234","10107627  ","Mary Kay Chromafusion® Eye Shadow Blossom","2","8.00","16.00"
"3161","234","10107631  ","Mary Kay Chromafusion® Eye Shadow Golden Mauve","1","8.00","8.00"
"3162","234","10107632  ","Mary Kay Chromafusion® Eye Shadow Soft Heather","3","8.00","24.00"
"3163","234","10107633  ","Mary Kay Chromafusion® Eye Shadow Frozen Iris","1","8.00","8.00"
"3164","234","10107634  ","Mary Kay Chromafusion® Eye Shadow Sweet Plum","3","8.00","24.00"
"3165","234","10107642  ","Mary Kay Chromafusion® Eye Shadow Moss","2","8.00","16.00"
"3166","234","10107619  ","Mary Kay Chromafusion® Eye Shadow Shadow","3","8.00","24.00"
"3167","234","10107618  ","Mary Kay Chromafusion® Eye Shadow Stormy","1","8.00","8.00"
"3168","234","10108837  ","TimeWise Repair® Volu-Firm® Advanced Lifting Serum","1","70.00","70.00"
"3169","234","10120915  ","Limited-Edition  Mary Kay At Play® Highlighting Stick - Rose Gold Glow Rose Gold Glow","2","11.00","22.00"
"3170","234","10122324  ","Eye Smudger Brush","2","12.00","24.00"
"3171","234","10122323  ","All-Over Eye Shadow Brush","2","12.00","24.00"
"3172","234","10122325  ","Liquid Foundation Brush","3","14.00","42.00"
"3173","234","10122321  ","Cheek Brush","2","14.00","28.00"
"3174","234","10090136  ","Eyeliner MK Black","5","12.00","60.00"
"3175","234","10127614  ","Precision Brow Liner Dark Brunette","2","14.00","28.00"
"3176","234","10149210  ","Liquid Eye Shadow Pink Starlight","5","14.00","70.00"
"3177","234","10186582  ","Limited-Edition  12 Days of Faves","6","99.00","594.00"
"3178","234","10150071  ","TimeWise Body Targeted-Action® Toning Lotion","5","32.00","160.00"
"3179","234","10142038  ","Lash Love Fanorama„¢ Mascara I ¥ black","7","16.00","112.00"
"3180","234","10125872  ","Mint Bliss„¢ Energizing Lotion for Feet & Legs","12","11.00","132.00"
"3181","234","10143926  ","Mary Kay Chromafusion® Blush Darling Pink","1","14.00","14.00"
"3182","234","10143928  ","Mary Kay Chromafusion® Blush Shy Blush","2","14.00","28.00"
"3183","234","10143929  ","Mary Kay Chromafusion® Blush Rogue Rose","1","14.00","14.00"
"3184","234","10143931  ","Mary Kay Chromafusion® Blush Hot Coral","2","14.00","28.00"
"3185","234","10143933  ","Mary Kay Chromafusion® Blush Golden Copper","2","14.00","28.00"
"3186","234","10143935  ","Mary Kay Chromafusion® Blush Wineberry","2","14.00","28.00"
"3187","234","10072824  ","CC Cream Sunscreen Broad Spectrum SPF 15* Medium to Deep","1","22.00","22.00"
"3188","234","10114893  ","Limited-Edition  Eyelash Curler","3","12.00","36.00"
"3189","234","10177982  ","Limited-Edition  Mary Kay At Play® Metallic Liquid Eyeliner COPPER","8","12.00","96.00"
"3190","234","10171078  ","Limited-Edition  Precious Gems Trend Collection Bag","4","5.00","20.00"
"3191","234","10177981  ","Limited-Edition  Mary Kay At Play® Metallic Liquid Eyeliner SILVER","8","12.00","96.00"
"3192","234","10092185  ","Undereye Corrector Undereye Corrector","1","16.00","16.00"
"3193","234","10026925  ","TimeWise® Age-Fighting Moisturizer Normal/Dry","1","24.00","24.00"
"3194","234","10188886  ","NEW! The Look (Holiday 2021), pk./10","2","3.50","7.00"
"3195","234","10193032  ","¡REVISADO! Folleto de anfitriona (VersiÃ³n 5/21), paq./10","1","1.50","1.50"
"3196","234","10151783  ","TimeWise® Microdermabrasion Plus Set Deluxe Mini","2","4.00","8.00"
"3197","234","10083157  ","Lash Love® Mascara Deluxe Mini I ¥ Black","2","2.00","4.00"
"3198","234","10179677  ","TimeWise® Miracle Set 3D„¢ Sample Sets, pk./3 (Normal/Dry) Normal/Dry","2","3.00","6.00"
"3199","234","10179678  ","TimeWise® Miracle Set 3D„¢ Sample Sets, pk./3 (Combination/Oily) Combination/Oily","2","3.00","6.00"
"3200","234","10160429  ","TimeWise® Microdermabrasion Plus Sample Set, pk./1","2","2.00","4.00"
"3201","234","10127988  ","Gel Semi-Matte Lipstick Samples, strip/8 - Always Apricot Always Apricot","1","1.50","1.50"
"3202","234","10715000  ","enriching women's lives® Car Decal","2","0.75","1.50"
"3203","234","10186563  ","Limited Edition  Gift-with-Purchase Mint Bliss„¢ Socks","12","0.00","0.00"
"3204","234","10193192  ","Powered by Pink -  September 2021 Jewelry","1","0.00","0.00"
"3205","235","10029726  ","Oil-Free Eye Makeup Remover","1","17.00","17.00"
"3206","235","10102790  ","Fragrance-Free Satin Hands® Nourishing Shea Cream Sample","1","0.00","0.00"
"3207","235","10030614  ","Ultimate Mascara„¢ Sample Black","1","0.00","0.00"
"3208","236","10155315  ","Special-Edition  Pink Clay Mask","10","18.00","180.00"
"3209","236","10171069  ","Limited-Edition  Sparkle Lipstick Ruby","1","20.00","20.00"
"3210","236","10171068  ","Limited-Edition  Sparkle Lipstick Sunstone","9","20.00","180.00"
"3211","236","10171876  ","Limited-Edition  Nail Polish Rose Quartz","5","10.00","50.00"
"3212","236","10171877  ","Limited-Edition  Nail Polish Emerald","4","10.00","40.00"
"3213","236","10162416  ","Berry & Vanilla Scented Body Lotion Berry & Vanilla","2","14.00","28.00"
"3214","236","10162443  ","Berry & Vanilla Scented Shower Gel Berry & Vanilla","1","14.00","14.00"
"3215","236","10178735  ","Fragrance-Free Satin Hands® Shea Hand Sanitizer","12","8.00","96.00"
"3216","236","10031541  ","Intense Moisturizing Cream (Dry)","2","32.00","64.00"
"3217","236","10193191  ","Powered by Pink - August  2021 Jewelry","1","0.00","0.00"
"3218","236","10136769  ","2-In-1 Body Wash & Shave","4","16.00","64.00"
"3219","236","10090638  ","White Tea & Citrus Satin Hands® Pampering Set","2","36.00","72.00"
"3220","236","10017657  ","Ultimate Mascara„¢ Black","3","15.00","45.00"
"3221","236","10127613  ","Precision Brow Liner Brunette","2","14.00","28.00"
"3222","236","10088998  ","TimeWise&reg; Age Minimize 3D&reg; 4-in-1 Cleanser - Combination/Oily Combination/Oily","2","24.00","48.00"
"3223","236","10176090  ","TimeWise Miracle Set 3D&reg; - Combination/Oily Combination/Oily","1","110.00","110.00"
"3224","236","10160886  ","Micellar Water","10","17.00","170.00"
"3225","237","10141205  ","Waterproof Liquid Eyeliner Pen Intense Black","1","16.00","16.00"
"3226","237","10166411  ","Special-Edition  Travel Color Bag","1","16.00","16.00"
"3227","237","10030614  ","Ultimate Mascara„¢ Sample Black","1","0.00","0.00"
"3228","237","10101221  ","White Tea & Citrus Satin Hands® Nourishing Shea Cream Sample","1","0.00","0.00"
"3229","238","10088998  ","TimeWise&reg; Age Minimize 3D&reg; 4-in-1 Cleanser - Combination/Oily Combination/Oily","1","24.00","24.00"
"3230","238","10160886  ","Micellar Water","1","17.00","17.00"
"3231","238","10160292  ","Clear Proof® Deep-Cleansing Charcoal Mask Sample, pk./1 CDS Free","1","0.00","0.00"
"3232","238","10186902  ","La imagen (OtoÃ±o 2021), paq./1 - CDS Free","1","0.00","0.00"
"3233","239","10176089  ","TimeWise Miracle Set 3D&reg; - Normal/Dry Normal/Dry","5","120.00","600.00"
"3234","239","10160886  ","Micellar Water","2","18.00","36.00"
"3235","239","10072823  ","CC Cream Sunscreen Broad Spectrum SPF 15* Light to Medium","2","22.00","44.00"
"3236","239","10092193  ","Perfecting Concealer Light Beige","2","16.00","32.00"
"3237","239","10176090  ","TimeWise Miracle Set 3D&reg; - Combination/Oily Combination/Oily","3","120.00","360.00"
"3238","239","10206447  ","Eye Favorites Bundle 2023","2","110.00","220.00"
"3239","239","10118434  ","TimeWise Repair® Volu-Firm® Set","1","215.00","215.00"
"3240","239","10098324  ","White Tea & Citrus Satin Lips® Set","3","22.00","66.00"
"3241","239","10090638  ","White Tea & Citrus Satin Hands® Pampering Set","1","36.00","36.00"
"3242","239","10149098  ","Facial Cloths (Disposable), pk./30","3","2.25","6.75"
"3243","239","10200546  ","Special-Edition  Skinvigorate Sonic„¢ Stand","1","5.00","5.00"
"3244","239","10124547  ","Doe-Foot Applicators","2","1.00","2.00"
"3245","239","10003370  ","Ultimate Mascara„¢ Sample Wands, pk./15","1","1.50","1.50"
"3246","239","10201519  ","Special-Edition  Skin Care Sidekick Set","1","0.00","0.00"
"3247","239","10214147  ","Golden Rules - March 2023 Collection Piece","1","0.00","0.00"
"3248","240","10188646  ","The Look with Samplers “ Spanish","22","0.70","15.40"
"3249","240","10188645  ","The Look with Samplers “ English","29","0.70","20.30"
"3250","241","08152678  ","You're a Red! Motivational Postcards pk.10  Spanish","2","2.00","4.00"
"3251","241","08185923  ","NEW! Pearls of Sharing Earrings","2","4.00","8.00"
"3252","241","08185924  ","NEW! Pearls of Sharing Necklace","2","5.00","10.00"
"3253","241","08185926  ","NEW! Pearls of Sharing Bracelet","2","5.00","10.00"
"3254","241","08069104  ","Miss Unit Go Give® Charm","1","5.00","5.00"
"3255","241","10997700  ","Logo Pin","8","2.25","18.00"
"3256","241","08187837  ","Seminar 2021 Sashes (Set of 5)","1","15.00","15.00"
"3257","241","08049316  ","Gold Medal Charm","2","2.50","5.00"
"3258","241","08049326  ","Silver Medal Charm","2","2.50","5.00"
"3259","241","08049325  ","Bronze Medal Charm","2","2.50","5.00"
"3260","241","08169298  ","2020-2023 Red Jacket Collection bilingual postcard (pack of 10)","1","2.00","2.00"
"3261","241","08133800  ","Senior Consultant Pin Enhancer","2","2.00","4.00"
"3262","242","10186902  ","La imagen (OtoÃ±o 2021), paq./1 - CDS Free","1","0.00","0.00"
"3263","242","10177852  ","CC Cream Sunscreen Broad Spectrum SPF15 Samples, pk/1 CDS Free - Medium to Deep","1","0.00","0.00"
"3264","242","10017658  ","Ultimate Mascara„¢ Black Brown","1","15.00","15.00"
"3265","242","10029726  ","Oil-Free Eye Makeup Remover","1","17.00","17.00"
"3266","243","06178575  ","All Star Pearl -  Ted Baker Ring Handle Bucket Bag","1","0.00","0.00"
"3267","243","06070825  ","New Director Class - Corsage","1","0.00","0.00"
"3268","243","06169757  ","New Director Class - Kate Spade Handbag","1","0.00","0.00"
"3269","243","06169755  ","New Director Class - Kendra Scott Jewelry Set","1","0.00","0.00"
"3270","244","10171068  ","Limited-Edition  Sparkle Lipstick Sunstone","4","20.00","80.00"
"3271","244","10155315  ","Special-Edition  Pink Clay Mask","5","18.00","90.00"
"3272","244","10171072  ","Limited-Edition  Highlighter Canary Diamond","4","16.00","64.00"
"3273","244","10200114  ","REVISADO! Juego de manteles de cuidado de la piel (VersiÃ³n 8/21), paq./4 ","1","2.50","2.50"
"3274","244","10151985  ","CC Cream Sunscreen Broad Spectrum SPF15 Samples, strips/6 - Light to Medium Light to Medium","1","1.50","1.50"
"3275","244","10171069  ","Limited-Edition  Sparkle Lipstick Ruby","5","20.00","100.00"
"3276","244","10166410  ","Limited-Edition  Lip Gloss Case Purchase With Purchase","3","5.00","15.00"
"3277","244","10162408  ","Apple & Almond Scented Shower Gel Apple & Almond","5","14.00","70.00"
"3278","244","10153475  ","Mary Kay Unlimited® Lip Gloss Iconic Red","1","16.00","16.00"
"3279","244","10153482  ","Mary Kay Unlimited® Lip Gloss Pink Ballerina","2","16.00","32.00"
"3280","244","10153485  ","Mary Kay Unlimited® Lip Gloss Berry Delight","1","16.00","16.00"
"3281","244","10153489  ","Mary Kay Unlimited® Lip Gloss Nude Blush","1","16.00","16.00"
"3282","244","10153486  ","Mary Kay Unlimited® Lip Gloss Fancy Nancy","1","16.00","16.00"
"3283","244","10089640  ","Gel Semi-Matte Lipstick Bashful You","1","18.00","18.00"
"3284","244","10089644  ","Gel Semi-Matte Lipstick Always Apricot","1","18.00","18.00"
"3285","244","10162409  ","Apple & Almond Scented Body Lotion Apple & Almond","5","14.00","70.00"
"3286","244","10100019  ","TimeWise® Luminous 3D Foundation Beige W 100","1","25.00","25.00"
"3287","244","10162416  ","Berry & Vanilla Scented Body Lotion Berry & Vanilla","3","14.00","42.00"
"3288","244","10162443  ","Berry & Vanilla Scented Shower Gel Berry & Vanilla","3","14.00","42.00"
"3289","244","10142157  ","TimeWise® Matte 3D Foundation Samples Ivory W 150","1","1.50","1.50"
"3290","244","10142156  ","TimeWise® Matte 3D Foundation Samples Ivory N 160","1","1.50","1.50"
"3291","244","10150131  ","White Tea & Citrus Satin Body® Silkening Shea Lotion Deluxe Mini (single)","3","1.00","3.00"
"3292","244","10150126  ","White Tea & Citrus Satin Body® Indulgent Shea Wash Deluxe Mini (single)","3","1.00","3.00"
"3293","244","10150128  ","White Tea & Citrus Satin Body® Revitalizing Shea Scrub Deluxe Mini (single)","3","1.00","3.00"
"3294","244","10199959  ","¡REVISADO! PÃ¡ginas del rotafolios (VersiÃ³n 8/21)","1","3.00","3.00"
