DATE, AMOUNT, TYPE, KIND, DETAILS, CODE
2/1/2017,-$6.24,Exhibition,TO uber,OTHER DECREASE,10006
2/1/2017,-$28.11,Exhibition,TO uber,OTHER DECREASE,10006
2/1/2017,-$3.05,uber,uber,OTHER DECREASE,10026
2/1/2017,-$5.35,uber,uber,OTHER DECREASE,10026
2/1/2017,-$5.35,uber,uber,OTHER DECREASE,10026
2/1/2017,"$3,488.00",SALE,Y/ P G ($500),TELLER DEPOSIT,10024
2/2/2017,-$108.84,Meal,Client ,DEBIT PURCHASE                Jan 30 7690,10013
2/2/2017,-$6.07,Exhibition,TO Anawalt,DEBIT PURCHASE                Jan 31 0895,10006
2/2/2017,-$23.22,Exhibition,TO Anawalt,DEBIT PURCHASE                Jan 31 0895,10006
2/2/2017,-$42.65,Exhibition,TO Anawalt,DEBIT PURCHASE                Jan 31 0895,10006
2/2/2017,-$271.86,Exhibition,TO Best Buy,DEBIT PIN PURCHASE,10006
2/2/2017,-$141.64,Exhibition,TO Blick,DEBIT PURCHASE                Jan 31 7690,10006
2/2/2017,-$454.23,Exhibition,TO CS ReEm,CHECK   15267,10006
2/2/2017,"-$4,353.33",Exhibition,TO Shipping CT,DEBIT PURCHASE                Jan 31 7690,10006
2/2/2017,-$5.35,uber,uber,OTHER DECREASE,10026
2/2/2017,-$6.35,uber,uber,OTHER DECREASE,10026
2/3/2017,"$5,000.00",SALE,Annabeth Marks,INCOMING WIRE,10024
2/3/2017,-$29.16,HHA Office,Google,DEBIT PURCHASE                Feb 01 0895,10013
2/3/2017,-$206.23,Utility,Internet,DEBIT PURCHASE                Jan 31 0895,10027
2/3/2017,-$119.14,Utility,phone,DEBIT PURCHASE                Feb 01 7690,10027
2/3/2017,-$18.21,Research,Sirius,DEBIT PURCHASE                Feb 02 7690,10018
2/3/2017,-$43.47,Exhibition,TO Anawalt,DEBIT PURCHASE                Feb 01 0895,10006
2/3/2017,-$78.66,Exhibition,TO Anawalt,DEBIT PURCHASE                Feb 01 0895,10006
2/3/2017,-$1.69,Exhibition,TO Anawalt,DEBIT PURCHASE                Feb 01 0895,10006
2/3/2017,-$243.55,Exhibition,TO Best Buy,DEBIT PIN PURCHASE,10006
2/3/2017,-$29.79,Exhibition,TO Restaurant,OTHER DECREASE,10006
2/6/2017,-$15.00,Bank Fee,Bank Fee,ACH Electronic Debit,10003
2/6/2017,-$239.00,Storage,Whittier,DEBIT PURCHASE                Feb 01 0895,10017
2/6/2017,-$239.00,Storage,Whittier,DEBIT PURCHASE                Feb 01 0895,10017
2/6/2017,"-$1,000.00",ER,ER,CHECK   15273,10005
2/6/2017,-$73.13,HHA Misc. ,Parking,DEBIT PIN PURCHASE,10020
2/6/2017,"-$3,250.00",Artist Payment,RM,CHECK   15265,10002
2/6/2017,-$5.38,Meal,HHA Office Studio L,DEBIT PIN PURCHASE,10013
2/6/2017,-$17.53,Meal,HHA Office Studio L,DEBIT PIN PURCHASE,10013
2/6/2017,-$8.77,Exhibition,TO Anawalt,DEBIT PURCHASE                Feb 02 0895,10006
2/6/2017,-$49.11,Exhibition,TO Anawalt,DEBIT PURCHASE                Feb 02 0895,10006
2/6/2017,-$74.41,Exhibition,TO Anawalt,DEBIT PURCHASE                Feb 02 0895,10006
2/6/2017,-$141.36,Exhibition,TO Anawalt,DEBIT PURCHASE                Feb 02 7690,10006
2/6/2017,-$98.40,Exhibition,TO Restaurant,DEBIT PURCHASE                Feb 02 7690,10006
2/6/2017,-$5.35,Exhibition,TO uber,OTHER DECREASE,10006
2/6/2017,-$5.35,Exhibition,TO uber,OTHER DECREASE,10006
2/6/2017,-$5.51,Exhibition,TO uber,OTHER DECREASE,10006
2/6/2017,-$6.35,Exhibition,TO uber,OTHER DECREASE,10006
2/6/2017,-$8.95,Exhibition,TO uber,OTHER DECREASE,10006
2/6/2017,-$9.00,Exhibition,TO uber,OTHER DECREASE,10006
2/6/2017,-$17.48,Exhibition,TO uber,OTHER DECREASE,10006
2/6/2017,-$29.16,Exhibition,TO uber,OTHER DECREASE,10006
2/6/2017,-$3.03,uber,uber,OTHER DECREASE,10026
2/6/2017,-$3.05,uber,uber,OTHER DECREASE,10026
2/6/2017,-$6.53,uber,uber,OTHER DECREASE,10026
2/6/2017,-$6.55,uber,uber,OTHER DECREASE,10026
2/6/2017,-$7.92,uber,uber,OTHER DECREASE,10026
2/6/2017,-$9.57,uber,uber,OTHER DECREASE,10026
2/6/2017,-$10.19,uber,uber,OTHER DECREASE,10026
2/7/2017,-$6.91,Bank Fee,Bank Fee,FOREIGN FEE,10003
2/7/2017,-$43.75,Meal,Client ,DEBIT PURCHASE                Feb 04 7690,10013
2/7/2017,"-$4,985.00",RENT,Holllywood,CHECK   15271,10017
2/7/2017,-$345.28,Art Fair,MACO labor - cash,NONCITIBANK ATM WITHDRAWAL,10001
2/7/2017,-$5.26,HHA Misc. ,Parking,DEBIT PURCHASE                Feb 05 7690,10020
2/7/2017,-$10.76,Meal,HHA Office Studio L,DEBIT PURCHASE                Feb 02 7690,10013
2/7/2017,-$22.16,Exhibition,TO Anawalt,DEBIT PURCHASE                Feb 04 0895,10006
2/7/2017,-$44.34,Exhibition,TO Anawalt,DEBIT PURCHASE                Feb 04 0895,10006
2/7/2017,-$47.44,Exhibition,TO Anawalt,DEBIT PURCHASE                Feb 03 0895,10006
2/7/2017,-$108.29,Exhibition,TO Anawalt,DEBIT PURCHASE                Feb 03 0895,10006
2/7/2017,-$157.93,Opening ,TO Bev Mo,DEBIT PURCHASE                Feb 04 7690,10014
2/7/2017,"-$1,473.45",Opening ,TO Lucy's,DEBIT PURCHASE                Feb 05 7690,10014
2/7/2017,-$691.50,Exhibition,TO Prep,CHECK   15274,10006
2/7/2017,-$3.05,uber,uber,OTHER DECREASE,10026
2/8/2017,-$151.00,Utility,LADWP,OTHER DECREASE,10027
2/8/2017,-$3.05,uber,uber,OTHER DECREASE,10026
2/8/2017,-$5.35,uber,uber,OTHER DECREASE,10026
2/8/2017,-$9.73,uber,uber,OTHER DECREASE,10026
2/8/2017,-$11.95,uber,uber,OTHER DECREASE,10026
2/8/2017,-$14.76,uber,uber,OTHER DECREASE,10026
2/8/2017,-$32.65,uber,uber,OTHER DECREASE,10026
2/9/2017,-$4.01,Bank Fee,Bank Fee,FOREIGN FEE,10003
2/9/2017,-$14.67,Meal,Client ,DEBIT PURCHASE                Feb 07 7690,10013
2/9/2017,-$41.70,Meal,Client ,DEBIT PURCHASE                Feb 07 7690,10013
2/9/2017,-$13.08,Art Fair,MACO - Travel meal,DEBIT PURCHASE                Feb 07 7690,10001
2/9/2017,-$200.47,Art Fair,MACO Travel,DEBIT PURCHASE                Feb 07 7690,10001
2/9/2017,-$5.38,HHA Misc. ,Walgreens,DEBIT PURCHASE                Feb 06 7690,10013
2/10/2017,"-$1,000.00",ER,ER,CHECK   15268,10005
2/10/2017,-$140.00,Photography,TO Sammys,DEBIT PURCHASE                Feb 06 7690,10015
2/13/2017,$289.35,SALE,Books,ACH Electronic Credit,10024
2/13/2017,-$99.00,HHA Office,Gallery Manager,DEBIT PURCHASE                Feb 09 0895,10013
2/14/2017,-$0.99,HHA Office,Apple app,DEBIT PURCHASE                Feb 09 0895,10013
2/14/2017,-$1.96,Bank Fee,Bank Fee,FOREIGN FEE,10003
2/14/2017,-$3.05,Bank Fee,Bank Fee,FOREIGN FEE,10003
2/14/2017,-$4.54,Bank Fee,Bank Fee,OTHER DECREASE,10003
2/14/2017,"-$3,569.78",Labor,CS,OTHER DECREASE,10010
2/14/2017,-$97.78,Art Fair,MACO - Travel meal,DEBIT PURCHASE                Feb 12 7690,10001
2/14/2017,-$152.72,Art Fair,MACO - Travel meal,DEBIT PURCHASE                Feb 11 7690,10001
2/15/2017,-$0.49,Bank Fee,Bank Fee,FOREIGN FEE,10003
2/15/2017,-$14.05,Art Fair,MACO - Travel meal,DEBIT PURCHASE                Feb 13 7690,10001
2/15/2017,-$24.36,Art Fair,MACO - Travel meal,DEBIT PURCHASE                Feb 13 7690,10001
2/15/2017,-$40.49,Art Fair,MACO - Travel meal,OTHER DECREASE,10001
2/15/2017,-$71.28,Art Fair,MACO Travel ,DEBIT PURCHASE                Feb 12 7690,10001
2/15/2017,-$6.57,Art Fair,MACO Uber,OTHER DECREASE,10001
2/15/2017,-$8.00,Art Fair,MACO Uber,OTHER DECREASE,10001
2/15/2017,-$34.80,Art Fair,MACO Uber,OTHER DECREASE,10001
2/15/2017,-$105.00,HHA Office,Mailchimp,DEBIT PURCHASE                Feb 13 7690,10013
2/15/2017,"$23,000.00",SALE,TO,TELLER DEPOSIT                 Feb 15 16:16,10024
2/15/2017,-$2.99,uber,uber,OTHER DECREASE,10026
2/15/2017,-$3.12,uber,uber,OTHER DECREASE,10026
2/16/2017,-$285.12,Art Fair,MACO -  CS reem,OTHER DECREASE,10001
2/16/2017,-$31.53,Art Fair,MACO - Travel meal,DEBIT PURCHASE                Feb 13 7690,10001
2/16/2017,-$2.99,Art Fair,MACO Uber,OTHER DECREASE,10001
2/16/2017,-$4.58,Art Fair,MACO Uber,OTHER DECREASE,10001
2/17/2017,-$171.83,HHA Office,Apple,DEBIT PURCHASE                Feb 15 7690,10013
2/17/2017,-$40.50,HHA Office,Intuit,DEBIT PURCHASE                Feb 15 0895,10013
2/17/2017,-$2.99,Art Fair,MACO Uber,OTHER DECREASE,10001
2/17/2017,-$3.05,Art Fair,MACO Uber,OTHER DECREASE,10001
2/17/2017,-$5.00,Art Fair,MACO Uber,OTHER DECREASE,10001
2/17/2017,-$7.30,Art Fair,MACO Uber,OTHER DECREASE,10001
2/21/2017,-$109.41,Art Fair,MACO - Travel meal,DEBIT PIN PURCHASE,10001
2/21/2017,-$1.29,Art Fair,MACO Uber,OTHER DECREASE,10001
2/21/2017,-$3.05,Art Fair,MACO Uber,OTHER DECREASE,10001
2/21/2017,-$3.06,Art Fair,MACO Uber,OTHER DECREASE,10001
2/21/2017,-$3.60,Art Fair,MACO Uber,OTHER DECREASE,10001
2/21/2017,-$3.99,Art Fair,MACO Uber,OTHER DECREASE,10001
2/21/2017,-$5.35,Art Fair,MACO Uber,OTHER DECREASE,10001
2/21/2017,-$7.73,Art Fair,MACO Uber,OTHER DECREASE,10001
2/21/2017,-$9.40,Art Fair,MACO Uber,OTHER DECREASE,10001
2/21/2017,-$10.03,Art Fair,MACO Uber,OTHER DECREASE,10001
2/21/2017,-$13.48,Art Fair,MACO Uber,OTHER DECREASE,10001
2/21/2017,-$122.49,Exhibition,TO Anawalt ,DEBIT PIN PURCHASE,10006
2/21/2017,-$141.30,Exhibition,TO Anawalt ,DEBIT PIN PURCHASE,10006
2/21/2017,-$400.00,Production,TO UFO archive,NONCITIBANK ATM WITHDRAWAL,10016
2/21/2017,-$400.00,Production,TO UFO archive,NONCITIBANK ATM WITHDRAWAL,10016
2/21/2017,-$500.00,Production,TO UFO archive,CHECK   15248,10016
2/21/2017,-$200.00,Production,TO UFO archive,NONCITIBANK ATM WITHDRAWAL,10016
2/22/2017,"-$1,521.41",HHA Office,Apple,DEBIT PURCHASE                Feb 20 7690,10013
2/22/2017,-$53.77,ER,ER,DEBIT PURCHASE                Feb 18 7690,10005
2/22/2017,"-$1,023.00",Labor,HL,CHECK   15270,10010
2/22/2017,-$17.24,Art Fair,MACO Travel,DEBIT PURCHASE                Feb 18 7690,10001
2/22/2017,-$69.18,Art Fair,MACO Travel,OTHER DECREASE,10001
2/22/2017,-$193.58,Art Fair,MACO Travel,DEBIT PURCHASE                Feb 18 7690,10001
2/22/2017,-$4.65,Art Fair,MACO Uber,OTHER DECREASE,10001
2/22/2017,-$8.79,Art Fair,MACO Uber,OTHER DECREASE,10001
2/22/2017,$10.75,ER,Return,DEBIT RETURN,10005
2/22/2017,-$31.00,LA Transport,Zip,DEBIT PURCHASE                Feb 20 7690,10009
2/23/2017,-$32.61,HHA Office,buisness cards,OTHER DECREASE,10013
2/23/2017,-$285.12,Labor,CS,OTHER DECREASE,10010
2/23/2017,-$84.74,Utility,Internet,DEBIT PURCHASE                Feb 21 7690,10027
2/23/2017,-$3.02,uber,uber,OTHER DECREASE,10026
2/23/2017,-$5.81,uber,uber,OTHER DECREASE,10026
2/24/2017,-$200.00,HHA Misc. ,Cash,NONCITIBANK ATM WITHDRAWAL,10021
2/24/2017,-$28.64,Meal,Client CS,DEBIT PURCHASE                Feb 22 7690,10013
2/24/2017,-$117.00,ER,ER,DEBIT PURCHASE                Feb 22 7690,10005
2/24/2017,-$240.00,HHA Office,Intuit,DEBIT PURCHASE                Feb 22 0895,10013
2/24/2017,"-$1,438.80",Exhibition,TO amazon,DEBIT PURCHASE                Feb 21 7690,10006
2/24/2017,-$5.38,uber,uber,OTHER DECREASE,10026
2/24/2017,-$5.97,uber,uber,OTHER DECREASE,10026
2/24/2017,-$5.97,uber,uber,OTHER DECREASE,10026
2/24/2017,-$7.12,uber,uber,OTHER DECREASE,10026
2/24/2017,-$9.44,uber,uber,OTHER DECREASE,10026
2/24/2017,-$9.73,uber,uber,OTHER DECREASE,10026
2/24/2017,-$11.54,uber,uber,OTHER DECREASE,10026
2/24/2017,-$20.19,uber,uber,OTHER DECREASE,10026
2/27/2017,-$38.72,Meal,Client ,DEBIT PURCHASE                Feb 22 7690,10013
2/27/2017,"-$3,569.78",Labor,CS,OTHER DECREASE,10010
2/27/2017,-$84.09,Insurance,Travelers,OTHER DECREASE,10008
2/27/2017,-$5.67,uber,uber,OTHER DECREASE,10026
2/27/2017,-$6.17,uber,uber,OTHER DECREASE,10026
2/27/2017,-$6.23,uber,uber,OTHER DECREASE,10026
2/27/2017,-$8.05,uber,uber,OTHER DECREASE,10026
2/27/2017,-$9.90,uber,uber,OTHER DECREASE,10026
2/27/2017,-$10.64,uber,uber,OTHER DECREASE,10026
2/27/2017,-$18.99,uber,uber,OTHER DECREASE,10026
2/27/2017,-$25.25,uber,uber,OTHER DECREASE,10026
2/28/2017,-$6.05,ER,ER,DEBIT PURCHASE                Feb 24 7690,10005
2/28/2017,-$37.00,Art Fair,MACO Travel,DEBIT PURCHASE                Feb 24 7690,10001
2/28/2017,-$16.75,Art Fair,MACO Travel ,DEBIT PURCHASE                Feb 24 7690,10001
2/28/2017,-$5.00,uber,uber,OTHER DECREASE,10026
3/1/2017,-$98.14,Meal,Artist BOC,DEBIT PURCHASE                Feb 27 7690,10012
3/1/2017,-$11.99,Research ,Netflix,DEBIT PURCHASE                Feb 27 7690,10018
3/1/2017,-$6.83,uber,uber,OTHER DECREASE,10026
3/1/2017,"-$1,166.54",uber,uber,OTHER DECREASE,10026
3/2/2017,-$60.28,Utility,ADT,DEBIT PURCHASE                Feb 28 7690,10027
3/2/2017,-$60.00,HHA Misc. ,Cash,NONCITIBANK ATM WITHDRAWAL,10021
3/2/2017,-$160.00,Labor,gallery sitting,CHECK   15280,10010
3/3/2017,-$18.48,Building,Anawalt ,DEBIT PURCHASE                Mar 01 0895,10004
3/3/2017,-$3.45,Bank Fee,Bank Fee,OTHER DECREASE,10003
3/3/2017,-$133.35,Utility,phone ,DEBIT PURCHASE                Mar 01 7690,10027
3/3/2017,-$18.21,Research ,Sirius,DEBIT PURCHASE                Mar 02 7690,10018
3/3/2017,-$24.23,HHA Office,Staples,DEBIT PURCHASE                Mar 01 0895,10013
3/6/2017,-$239.00,storage,Whittier,DEBIT PURCHASE                Mar 01 0895,10017
3/6/2017,-$239.00,storage,Whittier,DEBIT PURCHASE                Mar 01 0895,10017
3/6/2017,-$81.02,Labor,gallery sitting,CHECK   15279,10010
3/6/2017,-$230.00,Labor,gallery sitting,CHECK   15285,10010
3/6/2017,-$29.16,HHA Office,google,DEBIT PURCHASE                Mar 02 0895,10013
3/6/2017,-$297.79,Exhibition,Tar Pits Home Depot,DEBIT PURCHASE                Mar 01 7690,10006
3/6/2017,"-$1,070.00",Exhibition,TO Prep,CHECK   15278,10006
3/6/2017,-$2.96,uber,uber,DEBIT PURCHASE                Mar 02 0895,10026
3/6/2017,-$2.99,uber,uber,OTHER DECREASE,10026
3/6/2017,-$2.99,uber,uber,OTHER DECREASE,10026
3/6/2017,-$3.35,uber,uber,OTHER DECREASE,10026
3/6/2017,-$3.68,uber,uber,OTHER DECREASE,10026
3/6/2017,-$5.65,uber,uber,OTHER DECREASE,10026
3/6/2017,-$5.97,uber,uber,OTHER DECREASE,10026
3/6/2017,-$6.11,uber,uber,OTHER DECREASE,10026
3/6/2017,-$6.23,uber,uber,OTHER DECREASE,10026
3/6/2017,-$6.49,uber,uber,OTHER DECREASE,10026
3/6/2017,-$7.65,uber,uber,OTHER DECREASE,10026
3/6/2017,-$30.49,HHA Misc. ,Walgreens,DEBIT PURCHASE                Mar 02 7690,10013
3/7/2017,-$172.66,HHA Office,Apple,DEBIT PURCHASE                Mar 02 7690,10013
3/7/2017,-$182.99,Meal,Client Dinner,DEBIT PURCHASE                Mar 04 7690,10013
3/7/2017,-$103.93,Utility,Internet,DEBIT PURCHASE                Mar 04 0895,10027
3/7/2017,-$8.53,Meal,HHA Office,DEBIT PURCHASE                Mar 04 7690,10013
3/7/2017,-$144.00,Exhibition,TO Prep,CHECK   15277,10006
3/7/2017,-$144.00,Exhibition,TO Prep,CHECK   15283,10006
3/7/2017,-$162.00,Exhibition,TO Prep,CHECK   15282,10006
3/7/2017,-$4.35,HHA Misc. ,Walgreens,DEBIT PURCHASE                Mar 04 7690,10013
3/7/2017,-$15.74,HHA Misc. ,Walgreens,DEBIT PURCHASE                Mar 03 7690,10013
3/7/2017,$0.55,HHA Office,Walgreens,DEBIT RETURN,10013
3/8/2017,-$4.25,Meal,Curator,DEBIT PURCHASE                Mar 05 7690,10013
3/8/2017,-$240.00,Artist Payment,Sales Commission Marco Giordano,CHECK   15281,10002
3/8/2017,-$2.99,uber,uber,OTHER DECREASE,10026
3/8/2017,-$5.17,uber,uber,OTHER DECREASE,10026
3/9/2017,-$70.70,Meal,Client Dinner,DEBIT PURCHASE                Mar 06 7690,10013
3/9/2017,-$147.44,Utility,LADWP,OTHER DECREASE,10027
3/9/2017,-$59.95,HHA Office,Vimeo,DEBIT PURCHASE                Mar 07 7690,10013
3/10/2017,-$31.42,HHA Office,Amazon,DEBIT PURCHASE                Mar 08 7690,10013
3/10/2017,-$46.58,HHA Office,Amazon,DEBIT PURCHASE                Mar 07 7690,10013
3/10/2017,-$9.58,Building,Home Depot,DEBIT PURCHASE                Mar 07 7690,10004
3/10/2017,"-$3,045.20",Sales Tax,IRS,OTHER DECREASE,10025
3/10/2017,$252.30,Exhibition,TO Anawalt ,DEBIT RETURN,10006
3/10/2017,-$139.21,HHA Office,Vimeo,DEBIT PURCHASE                Mar 08 7690,10013
