Texto46,Texto44,Texto48,Date,receipt,third-party name,CUIT,Taxed ,VAT tax,withholdings,exempt,ITC tax,total amount,,,
,,,2/1/2023,FCC A-0017-00003308,EL EUSKAL S.R.L.,30-71022864-3,"$ 1,017.36",$ 213.64,$ 0.00,$ 9.00,$ 0.00,"$ 1,240.00",,,
,,,2/1/2023,FCC A-0297-00289744,ASOCIACION ARG. DE LOS ADVENTISTAS DEL 7 DIA,30-50097401-6,"$ 34,486.58","$ 7,242.18","$ 1,379.50",$ 0.00,$ 0.00,"$ 43,108.26",,,
,,,2/1/2023,FCC A-2023-00000201,BANCO DE LA CIUDAD DE BUENOS AIRES,30-99903208-3,"$ 3,342.29",$ 479.46,$ 0.00,$ 30.01,$ 0.00,"$ 3,851.76",,,
,,,2/2/2023,FCC A-0001-00076912,ALISUR S.A.S SOCIEDAD POR ACCIONES SIMPLIFICA,30-71575494-7,"$ 12,348.68","$ 2,593.22",$ 0.00,$ 0.00,$ 0.00,"$ 14,941.90",,,
,,,2/2/2023,FCC A-0001-14108008,LA MERCANTIL ANDINA S.A.,30-50003691-1,"$ 4,466.89",$ 938.05,$ 134.01,$ 142.94,$ 0.00,"$ 5,681.89",,,
,,,2/2/2023,FCC A-0002-00215078,A Y V LOPEZ DISTRIBUCIONES SRL,30-71183478-4,"$ 47,276.89","$ 9,928.15",$ 0.00,$ 0.00,$ 0.00,"$ 57,205.04",,,
,,,2/2/2023,FCC A-0003-00002463,BUSTOS EA SA,20-26925727-0,"$ 4,628.10",$ 971.90,$ 0.00,$ 0.00,$ 0.00,"$ 5,600.00",,,
,,,2/2/2023,FCC A-0003-00253357,BUSTOS EA SA,20-16576881-8,"$ 15,738.83","$ 3,305.15",$ 157.41,$ 0.00,$ 0.00,"$ 19,201.39",,,
,,,2/2/2023,FCC A-0003-00253358,BUSTOS EA SA,20-16576881-8,"$ 12,012.79","$ 2,522.69",$ 120.12,$ 0.00,$ 0.00,"$ 14,655.60",,,
,,,2/2/2023,FCC A-0003-00253359,BUSTOS EA SA,20-16576881-8,"$ 15,399.92","$ 3,233.98",$ 153.99,$ 0.00,$ 0.00,"$ 18,787.89",,,
,,,2/2/2023,FCC A-0004-00003725,GOLYMEN S R L,30-70940743-7,"$ 23,545.32","$ 4,944.52",$ 0.00,$ 0.00,$ 0.00,"$ 28,489.84",,,
,,,2/2/2023,FCC A-0005-00017567,PASTORE JC SA,20-05270426-0,"$ 6,049.33","$ 1,270.36",$ 0.00,$ 0.00,$ 0.00,"$ 7,319.69",,,
,,,2/2/2023,FCC A-0008-00297210,DELINTER SA,30-70773274-8,"$ 30,553.74","$ 6,416.29",$ 336.96,"$ 3,142.58",$ 0.00,"$ 40,449.57",,,
,,,2/2/2023,FCC A-0021-00035994,SABY HNOS S.R.L.,30-70711867-5,"$ 2,244.34",$ 471.31,$ 0.00,$ 161.81,$ 0.00,"$ 2,877.46",,,
,,,2/2/2023,FCC A-0021-00035998,SABY HNOS S.R.L.,30-70711867-5,"$ 16,301.67","$ 3,423.35",$ 0.00,"$ 1,175.29",$ 0.00,"$ 20,900.31",,,
,,,2/2/2023,FCC A-0030-00155879,DON MARTIN S R L,30-70870368-7,"$ 6,993.07","$ 1,468.55",$ 104.90,$ 0.00,$ 0.00,"$ 8,566.52",,,
,,,2/2/2023,FCC A-0290-00135294,EMBOTELLADORA DEL ATLANTICO S.A.,30-52913594-3,"$ 34,111.31","$ 7,163.39","$ 1,387.92","$ 2,346.83",$ 0.00,"$ 45,009.45",,,
,,,2/2/2023,FCC A-8056-02104102,LOGISTICA LA SERENISIMA SA,30-70721038-5,"$ 11,319.42","$ 2,377.08",$ 411.31,$ 0.00,$ 0.00,"$ 14,107.81",,,
,,,2/2/2023,NCC A-0290-00017608,EMBOTELLADORA DEL ATLANTICO S.A.,30-52913594-3,$-884.40,$-185.73,$-9.45,$-60.10,$ 0.00,"$-1,139.68",,,
,,,2/3/2023,FCC A-0002-00035505,ANGELITO S.A.,30-71490278-0,"$ 37,058.60","$ 7,782.31",$ 0.00,$ 0.00,$ 0.00,"$ 44,840.91",,,
,,,2/3/2023,FCC A-0002-00037200,BORLA HNOS SA,30-71554239-7,"$ 19,249.20","$ 4,042.33",$ 0.00,$ 0.00,$ 0.00,"$ 23,291.53",,,
,,,2/3/2023,FCC A-0002-00037201,BORLA HNOS SA,30-71554239-7,"$ 1,380.70",$ 289.95,$ 0.00,$ 0.00,$ 0.00,"$ 1,670.65",,,
,,,2/3/2023,FCC A-0002-00037202,BORLA HNOS SA,30-71554239-7,"$ 7,492.20","$ 1,573.36",$ 0.00,$ 0.00,$ 0.00,"$ 9,065.56",,,
,,,2/3/2023,FCC A-0005-00114844,PIRANI DISTRIBUCIONES S.R.L.,30-71176062-4,"$ 18,743.05","$ 3,936.04",$ 0.00,$ 0.00,$ 0.00,"$ 22,679.09",,,
,,,2/3/2023,FCC A-0005-13825252,LA MERCANTIL ANDINA S.A.,30-50003691-1,"$ 4,580.78",$ 961.96,$ 137.42,$ 146.58,$ 0.00,"$ 5,826.74",,,
,,,2/3/2023,FCC A-0018-00067910,SABY HNOS S.R.L.,30-70711867-5,"$ 11,077.98","$ 2,326.38",$ 0.00,$ 798.68,$ 0.00,"$ 14,203.04",,,
,,,2/3/2023,FCC A-0050-00074015,BARALE HNOS S A,30-62732882-2,"$ 10,530.23","$ 2,211.35",$ 105.30,$ 0.00,$ 0.00,"$ 12,846.88",,,
,,,2/3/2023,FCC C-0001-00000075,ZEBALLOS NC SA,27-26925841-7,$ 0.00,$ 0.00,$ 0.00,"$ 94,000.00",$ 0.00,"$ 94,000.00",,,
,,,2/3/2023,FCC C-0010-00000072,CASTRO ED SA,20-28207385-5,$ 0.00,$ 0.00,$ 0.00,"$ 8,274.00",$ 0.00,"$ 8,274.00",,,
,,,2/3/2023,FCC C-0010-00000073,CASTRO ED SA,20-28207385-5,$ 0.00,$ 0.00,$ 0.00,"$ 12,800.00",$ 0.00,"$ 12,800.00",,,
,,,2/4/2023,FCC A-0002-00006094,TABASSO SA,20-29058959-3,"$ 146,850.66","$ 15,419.34",$ 0.00,$ 0.00,$ 0.00,"$ 162,270.00",,,
,,,2/4/2023,FCC A-0004-00045968,DISTRIBUIDORA 4 HNOS. S.R.L.,30-71155926-0,"$ 8,796.76","$ 1,847.32",$ 0.00,$ 0.00,$ 0.00,"$ 10,644.08",,,
,,,2/4/2023,FCC A-0213-00010543,ROBERTO BO SA,30-59986043-2,"$ 163,229.37","$ 34,278.17","$ 1,632.29",$ 979.38,$ 0.00,"$ 200,119.21",,,
,,,2/5/2023,FCC A-0021-00036255,SABY HNOS S.R.L.,30-70711867-5,"$ 10,055.96","$ 2,111.75",$ 0.00,$ 724.99,$ 0.00,"$ 12,892.70",,,
,,,2/6/2023,FCC A-0002-00087948,SUR DISTRIBUCION S.A.,30-71534770-5,"$ 9,763.44","$ 2,050.32",$ 0.00,"$ 1,222.68",$ 0.00,"$ 13,036.44",,,
,,,2/6/2023,FCC A-0003-00013260,COOP DE PROVISION DE OBRAS Y SERV OLAETA,30-58060331-5,"$ 19,876.59","$ 5,366.68",$ 0.00,$ 476.65,$ 0.00,"$ 25,719.92",,,
,,,2/6/2023,FCC A-0003-00029943,MACCIO JA SA,20-17457499-6,"$ 41,904.07","$ 8,799.86",$ 0.00,$ 0.00,$ 0.00,"$ 50,703.93",,,
,,,2/6/2023,FCC A-0004-00242148,GERARDO LLA S R L,30-70962088-2,"$ 34,201.20","$ 7,182.25",$ 0.00,$ 0.00,$ 0.00,"$ 41,383.45",,,
,,,2/6/2023,FCC A-0006-00000370,ATANOR S.C.A,30-50065891-2,"$ 639,268.00","$ 134,246.28",$ 0.00,$ 0.00,$ 0.00,"$ 773,514.28",,,
,,,2/6/2023,FCC A-0009-00015262,MCG COMBUSTIBLES SA,30-71586164-6,$ 413.22,$ 86.78,$ 0.00,$ 0.00,$ 0.00,$ 500.00,,,
,,,2/6/2023,FCC A-0021-00036287,SABY HNOS S.R.L.,30-70711867-5,"$ 16,769.31","$ 3,521.56",$ 0.00,"$ 1,209.00",$ 0.00,"$ 21,499.87",,,
,,,2/6/2023,FCC A-0021-00036298,SABY HNOS S.R.L.,30-70711867-5,"$ 14,819.60","$ 3,112.12",$ 0.00,"$ 1,068.43",$ 0.00,"$ 19,000.15",,,
,,,2/6/2023,FCC A-2023-00000206,BANCO DE LA CIUDAD DE BUENOS AIRES,30-99903208-3,$ 212.00,$ 44.52,$ 0.00,$ 0.00,$ 0.00,$ 256.52,,,
,,,2/6/2023,FCC C-0002-00002264,CACERES HE SA,20-20570984-4,$ 0.00,$ 0.00,$ 0.00,"$ 7,000.00",$ 0.00,"$ 7,000.00",,,
,,,2/6/2023,FCC C-0003-00000095,CENA NT SA,27-21998086-3,$ 0.00,$ 0.00,$ 0.00,"$ 7,000.00",$ 0.00,"$ 7,000.00",,,
,,,2/7/2023,FCC A-0001-00170358,F & C GRUPPO S A,30-70893146-9,"$ 10,859.50","$ 2,280.50",$ 166.04,$ 210.00,$ 0.00,"$ 13,516.04",,,
,,,2/7/2023,FCC A-0002-00035559,ANGELITO S.A.,30-71490278-0,"$ 32,486.63","$ 6,822.19",$ 0.00,$ 0.00,$ 0.00,"$ 39,308.82",,,
,,,2/7/2023,FCC A-0003-00000409,ALIBERTO TINRO SA,23-94092337-9,"$ 5,310.00",$ 557.55,$ 0.00,$ 0.00,$ 0.00,"$ 5,867.55",,,
,,,2/7/2023,FCC A-0003-00013406,O.D.I.S.A. OLEAGINOSAS DEL IMPERIO S.A.,30-71527210-1,"$ 8,253.90","$ 1,733.31",$ 0.00,$ 0.00,$ 0.00,"$ 9,987.21",,,
,,,2/7/2023,FCC A-0005-00017656,PASTORE JC SA,20-05270426-0,"$ 13,064.61","$ 2,743.57",$ 0.00,$ 0.00,$ 0.00,"$ 15,808.18",,,
,,,2/7/2023,FCC A-0006-00025367,BRAMUZZI CD SA,20-11785648-9,"$ 3,833.89",$ 805.12,$ 0.00,$ 0.00,$ 0.00,"$ 4,639.01",,,
,,,2/7/2023,FCC A-0007-00023176,PESOA PERALTA SA,30-64336129-5,"$ 9,667.94","$ 2,030.27",$ 0.00,$ 0.00,$ 0.00,"$ 11,698.21",,,
,,,2/7/2023,FCC A-0010-00050976,CHESI JD SA,20-11377652-9,"$ 9,995.21","$ 2,098.99",$ 151.16,$ 82.00,$ 0.00,"$ 12,327.36",,,
,,,2/7/2023,FCC A-0021-00036421,SABY HNOS S.R.L.,30-70711867-5,"$ 16,934.29","$ 3,556.20",$ 0.00,"$ 1,220.89",$ 0.00,"$ 21,711.38",,,
,,,2/7/2023,FCC A-0047-00065390,ALONLFI S.R.L.,30-56783883-4,"$ 15,054.98","$ 3,161.55",$ 0.00,$ 0.00,$ 0.00,"$ 18,216.53",,,
,,,2/7/2023,FCC A-0047-00065391,ALONLFI S.R.L.,30-56783883-4,"$ 27,799.09","$ 5,343.83",$ 0.00,$ 0.00,$ 0.00,"$ 33,142.92",,,
,,,2/7/2023,FCC A-8056-02108995,LOGISTICA LA SERENISIMA SA,30-70721038-5,"$ 19,653.39","$ 4,127.21",$ 698.02,$ 0.00,$ 0.00,"$ 24,478.62",,,
,,,2/7/2023,NDC A-0057-00015998,SUMMIT AGRO ARGENTINA  SA ,30-70778322-9,"$ 2,169,463.59","$ 455,587.35",$ 0.00,$ 0.00,$ 0.00,"$ 2,625,050.94",,,
,,,2/8/2023,FCC A-0001-00000100,AUTOMOTORES NUÑEZ SA,30-71470956-5,"$ 144,832.00","$ 15,207.36",$ 0.00,$ 0.00,$ 0.00,"$ 160,039.36",,,
,,,2/8/2023,FCC A-0001-00000101,AUTOMOTORES NUÑEZ SA,30-71470956-5,"$ 141,300.00","$ 14,836.50",$ 0.00,$ 0.00,$ 0.00,"$ 156,136.50",,,
,,,2/8/2023,FCC A-0001-00000102,AUTOMOTORES NUÑEZ SA,30-71470956-5,"$ 35,325.00","$ 3,709.12",$ 0.00,$ 0.00,$ 0.00,"$ 39,034.12",,,
,,,2/8/2023,FCC A-0001-00007195,M Y D DISTRIBUCIONES S.A.S.,30-71670132-4,"$ 19,166.53","$ 4,024.97",$ 0.00,$ 0.00,$ 0.00,"$ 23,191.50",,,
,,,2/8/2023,FCC A-0001-00038685,CENTRAL DISTRIBUCIONES S.A.,30-71673398-6,"$ 8,364.70","$ 1,756.59",$ 0.00,$ 0.00,$ 0.00,"$ 10,121.29",,,
,,,2/8/2023,FCC A-0002-00000629,AR Y ASOCIADOS SRL,30-71189949-5,"$ 68,366.17","$ 14,356.90",$ 0.00,$ 0.00,$ 0.00,"$ 82,723.07",,,
,,,2/8/2023,FCC A-0003-00000821,DISTRIBUIDORA BERTOLA SRL,33-71773109-9,"$ 22,220.44","$ 4,666.29",$ 0.00,$ 0.00,$ 0.00,"$ 26,886.73",,,
,,,2/8/2023,FCC A-0003-00030047,MACCIO JA SA,20-17457499-6,"$ 85,406.07","$ 16,235.13",$ 0.00,$ 0.00,$ 0.00,"$ 101,641.20",,,
,,,2/8/2023,FCC A-0005-00003066,BERTEROREZ  SOCIEDA,30-71180013-8,"$ 63,001.19","$ 13,230.25",$ 0.00,$ 0.00,$ 0.00,"$ 76,231.44",,,
,,,2/8/2023,FCC A-0021-00036575,SABY HNOS S.R.L.,30-70711867-5,"$ 1,198.19",$ 125.81,$ 0.00,$ 0.00,$ 0.00,"$ 1,324.00",,,
,,,2/8/2023,FCC A-0021-00036589,SABY HNOS S.R.L.,30-70711867-5,"$ 5,508.55","$ 1,156.79",$ 0.00,"$ 1,035.67",$ 0.00,"$ 7,701.01",,,
,,,2/8/2023,FCC A-0028-00000556,MANZANO SOCIEDAD DE RESPONSABILIDAD L,30-70912457-5,"$ 13,505.21","$ 2,836.09",$ 609.87,"$ 47,482.02",$ 0.00,"$ 64,433.19",,,
,,,2/8/2023,FCC A-0159-00115009,CAFES LA VIRGINIA S A,30-50107713-1,"$ 28,713.61","$ 6,029.86","$ 1,148.53",$ 0.00,$ 0.00,"$ 35,892.00",,,
,,,2/8/2023,NDC A-0014-00042741,RIZOBACTER ARGENTINA S.A.,30-59317405-7,"$ 3,742,917.54","$ 786,012.69",$ 0.00,$ 0.00,$ 0.00,"$ 4,528,930.23",,,
,,,2/8/2023,NDC A-0021-00000727,FRIGORIFICO CORONEL MOLDES S.A,30-70846564-6,"$ 200,000.00",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 200,000.00",,,
,,,2/8/2023,NDC A-0021-00000728,FRIGORIFICO CORONEL MOLDES S.A,30-70846564-6,$ 250.00,$ 52.50,$ 0.00,$ 0.00,$ 0.00,$ 302.50,,,
,,,2/8/2023,NDC A-0021-00000729,FRIGORIFICO CORONEL MOLDES S.A,30-70846564-6,"$ 222,000.00",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 222,000.00",,,
,,,2/8/2023,NDC A-0021-00000730,FRIGORIFICO CORONEL MOLDES S.A,30-70846564-6,$ 250.00,$ 52.50,$ 0.00,$ 0.00,$ 0.00,$ 302.50,,,
,,,2/9/2023,FCC A-0001-00002694,TRES H BEBIDAS S.A.S.,30-71703824-6,"$ 30,659.16","$ 6,438.42",$ 0.00,$ 0.00,$ 0.00,"$ 37,097.58",,,
,,,2/9/2023,FCC A-0002-00088150,SUR DISTRIBUCION S.A.,30-71534770-5,"$ 13,870.81","$ 2,912.87",$ 0.00,"$ 1,737.06",$ 0.00,"$ 18,520.74",,,
,,,2/9/2023,FCC A-0002-00215906,A Y V LOPEZ DISTRIBUCIONES SRL,30-71183478-4,"$ 4,384.80",$ 920.81,$ 0.00,$ 0.00,$ 0.00,"$ 5,305.61",,,
,,,2/9/2023,FCC A-0003-00254457,BORSELLI CM SA,20-16576881-8,"$ 3,098.77",$ 650.74,$ 30.99,$ 0.00,$ 0.00,"$ 3,780.50",,,
,,,2/9/2023,FCC A-0003-00254460,BORSELLI CM SA,20-16576881-8,"$ 18,804.72","$ 3,948.99",$ 188.06,$ 0.00,$ 0.00,"$ 22,941.77",,,
,,,2/9/2023,FCC A-0003-00254461,BORSELLI CM SA,20-16576881-8,"$ 2,929.64",$ 615.22,$ 29.30,$ 0.00,$ 0.00,"$ 3,574.16",,,
,,,2/9/2023,FCC A-0003-00254468,BORSELLI CM SA,20-16576881-8,"$ 3,098.77",$ 650.74,$ 30.99,$ 0.00,$ 0.00,"$ 3,780.50",,,
,,,2/9/2023,FCC A-0005-00003872,DOLTIN S.A.S.,33-71676153-9,"$ 1,641.37",$ 344.69,$ 0.00,$ 0.00,$ 0.00,"$ 1,986.06",,,
,,,2/9/2023,FCC A-0005-00017723,PASTORE JC SA,20-05270426-0,"$ 7,499.14","$ 1,574.82",$ 0.00,$ 0.00,$ 0.00,"$ 9,073.96",,,
,,,2/9/2023,FCC A-0021-00036644,SABY HNOS S.R.L.,30-70711867-5,"$ 5,937.01","$ 1,246.77",$ 0.00,"$ 1,116.23",$ 0.00,"$ 8,300.01",,,
,,,2/9/2023,FCC A-0030-00156800,DON MARTIN S R L,30-70870368-7,"$ 5,359.80","$ 1,125.55",$ 80.40,$ 0.00,$ 0.00,"$ 6,565.75",,,
,,,2/9/2023,FCC A-0290-00137159,EMBOTELLADORA DEL ATLANTICO S.A.,30-52913594-3,"$ 49,000.41","$ 10,290.08","$ 1,982.86","$ 2,284.13",$ 0.00,"$ 63,557.48",,,
,,,2/9/2023,FCC A-2023-00000209,BANCO DE LA CIUDAD DE BUENOS AIRES,30-99903208-3,$ 212.00,$ 44.52,$ 0.00,$ 0.00,$ 0.00,$ 256.52,,,
,,,2/9/2023,FCC A-8056-02112322,LOGISTICA LA SERENISIMA SA,30-70721038-5,"$ 15,036.06","$ 3,157.57",$ 559.98,$ 0.00,$ 0.00,"$ 18,753.61",,,
,,,2/9/2023,NDC A-2023-00007722,S&C INVERSIONES S.A.,30-70847222-7,$ 247.93,$ 52.07,$ 0.00,$ 0.00,$ 0.00,$ 300.00,,,
,,,2/10/2023,FCC A-0002-00005303,GAIA VINS S.R.L.,30-71408589-8,"$ 31,037.52","$ 6,517.88",$ 0.00,$ 0.00,$ 0.00,"$ 37,555.40",,,
,,,2/10/2023,FCC A-0002-00035626,ANGELITO S.A.,30-71490278-0,"$ 16,758.06","$ 3,519.19",$ 0.00,$ 0.00,$ 0.00,"$ 20,277.25",,,
,,,2/10/2023,FCC A-0002-00037493,BORLA HNOS SA,30-71554239-7,"$ 9,268.80","$ 1,946.45",$ 0.00,$ 0.00,$ 0.00,"$ 11,215.25",,,
,,,2/10/2023,FCC A-0002-00037494,BORLA HNOS SA,30-71554239-7,"$ 14,896.30","$ 3,128.22",$ 0.00,$ 0.00,$ 0.00,"$ 18,024.52",,,
,,,2/10/2023,FCC A-0005-00115239,PIRANI DISTRIBUCIONES S.R.L.,30-71176062-4,"$ 11,820.82","$ 2,482.37",$ 0.00,$ 0.00,$ 0.00,"$ 14,303.19",,,
,,,2/10/2023,FCC A-0005-00115241,PIRANI DISTRIBUCIONES S.R.L.,30-71176062-4,"$ 6,177.18",$ 648.60,$ 0.00,$ 0.00,$ 0.00,"$ 6,825.78",,,
,,,2/10/2023,FCC A-0005-00115242,PIRANI DISTRIBUCIONES S.R.L.,30-71176062-4,"$ 24,763.12","$ 5,200.26",$ 0.00,$ 0.00,$ 0.00,"$ 29,963.38",,,
,,,2/10/2023,FCC A-0005-00115243,PIRANI DISTRIBUCIONES S.R.L.,30-71176062-4,"$ 6,471.87","$ 1,359.09",$ 0.00,$ 0.00,$ 0.00,"$ 7,830.96",,,
,,,2/10/2023,FCC A-0005-00115244,PIRANI DISTRIBUCIONES S.R.L.,30-71176062-4,"$ 8,199.87","$ 1,721.97",$ 0.00,$ 0.00,$ 0.00,"$ 9,921.84",,,
,,,2/10/2023,FCC A-0006-00025443,BRAMUZZI CARLOS DANIEL,20-11785648-9,"$ 1,921.49",$ 403.51,$ 0.00,$ 0.00,$ 0.00,"$ 2,325.00",,,
,,,2/10/2023,FCC A-0021-00036764,SABY HNOS S.R.L.,30-70711867-5,"$ 11,699.60","$ 2,456.92",$ 0.00,$ 843.49,$ 0.00,"$ 15,000.01",,,
,,,2/10/2023,FCC A-2023-00000210,BANCO DE LA CIUDAD DE BUENOS AIRES,30-99903208-3,$ 212.00,$ 44.52,$ 0.00,$ 0.00,$ 0.00,$ 256.52,,,
,,,2/10/2023,NCC A-0002-00008799,BORLA HNOS SA,30-71554239-7,$-457.73,$-96.12,$ 0.00,$ 0.00,$ 0.00,$-553.85,,,
,,,2/10/2023,NCC A-0002-00071227,PREVENCION SALUD S.A.,30-71304500-0,$ 0.00,$ 0.00,$ 0.00,"$-16,267.18",$ 0.00,"$-16,267.18",,,
,,,2/11/2023,FCC A-0003-00160894,DISTRIBUIDORA IMPERSUR S.R.L.,30-71238203-8,"$ 30,052.58","$ 6,311.05",$ 0.00,$ 696.37,$ 0.00,"$ 37,060.00",,,
,,,2/11/2023,FCC A-0004-00046056,DISTRIBUIDORA 4 HNOS. S.R.L.,30-71155926-0,"$ 6,134.45","$ 1,288.23",$ 0.00,$ 0.00,$ 0.00,"$ 7,422.68",,,
,,,2/11/2023,FCC A-0213-00010788,BASUALDO SA,30-59986043-2,"$ 99,614.26","$ 20,517.05",$ 996.14,$ 597.69,$ 0.00,"$ 121,725.14",,,
,,,2/11/2023,FCC C-0001-00000464,DUCO VALENTIN,20-39968198-8,$ 0.00,$ 0.00,$ 0.00,"$ 24,970.00",$ 0.00,"$ 24,970.00",,,
,,,2/13/2023,FCC A-0002-00000150,FURLAN MB SA,20-29778909-1,"$ 214,500.00","$ 22,522.50",$ 0.00,$ 0.00,$ 0.00,"$ 237,022.50",,,
,,,2/13/2023,FCC A-0002-00006111,TABASSO SA SA,20-29058959-3,"$ 58,552.03","$ 6,147.97",$ 0.00,$ 0.00,$ 0.00,"$ 64,700.00",,,
,,,2/13/2023,FCC A-0003-00000410,TINDARO SA,23-94092337-9,"$ 4,980.00",$ 522.90,$ 0.00,$ 0.00,$ 0.00,"$ 5,502.90",,,
,,,2/13/2023,FCC A-0003-00030151,MACCIO JA SA,20-17457499-6,"$ 43,117.97","$ 8,294.57",$ 0.00,$ 0.00,$ 0.00,"$ 51,412.54",,,
,,,2/13/2023,FCC A-0004-00243703,COSTABELLA S R L,30-70962088-2,"$ 44,294.02","$ 9,301.74",$ 0.00,$ 0.00,$ 0.00,"$ 53,595.76",,,
,,,2/13/2023,FCC A-0006-00000371,ATANOR S.C.A,30-50065891-2,"$ 2,977,137.87","$ 625,198.57",$ 0.00,$ 0.00,$ 0.00,"$ 3,602,336.44",,,
,,,2/13/2023,FCC A-0011-00018903,CORRALON FRANCO Y HNOS SRL,30-70894364-5,"$ 4,674.79",$ 981.71,$ 46.75,$ 0.00,$ 0.00,"$ 5,703.25",,,
,,,2/13/2023,FCC A-0021-00037068,SABY HNOS S.R.L.,30-70711867-5,"$ 15,106.44","$ 3,172.36",$ 0.00,"$ 1,121.21",$ 0.00,"$ 19,400.01",,,
,,,2/13/2023,FCC A-0021-00037078,SABY HNOS S.R.L.,30-70711867-5,"$ 13,549.06","$ 2,845.31",$ 0.00,"$ 1,005.63",$ 0.00,"$ 17,400.00",,,
,,,2/13/2023,FCC A-0035-00068080,GOMERIA ALTAMIRANO SA,30-54303858-6,"$ 328,909.09","$ 69,070.91","$ 3,289.09",$ 0.00,$ 0.00,"$ 401,269.09",,,
,,,2/13/2023,FCC A-0035-00068138,GOMERIA ALTAMIRANO SA,30-54303858-6,"$ 190,561.97","$ 40,018.01","$ 1,905.62",$ 0.00,$ 0.00,"$ 232,485.60",,,
