Dairy 1 Don Florencio,,,,,,
General cow data,,Reproduction,Current Lactation,,,
6673,1,4,11325,4.28,3.29,858
6689,1,4,1154,4.42,3.33,90
6690,7,5,7696,4.37,3.32,593
6692,1,5,8278,4.29,3.29,629
6701,10,5,4151,4.28,3.29,315
6705,1,4,17527,4.29,3.29,1330
6710,1,4,7917,4.37,3.32,609
6713,1,4,11481,4.28,3.29,871
6716,1,4,9191,4.27,3.29,695
6736,1,4,8557,4.32,3.29,652
6749,1,4,5826,4.46,3.35,456
6751,10,4,1991,4.23,3.27,150
6757,1,5,10442,4.31,3.30,796
6760,10,4,4953,4.24,3.28,373
6763,10,5,5605,4.27,3.29,424
6772,1,4,9396,4.36,3.31,721
6780,10,4,6699,4.42,3.34,521
6783,1,4,8834,4.28,3.29,670
6787,10,5,3489,4.35,3.29,267
6789,1,4,11069,4.33,3.31,847
6809,1,5,1656,4.43,3.29,128
6813,7,4,4554,4.44,3.34,355
6820,1,5,9345,4.35,3.31,716
6826,1,4,10115,4.32,3.30,772
6829,1,5,10056,4.38,3.32,776
6840,10,5,6619,4.28,3.29,502
6841,1,4,11355,4.29,3.30,862
6859,1,5,4328,4.27,3.29,328
6860,1,5,1076,4.45,3.33,84
6864,10,5,4954,4.27,3.29,375
6865,1,5,5808,4.29,3.28,441
6870,1,5,2415,4.26,3.27,182
6872,1,4,5604,4.41,3.33,434
6910,1,5,6227,4.29,3.28,473
6911,1,5,5692,4.29,3.29,432
6913,1,4,5183,4.44,3.35,404
6935,10,4,5040,4.43,3.33,392
6937,1,4,9563,4.29,3.29,726
6947,10,3,8545,4.33,3.31,654
6954,10,4,6357,4.40,3.33,492
6966,1,5,3706,4.30,3.27,281
6975,10,3,9136,4.32,3.30,697
6977,10,4,3837,4.52,3.38,304
6982,10,4,11315,4.29,3.29,860
6986,10,4,6908,4.29,3.29,524
6987,1,4,5436,4.28,3.30,413
6992,10,4,5722,4.44,3.34,446
6995,1,4,7315,4.28,3.30,555
6998,1,3,12011,4.34,3.31,919
7005,10,4,3800,4.43,3.33,295
7046,1,3,10275,4.34,3.31,787
7049,10,4,7293,4.38,3.32,562
7055,1,4,3453,4.26,3.28,261
7064,1,4,9907,4.29,3.29,752
7067,1,4,5345,4.39,3.32,412
7068,10,4,4940,4.28,3.31,375
7071,1,4,9075,4.36,3.31,697
7077,10,4,6179,4.32,3.30,472
7085,10,4,4168,4.36,3.30,320
7097,1,4,9200,4.27,3.29,697
7098,1,3,10231,4.29,3.29,777
7106,1,4,8008,4.27,3.29,606
7112,1,4,8583,4.28,3.30,651
7114,1,4,6415,4.38,3.32,495
7120,10,3,5774,4.29,3.29,438
7122,1,4,5970,4.42,3.34,463
7138,1,4,8919,4.33,3.30,681
7143,10,4,2074,4.24,3.28,156
7151,1,3,9770,4.27,3.29,739
7153,1,4,8622,4.30,3.30,656
7166,10,4,3392,4.52,3.37,268
7170,1,3,11807,4.29,3.29,896
7174,1,3,15008,4.30,3.29,1141
7177,10,4,6142,4.29,3.30,467
7185,1,4,5269,4.28,3.29,400
7186,1,3,8324,4.28,3.29,632
7195,7,3,1284,4.33,3.29,98
7198,10,4,5523,4.41,3.32,427
7200,10,3,7666,4.38,3.32,591
7205,1,4,1614,4.51,3.31,126
7206,1,4,9991,4.36,3.31,767
7214,10,4,2085,4.24,3.27,157
7235,1,4,9895,4.28,3.29,750
7243,1,3,10164,4.35,3.31,779
7246,1,4,9191,4.37,3.32,707
7248,1,4,7988,4.28,3.29,606
7254,1,4,4050,4.29,3.30,308
7260,1,4,8152,4.33,3.30,623
7261,1,4,2973,4.28,3.26,224
7263,10,3,3412,4.38,3.30,262
7269,1,4,7880,4.28,3.29,598
7273,1,4,10661,4.34,3.31,817
7277,1,4,4440,4.29,3.31,338
7280,10,4,6465,4.41,3.33,501
7289,1,4,9222,4.29,3.29,700
7291,7,3,12988,4.30,3.28,986
7293,10,4,3511,4.29,3.28,266
7299,10,4,7072,4.38,3.32,546
7303,10,4,5765,4.28,3.29,437
7305,7,4,5826,4.32,3.30,445
7306,10,4,2933,4.38,3.29,225
7313,1,3,7178,4.36,3.32,552
7318,1,3,5965,4.41,3.34,463
7323,10,4,2303,4.28,3.25,174
7325,1,4,10725,4.28,3.29,813
7326,1,4,4743,4.29,3.27,359
7330,1,4,5794,4.29,3.29,440
7332,10,4,1758,4.23,3.25,132
7337,1,3,3405,4.26,3.28,257
7340,10,3,6387,4.30,3.29,485
7342,1,4,9992,4.36,3.31,768
7347,1,3,10205,4.29,3.29,775
7350,10,4,2083,4.24,3.26,156
7352,1,4,3528,4.37,3.29,271
7355,1,4,7265,4.29,3.29,552
7356,1,3,7877,4.28,3.29,598
7357,10,3,7214,4.40,3.34,559
7358,1,3,6307,4.36,3.31,484
7359,1,4,573,4.48,3.33,45
7360,1,3,15669,4.30,3.29,1190
7361,10,3,5198,4.46,3.36,407
7365,1,4,6525,4.39,3.32,504
7367,1,3,10019,4.27,3.29,758
7370,1,3,11786,4.36,3.31,904
7375,1,4,10713,4.35,3.31,821
7378,1,4,8388,4.35,3.31,644
7379,10,3,5934,4.48,3.36,466
7385,1,3,10128,4.34,3.31,776
7387,1,3,11985,4.28,3.29,908
7390,1,3,10338,4.33,3.29,789
7391,1,3,18798,4.30,3.29,1429
7406,10,4,6520,4.44,3.34,508
7407,10,3,5030,4.46,3.35,393
7410,10,4,6942,4.27,3.29,526
7411,1,4,6132,4.34,3.28,468
7412,10,4,5144,4.46,3.35,402
7413,10,3,10365,4.35,3.31,795
7415,10,4,4692,4.24,3.28,354
7416,1,4,4532,4.29,3.30,345
7419,10,4,4339,4.39,3.29,334
7420,10,3,7642,4.34,3.31,586
7428,10,3,14805,4.34,3.30,1133
7430,1,4,9291,4.29,3.30,706
7431,1,4,6178,4.31,3.30,470
7432,1,3,1756,4.55,3.32,138
7437,1,4,2415,4.44,3.29,187
7450,1,4,5281,4.29,3.30,401
7455,1,4,8888,4.30,3.30,676
7457,10,4,4751,4.27,3.30,360
7460,1,3,15366,4.30,3.29,1168
7465,10,4,812,4.47,3.33,63
7466,7,3,12006,4.30,3.30,913
7469,1,3,7975,4.28,3.29,605
7472,1,3,7495,4.34,3.30,574
7474,1,4,8924,4.27,3.29,675
7481,7,3,15704,4.30,3.29,1194
7485,10,4,2632,4.30,3.26,199
7486,1,4,5263,4.29,3.30,400
7487,1,4,4720,4.29,3.29,358
7491,10,4,6050,4.26,3.29,457
7502,1,4,611,4.57,3.35,48
7508,10,4,4107,4.33,3.28,313
7510,10,4,1066,4.50,3.34,84
7511,1,3,9834,4.28,3.29,746
7512,10,3,8041,4.37,3.32,620
7513,1,3,7998,4.37,3.32,616
7519,1,3,11888,4.32,3.30,908
7523,10,3,5735,4.36,3.31,440
7524,10,3,7631,4.35,3.32,586
7525,1,4,5059,4.29,3.29,384
7526,10,4,1717,4.58,3.29,135
7533,1,4,10448,4.27,3.29,791
7534,1,4,10414,4.35,3.31,798
7535,10,3,8970,4.38,3.32,691
7536,1,3,7820,4.38,3.32,603
7546,10,4,832,4.53,3.34,66
7547,1,2,10893,4.28,3.29,825
7549,7,3,13973,4.30,3.30,1063
7550,1,3,8589,4.27,3.29,651
7555,1,4,4945,4.29,3.30,376
7559,1,3,5929,4.42,3.33,460
7560,1,3,10220,4.32,3.30,780
7562,10,4,6586,4.38,3.32,508
7565,1,3,10015,4.35,3.31,769
7566,1,4,2541,4.42,3.28,196
7567,1,2,12079,4.30,3.30,919
7572,1,4,5187,4.29,3.30,394
7573,10,3,5052,4.42,3.34,392
7580,1,3,13004,4.29,3.30,988
7597,7,3,15205,4.29,3.30,1156
7603,1,3,2567,4.41,3.28,198
7608,1,4,9477,4.27,3.29,717
7609,10,3,7217,4.43,3.35,562
7614,10,3,3817,4.29,3.29,290
7618,10,3,5299,4.26,3.29,400
7628,1,4,5111,4.29,3.29,388
7629,7,3,10789,4.35,3.31,828
7630,1,3,10381,4.35,3.31,797
7633,1,3,8821,4.33,3.31,674
7634,1,3,7979,4.27,3.29,604
7636,1,3,10133,4.27,3.29,767
7639,1,4,3879,4.28,3.30,294
7641,7,3,12050,4.29,3.30,916
7643,1,3,8784,4.29,3.29,667
7648,1,3,8050,4.35,3.30,617
7650,7,2,11952,4.33,3.30,912
7653,7,3,13677,4.29,3.30,1039
7658,1,3,9113,4.27,3.29,690
7659,7,2,16706,4.29,3.29,1268
7661,10,3,3329,4.28,3.29,253
7664,10,3,4398,4.50,3.38,347
7666,10,3,7031,4.34,3.31,538
7670,1,4,3192,4.28,3.26,241
7672,1,4,4245,4.29,3.30,323
7682,1,3,10663,4.28,3.29,809
7685,1,3,11775,4.35,3.31,904
7686,1,3,9596,4.32,3.30,732
7688,1,4,5334,4.29,3.29,405
7692,1,4,4685,4.29,3.30,356
7697,1,3,5996,4.29,3.29,455
7702,1,2,11255,4.30,3.29,856
7706,1,2,12465,4.31,3.30,950
7710,1,3,9084,4.28,3.29,689
7713,10,3,3988,4.23,3.28,300
7716,10,4,3680,4.29,3.30,279
7719,1,3,8749,4.34,3.31,670
7737,1,3,8020,4.31,3.29,611
7738,1,3,18097,4.29,3.28,1372
7744,1,2,15885,4.31,3.29,1209
7753,7,3,9799,4.33,3.31,749
7754,1,3,9852,4.30,3.29,749
7762,1,3,4179,4.27,3.27,316
7766,10,3,7483,4.35,3.31,573
7771,1,3,11636,4.31,3.30,887
7777,10,2,8800,4.39,3.33,680
7778,10,3,4025,4.44,3.34,314
7779,1,3,7321,4.26,3.29,553
7780,10,3,5397,4.45,3.36,422
7783,1,3,8787,4.37,3.32,677
7799,10,3,6866,4.31,3.31,524
7801,1,3,6174,4.27,3.29,467
7803,1,3,7787,4.37,3.32,600
7814,1,3,9629,4.39,3.32,743
7816,10,3,5575,4.45,3.35,436
7817,1,3,9726,4.29,3.29,738
7818,10,3,6524,4.31,3.29,496
7823,1,3,6056,4.28,3.29,459
7825,7,3,9279,4.28,3.29,703
7831,10,3,6199,4.33,3.30,474
7833,1,3,5169,4.29,3.30,393
7837,1,4,5154,4.29,3.30,392
7840,1,3,5172,4.30,3.27,392
7843,1,3,13413,4.29,3.29,1018
7845,1,2,10261,4.34,3.30,785
7847,1,3,6486,4.26,3.29,490
7852,1,4,4339,4.28,3.27,328
7861,1,3,8528,4.40,3.33,660
7863,1,2,10214,4.30,3.29,776
7865,1,3,4050,4.28,3.30,307
7869,7,3,7140,4.28,3.29,541
7873,1,3,5723,4.29,3.29,434
7876,1,3,6760,4.34,3.30,517
7878,10,3,4826,4.29,3.29,367
7881,7,3,11352,4.34,3.31,869
7882,10,3,3158,4.28,3.29,239
7885,10,3,7188,4.29,3.29,545
7886,1,3,9545,4.37,3.32,735
7890,10,3,4529,4.33,3.30,346
7896,1,3,2001,4.43,3.28,154
7898,10,3,5340,4.32,3.29,407
7902,10,3,6765,4.29,3.29,514
7903,10,3,2095,3.95,3.13,149
7904,1,3,9459,4.34,3.30,723
7905,1,3,8330,4.41,3.33,646
7909,10,3,4855,4.24,3.28,366
7913,1,3,7410,4.42,3.34,576
7915,10,3,5586,4.26,3.28,422
7917,1,3,7742,4.27,3.29,586
7918,1,3,7478,4.31,3.29,569
7920,1,3,5005,4.29,3.28,379
7926,7,3,6660,4.31,3.30,507
7929,10,3,3664,4.26,3.29,277
7933,1,3,9583,4.27,3.29,725
7937,7,2,16345,4.31,3.29,1243
7940,10,2,7997,4.30,3.30,608
7941,1,2,12743,4.30,3.29,968
7945,1,3,3600,4.27,3.29,273
7947,1,3,8771,4.27,3.29,664
7948,1,3,2655,4.25,3.29,200
7950,1,3,4094,4.28,3.28,310
7954,10,3,5985,4.26,3.29,453
7960,10,3,4979,4.27,3.30,377
7962,10,2,8629,4.31,3.30,657
7969,1,3,9550,4.30,3.29,726
7971,1,3,9553,4.29,3.29,725
7975,1,3,10920,4.29,3.29,828
7978,1,2,9379,4.28,3.29,711
7994,1,3,9260,4.27,3.29,701
7995,1,3,10389,4.31,3.29,791
8000,1,1,10270,4.27,3.29,778
8003,1,3,5723,4.29,3.28,434
8007,1,3,7403,4.28,3.29,562
8008,1,3,8797,4.27,3.29,666
8011,10,3,3318,4.28,3.30,252
8012,1,2,14498,4.31,3.30,1104
8013,7,2,9096,4.27,3.29,689
8044,1,3,6005,4.38,3.31,462
8045,7,2,18223,4.32,3.30,1389
8050,1,3,4551,4.31,3.27,345
8053,10,3,5352,4.39,3.32,413
8055,1,3,9692,4.34,3.31,743
8056,1,3,3131,4.26,3.29,237
8057,1,3,5201,4.29,3.28,394
8058,1,3,7759,4.29,3.29,589
8060,1,3,2356,4.40,3.28,181
8061,1,3,2000,4.32,3.24,152
8062,1,3,8500,4.39,3.33,657
8063,7,1,7780,4.29,3.28,590
8068,10,3,5708,4.33,3.26,434
8075,7,3,9322,4.29,3.30,708
8077,1,2,9789,4.29,3.29,743
8081,1,3,6760,4.39,3.33,523
8082,1,3,7883,4.28,3.30,598
