Title,Artist,Location,Price,Inv#,Production Value
Circular Echoes: Processional Ascendance,6000012,ROOM 319 S7,"$15,000.00",LG12001,"$7,500.00"
Artifacts of Unveiled Echoes,6000012,ROOM 319 S7,"$15,000.00",LG12003,"$7,500.00"
Vessels of Echoes: Florida Keys Serenade,6000012,ROOM 318,"$15,000.00",LG14003,"$7,500.00"
Renaissance Whispers I: Medici Chronicles,6000012,ROOM 318,"$15,000.00",LG14004,"$7,500.00"
Uncharted Pathways: A Post-Caesar Landscape,6000012,ROOM 319 S18,"$14,000.00",LG08020,"$7,000.00"
Ancient Blocks: Currency of the Past,6000012,ROOM 319 S18,"$14,000.00",LG09003.1,"$7,000.00"
Getty's Floral Whimsy,6000012,ROOM 319 S18,"$14,000.00",LG12072,"$7,000.00"
Celestial Echo: Kepler's Coordinates,6000012,ROOM 318,"$14,000.00",LG11035,"$7,000.00"
Abstract Vessel #1,6000006,ROOM 319 S5,"$12,000.00",BOC09033,"$6,000.00"
Abstract Vessel #2,6000006,ROOM 319 S5,"$12,000.00",BOC09035,"$6,000.00"
Abstract Vessel #3,6000006,ROOM 319 S5,"$12,000.00",BOC09036,"$6,000.00"
Abstract Vessel #4,6000006,ROOM 319 S5,"$12,000.00",BOC09041,"$6,000.00"
Abstract Vessel #5,6000006,ROOM 319 S5,"$12,000.00",BOC09042,"$6,000.00"
Abstract Vessel #6,6000006,ROOM 319 S5,"$12,000.00",BOC09043,"$6,000.00"
Abstract Vessel #7,6000006,ROOM 319 S5,"$12,000.00",BOC09044,"$6,000.00"
Abstract Vessel #8,6000006,ROOM 319 S5,"$12,000.00",BOC09045,"$6,000.00"
Abstract Vessel #9,6000006,ROOM 319 S5,"$12,000.00",BOC09046,"$6,000.00"
Abstract Vessel #10,6000006,ROOM 319 S5,"$12,000.00",BOC09047,"$6,000.00"
Abstract Vessel #11,6000006,ROOM 319 S5,"$12,000.00",BOC09048,"$6,000.00"
Abstract Vessel #12,6000006,ROOM 319 S5,"$12,000.00",BOC09049,"$6,000.00"
Abstract Vessel #13,6000006,ROOM 319 S5,"$12,000.00",BOC09050,"$6,000.00"
Abstract Vessel #14,6000006,ROOM 319 S5,"$12,000.00",BOC09051,"$6,000.00"
Abstract Vessel #15,6000006,ROOM 319 S5,"$12,000.00",BOC09052,"$6,000.00"
Abstract Vessel #16,6000006,ROOM 319 S5,"$12,000.00",BOC09053,"$6,000.00"
Abstract Vessel #17,6000006,ROOM 319 S5,"$12,000.00",BOC09054,"$6,000.00"
Abstract Vessel #18,6000006,ROOM 319 S5,"$12,000.00",BOC09055,"$6,000.00"
Abstract Vessel #19,6000006,ROOM 319 S5,"$12,000.00",BOC09056,"$6,000.00"
Abstract Vessel #20,6000006,ROOM 319 S5,"$12,000.00",BOC09065,"$6,000.00"
Abstract Vessel #21,6000006,ROOM 319 S5,"$12,000.00",BOC09066,"$6,000.00"
Abstract Vessel #22,6000006,ROOM 319 S5,"$12,000.00",BOC09067,"$6,000.00"
Abstract Vessel #23,6000006,ROOM 319 S5,"$12,000.00",BOC09068,"$6,000.00"
Abstract Vessel #24,6000006,ROOM 319 S5,"$12,000.00",BOC09069,"$6,000.00"
Abstract Vessel #25,6000006,ROOM 319 S8,"$12,000.00",BOC09015,"$6,000.00"
Abstract Vessel #26,6000006,ROOM 319 S8,"$12,000.00",BOC09023,"$6,000.00"
Abstract Vessel #27,6000006,ROOM 319 S8,"$12,000.00",BOC09024,"$6,000.00"
Abstract Vessel #28,6000006,ROOM 319 S8,"$12,000.00",BOC09025,"$6,000.00"
Abstract Vessel #29,6000006,ROOM 319 S8,"$12,000.00",BOC09026,"$6,000.00"
Abstract Vessel #30,6000006,ROOM 319 S8,"$12,000.00",BOC09027,"$6,000.00"
Abstract Vessel #31,6000006,ROOM 319 S8,"$12,000.00",BOC09028,"$6,000.00"
Abstract Vessel #32,6000006,ROOM 319 S8,"$12,000.00",BOC09029,"$6,000.00"
Abstract Vessel #33,6000006,ROOM 319 S8,"$12,000.00",BOC09030,"$6,000.00"
Abstract Vessel #34,6000006,ROOM 319 S9,"$12,000.00",BOC09070,"$6,000.00"
Abstract Vessel #35,6000006,ROOM 319 S9,"$12,000.00",BOC09071,"$6,000.00"
Abstract Vessel #36,6000006,ROOM 319 S9,"$12,000.00",BOC09072,"$6,000.00"
Abstract Vessel #37,6000007,ROOM 319 S6,"$12,000.00",DM14056,"$6,000.00"
Abstract Vessel #40,6000007,ROOM 319 S3,"$12,000.00",DM14032,"$6,000.00"
Abstract Vessel #41,6000007,ROOM 319 S6,"$12,000.00",DM14049,"$6,000.00"
Abstract Vessel #42,6000007,ROOM 319 S6,"$12,000.00",DM14052,"$6,000.00"
Abstract Vessel #43,6000007,ROOM 319 S6,"$12,000.00",DM14057,"$6,000.00"
Abstract Vessel #44,6000007,ROOM 319 S6,"$12,000.00",DM14058,"$6,000.00"
Abstract Vessel #45,6000007,ROOM 319 S6,"$12,000.00",DM14060,"$6,000.00"
Abstract Vessel #46,6000007,ROOM 319 S6,"$12,000.00",DM14062,"$6,000.00"
Abstract Vessel #47,6000007,ROOM 319 S6,"$12,000.00",DM14063,"$6,000.00"
Harmonic Transactions,6000012,ROOM 318,"$12,000.00",LG14006,"$6,000.00"
Unveiled Pathways: After Caesar,6000012,ROOM 319 S14,"$10,000.00",LG14007,"$5,000.00"
"Time Unveiled/April 28–29, 2014/–64 BP (I, Crimson Morning, 9:01 AM)",6000006,ROOM 319 S10,"$9,500.00",BOC14002,"$4,750.00"
"Time Unveiled/April 28–29, 2014/–64 BP (II, Lemon Zest, 12:20 PM)",6000006,ROOM 319 S10,"$9,500.00",BOC14003,"$4,750.00"
"Time Unveiled/April 28–29, 2014/–64 BP (III, Violet Whispers/Magenta Eternity, 3:19 PM)",6000006,ROOM 319 S10,"$9,500.00",BOC14004,"$4,750.00"
"Time Unveiled/April 28–29, 2014/–64 BP (IV, Duck Reverie, 10:55 AM)",6000006,ROOM 319 S10,"$9,500.00",BOC14005,"$4,750.00"
"Time Unveiled/April 28–29, 2014/–64 BP (V, Twilight Tint, 1:26 PM)",6000006,ROOM 319 S10,"$9,500.00",BOC14006,"$4,750.00"
"Time Unveiled/April 28–29, 2014/–64 BP (VI, Pink Serenity, 9:26 AM)",6000006,ROOM 319 S10,"$9,500.00",BOC14007,"$4,750.00"
"Time Unveiled/April 28–29, 2014/–64 BP (IX, Evergreen Glow, 3:36 PM)",6000006,ROOM 319 S10,"$9,500.00",BOC14010,"$4,750.00"
"Time Unveiled/April 28–29, 2014/–64 BP (X, Silver Lining, 4:58 PM)",6000006,ROOM 319 S10,"$9,500.00",BOC14011,"$4,750.00"
The Unseen Projection,6000011,ROOM 319 S9,"$9,500.00",JAK14005,"$4,750.00"
Defiance of Inevitability,6000012,ROOM 319 S19,"$8,500.00",LG12023,"$4,250.00"
Celestial Echo: Tycho's Observations,6000012,ROOM 318,"$8,500.00",LG11037,"$4,250.00"
Eternal Unity 4.2,6000006,ROOM 319 S1,"$8,000.00",BOC13017,"$4,000.00"
Eternal Unity 4.1,6000006,ROOM 319 S2,"$8,000.00",BOC13016,"$4,000.00"
Roman Resonance: Block/Currency Symphony,6000012,ROOM 319 S15,"$8,000.00",LG14008,"$4,000.00"
Binary Platforms Display,6000011,ROOM 319 S9,"$7,500.00",JAK13003,"$3,750.00"
Stamp Symphony: Twin Pedestals,6000011,ROOM 318,"$7,500.00",JAK13007,"$3,750.00"
Anonymity Unveiled: Surrogate 30-011,6000012,ROOM 319 S1,"$7,000.00",LG12017,"$3,500.00"
Shadows of Identity: Surrogate 29-001,6000012,ROOM 319 S1,"$6,500.00",LG12018,"$3,250.00"
Secrets in Gilt: Surrogate 30-024,6000012,ROOM 319 S1,"$6,500.00",LG12026,"$3,250.00"
Theatrics of Possibility: Utopian Reverie,6000012,ROOM 319 S17,"$6,500.00",LG13027,"$3,250.00"
Gilded Echoes: Surrogate Alchemy,6000012,ROOM 319 S19,"$6,500.00",LG13020,"$3,250.00"
Chronicles of Amarna: Lost and Found,6000012,ROOM 319 S19,"$6,500.00",LG13024,"$3,250.00"
Gilded Anonymity: Surrogate Secrets,6000012,ROOM 319 S19,"$6,500.00",LG13025,"$3,250.00"
Struggling Allegory: An Account Unveiled,6000012,ROOM 319 S19,"$6,500.00",LG13026,"$3,250.00"
Circular Enigma: Ruin's Tale,6000012,ROOM 319 S2,"$6,500.00",LG11024,
Allegorical Constructs: Wall of Wisdom,6000012,ROOM 319 S2,"$6,500.00",LG11038,
Silent Hunger: Artist's Echo,6000012,ROOM 319 S20,"$6,500.00",LG13022,"$3,250.00"
The Unstoppable Flow,6000012,ROOM 319 S20,"$6,500.00",LG13028,"$3,250.00"
Enigmatic Connections: Surrogate 30-004,6000012,ROOM 319 S1,"$6,000.00",LG12020,"$3,000.00"
Gilded Echoes: Surrogate 30-015,6000012,ROOM 319 S1,"$6,000.00",LG12022,"$3,000.00"
Gilded Whispers: Surrogate 30-021,6000012,ROOM 319 S1,"$6,000.00",LG12041,"$3,000.00"
Anonymous Symphony: Surrogate 30-010,6000012,ROOM 319 S1,"$6,000.00",LG12050,"$3,000.00"
Echoes of Tribute: Memorial 29-005,6000012,ROOM 319 S1,"$5,500.00",LG12015,"$2,750.00"
Anonymous Serenade: Surrogate 30-020,6000012,ROOM 319 S1,"$5,500.00",LG12024,"$2,750.00"
Gilded Echo: Surrogate 30-016,6000012,ROOM 319 S1,"$5,500.00",LG12029,"$2,750.00"
Enigmatic Overture: Surrogate 30-007,6000012,ROOM 319 S1,"$5,500.00",LG12031,"$2,750.00"
Gilded Allegiance: Surrogate 30-022,6000012,ROOM 319 S1,"$5,500.00",LG12033,"$2,750.00"
Anonymous Elegance: Surrogate 30-008,6000012,ROOM 319 S1,"$5,500.00",LG12037,"$2,750.00"
Echoes of Wealth: Surrogate 30-023,6000012,ROOM 319 S1,"$5,500.00",LG12042,"$2,750.00"
Gilded Legacy: Surrogate 30-025,6000012,ROOM 319 S1,"$5,500.00",LG12051,"$2,750.00"
Enigmatic Scenes: Unnamed Intrigue,6000012,ROOM 319 S18,"$5,500.00",LG12039,"$2,750.00"
Allegorical Odyssey: Z____ Explored,6000012,ROOM 319 S5,"$5,500.00",LG08005.1,"$2,750.00"
Illuminated Boxes: Unveiling I,6000012,ROOM 319 S5,"$5,500.00",LG08006.1,"$2,750.00"
Illuminated Boxes: Unveiling IV,6000012,ROOM 319 S5,"$5,500.00",LG08007.1,"$2,750.00"
Processional Harmony III,6000012,ROOM 319 S5,"$5,500.00",LG08008.1,"$2,750.00"
Executive Elegance: Desk Set Harmony,6000010,ROOM 319 S2,"$5,000.00",JJP13019,"$2,500.00"
Enigmatic Reverie: Surrogate 30-006,6000012,ROOM 319 S1,"$5,000.00",LG12048,"$2,750.00"
Shadows of Surrogacy: Surrogate 30-026,6000012,ROOM 319 S1,"$5,000.00",LG12052,"$2,500.00"
JAK's Culinary Overture Edition,,ROOM 319 S11,"$5,000.00",RFA00122,"$1,000.00"
Veiled Histories: Surrogate 30-002,6000012,ROOM 319 S1,"$4,500.00",LG12021,"$2,250.00"
Circular Reverie: Processional Beginnings,6000012,ROOM 319 S5,"$4,500.00",LG10002.03,"$2,250.00"
Illuminated Boxes: Unveiling III,6000012,ROOM 319 S7,"$4,500.00",LG12008,"$2,250.00"
The Everchanging Museum,6000006,ROOM 319 S8,"$4,000.00",BOC11021,"$1,500.00"
The Timeless Museum,6000006,ROOM 319 S8,"$4,000.00",BOC11026,"$1,500.00"
The Infinite Museum,6000006,ROOM 319 S8,"$4,000.00",BOC11028,"$1,500.00"
The Dynamic Museum,6000006,ROOM 319 S8,"$4,000.00",BOC11029,"$1,500.00"
The Evolving Museum,6000006,ROOM 319 S8,"$4,000.00",BOC11032,"$1,500.00"
The Enigmatic Museum,6000006,ROOM 319 S8,"$4,000.00",BOC11037,"$1,500.00"
The Endless Museum,6000006,ROOM 319 S8,"$4,000.00",BOC11038,"$1,500.00"
The Diverse Museum,6000006,ROOM 319 S8,"$4,000.00",BOC11039,"$1,500.00"
The Immersive Museum,6000006,ROOM 319 S8,"$4,000.00",BOC11040,"$1,500.00"
The Everlasting Museum,6000006,ROOM 319 S8,"$4,000.00",BOC11045,"$1,500.00"
Duckprint 6000006 for BnCC 1,6000006,ROOM 319 S8,"$4,000.00",BOC11046,"$1,500.00"
Nameless Beauty,6000006,ROOM 319 S8,"$4,000.00",RFA00164,"$1,500.00"
Untitled Essence,6000006,ROOM 319 S5,"$4,000.00",BOC09032,"$1,500.00"
Abstract Vessel #54,6000008,ROOM 319 S8,"$4,000.00",DK05002.3,"$2,000.00"
Abstract Vessel #55,6000008,ROOM 319 S8,"$4,000.00",DK09004.1,"$2,000.00"
Abstract Vessel #57,6000009,ROOM 319 S3,"$4,000.00",EMZ08001.1,"$2,000.00"
Abstract Vessel #58,6000009,ROOM 319 S3,"$4,000.00",EMZ08002.2,"$2,000.00"
Abstract Vessel #59,6000009,ROOM 319 S3,"$4,000.00",EMZ08003.1,"$2,000.00"
Abstract Vessel #60,6000009,ROOM 319 S3,"$4,000.00",EMZ08003.2,"$2,000.00"
Abstract Vessel #61,6000009,ROOM 319 S3,"$4,000.00",EMZ08004.1,"$2,000.00"
Abstract Vessel #62,6000009,ROOM 319 S3,"$4,000.00",EMZ08008.1,"$2,000.00"
Abstract Vessel #63,6000009,ROOM 319 S3,"$4,000.00",EMZ08009.1,"$2,000.00"
Abstract Vessel #64,6000009,ROOM 319 S3,"$4,000.00",EMZ08011.1,"$2,000.00"
Abstract Vessel #65,6000009,ROOM 319 S3,"$4,000.00",EMZ08011.2,"$2,000.00"
Abstract Vessel #66,6000009,ROOM 319 S3,"$4,000.00",EMZ08012.1,"$2,000.00"
Abstract Vessel #67,6000009,ROOM 319 S3,"$4,000.00",EMZ08013.2,"$2,000.00"
Abstract Vessel #68,6000009,ROOM 319 S3,"$4,000.00",EMZ08014.1,"$2,000.00"
Abstract Vessel #69,6000009,ROOM 319 S3,"$4,000.00",EMZ08015.1,"$2,000.00"
Abstract Vessel #70,6000009,ROOM 319 S3,"$4,000.00",EMZ08015.2,"$2,000.00"
Abstract Vessel #71,6000009,ROOM 319 S3,"$4,000.00",EMZ08016.1,"$2,000.00"
Abstract Vessel #72,6000009,ROOM 319 S3,"$4,000.00",EMZ08017.1,"$2,000.00"
Abstract Vessel #73,6000009,ROOM 319 S3,"$4,000.00",EMZ08019.1,"$2,000.00"
Abstract Vessel #74,6000009,ROOM 319 S3,"$4,000.00",EMZ10004,"$2,000.00"
Abstract Vessel #75,6000009,ROOM 319 S3,"$4,000.00",EMZ10006,"$2,000.00"
Urban Flora Fusion,6000011,ROOM 319 S3,"$4,000.00",JAK13008,"$2,000.00"
Botanical Illumination Ensemble,6000011,ROOM 319 S8,"$4,000.00",JAK13011,"$2,000.00"
Azure Confection Explosion,6000011,ROOM 318,"$4,000.00",JAK07005.5,"$2,000.00"
Gilded Remembrance: Memorial 29-004,6000012,ROOM 319 S1,"$4,000.00",LG12013,"$2,000.00"
Surrogate Secrets: Gold for Cash 30-012,6000012,ROOM 319 S1,"$4,000.00",LG12014,"$2,000.00"
Gilded Transactions: Surrogate 30-003,6000012,ROOM 319 S1,"$4,000.00",LG12019,"$2,000.00"
Monumental Echo: Memorial 12-005,6000012,ROOM 319 S1,"$4,000.00",LG12034,"$2,000.00"
Gilded Allegory: Surrogate 30-009,6000012,ROOM 319 S1,"$4,000.00",LG12045,"$2,000.00"
War Memorial Unveiled: Treptow's Legacy,6000012,ROOM 318,"$4,000.00",LG11055,"$2,000.00"
Cartographic Echoes: Utopian Universe,6000012,ROOM 318,"$4,000.00",LG12054,"$2,000.00"
Whispers of Gold: Surrogate 30-019,6000012,ROOM 319 S1,"$3,800.00",LG12025,"$1,900.00"
Guardian of Metropolis,6000011,ROOM 319 S5,"$3,500.00",JAK08003.2,"$1,000.00"
Celestial Chronicles,6000011,ROOM 319 S5,"$3,500.00",JAK08003.4,"$1,000.00"
Fused Foliage Composition,6000011,ROOM 319 S5,"$3,500.00",JAK13012,"$1,750.00"
Reclaimed Radiance,6000011,ROOM 319 S5,"$3,500.00","$3,500.00","$1,750.00"
Ottoman/Kreuzberg Chronicles,6000012,ROOM 318,"$3,500.00",LG11056,"$1,750.00"
KBE (Kinda Bent Edge),6000006,ROOM 319 S5,ROOM 319 S5,BOC13001,"$1,500.00"
Abstract Vessel #49,6000008,ROOM 319 S5,"$3,000.00",DK03001.2,"$1,500.00"
Abstract Vessel #76,6000009,ROOM 319 S8,"$2,500.00",EMZ07008,"$1,250.00"
Abstract Vessel #77,6000009,ROOM 318,"$2,500.00",EMZ07001,"$1,250.00"
Abstract Vessel #78,6000009,ROOM 318,"$2,500.00",EMZ07004,"$1,250.00"
Abstract Vessel #79,6000009,ROOM 318,"$2,500.00",EMZ07006,"$1,250.00"
Abstract Vessel #80,6000009,ROOM 318,"$2,500.00",EMZ07007,"$1,250.00"
Abstract Vessel #81,6000009,ROOM 318,"$2,500.00",EMZ09036,"$1,250.00"
Abstract Vessel #82,6000009,ROOM 318,"$2,500.00",EMZ09039,"$1,250.00"
Abstract Vessel #83,6000009,ROOM 318,"$2,500.00",EMZ10015,"$1,250.00"
Abstract Vessel #84,6000009,ROOM 318,"$2,500.00",EMZ10021,"$1,250.00"
Abstract Vessel #85,6000009,ROOM 318,"$2,500.00",EMZ10025,"$1,250.00"
Abstract Vessel #86,6000009,ROOM 318,"$2,500.00",EMZ10044,"$1,250.00"
Abstract Vessel #87,6000009,ROOM 318,"$2,500.00",EMZ11031,"$1,250.00"
Abstract Vessel #88,6000009,ROOM 318,"$2,500.00",EMZ11033,"$1,250.00"
Abstract Vessel #89,6000009,ROOM 318,"$2,500.00",EMZ11035,"$1,250.00"
Abstract Vessel #90,6000009,ROOM 318,"$2,500.00",EMZ11037,"$1,250.00"
Abstract Vessel #91,6000009,ROOM 318,"$2,500.00",EMZ11038,"$1,250.00"
Abstract Vessel #92,6000009,ROOM 318,"$2,500.00",EMZ11039,"$1,250.00"
Abstract Vessel #93,6000009,ROOM 318,"$2,500.00",EMZ13001,"$1,250.00"
Abstract Vessel #94,6000009,ROOM 318,"$2,500.00",EMZ13002,"$1,250.00"
Abstract Vessel #95,6000009,ROOM 318,"$2,500.00",EMZ13003,"$1,250.00"
Abstract Vessel #96,6000009,ROOM 318,"$2,500.00",EMZ13004,"$1,250.00"
Abstract Vessel #97,6000009,ROOM 318,"$2,500.00",EMZ13005,"$1,250.00"
Abstract Vessel #98,6000009,ROOM 318,"$2,500.00",EMZ13006,"$1,250.00"
Abstract Vessel #99,6000009,ROOM 318,"$2,500.00",EMZ13007,"$1,250.00"
Abstract Vessel #100,6000009,ROOM 318,"$2,500.00",EMZ13008,"$1,250.00"
Abstract Vessel #101,6000009,ROOM 318,"$2,500.00",EMZ13009,"$1,250.00"
Abstract Vessel #102,6000009,ROOM 318,"$2,500.00",EMZ13010,"$1,250.00"
Abstract Vessel #103,6000009,ROOM 318,"$2,500.00",EMZ13011,"$1,250.00"
Abstract Vessel #104,6000009,ROOM 318,"$2,500.00",EMZ13012,"$1,250.00"
Abstract Vessel #105,6000009,ROOM 318,"$2,500.00",EMZ13013,"$1,250.00"
Abstract Vessel #106,6000009,ROOM 318,"$2,500.00",EMZ13014,"$1,250.00"
Abstract Vessel #107,6000009,ROOM 318,"$2,500.00",EMZ13015,"$1,250.00"
Abstract Vessel #108,6000009,ROOM 318,"$2,500.00",EMZ13016,"$1,250.00"
Abstract Vessel #109,6000009,ROOM 318,"$2,500.00",EMZ13017,"$1,250.00"
Abstract Vessel #110,6000009,ROOM 318,"$2,500.00",EMZ13018,"$1,250.00"
Abstract Vessel #111,6000009,ROOM 318,"$2,500.00",EMZ13019,"$1,250.00"
Abstract Vessel #112,6000009,ROOM 318,"$2,500.00",EMZ13021,"$1,250.00"
Abstract Vessel #113,6000009,ROOM 318,"$2,500.00",EMZ13022,"$1,250.00"
Abstract Vessel #114,6000009,ROOM 318,"$2,500.00",EMZ13023,"$1,250.00"
Abstract Vessel #115,6000009,ROOM 318,"$2,500.00",EMZ13024,"$1,250.00"
Abstract Vessel #116,6000009,ROOM 318,"$2,500.00",EMZ13025,"$1,250.00"
Abstract Vessel #117,6000009,ROOM 318,"$2,500.00",EMZ13026,"$1,250.00"
Abstract Vessel #118,6000009,ROOM 318,"$2,500.00",EMZ13027,"$1,250.00"
Abstract Vessel #119,6000009,ROOM 318,"$2,500.00",EMZ13028,"$1,250.00"
Abstract Vessel #120,6000009,ROOM 318,"$2,500.00",EMZ13031,"$1,250.00"
Abstract Vessel #121,6000009,ROOM 318,"$2,500.00",EMZ13033,"$1,250.00"
Abstract Vessel #122,6000009,ROOM 318,"$2,500.00",EMZ13034,"$1,250.00"
Abstract Vessel #123,6000009,ROOM 318,"$2,500.00",EMZ13035,"$1,250.00"
Abstract Vessel #124,6000009,ROOM 318,"$2,500.00",EMZ13036,"$1,250.00"
Abstract Vessel #125,6000009,ROOM 318,"$2,500.00",EMZ13037,"$1,250.00"
Abstract Vessel #126,6000009,ROOM 318,"$2,500.00",EMZ13038,"$1,250.00"
Abstract Vessel #127,6000009,ROOM 318,"$2,500.00",EMZ13039,"$1,250.00"
Abstract Vessel #128,6000009,ROOM 318,"$2,500.00",EMZ13040,"$1,250.00"
Abstract Vessel #129,6000009,ROOM 318,"$2,500.00",EMZ13041,"$1,250.00"
Abstract Vessel #130,6000009,ROOM 318,"$2,500.00",EMZ13042,"$1,250.00"
Abstract Vessel #131,6000009,ROOM 318,"$2,500.00",EMZ13044,"$1,250.00"
Abstract Vessel #132,6000009,ROOM 318,"$2,500.00",EMZ13045,"$1,250.00"
Abstract Vessel #133,6000009,ROOM 318,"$2,500.00",EMZ13046,"$1,250.00"
Abstract Vessel #134,6000009,ROOM 318,"$2,500.00",EMZ13047,"$1,250.00"
Abstract Vessel #135,6000009,ROOM 318,"$2,500.00",EMZ13048,"$1,250.00"
Abstract Vessel #136,6000009,ROOM 318,"$2,500.00",EMZ13049,"$1,250.00"
Abstract Vessel #137,6000009,ROOM 318,"$2,500.00",EMZ13050,"$1,250.00"
Abstract Vessel #138,6000009,ROOM 318,"$2,500.00",EMZ13051,"$1,250.00"
Abstract Vessel #139,6000009,ROOM 318,"$2,500.00",EMZ13052,"$1,250.00"
Abstract Vessel #140,6000009,ROOM 318,"$2,500.00",EMZ13053,"$1,250.00"
Abstract Vessel #141,6000009,ROOM 318,"$2,500.00",EMZ13054,"$1,250.00"
Abstract Vessel #142,6000009,ROOM 318,"$2,500.00",EMZ13055,"$1,250.00"
Abstract Vessel #143,6000009,ROOM 318,"$2,500.00",EMZ13058,"$1,250.00"
Abstract Vessel #50,6000008,ROOM 319 S5,"$2,000.00",DK12018.2,"$1,000.00"
Abstract Vessel #51,6000008,ROOM 319 S5,"$2,000.00",DK12021.1,"$1,000.00"
Abstract Vessel #52,6000008,ROOM 319 S5,"$2,000.00",DK12025.2,"$1,000.00"
Abstract Vessel #53,6000008,ROOM 319 S5,"$2,000.00",DK12026.2,"$1,000.00"
Echoes of Remembrance: Memorial 12-011,6000012,ROOM 319 S1,"$2,000.00",LG12053,"$1,000.00"
Abstract Concrete Symphony #13,6000006,ROOM 319 S17,"$1,800.00",BOC11052,$900.00
Abstract Concrete Symphony #14,6000006,ROOM 319 S17,"$1,800.00",BOC11053,$900.00
Abstract Concrete Symphony #15,6000006,ROOM 319 S17,"$1,800.00",BOC11054,$900.00
Abstract Concrete Symphony #18,6000006,ROOM 319 S17,"$1,800.00",BOC12001,$900.00
Abstract Concrete Symphony #16,6000006,ROOM 319 S5,"$1,800.00",BOC11055,$900.00
 Monochrome #10,6000011,ROOM 318,"$1,000.00",JAK12005.10,$500.00
 Monochrome #11,6000011,ROOM 318,"$1,000.00",JAK12005.11,$500.00
 Monochrome #12,6000011,ROOM 318,"$1,000.00",JAK12005.12,$500.00
 Monochrome #13,6000011,ROOM 318,"$1,000.00",JAK12005.13,$500.00
 Monochrome #14,6000011,ROOM 318,"$1,000.00",JAK12005.14,$500.00
 Monochrome #16,6000011,ROOM 318,"$1,000.00",JAK12005.16,$500.00
