Transaction ID,Transaction Date,Shipping Zip Code,Country,Order Source,Product Style,Product Color,Sash Length,Sales Price,State Tax Collected,Payment Method,Product Returned,Star Rank
202,5/17/2022,68497,USA,Etsy,The Ella,White,Long,110,-,Paypal,No,5
203,5/25/2022,28105,USA,Etsy,The Ella,Black,Fitted to waist,110,-,Visa,No,5
204,5/26/2022,78131,USA,Etsy,The Atleigh,White,Long,125,10.7,MC,No,5
205,5/26/2022,78131,USA,Etsy,The Ella,Pink,Long,110,-,Paypal,No,5
206,5/27/2022,68105,USA,Etsy,The Atleigh,Black,Fitted to waist,125,-,Paypal,No,4
207,6/1/2022,59640,USA,Etsy,The Atleigh,White,Long,125,-,Paypal,Yes,5
208,6/2/2022,96771,USA,Etsy,The Sophia,White,Long,95,8.1,Paypal,No,5
209,6/2/2022,96771,USA,Etsy,The Sophia,White,Long,95,8.1,Paypal,No,5
210,6/7/2022,78163,USA,Etsy,The Atleigh,Red,Long,125,10.7,Paypal,No,5
211,6/7/2022,78163,USA,Etsy,The Atleigh,White,Long,125,-,Paypal,No,5
212,6/12/2022,85068,USA,Amazon,The Atleigh,White,Long,125,-,Paypal,No,5
213,6/13/2022,80160,USA,Etsy,The Atleigh,Silver,Long,125,-,Paypal,No,5
214,6/15/2022,29086,USA,Etsy,The Sophia,Blue,Long,95,8.1,Paypal,No,5
215,6/15/2022,29086,USA,Etsy,The Sophia,Blue,Long,95,8.1,Paypal,No,5
216,6/21/2022,20015,USA,Etsy,The Sophia,White,Long,95,8.1,Visa,Yes,5
217,6/22/2022,14188,USA,Etsy,The Atleigh,White,Long,125,-,Visa,No,5
218,6/23/2022,20641,USA,Etsy,The Atleigh,White,Long,125,-,Paypal,No,5
219,6/25/2022,71219,USA,Etsy,The Sophia,Silver,Fitted to waist,95,-,Paypal,No,5
220,6/27/2022,75455,USA,Etsy,The Atleigh,White,Long,125,-,MC,No,5
221,6/27/2022,75455,USA,Etsy,The Atleigh,White,Long,125,-,MC,No,5
222,6/27/2022,75455,USA,Etsy,The Atleigh,White,Long,125,-,MC,No,5
223,6/27/2022,75455,USA,Etsy,The Atleigh,White,Long,125,-,MC,No,5
224,6/28/2022,62703,USA,Etsy,The Sophia,White,Long,95,8.1,Visa,No,5
,,,,,,,,,,,,
,,,,,,,,"7,735.00",142.6,,,
