name,brand,month,qty,price_unit,total_sales
CORREGIDORA 3 (QRO),SAM,June,45,3964.0818522,178383.683349
PLAZA PATIO (QRO),XIAOMI,November,51,3506.25365846,178242.852923
FIESTA (IRAPUATO),SAM,December,55,3221.9998339999997,176504.371036
ALAMEDA (QRO),HONOR,November,41,4294.787179268293,176086.27435
LEON CENTRO (LEON),MOTO,September,40,4393.550205175,175742.008207
PLAZA PATIO (QRO),MOTO,May,38,4528.176447763158,172070.70501499998
CORREGIDORA 3 (QRO),SAM,August,45,3783.6223448444443,170263.005518
ALLENDE (QRO),HONOR,November,46,3700.5633946739135,170225.916155
MADERO (LEON),SAM,October,50,3399.14100692,169957.050346
ALAMEDA (QRO),SAM,June,38,4463.771968447368,169623.334801
PLAZA PATIO (QRO),SAM,May,39,4336.007267897436,169104.283448
MADERO (LEON),SAM,July,43,3924.5609462790694,168756.12068999998
HIDALGO (CELAYA),MOTO,June,33,5089.028750545454,167937.948768
PLAZA PATIO (QRO),SAM,August,38,4379.47125231579,166419.907588
GUERRERO (QRO),SAM,June,36,4615.998485166667,166175.945466
HIDALGO (CELAYA),MOTO,April,37,4479.567939135135,165744.013748
CORREGIDORA 3 (QRO),SAM,December,46,3598.0892185869566,165512.104055
FIESTA (IRAPUATO),SAM,May,41,4019.196324658537,164787.049311
ALLENDE (QRO),HONOR,January,45,3658.200718911111,164619.032351
MADERO (LEON),SAM,November,51,3223.1097497843134,164378.597239
GUERRERO (QRO),SAM,July,40,4109.0538448,164362.153792
CORREGIDORA 4 (QRO),SAM,November,41,4006.709452731707,164275.087562
ALAMEDA (QRO),HONOR,December,39,4203.382148461539,163931.90379
ALAMEDA (QRO),SAM,September,39,4187.998620179487,163331.946187
CORREGIDORA 2 (QRO),MOTO,August,37,4398.323432162162,162737.96699000002
CORREGIDORA 4 (QRO),XIAOMI,December,53,3066.115568634615,161075.079569
ALAMEDA (QRO),SAM,May,36,4473.539113027778,161047.408069
PLAZA PATIO (QRO),MOTO,December,46,3500.745208456522,161034.279589
CORREGIDORA 4 (QRO),SAM,December,46,3504.6941472888893,160227.615938
GUERRERO (QRO),MOTO,September,40,4003.6659409,160146.637636
FIESTA (IRAPUATO),SAM,October,47,3405.321907531915,160050.129654
CORREGIDORA 2 (QRO),MOTO,January,50,3200.8643724599997,160043.218623
PLAZA PATIO (QRO),SAM,April,37,4323.928993486486,159985.372759
HIDALGO (CELAYA),MOTO,December,41,3897.376341536585,159792.430003
HIDALGO (CELAYA),MOTO,July,31,5124.842603129033,158870.120697
CORREGIDORA 2 (QRO),SAM,March,34,4628.956305529412,157384.514388
PLAZA PATIO (QRO),SAM,September,39,4015.4973209230766,156604.395516
GUERRERO (QRO),MOTO,December,42,3727.998142452381,156575.921983
HIDALGO (CELAYA),SAM,January,40,3904.5050187499996,156180.20075
FIESTA (IRAPUATO),SAM,June,39,3990.027922179487,155611.088965
FIESTA (IRAPUATO),SAM,November,46,3361.991274391304,154651.598622
CORREGIDORA 2 (QRO),XIAOMI,December,51,3059.48392414,154611.266207
ALLENDE (CELAYA),SAM,December,41,3765.750466682927,154395.769134
PLAZA PATIO (QRO),XIAOMI,May,32,4786.3151713125,153162.085482
CORREGIDORA 2 (QRO),MOTO,October,38,3998.934671473684,151959.517516
HIDALGO (CELAYA),MOTO,August,31,4895.134463870967,151749.16838
HIDALGO (CELAYA),MOTO,May,32,4737.82424871875,151610.375959
LA VICTORIA (QRO),SAM,June,27,5603.290390666667,151288.840548
CORREGIDORA 3 (QRO),SAM,October,38,3969.1944781052634,150829.390168
HIDALGO 2 (CELAYA),SAM,December,40,3740.9492582,149637.970328
ALAMEDA (QRO),HONOR,September,33,4531.584742515151,149542.296503
PARQUE (QRO),SAM,September,42,3534.7703675714283,148460.355438
PARQUE (QRO),SAM,April,37,4006.63938272973,148245.657161
CORREGIDORA 4 (QRO),SAM,October,31,4764.15709232258,147688.869862
HIDALGO (CELAYA),MOTO,January,42,3501.6018979047617,147067.279712
CORREGIDORA 3 (QRO),SAM,April,35,4198.645779828572,146952.602294
PARQUE (QRO),HONOR,December,37,3962.5340819999997,146613.761034
ALAMEDA (QRO),HONOR,August,31,4712.710911870968,146094.038268
MADERO (LEON),MOTO,December,40,3617.274748102564,144348.715176
LA VICTORIA (QRO),SAM,November,30,5166.03623452,142939.705863
ALLENDE (QRO),XIAOMI,August,37,3831.85054572973,141778.470192
CORREGIDORA 4 (QRO),MOTO,June,27,5246.265719185186,141649.174418
OBREGON (LEON),SAM,November,35,4013.0066186285712,140455.231652
FIESTA (IRAPUATO),SAM,September,40,3481.1532155,139246.12862
CORREGIDORA 4 (QRO),MOTO,May,29,4796.997605724137,139112.930566
PARQUE (QRO),SAM,August,31,4477.748927064516,138810.216739
GUERRERO (QRO),SAM,April,34,4076.2180719117646,138591.414445
CORREGIDORA 2 (QRO),SAM,February,34,4072.973526970589,138481.099917
ALLENDE (QRO),SAM,January,33,4189.3693456969695,138249.188408
LEON CENTRO (LEON),SAM,March,35,3915.8867770857146,137056.037198
OBREGON (LEON),SAM,December,40,3419.9143044999996,136796.57218
CORREGIDORA 2 (QRO),HONOR,December,34,3969.726531352941,134970.702066
PLAZA PATIO (QRO),XIAOMI,October,33,4124.01251075,134639.952068
LEON CENTRO (LEON),MOTO,June,30,4474.972423066666,134249.172692
HIDALGO (CELAYA),MOTO,October,32,4188.55131734375,134033.642155
PLAZA PATIO (QRO),XIAOMI,September,35,3829.187645257143,134021.567584
PLAZA PATIO (QRO),SAM,October,28,4785.489938428572,133993.718276
CORREGIDORA 4 (QRO),MOTO,December,38,3495.962290157895,132846.567026
CORREGIDORA 3 (QRO),SAM,September,33,4019.516665484849,132644.049961
GUERRERO (QRO),SAM,May,36,3684.4837641944446,132641.415511
OBREGON (LEON),MOTO,December,36,3675.7205680833335,132325.940451
CORREGIDORA 4 (QRO),XIAOMI,November,44,3016.379983930233,131427.615171
CORREGIDORA 3 (QRO),MOTO,June,29,4526.870957034483,131279.257754
CORREGIDORA 2 (QRO),MOTO,May,33,3975.1046907272726,131178.454794
GUERRERO (QRO),SAM,January,31,4208.817074193548,130473.3293
GUERRERO (QRO),SAM,October,35,3708.5004236285718,129797.514827
PLAZA PATIO (QRO),MOTO,January,42,3049.2211650714285,128067.288933
PLAZA PATIO (QRO),MOTO,November,33,3873.41805678125,127396.79161
FIESTA (IRAPUATO),SAM,August,32,3951.18793109375,126438.013795
CORREGIDORA 4 (QRO),MOTO,September,28,4512.585387857142,126352.39086
CORREGIDORA 4 (QRO),HONOR,December,33,3823.5894545151514,126178.451999
LA VICTORIA (QRO),SAM,May,27,4654.302487,125666.167149
CORREGIDORA 2 (QRO),XIAOMI,October,34,3627.434033617647,123332.757143
ALLENDE (QRO),MOTO,March,25,4920.55203392,123013.800848
PLAZA PATIO (QRO),XIAOMI,August,29,4222.999667,122466.990343
LA VICTORIA (QRO),SAM,July,27,4517.018596,121959.502092
VIA ALTA SUR (LEON),SAM,October,26,4680.837692192308,121701.779997
LA VICTORIA (QRO),XIAOMI,October,27,4503.436449481482,121592.784136
CORREGIDORA 4 (QRO),SAM,March,29,4125.178807413793,119630.185415
CORREGIDORA 4 (QRO),XIAOMI,August,30,3979.024022966667,119370.72068900001
LEON CENTRO (LEON),MOTO,February,40,2984.073689275,119362.947571
LA VICTORIA (QRO),SAM,September,25,4772.08159732,119302.039933
HIDALGO 2 (CELAYA),SAM,April,23,5145.314477043478,118342.232972
PARQUE (QRO),SAM,October,29,4072.279179551724,118096.096207
ALLENDE (CELAYA),SAM,July,23,5130.324404739131,117997.461309
CORREGIDORA 2 (QRO),SAM,February,29,4066.320509275862,117923.294769
PLAZA PATIO (QRO),HONOR,January,33,3562.357324909091,117557.791722
CORREGIDORA 4 (QRO),MOTO,November,31,3785.8463291290327,117361.23620300001
CORREGIDORA 3 (QRO),HONOR,November,30,3910.0593654,117301.780962
PLAZA PATIO (QRO),HONOR,December,32,3640.7041378437502,116502.53241100001
HIDALGO (CELAYA),MOTO,September,24,4845.403146708333,116289.675521
ALAMEDA (QRO),MOTO,July,23,5049.364481217392,116135.38306800001
PARQUE (QRO),SAM,March,25,4627.24380376,115681.095094
OBREGON (LEON),SAM,October,30,3847.1858643666665,115415.575931
PLAZA PATIO (QRO),MOTO,July,24,4796.715803166667,115121.179276
CORREGIDORA 3 (QRO),MOTO,May,24,4750.934125125,114022.419003
PLAZA PATIO (QRO),MOTO,June,26,4537.2131408333335,113718.97738
ALLENDE (QRO),HONOR,October,30,3786.6968158666664,113600.904476
LA VICTORIA (QRO),MOTO,December,30,3792.8359792068964,112663.793397
CORREGIDORA 3 (QRO),XIAOMI,December,46,2442.9166866521737,112374.167586
CORREGIDORA 2 (QRO),MOTO,February,35,3248.0096865454543,112182.599656
GUERRERO (QRO),MOTO,October,25,4466.03569416,111650.892354
PLAZA PATIO (QRO),HONOR,November,32,3479.741702375,111351.734476
CORREGIDORA 4 (QRO),XIAOMI,October,31,3578.114916483871,110921.562411
PLAZA PATIO (QRO),SAM,January,28,3954.4950984642855,110725.862757
MADERO (LEON),SAM,May,26,4250.430862038462,110511.202413
CORREGIDORA 4 (QRO),MOTO,July,23,4796.740251521739,110325.025785
LEON CENTRO (LEON),SAM,February,24,4591.452610833333,110194.86266
HIDALGO 2 (CELAYA),SAM,June,21,5241.3390255714285,110068.11953699999
LA VICTORIA (QRO),XIAOMI,November,25,4401.00377932,110025.094483
OBREGON (LEON),MOTO,October,25,4399.5179894,109987.949735
PARQUE (QRO),SAM,November,24,4573.3830170833335,109761.19241
HIDALGO (CELAYA),SAM,March,29,3774.4076324827583,109457.821342
VIA ALTA SUR (LEON),SAM,September,22,4963.874184863636,109205.232067
CORREGIDORA 3 (QRO),MOTO,December,32,3405.6574873125,108981.039594
OBREGON (LEON),MOTO,November,28,3886.2387386071427,108814.684681
PLAZA PATIO (QRO),XIAOMI,June,28,3882.9266317857146,108721.94569000001
HIDALGO 2 (CELAYA),SAM,January,25,4343.96639808,108599.159952
CORREGIDORA 4 (QRO),MOTO,January,35,3102.588137942857,108590.58482799999
CORREGIDORA 4 (QRO),SAM,January,34,3279.227635870968,108377.608435
PLAZA PATIO (QRO),MOTO,February,36,3067.813843823529,107752.23069
GUERRERO (QRO),MOTO,January,36,2980.4612356666667,107296.604484
CORREGIDORA 3 (QRO),MOTO,July,25,4264.48796828,106612.199207
LEON CENTRO (LEON),SAM,January,27,3908.463307666667,105528.509307
LA VICTORIA (QRO),XIAOMI,December,31,3401.934004451613,105459.954138
PARQUE (QRO),SAM,January,21,5015.203977,105319.283517
GUERRERO (QRO),MOTO,April,23,4570.354059086956,105118.143359
PLAZA PATIO (QRO),SAM,November,25,4197.3518482399995,104933.796206
HIDALGO (CELAYA),MOTO,February,27,3875.8948337407405,104649.160511
CORREGIDORA 2 (QRO),MOTO,November,25,4178.4897210399995,104462.243026
ALLENDE (QRO),XIAOMI,January,41,2545.4388645853655,104362.993448
PARQUE (QRO),HONOR,January,29,3585.8056242068965,103988.363102
LEON CENTRO (LEON),XIAOMI,December,35,2999.873813411765,103632.779656
ALAMEDA (QRO),HONOR,January,26,3977.919164269231,103425.898271
PARQUE (QRO),MOTO,December,29,3541.141997689655,102693.117933
MADERO (LEON),SAM,January,30,3415.5472986333334,102466.418959
MADERO (QRO),SAM,May,19,5384.800069052631,102311.201312
FIESTA (IRAPUATO),SAM,July,30,3381.323046,101439.69138
OBREGON (LEON),SAM,August,23,4403.935130130435,101290.507993
LA VICTORIA (QRO),HONOR,December,26,3882.2292705384616,100937.961034
PLAZA PATIO (QRO),MOTO,September,22,4564.866816636363,100427.069966
OBREGON (LEON),SAM,July,23,4355.92172326087,100186.199635
HIDALGO (CELAYA),SAM,February,27,3696.457701037037,99804.357928
PLAZA PATIO (QRO),SAM,June,22,4531.770039272727,99698.940864
PARQUE (CELAYA),MOTO,July,19,5246.671125210527,99686.75137900001
MADERO (LEON),MOTO,August,20,4983.6657414,99673.314828
LA VICTORIA (QRO),SAM,December,22,4526.568496818182,99584.50693
ALAMEDA (QRO),SAM,November,27,3687.1977777777774,99554.34
ALLENDE (CELAYA),MOTO,July,21,4687.727517857143,98442.277875
ALLENDE (QRO),SAM,May,29,3385.1969798275863,98170.712415
FIESTA (IRAPUATO),MOTO,December,25,3892.2424828,97306.06207
LEON CENTRO (LEON),SAM,May,32,3035.567848548387,96256.913305
HIDALGO 2 (CELAYA),SAM,July,20,4775.0084504999995,95500.16901
CORREGIDORA 2 (QRO),HONOR,October,24,3964.656935958333,95151.76646299999
CORREGIDORA 4 (QRO),MOTO,August,22,4321.970374545454,95083.34824
MAYOREO (QRO),APPLE,December,10,9481.9,94819.0
CORREGIDORA 4 (QRO),SAM,January,25,3785.34647228,94633.661807
ANDADOR (CELAYA),SAM,April,18,5233.812729833333,94208.629137
HIDALGO 2 (CELAYA),SAM,November,20,4698.27717895,93965.543579
CORREGIDORA 3 (QRO),HONOR,December,24,3914.3689079583332,93944.853791
FIESTA (IRAPUATO),SAM,April,27,3469.7644572592594,93683.640346
GUERRERO (QRO),MOTO,February,30,3165.014419862069,93508.698176
PARQUE (CELAYA),MOTO,August,19,4920.192177894736,93483.65138
CORREGIDORA 2 (QRO),XIAOMI,May,23,4133.189529818182,93256.893794
CORREGIDORA 4 (QRO),MOTO,October,21,4430.994837428571,93050.891586
ALLENDE (CELAYA),SAM,June,21,4420.311393190476,92826.539257
CORREGIDORA 2 (QRO),XIAOMI,November,23,4035.9075262173915,92825.873103
CORREGIDORA 2 (QRO),XIAOMI,August,22,4207.681269590909,92568.987931
ALLENDE (QRO),ZTE,December,76,1431.250053875,92227.561724
ALAMEDA (QRO),SAM,January,29,3179.2818667241377,92199.174135
HIDALGO 2 (CELAYA),SAM,October,20,4602.58673205,92051.734641
ALAMEDA (QRO),MOTO,February,27,3473.942029230769,92045.77276
ALLENDE (CELAYA),MOTO,October,21,4382.143516380953,92025.013844
HIDALGO (CELAYA),SAM,January,21,4379.270726619048,91964.685259
LEON CENTRO (LEON),SAM,June,32,2870.9053125,91868.97
ALAMEDA (QRO),SAM,October,21,4367.078932666666,91708.657586
CORREGIDORA 3 (QRO),XIAOMI,September,24,3820.9772988333334,91703.455172
ALLENDE (QRO),XIAOMI,September,25,3654.41490932,91360.372733
CORREGIDORA 4 (QRO),XIAOMI,September,21,4346.3878259047615,91274.144344
ALLENDE (QRO),HONOR,February,25,3644.03674456,91100.918614
ALAMEDA (QRO),MOTO,August,20,4538.7955153,90775.910306
OBREGON (LEON),MOTO,January,28,3241.472932178571,90761.242101
CORREGIDORA 2 (QRO),HONOR,January,22,4117.478181818182,90584.52
MADERO (LEON),MOTO,November,23,3930.923478217391,90411.239999
CORREGIDORA 3 (QRO),MOTO,April,22,4086.128853,89894.834766
GUERRERO (QRO),MOTO,November,28,3210.3453584642857,89889.670037
CORREGIDORA 2 (QRO),SAM,June,21,4272.127963857142,89714.68724099999
HIDALGO 2 (CELAYA),SAM,May,21,4256.116500142857,89378.446503
ALAMEDA (QRO),MOTO,April,19,4688.79497168421,89087.104462
GUERRERO (QRO),SAM,March,18,4946.456896555555,89036.224138
MADERO (QRO),SAM,July,18,4917.770229777778,88519.864136
CORREGIDORA 3 (QRO),SAM,January,28,3157.6975860714288,88415.53241
CORREGIDORA 2 (QRO),MOTO,February,19,4647.097475473684,88294.852034
CORREGIDORA 4 (QRO),HONOR,November,22,4011.678529909091,88256.927658
MADERO (LEON),MOTO,January,24,3662.9343965833336,87910.425518
FIESTA (IRAPUATO),XIAOMI,December,29,3021.224423310345,87615.50827600001
ALAMEDA (QRO),MOTO,January,25,3495.69200008,87392.300002
PARQUE (QRO),SAM,January,19,4595.463240315789,87313.801566
CORREGIDORA 3 (QRO),MOTO,September,23,3791.1187400434783,87195.731021
OBREGON (LEON),MOTO,September,20,4354.82882945,87096.576589
PARQUE (CELAYA),MOTO,September,20,4353.45017065,87069.003413
FIESTA (IRAPUATO),SAM,January,24,3621.625114875,86919.002757
CORREGIDORA 2 (QRO),XIAOMI,July,21,4133.005336619048,86793.112069
ANDADOR (CELAYA),SAM,June,19,4559.02962,86621.56278000001
OBREGON (LEON),SAM,April,19,4550.544725736842,86460.349789
CORREGIDORA 4 (QRO),MOTO,February,31,2786.126284774193,86369.914828
LA VICTORIA (QRO),SAM,October,19,4537.252483210526,86207.797181
OBREGON (LEON),SAM,September,22,3914.1858437727274,86112.088563
ALLENDE (QRO),XIAOMI,July,22,3993.391310809524,86101.734768
ANDADOR (CELAYA),SAM,August,19,4522.732298315789,85931.913668
CORREGIDORA 4 (QRO),SAM,February,21,4091.9143304285717,85930.200939
OBREGON (LEON),MOTO,August,18,4749.233696555555,85486.206538
PARQUE (CELAYA),SAM,September,20,4270.69203445,85413.840689
PLAZA PATIO (QRO),XIAOMI,April,19,4496.263826888889,84638.783284
CORREGIDORA 3 (QRO),MOTO,October,22,3828.291951681818,84222.422937
CORREGIDORA 2 (QRO),MOTO,January,19,4428.44949,84140.54031
ALLENDE (CELAYA),SAM,November,21,4002.4200076666666,84050.820161
CORREGIDORA 3 (QRO),XIAOMI,October,23,3642.317181347826,83773.295171
MADERO (LEON),SAM,June,18,4635.155613,83432.801034
ALLENDE (QRO),MOTO,June,35,2357.1748767058825,82729.285808
PLAZA PATIO (QRO),XIAOMI,January,28,2954.0440280714283,82713.232786
ALLENDE (CELAYA),MOTO,September,19,4339.410941,82448.807879
ALLENDE (CELAYA),MOTO,August,19,4312.206373368422,81931.921094
ANDADOR (CELAYA),SAM,November,21,3866.134683904762,81188.828362
ALLENDE (QRO),XIAOMI,June,24,3379.167133333334,81100.01120000001
ALLENDE (QRO),SAM,June,25,3227.5521092,80688.80273
PLAZA PATIO (QRO),SAM,February,17,4730.377038529412,80416.409655
PLAZA PATIO (QRO),MOTO,August,19,4227.814313947369,80328.471965
ALLENDE (QRO),XIAOMI,February,33,2463.015984419355,79627.635517
PLAZA MAYOR (LEON),SAM,December,22,3618.260047,79601.721034
LEON CENTRO (LEON),MOTO,May,30,2680.470499448276,79543.124484
CORREGIDORA 3 (QRO),HONOR,October,22,3584.5628491363636,78860.382681
HIDALGO (CELAYA),SAM,February,19,4137.069502157894,78604.320541
PARQUE (QRO),XIAOMI,May,21,3726.600845952381,78258.617765
URBAN (QRO),SAM,November,17,4591.954644941176,78063.228964
BOULEVARES (QRO),XIAOMI,August,19,4100.089927473685,77901.708622
LA VICTORIA (QRO),SAM,January,15,5185.709241400001,77785.638621
LA VICTORIA (QRO),SAM,April,14,5553.324778285714,77746.546896
ALLENDE (QRO),XIAOMI,May,23,3376.2370309130433,77653.451711
ALAMEDA (QRO),MOTO,June,16,4840.7338104375,77451.740967
MADERO (LEON),SAM,April,21,3678.1211822380956,77240.544827
PARQUE (QRO),MOTO,September,18,4290.375019166666,77226.750345
PLAZA PATIO (QRO),HONOR,February,22,3474.753558,76444.578276
ALLENDE (CELAYA),SAM,April,17,4496.653472,76443.109024
PLAZA PATIO (QRO),HONOR,August,17,4483.611744235293,76221.399652
ALLENDE (QRO),XIAOMI,February,21,3628.0799523809524,76189.679
PARQUE (CELAYA),SAM,October,16,4735.1322195625,75762.115513
ANDADOR (CELAYA),SAM,May,15,5033.6215032,75504.322548
PARQUE (CELAYA),SAM,July,17,4426.117971647058,75244.00551799999
URBAN (QRO),SAM,April,14,5368.596302142857,75160.34823
CORREGIDORA 3 (QRO),XIAOMI,July,23,3263.7559819565217,75066.387585
OBREGON (LEON),MOTO,April,16,4664.061899125,74624.990386
GUERRERO (QRO),MOTO,July,17,4389.605896294118,74623.300237
MADERO (LEON),MOTO,April,19,3923.8211052631577,74552.601
ALAMEDA (QRO),MOTO,October,16,4646.87715,74350.0344
CORREGIDORA 4 (QRO),XIAOMI,July,17,4370.336125764706,74295.714138
LA VICTORIA (QRO),SAM,August,16,4627.372476250001,74037.95962000001
PARQUE (CELAYA),XIAOMI,December,21,3471.4831793500002,73997.763587
CORREGIDORA 2 (QRO),XIAOMI,June,20,3667.2424827000004,73344.849654
LEON CENTRO (LEON),XIAOMI,October,21,3489.1618390476187,73272.39861999999
CORREGIDORA 2 (QRO),HONOR,September,17,4299.342393294117,73088.82068599999
PLAZA MAYOR (LEON),SAM,July,20,3650.00087925,73000.017585
CORREGIDORA 3 (QRO),MOTO,January,21,3476.151229904762,72999.175828
ALLENDE (QRO),SAM,August,21,3472.9883251428573,72932.754828
