Listing Date,Order Date,Order Id,Listing Title,Department,Category,Subcategory,Brand,Color,Size,Bundle Order?,Offer Order,NWT,Cost Price,Order Price,Lowest Set Price,Seller Shipping Discount,Upgraded Shipping Label Fee,Net Earnings,Buyer State,Buyer Zip Code,Sales Tax (Paid by Buyer),Sales Tax (Paid by Seller),Notes,Other Info
12/29/2021,01/03/2022,61d360ebd49881a0dc276fba,Sperry Saltwater Duck Boots,Women,Shoes,Winter & Rain Boots,Sperry,Tan,7.5,N,Y,N,$0.00,$38.00,$55.00,$1.50,$0.00,$28.90,VA,23111,$2.28,$0.00,,
12/20/2021,01/04/2022,61d48698ef34d3321cc1c099,Burberry Silk Camisole,Women,Tops,Camisoles,Burberry London,,M,N,Y,N,$8.00,$19.00,$40.00,$1.50,$0.00,$13.70,NV,89509,$1.57,$0.00,,
01/09/2022,01/10/2022,61dcc05b19501787af8fc5c1,Steve Madden Vegan Leather Hobo Crossbody,Women,Bags,Hobos,Steve Madden,Brown,OS,N,Y,N,$7.00,$25.00,$34.00,$1.50,$0.00,$18.50,NY,14616,$2.48,$0.00,,
01/06/2022,01/07/2022,61d8defafc204dc8b4c22f45,Express D'Orsay Cheetah Print Flats,Women,Shoes,Flats & Loafers,Express,"Tan,Black",9,N,Y,N,$6.70,$16.00,$28.00,$0.00,$0.00,$12.80,PR,728,$2.69,$0.00,,
12/14/2021,01/08/2022,61da1637f01bb2ba3f79a38e,DL1961 Amanda Skinny Jeans,Women,Jeans,Skinny,DL1961,Blue,30,N,Y,N,$7.60,$29.00,$39.00,$1.50,$0.00,$21.70,TX,77523,$2.89,$0.00,,
01/02/2022,01/08/2022,61da48fa9c0cab7a7ebe977e,Authentic Gucci Nappa Logo Plate Round Toe Leather Pumps,Women,Shoes,Heels,Gucci,"Gray,Tan",36.5EU,N,Y,N,$72.22,$215.00,$330.00,$1.50,$0.00,$170.50,TX,77379,$18.23,$0.00,,
12/26/2021,01/08/2022,61d9a789195017551112fb5d,Coach Kelson Signature Monogram Sneakers,Women,Shoes,Sneakers,Coach,Brown,8,N,Y,N,$8.00,$34.00,$58.00,$1.50,$0.00,$25.70,IN,47246,$2.38,$0.00,,
01/04/2022,01/07/2022,61d8d41eb81de70857c8721b,Abercrombie & Fitch Simone High Rise Super Skinny Jeans,Women,Jeans,Skinny,Abercrombie & Fitch,Blue,4,N,Y,N,$5.00,$25.00,$34.00,$1.50,$0.00,$18.50,MO,64075,--,,State does not currently impose a sales tax.,
12/25/2021,01/10/2022,61dc51c65cd1fb3b901fbefe,Dolce and Gabbana D&G 00's Rhinestone Logo Jeans,Women,Jeans,Boot Cut,Dolce & Gabbana,Blue,8,N,Y,N,$7.60,$49.00,$105.00,$0.00,$0.00,$39.20,FL,33896,$4.24,$0.00,,
12/28/2021,01/06/2022,61d76e497a2502d52008fbaa,Corso Como Craz Leather Pumps,Women,Shoes,Heels,Corso Como,Black,8,N,Y,N,$8.30,$20.00,$39.00,$0.00,$0.00,$16.00,GA,30062,$1.65,$0.00,,
12/20/2021,01/08/2022,61d9c71b4e28764d0aeda9c0,Vintage 90's Versace Logo Polo Top,Women,Tops,,Versace,,M,N,Y,N,$9.00,$65.00,$100.00,$0.00,$0.00,$52.00,PA,15010,$0.00,$0.00,This sale is exempt from sales tax.,
12/23/2021,01/06/2022,61d7597533f26f4243fdbcfa,7 For All Mankind Trouser Flare Dark Wash Jeans,Women,Jeans,Flare & Wide Leg,7 For All Mankind,Blue,27,N,Y,N,$7.60,$40.00,$50.00,$0.00,$0.00,$32.00,SD,57793,$2.14,$0.00,,
01/04/2022,01/10/2022,61dcf231fc204db47a4731c3,Vince Camuto Pebbled Leather Crossbody Bucket Bag,Women,Bags,Crossbody Bags,Vince Camuto,Black,OS,N,N,N,$0.00,$35.00,$35.00,$0.00,$0.00,$28.00,RI,2860,$2.97,$0.00,,
12/31/2021,01/08/2022,61d9943321dac74f37f99f05,Free People Ripstop Parachute Jacket,Women,Jackets & Coats,,Free People,Green,M,N,Y,N,$8.30,$30.00,$49.00,$0.00,$0.00,$24.00,MA,1810,$0.00,$0.00,This sale is exempt from sales tax.,
01/01/2022,01/12/2022,61deee80d5ebc4cc77802b38,Kate Spade Slip On Sneakers,Women,Shoes,Sneakers,kate spade,Blue,8.5,N,Y,N,$8.00,$10.00,$25.00,$0.00,$0.00,$7.05,CA,94591,$0.84,$0.00,,
12/14/2021,01/09/2022,61db3a4593a1e9fb44bc620a,KUT from the Kloth Skinny Jeans,Women,Jeans,Skinny,Kut from the Kloth,Blue,8,Y,Y,N,$7.60,$19.23,$35.00,$0.00,$0.00,$15.38,WA,98685,$1.92,$0.00,,
01/05/2022,01/09/2022,61db3a4593a1e9fb44bc620a,KUT from the Kloth Ankle Cuffed Boyfriend Jeans,Women,Jeans,Boyfriend,Kut from the Kloth,Blue,8,Y,Y,N,$5.00,$19.77,$36.00,$0.00,$0.00,$15.82,WA,98685,$1.98,$0.00,,
01/09/2022,01/10/2022,61dc49d0528779665be51030,Wildfox Thermal Star Print Onesie,Women,Intimates & Sleepwear,Pajamas,Wildfox,Blue,M,N,Y,N,$7.00,$20.00,$44.00,$0.00,$0.00,$16.00,WI,54115,$1.51,$0.00,,
01/06/2022,01/10/2022,61dc8ba8a1d4137bfa2c62c1,Sam Edelman Andy Espadrille Slide Sandals,Women,Shoes,Espadrilles,Sam Edelman,Black,7,N,Y,N,$7.00,$27.00,$32.00,$0.00,$0.00,$21.60,RI,2893,$0.00,$0.00,This sale is exempt from sales tax.,
01/04/2022,01/07/2022,61d926d2581a6315e582d7ce,Helix Knit Layered Hooded Blazer,Men,Jackets & Coats,,Helix,Gray,M,N,Y,N,$0.00,$17.00,$28.00,$0.00,$0.00,$13.60,CA,95124,$1.59,$0.00,,
01/04/2022,01/07/2022,61d91252db99b9383808c41c,Buffalo Bills '47 MVP DP Snapback Rope Hat,Men,Accessories,Hats,47 Brand,Blue,OS,N,Y,Y,$0.00,$24.00,$29.00,$0.00,$0.00,$19.20,CA,92243,$1.86,$0.00,,
12/30/2021,01/10/2022,61dca4dffdea1b5b485e6640,Buffalo David Bitton Black Bomber Jacket,Men,Jackets & Coats,Bomber & Varsity,Buffalo David Bitton,Black,XL,N,Y,N,$8.70,$25.00,$54.00,$0.00,$0.00,$20.00,IL,60656,$3.32,$0.00,,
12/23/2021,01/08/2022,61d9f667e41fe0ba5d6a4965,Dansko XP Professional Work Clogs,Women,Shoes,Mules & Clogs,Dansko,,38EU,N,Y,N,$6.00,$25.00,$44.00,$1.50,$0.00,$18.50,CA,93933,$1.94,$0.00,,
01/07/2022,01/10/2022,61dc9435fc204d722109ef44,BCBGeneration Zeba Convertible Loafers,Women,Shoes,Flats & Loafers,BCBGeneration,Black,6.5,N,Y,N,$7.00,$15.00,$32.00,$0.00,$0.00,$12.00,MO,63104,--,,State does not currently impose a sales tax.,
01/09/2022,01/13/2022,61e028e386dcbbc20a269da1,KUT from the Kloth Floral Print Button Up Blouse,Women,Tops,Blouses,Kut from the Kloth,,L,N,Y,N,$6.70,$18.00,$28.00,$1.50,$0.00,$12.90,ME,4849,$0.99,$0.00,,
01/10/2022,01/13/2022,61e0d2a520fc7096083187d2,Abercrombie & Fitch Cozy Knit Shrug,Women,Sweaters,Shrugs & Ponchos,Abercrombie & Fitch,Gray,M,N,Y,N,$6.70,$10.00,$25.00,$0.00,$0.00,$7.05,MI,48138,$1.05,$0.00,,
01/05/2022,01/14/2022,61e21249a1d413753cbf5dc5,Vince Camuto Croc Embossed Patent Leather Boots,Women,Shoes,Heeled Boots,Vince Camuto,Tan,7,N,Y,N,$6.60,$49.00,$68.00,$1.50,$0.00,$37.70,MA,2360,$0.00,$0.00,This sale is exempt from sales tax.,
01/10/2022,01/11/2022,61ddffabd872b448ee7238a3,Adidas Basketball Crazy Ghost 1/4 Zip Pullover,Men,Shirts,Sweatshirts & Hoodies,adidas,"Gray,Blue",L,N,Y,N,$6.70,$18.00,$28.00,$1.50,$0.00,$12.90,IN,46733,$1.26,$0.00,,
12/29/2021,01/08/2022,61da05c4e41fe091a9740df0,Via Spiga Down Filled Leopard Print Jacket,Women,Jackets & Coats,Puffers,Via Spiga,Tan,XS,Y,N,N,$8.20,$68.00,$68.00,$0.00,$0.00,$54.40,MO,63701,--,,State does not currently impose a sales tax.,
12/29/2021,01/08/2022,61da05c4e41fe091a9740df0,Mountain Hardwear Fleece Full Zip Jacket,Women,Jackets & Coats,,Mountain Hardwear,Red,XS,Y,N,N,$8.20,$38.00,$38.00,$0.00,$0.00,$30.40,MO,63701,--,,State does not currently impose a sales tax.,
01/06/2022,01/13/2022,61e0554557de978c0e26cbd0,Zara High Waist The Vintage Flare Jeans,Women,Jeans,Flare & Wide Leg,Zara,Blue,2,N,Y,N,$6.60,$30.00,$49.00,$0.00,$0.00,$24.00,CO,81601,$1.17,$0.00,,
01/11/2022,01/15/2022,61e331780f00c3190aa4fe1d,Abercrombie & Fitch Long Sleeve Polka Dot Romper,Women,Pants & Jumpsuits,Jumpsuits & Rompers,Abercrombie & Fitch,Pink,M,N,Y,N,$6.00,$20.00,$36.00,$0.00,$0.00,$16.00,FL,33812,$1.92,$0.00,,
12/19/2021,01/15/2022,61e32fed195017c1d4fbaf2a,Lafayette 148 Tweed Draped Collar Jacket,Women,Jackets & Coats,Blazers & Suit Jackets,Lafayette 148 New York,Green,8,N,Y,N,$7.00,$30.00,$49.00,$0.00,$0.00,$24.00,TX,78240,$3.10,$0.00,,
12/30/2021,01/14/2022,61e248436200d119bd5bac7f,Dr. Scholl's Watson Loafers Size 11 Wide,Women,Shoes,Flats & Loafers,Dr. Scholl's,Black,11,N,Y,N,$8.00,$25.00,$28.00,$0.00,$0.00,$20.00,NV,89515,$2.07,$0.00,,
01/07/2022,01/16/2022,61e457a55287792ae4f9896c,Kate Spade White/Silver Carol Sandals,Women,Shoes,Sandals,kate spade,White,6.5,N,Y,N,$7.00,$30.00,$42.00,$0.00,$0.00,$24.00,CA,92211,$2.33,$0.00,,
01/11/2022,01/11/2022,61d3ca9033f26f56547612f7,Roxy Scoopneck 1/2 Zip Hoodie,Women,Tops,Sweatshirts & Hoodies,Roxy,Green,S,N,Y,N,$6.70,$8.00,$19.00,$0.00,$0.00,$5.05,VA,24064,$0.42,$0.00,,
01/17/2022,01/19/2022,61e84df472c24673c3f374cd,Coach Signature Magenta Canvas Crossbody,Women,Bags,Crossbody Bags,Coach,Pink,OS,N,Y,N,$10.00,$38.00,$49.00,$1.50,$0.00,$28.90,CA,94560,$4.09,$0.00,,
01/04/2022,01/19/2022,61e8362c7a250219dec62599,T Tahari Ribbed V-Neck Cropped Cardigan,Women,Sweaters,Cardigans,T Tahari,Green,M,N,Y,N,$0.00,$19.00,$28.00,$1.50,$0.00,$13.70,OH,45042,$1.61,$0.00,,
01/13/2022,01/18/2022,61e74688fc204d416f96d5ff,Zara Vegan Leather Accordion Skater Skirt,Women,Skirts,Circle & Skater,Zara,Black,S,N,Y,N,$7.00,$17.00,$28.00,$0.00,$0.00,$13.60,GA,30224,$1.71,$0.00,,
01/03/2022,01/16/2022,61e438183751f5128c1c9237,Cloth & Stone Skyscape Orange Button Front Shirt,Women,Tops,Button Down Shirts,cloth & stone,Orange,M,N,Y,N,$8.00,$10.00,$40.00,$0.00,$0.00,$7.05,CT,6417,$1.11,$0.00,,
12/26/2021,01/18/2022,61e71c88db99b98ba2683118,Buffalo Bills Long Sleeve Active T Shirt,Men,Shirts,Tees - Long Sleeve,NFL,Blue,S,N,Y,N,$0.00,$18.00,$25.00,$1.50,$0.00,$12.90,PA,15229,$0.00,$0.00,This sale is exempt from sales tax.,
01/04/2022,01/16/2022,61bc06bdca86646c0697db72,Abercrombie & Fitch Simone High Rise Super Skinny Size 4L,Women,Jeans,Skinny,Abercrombie & Fitch,Blue,4,N,Y,N,$5.00,$28.00,$34.00,$1.50,$0.00,$20.90,SC,29621,$2.38,$0.00,,
01/01/2022,01/17/2022,61e499955cd1fbb4bb77a69d,Tory Burch Tory Sport Black Leggings | Like New,Women,Pants & Jumpsuits,Leggings,Tory Burch,Black,L,N,Y,N,$8.70,$42.00,$50.00,$0.00,$0.00,$33.60,CA,94402,$4.05,$0.00,,
01/19/2022,01/21/2022,61eaf1d147e0e474bee20ccc,Coach Black Saffiano Leather Tote,Women,Bags,Totes,Coach,Black,OS,N,Y,N,$22.66,$80.00,$130.00,$1.50,$0.00,$62.50,TX,78210,$7.08,$0.00,,
01/02/2022,01/21/2022,61411811f01bb22cee25581f,Furla Black Saffiano Leather Handbag,Women,Bags,Satchels,Furla,Black,OS,N,Y,N,$41.74,$70.00,$128.00,$1.50,$0.00,$54.50,NY,10463,$6.74,$0.00,,
12/18/2021,01/17/2022,61e569b3243af57f5dfca859,Vintage 90's Woolrich 1/4 Snap Fleece Pullover,Men,Shirts,Sweatshirts & Hoodies,Vintage,Blue,S,Y,Y,N,$7.30,$42.35,$50.00,$0.00,$0.00,$33.88,CA,96001,$3.07,$0.00,,
01/02/2022,01/17/2022,61e569b3243af57f5dfca859,Oakley Factory Pilot Perforated Windbreaker,Men,Jackets & Coats,Windbreakers,Oakley,Gray,S,Y,Y,N,$8.30,$29.65,$35.00,$0.00,$0.00,$23.72,CA,96001,$2.15,$0.00,,
01/14/2022,01/19/2022,61e8c4eff01bb22d1a8cf728,Manolo Blahnik Tuccio Suede 90mm Pumps | Camel,Women,Shoes,Heels,Manolo Blahnik,Tan,39EU,N,Y,N,$61.30,$204.00,$240.00,$0.00,$0.00,$163.20,KY,42001,$12.69,$0.00,,
01/05/2022,01/19/2022,61e870b8f01bb2c5305edfeb,ZARA Camel and Black Cap Toe Pumps,Women,Shoes,Heels,Zara,"Tan,Black",38EU,N,Y,N,$6.60,$35.00,$50.00,$1.50,$0.00,$26.50,FL,33611,$3.08,$0.00,,
01/06/2022,01/20/2022,61ea1524ef34d313a73b3105,Levi's White Denim Jacket,Men,Jackets & Coats,,Levi's,"White,Blue",M,Y,Y,N,$8.30,$18.76,$68.00,$0.00,$0.00,$15.01,FL,33301,$1.42,$0.00,,
12/25/2021,01/20/2022,61ea1524ef34d313a73b3105,Green Bay Packets Funnel Neck Pullover,Women,Tops,Sweatshirts & Hoodies,Majestic,Green,S,Y,Y,N,$7.60,$8.00,$29.00,$0.00,$0.00,$6.40,FL,33301,$0.66,$0.00,,
01/10/2022,01/20/2022,61ea1524ef34d313a73b3105,Alice + Olivia Puff Sleeve Shirt Dress,Women,Dresses,,Alice + Olivia,,M,Y,Y,N,$2.70,$22.07,$80.00,$0.00,$0.00,$17.66,FL,33301,$1.64,$0.00,,
01/02/2022,01/20/2022,61ea1524ef34d313a73b3105,Duluth Trading Performance Button-Down Shirt,Women,Tops,Button Down Shirts,Duluth Trading Company,Purple,M,Y,Y,N,$8.00,$7.72,$28.00,$0.00,$0.00,$6.18,FL,33301,$0.64,$0.00,,
01/20/2022,01/20/2022,61ea1524ef34d313a73b3105,Marc Jacobs Silk Mini Dress,Women,Dresses,Mini,Marc Jacobs,,6,Y,Y,N,$10.00,$23.45,$85.00,$0.00,$0.00,$18.75,FL,33301,$1.74,$0.00,,
01/14/2022,01/17/2022,61e59bc5fdea1b0f4ba5c917,Boden Short Sleeve Floral Blouse,Women,Tops,Blouses,Boden,,14,N,Y,N,$9.00,$14.00,$30.00,$1.50,$0.00,$9.55,KS,66536,$1.50,$0.00,,
01/17/2022,01/18/2022,61e5244e23ff469e629082b6,Vans Ward Platform Hi Top Cheetah Print Sneakers,Women,Shoes,Sneakers,Vans,Black,8,N,Y,N,$10.00,$35.00,$39.00,$0.00,$0.00,$28.00,NC,28227,$3.08,$0.00,,
01/06/2022,01/20/2022,61e946a16ab2f49038a54a70,Pendleton Linen Blend Blazer Brown/Ivory Size 14,Women,Jackets & Coats,Blazers & Suit Jackets,Pendleton,Brown,14,N,Y,N,$6.60,$22.00,$34.00,$1.50,$0.00,$16.10,MN,55125,$0.00,$0.00,This sale is exempt from sales tax.,
12/19/2021,01/19/2022,61e873844e2876fc1d01fb97,Talbots Gingham Denim Jacket,Women,Jackets & Coats,Jean Jackets,Talbots,Pink,L,N,Y,N,$7.00,$19.00,$34.00,$0.00,$0.00,$15.20,TN,37764,$2.57,$0.00,,
01/05/2022,01/17/2022,61e62beaf065fecfe144f9b4,Free People Tortoise Ring Bucket Crossbody Bag,Women,Bags,Crossbody Bags,Free People,Brown,OS,N,Y,N,$6.60,$25.00,$45.00,$0.00,$0.00,$20.00,DC,20007,$1.95,$0.00,,
01/17/2022,01/21/2022,61eaf8a4fdea1bed5f17cff1,Under Armour Breathe Trainer Maroon Size 10,Women,Shoes,Athletic Shoes,Under Armour,Red,10,N,N,N,$10.00,$39.00,$39.00,$0.00,$0.00,$31.20,SC,29477,$3.25,$0.00,,
12/24/2021,01/22/2022,61ec26c0509fa8f0460c7a9a,Intimately Free People Ribbed Swing Tank,Women,Tops,Tank Tops,Free People,,S,N,Y,N,$9.00,$16.00,$28.00,$1.50,$0.00,$11.30,FL,32259,$1.43,$0.00,,
01/22/2022,01/25/2022,61f02225717660074824be3f,Cute Options Medieval Style Gypsy Top,Women,Tops,Blouses,cute options,Green,M,N,Y,N,$0.00,$18.00,$25.00,$0.00,$0.00,$14.40,FL,34601,$1.66,$0.00,,
01/03/2022,01/24/2022,61eef4dadb99b964c1a792e8,Vans Long Sleeve Hooded Graphic T Shirt,Kids,Shirts & Tops,Tees - Long Sleeve,Vans,Red,XLB,N,Y,N,$8.30,$15.00,$25.00,$1.50,$0.00,$10.50,MT,59068,--,,State does not currently impose a sales tax.,
01/17/2022,01/23/2022,61ee1d5393a1e999e9e6fe51,Vans x Harry Potter Limited Edition Ravenclaw Sneakers,Men,Shoes,Sneakers,Vans,Blue,9,N,Y,Y,$10.00,$50.00,$80.00,$0.00,$0.00,$40.00,FL,33607,$4.31,$0.00,,
12/30/2021,01/22/2022,61ec3ccaa9598fc9f05308fc,Burton Graphic Pullover Hoodie,Women,Tops,Sweatshirts & Hoodies,Burton,,XS,N,Y,N,$7.00,$13.00,$27.00,$0.00,$0.00,$10.05,IN,46555,$0.91,$0.00,,
01/04/2022,01/25/2022,61f080d893a1e92cc300afcc,ASOS Lock Down Studded Ballet Flats,Women,Shoes,Flats & Loafers,ASOS,Black,6,N,Y,N,$5.00,$22.00,$28.00,$1.50,$0.00,$16.10,OH,45133,$2.03,$0.00,,
01/05/2022,01/22/2022,61ec6c695cd8cee7684d5fda,Vintage 90s Tommy Bahama Collared Chenile Cardigan,Women,Sweaters,Cardigans,Tommy Bahama,Red,S,N,Y,N,$6.70,$12.00,$29.00,$0.00,$0.00,$9.05,OR,97501,--,,State does not currently impose a sales tax.,
01/13/2022,01/27/2022,61f291fe31471863ca108ce5,Lacoste Short Sleeve Pique Polo Light Blue,Men,Shirts,Polos,Lacoste,,3XL,N,Y,N,$9.00,$25.00,$38.00,$1.50,$0.00,$18.50,MD,20607,$1.50,$0.00,,
01/01/2022,01/25/2022,61f07052584b3d212249e795,Madewell Harper Leather Block Heel Mules,Women,Shoes,Mules & Clogs,Madewell,Black,8.5,N,Y,N,$8.00,$40.00,$65.00,$1.50,$0.00,$30.50,CA,94602,$4.10,$0.00,,
01/21/2022,01/28/2022,61f4315a243af560591cf73b,Coach Chelsea Black Leather Ballet Flats,Women,Shoes,Flats & Loafers,Coach,Black,6,N,N,N,$7.30,$37.00,$37.00,$0.00,$0.00,$29.60,OK,74848,$2.04,$0.00,,
01/09/2022,01/30/2022,61f6c0b65e0ba8472ec345d5,Anthropologie Akemi + Kin Iris Embroidered Buttondown Blouse,Women,Tops,Blouses,Anthropologie,Blue,S,N,Y,N,$6.70,$18.00,$21.00,$1.50,$0.00,$12.90,MA,1602,$0.00,$0.00,This sale is exempt from sales tax.,
01/04/2022,01/28/2022,61f4def8fc204d3d87f61279,Manas Orange Suede Heeled Ankle Booties,Women,Shoes,Ankle Boots & Booties,Manas Design,Orange,39EU,N,Y,N,$0.00,$24.00,$28.00,$1.50,$0.00,$17.70,NY,11217,$0.00,$0.00,This sale is exempt from sales tax.,
01/05/2022,01/27/2022,61f35b9a3169b26c435d18c2,Cole Haan Woven Leather Loafers,Women,Shoes,Flats & Loafers,Cole Haan,Brown,7,N,Y,N,$6.60,$39.00,$54.00,$0.00,$0.00,$31.20,MI,48195,$2.79,$0.00,,
01/24/2022,01/26/2022,61f1b37647471ae994919186,Wide Brim Embellished Grey Felt Fedora,Women,Accessories,Hats,no brand,Gray,OS,N,Y,N,$0.00,$19.00,$28.00,$1.50,$0.00,$13.70,IL,60615,$2.55,$0.00,,
01/07/2022,01/28/2022,61f4512d4220b539788cbc35,Franco Sarto Azura Cheetah Ankle Strap Heels,Women,Shoes,Heels,Franco Sarto,Black,9,N,Y,N,$7.00,$19.00,$24.00,$1.50,$0.00,$13.70,WA,98934,$2.01,$0.00,,
01/17/2022,01/30/2022,61f6c1dd57de97d1d794800b,Good American Good Waist Coated Skinny Ankle Jeans Size 8,Women,Jeans,Skinny,Good American,Gray,8,N,Y,N,$10.00,$40.00,$56.00,$0.00,$0.00,$32.00,OK,73159,$3.45,$0.00,,
02/01/2022,02/01/2022,61f9a675fc204d6d192eda1e,Karl Lagerfeld Ermine Slip On Sneaker,Women,Shoes,Sneakers,Karl Lagerfeld,Gray,8.5,N,Y,N,$8.00,$18.00,$28.00,$0.00,$0.00,$14.40,NC,27612,$1.85,$0.00,,
01/05/2022,02/03/2022,61fcad9263de85378e292f72,J/Slides Annabelle Platform Slip Ons,Women,Shoes,Sneakers,J/SLIDES,,7.5,N,Y,N,$6.00,$19.00,$27.00,$1.50,$0.00,$13.70,SC,29673,$1.50,$0.00,,
01/31/2022,02/01/2022,61f99e60243af5f4f7335d6b,Brooks Brothers Knit Single Button Blazer 8,Women,Jackets & Coats,Blazers & Suit Jackets,Brooks Brothers,Black,8,N,Y,N,$10.00,$34.00,$49.00,$1.50,$0.00,$25.70,DC,20010,$2.40,$0.00,,
01/02/2022,02/02/2022,61fae2e08f43b38a8371a247,Free People Tuscan Dreams Tunic Dress,Women,Tops,Tunics,Free People,White,M,N,Y,N,$9.00,$20.00,$40.00,$0.00,$0.00,$16.00,VA,24605,$1.06,$0.00,,
01/31/2022,02/03/2022,61f3dc5ae805234618f5c4ea,Lucky Brand Minna Taupe Suede Block Heel Mule Sandals 9 1/2,Women,Shoes,Heels,Lucky Brand,Tan,9.5,N,Y,N,$10.00,$29.00,$36.00,$1.50,$0.00,$21.70,PA,19153,$0.00,$0.00,This sale is exempt from sales tax.,
01/19/2022,02/04/2022,61fd262593a1e90bdf6b837f,Nike Air Printed Green/Grey Windbreaker Jacket Size XXL,Men,Jackets & Coats,Windbreakers,Nike,"Green,White",XXL,N,Y,N,$10.00,$49.00,$70.00,$0.00,$0.00,$39.20,NV,89141,$4.10,$0.00,,
01/04/2022,01/31/2022,61f843ba5cd1fba0a1fe226a,Livi by Olivia Rae High Waist Leggings,Women,Pants & Jumpsuits,Leggings,Livi by Olivia Rae,Black,L,N,Y,N,$0.00,$14.00,$18.00,$1.50,$0.00,$9.55,CA,95123,$1.32,$0.00,,
01/17/2022,02/03/2022,61fc354dd5ebc43c0502c154,Puma Fierce Rope VR Sneakers Size 7,Women,Shoes,Athletic Shoes,Puma,Green,7,N,Y,N,$10.00,$32.00,$44.00,$1.50,$0.00,$24.10,UT,84041,$2.32,$0.00,,
01/25/2022,02/05/2022,61fea01947471a0d03258374,Paige Huxton Ultra Skinny Jeans Size 27,Women,Jeans,Skinny,PAIGE,Blue,27,N,Y,N,$3.40,$29.00,$44.00,$1.50,$0.00,$21.70,TX,77046,$2.88,$0.00,,
12/29/2021,01/29/2022,61f5aa1521dac7b3780d15bf,Seven7 Skinny Easy Fit Knit Jeans,Women,Jeans,Skinny,Seven7,Blue,12,N,Y,N,$8.30,$22.00,$24.00,$0.00,$0.00,$17.60,FL,33610,$2.21,$0.00,,
01/22/2022,02/02/2022,61fad8fc3169b211a433d733,Keds Triple Kick Platform Jute Platform Sneakers,Women,Shoes,Sneakers,Keds,Blue,9,N,Y,N,$10.00,$25.00,$36.00,$0.00,$0.00,$20.00,ID,83714,$1.50,$0.00,,
01/31/2022,02/06/2022,62005fe9fdcbf6c8d8ce8046,NWT Soft Surroundings Straight Leg Ankle Jeans 12,Women,Jeans,Straight Leg,Soft Surroundings,Blue,12,N,Y,Y,$10.00,$25.00,$45.00,$0.00,$0.00,$20.00,TX,75704,$2.20,$0.00,,
