date,product_name,product_id,internal_cost,selling_price,salesperson,category,category_id,quantity_sold,total_revenue,profit,electronic_bill
7/7/2023,Drain Cleaner 5L SEIQ,DC011 ," $  5,632.90 "," $  9,012.64 ",oviedo95,Kitchen Cleaners,20,3," $  27,037.92 "," $  10,139.22 ",1
7/7/2023,Microfiber Cleaning Cloths x5 (35 x 40cm),MCC016 ," $  4,269.30 "," $  6,830.88 ",oviedo95,Cleaning Tools,22,3," $  20,492.64 "," $  7,684.74 ",1
7/7/2023,Microfiber Cleaning Cloths x5 (35 x 40cm),MCC016 ," $  4,269.30 "," $  6,830.88 ",oviedo95,Cleaning Tools,22,4," $  27,323.52 "," $  10,246.32 ",1
7/7/2023,Cleaning Gloves Scotch Brite M,CG021, $  205.10 , $  328.16 ,lamartinez,Personal Protection,23,7," $  2,297.12 ", $  861.42 ,1
7/7/2023,Drain Cleaner 5L SEIQ,DC011 ," $  5,632.90 "," $  9,012.64 ",lamartinez,Kitchen Cleaners,20,6," $  54,075.84 "," $  20,278.44 ",1
7/7/2023,Dishwasher Cleaner 1kg SUN,DCC013 , $  602.70 , $  964.32 ,fherrera,Kitchen Cleaners,20,4," $  3,857.28 "," $  1,446.48 ",0
7/7/2023,Trash Bag Asurin Green x20 (45x60cm),TB018 , $  401.80 , $  642.88 ,fherrera,Personal Protection,23,10," $  6,428.80 "," $  2,410.80 ",0
7/8/2023,Grout Cleaner 1L SecoCleaner,GC006 ," $  4,578.70 "," $  7,325.92 ",lamartinez,Bathroom Cleaners,16,10," $  73,259.20 "," $  27,472.20 ",1
7/8/2023,Drain Cleaner 5L SEIQ,DC011 ," $  5,632.90 "," $  9,012.64 ",fherrera,Kitchen Cleaners,20,7," $  63,088.48 "," $  23,658.18 ",1
7/8/2023,Microfiber Cleaning Cloths x1 (35 x 40cm),MCC012 , $  909.30 ," $  1,454.88 ",oviedo95,Cleaning Tools,22,10," $  14,548.80 "," $  5,455.80 ",1
7/8/2023,Toilet Bowl Cleaner HG 500ml,TBC005 ," $  1,565.90 "," $  2,505.44 ",lamartinez,Bathroom Cleaners,16,7," $  17,538.08 "," $  6,576.78 ",0
7/8/2023,Mop Head Promis Max Vileda,MH017 ," $  4,309.90 "," $  6,895.84 ",fherrera,Cleaning Tools,22,10," $  68,958.40 "," $  25,859.40 ",0
7/8/2023,Carpet Stain Remover 5L SecoCleaner,CSR002 ," $  2,520.00 "," $  4,032.00 ",oviedo95,Surface Cleaners,23,6," $  24,192.00 "," $  9,072.00 ",1
7/8/2023,Lint Roller Scoth Brite ,LR015 ," $  1,085.00 "," $  1,736.00 ",fherrera,Dusting and Polishing,18,10," $  17,360.00 "," $  6,510.00 ",1
7/8/2023,Disposable Cleaning Wipes x40 Bialcohol,DCW014 ," $  1,624.00 "," $  2,598.40 ",lamartinez,Disposable and Convenience,21,5," $  12,992.00 "," $  4,872.00 ",0
7/8/2023,Fabric Freshener Poet 250ml,FF003 , $  695.10 ," $  1,112.16 ",lamartinez,Surface Cleaners,23,4," $  4,448.64 "," $  1,668.24 ",0
7/8/2023,Trash Bag Asurin Green x20 (45x60cm),TB018 , $  401.80 , $  642.88 ,lamartinez,Personal Protection,23,8," $  5,143.04 "," $  1,928.64 ",0
7/8/2023,Microfiber Cleaning Cloths x1 (35 x 40cm),MCC012 , $  909.30 ," $  1,454.88 ",fherrera,Cleaning Tools,22,5," $  7,274.40 "," $  2,727.90 ",0
7/8/2023,Mop Head Promis Max Vileda,MH017 ," $  4,309.90 "," $  6,895.84 ",oviedo95,Cleaning Tools,22,4," $  27,583.36 "," $  10,343.76 ",0
7/9/2023,Carpet Stain Remover 5L SecoCleaner,CSR002 ," $  2,520.00 "," $  4,032.00 ",fherrera,Surface Cleaners,23,7," $  28,224.00 "," $  10,584.00 ",1
7/9/2023,Microfiber Cleaning Cloths x1 (35 x 40cm),MCC012 , $  909.30 ," $  1,454.88 ",fherrera,Cleaning Tools,22,10," $  14,548.80 "," $  5,455.80 ",1
7/9/2023,Mop Head Promis Max Vileda,MH017 ," $  4,309.90 "," $  6,895.84 ",oviedo95,Cleaning Tools,22,2," $  13,791.68 "," $  5,171.88 ",0
7/9/2023,Sponge Virulana,S018 , $  217.00 , $  347.20 ,fherrera,Cleaning Tools,22,8," $  2,777.60 "," $  1,041.60 ",0
7/9/2023,Microfiber Cleaning Cloths x5 (35 x 40cm),MCC016 ," $  4,269.30 "," $  6,830.88 ",oviedo95,Cleaning Tools,22,6," $  40,985.28 "," $  15,369.48 ",0
7/9/2023,Lint Roller Scoth Brite ,LR015 ," $  1,085.00 "," $  1,736.00 ",lamartinez,Dusting and Polishing,18,5," $  8,680.00 "," $  3,255.00 ",0
7/9/2023,Mold and Mildew Remover 5L SecoCleaner,MMR010 ," $  5,791.10 "," $  9,265.76 ",fherrera,Bathroom Cleaners,16,6," $  55,594.56 "," $  20,847.96 ",1
7/9/2023,Wood Floor Cleaner 5L SecoCleaner,WFC009 ," $  5,904.50 "," $  9,447.20 ",lamartinez,Furniture and Wood Care,17,10," $  94,472.00 "," $  35,427.00 ",0
7/9/2023,Oven Cleaner 5L Sutter,OC012 ," $  1,707.30 "," $  2,731.68 ",lamartinez,Kitchen Cleaners,20,10," $  27,316.80 "," $  10,243.80 ",0
7/9/2023,Dusting Spray RD90 130gr,DS008 ," $  4,200.00 "," $  6,720.00 ",fherrera,Dusting and Polishing,18,3," $  20,160.00 "," $  7,560.00 ",1
7/9/2023,Sponge Virulana,S018 , $  217.00 , $  347.20 ,oviedo95,Cleaning Tools,22,10," $  3,472.00 "," $  1,302.00 ",1
7/9/2023,Trash Bag Asurin Green x20 (45x60cm),TB018 , $  401.80 , $  642.88 ,fherrera,Personal Protection,23,3," $  1,928.64 ", $  723.24 ,0
7/9/2023,Dusting Spray RD90 130gr,DS008 ," $  4,200.00 "," $  6,720.00 ",fherrera,Dusting and Polishing,18,10," $  67,200.00 "," $  25,200.00 ",0
7/9/2023,Sponge Virulana,S018 , $  217.00 , $  347.20 ,oviedo95,Cleaning Tools,22,2, $  694.40 , $  260.40 ,0
7/9/2023,Disposable Cleaning Wipes x40 Bialcohol,DCW014 ," $  1,624.00 "," $  2,598.40 ",lamartinez,Disposable and Convenience,21,10," $  25,984.00 "," $  9,744.00 ",1
7/9/2023,Toilet Bowl Cleaner HG 500ml,TBC005 ," $  1,565.90 "," $  2,505.44 ",oviedo95,Bathroom Cleaners,16,6," $  15,032.64 "," $  5,637.24 ",0
7/9/2023,Cleaning Gloves Scotch Brite L,CG022, $  219.10 , $  350.56 ,fherrera,Personal Protection,23,4," $  1,402.24 ", $  525.84 ,1
7/9/2023,Dusting Spray RD90 130gr,DS008 ," $  4,200.00 "," $  6,720.00 ",fherrera,Dusting and Polishing,18,6," $  40,320.00 "," $  15,120.00 ",0
7/10/2023,Mold and Mildew Remover 5L SecoCleaner,MMR010 ," $  5,791.10 "," $  9,265.76 ",fherrera,Bathroom Cleaners,16,10," $  92,657.60 "," $  34,746.60 ",0
7/10/2023,Fabric Freshener Poet 250ml,FF003 , $  695.10 ," $  1,112.16 ",oviedo95,Surface Cleaners,23,3," $  3,336.48 "," $  1,251.18 ",1
7/10/2023,Carpet Stain Remover 5L SecoCleaner,CSR002 ," $  2,520.00 "," $  4,032.00 ",fherrera,Surface Cleaners,23,10," $  40,320.00 "," $  15,120.00 ",0
7/10/2023,Microfiber Cleaning Cloths x1 (35 x 40cm),MCC012 , $  909.30 ," $  1,454.88 ",fherrera,Cleaning Tools,22,10," $  14,548.80 "," $  5,455.80 ",0
7/10/2023,Cleaning Gloves Scotch Brite M,CG021, $  205.10 , $  328.16 ,oviedo95,Personal Protection,23,10," $  3,281.60 "," $  1,230.60 ",0
7/10/2023,Cleaning Gloves Scotch Brite S,CG020 , $  184.10 , $  294.56 ,lamartinez,Personal Protection,23,7," $  2,061.92 ", $  773.22 ,0
7/10/2023,Dishwasher Cleaner 1kg SUN,DCC013 , $  602.70 , $  964.32 ,lamartinez,Kitchen Cleaners,20,7," $  6,750.24 "," $  2,531.34 ",0
7/10/2023,Oven Cleaner 5L Sutter,OC012 ," $  1,707.30 "," $  2,731.68 ",fherrera,Kitchen Cleaners,20,7," $  19,121.76 "," $  7,170.66 ",1
7/10/2023,Mold and Mildew Remover 5L SecoCleaner,MMR010 ," $  5,791.10 "," $  9,265.76 ",fherrera,Bathroom Cleaners,16,6," $  55,594.56 "," $  20,847.96 ",1
7/10/2023,Toilet Bowl Cleaner HG 500ml,TBC005 ," $  1,565.90 "," $  2,505.44 ",lamartinez,Bathroom Cleaners,16,2," $  5,010.88 "," $  1,879.08 ",1
7/10/2023,Dusting Spray RD90 130gr,DS008 ," $  4,200.00 "," $  6,720.00 ",fherrera,Dusting and Polishing,18,6," $  40,320.00 "," $  15,120.00 ",1
7/10/2023,Oven Cleaner 5L Sutter,OC012 ," $  1,707.30 "," $  2,731.68 ",lamartinez,Kitchen Cleaners,20,7," $  19,121.76 "," $  7,170.66 ",0
7/10/2023,Microfiber Cleaning Cloths x1 (35 x 40cm),MCC012 , $  909.30 ," $  1,454.88 ",lamartinez,Cleaning Tools,22,8," $  11,639.04 "," $  4,364.64 ",0
7/10/2023,Wood Floor Cleaner 5L SecoCleaner,WFC009 ," $  5,904.50 "," $  9,447.20 ",lamartinez,Furniture and Wood Care,17,10," $  94,472.00 "," $  35,427.00 ",1
7/10/2023,Cleaning Gloves Scotch Brite S,CG020 , $  184.10 , $  294.56 ,lamartinez,Personal Protection,23,2, $  589.12 , $  220.92 ,1
7/10/2023,Air Freshener Glade 360ml,AF004 , $  531.30 , $  850.08 ,fherrera,Surface Cleaners,23,8," $  6,800.64 "," $  2,550.24 ",0
7/10/2023,Furniture Polish SecoCleaner 120cc,FP007 ," $  1,943.90 "," $  3,110.24 ",lamartinez,Furniture and Wood Care,17,2," $  6,220.48 "," $  2,332.68 ",1
7/10/2023,Toilet Bowl Cleaner HG 500ml,TBC005 ," $  1,565.90 "," $  2,505.44 ",fherrera,Bathroom Cleaners,16,10," $  25,054.40 "," $  9,395.40 ",0
7/10/2023,Cleaning Gloves Scotch Brite S,CG020 , $  184.10 , $  294.56 ,lamartinez,Personal Protection,23,4," $  1,178.24 ", $  441.84 ,0
7/10/2023,Grout Cleaner 1L SecoCleaner,GC006 ," $  4,578.70 "," $  7,325.92 ",lamartinez,Bathroom Cleaners,16,10," $  73,259.20 "," $  27,472.20 ",1
7/10/2023,Microfiber Cleaning Cloths x1 (35 x 40cm),MCC012 , $  909.30 ," $  1,454.88 ",lamartinez,Cleaning Tools,22,6," $  8,729.28 "," $  3,273.48 ",0
7/10/2023,Cleaning Gloves Scotch Brite S,CG020 , $  184.10 , $  294.56 ,lamartinez,Personal Protection,23,6," $  1,767.36 ", $  662.76 ,0
7/10/2023,Cleaning Gloves Scotch Brite L,CG022, $  219.10 , $  350.56 ,lamartinez,Personal Protection,23,6," $  2,103.36 ", $  788.76 ,1
7/10/2023,Carpet Stain Remover 5L SecoCleaner,CSR002 ," $  2,520.00 "," $  4,032.00 ",lamartinez,Surface Cleaners,23,3," $  12,096.00 "," $  4,536.00 ",0
7/10/2023,Fabric Freshener Poet 250ml,FF003 , $  695.10 ," $  1,112.16 ",fherrera,Surface Cleaners,23,3," $  3,336.48 "," $  1,251.18 ",0
7/10/2023,Furniture Polish SecoCleaner 120cc,FP007 ," $  1,943.90 "," $  3,110.24 ",lamartinez,Furniture and Wood Care,17,3," $  9,330.72 "," $  3,499.02 ",1
7/11/2023,Mop Head Promis Max Vileda,MH017 ," $  4,309.90 "," $  6,895.84 ",lamartinez,Cleaning Tools,22,2," $  13,791.68 "," $  5,171.88 ",1
7/11/2023,Disposable Cleaning Wipes x40 Bialcohol,DCW014 ," $  1,624.00 "," $  2,598.40 ",oviedo95,Disposable and Convenience,21,7," $  18,188.80 "," $  6,820.80 ",0
7/11/2023,Microfiber Cleaning Cloths x5 (35 x 40cm),MCC016 ," $  4,269.30 "," $  6,830.88 ",oviedo95,Cleaning Tools,22,6," $  40,985.28 "," $  15,369.48 ",0
7/11/2023,Sponge Virulana,S018 , $  217.00 , $  347.20 ,oviedo95,Cleaning Tools,22,7," $  2,430.40 ", $  911.40 ,0
7/11/2023,Cleaning Gloves Scotch Brite M,CG021, $  205.10 , $  328.16 ,lamartinez,Personal Protection,23,4," $  1,312.64 ", $  492.24 ,0
7/11/2023,Cleaning Gloves Scotch Brite S,CG020 , $  184.10 , $  294.56 ,oviedo95,Personal Protection,23,2, $  589.12 , $  220.92 ,1
7/11/2023,Cleaning Gloves Scotch Brite M,CG021, $  205.10 , $  328.16 ,lamartinez,Personal Protection,23,6," $  1,968.96 ", $  738.36 ,1
7/11/2023,Furniture Polish SecoCleaner 120cc,FP007 ," $  1,943.90 "," $  3,110.24 ",oviedo95,Furniture and Wood Care,17,2," $  6,220.48 "," $  2,332.68 ",1
7/11/2023,Trash Bag Asurin Green x30 (50x70cm),TB019 , $  431.20 , $  689.92 ,fherrera,Personal Protection,23,10," $  6,899.20 "," $  2,587.20 ",0
7/11/2023,Drain Cleaner 5L SEIQ,DC011 ," $  5,632.90 "," $  9,012.64 ",fherrera,Kitchen Cleaners,20,5," $  45,063.20 "," $  16,898.70 ",1
7/11/2023,Mold and Mildew Remover 5L SecoCleaner,MMR010 ," $  5,791.10 "," $  9,265.76 ",oviedo95,Bathroom Cleaners,16,10," $  92,657.60 "," $  34,746.60 ",1
7/11/2023,Lint Roller Scoth Brite ,LR015 ," $  1,085.00 "," $  1,736.00 ",lamartinez,Dusting and Polishing,18,2," $  3,472.00 "," $  1,302.00 ",0
7/11/2023,Microfiber Cleaning Cloths x5 (35 x 40cm),MCC016 ," $  4,269.30 "," $  6,830.88 ",oviedo95,Cleaning Tools,22,10," $  68,308.80 "," $  25,615.80 ",1
7/11/2023,Cleaning Gloves Scotch Brite L,CG022, $  219.10 , $  350.56 ,lamartinez,Personal Protection,23,10," $  3,505.60 "," $  1,314.60 ",0
7/11/2023,Dusting Spray RD90 130gr,DS008 ," $  4,200.00 "," $  6,720.00 ",fherrera,Dusting and Polishing,18,2," $  13,440.00 "," $  5,040.00 ",0
7/11/2023,Air Freshener Glade 360ml,AF004 , $  531.30 , $  850.08 ,fherrera,Surface Cleaners,23,7," $  5,950.56 "," $  2,231.46 ",0
7/11/2023,Microfiber Cleaning Cloths x1 (35 x 40cm),MCC012 , $  909.30 ," $  1,454.88 ",oviedo95,Cleaning Tools,22,10," $  14,548.80 "," $  5,455.80 ",0
7/11/2023,Grout Cleaner 1L SecoCleaner,GC006 ," $  4,578.70 "," $  7,325.92 ",lamartinez,Bathroom Cleaners,16,6," $  43,955.52 "," $  16,483.32 ",1
7/11/2023,Fabric Freshener Poet 250ml,FF003 , $  695.10 ," $  1,112.16 ",lamartinez,Surface Cleaners,23,6," $  6,672.96 "," $  2,502.36 ",1
7/11/2023,Wood Floor Cleaner 5L SecoCleaner,WFC009 ," $  5,904.50 "," $  9,447.20 ",lamartinez,Furniture and Wood Care,17,5," $  47,236.00 "," $  17,713.50 ",0
7/12/2023,Dishwasher Cleaner 1kg SUN,DCC013 , $  602.70 , $  964.32 ,fherrera,Kitchen Cleaners,20,10," $  9,643.20 "," $  3,616.20 ",0
7/12/2023,Cleaning Gloves Scotch Brite S,CG020 , $  184.10 , $  294.56 ,lamartinez,Personal Protection,23,5," $  1,472.80 ", $  552.30 ,1
7/12/2023,Microfiber Cleaning Cloths x5 (35 x 40cm),MCC016 ," $  4,269.30 "," $  6,830.88 ",lamartinez,Cleaning Tools,22,3," $  20,492.64 "," $  7,684.74 ",0
7/12/2023,Grout Cleaner 1L SecoCleaner,GC006 ," $  4,578.70 "," $  7,325.92 ",oviedo95,Bathroom Cleaners,16,10," $  73,259.20 "," $  27,472.20 ",0
7/12/2023,Dusting Spray RD90 130gr,DS008 ," $  4,200.00 "," $  6,720.00 ",lamartinez,Dusting and Polishing,18,5," $  33,600.00 "," $  12,600.00 ",0
7/12/2023,Cleaning Gloves Scotch Brite L,CG022, $  219.10 , $  350.56 ,lamartinez,Personal Protection,23,7," $  2,453.92 ", $  920.22 ,0
7/12/2023,Grout Cleaner 1L SecoCleaner,GC006 ," $  4,578.70 "," $  7,325.92 ",lamartinez,Bathroom Cleaners,16,3," $  21,977.76 "," $  8,241.66 ",1
7/12/2023,Lint Roller Scoth Brite ,LR015 ," $  1,085.00 "," $  1,736.00 ",lamartinez,Dusting and Polishing,18,7," $  12,152.00 "," $  4,557.00 ",0
7/12/2023,Microfiber Cleaning Cloths x1 (35 x 40cm),MCC012 , $  909.30 ," $  1,454.88 ",lamartinez,Cleaning Tools,22,6," $  8,729.28 "," $  3,273.48 ",1
7/12/2023,Dusting Spray RD90 130gr,DS008 ," $  4,200.00 "," $  6,720.00 ",oviedo95,Dusting and Polishing,18,3," $  20,160.00 "," $  7,560.00 ",0
7/12/2023,Trash Bag Asurin Green x30 (50x70cm),TB019 , $  431.20 , $  689.92 ,fherrera,Personal Protection,23,7," $  4,829.44 "," $  1,811.04 ",0
7/12/2023,Cleaning Gloves Scotch Brite M,CG021, $  205.10 , $  328.16 ,fherrera,Personal Protection,23,10," $  3,281.60 "," $  1,230.60 ",1
