# of Tickets,Ticket Type,Ticket #,Ticket Giveaway,Event attended,Ticket price,Media Space/ Booth,Sponsorship,Sponsorship Cost,Industry,Primary Social Media Platforms,City,State,Zip Code,Country
1,General Admission,WS-GA-389971999,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Orlando,Florida,32805,USA
1,General Admission,WS-GA-389972064,Y,Y,$295.00,N,N,$0.00,Professional Services,Twitter,Orlando,Florida,32805,USA
1,General Admission,WS-GA-389972129,N,Y,$295.00,N,N,$0.00,Finance,Twitter,Hialeah,Florida,33011,USA
1,General Admission,WS-GA-389972139,N,Y,$295.00,N,N,$0.00,Technology,Twitter,Hialeah,Florida,33011,USA
1,General Admission,WS-GA-389971936,Y,Y,$295.00,N,N,$0.00,Human Resources,Twitter,Miramar,Florida,33025,USA
1,General Admission,WS-GA-389971933,Y,Y,$295.00,N,N,$0.00,Finance,Linkedin,Miramar,Florida,33025,USA
1,General Admission,WS-GA-389972132,N,Y,$295.00,N,N,$0.00,Finance,Linkedin,Miami,Florida,33102,USA
1,General Admission,WS-GA-389971953,Y,Y,$295.00,N,N,$0.00,Entertainment,Tik Tok,Miami,Florida,33109,USA
1,General Admission,WS-GA-389971961,Y,Y,$295.00,N,N,$0.00,Fashion,Tik Tok,Miami,Florida,33109,USA
1,General Admission,WS-GA-389972044,Y,Y,$295.00,N,N,$0.00,Technology,Instagram,Miami,Florida,33111,USA
1,General Admission,WS-GA-389972043,Y,Y,$295.00,N,N,$0.00,Education,Instagram,Miami,Florida,33114,USA
1,General Admission,WS-GA-389972061,Y,Y,$295.00,N,N,$0.00,Finance,Linkedin,Miami,Florida,33114,USA
1,General Admission,WS-GA-389972075,Y,Y,$295.00,N,N,$0.00,Education,Facebook,Miami,Florida,33126,USA
1,General Admission,WS-GA-389972076,Y,Y,$295.00,N,N,$0.00,Professional Services,Twitter,Miami,Florida,33126,USA
1,General Admission,WS-GA-389971921,Y,Y,$295.00,N,N,$0.00,Finance,Linkedin,Miami,Florida,33128,USA
1,General Admission,WS-GA-389971923,Y,Y,$295.00,N,N,$0.00,Finance,Linkedin,Miami,Florida,33128,USA
1,General Admission,WS-GA-389971924,Y,Y,$295.00,N,N,$0.00,Construction,Linkedin,Miami,Florida,33128,USA
1,General Admission,WS-GA-389972084,Y,Y,$295.00,N,N,$0.00,Education,Facebook,Miami,Florida,33128,USA
1,General Admission,WS-GA-389972090,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33128,USA
1,General Admission,WS-GA-389971895,N,Y,$295.00,N,N,$0.00,Education,Twitter,Miami,Florida,33135,USA
1,General Admission,WS-GA-389971899,N,Y,$295.00,N,N,$0.00,Broadcasting,Tik Tok,Miami,Florida,33135,USA
1,General Admission,WS-GA-389971901,N,Y,$295.00,N,N,$0.00,Finance,Twitter,Miami,Florida,33135,USA
1,General Admission,WS-GA-389972113,N,Y,$295.00,N,N,$0.00,Human Resources,Twitter,Miami,Florida,33135,USA
1,General Admission,WS-GA-389972114,N,Y,$295.00,N,N,$0.00,Manufacturing,Facebook,Miami,Florida,33135,USA
1,General Admission,WS-GA-389972147,N,Y,$295.00,N,N,$0.00,Fashion,Instagram,Miami,Florida,33135,USA
1,General Admission,WS-GA-389972148,N,Y,$295.00,N,N,$0.00,Fashion,Instagram,Miami,Florida,33135,USA
1,General Admission,WS-GA-389971926,Y,Y,$295.00,N,N,$0.00,Entertainment,Instagram,Miami,Florida,33135,USA
1,General Admission,WS-GA-389971927,Y,Y,$295.00,N,N,$0.00,Human Resources,Linkedin,Miami,Florida,33135,USA
1,General Admission,WS-GA-389971928,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33135,USA
1,General Admission,WS-GA-389971929,Y,Y,$295.00,N,N,$0.00,Personal Services,Instagram,Miami,Florida,33135,USA
1,General Admission,WS-GA-389971930,Y,Y,$295.00,N,N,$0.00,Broadcasting,Twitter,Miami,Florida,33135,USA
1,General Admission,WS-GA-389971943,Y,Y,$295.00,N,N,$0.00,Professional Services,Facebook,Miami,Florida,33135,USA
1,General Admission,WS-GA-389971944,Y,Y,$295.00,N,N,$0.00,Broadcasting,Instagram,Miami,Florida,33135,USA
1,General Admission,WS-GA-389971946,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33135,USA
1,General Admission,WS-GA-389971947,Y,Y,$295.00,N,N,$0.00,Education,Twitter,Miami,Florida,33135,USA
1,General Admission,WS-GA-389971916,Y,Y,$295.00,N,N,$0.00,Human Resources,Linkedin,Miami,Florida,33137,USA
1,General Admission,WS-GA-389971917,Y,Y,$295.00,N,N,$0.00,Education,Linkedin,Miami,Florida,33137,USA
1,General Admission,WS-GA-389971918,Y,Y,$295.00,N,N,$0.00,Broadcasting,Twitter,Miami,Florida,33137,USA
1,General Admission,WS-GA-389971975,Y,Y,$295.00,N,N,$0.00,Retail,Twitter,Miami,Florida,33137,USA
1,General Admission,WS-GA-389971976,Y,Y,$295.00,N,N,$0.00,Technology,Tik Tok,Miami,Florida,33137,USA
1,General Admission,WS-GA-389971977,Y,Y,$295.00,N,N,$0.00,Broadcasting,Linkedin,Miami,Florida,33137,USA
1,General Admission,WS-GA-389971987,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33137,USA
1,General Admission,WS-GA-389971988,Y,Y,$295.00,N,N,$0.00,Construction,Twitter,Miami,Florida,33137,USA
1,General Admission,WS-GA-389971904,N,Y,$295.00,N,N,$0.00,Fashion,Instagram,Miami,Florida,33139,USA
1,General Admission,WS-GA-389971905,N,Y,$295.00,N,N,$0.00,Broadcasting,Twitter,Miami,Florida,33139,USA
1,General Admission,WS-GA-389972091,N,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33145,USA
1,General Admission,WS-GA-389972092,N,Y,$295.00,N,N,$0.00,Education,Twitter,Miami,Florida,33145,USA
1,General Admission,WS-GA-389972093,N,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33145,USA
1,General Admission,WS-GA-389972094,N,Y,$295.00,N,N,$0.00,Education,Tik Tok,Miami,Florida,33145,USA
1,General Admission,WS-GA-389972143,N,Y,$295.00,N,N,$0.00,Human Resources,Twitter,Miami,Florida,33145,USA
1,General Admission,WS-GA-389971910,Y,Y,$295.00,N,N,$0.00,Healthcare,Instagram,Miami,Florida,33145,USA
1,General Admission,WS-GA-389971911,Y,Y,$295.00,N,N,$0.00,Fashion,Instagram,Miami,Florida,33145,USA
1,General Admission,WS-GA-389971912,Y,Y,$295.00,N,N,$0.00,Agriculture,Instagram,Miami,Florida,33145,USA
1,General Admission,WS-GA-389971913,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33145,USA
1,General Admission,WS-GA-389971939,Y,Y,$295.00,N,N,$0.00,Education,Instagram,Miami,Florida,33145,USA
1,General Admission,WS-GA-389971940,Y,Y,$295.00,N,N,$0.00,Education,Instagram,Miami,Florida,33145,USA
1,General Admission,WS-GA-389972105,N,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33157,USA
1,General Admission,WS-GA-389972111,N,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33157,USA
1,General Admission,WS-GA-389972119,N,Y,$295.00,N,N,$0.00,Healthcare,Instagram,Miami,Florida,33157,USA
1,General Admission,WS-GA-389972128,N,Y,$295.00,N,N,$0.00,Education,Twitter,Miami,Florida,33157,USA
1,General Admission,WS-GA-389972141,N,Y,$295.00,N,N,$0.00,Education,Tik Tok,Miami,Florida,33157,USA
1,General Admission,WS-GA-389971907,Y,Y,$295.00,N,N,$0.00,Entertainment,Instagram,Miami,Florida,33157,USA
1,General Admission,WS-GA-389971955,Y,Y,$295.00,N,N,$0.00,Entertainment,Tik Tok,Miami,Florida,33157,USA
1,General Admission,WS-GA-389971956,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33157,USA
1,General Admission,WS-GA-389971972,Y,Y,$295.00,N,N,$0.00,Fashion,Twitter,Miami,Florida,33157,USA
1,General Admission,WS-GA-389972126,N,Y,$295.00,N,N,$0.00,Finance,Linkedin,North Miami,Florida,33157,USA
1,General Admission,WS-GA-389971991,Y,Y,$295.00,N,N,$0.00,Finance,Twitter,Miami,Florida,33165,USA
1,General Admission,WS-GA-389971993,Y,Y,$295.00,N,N,$0.00,Education,Instagram,Miami,Florida,33165,USA
1,General Admission,WS-GA-389971997,Y,Y,$295.00,N,N,$0.00,Personal Services,Twitter,Miami,Florida,33165,USA
1,General Admission,WS-GA-389972006,Y,Y,$295.00,N,N,$0.00,Healthcare,Twitter,Miami,Florida,33165,USA
1,General Admission,WS-GA-389972015,Y,Y,$295.00,N,N,$0.00,Finance,Instagram,Miami,Florida,33165,USA
1,General Admission,WS-GA-389972018,Y,N,$295.00,N,N,$0.00,Fashion,Instagram,Miami,Florida,33165,USA
1,General Admission,WS-GA-389972019,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33165,USA
1,General Admission,WS-GA-389972022,Y,Y,$295.00,N,N,$0.00,Healthcare,Instagram,Miami,Florida,33165,USA
1,General Admission,WS-GA-389972011,Y,Y,$295.00,N,N,$0.00,Human Resources,Twitter,North Miami,Florida,33165,USA
1,General Admission,WS-GA-389972031,Y,Y,$295.00,N,N,$0.00,Retail,Instagram,Miami,Florida,33175,USA
1,General Admission,WS-GA-389972035,Y,Y,$295.00,N,N,$0.00,Finance,Twitter,Miami,Florida,33175,USA
1,General Admission,WS-GA-389972036,Y,Y,$295.00,N,N,$0.00,Entertainment,Tik Tok,Miami,Florida,33175,USA
1,General Admission,WS-GA-389972047,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33175,USA
1,General Admission,WS-GA-389972050,Y,Y,$295.00,N,N,$0.00,Entertainment,Tik Tok,Miami,Florida,33175,USA
1,General Admission,WS-GA-389972066,Y,Y,$295.00,N,N,$0.00,Technology,Tik Tok,Miami,Florida,33175,USA
1,General Admission,WS-GA-389972067,Y,Y,$295.00,N,N,$0.00,Entertainment,Twitter,Miami,Florida,33175,USA
1,General Admission,WS-GA-389972068,Y,Y,$295.00,N,N,$0.00,Technology,Tik Tok,Miami,Florida,33175,USA
1,General Admission,WS-GA-389972069,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33175,USA
1,General Admission,WS-GA-389972073,Y,Y,$295.00,N,N,$0.00,Education,Twitter,Miami,Florida,33177,USA
1,General Admission,WS-GA-389972080,Y,Y,$295.00,N,N,$0.00,Retail,Linkedin,Miami,Florida,33177,USA
1,General Admission,WS-GA-389972081,Y,Y,$295.00,N,N,$0.00,Finance,Instagram,Miami,Florida,33177,USA
1,General Admission,WS-GA-389972098,N,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972100,N,Y,$295.00,N,N,$0.00,Broadcasting,Tik Tok,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972109,N,Y,$295.00,N,N,$0.00,Fashion,Instagram,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972117,N,Y,$295.00,N,N,$0.00,Agriculture,Instagram,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972121,N,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972125,N,Y,$295.00,N,N,$0.00,Healthcare,Instagram,Miami,Florida,33186,USA
1,General Admission,WS-GA-389971937,Y,Y,$295.00,N,N,$0.00,Construction,Instagram,Miami,Florida,33186,USA
1,General Admission,WS-GA-389971950,Y,Y,$295.00,N,N,$0.00,Fashion,Instagram,Miami,Florida,33186,USA
1,General Admission,WS-GA-389971964,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33186,USA
1,General Admission,WS-GA-389971965,Y,Y,$295.00,N,N,$0.00,Education,Twitter,Miami,Florida,33186,USA
1,General Admission,WS-GA-389971966,Y,Y,$295.00,N,N,$0.00,Fashion,Instagram,Miami,Florida,33186,USA
1,General Admission,WS-GA-389971967,Y,Y,$295.00,N,N,$0.00,Retail,Facebook,Miami,Florida,33186,USA
1,General Admission,WS-GA-389971968,Y,Y,$295.00,N,N,$0.00,Technology,Discord,Miami,Florida,33186,USA
1,General Admission,WS-GA-389971985,Y,Y,$295.00,N,N,$0.00,Technology,Facebook,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972003,Y,Y,$295.00,N,N,$0.00,Fashion,Instagram,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972004,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972028,Y,Y,$295.00,N,N,$0.00,Education,Twitter,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972029,Y,Y,$295.00,N,N,$0.00,Food Service,Facebook,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972040,Y,Y,$295.00,N,N,$0.00,Finance,Linkedin,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972041,Y,Y,$295.00,N,N,$0.00,Food Service,Twitter,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972053,Y,Y,$295.00,N,N,$0.00,Education,Twitter,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972054,Y,Y,$295.00,N,N,$0.00,Broadcasting,Twitter,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972055,Y,Y,$295.00,N,N,$0.00,Technology,Instagram,Miami,Florida,33186,USA
1,General Admission,WS-GA-389972056,Y,Y,$295.00,N,N,$0.00,Retail,Instagram,Miami,Florida,33186,USA
1,General Admission,WS-GA-389971903,N,Y,$295.00,N,N,$0.00,Education,Linkedin,Delray Beach,Florida,33444,USA
1,General Admission,WS-GA-389971925,Y,Y,$295.00,N,N,$0.00,Agriculture,Instagram,Delray Beach,Florida,33444,USA
1,General Admission,WS-GA-389972058,Y,Y,$295.00,N,N,$0.00,Engineering,Instagram,Delray Beach,Florida,33444,USA
1,General Admission,WS-GA-389972072,Y,Y,$295.00,N,N,$0.00,Food Service,Linkedin,Delray Beach,Florida,33446,USA
1,General Admission,WS-GA-389972009,Y,Y,$295.00,N,N,$0.00,Professional Services,Instagram,Delray Beach,Florida,33484,USA
1,General Admission,WS-GA-389972013,Y,Y,$295.00,N,N,$0.00,Engineering,Twitter,Delray Beach,Florida,33484,USA
1,General Admission,WS-GA-389971898,N,Y,$295.00,N,N,$0.00,Education,Facebook,Tampa,Florida,33602,USA
1,General Admission,WS-GA-389972099,N,Y,$295.00,N,N,$0.00,Technology,Discord,Tampa,Florida,33602,USA
1,General Admission,WS-GA-389972023,Y,Y,$295.00,N,N,$0.00,Technology,Linkedin,Tampa,Florida,33602,USA
1,General Admission,WS-GA-389972026,Y,Y,$295.00,N,N,$0.00,Technology,Instagram,Tampa,Florida,33602,USA
1,General Admission,WS-GA-389971938,Y,Y,$295.00,N,N,$0.00,Technology,Linkedin,Tampa,Florida,33605,USA
1,General Admission,WS-GA-389971954,Y,Y,$295.00,N,N,$0.00,Education,Instagram,Tampa,Florida,33605,USA
1,General Admission,WS-GA-389972086,Y,Y,$295.00,N,N,$0.00,Personal Services,Instagram,Tampa,Florida,33607,USA
1,General Admission,WS-GA-389971978,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Tampa,Florida,33609,USA
1,General Admission,WS-GA-389971990,Y,Y,$295.00,N,N,$0.00,Technology,Tik Tok,Tampa,Florida,33609,USA
1,General Admission,WS-GA-389972014,Y,Y,$295.00,N,N,$0.00,Technology,Tik Tok,Tampa,Florida,33609,USA
1,General Admission,WS-GA-389972144,N,Y,$295.00,N,N,$0.00,Healthcare,Instagram,Clearwater,Florida,33757,USA
1,General Admission,WS-GA-389972096,N,Y,$295.00,N,N,$0.00,Finance,Linkedin,Fort Meyers,Florida,33901,USA
1,General Admission,WS-GA-389972115,N,Y,$295.00,N,N,$0.00,Education,Tik Tok,Fort Meyers,Florida,33901,USA
1,General Admission,WS-GA-389972010,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Fort Meyers,Florida,33901,USA
1,General Admission,WS-GA-389972027,Y,Y,$295.00,N,N,$0.00,Finance,Clubhouse,Fort Meyers,Florida,33908,USA
1,General Admission,WS-GA-389972038,Y,Y,$295.00,N,N,$0.00,Finance,Tik Tok,Naples,Florida,34108,USA
1,General Admission,WS-GA-389971962,Y,Y,$295.00,N,N,$0.00,Healthcare,Linkedin,Naples,Florida,34113,USA
1,General Admission,WS-GA-389971973,Y,Y,$295.00,N,N,$0.00,Broadcasting,twitter,Naples,Florida,34113,USA
1,General Admission,WS-GA-389972000,Y,Y,$295.00,N,N,$0.00,Finance,Facebook,Naples,Florida,34113,USA
1,General Admission,WS-GA-389971989,Y,Y,$295.00,N,N,$0.00,Engineering,Twitter,Tuscaloosa,Alabama,35404,USA
1,General Admission,WS-GA-389972071,Y,N,$295.00,N,N,$0.00,Broadcasting,Tik Tok,Tuscaloosa,Alabama,35404,USA
1,General Admission,WS-GA-389972146,N,Y,$295.00,N,N,$0.00,Professional Services,Facebook,Montgomery,Alabama,36102,USA
1,General Admission,WS-GA-389972039,Y,Y,$295.00,N,N,$0.00,Technology,Instagram,Mobile,Alabama,36609,USA
1,General Admission,WS-GA-389972042,Y,Y,$295.00,N,N,$0.00,Education,Linkedin,Mobile,Alabama,36609,USA
1,General Admission,WS-GA-389971897,N,Y,$295.00,N,N,$0.00,Education,Instagram,Nashville,Tennessee,37201,USA
1,General Admission,WS-GA-389971902,N,Y,$295.00,N,N,$0.00,Technology,Linkedin,Nashville,Tennessee,37203,USA
1,General Admission,WS-GA-389972136,N,Y,$295.00,N,N,$0.00,Broadcasting,Twitter,Nashville,Tennessee,37203,USA
1,General Admission,WS-GA-389971957,Y,Y,$295.00,N,N,$0.00,Entertainment,Tik Tok,Nashville,Tennessee,37203,USA
1,General Admission,WS-GA-389971970,Y,Y,$295.00,N,N,$0.00,Education,Linkedin,Nashville,Tennessee,37203,USA
1,General Admission,WS-GA-389971974,Y,Y,$295.00,N,N,$0.00,Engineering,Twitter,Nashville,Tennessee,37203,USA
1,General Admission,WS-GA-389972131,N,Y,$295.00,N,N,$0.00,Broadcasting,Tik Tok,Jackson,Mississippi,39203,USA
