Date,Section,Cash,Number,ServiceType,Period,Account,Zone,Plan_A,Plan_B,Others_Cost,Total,VAT,VAT Amount,Bill_Total,Payments_on_account,Billing Code,Billing_Code_Period
4/5/2019,3,4,7642,5,201905,899,1,18,1235,0,1235,"21,0","259,35","1494,35",0,69184534291401,20190514
1/7/2021,3,4,1238,2,202107,534,14,10,1800,0,1800,"21,0",378,2178,0,71264666436498,20210711
1/4/2020,3,4,20548,2,202004,1334,4,1,750,0,750,"21,0","157,5","907,5",0,70144740903288,20200411
5/6/2018,3,4,1396,2,201806,346,4,1,565,0,565,"21,0","118,65","683,65",0,68234160099338,20180615
1/7/2021,3,4,1261,1,202107,1220,14,1,1100,0,1100,"21,0",231,1331,1100,71264666438110,20210711
1/7/2021,3,4,1283,4,202107,2174,14,18,2100,0,2100,"21,0",441,2541,2100,71264666439420,20210711
2/3/2021,3,4,39460,4,202103,201,2,1,1100,0,1100,"21,0",231,1331,0,71094488256541,20210312
2/3/2021,3,4,39470,2,202103,242,2,1,1100,0,1100,"21,0",231,1331,0,71094488256541,20210312
3/7/2018,3,4,1515,5,201807,111,1,1,565,0,565,"21,0","118,65","683,65",0,68274822735400,20180713
1/4/2020,3,4,20360,1,202004,940,4,1,750,0,750,"21,0","157,5","907,5",0,70144740903288,20200411
3/7/2018,3,4,1536,3,201807,144,4,1,565,0,565,"21,0","118,65","683,65",0,68274822735400,20180713
1/8/2022,3,4,78329,1,202208,1420,2,18,3430,100,3530,"21,0","741,3","4271,3",0,72314380648515,20220811
3/7/2018,3,4,1587,4,201807,200,2,1,565,0,565,"21,0","118,65","683,65",0,68274822735400,20180713
1/8/2022,3,4,79288,1,202208,1307,4,1,1870,100,1970,"21,0","413,7","2383,7",0,72314381091025,20220811
2/3/2021,3,4,39577,3,202103,649,2,1,1100,0,1100,"21,0",231,1331,0,71094488256541,20210312
3/7/2018,3,4,1706,4,201807,346,4,1,565,0,565,"21,0","118,65","683,65",0,68274822735400,20180713
1/3/2023,3,4,95389,1,202303,2280,2,1,2550,250,2800,"21,0",588,3388,0,73094962428845,20230311
2/8/2023,3,4,107867,1,202308,2469,2,203,7000,1000,8000,"21,0",1680,9680,0,73314579412954,20230812
2/8/2023,3,4,107877,4,202308,2518,2,1,3200,250,3450,"21,0","724,5","4174,5",3450,73314579412954,20230812
2/8/2023,3,4,107900,3,202308,2589,2,1,3200,250,3450,"21,0","724,5","4174,5",3450,73314579412954,20230812
2/8/2023,3,4,107911,3,202308,2623,2,2,4450,250,4700,"21,0",987,5687,4700,73314579412954,20230812
2/8/2018,3,4,1868,1,201808,125,2,1,565,0,565,"21,0","118,65","683,65",0,68314538583826,20180812
2/3/2021,3,4,39627,2,202103,844,2,1,1100,0,1100,"21,0",231,1331,0,71094488256541,20210312
3/5/2022,3,4,71289,3,202205,1878,2,1,1700,100,1800,"21,0",378,2178,0,72184896592497,20220513
1/3/2023,3,4,95443,4,202303,2495,2,2,3440,250,3690,"21,0","774,9","4464,9",0,73094962428845,20230311
5/5/2020,3,4,21858,4,202005,1334,4,1,750,0,750,"21,0","157,5","907,5",0,70184674568324,20200515
2/8/2018,3,4,1925,5,201808,200,2,1,565,0,565,"21,0","118,65","683,65",0,68314538583826,20180812
2/8/2023,3,4,107924,1,202308,2666,2,2,4450,250,4700,"21,0",987,5687,4700,73314579412954,20230812
2/8/2023,3,4,107939,2,202308,2733,2,1,3200,250,3450,"21,0","724,5","4174,5",3450,73314579412954,20230812
2/8/2023,3,4,107984,3,202308,2907,2,18,6020,250,6270,"21,0","1316,7","7586,7",0,73314579412954,20230812
2/8/2023,3,4,107997,5,202308,2938,2,2,4450,250,4700,"21,0",987,5687,0,73314579412954,20230812
2/3/2021,3,4,39738,2,202103,1246,2,1,1100,0,1100,"21,0",231,1331,0,71094488256541,20210312
4/8/2020,3,4,25617,4,202008,649,2,1,750,0,750,"21,0","157,5","907,5",0,70314788384103,20200814
1/3/2023,3,4,95608,2,202303,3107,2,2,3440,2340,5780,"21,0","1213,8","6993,8",0,73094962428845,20230311
2/8/2023,3,4,108027,1,202308,3063,2,205,8650,9650,18300,"21,0",3843,22143,18300,73314579412954,20230812
2/8/2018,3,4,2128,4,201808,430,2,1,565,365,930,"21,0","195,3","1125,3",600,68314538583826,20180812
1/4/2020,3,4,20642,1,202004,1513,4,25,0,350,350,"21,0","73,5","423,5",0,70144740903288,20200411
2/3/2021,3,4,40106,4,202103,78,4,1,1100,0,1100,"21,0",231,1331,0,71094488562384,20210312
2/8/2018,3,4,2174,3,201808,469,1,1,565,150,715,"21,0","150,15","865,15",0,68314538583826,20180812
2/3/2021,3,4,40111,1,202103,91,4,18,2100,0,2100,"21,0",441,2541,0,71094488562384,20210312
2/8/2018,3,4,2183,3,201808,489,2,1,565,150,715,"21,0","150,15","865,15",0,68314538583826,20180812
1/6/2021,3,4,47697,1,202106,2397,4,2,1600,0,1600,"21,0",336,1936,0,71224083589876,20210611
4/8/2020,3,4,26366,4,202008,886,4,2,1300,0,1300,"21,0",273,1573,0,70314788570503,20200814
2/3/2021,3,4,40170,3,202103,220,4,2,1600,0,1600,"21,0",336,1936,0,71094488562384,20210312
4/9/2018,3,4,2322,1,201809,125,4,1,565,0,565,"21,0","118,65","683,65",0,68364318340269,20180914
1/9/2022,3,4,80867,4,202209,1881,2,1,2100,250,2350,"21,0","493,5","2843,5",0,72354084315260,20220911
4/9/2018,3,4,2581,1,201809,430,2,1,565,0,565,"21,0","118,65","683,65",0,68364318340269,20180914
1/4/2020,3,4,19995,3,202004,80,4,1,750,325,1075,"21,0","225,75","1300,75",0,70144740903288,20200411
4/9/2018,3,4,2610,3,201809,461,4,1,565,0,565,"21,0","118,65","683,65",0,68364318340269,20180914
4/9/2018,3,4,2635,1,201809,489,2,1,565,0,565,"21,0","118,65","683,65",0,68364318340269,20180914
2/3/2021,3,4,40441,4,202103,848,4,1,1100,0,1100,"21,0",231,1331,0,71094488562384,20210312
3/5/2022,3,4,71719,1,202205,363,4,1,1700,100,1800,"21,0",378,2178,0,72184896782540,20220513
2/3/2021,3,4,40453,2,202103,886,4,2,1600,0,1600,"21,0",336,1936,0,71094488562384,20210312
2/9/2020,3,4,27392,2,202009,649,2,1,750,0,750,"21,0","157,5","907,5",0,70364869712394,20200912
2/3/2021,3,4,40479,2,202103,940,4,1,1100,0,1100,"21,0",231,1331,0,71094488562384,20210312
2/9/2020,3,4,27496,1,202009,1031,2,1,750,0,750,"21,0","157,5","907,5",0,70364869712394,20200912
2/9/2020,3,4,27499,1,202009,1043,2,1,750,0,750,"21,0","157,5","907,5",0,70364869712394,20200912
3/10/2018,3,4,2812,1,201810,125,4,1,565,0,565,"21,0","118,65","683,65",0,68404055721805,20181013
2/9/2020,3,4,28199,3,202009,940,4,1,750,0,750,"21,0","157,5","907,5",0,70364869859992,20200912
1/4/2020,3,4,19994,2,202004,80,4,1,750,0,750,"21,0","157,5","907,5",0,70144740903288,20200411
2/3/2021,3,4,40595,5,202103,1181,4,1,1100,0,1100,"21,0",231,1331,0,71094488562384,20210312
3/10/2018,3,4,2976,5,201810,298,4,1,565,0,565,"21,0","118,65","683,65",0,68404055721805,20181013
3/7/2020,3,4,23826,4,202007,242,2,1,750,0,750,"21,0","157,5","907,5",250,70274677798976,20200713
3/5/2022,3,4,71931,4,202205,928,4,2,2350,100,2450,"21,0","514,5","2964,5",0,72184896782540,20220513
1/7/2021,3,4,48952,2,202107,352,4,1,1100,0,1100,"21,0",231,1331,1100,71264668537605,20210711
1/8/2022,3,4,77789,3,202208,1030,1,163,3850,100,3950,"21,0","829,5","4779,5",0,72314380471296,20220811
2/3/2021,3,4,40645,4,202103,1297,4,18,2100,0,2100,"21,0",441,2541,0,71094488562384,20210312
3/10/2018,3,4,3094,1,201810,430,2,1,565,0,565,"21,0","118,65","683,65",0,68404055721805,20181013
4/2/2019,3,4,5585,3,201902,640,4,1,565,0,565,"21,0","118,65","683,65",0,69054113505074,20190214
3/10/2018,3,4,3114,2,201810,461,4,1,565,0,565,"21,0","118,65","683,65",0,68404055721805,20181013
3/10/2018,3,4,3155,5,201810,489,2,1,565,0,565,"21,0","118,65","683,65",0,68404055721805,20181013
3/10/2018,3,4,3244,4,201810,588,2,1,565,320,885,"21,0","185,85","1070,85",0,68404055721805,20181013
2/3/2019,3,4,6380,2,201903,797,4,1,565,245,810,"21,0","170,1","980,1",0,69094804603410,20190312
2/8/2023,3,4,108575,3,202308,2457,3,1,3200,250,3450,"21,0","724,5","4174,5",0,73314579576893,20230812
2/8/2023,3,4,108588,3,202308,2510,3,202,5570,1000,6570,"21,0","1379,7","7949,7",0,73314579576893,20230812
3/7/2020,3,4,23935,5,202007,649,2,1,750,0,750,"21,0","157,5","907,5",0,70274677798976,20200713
2/8/2023,3,4,108651,5,202308,2890,3,2,4450,250,4700,"21,0",987,5687,0,73314579576893,20230812
3/7/2020,3,4,24039,1,202007,1031,2,1,750,0,750,"21,0","157,5","907,5",0,70274677798976,20200713
3/7/2020,3,4,24042,5,202007,1043,2,1,750,0,750,"21,0","157,5","907,5",0,70274677798976,20200713
3/7/2020,3,4,24066,4,202007,1112,2,18,1700,0,1700,"21,0",357,2057,0,70274677798976,20200713
2/8/2023,3,4,108752,5,202308,54,4,2,4450,250,4700,"21,0",987,5687,0,73314579752795,20230812
3/11/2018,3,4,3547,1,201811,298,4,1,565,0,565,"21,0","118,65","683,65",0,68444824089758,20181113
2/7/2022,3,4,76076,2,202207,1996,2,1,1870,100,1970,"21,0","413,7","2383,7",0,72274779656884,20220712
4/8/2020,3,4,25298,2,202008,795,1,1,750,0,750,"21,0","157,5","907,5",0,70314788225727,20200814
2/3/2021,3,4,40888,4,202103,1763,4,18,2100,0,2100,"21,0",441,2541,0,71094488562384,20210312
2/3/2019,3,4,6203,4,201903,581,2,1,565,0,565,"21,0","118,65","683,65",0,69094804603410,20190312
8/7/2019,3,4,9980,5,201907,444,4,1,600,0,600,"21,0",126,726,0,69274567441232,20190718
1/3/2023,3,4,96656,3,202303,2075,4,1,2550,250,2800,"21,0",588,3388,0,73094962870683,20230311
2/3/2021,3,4,40999,3,202103,1970,4,1,1100,0,1100,"21,0",231,1331,0,71094488562384,20210312
1/3/2023,3,4,96673,3,202303,2146,4,18,4650,250,4900,"21,0",1029,5929,0,73094962870683,20230311
3/11/2018,3,4,3756,1,201811,519,4,1,565,0,565,"21,0","118,65","683,65",0,68444824089758,20181113
1/4/2020,3,4,19848,1,202004,1112,2,18,1700,0,1700,"21,0",357,2057,0,70144740781697,20200411
3/11/2018,3,4,3817,1,201811,588,2,1,565,0,565,"21,0","118,65","683,65",0,68444824089758,20181113
2/3/2021,3,4,41068,2,202103,2109,4,18,2100,0,2100,"21,0",441,2541,0,71094488562384,20210312
3/7/2020,3,4,24191,3,202007,1613,2,109,2000,0,2000,"21,0",420,2420,2000,70274677798976,20200713
2/7/2022,3,4,76861,5,202207,1307,4,1,1870,100,1970,"21,0","413,7","2383,7",0,72274779804019,20220712
2/7/2022,3,4,76863,2,202207,1310,4,2,2580,100,2680,"21,0","562,8","3242,8",0,72274779804019,20220712
1/3/2023,3,4,96829,2,202303,2803,4,1,2550,250,2800,"21,0",588,3388,0,73094962870683,20230311
4/6/2019,3,4,8871,2,201906,914,4,1,600,0,600,"21,0",126,726,0,69234505568416,20190614
2/3/2021,3,4,41174,3,202103,2345,4,1,1100,0,1100,"21,0",231,1331,0,71094488562384,20210312
2/3/2021,3,4,41204,3,202103,2397,4,2,1600,0,1600,"21,0",336,1936,0,71094488562384,20210312
1/10/2020,3,4,30115,1,202010,940,4,1,750,0,750,"21,0","157,5","907,5",0,70404967044423,20201011
1/3/2023,3,4,96887,4,202303,3033,4,1,2550,250,2800,"21,0",588,3388,0,73094962870683,20230311
4/12/2018,3,4,4277,1,201812,519,4,1,565,0,565,"21,0","118,65","683,65",0,68494583758856,20181214
1/7/2021,3,4,49331,2,202107,1263,4,1,1100,0,1100,"21,0",231,1331,0,71264668537605,20210711
4/2/2019,3,4,5537,3,201902,581,2,1,565,0,565,"21,0","118,65","683,65",0,69054113505074,20190214
4/12/2018,3,4,4387,1,201812,639,2,1,565,0,565,"21,0","118,65","683,65",0,68494583758856,20181214
2/8/2023,3,4,109165,1,202308,2001,4,202,5570,1000,6570,"21,0","1379,7","7949,7",0,73314579752795,20230812
1/4/2020,3,4,19716,1,202004,649,2,1,750,0,750,"21,0","157,5","907,5",0,70144740781697,20200411
2/1/2019,3,4,4742,3,201901,375,2,1,565,0,565,"21,0","118,65","683,65",0,69014339505576,20190113
4/8/2020,3,4,25507,5,202008,242,2,1,750,0,750,"21,0","157,5","907,5",0,70314788384103,20200814
1/10/2022,3,4,83032,2,202210,934,2,1,2100,250,2350,"21,0","493,5","2843,5",0,72404719156976,20221011
3/5/2022,3,4,72791,1,202205,2771,4,1,1700,100,1800,"21,0",378,2178,0,72184896782540,20220513
2/1/2019,3,4,4971,4,201901,639,2,1,565,0,565,"21,0","118,65","683,65",0,69014339505576,20190113
2/1/2019,3,4,4980,1,201901,640,4,1,565,0,565,"21,0","118,65","683,65",0,69014339505576,20190113
2/8/2023,3,4,109434,2,202308,3150,4,10,5300,250,5550,"21,0","1165,5","6715,5",0,73314579752795,20230812
2/8/2023,3,4,109437,2,202308,3163,4,1,3200,250,3450,"21,0","724,5","4174,5",0,73314579752795,20230812
3/7/2023,3,4,106051,2,202307,2617,3,1,3050,250,3300,"21,0",693,3993,0,73274311634011,20230713
3/7/2020,3,4,24675,1,202007,940,4,1,750,0,750,"21,0","157,5","907,5",0,70274678158067,20200713
2/7/2019,3,4,9406,5,201907,914,2,1,600,0,600,"21,0",126,726,0,69274377484263,20190712
2/7/2022,3,4,76488,5,202207,363,4,1,1870,100,1970,"21,0","413,7","2383,7",0,72274779804019,20220712
2/8/2023,3,4,3583,5,202308,2061,14,1,3200,250,3450,"21,0","724,5","4174,5",0,73314580411412,20230812
2/7/2019,3,4,9519,4,201907,138,4,1,600,0,600,"21,0",126,726,0,69274377540324,20190712
2/8/2023,3,4,3600,2,202308,2753,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412028,20230812
2/8/2023,3,4,3601,4,202308,2754,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412060,20230812
2/8/2023,3,4,3602,2,202308,2755,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412104,20230812
2/8/2023,3,4,3603,5,202308,2756,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412133,20230812
2/8/2023,3,4,3604,1,202308,2757,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412159,20230812
2/8/2023,3,4,3605,3,202308,2758,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412188,20230812
2/8/2023,3,4,3606,1,202308,2759,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412206,20230812
2/8/2023,3,4,3607,5,202308,2760,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412251,20230812
2/8/2023,3,4,3608,1,202308,2761,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412280,20230812
2/8/2023,3,4,3609,5,202308,2762,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412311,20230812
2/8/2023,3,4,3610,3,202308,2763,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412353,20230812
2/8/2023,3,4,3611,3,202308,2764,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412382,20230812
2/8/2023,3,4,3612,3,202308,2765,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412400,20230812
2/8/2023,3,4,3613,1,202308,2766,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412439,20230812
2/8/2023,3,4,3614,5,202308,2767,14,3,18820,250,19070,"21,0","4004,7","23074,7",19070,73314580412455,20230812
2/8/2023,3,4,3621,4,202308,2910,14,5,10700,250,10950,"21,0","2299,5","13249,5",10950,73314580412735,20230812
2/8/2023,3,4,3625,5,202308,3118,14,202,5570,1000,6570,"21,0","1379,7","7949,7",6570,73314580412879,20230812
2/8/2023,3,4,3626,5,202308,3120,14,203,7000,1000,8000,"21,0",1680,9680,8000,73314580412882,20230812
1/9/2022,3,4,80179,3,202209,1030,1,163,4330,250,4580,"21,0","961,8","5541,8",0,72354084141884,20220911
4/8/2020,3,4,25721,1,202008,1031,2,1,750,0,750,"21,0","157,5","907,5",0,70314788384103,20200814
4/8/2020,3,4,25768,2,202008,1192,2,1,750,0,750,"21,0","157,5","907,5",250,70314788384103,20200814
2/7/2019,3,4,9947,2,201907,2003,4,1,600,0,600,"21,0",126,726,1820,69274377540324,20190712
2/7/2019,3,4,9873,4,201907,958,4,1,600,0,600,"21,0",126,726,0,69274377540324,20190712
3/7/2023,3,4,105443,2,202307,2907,2,18,5750,250,6000,"21,0",1260,7260,0,73274311484504,20230713
2/7/2022,3,4,76696,4,202207,928,4,2,2580,100,2680,"21,0","562,8","3242,8",0,72274779804019,20220712
4/8/2020,3,4,25724,4,202008,1043,2,1,750,0,750,"21,0","157,5","907,5",0,70314788384103,20200814
1/4/2020,3,4,19822,5,202004,1031,2,1,750,0,750,"21,0","157,5","907,5",0,70144740781697,20200411
15/8/2019,3,4,11036,3,201908,622,4,1,600,0,600,"21,0",126,726,0,69334835859383,20190825
2/9/2023,3,4,112013,5,202309,3150,4,10,6130,250,6380,"21,0","1339,8","7719,8",0,73354866580587,20230912
2/9/2023,3,4,112015,4,202309,3158,4,8,9450,250,9700,"21,0",2037,11737,0,73354866580587,20230912
2/9/2023,3,4,112016,3,202309,3163,4,1,3700,250,3950,"21,0","829,5","4779,5",0,73354866580587,20230912
5/7/2019,3,4,9959,1,201907,2003,1,1,600,0,600,"21,0",126,726,0,69274523759379,20190715
13/8/2019,3,4,11032,2,201908,301,2,1,600,0,600,"21,0",126,726,0,69334741598940,20190823
1/4/2020,3,4,19825,2,202004,1043,2,1,750,0,750,"21,0","157,5","907,5",0,70144740781697,20200411
3/5/2021,3,4,45508,1,202105,2397,4,2,1450,0,1450,"21,0","304,5","1754,5",0,71184606002386,20210513
2/9/2020,3,4,27065,4,202009,795,1,1,750,0,750,"21,0","157,5","907,5",0,70364869621763,20200912
3/7/2023,3,4,106870,5,202307,3141,4,10,5070,250,5320,"21,0","1117,2","6437,2",0,73274311798874,20230713
3/7/2023,3,4,106877,3,202307,3163,4,1,3050,250,3300,"21,0",693,3993,0,73274311798874,20230713
3/8/2021,3,4,50087,4,202108,567,1,1,1155,55,1210,"21,0","254,1","1464,1",0,71314532988693,20210813
2/10/2023,3,4,112650,2,202310,878,2,2,5750,250,6000,"21,0",1260,7260,0,73404109755445,20231012
2/10/2023,3,4,112651,4,202310,879,2,1,4100,250,4350,"21,0","913,5","5263,5",0,73404109755445,20231012
2/10/2023,3,4,112658,5,202310,922,2,1,4100,250,4350,"21,0","913,5","5263,5",0,73404109755445,20231012
3/7/2023,3,4,105485,4,202307,3063,2,205,8240,9240,17480,"21,0","3670,8","21150,8",17480,73274311484504,20230713
3/7/2020,3,4,24865,3,202007,1334,4,1,750,0,750,"21,0","157,5","907,5",0,70274678158067,20200713
2/8/2019,3,4,10517,2,201908,138,4,1,600,0,600,"21,0",126,726,0,69314428747463,20190812
2/8/2019,3,4,10661,5,201908,444,4,1,600,0,600,"21,0",126,726,0,69314428747463,20190812
2/9/2023,3,4,109910,2,202309,44,2,2,5150,250,5400,"21,0",1134,6534,0,73354866335973,20230912
13/10/2022,3,4,84912,2,202210,1548,1,1,2100,250,2350,"21,0","493,5","2843,5",0,72414775153715,20221023
2/9/2021,3,4,52416,2,202109,1239,1,8,3045,0,3045,"21,0","639,45","3684,45",0,71354375682481,20210912
3/7/2023,3,4,104962,4,202307,924,2,1,3050,250,3300,"21,0",693,3993,0,73274311484504,20230713
2/8/2019,3,4,10873,5,201908,958,4,1,600,0,600,"21,0",126,726,0,69314428747463,20190812
2/9/2021,3,4,52328,1,202109,567,1,1,1155,0,1155,"21,0","242,55","1397,55",0,71354375682481,20210912
1/6/2022,3,4,73795,1,202206,2390,2,8,4220,100,4320,"21,0","907,2","5227,2",4320,72224175312672,20220611
2/9/2023,3,4,110118,5,202309,1067,2,10,6130,250,6380,"21,0","1339,8","7719,8",0,73354866335973,20230912
2/9/2023,3,4,110445,5,202309,2469,2,203,7900,1300,9200,"21,0",1932,11132,0,73354866335973,20230912
3/9/2019,3,4,11258,1,201909,301,2,1,600,0,600,"21,0",126,726,0,69364492146469,20190913
3/9/2019,3,4,11190,1,201909,2003,1,1,600,0,600,"21,0",126,726,0,69364491759717,20190913
2/6/2020,3,4,22367,2,202006,649,2,1,750,0,750,"21,0","157,5","907,5",0,70224560046487,20200612
2/6/2020,3,4,22472,5,202006,1031,2,1,750,0,750,"21,0","157,5","907,5",0,70224560046487,20200612
3/7/2023,3,4,105340,1,202307,2518,2,1,3050,250,3300,"21,0",693,3993,3300,73274311484504,20230713
3/9/2019,3,4,11417,3,201909,852,2,5,735,0,735,"21,0","154,35","889,35",0,69364492146469,20190913
2/9/2023,3,4,110177,2,202309,1382,2,1,3700,250,3950,"21,0","829,5","4779,5",0,73354866335973,20230912
2/6/2020,3,4,22475,1,202006,1043,2,1,750,0,750,"21,0","157,5","907,5",0,70224560046487,20200612
2/6/2020,3,4,22498,3,202006,1112,2,18,1700,0,1700,"21,0",357,2057,0,70224560046487,20200612
14/3/2020,3,4,19342,2,202003,1112,2,18,1700,0,1700,"21,0",357,2057,0,70114236339301,20200324
1/10/2021,3,4,54712,4,202110,1679,1,1,1155,0,1155,"21,0","242,55","1397,55",1155,71404237335022,20211011
1/6/2022,3,4,73820,4,202206,2502,2,1,1700,100,1800,"21,0",378,2178,0,72224175312672,20220611
1/8/2022,3,4,78486,1,202208,1996,2,1,1870,100,1970,"21,0","413,7","2383,7",0,72314380648515,20220811
3/9/2019,3,4,11805,2,201909,622,4,1,600,0,600,"21,0",126,726,0,69364492327311,20190913
2/9/2023,3,4,110389,2,202309,2212,2,1,3700,250,3950,"21,0","829,5","4779,5",900,73354866335973,20230912
3/7/2023,3,4,105070,3,202307,1443,2,1,3050,250,3300,"21,0",693,3993,3300,73274311484504,20230713
3/7/2023,3,4,105071,1,202307,1444,2,1,3050,250,3300,"21,0",693,3993,3300,73274311484504,20230713
3/7/2023,3,4,105073,4,202307,1446,2,1,3050,250,3300,"21,0",693,3993,3300,73274311484504,20230713
2/10/2019,3,4,12292,4,201910,2003,1,1,600,0,600,"21,0",126,726,0,69404606978881,20191012
3/9/2019,3,4,11925,3,201909,920,4,1,600,0,600,"21,0",126,726,0,69364492327311,20190913
3/7/2023,3,4,105057,3,202307,1382,2,1,3050,250,3300,"21,0",693,3993,0,73274311484504,20230713
3/7/2023,3,4,105072,4,202307,1445,2,1,3050,250,3300,"21,0",693,3993,3300,73274311484504,20230713
2/10/2019,3,4,12510,1,201910,852,2,5,735,0,735,"21,0","154,35","889,35",0,69404607040942,20191012
2/9/2020,3,4,27284,5,202009,242,2,1,750,0,750,"21,0","157,5","907,5",0,70364869712394,20200912
2/9/2023,3,4,110559,1,202309,2907,2,18,6950,250,7200,"21,0",1512,8712,0,73354866335973,20230912
2/9/2023,3,4,110572,3,202309,2938,2,2,5150,250,5400,"21,0",1134,6534,0,73354866335973,20230912
3/8/2021,3,4,50489,3,202108,635,2,1,1155,55,1210,"21,0","254,1","1464,1",0,71314533157525,20210813
2/7/2022,3,4,77432,5,202207,2505,4,1,1870,100,1970,"21,0","413,7","2383,7",0,72274779804019,20220712
3/7/2023,3,4,105363,5,202307,2589,2,1,3050,250,3300,"21,0",693,3993,3300,73274311484504,20230713
3/7/2023,3,4,105386,5,202307,2666,2,2,4250,250,4500,"21,0",945,5445,4500,73274311484504,20230713
3/10/2019,3,4,43,1,201910,1222,4,2,1135,0,1135,"21,0","238,35","1373,35",3485,69404655767285,20191013
3/5/2021,3,4,45307,4,202105,1970,4,1,1000,0,1000,"21,0",210,1210,0,71184606002386,20210513
