PERIOD,W OR P,TITLE NAME,TITLE #,PERF SOURCE,COUNTRY OF PERFORMANCE,SHOW NAME,EPISODE NAME,SHOW #,USE CODE,TIMING,MY %,PERF COUNT,BONUS LEVEL,ROYALTY AMOUNT,WITHHOLD,PERF PERIOD,HITS SONG OR TV NET SUPER USAGE BONUS,STANDARDS OR TV NET THEME BONUS
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 04 2023,2404260177,BI,4:26,100,5,,2.63,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 05 2023,2404260178,BI,4:27,100,5,,3.94,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 05 2023,2404260218,BI,3:09,100,3,,0.41,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 06 2023,2404260219,BI,5:19,100,2,,2.79,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 09 2023,2404260221,BI,7:24,100,4,,5.34,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 10 2023,2404260232,BI,0:38,100,3,,0.83,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 12 2023,2404260249,BI,4:25,100,5,,5.34,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 13 2023,2404260233,BI,2:46,100,5,,2.08,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 14 2023,2404260222,BI,4:36,100,3,,2.56,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 14 2023,2404260223,BI,4:55,100,3,,2.09,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 14 2023,2404260223,T,1:01,100,3,,2.31,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,JUNE 16 2023 POST USA V MEXICO,2404260234,BI,2:31,100,5,,3.86,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 17 2023,2404260235,BI,1:45,100,4,,2.12,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 17 2023,2404260286,BI,0:37,100,2,,0.28,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 18 2023,2404260236,BI,5:27,100,4,,2.68,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 20 2023,2404260237,BI,3:29,100,5,,1.37,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 21 2023,2404260238,BI,7:37,100,5,,4.5,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 22 2023,2404260250,BI,6:21,100,4,,4.16,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 23 2023,2404260239,BI,6:36,100,3,,6.06,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 24 2023,2404260240,BI,3:44,100,4,,8.81,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,JUNE 25 2023 POST MEXICO V HONDURAS,2404260241,BI,4:26,100,3,,2.91,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 27 2023,2404260242,BI,3:33,100,5,,1.18,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 28 2023,2404260224,BI,9:00,100,5,,7.36,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 28 2023,2404260224,T,0:40,100,5,,2.97,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 29 2023,2404260243,BI,6:04,100,4,,2.98,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,JUNE 30 2023 POST HAITI V MEXICO,2404260287,BI,1:55,100,2,,0.94,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,March 05 2023,2404260247,BI,2:42,100,5,,1.24,,20231,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,March 23 2023,2404260273,BI,3:59,100,1,,0.52,,20231,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,MARCH 23 2023 POST SURINAM VS MEXICO,2404260248,BI,6:31,100,5,,4.04,,20231,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,March 28 2023,2404260226,BI,13:06,100,8,,13.75,,20231,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,March 31 2023,2404260130,BI,0:54,100,2,,0.18,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 01 2023,2404260198,BI,5:43,100,4,,9.74,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 01 2023,2404260198,T,1:21,100,4,,9.26,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 02 2023,2404260199,BI,9:57,100,4,,11.09,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 03 2023,2404260200,BI,5:14,100,4,,2.22,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 04 2023,2404260201,BI,4:22,100,3,,3.01,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 04 2023,2404260201,T,2:03,100,3,,3.74,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 05 2023,2404260202,BI,6:14,100,3,,4.69,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 06 2023,2404260203,BI,2:49,100,3,,0.83,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 07 2023,2404260204,BI,4:56,100,5,,2.59,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 08 2023,2404260205,BI,6:01,100,5,,3.95,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 09 2023,2404260172,BI,4:40,100,5,,1.38,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 10 2023,2404260206,BI,4:03,100,4,,20.84,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 12 2023,2404260207,BI,6:32,100,4,,7.71,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 13 2023,2404260208,BI,5:32,100,4,,39.35,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 14 2023,2404260209,BI,4:43,100,5,,4.01,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 15 2023,2404260210,BI,4:42,100,5,,8,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 16 2023,2404260227,BI,7:19,100,5,,4.08,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 16 2023,2404260227,T,0:22,100,5,,1.12,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 17 2023,2404260283,BI,2:39,100,5,,1.22,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 18 2023,2404260211,BI,4:47,100,5,,1.89,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 19 2023,2404260284,BI,26:56:00,100,3,,39.72,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 20 2023,2404260212,BI,10:02,100,2,,6.25,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 20 2023,2404260246,BI,1:56,100,2,,21.48,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 22 2023,2404260228,BI,6:45,100,5,,5.53,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 23 2023,2404260213,BI,5:39,100,5,,2.42,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 24 2023,2404260214,BI,5:17,100,5,,5.36,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 25 2023,2404260215,BI,3:45,100,5,,1.23,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 26 2023,2404260229,BI,6:42,100,5,,3.96,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 27 2023,2404260216,BI,25:35:00,100,4,,32.7,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 28 2023,2404260217,BI,8:00,100,6,,3.93,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 29 2023,2404260173,BI,3:30,100,4,,2.85,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 29 2023,2404260173,T,0:41,100,4,,3.04,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 30 2023,2404260174,BI,8:29,100,5,,2.23,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,May 31 2023,2404260175,BI,5:14,100,5,,2.57,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,POST MEXICO V GUATEMALA,2404260220,BI,3:24,100,5,,2.22,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,TOTAL SPORTS 360,January 16 2023,2376880448,BI,0:58,100,3,,0.85,,20231,0,0
20232,W,MODERN MARVELS-CUES,0,HISTORY,UNITED STATES,MODERN MARVELS,CLASSIC TOYS,1023360628,BI,0:27,34,2,,0.56,,20232,0,0
20232,W,MODERN MARVELS-CUES,0,HISTORY,UNITED STATES,MODERN MARVELS,FOOD INVENTIONS AND INNOVATIONS,1023360616,BI,0:13,33.33,1,,0.24,,20232,0,0
20232,W,MODERN MARVELS-CUES,0,HISTORY,UNITED STATES,MODERN MARVELS,FOOD SNACKS,1023360617,BI,2:49,33.33,1,,4.38,,20232,0,0
20232,W,PSM BRIGHT MEADOW JOFO,50362591,MTV2,UNITED STATES,LOVE AND HIP HOP ATLANTA,MAMA DRAMA,1670760181,BV,0:42,100,1,,1.02,,20232,0,0
20232,W,PSM BRIGHT MEADOW JOFO,50362591,MTV2,UNITED STATES,LOVE AND HIP HOP ATLANTA,OH BABY,1670760180,BI,0:34,100,1,,0.33,,20232,0,0
20232,W,LIGHTNING BOLT STRIKE V1,51064185,NATIONAL GEO,UNITED STATES,WICKED TUNA,LUCKY OR NOT,1642300280,BI,0:51,34,1,,1.6,,20232,0,0
20232,W,DR OAKLEY YUKON VET-CUES,0,NATL GEO WILD,UNITED STATES,DR OAKLEY YUKON VET,YAK ATTACK,1780930017,BI,0:18,100,1,,0.32,,20232,0,0
20232,W,PATTERNS,19349043,APPLE FAMILY,UNITED STATES,,,0,FF,0:00,200,14,,0.01,,20232,0,0
20232,W,BARRICADE,18705787,SPOTIFY FAMILY,UNITED STATES,,,0,FF,0:00,200,14,,0.01,,20232,0,0
20232,W,BIRD,18449800,SPOTIFY FAMILY,UNITED STATES,,,0,FF,0:00,200,411,,0.17,,20232,0,0
20232,W,LOOK,18449803,SPOTIFY FAMILY,UNITED STATES,,,0,FF,0:00,200,789,,0.34,,20232,0,0
20232,W,MISS JACK,18449807,SPOTIFY FAMILY,UNITED STATES,,,0,FF,0:00,200,12,,0.01,,20232,0,0
20232,W,PATTERNS,19349043,SPOTIFY FAMILY,UNITED STATES,,,0,FF,0:00,200,24,,0.01,,20232,0,0
20232,W,LOOK,18449803,SPOTIFY FREE,UNITED STATES,,,0,FF,0:00,200,5660,,2.65,,20232,0,0
20232,W,ALL THE YEARS,18303970,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,8,,0.01,,20232,0,0
20232,W,BIRD,18449800,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,44,,0.03,,20232,0,0
20232,W,ELIX APPLE,18449814,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,10,,0.01,,20232,0,0
20232,W,EXPIRE CHOIR,18449804,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,9,,0.01,,20232,0,0
20232,W,JULIET,18449796,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,10,,0.01,,20232,0,0
20232,W,LOOK,18449803,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,15,,0.01,,20232,0,0
20232,W,MISS JACK,18449807,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,10,,0.01,,20232,0,0
20232,W,PATTERNS,19349043,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,34,,0.02,,20232,0,0
20232,W,REFLECTED EYES,18449798,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,9,,0.01,,20232,0,0
20232,W,RIGHT THIS WAY,18285877,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,11,,0.01,,20232,0,0
20232,W,SIENNA,18449805,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,10,,0.01,,20232,0,0
20232,W,SING,18449808,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,10,,0.01,,20232,0,0
20232,W,SOMEBODY PICK A PATTERN,18449813,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,11,,0.01,,20232,0,0
20232,W,STUCK,18449795,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,19,,0.01,,20232,0,0
20232,W,TRIREME,15903196,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,21,,0.01,,20232,0,0
20232,W,WARM RECEPTION,18449797,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,9,,0.01,,20232,0,0
20232,W,WHITE MORNING,15848222,SPOTIFY PREM,UNITED STATES,,,0,FF,0:00,200,11,,0.01,,20232,0,0
20232,W,LOOK,18449803,TIDAL,UNITED STATES,,,0,FF,0:00,200,142,,0.16,,20232,0,0
20232,W,LOOK,18449803,YOUTUBE FREE,UNITED STATES,,,0,FF,0:00,200,19,,0.01,,20232,0,0
20232,W,RIGHT THIS WAY,18285877,YOUTUBE FREE,UNITED STATES,,,0,FF,0:00,200,12,,0.01,,20232,0,0
20232,W,TRIREME,15903196,YOUTUBE FREE,UNITED STATES,,,0,FF,0:00,200,36,,0.02,,20232,0,0
20232,W,MODERN MARVELS-CUES,0,AMAZON CHANNELS,UNITED STATES,MODERN MARVELS,CLASSIC TOYS,1023360628,BI,0:27,34,420,,0.01,,20232,0,0
20232,W,DIM LIT WALK V1,50690858,AMAZON VOD,UNITED STATES,ALONE,BIRDS,1877610112,BI,0:56,100,8977,,0.45,,20232,0,0
20232,W,TRIREME,15903196,AMAZON VOD,UNITED STATES,FOSTERS,SATURDAY,1727900006,BV,0:26,200,775,,0.05,,20232,0,0
20232,W,PSM BRIGHT MEADOW JOFO,50362591,AMAZON VOD,UNITED STATES,LOVE AND HIP HOP ATLANTA,MAMA DRAMA,1886530090,BV,0:42,100,1574,,0.08,,20232,0,0
20232,W,PSM BRIGHT MEADOW JOFO,50362591,AMAZON VOD,UNITED STATES,LOVE AND HIP HOP ATLANTA,OH BABY,1886530089,BI,0:34,100,1715,,0.05,,20232,0,0
20232,W,PSM GILTTER WAY JOFO,50362594,AMAZON VOD,UNITED STATES,VH1 FAMILY REUNION LOVE AND HIP HOP EDIT,FUTURE BELONGS TO THOSE WHO PREPARE FOR,2276130031,BI,0:20,100,1073,,0.02,,20232,0,0
20232,W,LIGHTNING BOLT STRIKE V1,51064185,AMAZON VOD,UNITED STATES,WICKED TUNA,LUCKY OR NOT,1642300280,BI,0:51,34,414,,0.01,,20232,0,0
20232,W,THUNDER CLAPPER V1,51069642,AMAZON VOD,UNITED STATES,WWE S MOST WANTED TREASURES,BRET HITMAN HART,2323890013,BI,0:40,34,1851,,0.02,,20232,0,0
20232,W,ZOMBIE HOUSE FLIPPING A A-CUES,0,AMAZON VOD,UNITED STATES,ZOMBIE HOUSE FLIPPING A AND E VERSION,TAMPA SPRING HILL,2052270047,BI,0:26,100,226,,0.01,,20232,0,0
20232,W,DIM LIT WALK V1,50690858,APPLE PLUS VOD,UNITED STATES,ALONE,BIRDS,1877610112,BI,0:56,100,237,,0.01,,20232,0,0
20232,W,PSM BRIGHT MEADOW JOFO,50362591,BET PLUS,UNITED STATES,LOVE AND HIP HOP ATLANTA,MAMA DRAMA,1670760181,BV,0:42,100,1,,0.11,,20232,0,0
20232,W,PSM BRIGHT MEADOW JOFO,50362591,BET PLUS,UNITED STATES,LOVE AND HIP HOP ATLANTA,OH BABY,1670760180,BI,0:34,100,1,,0.06,,20232,0,0
20232,W,ADAM EATS THE 80S-CUES,0,DISCOVERY PLUS,UNITED STATES,ADAM EATS THE 80S,CHILD S PLAY,2338750001,BI,0:24,33.34,34000,,0.14,,20231,0,0
