Date,Year,Segment,Total,Cost of Sales,Data Cost,Cost Per Lead,Call Cost,Prospects Goals,Interviews Goals
5/1/22,2022,T - Savings plan,1718563,24907,1323360,720,395203,1290,400
5/1/22,2022,Av - Savings plan,2063174,66554,1652021,713,411153,143,143
5/1/22,2022,R- Savings plan,764783,36418,539121,561,225662,1050,420
5/1/22,2022,N - Savings plan,841858,60133,694764,756,147094,43,43
5/1/22,2022,Mt - 0km,40761,13587,,55,40761,1901,513
5/1/22,2022,N - 0km,24220,8073,,55,24220,71,71
5/1/22,2022,T - 0km,58607,19536,715,55,57892,2564,1000
5/1/22,2022,Av - 0km,71838,35919,1540,55,70298,1006,292
5/1/22,2022,R- 0km,31708,31708,990,55,30718,71,71
5/1/22,2022,N - 0km,25306,12653,495,55,24811,2821,733
5/1/22,2022,Multibrand,134788,19255,4235,55,130553,14,14
5/1/22,2022,A - Used Car Sales,580531,29027,408036,444,172495,2630,947
7/1/22,2022,Mt - Savings plan,2024922,36817,1603812,732,421110,14,14
7/1/22,2022,N - Savings plan,1212654,48506,1021240,968,191414,1290,400
7/1/22,2022,T - Savings plan,1792427,39832,1413018,822,379409,143,143
7/1/22,2022,Av - Savings plan,2357678,67362,1913325,789,444353,1333,533
7/1/22,2022,R- Savings plan,890129,35605,691879,683,198250,43,43
7/1/22,2022,N - Savings plan,1133223,41971,988295,935,144928,988,267
7/1/22,2022,Mt - 0km,49977,7140,8960,140,41017,71,71
7/1/22,2022,N - 0km,43822,7304,2805,85,41017,1983,733
7/1/22,2022,T - 0km,65587,13117,5428,92,60159,1006,292
7/1/22,2022,Av - 0km,92996,18599,4125,165,88871,71,71
7/1/22,2022,R- 0km,67141,16785,2197,169,64944,3056,917
7/1/22,2022,N - 0km,84850,28283,2816,176,82034,14,14
7/1/22,2022,Multibrand,157916,15792,,200,157916,3287,1183
7/1/22,2022,A - Used Car Sales,644037,37885,459459,459,184578,14,14
8/1/22,2022,Mt - Savings plan,1955785,28762,1543465,739,412320,1613,500
8/1/22,2022,N - Savings plan,1316507,43884,1133958,931,182549,143,143
8/1/22,2022,T - Savings plan,1986468,38201,1567804,842,418664,1667,667
8/1/22,2022,Av - Savings plan,2005226,60764,1623213,761,382013,43,43
8/1/22,2022,R- Savings plan,1158953,82782,913675,805,245278,1235,333
8/1/22,2022,N - Savings plan,1347198,64152,1178746,937,168452,71,71
8/1/22,2022,Mt - 0km,79843,19961,12180,140,67663,2479,967
8/1/22,2022,N - 0km,56219,18740,11815,85,44404,1006,292
8/1/22,2022,T - 0km,70088,14018,5244,92,64844,71,71
8/1/22,2022,Av - 0km,80052,80052,9570,165,70482,3056,917
8/1/22,2022,R- 0km,46234,11558,2535,169,43699,14,14
8/1/22,2022,N - 0km,52858,17619,2816,176,50042,3287,1183
8/1/22,2022,Multibrand,133602,10277,1800,200,131802,14,14
8/1/22,2022,A - Used Car Sales,645830,35879,428040,435,217790,1613,500
9/1/22,2022,Mt - Savings plan,2228950,33268,1776093,739,452857,143,143
9/1/22,2022,N - Savings plan,1182028,38130,969171,931,212857,1667,667
9/1/22,2022,T - Savings plan,2318294,44583,1858294,842,460000,43,43
9/1/22,2022,Av - Savings plan,2200298,56418,1831727,761,368571,1235,333
9/1/22,2022,R- Savings plan,944943,55585,772800,805,172143,71,71
9/1/22,2022,N - Savings plan,982724,36397,834867,937,147857,2479,967
9/1/22,2022,Mt - 0km,96340,19268,11340,140,85000,1006,292
9/1/22,2022,N - 0km,87735,29245,7735,85,80000,71,71
9/1/22,2022,T - 0km,71673,14335,5244,92,66429,3050,915
9/1/22,2022,Av - 0km,88524,44262,7095,165,81429,94,84
9/1/22,2022,R- 0km,37835,37835,3549,169,34286,3287,1183
9/1/22,2022,N - 0km,53168,26584,3168,176,50000,57,57
9/1/22,2022,Multibrand,15171,15171,1600,200,13571,1613,500
9/1/22,2022,A - Used Car Sales,565630,29770,390630,435,175000,32,29
10/1/22,2022,Mt - Savings plan,3229887,70215,2755632,921,474255,1668,667
10/1/22,2022,N - Savings plan,1516597,40989,1312200,1013,204397,43,43
10/1/22,2022,T - Savings plan,3084496,43444,2598885,1035,485611,1236,334
10/1/22,2022,Av - Savings plan,3070310,63965,2700926,917,369385,71,71
10/1/22,2022,R- Savings plan,1065659,66604,918707,937,146952,2474,965
10/1/22,2022,N - Savings plan,1342269,70646,1224708,1168,117562,972,292
10/1/22,2022,Mt - 0km,156158,31232,45276,308,110882,0,0
10/1/22,2022,N - 0km,87144,17429,13000,200,74144,3000,750
10/1/22,2022,T - 0km,107804,11978,36332,293,71472,0,0
10/1/22,2022,Av - 0km,92162,30721,18018,231,74144,3448,1000
10/1/22,2022,R- 0km,36530,,3800,200,32730,0,0
10/1/22,2022,N - 0km,53680,26840,7590,230,46090,1250,375
10/1/22,2022,Multibrand,,,,,,0,0
10/1/22,2022,A - Used Car Sales,640785,40049,453087,519,187698,583,233
11/1/22,2022,Mt - Savings plan,3243060,62367,2695000,963,548060,0,0
11/1/22,2022,N - Savings plan,1572098,46238,1284512,1096,287586,1389,375
11/1/22,2022,T - Savings plan,3270559,79770,2772851,1169,497708,0,0
11/1/22,2022,Av - Savings plan,2716146,54323,2333667,1029,382480,4924,1083
11/1/22,2022,R- Savings plan,879143,67626,743581,904,135563,850,292
11/1/22,2022,N - Savings plan,1192349,99362,1047104,1181,145246,0,0
11/1/22,2022,Mt - 0km,299726,74931,132209,707,167517,2200,550
11/1/22,2022,N - 0km,94967,23742,5883,53,89084,0,0
11/1/22,2022,T - 0km,179832,29972,97526,806,82306,2778,750
11/1/22,2022,Av - 0km,127372,10614,45066,111,82306,0,0
11/1/22,2022,R- 0km,50311,50311,2864,179,47447,1111,333
11/1/22,2022,N - 0km,72650,,3900,150,68750,0,0
11/1/22,2022,Multibrand,,,,,,833,250
11/1/22,2022,A - Used Car Sales,826170,34424,605397,817,220773,0,0
12/1/22,2022,Mt - Savings plan,3045353,57459,2457868,1148,587485,1000,250
12/1/22,2022,N - Savings plan,1376862,49174,1072283,1014,304579,0,0
12/1/22,2022,T - Savings plan,2724867,49543,2216094,1299,508773,2500,750
12/1/22,2022,Av - Savings plan,2895064,125872,2566529,1363,328535,1458,438
12/1/22,2022,R- Savings plan,747363,83040,627585,1043,119778,767,150
12/1/22,2022,N - Savings plan,1182504,197084,1060444,1722,122060,1705,333
12/1/22,2022,Mt - 0km,208867,41773,75400,580,133467,707,163
12/1/22,2022,N - 0km,104974,14996,17136,204,87838,2246,517
12/1/22,2022,T - 0km,166021,83011,72480,755,93541,272,75
12/1/22,2022,Av - 0km,86768,9641,20605,317,66163,906,250
12/1/22,2022,R- 0km,45672,45672,5746,221,39926,290,50
12/1/22,2022,N - 0km,76067,38034,4200,200,71867,725,125
12/1/22,2022,Multibrand,,,,,,256,50
12/1/22,2022,A - Used Car Sales,1065628,42625,766752,978,298876,1066,208
1/1/23,2023,A - Used Car Sales,1529961,56665,1124716,634,405245,880,213
1/1/23,2023,Av - 0km,235208,47042,183194,757,52014,1725,417
1/1/23,2023,Av - Savings plan,2975704,85020,2638776,1112,336928,1458,438
1/1/23,2023,Mt - 0km,205878,68626,79336,376,126542,767,150
1/1/23,2023,Mt - Savings plan,3565727,39619,2871687,871,694040,2344,458
1/1/23,2023,N - 0km,133184,133184,58656,376,74528,707,163
1/1/23,2023,N - Savings plan,1406031,31245,1146737,949,259295,3623,833
1/1/23,2023,R- 0km,63938,63938,31332,746,32606,272,75
1/1/23,2023,R- Savings plan,1552433,97027,1322639,755,229794,1057,292
1/1/23,2023,N - 0km,78694,78694,37548,1341,41146,290,50
1/1/23,2023,N - Savings plan,1845826,141987,1690560,1440,155266,2415,417
1/1/23,2023,T - 0km,175801,19533,93510,1039,82291,256,50
1/1/23,2023,T - Savings plan,4123570,55724,3375963,1081,747607,1449,283
2/1/23,2023,A - Used Car Sales,1380470,98605,868716,531,511754,880,213
2/1/23,2023,Av - 0km,,,,,,2588,625
2/1/23,2023,Av - Savings plan,3221863,97632,2677950,1082,543913,1411,438
2/1/23,2023,Mt - 0km,,,,,,,
2/1/23,2023,Mt - Savings plan,4163119,65049,3212319,933,950800,2451,417
2/1/23,2023,N - 0km,,,,,,,
2/1/23,2023,N - Savings plan,1401900,43809,1010394,851,391506,3261,750
2/1/23,2023,R- 0km,,,,,,,
2/1/23,2023,R- Savings plan,1631566,77694,1287600,725,343966,1282,333
2/1/23,2023,N - 0km,,,,,,,
2/1/23,2023,N - Savings plan,2340468,117023,2042645,1391,297824,1932,333
2/1/23,2023,T - 0km,,,,,,,
2/1/23,2023,T - Savings plan,3770936,45433,2827128,954,943808,1852,333
