HOLII SAPI DE CV - Space Statistics
User,carla.mccadden@holii.mx
Last refreshed,12/14/23 08:24:07 UTC
Timeframe,Lifetime

Space name,Space Details URL,Parent folder name,Internal ID,Presented By,Contact name,Address,Public status,Deleted status,Created Date,Impressions,Visits,Unique Visitors
Torre Prisma - 301A,https://my.matterport.com/models/6HTsbNxbKP8/,David Marcos,,Holii.mx,,,Public,Not Deleted,09/05/23,36,29,19
Cobalto 50,https://my.matterport.com/models/CshEPip9PGj/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,09/02/23,20,11,10
Laureles 404,https://my.matterport.com/models/QoVS7gKypth/,IM Desarrollos,,Holii.mx,,,Public,Not Deleted,08/30/23,24,21,17
Insurgente Sur 64,https://my.matterport.com/models/MHoqKwDpQXC/,Jemil,,Holii.mx,,,Public,Not Deleted,08/24/23,294,260,121
Casa Club Xaltipa,https://my.matterport.com/models/aR7JYdUofNG/,Villas Xaltipa II 2023,,,,,Public,Not Deleted,08/22/23,57,40,27
Clinica Bc,https://my.matterport.com/models/L87nbUb8YyG/,REMAX Consulting,,Holii.mx,,,Public,Not Deleted,08/14/23,144,21,17
Tuberias,https://my.matterport.com/models/KVNsggANvMr/,Alberto Garcia,,Holii.mx,,,Public,Not Deleted,08/10/23,85,84,6
Toscana Casa 2,https://my.matterport.com/models/kfZRkT9gBA2/,Maria Esther,,Holii.mx,,,Public,Not Deleted,08/01/23,49,48,27
Rio Magdalena,https://my.matterport.com/models/QCgRq9M7hBV/,Jemil,,Holii.mx,,Jemil,Public,Not Deleted,07/08/23,384,341,133
Core 31,https://my.matterport.com/models/BBGvvgb2424/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,06/15/23,31,17,12
Diversey,https://my.matterport.com/models/ESM1pPhdCUu/,Diversey,,Holii.mx,,,Public,Not Deleted,06/12/23,112,69,22
Portal Veracruz,https://my.matterport.com/models/ytYZQM49qAR/,Grupo MRP,,Holii.mx,,,Public,Not Deleted,06/11/23,61,47,27
Workhaüs Puebla,https://my.matterport.com/models/YSSyh3XY5hn/,Workhaüs,,Holii.mx,,,Public,Not Deleted,06/04/23,104,90,52
ETRA GALERÍA / Else Gjerdrum (Noruega) Lucia Maya (México) Max Pedreira (España),https://my.matterport.com/models/1eKT1VskCzL/,Etra Galeria,,Holii.mx,,"301 Avenida José Vasconcelos, San Pedro Garza García, Nuevo León, 66250, México",Public,Not Deleted,05/31/23,560,496,337
Porcelanosa México - Valle Dorado,https://my.matterport.com/models/AUHvN3QvmkG/,Porcelanosa,,Holii.mx,,,Public,Not Deleted,05/31/23,4,4,4
Show Room,https://my.matterport.com/models/mXXTfSD4V6g/,Casas KREA,,Holii.mx,,,Not Public,Not Deleted,05/24/23,0,0,0
La Fontaine,https://my.matterport.com/models/y856AboMcCz/,Pablo Gomez (Beleta),,Holii.mx,,"96 Calle Juan de Lafontaine, Miguel Hidalgo, CDMX, 11540, México",Public,Not Deleted,05/17/23,33,19,14
KOBER,https://my.matterport.com/models/2w13Vp6Jbgb/,Kober,,Holii.mx,,,Public,Not Deleted,05/12/23,37,36,6
Fuente De Trevi,https://my.matterport.com/models/3Ys58uWDXup/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,05/11/23,54,30,28
Quinta Morelos,https://my.matterport.com/models/T1RjmzesQqV/,Jessica Morales,,Holii.mx,,,Public,Not Deleted,05/11/23,6,5,2
Arquimides 189,https://my.matterport.com/models/yedASjBdsyy/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,05/05/23,359,205,173
Bosque de Toronjos 25,https://my.matterport.com/models/432wQXbq3fK/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,05/04/23,132,75,47
Torre Amsterdam,https://my.matterport.com/models/hghawRrxQ6m/,CBRE,,Holii.mx,,,Public,Not Deleted,04/27/23,102,71,55
Residencial Aquario EF 1704,https://my.matterport.com/models/DxHctiFGLXK/,Saleh,,http://www.boogietech.com.mx,,"Calle Eucalipto 22, Torre EF 1704, Jesús del Monte, México, 52764, México",Public,Not Deleted,04/27/23,199,118,86
Jade,https://my.matterport.com/models/EJjd2yteAM3/,Jemil,,Holii.mx,,"CDMX, México",Public,Not Deleted,04/26/23,1278,1077,348
Goldsmith,https://my.matterport.com/models/TgT4NvNadD2/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,04/26/23,92,49,42
Downtown Reforma - Sky Lobby / Nivel 10,https://my.matterport.com/models/B5F7w9k3inz/,Colliers,,Holii.mx,,,Public,Not Deleted,04/20/23,66,58,34
Downtown Reforma - Nivel 17,https://my.matterport.com/models/Hq4nnYAt2Ed/,Colliers,,Holii.mx,,,Public,Not Deleted,04/20/23,60,56,37
Ruben Dario 225 - PH,https://my.matterport.com/models/tVyiCrd9tN6/,Raul Pinto,,Holii.mx,,,Public,Not Deleted,04/20/23,24,21,8
Xitle,https://my.matterport.com/models/m22f1ohME6b/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,04/08/23,240,136,110
Modelo Grand Denali 295m2,https://my.matterport.com/models/qWJbBHyNW5g/,Loma Alta,,Holii.mx,,,Public,Not Deleted,04/08/23,1529,855,611
Modelo Bona 214m2,https://my.matterport.com/models/5UYWYd3jAJP/,Loma Alta,,Holii.mx,,,Public,Not Deleted,04/08/23,883,495,349
Modelo Ajusco 195.5m2,https://my.matterport.com/models/pBqg8uYheZF/,Loma Alta,,Holii.mx,,,Public,Not Deleted,04/08/23,1733,953,717
Centro de Atención y Ventas,https://my.matterport.com/models/rdiYpeL9ydV/,San Fernando 2023,,,,,Public,Not Deleted,04/03/23,253,171,134
Capulin,https://my.matterport.com/models/WkCeF4pRFAQ/,San Fernando 2023,,,,,Public,Not Deleted,04/03/23,3849,1214,858
Nogal,https://my.matterport.com/models/s3KXYm2irR6/,San Fernando 2023,,,,,Public,Not Deleted,04/03/23,1349,696,342
Echanove,https://my.matterport.com/models/cndZNwZkGTc/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,03/27/23,196,101,82
Homero 1118,https://my.matterport.com/models/dwbMAfb9vyr/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,03/24/23,362,185,144
Orange Park Residencial,https://my.matterport.com/models/j995nAn43wm/,M&M Consultores Inmobiliarios,,Holii.mx,,,Public,Not Deleted,03/21/23,1006,862,580
Bernardo Quintana 51,https://my.matterport.com/models/rSFYRJfaDSV/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,03/17/23,510,273,170
Montessori Kids Education,https://my.matterport.com/models/QgjRUZ9ZqKB/,360s Edgar,,Holii.mx,,,Public,Not Deleted,03/16/23,138,70,35
Hotel de mi Independencia,https://my.matterport.com/models/i51ps6wuf9j/,Hello Holt,,Holii.mx,,,Public,Not Deleted,03/14/23,2436,196,148
Castillo Del Morro,https://my.matterport.com/models/8NG3kkoBkQb/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,03/10/23,149,84,67
FBO León Bajío,https://my.matterport.com/models/Cwmvxj1jPFT/,Fly Across,,Holii.mx,,"Colonias Nuevo México, Guanajuato, 36278, México",Public,Not Deleted,03/08/23,8,7,3
Álamo Plus 3,https://my.matterport.com/models/2hAvh2hH943/,Villas Xaltipa II 2023,,,,,Public,Not Deleted,02/27/23,11050,4160,2823
Álamo Plus 1,https://my.matterport.com/models/v6wdYT31yek/,Villas Xaltipa II 2023,,,,,Public,Not Deleted,02/27/23,11818,4217,2667
Álamo Plus 2,https://my.matterport.com/models/15uS4CcLb4S/,Villas Xaltipa II 2023,,,,,Public,Not Deleted,02/27/23,4509,1406,1038
Residencial Barro Negro - Modelo Yú,https://my.matterport.com/models/KmFstHp5DNm/,Nivel 1 Constructora,,Holii.mx,,,Public,Not Deleted,02/17/23,2020,623,456
CBRE Cuauhtemoc,https://my.matterport.com/models/scpfQ5gtYCM/,CBRE,,Holii.mx,,,Public,Not Deleted,02/02/23,229,188,101
Cygni,https://my.matterport.com/models/ay3xnuvr7P1/,Jemil,,Holii.mx,,,Public,Not Deleted,02/02/23,1272,1024,327
Solon 210,https://my.matterport.com/models/UjdbLQh29xh/,Maia Home,,Holii.mx,,Solon 210,Public,Not Deleted,01/19/23,963,366,247
Cruz Verde 66,https://my.matterport.com/models/ZkUKPKMyCrZ/,REMAX Consulting,,Holii.mx,,,Public,Not Deleted,01/14/23,682,359,206
Residencial Isola Cancún,https://my.matterport.com/models/6wcXBpaP4SY/,360s Edgar,,Holii.mx,,"Residencial Isola Cancun, Cancun, Mexico",Not Public,Not Deleted,01/05/23,0,0,0
Park Plaza II 204,https://my.matterport.com/models/vvHcjXaCJAn/,Park Plaza Torre II,,http://www.boogietech.com.mx,,"Av. Javier Barros Sierra 540, Santa Fe, Zedec Sta Fé, Álvaro Obregón, 01219 Ciudad de México, CDMX, México",Public,Not Deleted,12/05/22,30,30,22
Sky Santa Fe,https://my.matterport.com/models/swMq211qAdT/,Copri,,Holii.mx,,,Public,Not Deleted,12/02/22,1004,942,710
Baikal,https://my.matterport.com/models/9gJGDGAsEmH/,Amir Cherit,,Holii.mx,,,Public,Not Deleted,11/25/22,12,11,8
Cyta - Depto GH01,https://my.matterport.com/models/wjkhfuLN9oZ/,M&M Consultores Inmobiliarios,,Holii.mx,,,Public,Not Deleted,11/23/22,53,46,30
Park Plaza II 201,https://my.matterport.com/models/4jjnGkCCsAP/,Park Plaza Torre II,,http://www.boogietech.com.mx,,"Av. Javier Barros Sierra 540, Santa Fe, Zedec Sta Fé, Álvaro Obregón, 01219 Ciudad de México, CDMX, México",Public,Not Deleted,11/22/22,11,9,6
Zurich 532,https://my.matterport.com/models/5KJZaTQJsMz/,Amir Cherit,,Holii.mx,,,Public,Not Deleted,11/18/22,0,0,0
Park Plaza II 602,https://my.matterport.com/models/N6Bb2vjyEvu/,Park Plaza Torre II,,http://www.boogietech.com.mx,,"Av. Javier Barros Sierra 540, Santa Fe, Zedec Sta Fé, Álvaro Obregón, 01219 Ciudad de México, CDMX, México",Public,Not Deleted,11/16/22,26,24,13
Cyta - Depto PH1,https://my.matterport.com/models/NJs21mjDwHg/,M&M Consultores Inmobiliarios,,Holii.mx,,,Public,Not Deleted,11/16/22,322,184,98
Oncológicos Tratamiento Integral del Cáncer,https://my.matterport.com/models/7fRZHdHqPzU/,Hospital Santander Oncologico,,Holii.mx,,,Public,Not Deleted,11/14/22,713,541,411
Torre Zentrum Santa Fe 1502,https://my.matterport.com/models/nAeehJST3Pk/,Torre Zentrum,,http://www.boogietech.com.mx,,"Torre Zentrum, Av. Santa Fe, Santa Fe, Contadero, Cuajimalpa de Morelos, 01219 Ciudad de México, CDMX, México",Public,Not Deleted,11/09/22,88,78,46
Villas del Fresno - Casa Álamo,https://my.matterport.com/models/tHyw67tb3eG/,Villas del Fresno 2022,,,,,Public,Not Deleted,11/07/22,7173,3594,1756
Villas del Fresno - Casa Ébano,https://my.matterport.com/models/dmzK7aqHvDP/,Villas del Fresno 2022,,,,,Public,Not Deleted,11/07/22,327,287,125
Villas del Fresno - Casa Ébano Plus,https://my.matterport.com/models/bk4r7x2vBbG/,Villas del Fresno 2022,,,,,Public,Not Deleted,11/07/22,8392,4164,2132
Punta Coral - Modelo Azur,https://my.matterport.com/models/JgxDTJQPoxs/,Punta Coral,,Holii.mx,,,Public,Not Deleted,11/02/22,2469,1377,1001
Punta Coral - Modelo Donei,https://my.matterport.com/models/N5RrupkePek/,Punta Coral,,Holii.mx,,,Public,Not Deleted,11/02/22,1836,1030,759
Punta Coral - Modelo Elis Plus,https://my.matterport.com/models/VV3CWkXbeTD/,Punta Coral,,Holii.mx,,,Public,Not Deleted,11/02/22,2002,1241,826
Casa Sierra Amatepec,https://my.matterport.com/models/8RU6Qx8MeTV/,Mercedes A,,Holii.mx,,,Public,Not Deleted,11/02/22,450,329,194
Be Grand® Del Valle Tipo 6,https://my.matterport.com/models/dB4myzwEqbc/,Be Grand,,Holii.mx,,,Public,Not Deleted,10/16/22,3593,3358,2997
Be Grand® Bosques Tipo 3,https://my.matterport.com/models/jmwLeEamj6M/,Be Grand,,Holii.mx,,,Public,Not Deleted,10/16/22,1319,1261,1108
Torre Pedregal 501,https://my.matterport.com/models/bfZyzntHhdP/,Torre Pedregal II,,http://www.boogietech.com.mx,,"Anillo Perif. 3642, Jardines del Pedregal, Álvaro Obregón, 14140 Ciudad de México, CDMX, México",Public,Not Deleted,10/09/22,44,43,24
Hermes,https://my.matterport.com/models/2KLqnw5RF5n/,Hermés,,Holii.mx,,,Public,Not Deleted,10/06/22,271,252,184
Una Piedra en el Zapato / Sólo un Poco de Materia,https://my.matterport.com/models/AB9uar7jWdj/,Arroniz Galería,,Holii.mx,,,Not Public,Not Deleted,09/29/22,333,276,195
Torre Del Bosque 903,https://my.matterport.com/models/CJ7Xxi1RqM9/,Torre Del Bosque,,http://www.boogietech.com.mx,,"Perif. Blvd. Manuel Ávila Camacho 24, Lomas - Virreyes, Lomas de Chapultepec, Miguel Hidalgo, 11000 Naucalpan de Juárez, CDMX, México",Public,Not Deleted,08/25/22,10,10,5
Blum,https://my.matterport.com/models/UZW6g3qvtEp/,M&M Consultores Inmobiliarios,,Holii.mx,,,Public,Not Deleted,08/24/22,45,36,28
HOLT | Villa Noria ∆ La Casa del Barro Verde | Oaxaca,https://my.matterport.com/models/oRwvcHYHAVU/,Hello Holt,,Holii.mx,,,Public,Not Deleted,08/19/22,1215,130,82
Park Plaza I 302,https://my.matterport.com/models/RNnQpy7TkVq/,Park Plaza Torre I,,http://www.boogietech.com.mx,,"Av. Javier Barros Sierra 540, Santa Fe, Zedec Sta Fé, Álvaro Obregón, 01219 Ciudad de México, CDMX, México",Public,Not Deleted,08/07/22,61,55,33
San Fernando - Casa Pino,https://my.matterport.com/models/pAm5SwQbYie/,San Fernando 2022,,Holii.mx,,,Public,Not Deleted,08/04/22,9089,3561,2249
"Saltillo 19, piso 10",https://my.matterport.com/models/MgJgyVEvX5V/,Colliers,,Holii.mx,,,Public,Not Deleted,08/03/22,43,32,17
Villas del Tule - Casa Ebano,https://my.matterport.com/models/niYYUZ1FMkC/,Villas del Tule,,,,,Public,Not Deleted,07/30/22,3986,1591,1127
Villas del Tule - Casa Alamo B,https://my.matterport.com/models/dM9n1Xpz1Zg/,Villas del Tule,,,,,Public,Not Deleted,07/30/22,5401,2042,1402
El Bosque,https://my.matterport.com/models/GwduumHrmfx/,Grupo MRP,,Holii.mx,,,Public,Not Deleted,07/30/22,33,29,19
Maranta,https://my.matterport.com/models/aWDSzmGwW8D/,Grupo MRP,,Holii.mx,,,Public,Not Deleted,07/28/22,35,30,17
Isola PH,https://my.matterport.com/models/Dbia7J1cbFm/,M&M Consultores Inmobiliarios,,Holii.mx,,,Public,Not Deleted,07/27/22,37,33,24
Isola Casa,https://my.matterport.com/models/EeYHdqkoyku/,M&M Consultores Inmobiliarios,,Holii.mx,,6,Public,Not Deleted,07/27/22,12,11,8
Guadiana,https://my.matterport.com/models/wv6amTGftLQ/,Jemil,,Holii.mx,,,Public,Not Deleted,07/25/22,1401,1275,537
San Fernando - Casa Caoba Plus,https://my.matterport.com/models/5c4xuYcs4mu/,San Fernando 2022,,,,,Public,Not Deleted,07/23/22,3565,1584,875
San Fernando - Casa Capulín,https://my.matterport.com/models/9xp1Kvzg5Bp/,San Fernando 2022,,,,,Public,Not Deleted,07/23/22,3463,1866,990
San Fernando - Casa Tule Plus,https://my.matterport.com/models/ToP7qnLeqDZ/,San Fernando 2022,,,,,Public,Not Deleted,07/23/22,2321,985,616
San Fernando - Casa Caoba,https://my.matterport.com/models/drR3YzJfWw7/,San Fernando 2022,,,,,Public,Not Deleted,07/23/22,4683,2344,1220
San Fernando - Casa Ciprés,https://my.matterport.com/models/e2AxXt6Weio/,San Fernando 2022,,,,,Public,Not Deleted,07/23/22,5786,1981,1243
"Estadios, Estancias, Estaciones",https://my.matterport.com/models/V5sT2884Wzj/,Arroniz Galería,,Holii.mx,,,Not Public,Not Deleted,07/13/22,277,248,185
Casa Carlo,https://my.matterport.com/models/Wi622tPsF3F/,Andrea Residencial,,Holii.mx,,,Public,Not Deleted,07/08/22,2179,1227,860
Casa Dante,https://my.matterport.com/models/CZqYUmd51MQ/,Andrea Residencial,,Holii.mx,,,Public,Not Deleted,07/08/22,1934,1143,716
Casa Sabino Plus,https://my.matterport.com/models/2ChRQVmrdtW/,Andrea Residencial,,Holii.mx,,,Public,Not Deleted,07/08/22,2340,1340,857
Torre Pedregal PH,https://my.matterport.com/models/ir8gk2yFkSL/,Torre Pedregal II,,http://www.boogietech.com.mx,,"Anillo Perif. 3642, Jardines del Pedregal, Álvaro Obregón, 14140 Ciudad de México, CDMX, México",Public,Not Deleted,07/04/22,39,37,15
Paseo de los Arquitectos 482,https://my.matterport.com/models/RfZ6eveypsg/,Grupo MRP,,Holii.mx,,,Public,Not Deleted,06/28/22,184,94,40
Arqueología Procesual / Zona de Indiferencia,https://my.matterport.com/models/Y7Hnq6joTxg/,Arroniz Galería,,Holii.mx,,,Not Public,Not Deleted,06/15/22,321,288,213
Park Plaza I 305,https://my.matterport.com/models/CvMz1qXBKDW/,Park Plaza Torre I,,http://www.boogietech.com.mx,,"Av. Javier Barros Sierra 540, Santa Fe, Zedec Sta Fé, Álvaro Obregón, 01219 Ciudad de México, CDMX, México",Public,Not Deleted,06/12/22,137,129,59
Tres Cumbres - depto muestra,https://my.matterport.com/models/Mp37QRFK1qz/,Copri,,Holii.mx,,,Public,Not Deleted,06/10/22,2826,799,579
Torre 2 - Depto 3,https://my.matterport.com/models/Jo3L5g5aAG9/,Torre 2,,Holii.mx,,Depto 3,Public,Not Deleted,06/07/22,1342,848,597
Torre 2 - Depto 2,https://my.matterport.com/models/JUo6ms66KCR/,Torre 2,,Holii.mx,,Depo 2,Public,Not Deleted,06/07/22,1028,671,480
Torre 2 - Depto 1,https://my.matterport.com/models/XaoypMESfw3/,Torre 2,,Holii.mx,,,Public,Not Deleted,06/07/22,2023,1088,647
Torre Mayor Piso 37,https://my.matterport.com/models/mvTDVihp2Mn/,Colliers,,Holii.mx,,,Public,Not Deleted,06/07/22,259,171,104
Puntocero Residencial - Roof Garden 24,https://my.matterport.com/models/Q23PEv3MNcw/,Desiree Treviño,,Holii.mx,,,Public,Not Deleted,06/03/22,189,152,120
Ready,https://my.matterport.com/models/QfaAs9ntrSu/,Loma Desarrollos,,Holii.mx,,,Public,Not Deleted,06/02/22,43853,2367,1698
Torre Pedregal 1501,https://my.matterport.com/models/CJQWzrA6Dhk/,Torre Pedregal II,,http://www.boogietech.com.mx,,"Anillo Perif. 3642, Jardines del Pedregal, Álvaro Obregón, 14140 Ciudad de México, CDMX, México",Public,Not Deleted,06/01/22,28,26,16
Torre Pedregal 702,https://my.matterport.com/models/vQtmEXVPDqF/,Torre Pedregal II,,http://www.boogietech.com.mx,,"Anillo Perif. 3642, Jardines del Pedregal, Álvaro Obregón, 14140 Ciudad de México, CDMX, México",Public,Not Deleted,06/01/22,27,26,15
Puntocero Residencial - Áreas Comunes,https://my.matterport.com/models/4PvRC8AH29X/,Desiree Treviño,,Holii.mx,,,Public,Not Deleted,05/30/22,16205,2618,1709
Puntocero Residencial - Depto 53 m2,https://my.matterport.com/models/HW5YR7i9nxj/,Desiree Treviño,,Holii.mx,,,Public,Not Deleted,05/30/22,346,218,159
Puntocero Residencial - Depto 74 m2,https://my.matterport.com/models/RsV2inJYqEs/,Desiree Treviño,,Holii.mx,,,Public,Not Deleted,05/30/22,445,304,241
Puntocero Residencial - Roof Garden piso 6,https://my.matterport.com/models/7r1JrketNyf/,Desiree Treviño,,Holii.mx,,,Public,Not Deleted,05/27/22,155,150,111
Textiles San Jose de Tlaxcala,https://my.matterport.com/models/vBPgXekb3Mk/,Naves Lopez,,Holii.mx,,,Public,Not Deleted,05/18/22,145,17,12
Lanera Nacional,https://my.matterport.com/models/ch9KbnCdE7M/,Naves Lopez,,Holii.mx,,,Public,Not Deleted,05/18/22,168,60,46
Fray Payo De Rivera,https://my.matterport.com/models/9swdCibMJwR/,REMAX Consulting,,Holii.mx,,,Public,Not Deleted,05/13/22,2323,914,561
THE RITZ-CARLTON SUITE,https://my.matterport.com/models/4dwi2kZH1CF/,Hotel Ritz Carlton,,Holii.mx,,,Public,Not Deleted,05/12/22,83,78,42
Torre Zentrum Santa Fe 101 y 201,https://my.matterport.com/models/ureSjDusxck/,Torre Zentrum,,http://www.boogietech.com.mx,,"Torre Zentrum, Av. Santa Fe, Santa Fe, Contadero, Cuajimalpa de Morelos, 01219 Ciudad de México, CDMX, México",Not Public,Not Deleted,05/04/22,148,103,64
THE RITZ-CARLTON HOTEL - SPA / GYM / CLUB LOUNGE,https://my.matterport.com/models/MjoiTyaXr1s/,Hotel Ritz Carlton,,Holii.mx,,,Public,Not Deleted,04/26/22,280,251,167
THE RITZ-CARLTON - ROYAL SUITE,https://my.matterport.com/models/d1fvz4X4MrL/,Hotel Ritz Carlton,,Holii.mx,,,Public,Not Deleted,04/26/22,98,94,60
THE RITZ-CARLTON - SUITE,https://my.matterport.com/models/8uck5RCHMCk/,Hotel Ritz Carlton,,Holii.mx,,,Public,Not Deleted,04/25/22,124,108,59
THE RITZ-CARLTON - LUXURY SUITE,https://my.matterport.com/models/qrEgG3X2nG1/,Hotel Ritz Carlton,,Holii.mx,,,Public,Not Deleted,04/25/22,110,98,59
THE RITZ-CARLTON - EXECUTIVE SUITE,https://my.matterport.com/models/D5kE9ixeMda/,Hotel Ritz Carlton,,Holii.mx,,,Public,Not Deleted,04/25/22,259,138,78
THE RITZ-CARLTON - BALLROOM,https://my.matterport.com/models/Jpk3Cvbm5jo/,Hotel Ritz Carlton,,Holii.mx,,,Public,Not Deleted,04/25/22,613,540,377
Depto Ritz,https://my.matterport.com/models/aegrgKPWKDB/,Arquitectoma,,Holii.mx,,,Not Public,Not Deleted,04/19/22,41,40,18
Consultorios,https://my.matterport.com/models/LkdCwy9K1KK/,CBRE,,Holii.mx,,,Public,Not Deleted,04/09/22,109,100,70
THE RITZ-CARLTON - SAMOS RESTAURANT & BAR,https://my.matterport.com/models/rBjsYh5GfpN/,Hotel Ritz Carlton,,Holii.mx,,,Public,Not Deleted,04/06/22,604,469,337
Torre Heldan 502,https://my.matterport.com/models/XY5BbTb263A/,Torre Heldan,,http://www.boogietech.com.mx,,"Av. Thiers 251, Anzures, Miguel Hidalgo, 22235 San Miguel, CDMX, México",Public,Not Deleted,04/04/22,21,20,14
Torre Heldan 501,https://my.matterport.com/models/ekhMQYB2hNc/,Torre Heldan,,http://www.boogietech.com.mx,,"Av. Thiers 251, Anzures, Miguel Hidalgo, 22235 San Miguel, CDMX, México",Public,Not Deleted,04/04/22,26,16,13
Torre Heldan  602,https://my.matterport.com/models/ZhYi34ojSUf/,Torre Heldan,,http://www.boogietech.com.mx,,"Av. Thiers 251, Anzures, Miguel Hidalgo, 22235 San Miguel, CDMX, México",Public,Not Deleted,03/28/22,71,59,32
Torre Heldan 601,https://my.matterport.com/models/W1P9QCrexrE/,Torre Heldan,,http://www.boogietech.com.mx,,"Av. Thiers 251, Anzures, Miguel Hidalgo, 22235 San Miguel, CDMX, México",Public,Not Deleted,03/28/22,52,50,33
Torre Heldan 1002,https://my.matterport.com/models/uhJKVx4YEKA/,Torre Heldan,,http://www.boogietech.com.mx,,"Av. Thiers 251, Anzures, Miguel Hidalgo, 22235 San Miguel, CDMX, México",Public,Not Deleted,03/28/22,47,44,26
