Shop,Date,Shift,Tickets,Covers,System Sales,Lounge Sales,Delivery Sales,Bar Sales,Delivery Quantity,Lounge Quantity,Sale Fiscal,Visa Card,Visa electron,Pedidos Ya,Mercado Pago,Rappi
CDLM 5,02/01/2023,Noche,51,0,131319,131319,0,0,0,0,277803,37440,25899,0,18328,0
CDLM 5,03/01/2023,Mediodía,43,0,"123219,1","123219,1",0,0,0,0,0,21279,42800,0,22140,0
CDLM 3,03/01/2023,Mediodía,47,97,240176,198322,39434,2420,15,1,0,122529,0,26963,0,0
CDLM 1,03/01/2023,Mediodía,53,78,264324,175192,89132,0,31,0,0,64463,0,58484,0,2158
CDLM 2,03/01/2023,Mediodía,20,25,86065,52395,31020,2650,11,1,0,9245,11300,16920,11490,0
CDLM 6,03/01/2023,Mediodía,43,37,160423,82543,62129,15751,27,3,0,64439,0,46860,0,0
CDLM 4,03/01/2023,Mediodía,23,26,84981,49725,31701,3555,12,1,0,22845,0,14270,0,0
CDLM 1,03/01/2023,Noche,67,112,330748,239506,84432,6810,29,2,336467,84337,0,50052,0,"15641,5"
CDLM 2,03/01/2023,Noche,32,63,169458,131086,30698,7674,8,3,142786,77233,0,19133,0,0
CDLM 3,03/01/2023,Noche,66,170,394736,350586,38470,5680,12,2,497067,285991,0,23785,0,0
CDLM 4,03/01/2023,Noche,43,67,166950,125988,35407,5555,14,3,83290,54380,0,23657,0,"3923,3"
CDLM 5,03/01/2023,Noche,25,0,81907,81907,0,0,0,0,151307,21718,12120,0,16769,0
CDLM 6,03/01/2023,Noche,51,119,282207,228780,53427,0,16,0,266262,14279,159499,42032,25539,0
CDLM 3,04/01/2023,Mediodía,48,116,261454,229643,20509,11302,7,3,0,68140,76023,15280,13280,0
CDLM 5,04/01/2023,Mediodía,1,0,350,350,0,0,0,0,0,0,0,0,0,0
CDLM 4,04/01/2023,Mediodía,21,19,65978,41695,22113,2170,11,1,0,6460,13880,6470,0,3250
CDLM 6,04/01/2023,Mediodía,47,75,"223897,5","157268,5",66629,0,22,0,0,12948,63561,48726,6342,0
CDLM 2,04/01/2023,Mediodía,22,43,125027,90935,24109,9983,2,2,0,50320,0,9184,0,0
CDLM 1,04/01/2023,Mediodía,64,104,328601,258898,43233,26470,19,5,0,130683,0,21052,0,3073
CDLM 1,04/01/2023,Noche,57,63,244953,152433,90750,1770,31,1,403836,112258,0,49237,0,"18602,8"
CDLM 2,04/01/2023,Noche,45,82,218484,170715,42554,5215,17,2,130435,52100,37405,35863,12323,0
CDLM 3,04/01/2023,Noche,67,163,382443,339400,36893,6150,14,3,396201,92945,154726,25198,12155,0
CDLM 4,04/01/2023,Noche,38,61,171960,117054,52856,2050,15,1,189278,26600,58345,25933,21145,6384
CDLM 6,04/01/2023,Noche,66,128,318470,283544,34926,0,17,0,235497,159837,0,22218,0,0
CDLM 5,04/01/2023,Noche,28,0,79549,79549,0,0,0,0,57109,8670,15890,0,25299,0
CDLM 5,05/01/2023,Mediodía,45,0,"137827,2","137827,2",0,0,0,0,0,22378,31960,0,15910,0
CDLM 4,05/01/2023,Mediodía,30,36,116777,72040,34467,10270,12,3,0,3140,21755,23623,10285,0
CDLM 3,05/01/2023,Mediodía,40,80,"204096,4","174022,4",30074,0,13,0,0,25260,57219,17554,5845,0
CDLM 2,05/01/2023,Mediodía,24,41,104578,80400,24178,0,10,0,0,52610,0,12958,0,0
CDLM 1,05/01/2023,Mediodía,81,112,376650,264763,106240,5647,35,2,0,151337,0,67164,0,"9937,6"
CDLM 6,05/01/2023,Mediodía,42,50,161932,102037,59895,0,21,0,0,72326,0,50498,0,0
CDLM 1,05/01/2023,Noche,75,128,382224,293125,79524,9575,28,3,425549,128410,0,46109,0,"7780,16"
CDLM 2,05/01/2023,Noche,29,71,189728,141638,26620,21470,7,4,157595,25850,56375,16770,22103,0
CDLM 3,05/01/2023,Noche,69,176,411302,382938,28364,0,10,0,461158,127115,136265,17915,21773,0
CDLM 4,05/01/2023,Noche,31,68,152127,116212,29840,6075,11,2,149954,65737,0,22381,0,0
CDLM 6,05/01/2023,Noche,59,141,353880,310276,33604,10000,14,2,315974,221632,0,25323,0,0
CDLM 5,05/01/2023,Noche,32,0,84566,84566,0,0,0,0,143110,9699,22119,0,18589,0
CDLM 5,06/01/2023,Mediodía,45,0,140881,140881,0,0,0,0,0,34658,43500,0,9169,0
CDLM 4,06/01/2023,Mediodía,41,39,141128,81400,59728,0,26,0,0,29815,26580,41575,7440,2050
CDLM 3,06/01/2023,Mediodía,45,102,227813,194539,33274,0,14,0,0,17730,61601,17602,17625,0
CDLM 2,06/01/2023,Mediodía,18,25,70638,52825,14433,3380,6,3,0,35915,0,5219,0,0
CDLM 6,06/01/2023,Mediodía,68,67,271713,158070,111153,2490,44,1,0,24958,53578,66754,6418,0
CDLM 1,06/01/2023,Mediodía,78,109,344912,234483,103414,7015,37,2,0,131518,0,43693,0,"5292,3"
CDLM 5,06/01/2023,Mediodía,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDLM 5,06/01/2023,Noche,31,0,"84254,2","84254,2",0,0,0,0,149985,"19368,99",9860,0,9420,0
CDLM 1,06/01/2023,Noche,96,160,492697,369747,120900,2050,40,1,369579,138923,0,69106,0,"9672,4"
CDLM 2,06/01/2023,Noche,64,148,380429,305595,70389,4445,23,1,200666,68685,82458,29510,0,0
CDLM 3,06/01/2023,Noche,98,234,561631,497148,57268,7215,18,1,453601,107858,141328,33193,30205,2340
CDLM 4,06/01/2023,Noche,42,81,194881,137575,54197,3109,19,1,163444,99949,0,31216,0,3809
CDLM 6,06/01/2023,Noche,89,177,"473703,5","370747,5",97636,5320,35,2,309856,214915,0,69609,0,0
CDLM 5,07/01/2023,Mediodía,67,0,204186,204186,0,0,0,0,0,26609,83045,0,22229,0
CDLM 3,07/01/2023,Mediodía,73,164,411956,350657,59739,1560,19,1,0,101530,67310,21407,19240,3621
CDLM 4,07/01/2023,Mediodía,36,35,141347,77363,63984,0,21,0,0,5035,37520,49491,11000,2364
CDLM 6,07/01/2023,Mediodía,77,151,413804,320381,91553,1870,31,1,0,68470,108360,53369,27693,0
CDLM 2,07/01/2023,Mediodía,25,58,157158,129751,21112,6295,8,1,0,6445,52994,14382,2470,0
CDLM 1,07/01/2023,Mediodía,82,129,418489,290185,115104,13200,35,3,0,182300,0,72794,0,"10084,12"
CDLM 1,07/01/2023,Noche,120,177,"536306,5","393506,5",136250,6550,50,2,574431,199642,0,88078,0,14866
CDLM 3,07/01/2023,Noche,107,294,"623082,4","587136,4",33776,2170,10,1,596979,95799,175739,17368,96379,0
CDLM 4,07/01/2023,Noche,53,101,247453,206156,39427,1870,14,1,178744,132033,0,20745,0,0
CDLM 6,07/01/2023,Noche,93,196,477007,412426,62711,1870,24,1,524935,242407,0,"35169,5",0,0
CDLM 5,07/01/2023,Noche,44,0,121178,121178,0,0,0,0,226780,12039,28550,0,19940,0
CDLM 2,08/01/2023,Noche,71,170,417530,336506,68219,12805,19,4,217789,"142707,5",0,30402,0,0
CDLM 5,08/01/2023,Mediodía,54,0,170213,170213,0,0,0,0,0,13099,59306,0,13079,0
CDLM 4,08/01/2023,Mediodía,31,21,119640,47040,61800,10800,21,3,0,14625,32580,24922,3315,0
CDLM 3,08/01/2023,Mediodía,77,141,367036,284703,73638,8695,22,3,0,49312,62102,45320,33975,0
CDLM 1,08/01/2023,Mediodía,78,117,399907,268198,113834,17875,36,4,0,142490,0,61262,0,"15033,82"
CDLM 2,08/01/2023,Mediodía,34,85,199998,167039,24234,8725,9,2,0,43430,38511,11414,20385,0
CDLM 6,08/01/2023,Mediodía,89,89,"384249,5","211015,5",159554,13680,58,2,0,139336,0,99263,0,0
CDLM 1,08/01/2023,Noche,93,154,425642,323704,89388,12550,34,3,541290,192015,0,49158,0,"4014,32"
CDLM 2,08/01/2023,Noche,33,41,156520,89206,55784,11530,18,4,306360,57868,0,"25105,2",0,0
CDLM 3,08/01/2023,Noche,64,150,337603,295839,41100,664,14,1,453253,72100,63360,22660,40459,1806
CDLM 4,08/01/2023,Noche,34,65,211829,167710,42299,1820,15,1,281658,"110148,05",0,20830,0,"4850,3"
CDLM 6,08/01/2023,Noche,71,114,336454,242321,94133,0,32,0,572980,23795,69195,58523,41235,0
CDLM 5,08/01/2023,Noche,58,0,167999,167999,0,0,0,0,263263,"20249,99","45649,98",0,"22029,98",0
CDLM 4,09/01/2023,Mediodía,21,17,67797,35315,30032,2450,12,1,0,2450,7235,15250,13275,579
CDLM 5,09/01/2023,Mediodía,40,0,"120256,2","120256,2",0,0,0,0,0,22179,28060,0,31259,0
CDLM 1,09/01/2023,Mediodía,56,88,259259,180780,72832,5647,24,2,0,115877,0,41529,0,1870
CDLM 2,09/01/2023,Mediodía,10,19,60172,34793,25379,0,5,0,0,7885,0,16529,0,0
CDLM 3,09/01/2023,Mediodía,39,84,178884,164204,14680,0,6,0,0,55667,47985,11700,13315,2170
CDLM 6,09/01/2023,Mediodía,33,52,181269,131683,41361,8225,16,2,0,37088,16575,30230,23047,0
CDLM 1,09/01/2023,Noche,48,79,259599,200779,56770,2050,17,1,373851,95866,0,22170,0,"24204,22"
CDLM 2,09/01/2023,Noche,31,68,209897,158003,32844,19050,10,2,152468,108273,0,22094,0,0
CDLM 3,09/01/2023,Noche,53,115,280207,231993,45174,3040,14,2,311389,158374,0,18025,0,"13546,6"
CDLM 4,09/01/2023,Noche,35,44,146216,82565,59526,4125,20,1,80472,45750,0,"48747,5",0,0
CDLM 6,09/01/2023,Noche,63,117,287890,238162,47528,2200,20,1,273077,111706,0,31575,0,0
CDLM 5,09/01/2023,Noche,39,0,132011,132011,0,0,0,0,215028,35696,35855,0,32959,0
CDLM 5,10/01/2023,Mediodía,45,0,"141423,1","141423,1",0,0,0,0,0,"22149,99","29759,98",0,"18699,99",0
CDLM 4,10/01/2023,Mediodía,25,22,78616,45076,21531,12009,11,3,0,17080,14445,4666,664,6926
CDLM 3,10/01/2023,Mediodía,48,100,239629,208041,25794,5794,12,2,0,69340,44420,13801,10280,0
CDLM 2,10/01/2023,Mediodía,20,16,"67297,5",37024,20407,"9866,5",8,5,0,35572,0,"10357,1",0,0
CDLM 6,10/01/2023,Mediodía,33,38,139396,83881,55515,0,20,0,0,72670,0,33688,0,0
CDLM 1,10/01/2023,Mediodía,54,69,216388,150696,60712,4980,24,1,0,89429,0,31352,0,"10240,6"
CDLM 1,10/01/2023,Noche,54,73,264883,174476,90407,0,31,0,400989,93946,0,50268,0,"16686,72"
CDLM 2,10/01/2023,Noche,29,54,142879,103968,34691,4220,12,1,101140,19483,"28447,5",15708,6000,0
CDLM 3,10/01/2023,Noche,62,136,323569,273605,47544,2420,18,1,373007,51855,88033,31937,23485,0
CDLM 4,10/01/2023,Noche,27,44,125371,91080,29781,4510,10,1,154675,12980,19060,20053,7370,2170
CDLM 6,10/01/2023,Noche,59,91,274206,208481,63775,1950,25,1,279651,9915,97952,42789,41045,0
CDLM 5,10/01/2023,Noche,28,0,90467,90467,0,0,0,0,198718,9358,13120,0,16498,0
CDLM 4,11/01/2023,Mediodía,18,22,79796,47580,32216,0,10,0,0,7915,12450,18077,5790,0
CDLM 5,11/01/2023,Mediodía,51,0,"144364,2","144364,2",0,0,0,0,0,34772,44549,0,22330,0
CDLM 6,11/01/2023,Mediodía,40,45,150601,98170,48211,4220,20,1,0,19656,34156,25345,21932,0
CDLM 3,11/01/2023,Mediodía,47,78,197854,165163,29891,2800,18,1,0,116774,0,29891,0,3073
CDLM 2,11/01/2023,Mediodía,24,37,107536,77675,28201,1660,9,1,0,56235,0,19705,0,0
CDLM 1,11/01/2023,Mediodía,62,92,328822,221045,102737,5040,29,2,0,145215,0,"69248,6",0,"5126,82"
CDLM 5,11/01/2023,Noche,40,0,125241,125241,0,0,0,0,"240586,2",21339,28569,0,"17006,2",0
CDLM 1,11/01/2023,Noche,49,65,218320,143617,68068,6635,26,2,462826,94209,0,30834,0,"8071,69"
CDLM 2,11/01/2023,Noche,33,100,224168,184538,30360,9270,9,1,184510,97948,0,11310,0,0
CDLM 3,11/01/2023,Noche,66,183,400807,380242,15025,5540,6,2,318926,67435,94061,5790,33915,1170
CDLM 4,11/01/2023,Noche,22,40,96834,60555,32979,3300,10,1,100306,32130,0,22480,0,0
CDLM 6,11/01/2023,Noche,58,96,313534,247825,65709,0,25,0,197230,143091,0,45716,0,0
CDLM 5,12/01/2023,Mediodía,47,0,150590,150590,0,0,0,0,0,47140,58518,0,10622,0
CDLM 4,12/01/2023,Mediodía,22,16,71926,38905,32191,830,11,1,0,"27190,1",0,20646,0,0
CDLM 6,12/01/2023,Mediodía,43,60,190083,140580,41603,7900,18,2,0,33965,51826,25261,29687,0
CDLM 1,12/01/2023,Mediodía,78,113,346775,258089,81978,6708,29,5,0,186499,0,44098,0,5494
CDLM 2,12/01/2023,Mediodía,24,54,165920,119021,37419,9480,12,1,0,16648,5605,20539,14650,0
CDLM 1,12/01/2023,Noche,70,109,"325994,5","233608,5",81866,10520,27,3,462826,174500,0,45283,0,10564
CDLM 2,12/01/2023,Noche,23,40,123671,82161,29710,11800,7,2,184510,2960,42345,16390,0,0
CDLM 3,12/01/2023,Noche,50,125,264566,243692,20874,0,9,0,318926,149050,0,8040,0,0
CDLM 4,12/01/2023,Noche,34,53,140644,96495,30344,13805,10,3,100306,74970,0,15895,0,"3364,16"
CDLM 6,12/01/2023,Noche,67,133,355362,304390,49802,1170,21,1,197230,55597,151458,28874,29061,0
CDLM 5,12/01/2023,Noche,32,0,"94231,2","94231,2",0,0,0,0,169488,"6873,1",18469,0,9940,0
CDLM 3,12/01/2023,Mediodía,49,102,218960,193693,22927,2340,12,1,0,39465,89468,12458,5220,0
CDLM 5,13/01/2023,Noche,33,0,88234,88234,0,0,0,0,118671,13399,"23093,99",0,7024,0
CDLM 3,13/01/2023,Mediodía,54,85,240367,178747,57725,3895,21,1,0,21388,71414,43747,18515,0
CDLM 4,13/01/2023,Mediodía,38,17,115836,35103,78683,2050,30,1,0,9333,0,43265,12945,1290
CDLM 5,13/01/2023,Mediodía,31,0,"113704,3","113704,3",0,0,0,0,0,"18580,1","15392,1",0,12103,0
CDLM 6,13/01/2023,Mediodía,71,51,235859,113406,122453,0,54,0,0,4635,59646,62381,11135,0
CDLM 2,13/01/2023,Mediodía,17,20,73075,41095,22380,9600,8,3,0,0,13975,10975,0,0
CDLM 1,13/01/2023,Mediodía,102,161,389402,271749,117653,0,55,0,0,130871,0,60130,0,1290
CDLM 1,13/01/2023,Noche,109,169,"531114,5","386964,5",140880,3270,52,2,637381,162909,0,78675,0,"16410,5"
CDLM 2,13/01/2023,Noche,61,113,"289211,5","210642,5",66064,12505,22,4,164380,39295,50665,51230,34898,0
CDLM 3,13/01/2023,Noche,92,226,"494125,4","440903,4",53222,0,22,0,397218,75765,128350,21647,95891,2769
CDLM 4,13/01/2023,Noche,43,44,"178938,4","114173,4",63935,830,24,1,144920,"55113,4",0,39399,0,0
CDLM 6,13/01/2023,Noche,85,159,478231,390154,72272,15805,31,5,383956,241094,0,45057,0,0
CDLM 3,14/01/2023,Mediodía,66,163,385719,344100,41619,0,17,0,0,96433,24370,"22536,8",41415,0
CDLM 5,14/01/2023,Mediodía,70,0,218371,218371,0,0,0,0,0,"29729,98","69549,97",0,"22209,97",0
CDLM 2,14/01/2023,Mediodía,34,44,150875,85440,48990,16445,14,4,0,32195,27115,29800,13055,0
CDLM 1,14/01/2023,Mediodía,55,88,281631,202803,74608,4220,24,2,0,96970,0,52063,0,3720
CDLM 4,14/01/2023,Mediodía,44,40,168112,69780,87667,10665,29,2,0,54660,0,39884,0,2170
CDLM 6,14/01/2023,Mediodía,61,76,277661,166650,101031,9980,33,2,0,76392,56834,75552,5220,0
CDLM 1,14/01/2023,Noche,93,183,534489,436308,91111,7070,31,2,666690,214980,0,55998,0,"10923,5"
CDLM 2,14/01/2023,Noche,52,105,270126,213478,46203,10445,17,3,210148,10980,63868,26307,43975,0
CDLM 3,14/01/2023,Noche,113,277,578372,547689,30233,450,11,1,571151,86583,149179,9000,54015,0
CDLM 4,14/01/2023,Noche,45,111,259029,224733,27906,6390,11,1,221685,98280,0,13682,0,1050
CDLM 6,14/01/2023,Noche,96,181,543761,439073,104688,0,35,0,485499,277865,0,62532,0,0
CDLM 5,14/01/2023,Noche,57,0,148810,148810,0,0,0,0,235464,29355,26229,0,23059,0
CDLM 5,15/01/2023,Mediodía,67,0,192896,192896,0,0,0,0,0,21529,30498,0,27459,0
CDLM 4,15/01/2023,Mediodía,58,44,222474,95510,102799,24165,37,4,0,40315,24005,44682,7935,0
CDLM 3,15/01/2023,Mediodía,67,161,387493,337869,45454,4170,16,1,0,94702,107560,"23930,8",18353,0
CDLM 6,15/01/2023,Mediodía,65,98,302260,203422,86623,12215,34,2,0,42725,71279,58398,9105,0
CDLM 2,15/01/2023,Mediodía,46,96,244854,189494,40141,15219,13,2,0,69457,50210,24704,20210,0
CDLM 1,15/01/2023,Mediodía,67,101,320994,229245,78694,13055,29,2,0,130896,0,49135,0,2200
CDLM 2,15/01/2023,Noche,19,21,74619,38729,31080,4810,10,1,205352,11441,3265,17326,13275,0
CDLM 3,15/01/2023,Noche,84,198,425434,390625,34809,0,14,0,711696,79032,106583,18541,54515,0
CDLM 5,15/01/2023,Noche,65,0,175481,175481,0,0,0,0,315498,"30059,99",30670,0,9484,0
CDLM 4,15/01/2023,Noche,40,46,145168,77535,61868,5765,24,4,307280,39635,0,36945,0,4994
CDLM 6,15/01/2023,Noche,74,126,368002,275263,88269,4470,31,1,655303,199074,0,"51811,5",0,0
CDLM 1,15/01/2023,Noche,86,117,389491,260438,116583,12470,39,2,583653,158620,0,65095,0,"25824,08"
CDLM 4,16/01/2023,Mediodía,17,16,62834,28752,27830,6252,10,3,0,24560,0,11422,0,3511
CDLM 5,16/01/2023,Mediodía,28,0,81149,81149,0,0,0,0,0,12330,28969,0,2800,0
CDLM 3,16/01/2023,Mediodía,38,66,158421,133435,24986,0,15,0,0,"96677,8",0,"15229,8",0,0
CDLM 6,16/01/2023,Mediodía,37,29,120305,63625,56680,0,23,0,0,36905,0,35411,0,0
CDLM 1,16/01/2023,Mediodía,62,65,221399,140866,71478,9055,32,4,0,85619,0,44173,0,"7186,53"
CDLM 1,16/01/2023,Noche,53,65,228278,145222,77836,5220,28,2,356162,68138,0,"46247,6",0,1170
CDLM 2,16/01/2023,Noche,27,47,133988,97826,35062,1100,10,1,104928,24445,30065,15730,15883,0
CDLM 2,16/01/2023,Mediodía,22,32,107517,64533,42984,0,9,0,0,"38696,5",0,31299,0,0
CDLM 3,16/01/2023,Noche,56,155,317614,274840,42774,0,13,0,303836,33090,62790,27325,46405,"901,53"
CDLM 4,16/01/2023,Noche,36,78,167225,128343,34047,4835,18,1,104008,77808,0,"19459,8",0,3705
CDLM 6,16/01/2023,Noche,40,101,228478,206683,21795,0,10,0,321455,92168,0,11692,0,0
CDLM 5,16/01/2023,Noche,35,0,91390,91390,0,0,0,0,154229,9240,42450,0,5730,0
CDLM 2,17/01/2023,Noche,37,44,203733,95710,46185,61838,15,11,148346,43190,24258,24654,17335,0
CDLM 3,17/01/2023,Noche,55,130,329364,287734,39530,2100,16,1,378505,131116,74725,15450,30430,645
CDLM 5,17/01/2023,Noche,42,0,"129722,2","129722,2",0,0,0,0,190491,"23498,2",45267,0,0,0
CDLM 4,17/01/2023,Mediodía,17,29,75492,51909,23583,0,9,0,0,51590,0,14717,0,0
CDLM 5,17/01/2023,Mediodía,41,0,"124864,4","124864,4",0,0,0,0,0,"24717,1",30338,0,14440,0
CDLM 6,17/01/2023,Mediodía,51,75,248993,179920,69073,0,25,0,0,8925,36305,38271,40308,0
CDLM 1,17/01/2023,Mediodía,59,84,"288629,5","201335,5",87294,0,27,0,0,"113167,5",0,53612,0,5484
CDLM 3,17/01/2023,Mediodía,52,122,276558,252130,24428,0,11,0,0,165240,0,11112,0,645
CDLM 2,17/01/2023,Mediodía,17,16,67950,27159,38741,2050,10,1,0,21075,0,30747,0,0
CDLM 1,17/01/2023,Noche,63,75,304010,175043,126917,2050,34,1,343632,50615,0,"74717,8",0,"27035,55"
CDLM 4,17/01/2023,Noche,28,64,196729,151346,45383,0,15,0,214482,70796,0,14320,0,645
CDLM 6,17/01/2023,Noche,56,96,275039,220441,54598,0,22,0,276289,132610,0,31817,0,0
CDLM 4,18/01/2023,Mediodía,23,16,83789,34040,48979,770,16,1,0,17105,0,19153,0,0
CDLM 5,18/01/2023,Mediodía,49,0,"151635,1","151635,1",0,0,0,0,0,22900,57680,0,9589,0
CDLM 6,18/01/2023,Mediodía,51,55,203607,122566,76111,4930,31,1,0,20940,42931,42093,0,0
CDLM 1,18/01/2023,Mediodía,63,94,"297834,5",224294,71673,"1867,5",27,1,0,96844,0,30738,0,0
CDLM 3,18/01/2023,Mediodía,59,142,312822,279858,24369,8595,10,2,0,149408,0,13736,0,0
CDLM 2,18/01/2023,Mediodía,17,40,97171,79940,17231,0,4,0,0,8680,33135,"9533,9",1200,0
CDLM 1,18/01/2023,Noche,72,113,359295,275157,79768,4370,29,3,364224,139117,0,41610,0,"6093,12"
CDLM 2,18/01/2023,Noche,19,32,74283,59478,14805,0,6,0,105218,18245,20710,11430,5280,0
CDLM 3,18/01/2023,Noche,68,179,355207,329759,25448,0,9,0,300942,90520,71319,13444,32948,0
CDLM 4,18/01/2023,Noche,32,19,113796,39175,60701,13920,21,3,152590,23455,0,33145,0,1935
CDLM 6,18/01/2023,Noche,56,120,"304410,5","231392,5",71918,1100,24,1,194789,131440,0,48060,0,0
CDLM 5,18/01/2023,Noche,30,0,75981,75981,0,0,0,0,192542,16029,"15629,98",0,10110,0
CDLM 1,19/01/2023,Noche,73,118,405771,282708,85383,37680,29,3,548435,213163,0,41459,0,"9879,24"
CDLM 5,19/01/2023,Mediodía,41,0,"103786,1","103786,1",0,0,0,0,0,12359,25770,0,30928,0
CDLM 4,19/01/2023,Mediodía,30,59,165607,120900,44707,0,16,0,0,54190,0,22906,0,3410
CDLM 6,19/01/2023,Mediodía,41,41,162052,100521,61531,0,25,0,0,"10742,5","43453,5",32375,0,0
CDLM 3,19/01/2023,Mediodía,37,78,181109,150500,25849,4760,11,2,0,87920,0,19283,0,0
CDLM 2,19/01/2023,Mediodía,10,6,47423,16105,17128,14190,5,2,0,0,10060,6828,0,0
CDLM 1,19/01/2023,Mediodía,46,84,216477,160990,55487,0,20,0,0,57710,0,25938,0,"2838,12"
CDLM 2,19/01/2023,Noche,34,59,165976,119653,44223,2100,14,1,61783,93688,0,31218,0,0
CDLM 3,19/01/2023,Noche,56,124,263720,227588,28537,7595,11,3,301322,72165,79415,13540,13615,4900
CDLM 4,19/01/2023,Noche,38,44,152032,92407,59625,0,22,0,198555,34910,0,32079,0,1290
CDLM 5,19/01/2023,Noche,38,0,103966,103966,0,0,0,0,160962,4540,"22969,99",0,"10039,99",0
CDLM 6,19/01/2023,Noche,43,87,237436,173626,51255,12555,14,1,363961,105500,0,30050,0,0
CDLM 4,20/01/2023,Mediodía,39,10,117942,27042,84070,6830,32,2,0,22656,0,40720,0,2137
CDLM 5,20/01/2023,Mediodía,41,0,148896,148896,0,0,0,0,0,17980,42897,0,14950,0
CDLM 2,20/01/2023,Mediodía,21,26,"89990,5","49089,5",34246,6655,10,3,0,"37803,5",0,18337,0,0
CDLM 1,20/01/2023,Mediodía,75,100,360314,246071,114243,0,41,0,0,138979,0,66454,0,5686
CDLM 3,20/01/2023,Mediodía,47,73,211063,158564,50362,2137,17,1,0,98097,0,28820,0,3688
CDLM 6,20/01/2023,Mediodía,60,56,245998,130511,111187,4300,39,1,0,15087,31527,76704,0,0
CDLM 1,20/01/2023,Noche,122,200,"635654,5","463253,5",165738,6663,56,2,671160,177066,0,"88496,7",0,3237
CDLM 2,20/01/2023,Noche,45,77,"219882,5","160550,5",49339,9993,17,3,203953,"18692,5",61234,18473,22102,0
CDLM 3,20/01/2023,Noche,96,199,496551,407088,85758,3705,26,1,258244,97472,111309,46565,39005,2137
CDLM 6,20/01/2023,Noche,109,176,"523088,5","381022,5",136689,5377,54,1,273718,"241526,5",0,"78455,4",0,0
CDLM 5,20/01/2023,Noche,25,0,67052,67052,0,0,0,0,118815,10738,8850,0,4050,0
CDLM 4,20/01/2023,Noche,46,79,"238229,5","174789,5",58805,4635,19,1,278613,"121421,5",0,21780,0,4530
CDLM 3,21/01/2023,Mediodía,68,127,362924,296271,63113,3540,21,2,0,128385,0,44865,0,0
CDLM 5,21/01/2023,Mediodía,51,0,164755,164755,0,0,0,0,0,33408,38347,0,27530,0
CDLM 1,21/01/2023,Mediodía,57,113,355284,267790,87494,0,25,0,0,132778,0,50180,0,6994
CDLM 6,21/01/2023,Mediodía,73,101,"336219,5","225090,5",106460,4669,35,2,0,29017,87018,75162,22315,0
CDLM 2,21/01/2023,Mediodía,30,40,164671,95171,35390,34110,10,5,0,34692,44455,21064,0,0
CDLM 4,21/01/2023,Mediodía,33,35,125037,84099,35696,5242,14,2,0,63906,0,17631,0,0
CDLM 1,21/01/2023,Noche,98,206,563515,493380,70135,0,27,0,815426,254926,0,32714,0,"11081,92"
CDLM 2,21/01/2023,Noche,54,143,"346197,5","312029,5",30108,4060,9,1,147689,"72766,5","79482,5",21026,26443,0
CDLM 3,21/01/2023,Noche,97,237,535066,486212,40759,8095,13,3,637677,134387,89471,18983,33760,0
CDLM 4,21/01/2023,Noche,49,73,225900,165382,55268,5250,18,1,249228,98642,0,30320,0,"939,4"
CDLM 6,21/01/2023,Noche,92,207,"516605,6","449412,6",67193,0,26,0,572511,"243366,1",0,38101,0,0
CDLM 5,21/01/2023,Noche,38,0,119876,119876,0,0,0,0,218913,22760,24110,0,14160,0
