Site Name,Year-Month,Productivity - Stamping,Efficiency - Stamping,Efficiency Invoicing - Stamping WO,Standard Time,Dealer GP - Total,Dealer GP % - Total,Discount - Total
S03 - Cusco,2023-03,82.15 %,107.45 %,113.24 %,307.14,"28,516.78",49.21 %,"8,753.19"
S03 - Cusco,2023-04,90.73 %,100.76 %,106.52 %,414.78,"35,245.36",49.69 %,"11,167.99"
S03 - Cusco,2023-05,89.72 %,98.07 %,103.43 %,462.62,"33,439.62",41.86 %,"13,520.65"
S03 - Cusco,2023-06,80.06 %,73.45 %,78.08 %,306.35,"21,495.98",38.10 %,"16,803.19"
S03 - Cusco,2023-07,89.07 %,99.99 %,104.98 %,429.05,"24,865.41",50.48 %,"5,617.84"
S03 - Cusco,2023-08,92.73 %,102.08 %,107.86 %,517.70,"42,820.99",21.78 %,"20,563.41"
S03 - Cusco,2023-09,86.65 %,98.01 %,100.50 %,418.20,"29,444.13",41.97 %,"11,814.00"
S03 - Cusco,2023-10,85.57 %,100.40 %,104.86 %,349.20,"32,246.58",37.69 %,"8,414.99"
S03 - Cusco,2023-11,86.08 %,97.26 %,103.93 %,393.50,"27,260.86",42.13 %,"6,070.29"
S03 - Cusco,2023-12,83.37 %,84.01 %,85.98 %,34.10,"4,120.87",51.53 %,901.33
S04 - Cajamarca,2023-01,84.84 %,102.65 %,108.55 %,223.10,"32,694.57",49.97 %,"5,917.58"
S04 - Cajamarca,2023-02,38.89 %,99.36 %,106.08 %,106.00,"16,106.13",34.81 %,"3,721.47"
S04 - Cajamarca,2023-03,60.68 %,105.53 %,112.78 %,142.40,"25,378.28",52.35 %,"3,285.88"
S04 - Cajamarca,2023-04,73.05 %,103.69 %,120.09 %,203.70,"49,881.43",48.96 %,"10,594.96"
S04 - Cajamarca,2023-05,63.12 %,100.90 %,107.86 %,155.40,"41,270.25",43.52 %,"10,212.83"
S04 - Cajamarca,2023-06,67.95 %,95.46 %,100.09 %,178.70,"32,412.06",37.64 %,"22,881.42"
S04 - Cajamarca,2023-07,81.63 %,98.82 %,105.38 %,220.55,"44,489.56",43.94 %,"11,471.12"
S04 - Cajamarca,2023-08,87.73 %,102.99 %,109.21 %,204.50,"26,698.16",44.50 %,"6,950.58"
S04 - Cajamarca,2023-09,88.54 %,99.91 %,112.72 %,203.50,"28,257.34",40.23 %,"10,294.82"
S04 - Cajamarca,2023-10,84.08 %,98.64 %,105.14 %,286.90,"38,009.63",39.56 %,"19,158.48"
S04 - Cajamarca,2023-11,86.60 %,102.48 %,109.28 %,345.10,"49,404.98",43.01 %,"21,634.43"
S04 - Cajamarca,2023-12,79.79 %,94.95 %,100.96 %,45.50,"4,751.50",27.91 %,"1,870.69"
S05 - Huaron,2023-01,97.89 %,100.25 %,105.84 %,925.90,"46,477.23",46.42 %,"16,928.46"
S05 - Huaron,2023-02,95.03 %,98.45 %,103.51 %,712.80,"45,819.32",38.25 %,"15,578.82"
S05 - Huaron,2023-03,95.65 %,97.14 %,101.01 %,"1,617.27","41,220.55",46.37 %,"13,153.90"
S05 - Huaron,2023-04,96.71 %,96.29 %,99.94 %,"1,412.80","69,125.18",49.14 %,"20,231.98"
S05 - Huaron,2023-05,92.00 %,96.16 %,99.48 %,"1,914.52","50,707.65",38.32 %,"25,723.19"
S05 - Huaron,2023-06,90.68 %,96.14 %,99.52 %,"1,539.38","31,973.69",29.34 %,"25,983.72"
S05 - Huaron,2023-07,89.41 %,97.23 %,100.22 %,"1,270.24","29,966.25",34.92 %,"17,030.04"
S05 - Huaron,2023-08,88.64 %,95.25 %,98.03 %,"1,153.31","26,007.73",29.77 %,"16,153.44"
S05 - Huaron,2023-09,91.31 %,96.92 %,100.12 %,"1,285.51","36,866.35",37.40 %,"18,554.71"
S05 - Huaron,2023-10,88.89 %,96.68 %,99.62 %,"1,136.98","51,599.86",44.10 %,"15,648.10"
S05 - Huaron,2023-11,86.54 %,98.53 %,101.26 %,"1,394.36","53,568.15",45.73 %,"16,802.82"
S05 - Huaron,2023-12,84.27 %,96.83 %,101.08 %,357.85,"12,451.07",48.88 %,"3,374.25"
S06 - Arequipa,2023-01,77.14 %,97.88 %,106.13 %,673.59,"126,444.83",51.27 %,"34,464.94"
S06 - Arequipa,2023-02,87.83 %,93.68 %,103.50 %,925.10,"137,409.25",51.23 %,"35,122.18"
S06 - Arequipa,2023-03,83.60 %,91.83 %,97.38 %,"1,034.50","145,535.33",45.54 %,"50,808.43"
S06 - Arequipa,2023-04,87.57 %,98.77 %,103.98 %,"1,000.10","168,383.47",47.39 %,"49,103.73"
S06 - Arequipa,2023-05,91.72 %,94.86 %,99.25 %,"1,035.70","130,026.66",44.34 %,"36,365.29"
S06 - Arequipa,2023-06,89.45 %,92.25 %,97.26 %,928.20,"108,225.76",42.69 %,"42,169.92"
S06 - Arequipa,2023-07,89.41 %,96.54 %,102.05 %,"1,102.64","134,007.33",40.19 %,"73,467.00"
S06 - Arequipa,2023-08,81.31 %,90.62 %,95.43 %,"1,069.40","144,570.13",32.04 %,"68,115.66"
S06 - Arequipa,2023-09,78.43 %,93.31 %,98.14 %,"1,312.80","158,566.51",35.57 %,"76,695.30"
S06 - Arequipa,2023-10,85.67 %,95.96 %,99.64 %,"1,338.50","180,894.02",45.02 %,"75,195.06"
S06 - Arequipa,2023-11,85.52 %,95.06 %,99.60 %,"1,303.85","173,661.28",40.25 %,"40,026.73"
S06 - Arequipa,2023-12,79.82 %,99.78 %,105.10 %,255.30,"24,464.53",41.37 %,"5,717.19"
S07 - Reformas,2023-01,69.63 %,38.78 %,42.63 %,191.70,"29,645.08",34.79 %,"11,718.90"
S07 - Reformas,2023-02,59.72 %,109.81 %,119.16 %,582.10,"40,547.19",37.49 %,"15,110.44"
S07 - Reformas,2023-03,88.05 %,79.49 %,86.92 %,376.60,"20,932.21",26.37 %,"10,478.62"
S07 - Reformas,2023-04,93.19 %,87.68 %,94.93 %,659.00,"47,917.47",40.98 %,"14,951.25"
S07 - Reformas,2023-05,93.18 %,96.16 %,103.86 %,749.20,"57,587.99",33.50 %,"17,177.52"
S07 - Reformas,2023-06,92.74 %,86.23 %,91.18 %,991.10,"59,879.71",31.00 %,"30,839.87"
S07 - Reformas,2023-07,94.83 %,89.91 %,95.90 %,954.20,"72,365.31",34.74 %,"32,813.37"
S07 - Reformas,2023-08,93.42 %,90.39 %,95.25 %,793.90,"58,338.05",33.78 %,"22,518.19"
S07 - Reformas,2023-09,83.17 %,84.74 %,90.08 %,482.40,"65,588.71",45.47 %,"16,349.22"
S07 - Reformas,2023-10,92.35 %,90.15 %,95.12 %,884.60,"68,473.41",38.13 %,"29,571.89"
S07 - Reformas,2023-11,93.92 %,73.74 %,77.80 %,568.10,"21,315.90",33.36 %,"16,390.38"
S07 - Reformas,2023-12,96.72 %,100.50 %,108.54 %,2.00,377.85,2.29 %,60.85
S08 - Shahuindo,2023-01,85.25 %,99.17 %,104.11 %,"3,482.41","92,178.83",41.77 %,"37,973.09"
S08 - Shahuindo,2023-02,88.82 %,99.46 %,104.49 %,"2,821.15","90,698.52",45.12 %,"35,530.05"
S08 - Shahuindo,2023-03,87.33 %,100.37 %,105.43 %,"3,224.59","95,795.65",42.85 %,"39,799.44"
S08 - Shahuindo,2023-04,90.92 %,97.59 %,102.34 %,"3,398.81","120,816.58",44.43 %,"53,400.40"
S08 - Shahuindo,2023-05,93.06 %,97.84 %,102.63 %,"2,961.09","180,543.96",45.72 %,"59,605.33"
S08 - Shahuindo,2023-06,92.26 %,97.81 %,102.84 %,"3,313.71","174,794.83",48.26 %,"49,210.96"
S08 - Shahuindo,2023-07,91.42 %,96.82 %,101.70 %,"3,575.21","169,463.01",46.99 %,"57,520.97"
S08 - Shahuindo,2023-08,92.09 %,98.26 %,103.24 %,"2,779.21","119,533.91",40.60 %,"56,738.57"
S08 - Shahuindo,2023-09,91.10 %,97.80 %,102.60 %,"3,290.35","134,339.95",37.45 %,"67,220.91"
S08 - Shahuindo,2023-10,92.41 %,99.26 %,103.76 %,"3,923.85","177,364.05",43.31 %,"67,321.80"
S08 - Shahuindo,2023-11,84.97 %,97.42 %,101.51 %,"3,131.89","197,891.56",47.54 %,"74,570.84"
S08 - Shahuindo,2023-12,97.26 %,98.01 %,104.83 %,470.22,"59,669.69",48.62 %,"22,392.91"
S09 - Juliaca,2023-01,41.69 %,94.04 %,98.72 %,47.80,"8,051.08",51.52 %,"1,463.80"
S09 - Juliaca,2023-02,36.35 %,96.78 %,99.84 %,60.10,"7,489.00",49.86 %,"2,963.44"
S09 - Juliaca,2023-03,56.67 %,90.26 %,94.11 %,97.90,"15,793.85",47.95 %,"4,632.30"
S09 - Juliaca,2023-04,55.06 %,97.84 %,106.76 %,98.80,"21,249.91",49.59 %,"6,712.10"
S09 - Juliaca,2023-05,36.55 %,107.22 %,144.54 %,83.60,"18,319.90",48.07 %,"5,616.92"
S09 - Juliaca,2023-06,54.13 %,90.94 %,93.20 %,120.40,"16,100.76",48.34 %,"4,948.69"
S09 - Juliaca,2023-07,58.09 %,96.50 %,96.76 %,120.70,"14,737.31",48.15 %,"7,028.13"
S09 - Juliaca,2023-08,83.45 %,96.27 %,95.30 %,146.00,"18,473.58",47.59 %,"5,523.28"
S09 - Juliaca,2023-09,32.86 %,95.34 %,96.34 %,88.20,"9,282.03",28.79 %,"2,779.34"
S09 - Juliaca,2023-10,58.88 %,96.47 %,98.72 %,148.00,"16,639.34",47.17 %,"3,531.52"
S09 - Juliaca,2023-11,49.86 %,94.74 %,98.21 %,147.10,"19,357.99",44.93 %,"5,358.15"
S09 - Juliaca,2023-12,61.95 %,97.36 %,101.98 %,19.20,"2,474.22",28.25 %,743.32
S10 - Trujillo,2023-01,85.67 %,92.89 %,98.15 %,885.80,"187,239.75",47.76 %,"39,518.84"
S10 - Trujillo,2023-02,84.60 %,93.57 %,98.15 %,"1,089.20","200,420.06",44.05 %,"46,948.35"
S10 - Trujillo,2023-03,83.36 %,95.77 %,101.14 %,"1,130.20","216,679.25",44.36 %,"47,325.51"
S10 - Trujillo,2023-04,72.75 %,93.53 %,98.39 %,749.60,"185,894.81",43.00 %,"47,168.07"
S10 - Trujillo,2023-05,86.44 %,98.08 %,102.76 %,"1,213.23","190,301.90",41.27 %,"40,410.92"
S10 - Trujillo,2023-06,85.51 %,95.60 %,101.09 %,"1,274.45","206,150.81",41.18 %,"50,686.98"
S10 - Trujillo,2023-07,81.31 %,97.13 %,102.68 %,"1,311.96","198,580.49",40.22 %,"43,264.63"
S10 - Trujillo,2023-08,88.90 %,95.34 %,100.92 %,"1,181.33","193,538.60",42.30 %,"46,712.66"
S10 - Trujillo,2023-09,86.65 %,95.55 %,101.18 %,"1,299.94","219,871.41",37.62 %,"58,747.19"
S10 - Trujillo,2023-10,86.03 %,95.24 %,101.50 %,"1,405.45","251,668.97",42.04 %,"57,428.43"
S10 - Trujillo,2023-11,85.99 %,86.56 %,91.93 %,"1,303.67","227,488.31",40.38 %,"60,642.99"
S10 - Trujillo,2023-12,82.73 %,99.18 %,105.78 %,206.60,"36,755.68",46.71 %,"8,205.36"
S11 - La Victoria,2023-01,,,,,"104,682.55",51.86 %,"20,057.02"
S11 - La Victoria,2023-02,,,,,"143,280.50",45.91 %,"22,265.82"
S11 - La Victoria,2023-03,,,,,"187,416.58",50.63 %,"33,280.20"
S11 - La Victoria,2023-04,,,,,"141,413.39",47.33 %,"27,771.25"
S11 - La Victoria,2023-05,,,,,"147,229.37",50.47 %,"31,988.38"
S11 - La Victoria,2023-06,,,,,"139,445.37",50.27 %,"24,228.44"
S11 - La Victoria,2023-07,,,,,"176,975.18",51.82 %,"30,640.04"
S11 - La Victoria,2023-08,,,,,"167,224.93",48.55 %,"31,145.47"
S11 - La Victoria,2023-09,,,,,"149,254.43",48.61 %,"28,647.39"
S11 - La Victoria,2023-10,,,,,"141,077.52",48.19 %,"28,785.94"
S11 - La Victoria,2023-11,,,,,"159,492.23",50.85 %,"26,252.13"
S11 - La Victoria,2023-12,,,,,"38,921.31",53.21 %,"8,366.03"
S12 - Las Bambas,2023-07,,3574.47 %,3837.23 %,67.20,"2,050.73",2.72 %,"1,974.12"
S12 - Las Bambas,2023-08,,,,0.00,"54,376.30",37.62 %,"24,035.08"
S12 - Las Bambas,2023-09,,207.34 %,222.59 %,-67.20,"83,540.15",36.47 %,"12,183.56"
S12 - Las Bambas,2023-10,,,,0.00,"27,637.08",40.11 %,"17,798.58"
S12 - Las Bambas,2023-11,,,,0.00,"79,956.57",38.78 %,"7,586.15"
S12 - Las Bambas,2023-12,,,,0.00,"17,366.39",52.74 %,"8,160.81"
S13 - El Brocal San Martin,2023-01,84.66 %,92.99 %,97.93 %,852.52,"43,620.95",27.78 %,"26,121.10"
S13 - El Brocal San Martin,2023-02,78.31 %,95.92 %,101.16 %,822.14,"33,426.99",20.79 %,"22,606.27"
S13 - El Brocal San Martin,2023-03,79.91 %,98.97 %,104.23 %,829.03,"24,873.10",28.51 %,"17,784.04"
S13 - El Brocal San Martin,2023-04,88.61 %,98.62 %,103.44 %,"1,040.00","34,663.83",34.75 %,"23,909.87"
S13 - El Brocal San Martin,2023-05,90.08 %,96.33 %,101.57 %,"1,070.24","34,718.03",30.31 %,"19,760.35"
S13 - El Brocal San Martin,2023-06,84.88 %,101.28 %,106.85 %,980.25,"23,982.18",26.02 %,"17,126.15"
S13 - El Brocal San Martin,2023-07,87.42 %,103.13 %,106.91 %,"1,025.70","34,668.89",35.14 %,"23,758.88"
S13 - El Brocal San Martin,2023-08,86.40 %,104.78 %,110.02 %,914.29,"38,499.73",40.78 %,"19,363.10"
S13 - El Brocal San Martin,2023-09,90.63 %,99.75 %,105.11 %,972.75,"29,164.62",34.14 %,"19,664.14"
S13 - El Brocal San Martin,2023-10,86.44 %,92.44 %,97.44 %,422.40,"33,858.22",39.58 %,"12,937.93"
S14 - Shougang,2023-02,100.00 %,,,,,,
S14 - Shougang,2023-03,90.47 %,98.61 %,102.21 %,"1,043.68","54,843.01",66.79 %,"10,300.89"
S14 - Shougang,2023-04,90.50 %,91.43 %,96.14 %,"1,287.42","57,172.50",58.23 %,"12,196.69"
S14 - Shougang,2023-05,85.69 %,98.26 %,103.44 %,"2,740.68","131,808.53",58.49 %,"33,620.51"
S14 - Shougang,2023-06,83.30 %,102.90 %,108.17 %,"2,204.98","58,302.91",36.92 %,"39,978.09"
S14 - Shougang,2023-07,87.43 %,99.92 %,105.18 %,"2,967.86","116,025.40",51.45 %,"43,267.44"
S14 - Shougang,2023-08,92.80 %,101.52 %,106.22 %,"2,803.62","104,661.43",48.09 %,"43,610.28"
S14 - Shougang,2023-09,94.69 %,101.68 %,107.18 %,"3,945.63","132,057.22",43.58 %,"58,087.68"
S14 - Shougang,2023-10,94.77 %,101.59 %,106.95 %,"3,059.80","104,233.24",44.16 %,"35,363.02"
S14 - Shougang,2023-11,94.46 %,103.56 %,109.02 %,"3,530.25","164,967.10",55.68 %,"37,694.47"
S14 - Shougang,2023-12,91.59 %,98.60 %,102.73 %,452.29,"22,439.32",43.25 %,"6,481.11"
S15 - Ramas,2023-01,,,,,"705,823.08",100.00 %,0.00
S15 - Ramas,2023-02,,,,,"613,739.22",100.00 %,0.00
S15 - Ramas,2023-03,,,,,"931,286.72",100.00 %,0.00
S15 - Ramas,2023-04,,,,,"1,138,065.49",100.00 %,0.00
S15 - Ramas,2023-05,,,,,"1,140,074.75",100.00 %,0.00
S15 - Ramas,2023-06,,,,,"1,230,710.58",100.00 %,0.00
S15 - Ramas,2023-07,,,,,"1,479,777.76",100.00 %,0.00
S15 - Ramas,2023-08,,,,,"1,461,449.24",100.00 %,0.00
S15 - Ramas,2023-09,,,,,"1,110,345.49",78.01 %,0.00
S15 - Ramas,2023-10,,,,,"1,423,846.19",103.80 %,0.00
S15 - Ramas,2023-11,,,,,"1,384,609.86",100.00 %,0.00
S16 - Cores y Deteriorados,2023-01,,,,,0.01,0.00 %,0.00
S16 - Cores y Deteriorados,2023-02,,,,,0.01,0.00 %,0.00
S16 - Cores y Deteriorados,2023-03,,,,,0.00,-0.00 %,0.00
S16 - Cores y Deteriorados,2023-05,,,,0.00,"-5,046.28",-3.77 %,0.00
S16 - Cores y Deteriorados,2023-06,,,,,0.01,0.00 %,0.00
S16 - Cores y Deteriorados,2023-07,,,,,0.01,0.00 %,0.00
S16 - Cores y Deteriorados,2023-08,,,,,"-15,997.59",-27.52 %,0.00
S16 - Cores y Deteriorados,2023-09,,,,0.00,"-4,540.85",-3.72 %,0.00
S16 - Cores y Deteriorados,2023-10,,,,,0.00,0.00 %,0.00
S16 - Cores y Deteriorados,2023-11,,,,,-0.61,-0.00 %,0.00
S17 - Cruz del Sur RM,2023-01,62.76 %,101.10 %,106.54 %,94.60,"17,309.24",49.13 %,"9,225.68"
S17 - Cruz del Sur RM,2023-02,72.18 %,100.08 %,106.19 %,180.20,"14,690.38",46.50 %,"7,998.62"
S17 - Cruz del Sur RM,2023-03,59.34 %,103.77 %,109.69 %,180.00,"13,693.17",42.25 %,"7,826.15"
S17 - Cruz del Sur RM,2023-04,73.22 %,107.13 %,112.89 %,183.30,"12,897.53",45.47 %,"6,288.83"
S17 - Cruz del Sur RM,2023-05,69.38 %,103.60 %,108.90 %,121.00,"13,590.56",41.92 %,"8,271.65"
S17 - Cruz del Sur RM,2023-06,69.90 %,100.17 %,105.89 %,171.80,"14,733.40",43.14 %,"7,131.28"
S17 - Cruz del Sur RM,2023-07,72.14 %,95.29 %,100.11 %,134.20,"22,581.63",38.56 %,"10,925.18"
S17 - Cruz del Sur RM,2023-08,72.44 %,95.93 %,101.02 %,140.10,"15,749.55",36.00 %,"10,067.07"
S17 - Cruz del Sur RM,2023-09,62.62 %,95.59 %,100.82 %,123.00,"14,046.71",33.80 %,"7,548.65"
S17 - Cruz del Sur RM,2023-10,61.40 %,101.09 %,107.23 %,116.90,"20,332.40",40.69 %,"6,794.14"
S17 - Cruz del Sur RM,2023-11,71.03 %,99.04 %,109.70 %,124.82,"16,163.07",40.34 %,"4,133.34"
S17 - Cruz del Sur RM,2023-12,69.87 %,102.87 %,104.42 %,41.20,"4,720.37",43.90 %,556.51
S18 - Chiclayo,2023-01,87.50 %,93.60 %,98.73 %,424.05,"101,976.37",47.81 %,"22,306.37"
S18 - Chiclayo,2023-02,82.56 %,95.94 %,102.34 %,404.65,"77,403.01",47.76 %,"13,288.63"
S18 - Chiclayo,2023-03,84.05 %,86.16 %,93.42 %,374.10,"86,013.95",47.08 %,"21,553.50"
S18 - Chiclayo,2023-04,81.55 %,95.40 %,103.00 %,582.60,"87,241.67",44.07 %,"24,063.78"
S18 - Chiclayo,2023-05,82.29 %,91.81 %,97.06 %,386.30,"80,709.19",43.35 %,"15,939.59"
S18 - Chiclayo,2023-06,81.93 %,94.93 %,100.62 %,377.60,"80,246.35",40.45 %,"20,412.12"
S18 - Chiclayo,2023-07,82.64 %,97.23 %,103.71 %,438.20,"79,656.66",45.03 %,"17,887.53"
S18 - Chiclayo,2023-08,83.57 %,94.45 %,100.17 %,333.20,"76,032.95",48.71 %,"9,399.78"
S18 - Chiclayo,2023-09,89.38 %,98.80 %,108.69 %,367.20,"77,280.67",38.15 %,"25,217.56"
S18 - Chiclayo,2023-10,85.07 %,97.49 %,104.48 %,462.70,"61,219.21",35.56 %,"12,902.60"
S18 - Chiclayo,2023-11,86.15 %,94.87 %,101.44 %,256.30,"50,139.33",36.27 %,"11,851.54"
S18 - Chiclayo,2023-12,84.72 %,99.60 %,106.71 %,44.40,"8,094.06",42.38 %,"1,124.97"
S19 - Huancayo,2023-01,59.37 %,98.67 %,103.81 %,168.40,"24,519.63",53.75 %,"6,406.34"
S19 - Huancayo,2023-02,49.29 %,95.43 %,101.69 %,178.90,"28,311.38",22.34 %,"8,180.41"
S19 - Huancayo,2023-03,75.41 %,96.69 %,102.68 %,231.60,"37,228.79",36.78 %,"9,068.93"
S19 - Huancayo,2023-04,72.80 %,93.47 %,98.72 %,259.30,"36,761.06",48.55 %,"13,266.39"
S19 - Huancayo,2023-05,64.04 %,94.26 %,100.27 %,209.00,"24,678.29",42.57 %,"9,305.15"
S19 - Huancayo,2023-06,88.89 %,97.70 %,103.95 %,297.20,"26,899.57",29.46 %,"11,891.06"
S19 - Huancayo,2023-07,63.77 %,101.00 %,106.29 %,223.10,"22,996.57",39.32 %,"8,830.68"
S19 - Huancayo,2023-08,70.38 %,85.86 %,91.21 %,221.30,"27,470.72",35.70 %,"13,589.57"
S19 - Huancayo,2023-09,81.18 %,99.28 %,104.48 %,327.80,"36,367.70",31.23 %,"14,242.53"
S19 - Huancayo,2023-10,67.24 %,101.27 %,107.32 %,186.70,"27,772.76",37.37 %,"7,193.30"
S19 - Huancayo,2023-11,75.44 %,105.54 %,111.49 %,280.50,"32,403.42",41.38 %,"5,364.20"
S19 - Huancayo,2023-12,41.37 %,101.52 %,109.03 %,25.30,"2,866.75",52.28 %,252.23
S20 - Movil Tours RM,2023-01,,,,0.00,"1,030.90",5.05 %,16.19
S20 - Movil Tours RM,2023-02,100.00 %,,,,"15,214.93",28.89 %,"4,469.27"
S20 - Movil Tours RM,2023-03,80.39 %,98.59 %,105.63 %,1.40,"20,731.18",51.43 %,"5,750.84"
S20 - Movil Tours RM,2023-04,,83.66 %,89.49 %,36.60,"13,872.61",41.73 %,"4,705.41"
S20 - Movil Tours RM,2023-05,,,,,"16,766.94",50.61 %,"5,519.27"
S20 - Movil Tours RM,2023-06,100.00 %,,,,"14,467.24",50.64 %,"4,405.50"
S20 - Movil Tours RM,2023-07,,101.85 %,101.85 %,1.10,"11,993.77",43.66 %,"3,933.22"
S20 - Movil Tours RM,2023-08,,,,,"15,845.82",51.13 %,"5,158.84"
S20 - Movil Tours RM,2023-09,,,,,"13,260.48",36.59 %,"4,199.16"
S20 - Movil Tours RM,2023-10,,,,,"13,220.93",37.20 %,"4,114.72"
S20 - Movil Tours RM,2023-11,,,,,"24,134.98",53.02 %,"7,203.57"
S20 - Movil Tours RM,2023-12,,,,,"1,413.49",32.96 %,162.85
S21 - Cerro Colorado,2023-01,,,,,"10,617.07",47.85 %,"1,866.26"
S21 - Cerro Colorado,2023-02,,,,,"7,841.46",43.07 %,"1,565.16"
S21 - Cerro Colorado,2023-03,,,,,"16,269.49",45.38 %,"2,656.58"
S21 - Cerro Colorado,2023-04,,,,,"17,328.72",46.91 %,"2,853.68"
S21 - Cerro Colorado,2023-05,,,,,"15,063.23",44.87 %,"1,717.02"
S21 - Cerro Colorado,2023-06,,,,,"12,089.25",47.15 %,"1,401.39"
S21 - Cerro Colorado,2023-07,,,,,"16,755.52",46.93 %,"2,450.10"
S21 - Cerro Colorado,2023-08,,,,,"20,526.31",44.76 %,"2,324.22"
S21 - Cerro Colorado,2023-09,,,,,"17,398.84",39.07 %,"1,835.57"
S21 - Cerro Colorado,2023-10,,,,,"14,474.87",47.62 %,983.30
S21 - Cerro Colorado,2023-11,,,,,"18,565.10",40.43 %,"1,490.35"
S21 - Cerro Colorado,2023-12,,,,,"3,041.59",49.34 %,158.22
S22 - Trujillo Reformas,2023-10,35.29 %,100.00 %,166.67 %,1.50,80.49,5.16 %,257.37
S22 - Trujillo Reformas,2023-11,99.89 %,100.00 %,100.00 %,0.00,"3,682.62",42.27 %,0.00
S22 - Trujillo Reformas,2023-12,,,,0.00,"-2,478.76",44.44 %,0.00
S23 - Cerro Corona,2023-01,,,,0.00,"69,567.05",38.43 %,"14,538.07"
S23 - Cerro Corona,2023-02,,,,0.00,"73,481.11",41.99 %,"9,025.77"
S23 - Cerro Corona,2023-03,,,,0.00,"108,903.11",39.74 %,"16,242.06"
S23 - Cerro Corona,2023-04,,,,0.00,"89,538.79",56.17 %,"11,340.05"
S23 - Cerro Corona,2023-05,,,,0.00,"86,513.93",56.10 %,"12,087.94"
S23 - Cerro Corona,2023-06,,,,0.00,"61,498.93",29.08 %,"10,688.10"
S23 - Cerro Corona,2023-07,,,,0.00,"71,670.56",42.25 %,"9,479.92"
S23 - Cerro Corona,2023-08,,,,0.00,"71,542.75",53.80 %,"10,411.94"
S23 - Cerro Corona,2023-09,,,,0.00,"74,591.69",51.01 %,"11,354.37"
S23 - Cerro Corona,2023-10,,,,0.00,"64,019.57",44.35 %,"9,733.53"
S23 - Cerro Corona,2023-11,100.00 %,,,0.00,"84,325.23",53.41 %,"11,022.81"
S23 - Cerro Corona,2023-12,,,,0.00,"6,862.30",56.67 %,"1,027.96"
S24 - Cerro Lindo,2023-01,90.82 %,98.71 %,104.92 %,"2,928.70","146,847.53",47.69 %,"80,159.32"
S24 - Cerro Lindo,2023-02,83.00 %,96.53 %,102.88 %,"2,845.94","101,967.08",45.18 %,"56,839.27"
S24 - Cerro Lindo,2023-03,78.92 %,96.20 %,102.56 %,"2,121.07","135,956.84",57.00 %,"20,254.29"
