Garden_ID,Installation_Date,Garden_Size_sq_ft,Plant_Species_Count,Water_System_Type,Maintenance_Visits_2023,Client_Satisfaction_Score,Biodiversity_Impact_Score
50,8/22/2023,529,17,Soaker,9,97,79
51,6/6/2023,662,17,Manual,1,90,65
52,7/11/2023,979,12,Soaker,2,85,90
53,4/15/2023,867,26,Soaker,8,91,90
54,4/10/2023,245,13,Manual,6,92,77
55,6/7/2023,525,28,Soaker,9,94,90
56,3/23/2023,421,6,Soaker,4,93,69
57,4/4/2023,679,15,Soaker,5,76,86
58,3/2/2023,843,16,Manual,3,98,61
59,5/21/2023,497,17,Soaker,4,99,95
60,5/5/2023,642,28,Soaker,10,73,62
61,6/19/2023,911,7,Soaker,1,95,82
62,3/3/2023,963,24,Manual,9,93,60
63,3/1/2023,248,25,Sprinkler,7,74,74
64,5/27/2023,236,23,Soaker,8,86,62
65,6/5/2023,732,30,Manual,9,83,85
66,8/10/2023,529,11,Soaker,4,90,93
67,5/3/2023,763,27,Soaker,5,82,64
68,8/17/2023,435,18,Sprinkler,6,91,85
69,3/15/2023,303,9,Manual,7,95,72
70,3/24/2023,832,22,Drip,6,78,83
71,5/27/2023,492,30,Sprinkler,7,96,66
72,5/9/2023,222,22,Soaker,5,98,85
73,5/17/2023,750,16,Sprinkler,8,84,85
74,4/11/2023,286,8,Drip,9,89,83
75,3/12/2023,356,12,Drip,9,82,66
76,8/9/2023,888,8,Drip,2,85,93
77,7/25/2023,618,20,Soaker,1,96,77
78,6/5/2023,840,11,Soaker,9,76,86
79,8/9/2023,385,7,Soaker,7,71,64
80,6/17/2023,496,9,Drip,1,87,70
81,7/16/2023,858,18,Soaker,5,88,80
82,3/22/2023,980,9,Drip,6,100,67
83,8/13/2023,438,13,Manual,8,82,61
84,6/3/2023,696,10,Soaker,3,77,83
85,5/21/2023,898,23,Sprinkler,6,92,71
86,3/11/2023,561,14,Drip,5,82,78
87,5/16/2023,456,6,Drip,10,87,93
88,5/15/2023,275,14,Soaker,5,85,74
89,5/25/2023,856,30,Drip,4,71,88
90,8/6/2023,509,18,Soaker,6,87,76
91,4/10/2023,367,22,Sprinkler,2,79,95
92,7/18/2023,608,26,Manual,7,95,93
93,8/7/2023,280,14,Sprinkler,4,96,72
94,4/4/2023,420,27,Manual,5,96,73
95,4/5/2023,804,13,Manual,1,82,69
96,3/5/2023,383,28,Manual,9,78,95
97,3/4/2023,892,22,Soaker,10,74,79
98,7/19/2023,932,23,Drip,1,90,73
99,7/17/2023,829,20,Soaker,6,91,81
100,5/1/2023,851,24,Drip,7,75,62
101,6/22/2023,814,18,Soaker,10,87,94
102,6/20/2023,675,9,Manual,2,70,85
103,4/20/2023,481,23,Soaker,7,81,61
104,5/24/2023,417,25,Soaker,7,83,95
105,3/8/2023,258,12,Drip,4,87,90
106,4/27/2023,812,15,Soaker,1,81,71
107,8/20/2023,610,26,Sprinkler,8,90,75
108,3/21/2023,594,21,Drip,4,76,90
109,7/9/2023,932,13,Sprinkler,5,74,90
110,4/9/2023,329,13,Drip,4,70,66
111,5/26/2023,489,15,Manual,2,89,83
112,6/27/2023,750,23,Drip,6,93,69
113,5/24/2023,668,6,Manual,2,71,82
114,5/2/2023,402,12,Soaker,9,71,74
115,3/20/2023,384,21,Sprinkler,5,72,66
116,3/12/2023,714,16,Soaker,2,70,76
117,4/13/2023,706,17,Drip,3,98,87
118,8/22/2023,985,9,Drip,9,94,73
119,4/20/2023,857,14,Sprinkler,2,89,78
120,4/19/2023,430,17,Manual,10,96,65
121,4/7/2023,365,9,Soaker,6,89,70
122,8/15/2023,389,12,Manual,4,91,76
123,5/25/2023,971,24,Sprinkler,5,79,62
124,6/5/2023,267,13,Sprinkler,7,92,74
125,4/23/2023,861,22,Soaker,8,82,82
126,5/17/2023,250,5,Sprinkler,5,70,93
127,7/18/2023,556,19,Drip,5,93,85
128,4/19/2023,578,15,Sprinkler,9,91,85
129,6/8/2023,315,30,Sprinkler,3,75,81
130,6/23/2023,280,18,Sprinkler,4,84,61
