Board Code,Blueprint Description,Number of Sheets,Draftsman Hours,Draftsman Cost,Total Draftsman,Engineer Hours,Engineer Cost,Total Engineer,Management Hours,Management Cost,Total Management,Final
,SACA1 board supply,2,60,$300.00,"$18,000.00",40,$500.00,"$20,000.00",10,$650.00,"$6,500.00","$44,500.00"
,TC1 local control board supply,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Supply of auxiliary relay board and cable distributor,2,60,$300.00,"$18,000.00",40,$500.00,"$20,000.00",10,$650.00,"$6,500.00","$44,500.00"
,Supply of commercial measuring board fields 01 and 02 (SMEC),1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
TK00A,Kiosk Boards K00A,,,,,,,,,,,
,Supply of auxiliary services board TGSACC 110-2,2,60,$300.00,"$18,000.00",40,$500.00,"$20,000.00",10,$650.00,"$6,500.00","$44,500.00"
,Supply of auxiliary services board TGSACC 48-2,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Supply of TGI-2 general lighting board,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,TCI-2 lighting control board supply,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,TGSACA A1 board supply,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,TGSACA A2 board supply,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Board supply CELL BUILDING 2 (C2XPY),1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Supply of auxiliary services board TSACC (C2XPY),2,60,$300.00,"$18,000.00",40,$500.00,"$20,000.00",10,$650.00,"$6,500.00","$44,500.00"
TCC1,Panels in control building and cells,,,,,,,,,,,
,Supply of TGSACA auxiliary services boards,1,80,$300.00,"$24,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$37,250.00"
,Supply of TGSACC 110 V auxiliary service panels,1,50,$300.00,"$15,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$28,250.00"
,Supply of TGSACC 48 V auxiliary service panels,1,50,$300.00,"$15,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$28,250.00"
,Supply of SACA auxiliary services boards,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Supply of SACC auxiliary services boards,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Supply of TGI,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,"Supply of local control board, includes requirements for the real-time operation system (SOTR) of the station and the wind farm",7,210,$300.00,"$63,000.00",140,$500.00,"$70,000.00",35,$650.00,"$22,750.00","$155,750.00"
,Timing board supply,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Supply of auxiliary relay boards,7,210,$300.00,"$63,000.00",140,$500.00,"$70,000.00",35,$650.00,"$22,750.00","$155,750.00"
,Supply of cable distribution board,4,120,$300.00,"$36,000.00",80,$500.00,"$40,000.00",20,$650.00,"$13,000.00","$89,000.00"
,Automatic Voltage Regulation (RAT) Assembly,4,120,$300.00,"$36,000.00",80,$500.00,"$40,000.00",20,$650.00,"$13,000.00","$89,000.00"
,Commercial Measuring Board Supply (SMEC),4,120,$300.00,"$36,000.00",80,$500.00,"$40,000.00",20,$650.00,"$13,000.00","$89,000.00"
TK07,Kiosk Boards K07,,,,,,,,,,,
,Supply of SACA7 auxiliary services boards,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Supply of SACC7 220 V auxiliary service panels,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Supply of SACC7 48 V auxiliary service panels,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,"TCL local control board supply, includes requirements for real-time operation system (SOTR)",1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
TCC2,Panels in control building and cells,,,,,,,,,,,
,Supply of TGSACA auxiliary services boards,1,120,$300.00,"$36,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$49,250.00"
,Supply of TGSACC 110 V auxiliary service panels,1,50,$300.00,"$15,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$28,250.00"
,Supply of TGSACC 48 V auxiliary service panels,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Supply of SACA auxiliary services boards,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Supply of SACC auxiliary services boards,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Supply of TGI,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,"Supply of local control board, includes requirements for the real-time operation system (SOTR) of the station and the wind farm",1,60,$300.00,"$18,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$31,250.00"
,Supply of auxiliary relay boards,3,90,$300.00,"$27,000.00",60,$500.00,"$30,000.00",15,$650.00,"$9,750.00","$66,750.00"
,Supply of cable distribution board,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Automatic Voltage Regulation (RAT) Assembly,2,60,$300.00,"$18,000.00",40,$500.00,"$20,000.00",10,$650.00,"$6,500.00","$44,500.00"
,Commercial Measuring Board Supply (SMEC),1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,,,,,,,,,,,,"$2,027,000.00"
