Date,Ordered Product Sales,Ordered Product Sales - B2B,Units Ordered,Units Ordered - B2B,Total Order Items,Total Order Items - B2B,Average Sales per Order Item,Average Sales per Order Item - B2B,Average Units per Order Item,Average Units per Order Item - B2B,Average Selling Price,Average Selling Price - B2B,Sessions - Total,Order Item Session Percentage,Order Item Session Percentage - B2B,Average Offer Count
4/26/22,$114.80,$0.00,4,0,4,0,$28.70,$0.00,1,0,$28.70,$0.00,193,2.07%,0.00%,"1,892"
4/27/22,$59.90,$0.00,2,0,2,0,$29.95,$0.00,1,0,$29.95,$0.00,177,1.13%,0.00%,"1,892"
4/28/22,$59.90,$0.00,2,0,2,0,$29.95,$0.00,1,0,$29.95,$0.00,161,1.24%,0.00%,"1,892"
4/29/22,$95.85,$0.00,3,0,3,0,$31.95,$0.00,1,0,$31.95,$0.00,172,1.74%,0.00%,"3,262"
4/30/22,$119.80,$0.00,4,0,4,0,$29.95,$0.00,1,0,$29.95,$0.00,140,2.86%,0.00%,"4,493"
5/1/22,$59.90,$0.00,2,0,2,0,$29.95,$0.00,1,0,$29.95,$0.00,129,1.55%,0.00%,"6,030"
5/2/22,$59.90,$0.00,2,0,2,0,$29.95,$0.00,1,0,$29.95,$0.00,141,1.42%,0.00%,"5,945"
5/3/22,$124.80,$0.00,4,0,4,0,$31.20,$0.00,1,0,$31.20,$0.00,173,2.31%,0.00%,"5,945"
5/4/22,$264.55,$0.00,9,0,6,0,$44.09,$0.00,1.5,0,$29.39,$0.00,132,4.55%,0.00%,"5,944"
5/5/22,$29.95,$0.00,1,0,1,0,$29.95,$0.00,1,0,$29.95,$0.00,82,1.22%,0.00%,"5,940"
5/6/22,$199.70,$0.00,6,0,5,0,$39.94,$0.00,1.2,0,$33.28,$0.00,102,4.90%,0.00%,"5,940"
5/7/22,$164.75,$0.00,5,0,4,0,$41.19,$0.00,1.25,0,$32.95,$0.00,155,2.58%,0.00%,"5,940"
5/8/22,$119.80,$0.00,5,0,5,0,$23.96,$0.00,1,0,$23.96,$0.00,136,3.68%,0.00%,"5,940"
5/9/22,$29.95,$0.00,1,0,1,0,$29.95,$0.00,1,0,$29.95,$0.00,114,0.88%,0.00%,"5,943"
5/10/22,$84.85,$0.00,3,0,3,0,$28.28,$0.00,1,0,$28.28,$0.00,131,2.29%,0.00%,"5,975"
5/11/22,$229.60,$0.00,8,0,8,0,$28.70,$0.00,1,0,$28.70,$0.00,163,4.91%,0.00%,"6,636"
5/12/22,$150.75,$0.00,5,0,4,0,$37.69,$0.00,1.25,0,$30.15,$0.00,151,2.65%,0.00%,"6,808"
5/13/22,$114.80,$0.00,4,0,4,0,$28.70,$0.00,1,0,$28.70,$0.00,102,3.92%,0.00%,"6,838"
5/14/22,$229.65,$0.00,8,0,8,0,$28.71,$0.00,1,0,$28.71,$0.00,172,4.65%,0.00%,"6,838"
5/15/22,$209.60,$0.00,8,0,8,0,$26.20,$0.00,1,0,$26.20,$0.00,171,4.68%,0.00%,"6,747"
5/16/22,$109.80,$0.00,4,0,4,0,$27.45,$0.00,1,0,$27.45,$0.00,163,2.45%,0.00%,"7,173"
5/17/22,$189.65,$0.00,7,0,6,0,$31.61,$0.00,1.17,0,$27.09,$0.00,164,3.66%,0.00%,"7,483"
5/18/22,$109.80,$0.00,4,0,4,0,$27.45,$0.00,1,0,$27.45,$0.00,159,2.52%,0.00%,"8,071"
5/19/22,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,0,$0.00,$0.00,169,0.00%,0.00%,"8,572"
5/20/22,$79.85,$0.00,3,0,3,0,$26.62,$0.00,1,0,$26.62,$0.00,199,1.51%,0.00%,"8,570"
5/21/22,$234.55,$0.00,9,0,8,0,$29.32,$0.00,1.12,0,$26.06,$0.00,218,3.67%,0.00%,"8,572"
5/22/22,$244.55,$0.00,9,0,9,0,$27.17,$0.00,1,0,$27.17,$0.00,288,3.13%,0.00%,"8,571"
5/23/22,$219.60,$0.00,8,0,7,0,$31.37,$0.00,1.14,0,$27.45,$0.00,191,3.66%,0.00%,"8,826"
5/24/22,$194.65,$0.00,7,0,7,0,$27.81,$0.00,1,0,$27.81,$0.00,195,3.59%,0.00%,"9,290"
5/25/22,$144.75,$24.95,5,1,4,1,$36.19,$24.95,1.25,1,$28.95,$24.95,146,2.74%,0.68%,"9,546"
5/26/22,$244.55,$0.00,9,0,7,0,$34.94,$0.00,1.29,0,$27.17,$0.00,166,4.22%,0.00%,"9,544"
5/27/22,$94.85,$0.00,3,0,3,0,$31.62,$0.00,1,0,$31.62,$0.00,126,2.38%,0.00%,"9,488"
5/28/22,$104.80,$0.00,4,0,4,0,$26.20,$0.00,1,0,$26.20,$0.00,255,1.57%,0.00%,"9,580"
5/29/22,$174.70,$0.00,6,0,6,0,$29.12,$0.00,1,0,$29.12,$0.00,233,2.58%,0.00%,"9,580"
5/30/22,$264.50,$0.00,10,0,10,0,$26.45,$0.00,1,0,$26.45,$0.00,335,2.99%,0.00%,"9,989"
5/31/22,$314.40,$0.00,12,0,12,0,$26.20,$0.00,1,0,$26.20,$0.00,268,4.48%,0.00%,"10,624"
6/1/22,$109.80,$0.00,4,0,4,0,$27.45,$0.00,1,0,$27.45,$0.00,360,1.11%,0.00%,"10,656"
6/2/22,$251.30,$0.00,10,0,9,0,$27.92,$0.00,1.11,0,$25.13,$0.00,311,2.89%,0.00%,"11,408"
6/3/22,$439.29,$0.00,15,0,13,0,$33.79,$0.00,1.15,0,$29.29,$0.00,364,3.57%,0.00%,"11,408"
6/4/22,$354.40,$0.00,12,0,12,0,$29.53,$0.00,1,0,$29.53,$0.00,299,4.01%,0.00%,"11,414"
6/5/22,$194.65,$0.00,7,0,7,0,$27.81,$0.00,1,0,$27.81,$0.00,401,1.75%,0.00%,"11,454"
6/6/22,$314.50,$0.00,11,0,11,0,$28.59,$0.00,1,0,$28.59,$0.00,348,3.16%,0.00%,"12,350"
6/7/22,$204.65,$0.00,7,0,7,0,$29.24,$0.00,1,0,$29.24,$0.00,320,2.19%,0.00%,"12,373"
6/8/22,$124.75,$0.00,5,0,5,0,$24.95,$0.00,1,0,$24.95,$0.00,290,1.72%,0.00%,"12,487"
6/9/22,$104.80,$0.00,4,0,4,0,$26.20,$0.00,1,0,$26.20,$0.00,262,1.53%,0.00%,"12,488"
6/10/22,$199.65,$0.00,8,0,8,0,$24.96,$0.00,1,0,$24.96,$0.00,270,2.96%,0.00%,"12,716"
6/11/22,$247.55,$0.00,9,0,9,0,$27.51,$0.00,1,0,$27.51,$0.00,317,2.84%,0.00%,"12,716"
6/12/22,$419.20,$0.00,16,0,16,0,$26.20,$0.00,1,0,$26.20,$0.00,383,4.18%,0.00%,"12,716"
6/13/22,$299.45,$0.00,11,0,11,0,$27.22,$0.00,1,0,$27.22,$0.00,338,3.25%,0.00%,"12,716"
6/14/22,$354.35,$0.00,13,0,13,0,$27.26,$0.00,1,0,$27.26,$0.00,392,3.32%,0.00%,"12,811"
6/15/22,$219.60,$0.00,8,0,8,0,$27.45,$0.00,1,0,$27.45,$0.00,351,2.28%,0.00%,"12,859"
6/16/22,$354.40,$0.00,12,0,12,0,$29.53,$0.00,1,0,$29.53,$0.00,401,2.99%,0.00%,"12,862"
6/17/22,$249.55,$0.00,9,0,9,0,$27.73,$0.00,1,0,$27.73,$0.00,329,2.74%,0.00%,"12,859"
6/18/22,$244.55,$0.00,9,0,9,0,$27.17,$0.00,1,0,$27.17,$0.00,336,2.68%,0.00%,"12,859"
6/19/22,$529.00,$0.00,20,0,20,0,$26.45,$0.00,1,0,$26.45,$0.00,383,5.22%,0.00%,"12,859"
6/20/22,$199.65,$29.95,7,1,6,1,$33.28,$29.95,1.17,1,$28.52,$29.95,315,1.90%,0.32%,"12,823"
6/21/22,$198.65,$0.00,7,0,7,0,$28.38,$0.00,1,0,$28.38,$0.00,315,2.22%,0.00%,"12,822"
6/22/22,$174.65,$0.00,7,0,7,0,$24.95,$0.00,1,0,$24.95,$0.00,349,2.01%,0.00%,"12,822"
6/23/22,$314.40,$89.85,12,3,10,1,$31.44,$89.85,1.2,3,$26.20,$29.95,349,2.87%,0.29%,"13,293"
6/24/22,$174.70,$0.00,7,0,7,0,$24.96,$0.00,1,0,$24.96,$0.00,351,1.99%,0.00%,"13,455"
6/25/22,$223.60,$0.00,8,0,8,0,$27.95,$0.00,1,0,$27.95,$0.00,414,1.93%,0.00%,"13,458"
6/26/22,$269.50,$0.00,10,0,10,0,$26.95,$0.00,1,0,$26.95,$0.00,476,2.10%,0.00%,"13,454"
6/27/22,$279.49,$0.00,11,0,10,0,$27.95,$0.00,1.1,0,$25.41,$0.00,371,2.70%,0.00%,"13,510"
6/28/22,$353.35,$0.00,13,0,13,0,$27.18,$0.00,1,0,$27.18,$0.00,448,2.90%,0.00%,"13,582"
6/29/22,$235.59,$0.00,9,0,9,0,$26.18,$0.00,1,0,$26.18,$0.00,415,2.17%,0.00%,"13,734"
6/30/22,$267.54,$0.00,10,0,10,0,$26.75,$0.00,1,0,$26.75,$0.00,350,2.86%,0.00%,"13,732"
7/1/22,$249.55,$0.00,9,0,6,0,$41.59,$0.00,1.5,0,$27.73,$0.00,361,1.66%,0.00%,"13,732"
7/2/22,$233.89,$0.00,9,0,9,0,$25.99,$0.00,1,0,$25.99,$0.00,347,2.59%,0.00%,"13,732"
7/3/22,$494.15,$0.00,17,0,17,0,$29.07,$0.00,1,0,$29.07,$0.00,393,4.33%,0.00%,"13,726"
7/4/22,$295.45,$0.00,11,0,10,0,$29.54,$0.00,1.1,0,$26.86,$0.00,402,2.49%,0.00%,"13,726"
7/5/22,$376.86,$0.00,16,0,12,0,$31.40,$0.00,1.33,0,$23.55,$0.00,284,4.23%,0.00%,"13,725"
7/6/22,$101.97,$0.00,4,0,4,0,$25.49,$0.00,1,0,$25.49,$0.00,362,1.10%,0.00%,"13,725"
7/7/22,$367.34,$0.00,14,0,13,0,$28.26,$0.00,1.08,0,$26.24,$0.00,313,4.15%,0.00%,"13,725"
7/8/22,$261.50,$0.00,10,0,9,0,$29.06,$0.00,1.11,0,$26.15,$0.00,275,3.27%,0.00%,"14,233"
7/9/22,$304.45,$0.00,12,0,12,0,$25.37,$0.00,1,0,$25.37,$0.00,382,3.14%,0.00%,"15,870"
7/10/22,$306.44,$0.00,12,0,12,0,$25.54,$0.00,1,0,$25.54,$0.00,358,3.35%,0.00%,"15,870"
7/11/22,$201.60,$0.00,8,0,8,0,$25.20,$0.00,1,0,$25.20,$0.00,369,2.17%,0.00%,"16,374"
7/12/22,$376.51,$0.00,14,0,14,0,$26.89,$0.00,1,0,$26.89,$0.00,369,3.79%,0.00%,"16,378"
7/13/22,$186.82,$0.00,7,0,7,0,$26.69,$0.00,1,0,$26.69,$0.00,371,1.89%,0.00%,"16,344"
7/14/22,$59.90,$0.00,2,0,2,0,$29.95,$0.00,1,0,$29.95,$0.00,253,0.79%,0.00%,"16,344"
7/15/22,$104.80,$0.00,4,0,4,0,$26.20,$0.00,1,0,$26.20,$0.00,269,1.49%,0.00%,"16,344"
7/16/22,$164.92,$0.00,5,0,5,0,$32.98,$0.00,1,0,$32.98,$0.00,313,1.60%,0.00%,"16,344"
7/17/22,$325.40,$29.95,12,1,11,1,$29.58,$29.95,1.09,1,$27.12,$29.95,349,3.15%,0.29%,"16,344"
7/18/22,$219.63,$0.00,9,0,9,0,$24.40,$0.00,1,0,$24.40,$0.00,381,2.36%,0.00%,"16,454"
7/19/22,$259.13,$29.95,10,1,10,1,$25.91,$29.95,1,1,$25.91,$29.95,341,2.93%,0.29%,"16,469"
7/20/22,$199.65,$0.00,7,0,6,0,$33.28,$0.00,1.17,0,$28.52,$0.00,274,2.19%,0.00%,"16,763"
7/21/22,$134.75,$0.00,5,0,4,0,$33.69,$0.00,1.25,0,$26.95,$0.00,299,1.34%,0.00%,"16,782"
7/22/22,$116.34,$0.00,3,0,3,0,$38.78,$0.00,1,0,$38.78,$0.00,238,1.26%,0.00%,"16,763"
7/23/22,$137.83,$0.00,5,0,5,0,$27.57,$0.00,1,0,$27.57,$0.00,214,2.34%,0.00%,"16,763"
7/24/22,$427.41,$0.00,16,0,16,0,$26.71,$0.00,1,0,$26.71,$0.00,300,5.33%,0.00%,"16,763"
7/25/22,$262.77,$0.00,9,0,9,0,$29.20,$0.00,1,0,$29.20,$0.00,297,3.03%,0.00%,"17,550"
7/26/22,$167.70,$0.00,6,0,6,0,$27.95,$0.00,1,0,$27.95,$0.00,240,2.50%,0.00%,"17,743"
7/27/22,$74.85,$0.00,3,0,3,0,$24.95,$0.00,1,0,$24.95,$0.00,247,1.21%,0.00%,"17,691"
