location_country,location_region,location_city,total_visitors,total_sessions
United States,Michigan,Howell,1,3
United Kingdom,England,London,3,3
Canada,British Columbia,Victoria,1,3
United States,Colorado,,2,3
United States,Kentucky,Louisville,3,3
United States,South Dakota,Hartford,1,3
United States,Idaho,Meridian,3,3
United States,Florida,Sanford,2,3
Russia,Nizhny Novgorod Oblast,Nizhniy Novgorod,3,3
United States,California,San Jose,3,3
United States,Illinois,Arlington Heights,2,3
United States,California,Antioch,2,3
United States,California,Redding,3,3
United States,Alabama,Huntsville,2,2
United States,Georgia,Marietta,2,2
United States,Florida,Fort Myers,2,2
Canada,Alberta,Consort,1,2
United States,Kentucky,La Grange,2,2
United States,Illinois,Roscoe,1,2
United States,California,Santa Clara,2,2
United States,California,Azusa,1,2
United States,Illinois,Marengo,2,2
United States,Kentucky,Hindman,1,2
United States,Oklahoma,Edmond,2,2
Canada,British Columbia,Prince George,2,2
United States,Minnesota,Bloomington,2,2
United States,Indiana,Valparaiso,2,2
Germany,Saxony,Dresden,1,2
Philippines,Davao,Davao City,1,2
Mexico,Mexico City,Mexico City,2,2
United States,Tennessee,Memphis,2,2
United States,Texas,Pearland,2,2
United States,Ohio,Saint Clairsville,2,2
United States,New York,Cicero,2,2
United States,Ohio,Martins Ferry,1,2
United States,North Carolina,,2,2
Poland,Mazovia,Warsaw,2,2
United States,North Carolina,Raleigh,2,2
United States,Iowa,,2,2
United States,New Jersey,Manalapan,2,2
Thailand,,,2,2
United States,Tennessee,Kingsport,1,2
Canada,Ontario,Stoney Creek,2,2
United States,California,San Leandro,1,2
United States,Washington,Kirkland,2,2
United States,Ohio,Pickerington,2,2
United States,Wisconsin,Kenosha,2,2
United States,Idaho,Melba,1,2
Kuwait,Al Asimah,Kuwait City,2,2
United States,New York,Massena,1,2
United States,New Jersey,Lakewood,2,2
United States,New York,Huntington Station,2,2
United States,North Carolina,Saluda,2,2
United States,Kansas,El Dorado,1,2
Russia,Volgograd Oblast,Volgograd,2,2
Turkey,,,2,2
United States,North Carolina,Indian Trail,1,2
United States,Michigan,Wayland,2,2
Japan,Hokkaido,Sapporo,2,2
United States,South Dakota,Brookings,1,2
United States,Nevada,Reno,2,2
United States,Texas,Pflugerville,2,2
United States,Arizona,Gilbert,2,2
Belgium,Flanders,Hasselt,1,2
United States,Tennessee,Knoxville,2,2
United States,Kansas,Overland Park,2,2
Bahrain,Manama,Manama,2,2
United States,New York,Highland,2,2
United Kingdom,Scotland,Aberdeen,2,2
United States,Maryland,Silver Spring,2,2
United States,Connecticut,Westport,2,2
United States,Pennsylvania,Schwenksville,1,2
United States,Ohio,,2,2
United States,Wisconsin,Lake Geneva,1,2
United States,Florida,St. Petersburg,2,2
Australia,South Australia,Adelaide,2,2
United States,Ohio,Dayton,2,2
U.S. Virgin Islands,Saint Croix Island,Christiansted,2,2
United States,Missouri,Springfield,2,2
United States,Arizona,Surprise,2,2
Canada,British Columbia,Coquitlam,1,2
United States,New Jersey,Medford,2,2
United States,New York,Rochester,2,2
United States,New Mexico,Rio Rancho,1,2
Canada,Ontario,Nepean,2,2
Russia,Irkutsk Oblast,Irkutsk,1,2
Romania,Bucuresti,Bucharest,2,2
United States,North Carolina,Sanford,1,2
United States,Iowa,Newton,1,2
United States,Florida,Clearwater,2,2
United States,Iowa,Cedar Rapids,2,2
United States,Michigan,Alpena,1,2
United States,Iowa,Iowa City,2,2
United States,Illinois,Des Plaines,2,2
Switzerland,Geneva,Geneva,2,2
United States,Missouri,Excelsior Springs,2,2
United States,South Carolina,Summerville,2,2
Belgium,Flanders,Ostend,1,2
Austria,Vienna,Vienna,2,2
United States,West Virginia,Morgantown,2,2
United States,Minnesota,Underwood,1,2
United States,Florida,Port Charlotte,2,2
United States,Minnesota,Rochester,2,2
United States,Tennessee,Chattanooga,2,2
United States,Minnesota,Greenfield,1,2
United States,Florida,Fort Lauderdale,2,2
United States,Georgia,Gainesville,2,2
United States,California,Fontana,2,2
United States,Texas,Allen,2,2
Pakistan,Punjab,Layyah,2,2
United States,Kansas,Spring Hill,1,2
United States,Missouri,Kansas City,2,2
United States,Virginia,Lynchburg,2,2
Canada,Ontario,Mississauga,2,2
United States,Kansas,Wichita,2,2
Germany,Hesse,Dreieich,2,2
United States,Washington,Spokane,2,2
United States,Virginia,Richmond,2,2
United States,Wisconsin,Mosinee,2,2
United States,Illinois,Glen Ellyn,2,2
United States,Maryland,Elkton,1,2
United States,North Dakota,Minot,1,2
United States,New York,Newburgh,2,2
United Kingdom,Scotland,Peterculter,1,2
United States,Pennsylvania,Broomall,2,2
United States,Connecticut,Winsted,1,2
Russia,Leningrad Oblast,Gatchina,2,2
United States,Ohio,Woodville,2,2
United States,New York,Delmar,2,2
Canada,Alberta,Red Deer,2,2
United States,Oregon,Hillsboro,2,2
United States,Michigan,Muskegon,1,2
United States,New York,Wantagh,1,2
United States,Illinois,Urbana,1,2
United States,Massachusetts,Athol,1,2
United States,Ohio,Painesville,2,2
United States,Massachusetts,Pittsfield,1,2
Russia,Sverdlovsk Oblast,Yekaterinburg,2,2
United States,Arizona,Tucson,2,2
United States,South Carolina,Columbia,2,2
United States,New York,Flushing,2,2
United States,North Carolina,Wilmington,1,2
United States,Illinois,Bloomington,1,2
United States,New York,Medford,1,2
United States,New Jersey,Bergenfield,2,2
United States,Massachusetts,Newton,2,2
Canada,Saskatchewan,Regina,2,2
United States,New Jersey,Toms River,2,2
United States,Michigan,Linwood,1,2
United States,Florida,Naples,2,2
United States,California,Riverbank,1,2
United States,Florida,North Port,1,2
United States,Florida,,2,2
Brazil,Rio de Janeiro,Mesquita,1,2
United States,Michigan,Dearborn,2,2
United States,New Jersey,South Plainfield,2,2
United States,New Hampshire,Goffstown,1,1
United States,California,Thousand Oaks,1,1
United States,Ohio,Portsmouth,1,1
United States,Pennsylvania,Monroeville,1,1
United States,California,South El Monte,1,1
United States,Oregon,Gresham,1,1
United States,North Carolina,Albemarle,1,1
United States,Louisiana,,1,1
United States,West Virginia,Clarksburg,1,1
United States,Louisiana,Thibodaux,1,1
United States,Pennsylvania,Upper Black Eddy,1,1
United States,Louisiana,Ruston,1,1
United States,Wisconsin,Waukesha,1,1
United States,Colorado,Littleton,1,1
Germany,Baden-Wurttemberg,Salem,1,1
United States,Michigan,Royal Oak,1,1
United States,New York,Pleasantville,1,1
United States,California,Ramona,1,1
United Kingdom,England,Midhurst,1,1
United States,Maryland,Lusby,1,1
United States,Utah,Brigham City,1,1
North Macedonia,,Skopje,1,1
United States,Florida,Pompano Beach,1,1
United States,Missouri,Belle,1,1
United States,Connecticut,Avon,1,1
United States,Virginia,South Hill,1,1
United States,South Carolina,Anderson,1,1
United States,California,Fresno,1,1
United States,Iowa,Ankeny,1,1
United States,Illinois,Sycamore,1,1
United States,Pennsylvania,Cranberry Township,1,1
United States,Tennessee,Germantown,1,1
Germany,Lower Saxony,Delmenhorst,1,1
United States,Kansas,Topeka,1,1
United States,Washington,Auburn,1,1
Czechia,Central Bohemia,Kladno,1,1
United States,Rhode Island,Providence,1,1
Canada,Alberta,Grande Prairie,1,1
Bulgaria,Sofia-Capital,Sofia,1,1
United States,South Dakota,Spearfish,1,1
United States,Michigan,Norway,1,1
India,Telangana,Hyderabad,1,1
Canada,Ontario,Bowmanville,1,1
Nigeria,Lagos,Mushin,1,1
Canada,Quebec,Saint-Constant,1,1
Chile,Santiago Metropolitan,Santiago,1,1
Poland,Kujawsko-Pomorskie,Bydgoszcz,1,1
Hungary,,,1,1
United States,Illinois,Hampshire,1,1
Ireland,Munster,Tipperary,1,1
United States,Illinois,Moline,1,1
United States,Nebraska,Ravenna,1,1
United States,Idaho,Idaho Falls,1,1
United States,Massachusetts,Ludlow,1,1
United States,Colorado,Montrose,1,1
United States,Georgia,Smyrna,1,1
United Kingdom,England,Coulsdon,1,1
United States,Washington,Cosmopolis,1,1
United States,North Dakota,Williston,1,1
United States,Ohio,Coshocton,1,1
United States,Kansas,Lindsborg,1,1
United States,Pennsylvania,Mohnton,1,1
United States,New York,Peekskill,1,1
United States,Nevada,North Las Vegas,1,1
Sweden,Stockholm County,Vallentuna,1,1
United States,Indiana,Munster,1,1
United States,Missouri,Glasgow,1,1
United States,North Carolina,Supply,1,1
United States,Florida,Port Saint Lucie,1,1
Denmark,South Denmark,Kolding,1,1
United States,North Carolina,Goldsboro,1,1
United States,Florida,Sorrento,1,1
United States,Texas,Pasadena,1,1
United States,Florida,Fleming Island,1,1
United States,Connecticut,,1,1
United States,Michigan,Birmingham,1,1
United States,Pennsylvania,Coudersport,1,1
United States,Michigan,Lowell,1,1
Russia,Volgograd Oblast,Kamyshin,1,1
Canada,Ontario,Port Perry,1,1
Thailand,Chon Buri,Si Racha,1,1
United States,Virginia,Yorktown,1,1
Japan,,,1,1
Canada,Quebec,Paspebiac,1,1
United States,Delaware,Wilmington,1,1
Canada,Manitoba,Brandon,1,1
United States,Alabama,Daphne,1,1
Switzerland,Vaud,Lausanne,1,1
United States,Texas,Cedar Park,1,1
Switzerland,Basel-Landschaft,Pratteln,1,1
United States,Iowa,Olin,1,1
United States,Illinois,Woodridge,1,1
United States,Pennsylvania,Lititz,1,1
United States,Illinois,Woodlawn,1,1
Philippines,Metro Manila,Makati City,1,1
United States,Illinois,Joliet,1,1
South Africa,Eastern Cape,Port Alfred,1,1
United States,Illinois,Lockport,1,1
United States,New Mexico,Los Lunas,1,1
United Kingdom,England,Andover,1,1
United States,Hawaii,Kaneohe,1,1
United States,Colorado,Parachute,1,1
Germany,Bavaria,Regensburg,1,1
United Kingdom,England,Gateshead,1,1
United States,Washington,Vashon,1,1
United Kingdom,England,Reading,1,1
Germany,North Rhine-Westphalia,Siegen,1,1
United States,Utah,Lehi,1,1
United States,Pennsylvania,Morrisville,1,1
United Kingdom,Scotland,Alloa,1,1
Germany,Hesse,Darmstadt,1,1
United States,Arkansas,Springdale,1,1
South Africa,Western Cape,Cape Town,1,1
United States,Kansas,Montezuma,1,1
United States,Ohio,Hubbard,1,1
United States,New York,Mastic,1,1
United States,Massachusetts,Ipswich,1,1
United States,New York,The Bronx,1,1
North Macedonia,,,1,1
Australia,Australian Capital Territory,Canberra,1,1
United States,Indiana,Lowell,1,1
United States,New York,Ronkonkoma,1,1
Netherlands,South Holland,Voorhout,1,1
Sweden,Skåne County,Trelleborg,1,1
United States,Pennsylvania,King of Prussia,1,1
United States,Missouri,Mexico,1,1
Netherlands,South Holland,Hendrik-Ido-Ambacht,1,1
Bulgaria,Varna,Varna,1,1
United States,Indiana,Elkhart,1,1
United States,Kentucky,Lexington,1,1
United States,North Carolina,Lenoir,1,1
United States,Florida,Kissimmee,1,1
United States,Alabama,Foley,1,1
Brazil,Rio Grande do Sul,Pelotas,1,1
Canada,Alberta,Airdrie,1,1
India,Madhya Pradesh,,1,1
United States,Florida,Saint Augustine,1,1
United States,North Carolina,East Bend,1,1
United States,Florida,Homestead,1,1
United States,Pennsylvania,Nazareth,1,1
United States,Florida,North Lauderdale,1,1
United States,South Dakota,Hudson,1,1
United States,Michigan,Sterling Heights,1,1
United States,Texas,Leander,1,1
United States,Michigan,Highland,1,1
United States,Connecticut,Torrington,1,1
United States,Michigan,Dimondale,1,1
United States,Massachusetts,Westborough,1,1
United States,Michigan,Flint,1,1
United States,Oklahoma,Lawton,1,1
Canada,Ontario,St. Catharines,1,1
United States,Texas,Tyler,1,1
United States,Minnesota,Hoffman,1,1
United States,California,Fallbrook,1,1
United States,Minnesota,Plymouth,1,1
United States,Pennsylvania,Harrisburg,1,1
Canada,Ontario,Stittsville,1,1
United States,California,Fairfield,1,1
United States,Virginia,Great Falls,1,1
United States,Texas,College Station,1,1
United States,Wisconsin,Cottage Grove,1,1
Bahrain,,,1,1
United States,Wisconsin,Shawano,1,1
United States,Massachusetts,Lynn,1,1
United States,Wisconsin,Eleva,1,1
United States,West Virginia,Hedgesville,1,1
China,Shanghai,Shanghai,1,1
Spain,Canary Islands,Adeje,1,1
Norway,Vestfold og Telemark,Holmestrand,1,1
United States,South Carolina,Gaffney,1,1
United States,California,Perris,1,1
United States,Pennsylvania,Brownsville,1,1
United States,Illinois,Mundelein,1,1
United States,Iowa,Jesup,1,1
United States,Illinois,Peoria,1,1
Netherlands,Flevoland,Almere Stad,1,1
United Kingdom,Northern Ireland,Belfast,1,1
Turkey,Ağrı,Ağrı,1,1
United States,Illinois,Harrisburg,1,1
United States,Massachusetts,Holyoke,1,1
United Kingdom,England,Gosport,1,1
Philippines,Calabarzon,Cavite City,1,1
United States,Illinois,Edwardsville,1,1
United States,Maryland,Owings,1,1
United States,Illinois,Metamora,1,1
United States,Nebraska,Arcadia,1,1
United States,Illinois,Rolling Meadows,1,1
United States,Oregon,Ontario,1,1
United States,Illinois,Kewanee,1,1
France,,,1,1
Puerto Rico,,Las Piedras,1,1
United States,Maryland,Bel Air,1,1
United States,Idaho,Nampa,1,1
United States,Georgia,Hinesville,1,1
United States,Colorado,Parker,1,1
United States,New Jersey,Chatham,1,1
United States,Colorado,Berthoud,1,1
Germany,Baden-Wurttemberg,Reutlingen,1,1
United States,Colorado,Thornton,1,1
United States,Maryland,Ft. Washington,1,1
United States,Tennessee,Tullahoma,1,1
United States,Georgia,McDonough,1,1
United States,Tennessee,Crossville,1,1
United States,Oregon,,1,1
United States,Tennessee,Waverly,1,1
United States,Georgia,Peachtree City,1,1
United States,Tennessee,Gallatin,1,1
United States,Washington,Bremerton,1,1
United States,Utah,South Jordan,1,1
Germany,North Rhine-Westphalia,Dortmund,1,1
United States,Utah,Roy,1,1
United States,Oregon,Albany,1,1
United Kingdom,Scotland,Glasgow,1,1
Germany,Hesse,,1,1
United States,North Dakota,Edgeley,1,1
United States,Washington,Sunnyside,1,1
United States,Mississippi,Carriere,1,1
Germany,Hesse,Wiesbaden,1,1
United States,Arkansas,Amity,1,1
United States,New Jersey,Old Bridge,1,1
United States,California,Rancho Cucamonga,1,1
United States,Ohio,North Ridgeville,1,1
Pakistan,Punjab,Lahore,1,1
South Africa,Gauteng,Johannesburg,1,1
El Salvador,Departamento de San Salvador,San Salvador,1,1
Germany,Hesse,Frankfurt am Main,1,1
United States,New York,Syracuse,1,1
United States,New Jersey,Newton,1,1
United States,New York,Hicksville,1,1
United States,Ohio,Macedonia,1,1
United States,New York,Queensbury,1,1
United States,Washington,Bellingham,1,1
United States,New York,Jamestown,1,1
Netherlands,Utrecht,De Meern,1,1
Saudi Arabia,Mecca Region,Jeddah,1,1
United States,Pennsylvania,Conshohocken,1,1
Sweden,Kalmar,Oskarshamn,1,1
Netherlands,South Holland,Rotterdam,1,1
Sweden,Stockholm County,Stockholm,1,1
United States,Indiana,Roanoke,1,1
United States,New York,Schenectady,1,1
United States,West Virginia,Charleston,1,1
United States,Missouri,Chesterfield,1,1
United States,Massachusetts,Plymouth,1,1
United States,Missouri,Cape Girardeau,1,1
United States,North Carolina,Sylva,1,1
United States,Missouri,Raymore,1,1
United States,Indiana,Walkerton,1,1
United States,Kentucky,Hebron,1,1
United States,North Carolina,Henderson,1,1
United States,Kentucky,Mayfield,1,1
United States,Pennsylvania,Exton,1,1
United States,Kentucky,Salvisa,1,1
United States,Pennsylvania,Wexford,1,1
United States,Maine,Pittsfield,1,1
United States,Indiana,Batesville,1,1
Denmark,Central Jutland,Malling,1,1
United States,New Jersey,Paterson,1,1
United States,Vermont,Bennington,1,1
United States,Alabama,Owens Cross Roads,1,1
Iceland,Capital Region,Reykjavik,1,1
Canada,Saskatchewan,Prince Albert,1,1
United States,Indiana,Noblesville,1,1
United States,Florida,Tallahassee,1,1
United States,North Carolina,Greensboro,1,1
United States,Florida,Ruskin,1,1
United States,Kansas,Selden,1,1
United States,Florida,West Palm Beach,1,1
United States,North Carolina,Kernersville,1,1
United States,Florida,Punta Gorda,1,1
India,Kerala,Kochi,1,1
Canada,Alberta,Sylvan Lake,1,1
Guam,,Barrigada Village,1,1
Canada,British Columbia,Penticton,1,1
United States,Massachusetts,Milton,1,1
Canada,British Columbia,Kelowna,1,1
Ireland,Leinster,Clonee,1,1
United States,Florida,Brandon,1,1
United States,California,San Rafael,1,1
Canada,British Columbia,Salmon Arm,1,1
United States,Connecticut,Willimantic,1,1
Canada,British Columbia,Mission,1,1
Puerto Rico,,San Juan,1,1
United States,Michigan,Clinton Township,1,1
United States,Connecticut,Suffield,1,1
Canada,British Columbia,Creston,1,1
United States,Texas,Plano,1,1
United States,Michigan,Wyoming,1,1
United States,Connecticut,Waterbury,1,1
United States,Michigan,,1,1
United States,Massachusetts,Lowell,1,1
Canada,Ontario,Bolton,1,1
Croatia,City of Zagreb,Zagreb,1,1
United States,Michigan,Stanton,1,1
Armenia,Yerevan,Yerevan,1,1
Canada,Ontario,Barrie,1,1
United States,California,San Clemente,1,1
United States,Minnesota,Oronoco,1,1
United States,Pennsylvania,Macungie,1,1
Canada,Ontario,Ottawa,1,1
United States,California,Oceanside,1,1
United States,Minnesota,Park Rapids,1,1
United States,Texas,Sunray,1,1
United States,Minnesota,Circle Pines,1,1
United States,California,Fountain Valley,1,1
United States,Minnesota,Annandale,1,1
United States,Oregon,Clackamas,1,1
United States,Virginia,Palmyra,1,1
United States,California,Union City,1,1
United States,Virginia,McLean,1,1
United States,Texas,Brownsville,1,1
United States,Virginia,Waynesboro,1,1
United States,California,Tustin,1,1
Canada,Ontario,Cornwall,1,1
Madagascar,,Antananarivo,1,1
Canada,Quebec,Sainte-Brigitte-des-Saults,1,1
United States,California,Menifee,1,1
Canada,Quebec,Beloeil,1,1
Austria,Styria,Paldau,1,1
Canada,Quebec,Saint-Sauveur,1,1
France,Nouvelle-Aquitaine,Mérignac,1,1
United States,Wisconsin,Menomonee Falls,1,1
United States,New Jersey,Sayreville,1,1
Canada,Nova Scotia,Dartmouth,1,1
United States,California,Lodi,1,1
Lebanon,Beyrouth,Beirut,1,1
United States,South Carolina,Myrtle Beach,1,1
Canada,Manitoba,Morden,1,1
United States,Idaho,Eagle,1,1
Indonesia,West Java,Bekasi,1,1
New Zealand,Wellington,Lower Hutt,1,1
Poland,Greater Poland,,1,1
United States,Texas,Cypress,1,1
United States,Illinois,Lake in the Hills,1,1
United States,Louisiana,Breaux Bridge,1,1
Switzerland,Lucerne,Rothenburg,1,1
United States,South Carolina,Lancaster,1,1
Switzerland,Zurich,Zurich,1,1
United States,Arizona,Casa Grande,1,1
United States,California,Manteca,1,1
Turkey,Istanbul,Istanbul,1,1
United States,Illinois,Elmhurst,1,1
United States,Louisiana,Abbeville,1,1
United Kingdom,Wales,Cwmbran,1,1
United States,New Jersey,Cedar Knolls,1,1
United Kingdom,Wales,Newport,1,1
United States,Pennsylvania,Greensburg,1,1
United States,Illinois,DeKalb,1,1
United States,Iowa,Pella,1,1
United States,Illinois,Champaign,1,1
United States,Louisiana,Tallulah,1,1
United States,New Jersey,Plainfield,1,1
Vietnam,Tinh Hai Duong,Hai Duong,1,1
United Kingdom,England,Liverpool,1,1
United States,New Jersey,Eatontown,1,1
United States,Illinois,Mattoon,1,1
Philippines,Calabarzon,Cainta,1,1
United States,Illinois,Waterloo,1,1
New Zealand,Manawatu-Wanganui,Palmerston North,1,1
United Kingdom,England,York,1,1
United States,Nebraska,Imperial,1,1
United Kingdom,England,Birmingham,1,1
United States,Pennsylvania,Scranton,1,1
United States,Illinois,Lanark,1,1
Philippines,Metro Manila,Quezon City,1,1
United States,Illinois,Havana,1,1
United States,Maryland,Cumberland,1,1
United Kingdom,England,Norwood,1,1
United States,Nebraska,Plainview,1,1
United States,Illinois,La Grange Park,1,1
United States,Arizona,Glendale,1,1
United Kingdom,England,Bradford,1,1
United States,New Hampshire,Somersworth,1,1
United States,Illinois,Winnetka,1,1
United States,Maryland,Crofton,1,1
United States,Illinois,Milton,1,1
Norway,Nordland,Mo i Rana,1,1
United Kingdom,England,Leicester,1,1
United States,Pennsylvania,Plymouth Meeting,1,1
United Kingdom,England,Cradley Heath,1,1
Isle of Man,,Isle of Man,1,1
United States,Iowa,Muscatine,1,1
United States,Maryland,California,1,1
United States,Colorado,Longmont,1,1
Germany,Baden-Wurttemberg,Karlsruhe,1,1
United States,Colorado,Highlands Ranch,1,1
United States,New Jersey,Secaucus,1,1
United Kingdom,England,Coventry,1,1
United States,Georgia,Canton,1,1
United Kingdom,England,Warrington,1,1
United States,Maryland,Annapolis,1,1
United States,Colorado,Grand Junction,1,1
United States,Georgia,Hoschton,1,1
United States,Colorado,Wheat Ridge,1,1
United States,Pennsylvania,Lebanon,1,1
United States,Tennessee,Hendersonville,1,1
Germany,Bavaria,Maxhutte-Haidhof,1,1
United Kingdom,England,Virginia Water,1,1
United States,Maryland,Severna Park,1,1
United Kingdom,England,Sheffield,1,1
United States,Georgia,Suwanee,1,1
United States,Tennessee,Goodlettsville,1,1
United States,Massachusetts,Milford,1,1
United Kingdom,England,Newport Pagnell,1,1
United States,Georgia,Savannah,1,1
United States,Tennessee,Nolensville,1,1
South Africa,Western Cape,Paarl,1,1
United States,Tennessee,Franklin,1,1
Germany,Rheinland-Pfalz,Landstuhl,1,1
United States,Tennessee,Smyrna,1,1
United States,Pennsylvania,Warminster,1,1
United States,Tennessee,Murfreesboro,1,1
United States,New Jersey,,1,1
United Kingdom,England,Bridgwater,1,1
United States,Washington,Wenatchee,1,1
United States,Utah,Santaquin,1,1
United States,Ohio,Ashland,1,1
United States,Utah,Syracuse,1,1
United States,New Jersey,Galloway,1,1
United States,Utah,American Fork,1,1
United States,Ohio,Yellow Springs,1,1
United States,Utah,Park City,1,1
United States,Washington,Tekoa,1,1
Trinidad and Tobago,Port of Spain,Port of Spain,1,1
United States,Ohio,Avon Lake,1,1
Portugal,,,1,1
United States,Pennsylvania,Doylestown,1,1
United States,Mississippi,Oxford,1,1
United States,Ohio,Whitehouse,1,1
United States,Mississippi,Clarksdale,1,1
United States,Washington,Stanwood,1,1
United States,Arkansas,Little Rock,1,1
Germany,Hesse,Oberursel,1,1
Portugal,Braga,Braga,1,1
United States,Massachusetts,Sturbridge,1,1
Romania,Ilfov,Voluntari,1,1
United States,Ohio,Piqua,1,1
Pakistan,Sindh,Karachi,1,1
United States,Washington,Bellevue,1,1
United States,Kansas,Lawrence,1,1
United States,Ohio,Springfield,1,1
United States,Kansas,Lenexa,1,1
United States,Oregon,Eugene,1,1
United States,Kansas,Olathe,1,1
United States,Texas,Garland,1,1
Pakistan,Punjab,Dera Ghazi Khan,1,1
United States,Washington,Endicott,1,1
United States,New York,Staten Island,1,1
United States,Ohio,Stow,1,1
United States,New York,Brasher Falls,1,1
United States,New Jersey,Madison,1,1
Tunisia,Gouvernorat de Tunis,Tunis,1,1
United States,Ohio,Sidney,1,1
United States,New York,Webster,1,1
United States,Washington,,1,1
Argentina,Buenos Aires,Mar del Plata,1,1
United States,Ohio,Grove City,1,1
United States,New York,Selden,1,1
United States,Pennsylvania,Bristol,1,1
Australia,Queensland,Mirani,1,1
United States,Ohio,Bellevue,1,1
Australia,Western Australia,Perth,1,1
Latvia,Riga,Riga,1,1
United States,New York,,1,1
Netherlands,South Holland,Noordwijk aan Zee,1,1
Saudi Arabia,Mecca Region,Makkah,1,1
United States,Massachusetts,Worcester,1,1
United States,New York,Rome,1,1
United States,West Virginia,Point Pleasant,1,1
Sweden,Örebro County,Degerfors,1,1
India,Rajasthan,Alwar,1,1
United States,New York,Middleburgh,1,1
United States,California,Valencia,1,1
United States,New York,Glen Cove,1,1
United States,Pennsylvania,Shippensburg,1,1
Sweden,Skåne County,Malmo,1,1
United States,Kansas,Newton,1,1
Sweden,Skåne County,Kristianstad,1,1
United States,Indiana,Floyds Knobs,1,1
