Scheduled Date,Application Date,SAP Module,AREA (hectares),Lot,Trademark,Active Ingredient,Measurement Unit,Acceptable Harvest Date,Dose per cylinder,Dose per hectare,Application Objective,Type of Application,Number of Cylinders,Volume Liters per Hectare
11/11/2022,11/11/2022,M06,23.13,T V-VI,CROPS DETER ,Fatty Acids-Potassium Soap,L,12/11/22,0.02,380,Powder,Mechanized,439.5,3800
11/11/2022,11/11/2022,M06,44.27,T II-III-IV-L168-169-170A-171-173,CROPS DETER ,Fatty Acids-Potassium Soap,L,12/11/22,0.06,1140,Powder,Mechanized,841.1,3800
11/11/2022,11/11/2022,M06,1.68,L 170B-C-172,CROPS DETER ,Fatty Acids-Potassium Soap,L,12/11/22,0.06,480,Powder,Mechanized,13.44,1600
11/14/2022,11/14/2022,M10,49.01,T I-II-III-IV-V-VI-L306,CROPS DETER ,Fatty Acids-Potassium Soap,L,15/11/22,0.06,1005,Powder,Mechanized,820.9,3350
11/15/2022,11/15/2022,M10,20.56,T VII-VIII,CROPS DETER ,Fatty Acids-Potassium Soap,L,16/11/22,0.06,1005,Powder,Mechanized,344.4,3350
11/15/2022,11/15/2022,M05,55.5,T I-II-III-IV-V-VI,CROPS DETER ,Fatty Acids-Potassium Soap,L,16/11/22,0.06,1140,Powder,Mechanized,1054.5,3800
11/15/2022,11/15/2022,M07,51.31,T I-II-III-IV-V-VI,CROPS DETER ,Fatty Acids-Potassium Soap,L,16/11/22,0.06,1140,Powder,Mechanized,974.9,3800
11/16/2022,11/16/2022,M04,80.2,T I-II-III-IV-V-VI-VII-VIII,CROPS DETER ,Fatty Acids-Potassium Soap,L,17/11/22,0.06,1140,Powder,Mechanized,1523.8,3800
11/17/2022,11/17/2022,M03,64.19,T I-IV-III-L83-84-85-86-87-88A-88B-89-90-91-92,BEAUVESOL ,Beauveria bassiana,L,18/11/22,0.45,8550,Coccus Viridis,Mechanized,1219.6,3800
11/17/2022,11/17/2022,M03,64.19,T I-IV-III-L83-84-85-86-87-88A-88B-89-90-91-92,CROPS COVER PLUS ,TRI SILOXANE ETOXILATE,L,18/11/22,0.06,1140,Adjuvant,Mechanized,1219.6,3800
11/17/2022,11/17/2022,M03,64.19,T I-IV-III-L83-84-85-86-87-88A-88B-89-90-91-92,ACIDO FOSFORICO,Phosphorus,KG,18/11/22,0.01,190,Acidifier,Mechanized,1219.6,3800
11/17/2022,11/17/2022,M03,0.52,L 91,BEAUVESOL ,Beauveria bassiana,L,18/11/22,0.45,8550,Coccus Viridis,Mechanized,9.88,3800
11/17/2022,11/17/2022,M03,0.52,L 91,CROPS COVER PLUS ,TRI SILOXANE ETOXILATE,L,18/11/22,0.06,1140,Adjuvant,Mechanized,9.88,3800
11/17/2022,11/17/2022,M03,0.52,L 91,ACIDO FOSFORICO,Phosphorus,KG,18/11/22,0.01,190,Acidifier,Mechanized,9.88,3800
11/17/2022,11/17/2022,M03,0.52,L 91,ACE 20 SL,Acetamiprid,L,18/11/22,0.2,3800,Coccus Viridis,Mechanized,9.88,3800
11/17/2022,11/17/2022,M02,2.94,L 58-99,BEAUVESOL ,Beauveria bassiana,L,18/11/22,0.45,8550,Coccus Viridis,Mechanized,55.86,3800
11/17/2022,11/17/2022,M02,2.94,L 58-99,CROPS COVER PLUS ,TRI SILOXANE ETOXILATE,L,18/11/22,0.06,1140,Adjuvant,Mechanized,55.86,3800
11/17/2022,11/17/2022,M02,2.94,L 58-99,ACIDO FOSFORICO,Phosphorus,KG,18/11/22,0.01,190,Acidifier,Mechanized,55.86,3800
11/17/2022,11/17/2022,M01,50.66,T I-II-IIIL 31-32,BEAUVESOL ,Beauveria bassiana,L,18/11/22,0.45,8550,Coccus Viridis,Mechanized,962.54,3800
11/17/2022,11/17/2022,M01,50.66,T I-II-IIIL 31-32,CROPS COVER PLUS ,TRI SILOXANE ETOXILATE,L,18/11/22,0.06,1140,Adjuvant,Mechanized,962.54,3800
11/17/2022,11/17/2022,M01,50.66,T I-II-IIIL 31-32,ACIDO FOSFORICO,Phosphorus,KG,18/11/22,0.01,190,Acidifier,Mechanized,962.54,3800
11/18/2022,11/18/2022,M02,64.95,"T-I,II,III L-48,49A,49B,54,36,64A,64B",BEAUVESOL ,Beauveria bassiana,KG,19/11/22,0.45,9120,Coccus Viridis,Mechanized,1234.1,3800
11/18/2022,11/18/2022,M02,64.95,"T-I,II,III L-48,49A,49B,54,36,64A,64B",CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,19/11/22,0.06,1140,Adjuvant,Mechanized,1234.1,3800
11/18/2022,11/18/2022,M02,64.95,"T-I,II,III L-48,49A,49B,54,36,64A,64B",ACIDO FOSFORICO,Phosphorus,KG,19/11/22,0.01,190,Acidifier,Mechanized,1234.1,3800
11/18/2022,11/18/2022,M07,51.31,"T-I,II,III,IV,V,VI",BEAUVESOL ,Beauveria bassiana,KG,19/11/22,0.45,9120,Coccus Viridis,Mechanized,974.9,3800
11/18/2022,11/18/2022,M07,51.31,"T-I,II,III,IV,V,VI",CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,19/11/22,0.06,380,Adjuvant,Mechanized,974.9,3800
11/18/2022,11/18/2022,M07,51.31,"T-I,II,III,IV,V,VI",ACIDO FOSFORICO,Phosphorus,KG,19/11/22,0.01,190,Acidifier,Mechanized,974.9,3800
11/18/2022,11/18/2022,M11,1.42,L 10000,BEAUVESOL ,Beauveria bassiana,KG,19/11/22,0.45,9127,Coccus Viridis,Mechanized,27,3803
11/18/2022,11/18/2022,M11,1.42,L 10000,ACE 20 SL,Acetamiprid,L,19/11/22,0.2,3803,Coccus Viridis,Mechanized,27,3803
11/18/2022,11/18/2022,M11,1.42,L 10000,CROPS COVER PLUS,CROPS COVER PLUS,L,19/11/22,0.06,1141,Adjuvant,Mechanized,27,3803
11/18/2022,11/18/2022,M11,1.42,L 10000,ACIDO FOSFORICO,Phosphorus,KG,19/11/22,0.01,190,Acidifier,Mechanized,27,3803
11/18/2022,11/18/2022,M01,6,L31-33,BEAUVESOL ,Beauveria bassiana,KG,19/11/22,0.45,8550,Coccus Viridis,Mechanized,10.8,360
11/18/2022,11/18/2022,M01,6,L31-33,CROPS COVER PLUS,CROPS COVER PLUS,L,19/11/22,0.06,1140,Adjuvant,Mechanized,10.8,360
11/18/2022,11/18/2022,M01,6,L 31.33,ACIDO FOSFORICO,Phosphorus,KG,19/11/22,0.01,190,Acidifier,Mechanized,10.8,360
11/18/2022,11/19/2022,M08,51.37,T I-II-III-IV-V-VI,ACE 20 SL,Acetamiprid,L,25/12/22,0.2,3800,Coccus Viridis,Mechanized,976,3800
11/18/2022,11/19/2022,M08,51.37,T I-II-III-IV-V-VI,CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,25/12/22,0.06,1140,Adjuvant,Mechanized,976,3800
11/18/2022,11/19/2022,M09,53.15,T I-II-III-IV-V-VI-VII,ACE 20 SL,Acetamiprid,L,25/12/22,0.2,3800,Coccus Viridis,Mechanized,1009.9,3800
11/18/2022,11/19/2022,M09,53.15,T I-II-III-IV-V-VI-VII,CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,20/11/22,0.06,1140,Adjuvant,Mechanized,1009.9,3800
11/18/2022,11/21/2022,M03,1.05,L 93-94-95-98,CROPS DETER ,Fatty Acids-Potassium Soap,L,22/11/22,0.06,1143,Powder,Mechanized,20,3810
11/21/2022,11/21/2022,M10,33.71,T I-II-III-IV-V,ACE 20 SL,Acetamiprid,L,27/12/22,0.2,3350,Bug ,Mechanized,564.6,3350
11/21/2022,11/21/2022,M10,33.71,T I-II-III-IV-V,CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,22/11/22,0.06,1005,Adjuvant,Mechanized,564.6,3350
11/21/2022,11/21/2022,M06,67.4,T II-III-IV-V-VI-L168-169-170A-171-173,ACE 20 SL,Acetamiprid,L,27/12/22,0.2,3800,Bug ,Mechanized,1280.6,3800
11/21/2022,11/21/2022,M06,67.4,T II-III-IV-V-VI-L168-169-170A-171-173,CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,27/12/22,0.06,1140,Adjuvant,Mechanized,1280.6,3800
11/21/2022,11/22/2022,M04,1.05,L 107-117-123-130-134A-140A,CROPS DETER ,Fatty Acids-Potassium Soap,L,23/11/22,0.06,1143,Powder,Mechanized,20,3810
11/22/2022,11/22/2022,M10,35.86,"T-VI,VII,VIII",ACE 20 SL,Acetamiprid,L,28/12/22,0.2,3350,Avocado Bug (55),Mechanized,600.7,3350
11/22/2022,11/22/2022,M10,35.86,"T-VI,VII,VIII",CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,23/11/22,0.06,1005,Adjuvant (60),Mechanized,600.7,3350
11/22/2022,11/22/2022,M07,51.31,"T-I,II,III,IV,V,VI",ACE 20 SL,Acetamiprid,L,28/12/22,0.2,3800,Avocado Bug (55),Mechanized,974.9,3800
11/22/2022,11/22/2022,M07,51.31,"T-I,II,III,IV,V,VI",CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,23/11/22,0.06,1140,Adjuvant (60),Mechanized,974.9,3800
11/22/2022,11/22/2022,M05,20.12,"T-IV,V L-155",ACE 20 SL,Acetamiprid,L,28/12/22,0.2,3800,Avocado Bug (55),Mechanized,382.3,3800
11/22/2022,11/22/2022,M05,20.12,"T-IV,V L-155",FINESSE 50 WG,Emamectin benzoate,KG,23/11/22,0.07,1330,Basket Bug (54),Mechanized,382.3,3800
11/22/2022,11/22/2022,M05,20.12,"T-IV,V L-155",CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,23/11/22,0.06,1140,Adjuvant (60),Mechanized,382.3,3800
11/22/2022,11/22/2022,M10,0.4,L 325 CITRICOS,ACE 20 SL,Acetamiprid,L,28/12/22,0.2,2500,Coccus Viridis (17),Mechanized,5,2500
11/22/2022,11/22/2022,M10,0.4,L 325 CITRICOS,CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,23/11/22,0.06,750,Adjuvant (60),Mechanized,5,2500
11/22/2022,11/22/2022,M04,1.75,"L-110A,110B,114,120",ACE 20 SL,Acetamiprid,L,28/12/22,0.2,3806,Coccus Viridis (17),Mechanized,33.3,3800
11/22/2022,11/22/2022,M04,1.75,"L-110A,110B,114,120",CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,23/11/22,0.04,761,Adjuvant (60),Mechanized,33.3,3800
11/22/2022,11/22/2022,M04,1.55,"L-110A,110B,114,120",ACE 20 SL,Acetamiprid,L,28/12/22,0.2,3806,Coccus Viridis (17),Mechanized,29.5,3800
11/22/2022,11/22/2022,M04,1.55,"L-110A,110B,114,120",CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,23/11/22,0.05,952,Adjuvant (60),Mechanized,29.5,3800
11/22/2022,11/22/2022,M04,1.55,"L-110A,110B,114,120",ACE 20 SL,Acetamiprid,L,28/12/22,0.2,3806,Coccus Viridis (17),Mechanized,29.5,3800
11/22/2022,11/22/2022,M04,1.55,"L-110A,110B,114,120",CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,23/11/22,0.06,1142,Adjuvant (60),Mechanized,29.5,3800
11/22/2022,11/22/2022,M04,1.55,"L-110A,110B,114,120",ACE 20 SL,Acetamiprid,L,28/12/22,0.2,3806,Coccus Viridis (17),Mechanized,29.5,3800
11/22/2022,11/22/2022,M04,1.55,"L-110A,110B,114,120",CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,23/11/22,0.08,1523,Adjuvant (60),Mechanized,29.5,3800
11/22/2022,11/22/2022,M04,1.55,"L-110A,110B,114,120",ACE 20 SL,Acetamiprid,L,28/12/22,0.2,3806,Coccus Viridis (17),Mechanized,29.5,3800
11/22/2022,11/22/2022,M04,1.55,"L-110A,110B,114,120",CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,23/11/22,0.1,1903,Adjuvant (60),Mechanized,29.5,3800
11/22/2022,11/28/2022,M11,18.79,L-10001 AL 10025,PYRIPROX 10CE,Pyriproxyfen ,L,29/12/22,0.2,1800,Avocado Bug (55),Mechanized,169.1,1800
11/23/2022,11/23/2022,M05,35.38,"T-I,II,VI L-146,148,151",ACE 20 SL,Acetamiprid,L,29/12/22,0.2,3800,Avocado Bug (55),Mechanized,672.2,3800
11/23/2022,11/23/2022,M05,35.38,"T-I,II,VI L-146,148,151",FINESSE 50 WG,Emamectin benzoate,KG,24/11/22,0.07,1330,Basket Bug (54),Mechanized,672.2,3800
11/23/2022,11/23/2022,M05,35.38,"T-I,II,VI L-146,148,151",CROPS COVER,TRI SILOXANE ETOXILATE,L,24/11/22,0.06,1140,Adjuvant (60),Mechanized,672.2,3800
11/23/2022,11/23/2022,M04,72.25,"T-I,II,IV,V,VI,VII,VIII",ACE 20 SL,Acetamiprid,L,29/12/22,0.2,3800,Avocado Bug (55),Mechanized,1372.8,3800
11/23/2022,11/23/2022,M04,72.25,"T-I,II,IV,V,VI,VII,VIII",FINESSE 50 WG,Emamectin benzoate,KG,24/11/22,0.07,1330,Basket Bug (54),Mechanized,1372.8,3800
11/23/2022,11/23/2022,M04,72.25,"T-I,II,IV,V,VI,VII,VIII",CROPS COVER,TRI SILOXANE ETOXILATE,L,24/11/22,0.06,1140,Adjuvant (60),Mechanized,1372.8,3800
11/23/2022,11/23/2022,M03,4.7,"L-98,102,106",ACE 20 SL,Acetamiprid,L,29/12/22,0.2,3800,Avocado Bug (55),Mechanized,89.3,3800
11/23/2022,11/23/2022,M03,4.7,"L-98,102,106",FINESSE 50 WG,Emamectin benzoate,KG,24/11/22,0.07,1330,Basket Bug (54),Mechanized,89.3,3800
11/23/2022,11/23/2022,M03,4.7,"L-98,102,106",CROPS COVER,TRI SILOXANE ETOXILATE,L,24/11/22,0.06,1140,Adjuvant (60),Mechanized,89.3,3800
11/23/2022,11/23/2022,M06,1.82,"L-170B,170C,172",ACE 20 SL,Acetamiprid,L,29/12/22,0.2,1802,Avocado Bug (55),Mechanized,16.4,1800
11/23/2022,11/23/2022,M06,1.82,"L-170B,170C,172",CROPS COVER,TRI SILOXANE ETOXILATE,L,24/11/22,0.04,360,Adjuvant (60),Mechanized,16.4,1800
11/24/2022,11/24/2022,M03,60.01,"T-I,II,III L-94,97,101,105",ACE 20 SL,Acetamiprid,L,30/12/22,0.2,3800,Avocado Bug (55),Mechanized,1140.2,3800
11/24/2022,11/24/2022,M03,60.01,"T-I,II,III L-94,97,101,105",FINESSE 50 WG,Emamectin benzoate,KG,25/11/22,0.07,1330,Basket Bug (54),Mechanized,1140.2,3800
11/24/2022,11/24/2022,M03,60.01,"T-I,II,III L-94,97,101,105",ORGANOSILICONE SURFACTANT 208,Polyether + Polymethysiloxano,L,25/11/22,0.06,1140,Adjuvant (60),Mechanized,1140.2,3800
11/24/2022,11/24/2022,M02,2.94,"L-58,99",ACE 20 SL,Acetamiprid,L,30/12/22,0.2,3803,Avocado Bug (55),Mechanized,55.9,3800
11/24/2022,11/24/2022,M02,2.94,"L-58,99",FINESSE 50 WG,Emamectin benzoate,KG,25/11/22,0.07,1331,Basket Bug (54),Mechanized,55.9,3800
11/24/2022,11/24/2022,M02,2.94,"L-58,99",ORGANOSILICONE SURFACTANT 208,Polyether + Polymethysiloxano,L,25/11/22,0.06,1141,Adjuvant (2),Mechanized,55.9,3800
11/24/2022,11/24/2022,M01,34.22,"T-II,III",ACETAMIPRID 20 SL,Acetamiprid,L,30/12/22,0.2,3800,Avocado Bug (55),Mechanized,650.2,3800
11/24/2022,11/24/2022,M01,34.22,"T-II,III",FINESSE 50 WG,Emamectin benzoate,KG,25/11/22,0.07,1330,Basket Bug (54),Mechanized,650.2,3800
11/24/2022,11/24/2022,M01,34.22,"T-II,III",ORGANOSILICONE SURFACTANT 208,Polyether + Polymethysiloxano,L,25/11/22,0.06,1140,Adjuvant (34),Mechanized,650.2,3800
11/25/2022,11/25/2022,M01,22.44,T-I,ACETAMIPRID 20 SL,Acetamiprid,L,31/12/22,0.2,3800,Avocado Bug (55),Mechanized,426.4,3800
11/25/2022,11/25/2022,M01,22.44,T-I,FINESSE 50 WG,Emamectin benzoate,KG,26/11/22,0.07,1330,Basket Bug (54),Mechanized,426.4,3800
11/25/2022,11/25/2022,M01,22.44,T-I,ORGANOSILICONE SURFACTANT 208,Polyether + Polymethysiloxano,L,26/11/22,0.06,1140,Adjuvant (2),Mechanized,426.4,3800
11/25/2022,11/25/2022,M02,64.95,"T-I,II,III L-48,49A,49B,54,59,64A,64B",ACETAMIPRID 20 SL,Acetamiprid,L,31/12/22,0.2,3800,Avocado Bug (55),Mechanized,1234.1,3800
11/25/2022,11/25/2022,M02,64.95,"T-I,II,III L-48,49A,49B,54,59,64A,64B",FINESSE 50 WG,Emamectin benzoate,KG,26/11/22,0.07,1330,Basket Bug (54),Mechanized,1234.1,3800
11/25/2022,11/25/2022,M02,64.95,"T-I,II,III L-48,49A,49B,54,59,64A,64B",ORGANOSILICONE SURFACTANT 208,Polyether + Polymethysiloxano,L,26/11/22,0.06,1140,Adjuvant (2),Mechanized,1234.1,3800
11/28/2022,11/30/2022,M10,1.79,"L-291,292,268,269,316,324B",CROPS DETER,Fatty Acids - Potassium Soap,L,01/12/22,0.02,335,Powder,Mechanized,30,3352
11/29/2022,11/30/2022,M10,5.97,"L-271,272,273,274,278,279,280,281,282",CROPS DETER,Fatty Acids - Potassium Soap,L,01/12/22,0.01,168,Powder,Mechanized,100,3350
11/30/2022,12/1/2022,M04,0.52,"L-109,113,119B",CROPS DETER,Fatty Acids - Potassium Soap,L,02/12/22,0.06,1142,Powder,Mechanized,9.9,3808
11/30/2022,11/30/2022,M09,0.52,"L-227,231,233",CROPS DETER,Fatty Acids - Potassium Soap,L,01/12/22,0.06,1142,Powder,Mechanized,9.9,3808
11/30/2022,12/2/2022,M11,18.79,L-10001 AL 10025,ETOXACROP 112 SC,Etoxazol ,L,18/12/22,0.06,540,Brown Spider (46),Mechanized,169.1,1800
11/30/2022,12/2/2022,M11,18.79,L-10001 AL 10025,CROPS DETER,Fatty Acids - Potassium Soap,L,03/12/22,0.06,540,Powder,Mechanized,169.1,1800
11/30/2022,12/2/2022,M11,18.79,L-10001 AL 10025,FINESSE 50 WG,Emamectin benzoate,KG,06/12/22,0.07,630,Basket Bug (54),Mechanized,169.1,1800
12/1/2022,12/1/2022,M04,0.52,"L-109,113,119B",CROPS DETER,Fatty Acids - Potassium Soap,L,02/12/22,0.08,1523,Powder,Mechanized,9.9,3808
12/1/2022,12/1/2022,M11,1.42,L-10000,PYRIPROX 10 CE,Pyriproxyfen ,L,01/01/23,0.2,2197,Avocado Bug (55),Mechanized,15.6,2200
12/1/2022,12/1/2022,M11,1.42,L-10000,CROPS DETER,Fatty Acids - Potassium Soap,L,02/12/22,0.06,659,Powder,Mechanized,15.6,2197
12/1/2022,12/1/2022,M11,1.42,L-10000,FINESSE 50 WG,Emamectin benzoate,KG,05/12/22,0.07,769,Basket Bug (54),Mechanized,15.6,2200
12/2/2022,12/2/2022,M10,70.24,"T-I,II,III,IV,V,VI,VI,VIII",CROPS DETER,Fatty Acids - Potassium Soap,L,03/12/22,0.06,1005,Powder,Mechanized,1176.5,3350
12/2/2022,12/2/2022,M09,53.15,"T-I,II,III,IV,V,VI,VII",CROPS DETER,Fatty Acids - Potassium Soap,L,03/12/22,0.06,1140,Powder,Mechanized,1010,3801
12/2/2022,12/2/2022,M08,11.76,T-IV,CROPS DETER,Fatty Acids - Potassium Soap,L,03/12/22,0.06,1140,Powder,Mechanized,223.4,3799
12/2/2022,12/3/2022,M08,39.61,"T-I,II,III,V,VI,VII",CROPS DETER,Fatty Acids - Potassium Soap,L,04/12/22,0.06,1140,Powder,Mechanized,752.6,3800
12/2/2022,12/3/2022,M06,67.4,"T-II,III,IV,V,VI L-168,169,170A, 171,173",CROPS DETER,Fatty Acids - Potassium Soap,L,04/12/22,0.06,1140,Powder,Mechanized,1280.6,3800
12/2/2022,12/3/2022,M06,1.82,"L-170B,170C,172",CROPS DETER,Fatty Acids - Potassium Soap,L,04/12/22,0.06,541,Powder,Mechanized,16.4,1802
12/2/2022,12/3/2022,M07,26.52,"T-IV,V,VI",CROPS DETER,Fatty Acids - Potassium Soap,L,04/12/22,0.06,1140,Powder,Mechanized,503.9,3800
12/5/2022,12/5/2022,M04,68.07,T I-II-III-IV-V-VI-VII-VIII,CROPS DETER,Fatty Acids - Potassium Soap,L,06/12/22,0.06,114,Powder,Mechanized,129.33,380
12/5/2022,12/5/2022,M07,24.79,T I-II-III,CROPS DETER,Fatty Acids - Potassium Soap,L,06/12/22,0.06,1140,Powder,Mechanized,471,3800
12/5/2022,12/5/2022,M05,55.5,T I-II-III-IV-V-VI,CROPS DETER,Fatty Acids - Potassium Soap,L,06/12/22,0.06,1140,Powder,Mechanized,1054.5,3800
12/6/2022,12/6/2022,M01,22.44,T I,CROPS DETER,Fatty Acids - Potassium Soap,L,07/12/22,0.06,1140,Powder,Mechanized,426.4,3800
12/6/2022,12/6/2022,M02,32.36,T III-IV,CROPS DETER,Fatty Acids - Potassium Soap,L,07/12/22,0.06,1140,Powder,Mechanized,614.8,3800
12/6/2022,12/6/2022,M03,40.61,T I-II,CROPS DETER,Fatty Acids - Potassium Soap,L,07/12/22,0.06,1140,Powder,Mechanized,771.6,3800
12/6/2022,12/6/2022,M03,24.1,T III-IV,CROPS DETER,Fatty Acids - Potassium Soap,L,07/12/22,0.08,1520,Powder,Mechanized,457.9,3800
12/6/2022,12/6/2022,M04,12.13,T IV,CROPS DETER,Fatty Acids - Potassium Soap,L,07/12/22,0.08,1520,Powder,Mechanized,230.5,3800
12/7/2022,12/7/2022,M01,34.22,T II-III,CROPS DETER,Fatty Acids - Potassium Soap,L,08/12/22,0.07,1330,Powder,Mechanized,650.18,3800
12/7/2022,12/7/2022,M02,35.53,T I-II,CROPS DETER,Fatty Acids - Potassium Soap,L,08/12/22,0.07,1330,Powder,Mechanized,675.07,3800
12/7/2022,12/7/2022,M09,29.63,T IV-V-V-VI,STILETTO 20SC,Fenazaquin ,L,08/12/22,0.1,1900,Brown Spider,Mechanized,562.97,3800
12/7/2022,12/7/2022,M09,29.63,T IV-V-V-VI,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,08/12/22,0.02,380,Adjuvant,Mechanized,562.97,3800
12/7/2022,12/7/2022,M09,23.52,T I-II-III,MILBEKNOCK 1% EC,Milbemectin,L,08/12/22,0.15,2850,Brown Spider,Mechanized,446.88,3800
12/7/2022,12/7/2022,M09,23.52,T I-II-III,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,08/12/22,0.02,380,Adjuvant,Mechanized,446.88,3800
12/8/2022,12/8/2022,M10,70.24,T I-II-III-IV-V-VI-VII-VIII,MILBEKNOCK 1% EC,Milbemectin,L,09/12/22,0.15,2513,Brown Spider,Mechanized,1176.52,3350
12/8/2022,12/8/2022,M10,70.24,T I-II-III-IV-V-VI-VII-VIII,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,09/12/22,0.02,335,Adjuvant,Mechanized,1176.52,3350
12/8/2022,12/8/2022,M08,51.37,T I-II-III-IV-V-VI,MILBEKNOCK 1% EC,Milbemectin,L,09/12/22,0.15,2850,Brown Spider,Mechanized,976.03,3800
12/8/2022,12/8/2022,M08,51.37,T I-II-III-IV-V-VI,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,09/12/22,0.02,380,Adjuvant,Mechanized,976.03,3800
12/10/2022,12/10/2022,M06,67.4,T II-III-IV-V-VI-L168-169-170A-171-173,MILBEKNOCK 1% EC,Milbemectin,L,11/12/22,0.15,2850,Brown Spider,Mechanized,1280.6,3800
12/10/2022,12/10/2022,M06,67.4,T II-III-IV-V-VI-L168-169-170A-171-173,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,11/12/22,0.02,380,Adjuvant,Mechanized,1280.6,3800
12/10/2022,12/10/2022,M06,1.82,L 170B-170C-172,MILBEKNOCK 1% EC,Milbemectin,L,11/12/22,0.15,1350,Brown Spider,Mechanized,16.38,1800
12/10/2022,12/10/2022,M06,1.82,L 170B-170C-172,ORGANOSILICONE SURFACTANT 208,TRI SILOXANE ETOXILATE,L,11/12/22,0.02,180,Adjuvant,Mechanized,16.38,1800
12/10/2022,12/10/2022,M07,51.31,T I-II-III-IV-V-VI,MILBEKNOCK 1% EC,Milbemectin,L,11/12/22,0.15,2850,Brown Spider,Mechanized,974.89,3800
