Event Date,Person,Total,Date,First Payment,Payment Method,Date,Second Payment,Payment Method,Remaining,Event Type,Number of People,Start Time,End Time,Number of Hours
12/14/2019,KDV,"$ 35,000.00",7/29/2019,"$ 35,000.00",Cash,,,,$ 0.00,Marriage,100,19:00:00,2:00:00,
12/21/2019,RM,"$ 10,000.00",12/21/2019,"$ 10,000.00",Cash,,,,$ 0.00,Birthday,60,12:00:00,17:00:00,5:00:00
12/22/2019,EL,"$ 4,000.00",12/22/2019,"$ 4,000.00",Cash,,,,$ 0.00,Birthday,80,12:00:00,17:00:00,5:00:00
1/11/2020,MP,"$ 18,000.00",11/5/2019,"$ 18,000.00",Cash,,,,$ 0.00,Baptism,115,19:00:00,2:00:00,
1/25/2020,MM,"$ 45,000.00",11/20/2019,"$ 45,000.00",Cash,,,,$ 0.00,Marriage,80,21:00:00,2:00:00,
2/7/2020,SMD,"$ 45,000.00",1/2/2020,"$ 45,000.00",Cash,,,,$ 0.00,Marriage,60,21:00:00,2:00:00,
2/23/2020,FR,"$ 40,500.00",5/15/2019,"$ 40,500.00",Cash,,,,$ 0.00,Marriage,100,21:00:00,2:00:00,
2/14/2021,JZ,"$ 3,600.00",12/18/2020,"$ 3,600.00",Cash,,,,$ 0.00,Birthday,40,12:00:00,17:00:00,5:00:00
3/6/2021,SP,"$ 60,000.00",6/5/2020,"$ 25,000.00",Transfer,6/6/2020,"$ 35,000.00",Transfer,$ 0.00,Marriage,90,21:00:00,2:00:00,
8/7/2021,MG,"$ 8,000.00",8/7/2021,"$ 8,000.00",Transfer,,,,$ 0.00,Birthday,40,,,
9/18/2021,CN,"$ 10,000.00",9/18/2021,"$ 10,000.00",Cash,,,,$ 0.00,Afro party,40,12:00:00,17:00:00,5:00:00
9/24/2021,JG,"$ 5,000.00",9/24/2021,"$ 5,000.00",Transfer,,,,$ 0.00,15th birthday party,20,21:00:00,2:00:00,
10/2/2021,GD,"$ 25,000.00",,"$ 12,500.00",Cash,9/23/2021,"$ 12,500.00",Cash,$ 0.00,Baptism,60,12:00:00,17:00:00,5:00:00
10/8/2021,APP,"$ 14,000.00",6/1/2020,"$ 14,000.00",Transfer,,,,$ 0.00,Marriage,75,21:00:00,2:00:00,
10/17/2021,EM,"$ 25,000.00",9/24/2021,"$ 25,000.00",Transfer,,,,$ 0.00,Birthday,60,19:00:00,2:00:00,
10/30/2021,CR,"$ 18,000.00",10/24/2021,"$ 18,000.00",Transfer,,,,$ 0.00,15th birthday party,100,19:00:00,2:00:00,
11/6/2021,NND,"$ 20,000.00",9/16/2020,"$ 20,000.00",Cash,,,,$ 0.00,Marriage,100,12:00:00,17:00:00,5:00:00
11/13/2021,SF,"$ 63,000.00",9/16/2020,"$ 63,000.00",Cash,,,,$ 0.00,Marriage,50,12:00:00,17:00:00,5:00:00
11/18/2021,JM,"$ 7,000.00",7/18/2021,"$ 7,000.00",Transfer,,,,$ 0.00,University graduates,50,21:00:00,2:00:00,
11/26/2021,MGB,"$ 80,000.00",3/9/2021,"$ 80,000.00",Cash,,,,$ 0.00,15th birthday party,70,19:00:00,2:00:00,
11/27/2021,FM,"$ 82,000.00",1/22/2021,"$ 82,000.00",Cash,,,,$ 0.00,Marriage,80,19:00:00,3:00:00,
11/28/2021,CLP,"$ 25,000.00",9/19/2021,"$ 13,000.00",Transfer,10/20/2021,"$ 12,000.00",Transfer,$ 0.00,Kindergarten graduates,60,12:00:00,17:00:00,5:00:00
12/4/2021,PB,"$ 70,000.00",4/22/2020,"$ 35,000.00",Transfer,6/22/2020,"$ 35,000.00",Transfer,$ 0.00,Marriage,80,21:00:00,4:00:00,
12/10/2021,LG,"$ 25,000.00",10/26/2021,"$ 4,500.00",Transfer,12/10/2021,"$ 20,500.00",Transfer,$ 0.00,Birthday,60,19:00:00,2:00:00,
12/11/2021,NG,"$ 80,000.00",8/26/2021,"$ 40,000.00",Transfer,10/1/2021,"$ 40,000.00",Transfer,$ 0.00,15th birthday party,80,19:00:00,2:00:00,
12/13/2021,MCP,"$ 30,000.00",12/7/2021,"$ 30,000.00",Cash,,,,$ 0.00,Kindergarten graduates,100,19:00:00,0:00:00,
12/18/2021,AA,"$ 60,000.00",10/5/2021,"$ 30,000.00",Cash,11/5/2021,"$ 30,000.00",Cash,$ 0.00,Birthday,60,20:00:00,1:00:00,
12/26/2021,SP,"$ 30,000.00",12/6/2021,"$ 15,000.00",Cash,12/27/2021,"$ 15,000.00",Cash,$ 0.00,Lunch,40,12:00:00,17:00:00,5:00:00
1/8/2022,CS,"$ 23,750.00",8/30/2021,"$ 23,750.00",Transfer,,,,$ 0.00,Birthday,70,16:30:00,23:30:00,7:00:00
1/22/2022,JPD,"$ 85,500.00",7/4/2021,"$ 85,500.00",Transfer,,,,$ 0.00,Marriage,140,19:00:00,2:00:00,
1/23/2022,EC,"$ 30,000.00",10/9/2021,"$ 15,000.00",Cash,11/4/2021,"$ 15,000.00",Cash,$ 0.00,Birthday,60,16:00:00,21:00:00,5:00:00
1/28/2022,AD,"$ 113,000.00",10/28/2021,"$ 95,000.00",Cash,1/25/2022,"$ 18,000.00",Cash,$ 0.00,Marriage,100,19:00:00,2:00:00,
2/11/2022,MM,"$ 40,000.00",1/18/2022,"$ 20,000.00",Cash,2/11/2022,"$ 20,000.00",Cash,$ 0.00,Birthday,60,20:00:00,2:00:00,
2/12/2022,AB,"$ 95,000.00",9/18/2021,"$ 95,000.00",Cash,,,,$ 0.00,Marriage,80,19:00:00,2:00:00,
2/19/2022,NF,"$ 95,000.00",10/14/2021,"$ 50,000.00",Transfer,11/27/2021,"$ 45,000.00",Transfer,$ 0.00,Marriage,100,19:00:00,2:00:00,
2/20/2022,EW,"$ 99,000.00",1/15/2022,"$ 39,000.00",Transfer,2/6/2022,"$ 60,000.00",Transfer,$ 0.00,15th birthday party,100,19:00:00,2:00:00,
3/5/2022,AC,"$ 100,000.00",10/31/2021,"$ 50,000.00",Transfer,11/30/2021,"$ 50,000.00",Transfer,$ 0.00,Marriage,120,19:00:00,2:00:00,
3/12/2022,NP,"$ 120,000.00",2/1/2022,"$ 60,000.00",Transfer,3/6/2022,"$ 60,000.00",Transfer,$ 0.00,Marriage,80,21:00:00,3:00:00,
3/13/2022,PP,"$ 35,000.00",2/4/2022,"$ 17,500.00",Transfer,3/7/2022,"$ 17,500.00",Transfer,$ 0.00,Baptism,80,13:00:00,19:00:00,6:00:00
3/19/2022,RGP,"$ 90,250.00",8/4/2021,"$ 90,250.00",Transfer,,,,$ 0.00,15th birthday party,100,19:00:00,2:00:00,
3/26/2022,SV,"$ 30,000.00",12/6/2021,"$ 20,000.00",Cash,2/24/2022,"$ 10,000.00",Cash,$ 0.00,Birthday,60,13:00:00,18:00:00,5:00:00
4/3/2022,CB,"$ 8,000.00",4/3/2022,"$ 8,000.00",Cash,,,,$ 0.00,Afro class,30,14:00:00,18:00:00,4:00:00
4/9/2022,BM,"$ 40,000.00",1/29/2022,"$ 20,000.00",Cash,3/12/2022,"$ 20,000.00",Cash,$ 0.00,Birthday,100,12:00:00,17:00:00,5:00:00
4/15/2022,JA,"$ 36,000.00",4/15/2022,"$ 36,000.00",Transfer,,,,$ 0.00,Withdrawal,30,,,
4/23/2022,MD,"$ 7,400.00",9/18/2021,"$ 7,400.00",Transfer,,,,$ 0.00,Afro party,100,19:00:00,2:00:00,
5/7/2022,LF,"$ 40,000.00",4/4/2022,"$ 20,000.00",Cash,5/7/2022,"$ 20,000.00",Cash,$ 0.00,Birthday,40,12:00:00,17:00:00,5:00:00
5/21/2022,MF,"$ 36,000.00",4/8/2022,"$ 36,000.00",Cash,,,,$ 0.00,Birthday,40,12:00:00,16:00:00,4:00:00
5/28/2022,AJM,"$ 40,000.00",3/21/2022,"$ 20,000.00",Cash,4/3/2022,"$ 20,000.00",Cash,$ 0.00,Birthday,80,12:00:00,17:00:00,5:00:00
5/29/2022,SM,"$ 40,000.00",5/15/2022,"$ 40,000.00",Transfer,,,,$ 0.00,Farewell,60,12:00:00,17:00:00,5:00:00
6/12/2022,MS,"$ 40,000.00",4/6/2022,"$ 20,000.00",Cash,5/5/2022,"$ 20,000.00",Cash,$ 0.00,Birthday,80,12:00:00,17:00:00,5:00:00
7/8/2022,EM,"$ 45,000.00",5/21/2022,"$ 25,000.00",Cash,6/2/2022,"$ 20,000.00",Cash,$ 0.00,Marriage,40,13:00:00,18:00:00,5:00:00
7/16/2022,CG,"$ 50,000.00",2/23/2022,"$ 20,000.00",Cash,4/23/2022,"$ 30,000.00",Cash,$ 0.00,Birthday,60,12:00:00,19:00:00,7:00:00
7/22/2022,ML,"$ 110,000.00",5/8/2022,"$ 55,000.00",Cash,5/8/2022,"$ 55,000.00",Cash,$ 0.00,Marriage,90,12:00:00,19:00:00,7:00:00
7/31/2022,BF,"$ 81,600.00",5/23/2022,"$ 40,000.00",Cash,7/10/2022,"$ 41,600.00",Cash,$ 0.00,Birthday,80,13:00:00,18:00:00,5:00:00
8/6/2022,MU,"$ 30,000.00",8/6/2022,"$ 30,000.00",Transfer,,,,$ 0.00,Birthday,60,13:00:00,18:00:00,5:00:00
8/14/2022,NM,"$ 140,000.00",12/29/2021,"$ 70,000.00",Cash,1/19/2022,"$ 70,000.00",Cash,$ 0.00,Marriage,60,12:00:00,19:00:00,7:00:00
8/21/2022,CC,"$ 10,000.00",8/21/222,"$ 10,000.00",Transfer,,,,$ 0.00,Afro class,40,12:00:00,19:00:00,7:00:00
9/11/2022,CCA,"$ 55,000.00",8/25/2022,"$ 30,000.00",Cash,9/5/2022,"$ 25,000.00",Cash,$ 0.00,Birthday,50,12:00:00,19:00:00,7:00:00
9/24/2022,JS,"$ 30,000.00",9/5/2022,"$ 30,000.00",Cash,,,,$ 0.00,Birthday,60,12:00:00,17:00:00,5:00:00
9/25/2022,MF,"$ 40,000.00",9/25/2022,"$ 40,000.00",Transfer,,,,$ 0.00,Birthday,60,12:00:00,19:00:00,7:00:00
10/1/2022,MVM,"$ 55,000.00",8/16/2022,"$ 30,000.00",Cash,9/16/2022,"$ 25,000.00",Cash,$ 0.00,Birthday,50,13:00:00,18:00:00,5:00:00
10/2/2022,CDN,"$ 45,000.00",4/4/2022,"$ 45,000.00",Transfer,,,,$ 0.00,Birthday,80,12:00:00,19:00:00,7:00:00
10/8/2022,LA,"$ 50,000.00",7/12/2022,"$ 50,000.00",Transfer,,,,$ 0.00,Birthday,100,19:00:00,2:00:00,
10/15/2022,GA,"$ 50,000.00",6/19/2022,"$ 20,000.00",Cash,7/7/2022,"$ 30,000.00",Cash,$ 0.00,Birthday,60,13:00:00,18:00:00,5:00:00
10/29/2022,MLD,"$ 95,000.00",8/30/2022,"$ 47,500.00",Transfer,9/29/2022,"$ 47,500.00",Transfer,$ 0.00,Birthday,100,13:00:00,19:00:00,6:00:00
11/5/2022,LV,"$ 50,000.00",6/9/2022,"$ 25,000.00",Cash,7/16/2022,"$ 25,000.00",Cash,$ 0.00,Baptism,60,13:00:00,18:00:00,5:00:00
11/13/2022,DK,"$ 55,000.00",10/4/2022,"$ 28,000.00",Transfer,6/11/2022,"$ 27,000.00",Cash,$ 0.00,Birthday,60,12:00:00,17:00:00,5:00:00
11/19/2022,ML,"$ 185,000.00",11/9/2022,"$ 80,000.00",Cash,11/14/2022,"$ 105,000.00",Cash,$ 0.00,Marriage,100,19:00:00,2:00:00,
11/20/2022,MD,"$ 140,000.00",12/1/2021,"$ 70,000.00",Transfer,12/29/2021,"$ 70,000.00",Transfer,$ 0.00,Marriage,90,19:00:00,2:00:00,
11/22/2022,SL,"$ 50,000.00",2/8/2022,"$ 25,000.00",Cash,3/11/2022,"$ 25,000.00",Cash,$ 0.00,Marriage,50,12:00:00,17:00:00,5:00:00
11/26/2022,MEB,"$ 150,000.00",6/15/2022,"$ 75,000.00",Transfer,7/7/2022,"$ 75,000.00",Transfer,$ 0.00,Marriage,100,19:00:00,2:00:00,
12/2/2022,MGL,"$ 90,000.00",8/15/2022,"$ 45,000.00",Transfer,9/18/2022,"$ 45,000.00",Transfer,$ 0.00,25 years wedding celebration,100,21:00:00,3:00:00,
12/3/2022,PM,"$ 95,000.00",9/11/2022,"$ 47,500.00",Cash,11/9/2022,"$ 47,500.00",Cash,$ 0.00,Birthday,70,20:00:00,2:00:00,
12/4/2022,CR,"$ 110,000.00",4/12/2022,"$ 110,000.00",Transfer,,,,$ 0.00,Afro party,500,17:00:00,1:00:00,
12/10/2022,VS,"$ 150,000.00",4/23/2022,"$ 75,000.00",Transfer,5/22/2022,"$ 75,000.00",Transfer,$ 0.00,Marriage,100,19:00:00,2:00:00,
1/7/2023,VM,"$ 70,000.00",11/4/2022,"$ 35,000.00",Transfer,12/13/2022,"$ 35,000.00",Transfer,$ 0.00,Birthday,60,17:00:00,21:00:00,4:00:00
1/14/2023,JG,"$ 50,000.00",,"$ 50,000.00",Cash,,,,$ 0.00,Birthday,60,13:00:00,18:00:00,5:00:00
2/4/2023,FLG,"$ 195,000.00",10/15/2022,"$ 97,500.00",Transfer,11/10/2022,"$ 97,500.00",Transfer,$ 0.00,Marriage,60,19:00:00,2:00:00,
2/18/2023,MSL,"$ 205,000.00",4/2/2022,"$ 102,500.00",Transfer,5/16/2022,"$ 102,500.00",Transfer,$ 0.00,Marriage,100,19:00:00,3:00:00,
2/19/2023,NS,"$ 95,000.00",11/13/2022,"$ 47,500.00",Cash,2/1/2023,"$ 47,500.00",Transfer,$ 0.00,Birthday,100,19:00:00,2:00:00,
2/25/2023,SM,"$ 185,000.00",4/1/2022,"$ 92,500.00",Cash,5/28/2022,"$ 92,500.00",Cash,$ 0.00,Marriage,80,12:00:00,18:00:00,6:00:00
3/3/2023,AP,"$ 200,000.00",12/3/2022,"$ 100,000.00",Transfer,12/26/2022,"$ 100,000.00",Cash,$ 0.00,Marriage,120,19:00:00,2:00:00,
3/4/2023,MJP,"$ 190,000.00",7/13/2022,"$ 95,000.00",Cash,8/10/2022,"$ 95,000.00",Cash,$ 0.00,Marriage,70,19:00:00,2:00:00,
3/5/2023,AC,"$ 75,000.00",8/16/2022,"$ 35,000.00",Cash,9/7/2022,"$ 40,000.00",Cash,$ 0.00,Baptism,60,12:00:00,18:00:00,6:00:00
3/11/2023,LP,"$ 185,000.00",3/25/2022,"$ 92,500.00",Transfer,4/17/2022,"$ 92,500.00",Transfer,$ 0.00,Marriage,90,13:00:00,20:00:00,7:00:00
3/18/2023,AZ,"$ 150,000.00",10/31/2022,"$ 150,000.00",Cash,,,,$ 0.00,Marriage,150,19:00:00,2:00:00,
3/23/2023,TG,"$ 50,000.00",3/16/2023,"$ 50,000.00",Cash,,,,$ 0.00,Birthday,70,19:00:00,2:00:00,
3/24/2023,CD,"$ 120,000.00",2/26/2023,"$ 60,000.00",Cash,3/18/2023,"$ 60,000.00",Cash,$ 0.00,Birthday,80,19:00:00,2:00:00,
3/25/2023,BZ,"$ 50,000.00",1/27/2023,"$ 50,000.00",Cash,,,,$ 0.00,Birthday,50,13:00:00,18:00:00,5:00:00
4/1/2023,JMF,"$ 80,000.00",11/28/2022,"$ 40,000.00",Transfer,12/26/2022,"$ 40,000.00",Transfer,$ 0.00,Birthday,80,13:00:00,18:00:00,5:00:00
5/28/2023,AM,"$ 90,000.00",2/8/2023,"$ 45,000.00",Transfer,3/8/2023,"$ 45,000.00",Transfer,$ 0.00,Birthday,60,13:00:00,18:00:00,5:00:00
6/3/2023,MR,"$ 90,000.00",3/1/2023,"$ 45,000.00",Transfer,6/3/2023,"$ 45,000.00",Transfer,$ 0.00,Birthday,60,13:00:00,18:00:00,5:00:00
6/10/2023,MFA,"$ 150,000.00",5/30/2023,"$ 150,000.00",Transfer,,,,$ 0.00,Birthday,80,21:00:00,2:30:00,
