Printify ID,Order Status,Date created,Sent to prod,Sales ID,Store name,Order type,Product Cost,Shipping Cost,VAT / Tax cost,Total cost,Currency,Order retail value,Shipping City,Shipping State,Shipping Zip Code,Tracking number,Tracking link,Shipping carrier,Invoices
5874055.236,fulfilled,11/18/2023 2:22,11/18/2023 3:34,3093280776,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,26.52 USD,Youngsville,PA,16371,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679663821328,USPS,
5874055.237,fulfilled,11/18/2023 16:50,11/18/2023 18:11,3084870089,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,34.08 USD,Arlington,VA,22207,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679665652128,USPS,
5874055.239,fulfilled,11/18/2023 22:37,11/18/2023 23:48,3094459140,Higher Ed Threads,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,36.82 USD,WEST COLUMBIA,SC,29169,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400116903325521063910,USPS,
5874055.238,fulfilled,11/18/2023 22:37,11/18/2023 23:47,3085575195,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,26.95 USD,Newington,CT,6111,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679665799946,USPS,
5874055.24,fulfilled,11/19/2023 1:31,11/19/2023 2:46,3085744847,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,30.21 USD,COVINGTON,WA,98042,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679665802745,USPS,
5874055.241,fulfilled,11/19/2023 1:31,11/19/2023 2:48,3094862398,Higher Ed Threads,api,4.37 USD,4.79 USD,0.00 USD,9.16,USD,15.00 USD,Fort Wright,KY,41011,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400111206209318993989,USPS,
5874055.242,fulfilled,11/19/2023 4:25,11/19/2023 5:34,3095029266,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,30.76 USD,WYOMING,NY,14591,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679666068782,USPS,
5874055.243,fulfilled,11/19/2023 16:00,11/19/2023 17:16,3095675348,Higher Ed Threads,api,11.07 USD,5.19 USD,0.00 USD,16.26,USD,29.00 USD,Chicago,IL,60630-1041,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679677472929,USPS,
5874055.244,fulfilled,11/20/2023 0:42,11/20/2023 1:58,3087369687,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.97 USD,Fort collins,CO,80528-8897,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679677808568,USPS,
5874055.246,fulfilled,11/20/2023 3:37,11/20/2023 4:42,3096694834,Higher Ed Threads,api,12.16 USD,4.75 USD,0.00 USD,16.91,USD,34.41 USD,MOUNTAIN VIEW,CA,94041,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679677169614,USPS,
5874055.245,fulfilled,11/20/2023 3:37,11/20/2023 4:41,3096718454,Higher Ed Threads,api,11.07 USD,5.19 USD,0.00 USD,16.26,USD,31.75 USD,Wilmington,DE,19804,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679677393569,USPS,
5874055.247,fulfilled,11/20/2023 6:30,11/20/2023 7:43,3096990666,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.97 USD,GOOSE CREEK,SC,29445,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679669600118,USPS,
5874055.248,fulfilled,11/20/2023 15:12,11/20/2023 16:26,3088084567,Higher Ed Threads,api,8.74 USD,4.86 USD,0.00 USD,13.6,USD,30.00 USD,Key West,FL,33040,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400111206209318960172,USPS,
5874055.249,fulfilled,11/21/2023 23:12,11/22/2023 2:23,3090758849,Higher Ed Threads,api,22.22 USD,9.50 USD,0.00 USD,31.72,USD,50.98 USD,Syracuse,NY,13224,9400136109679690553650 ; 9400136109679693801000,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679690553650 ; https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679693801000,USPS,
5874055.25,fulfilled,11/23/2023 21:48,11/23/2023 22:57,3093606001,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,33.73 USD,Chapel Hill,NC,27516,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679697362514,USPS,
5874055.251,fulfilled,11/24/2023 18:14,11/24/2023 19:28,3104182276,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,21.47 USD,ALEXANDRIA,VA,22307,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679705603745,USPS,
5874055.252,fulfilled,11/25/2023 0:04,11/25/2023 1:19,3096132971,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,Avon lake,OH,44012,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679711756879,USPS,
5874055.253,fulfilled,11/25/2023 0:04,11/25/2023 1:19,3105180364,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,Boulder,CO,80302-5638,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679710854675,USPS,
5874055.254,fulfilled,11/25/2023 2:59,11/25/2023 4:10,3105752436,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,27.40 USD,Lawrenceville,NJ,8648,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679709712405,USPS,
5874055.255,fulfilled,11/25/2023 5:55,11/25/2023 7:05,3096872107,Higher Ed Threads,api,18.66 USD,7.15 USD,0.00 USD,25.81,USD,55.08 USD,cleves,OH,45002-1394,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679711167835,USPS,
5874055.256,fulfilled,11/26/2023 16:58,11/26/2023 18:02,3108806122,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,36.82 USD,Needham,MA,2494,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679715550640,USPS,
5874055.257,fulfilled,11/26/2023 22:50,11/27/2023 0:08,3100724801,Higher Ed Threads,api,12.16 USD,4.75 USD,0.00 USD,16.91,USD,32.43 USD,Morrison,CO,80465-2176,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679734846946,USPS,
5874055.258,fulfilled,11/27/2023 4:41,11/27/2023 5:53,3101472725,Higher Ed Threads,api,23.96 USD,8.49 USD,0.00 USD,32.45,USD,55.53 USD,Long Beach,CA,90803,4.21E+29,https://webtrack.dhlecs.com/orders?trackingNumber=420908039261290316842303479597,DHL_eCommerce_Expedited,
5874055.259,fulfilled,11/27/2023 19:21,11/27/2023 21:58,3111559606,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,DUBLIN,OH,43017,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679734413223,USPS,
5874055.26,fulfilled,11/27/2023 22:17,11/28/2023 0:37,3112011426,Higher Ed Threads,api,21.87 USD,8.49 USD,0.00 USD,30.36,USD,54.40 USD,Loveland,CO,80537,4.21E+29,https://webtrack.dhlecs.com/orders?trackingNumber=420805379361211015300604847562,DHL_eCommerce_Expedited,
5874055.261,fulfilled,11/28/2023 4:18,11/28/2023 7:02,3113083810,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,22.03 USD,Midlothian,VA,23113,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679744893640,USPS,
5874055.262,fulfilled,11/28/2023 4:19,11/28/2023 7:02,3104426847,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,30.76 USD,CHICAGO,IL,60640-7921,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679745542868,USPS,
5874055.263,fulfilled,11/28/2023 18:51,11/28/2023 20:12,3105529143,Higher Ed Threads,api,21.87 USD,8.49 USD,0.00 USD,30.36,USD,54.40 USD,Mountain Top,PA,18707,4.20E+29,https://webtrack.dhlecs.com/orders?trackingNumber=420187079361211015300605116810,DHL_eCommerce_Expedited,
5874055.264,fulfilled,11/28/2023 18:51,11/28/2023 20:12,3114240582,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,24.70 USD,monticello,IL,61856,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679765473982,USPS,
5874055.265,fulfilled,11/28/2023 18:51,11/28/2023 20:12,3105445307,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,22.03 USD,UNIVERSITY PARK,PA,16802,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679757009489,USPS,
5874055.267,fulfilled,11/29/2023 3:40,11/29/2023 4:51,3115263142,Higher Ed Threads,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,34.48 USD,Jacksonville,FL,32246,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400116903325521486368,USPS,
5874055.266,fulfilled,11/29/2023 3:40,11/29/2023 4:51,3106438137,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,28.79 USD,Downingtown,PA,19335,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679774473485,USPS,
5874055.268,fulfilled,11/30/2023 20:50,11/30/2023 22:10,3109969525,Higher Ed Threads,api,11.04 USD,4.75 USD,0.00 USD,15.79,USD,44.82 USD,Portland,OR,97225,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679773473363,USPS,
5874055.269,fulfilled,11/30/2023 20:50,11/30/2023 22:09,3109718733,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,26.95 USD,RANDOLPH,NJ,7869,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679783895001,USPS,
