id,client,aynom,address,fee,equipment,model,identifier,port1,port1 serie,port1 modelo,port2,port2 serie,port2 modelo,portal,locality,zip code,charge date,discharge date,status,location
11,842306518,MAD .R.L.,PIRAGINE NIVEYRO 745,21,510353565,3497199,5010040,600225466,9131476,5000442,600225465,9131475,5000442,8041,Goya,3450,01.06.2010,31.12.9999,ALTA,10800842
12,020201308,CAS TONIO,AV. CD NEUSTAD 88,20,510357266,601029999,5012183,600228652,9134662,5000442,600228651,9134661,5000442,8041,Goya,3450,01.06.2010,31.12.9999,ALTA,10801020
13,227306394,TEL S.A.,CATAMARCA 1361/65,22,510228417,515191,5010490,,,,,,,8041,Goya,3450,01.06.2010,31.12.9999,ALTA,10801227
14,237306787,O. S.A.,AV. LIBERTADOR 3402,20,510390030,4323860,5013330,600330835,9161812,5000442,600330834,9161811,5000442,8041,Goya,3450,01.06.2010,31.12.9999,ALTA,10801237
15,407306476,CAS S.A.,CARLOS PELLEGRINI 451,22,510228518,515174,5010490,,,,,,,8041,Goya,3450,01.06.2010,31.12.9999,ALTA,10801407
16,377306451,AGU . (T),AV. 3 DE ABRIL 1280,20,510170995,1063233,5010224,,,,,,,8041,Goya,3450,01.06.2010,31.12.9999,ALTA,10800477
17,377306451,AGU . (T),AV. 3 DE ABRIL 1280,20,510248245,612000088,5010063,600028079,9012858,5000442,600028078,9012857,5000442,8041,Goya,3450,01.06.2010,31.12.9999,ALTA,10800482
18,377306451,AGU . (T),AV. 3 DE ABRIL 1280,20,510171009,381484,5010224,,,,,,,8041,Goya,3450,01.06.2010,31.12.9999,ALTA,10800484
19,377306451,AGU . (T),AV. 3 DE ABRIL 1280,12,510171259,123179,5010224,,,,,,,8041,Goya,3450,01.06.2010,31.12.9999,ALTA,10800891
20,377306451,AGU . (T),AV. 3 DE ABRIL 1280,12,510171344,1940460,5010224,,,,,,,8041,Goya,3450,01.06.2010,31.12.9999,ALTA,10801268
21,377306451,AGU . (T),AV. 3 DE ABRIL 1280,12,510171400,2287178,5010224,,,,,,,8041,Goya,3450,01.06.2010,31.12.9999,ALTA,10801478
22,973306781,WAL .R.L.,BOLIVIA 5831,22,510354233,3603108,5011513,600225405,9131415,5000442,600225404,9131414,5000442,8041,Goya,3450,06.10.2011,31.12.9999,ALTA,20278747
23,369307087,JUM S.A.,PARANA 3619 - EDIFICIO 200,22,510350605,3247588,5011513,600209831,9115841,5000442,600209830,9115840,5000442,8041,Goya,3450,02.10.2012,31.12.9999,ALTA,20311943
24,662306394,TEL S.A.,PARAGUAY 927 P:10,20,510349509,612005741,5010063,600201370,9107380,5000442,600201369,9107379,5000442,8041,Goya,3450,02.06.2017,31.12.9999,ALTA,20443330
25,520337110,INA .R.L.,RUTA 12 KM. 800,21,510354242,3603117,5011513,600225432,9131442,5000442,600225431,9131441,5000442,8041,Goya,3451,02.03.2019,31.12.9999,ALTA,20536207
26,224305723,PET S.A.,RUTA PROVINCIAL 27 KM. 122,20,510385614,251005600,5013363,600330961,9161938,5000442,600339709,9170686,5000442,8041,Goya,3450,17.12.2019,31.12.9999,ALTA,20568507
27,801305049,EMI I.F.I,AV. LEANDRO N. ALEM 349,24,510440917,3603107,5010047,600225402,9131412,5000442,600225401,9131411,5000442,8041,Goya,3450,02.02.2022,31.12.9999,ALTA,20660475
28,798305957,EST S.A.,RUTA N° 14,21,510350626,3247609,5011513,600435266,9244769,5000442,600435265,9244768,5000442,8041,La Cruz,3346,01.06.2010,31.12.9999,ALTA,10800798
29,189305848,COM O (T),SAN MARTIN S/Nº,12,510171428,2292335,5010224,,,,,,,8041,La Cruz,3346,01.06.2010,31.12.9999,ALTA,10801625
30,159337080,CAM S.A.,Bª 40 VIV. Mza 215 - Casa 8,23,510353530,3288453,5010040,600219915,9125925,5000442,600219914,9125924,5000442,8041,La Cruz,3346,01.06.2010,31.12.9999,ALTA,10801159
31,291337080,CAM S.A.,R NAC N° 14 KM 578 PJE COLORADO,23,510239313,1266140,5010040,600345993,9176970,5000442,600345992,9176969,5000442,8041,La Cruz,3346,09.08.2019,31.12.9999,ALTA,20552332
32,660306187,ADE S.A.,RUTA NACIONAL 12 KM 1169,21,510289103,2543389,5010040,600133243,9085873,5000442,600133242,9085872,5000442,8041,Itá Ibate,3480,01.06.2010,31.12.9999,ALTA,10801660
33,028305000,BAN S.A.,9 DE JULIO 1098 - 1ER. PISO,20,510228301,175919,5010465,,,,,,,8041,Ituzaingó,3302,01.06.2010,31.12.9999,ALTA,10801028
34,119307141,SUP S R L,POSADAS Y SGTO CABRAL,21,510392456,4575056,5013330,600342607,9173584,5000442,600342606,9173583,5000442,8041,Ituzaingó,3302,01.11.2013,31.12.9999,ALTA,20359188
35,131209263,GUE RUBEN,BENJAMIN GONZALEZ S/N,21,510350576,3226639,5011513,600209244,9115254,5000442,600209243,9115253,5000442,8041,Ituzaingó,3302,17.05.2016,31.12.9999,ALTA,20425164
36,872305340,ALE HOTEL,SAN JUAN 1369,21,510353580,3497214,5010040,600227062,9133072,5000442,600227061,9133071,5000442,8041,Ituzaingó,3302,02.10.2016,31.12.9999,ALTA,20438631
37,707272818,ACO SELDA,PELLEGRINI,20,510359454,885878,5010094,600230542,9136552,5000442,600230541,9136551,5000442,8041,Ituzaingó,3302,02.12.2017,31.12.9999,ALTA,20485210
38,377306451,AGU . (T),AV. 3 DE ABRIL 1280,12,510171296,440859,5010224,,,,,,,8041,Yapeyú,3231,01.06.2010,31.12.9999,ALTA,10801179
39,579306187,ADE A S A,CASILLA DE CORREO N° 15,23,510353495,3288418,5010040,600219832,9125842,5000442,600219831,9125841,5000442,8041,Beron de Astrada,3481,21.12.2016,31.12.9999,ALTA,20444760
40,677305709,COO A (T),SALTA 1362,1,510289069,2543355,5010040,600339301,9170278,5000442,600339300,9170277,5000442,8041,Bella Vista,3432,01.06.2010,31.12.9999,ALTA,10800679
41,677305709,COO A (T),SALTA 1362,1,510354243,3603118,5011513,600225435,9131445,5000442,600225434,9131444,5000442,8041,Bella Vista,3432,01.06.2010,31.12.9999,ALTA,10800683
42,377306451,AGU . (T),AV. 3 DE ABRIL 1280,20,510171133,133389,5010224,,,,,,,8041,Bella Vista,3432,01.06.2010,31.12.9999,ALTA,10800618
43,377306451,AGU . (T),AV. 3 DE ABRIL 1280,20,510385637,251005623,5013363,600339782,9170759,5000442,600339781,9170758,5000442,8041,Bella Vista,3432,01.06.2010,31.12.9999,ALTA,10800617
44,132305679,LIT S.A.,BS. AS. Y PARANA,22,510353706,2802486,5010049,600229483,9135493,5000442,600229482,9135492,5000442,8041,Bella Vista,3432,01.06.2010,31.12.9999,ALTA,10800132
45,143306476,CAS S.A.,CARLOS PELLEGRINI 451,22,510228376,260242,5010492,,,,,,,8041,Bella Vista,3432,01.06.2010,31.12.9999,ALTA,10801143
46,331202049,MOR PABLO,CASILLA DE CORREO Nº49 49,21,510239403,81465,5010047,600029068,9013847,5000442,600029067,9013846,5000442,8041,Bella Vista,3432,02.10.2013,31.12.9999,ALTA,20345900
47,753305709,COO A (T),SALTA 1362,25,510369627,2,5012774,,,,,,,8041,Bella Vista,3432,01.04.2018,31.12.9999,ALTA,20500508
48,753305709,COO A (T),SALTA 1362,26,510369626,1,5012774,,,,,,,8041,Bella Vista,3432,01.04.2018,31.12.9999,ALTA,20500498
49,753305709,COO A (T),SALTA 1362,25,510369632,7,5012774,,,,,,,8041,Bella Vista,3432,01.04.2018,31.12.9999,ALTA,20500524
50,377306451,AGU . (T),AV. 3 DE ABRIL 1280,20,510385587,251005573,5013363,600339629,9170606,5000442,600339628,9170605,5000442,8041,Bella Vista,3432,01.06.2010,31.12.9999,ALTA,10800485
51,377306451,AGU . (T),AV. 3 DE ABRIL 1280,20,510349454,612005686,5010063,600201260,9107270,5000442,600201259,9107269,5000442,8041,Bella Vista,3432,01.06.2010,31.12.9999,ALTA,10800488
52,595306476,CAS S.A.,Carlos Pellegrini 451,22,510228141,260237,5010489,,,,,,,8041,Santo Tomé,3340,01.06.2010,31.12.9999,ALTA,10800595
53,205307091,COM S SRL,J. ROCA Y SAN MARTIN,20,510249087,885735,5010094,600127012,9079642,5000442,600127011,9079641,5000442,8041,Santo Tomé,3340,01.06.2010,31.12.9999,ALTA,10801205
54,481202349,GLU FABIO,RUTA PORV. N° 94 PJE ATALAYA LOTE N° 161,23,510353479,3288402,5010040,600217352,9123362,5000442,600217351,9123361,5000442,8041,Santo Tomé,3340,01.06.2010,31.12.9999,ALTA,10801481
55,611307107,TAP .R.L.,CHACRA 34 1ERA SECCION LOTE B,23,510385154,4275588,5013330,600339566,9170543,5000442,600339565,9170542,5000442,8041,Santo Tomé,3340,01.06.2010,31.12.9999,ALTA,10801611
56,706307101,TON S.A.,CENTENO 990,23,510354251,3603126,5011513,600227017,9133027,5000442,600227016,9133026,5000442,8041,Santo Tomé,3340,01.06.2010,31.12.9999,ALTA,10801706
57,711202723,SCH LBINO,CHACRA 245 PAREJA CAMBAY,22,510237129,1266131,5010040,600042944,9008756,5000442,600042943,9008755,5000442,8041,Santo Tomé,3340,01.06.2010,31.12.9999,ALTA,10801711
58,377306451,AGU . (T),AV. 3 DE ABRIL 1280,20,510349428,612005660,5010063,600264240,488937,5000446,600201208,9107218,5000442,8041,Santo Tomé,3340,01.06.2010,31.12.9999,ALTA,10800534
59,377306451,AGU . (T),AV. 3 DE ABRIL 1280,20,510171105,611000267,5010224,,,,,,,8041,Santo Tomé,3340,01.06.2010,31.12.9999,ALTA,10800536
60,377306451,AGU . (T),AV. 3 DE ABRIL 1280,12,510357624,3764278,5010713,600229466,9135476,5000442,,,,8041,Santo Tomé,3340,01.06.2010,31.12.9999,ALTA,10801585
61,840202051,STO AVIER,RUTA 14 KM 681,22,510247801,92199,5010047,600029316,9014095,5000442,600029315,9014094,5000442,8041,Santo Tomé,3340,07.04.2011,31.12.9999,ALTA,20264493
62,377306451,AGU . (T),AV. 3 DE ABRIL 1280,12,510267600,1968371,5010436,600083311,9056916,5000442,,,,8041,Santo Tomé,3340,26.04.2012,31.12.9999,ALTA,20305946
63,377306451,AGU . (T),AV. 3 DE ABRIL 1280,12,510354406,3710457,5010713,600226614,9132624,5000442,,,,8041,Santo Tomé,3340,20.03.2017,31.12.9999,ALTA,20456126
64,377306451,AGU . (T),AV. 3 DE ABRIL 1280,12,510363230,3951169,5011120,600301912,9142621,5000442,,,,8041,Santo Tomé,3340,15.01.2018,31.12.9999,ALTA,20489775
65,154307103,ISO AD SA,RUTA PROV N° 94,23,510296548,2518757,5010040,600177936,506583,5000442,600177935,506582,5000442,8041,Santo Tomé,3340,02.12.2019,31.12.9999,ALTA,20567206
66,134230000,COM OTAB.,BOMPLAND,12,510228059,367530,5010224,,,,,,,8041,Bompland,3234,01.06.2010,31.12.9999,ALTA,10800134
67,353306699,MOL S.A.,CASILLA DE CORREO N° 98,23,510392450,4575050,5013330,600342572,9173549,5000442,600342571,9173548,5000442,8041,Bompland,3234,01.06.2010,31.12.9999,ALTA,10801353
68,136345466,POD GOYA,BELGRANO 942,22,510385142,4275576,5013330,600339541,9170518,5000442,,,,8341,Goya,3450,26.07.2019,31.12.9999,ALTA,20542911
69,078305616,E.B NENTE,VILLA PERMANENTE,21,510239314,1266141,5010040,600302894,9143603,5000442,600302893,9143602,5000442,8341,Ituzaingó,3302,18.01.2018,31.12.9999,ALTA,20486399
70,016305000,BAN TOME,BRASIL 892,20,510349385,612005617,5010063,600201122,9107132,5000442,600201121,9107131,5000442,8341,Santo Tomé,3340,01.06.2010,31.12.9999,ALTA,10801016
71,104113037,SIS S.E.,MAIPU 555,20,510248267,612000110,5010063,600097752,403676,5000446,600028123,9012902,5000442,8341,Santo Tomé,3340,10.07.2012,31.12.9999,ALTA,20303166
72,341306879,M.S ADOR),CORDOBA 640,22,510354245,3603120,5011513,600225441,9131451,5000442,600225440,9131450,5000442,8441,Goya,3450,01.06.2010,31.12.9999,ALTA,10800109
73,528306230,P.J .GOYA,PELLEGRINI 894,21,510272048,2235490,5010040,600108940,9061570,5000442,600108939,9061569,5000442,8441,Goya,3450,06.12.2012,31.12.9999,ALTA,20322705
74,279339990,INS CTES.,CORDOBA 915,20,510417310,251020990,5013363,600362810,9193788,5000442,600362809,9193787,5000442,8441,Santo Tomé,3340,02.09.2019,31.12.9999,ALTA,20554511
75,102307074,MUN E.GO.,MARIANO I.LOZA 30,22,510350600,3247583,5011513,600209814,9115824,5000442,600209813,9115823,5000442,8451,Goya,3450,01.06.2010,31.12.9999,ALTA,10801102
76,103307074,MUN E.GO.,MARIANO I.LOZA 30,22,510351738,515187,5010049,600212960,9118970,5000442,600212959,9118969,5000442,8451,Goya,3450,01.06.2010,31.12.9999,ALTA,10801103
77,646306597,GOY REL.),JOSE E. GOMEZ 561,7,,,,,,,,,,8888,Goya,3450,01.06.2010,31.12.9999,ALTA,20241136
78,646306597,GOY REL.),JOSE E. GOMEZ 561,7,,,,,,,,,,8888,Goya,3450,01.06.2010,31.12.9999,ALTA,20241140
79,646306597,GOY REL.),JOSE E. GOMEZ 561,7,,,,,,,,,,8888,Goya,3450,01.06.2010,31.12.9999,ALTA,20241142
80,646306597,GOY REL.),JOSE E. GOMEZ 561,7,,,,,,,,,,8888,Goya,3450,01.06.2010,31.12.9999,ALTA,20241149
81,646306597,GOY REL.),JOSE E. GOMEZ 561,7,,,,,,,,,,8888,Goya,3450,01.06.2010,31.12.9999,ALTA,20241153
82,646306597,GOY REL.),JOSE E. GOMEZ 561,7,,,,,,,,,,8888,Goya,3450,01.06.2010,31.12.9999,ALTA,20241155
83,646306597,GOY REL.),JOSE E. GOMEZ 561,7,,,,,,,,,,8888,Goya,3450,01.06.2010,31.12.9999,ALTA,20241159
84,211306394,TEL S.A.,CATAMARCA 1391,7,,,,,,,,,,8888,Goya,3450,05.12.2017,31.12.9999,ALTA,20484750
85,226306394,TEL S.A.,CATAMARCA 1361,7,,,,,,,,,,8888,Goya,3450,05.12.2017,31.12.9999,ALTA,20484768
86,242306394,TEL S.A.,CATAMARCA 1361,7,,,,,,,,,,8888,Goya,3450,05.12.2017,31.12.9999,ALTA,20484785
87,645306394,TEL S.A.,CATAMARCA 1361,7,,,,,,,,,,8888,Goya,3450,01.02.2018,31.12.9999,ALTA,20490135
88,454306394,TEL S.A.,CATAMARCA 1361,7,,,,,,,,,,8888,Goya,3450,02.01.2018,31.12.9999,ALTA,20486990
89,901200752,LIV BERTO,ALBERDI S/N,7,510227218,6043728,5010223,,,,,,,8888,Itá Ibate,3480,01.06.2010,31.12.9999,ALTA,10262901
90,446306394,TEL S.A.,PARAGUAY 927 PISO 10,7,510361278,3921006,5010713,600297305,9140406,5000442,,,,8888,Ituzaingó,3302,01.06.2010,31.12.9999,ALTA,10270446
91,658306466,ENC LEV.),ITUZAINGO,7,,,,,,,,,,8888,Ituzaingó,3302,01.06.2010,31.12.9999,ALTA,20241870
92,476306632,AMX S.A.,CASILLA DE CORREO 3183-C.CEN.,7,510086031,1565617,5010130,600128160,9080790,5000442,600128159,9080789,5000442,8888,Guaviraví,3232,01.06.2010,31.12.9999,ALTA,10270476
93,325307089,ARA .R.L.,TAPEBICUA,7,510238049,2158959,5010130,600043866,9008902,5000442,600043861,9008901,5000442,8888,Yapeyú,3231,01.06.2010,31.12.9999,ALTA,10270325
94,945306394,TEL S.A.,CATAMARCA 1361,7,510353265,3531102,5010713,600217040,9123050,5000442,,,,8888,Beron de Astrada,3481,31.05.2017,31.12.9999,ALTA,20462975
95,050306632,AMX S.A.,CASILLA DE CORREO 3183-C.CEN.,7,510227228,1802510,5010223,,,,,,,8888,Beron de Astrada,3481,01.06.2010,31.12.9999,ALTA,10270050
96,551306394,TEL S.A.,PARAGUAY 927 PISO 10,7,510281868,2456256,5010713,600154486,447569,5000446,600121270,9073900,5000442,8888,Bella Vista,3432,12.07.2013,31.12.9999,ALTA,20336966
97,986306788,TEL S.A.,Defensa 143 - Piso 6,7,510227211,2114544,5010223,,,,,,,8888,Bella Vista,3432,01.06.2010,31.12.9999,ALTA,10212986
98,654306698,RAD LEV.),BUENOS AIRES 479,7,,,,,,,,,,8888,Bella Vista,3432,02.04.2016,31.12.9999,ALTA,20421937
99,654306698,RAD LEV.),BUENOS AIRES 479,7,,,,,,,,,,8888,Bella Vista,3432,02.04.2016,31.12.9999,ALTA,20421950
100,654306698,RAD LEV.),BUENOS AIRES 479,7,,,,,,,,,,8888,Bella Vista,3432,02.04.2016,31.12.9999,ALTA,20421939
101,654306698,RAD LEV.),BUENOS AIRES 479,7,,,,,,,,,,8888,Bella Vista,3432,01.06.2010,31.12.9999,ALTA,20240943
102,654306698,RAD LEV.),BUENOS AIRES 479,7,,,,,,,,,,8888,Bella Vista,3432,01.06.2010,31.12.9999,ALTA,20240936
103,654306698,RAD LEV.),BUENOS AIRES 479,7,,,,,,,,,,8888,Bella Vista,3432,01.06.2010,31.12.9999,ALTA,20240939
104,651306394,TEL S.A.,JUNIN 2168,7,,,,,,,,,,8888,Santo Tomé,34OO,01.06.2010,31.12.9999,ALTA,20241370
105,651306394,TEL S.A.,JUNIN 2168,7,,,,,,,,,,8888,Santo Tomé,34OO,01.06.2010,31.12.9999,ALTA,20241376
106,651306394,TEL S.A.,JUNIN 2168,7,,,,,,,,,,8888,Santo Tomé,34OO,01.06.2010,31.12.9999,ALTA,20241388
107,651306394,TEL S.A.,JUNIN 2168,7,,,,,,,,,,8888,Santo Tomé,34OO,01.06.2010,31.12.9999,ALTA,20241390
108,651306394,TEL S.A.,JUNIN 2168,7,,,,,,,,,,8888,Santo Tomé,34OO,01.06.2010,31.12.9999,ALTA,20241404
109,153306394,TEL S.A.,PARAGUAY 927 PISO 10,7,510227256,7837916,5010223,,,,,,,8888,Bompland,3234,01.06.2010,31.12.9999,ALTA,10270153
110,557999999,FRI AS G.,PJE. LOS LAURELES 4965,16,510018209,4935575,5010131,,,,,,,1001,Capital,3400,05.06.2010,31.12.9999,ALTA,10046557
111,903276303,ALE RAMON,ALEJANDRIA 4822,16,510440765,5238132,5011120,600508393,634212,5000446,600475286,9262897,5000442,1001,Capital,3400,10.08.2022,31.12.9999,ALTA,20682489
112,005433463,OBR IGIDO,S. DE BUSTAMANTE 2662,6,510440791,5238158,5011120,600508258,634077,5000446,600475312,9262923,5000442,1001,Capital,3400,04.08.2022,31.12.9999,ALTA,20678940
113,437388763,VER CESAR,S. DE BUSTAMANTE 2661,6,510440793,5238160,5011120,600508257,634076,5000446,600475314,9262925,5000442,1001,Capital,3400,04.08.2022,31.12.9999,ALTA,20679737
114,636247987,GIM MINIA,S. DE BUSTAMANTE 2796,16,510440805,5238172,5011120,600508429,634248,5000446,600475326,9262937,5000442,1001,Capital,3400,08.08.2022,31.12.9999,ALTA,20681970
115,666383138,CAL SAIAS,AV. PTE. N. AVELLANEDA 5028,6,510433326,5231316,5011120,600469898,621537,5000446,600450704,9255305,5000442,1001,Capital,3400,14.03.2022,31.12.9999,ALTA,20660149
116,078365480,FAL BELEN,RAMOS MEJIA 2595,16,510282538,2406609,5010436,600123918,9076548,5000442,,,,1001,Capital,3400,04.03.2022,31.12.9999,ALTA,20655293
117,804290450,BAR OELIA,PJE.OMBU 4985,16,510432786,5230776,5011120,600468263,619513,5000446,600450133,9254734,5000442,1001,Capital,3400,26.02.2022,14.07.2022,BAJA,20658311
118,196341653,MED STHER,CORCEGA 4431 P:2,16,510421879,4925307,5011120,600503621,629585,5000446,600434251,9243754,5000442,1004,Capital,3400,30.06.2022,31.12.9999,ALTA,20674349
119,139200853,ALA JUAN,DARRAGUEIRA 2414,16,510440838,5238205,5011120,600508274,634093,5000446,600475359,9262970,5000442,1004,Capital,3400,13.08.2022,31.12.9999,ALTA,20683065
120,159318490,FRU ZABET,MEDRANO 2270 P:B,16,510337755,2966070,5011120,600499743,625446,5000446,,,,1004,Capital,3400,16.05.2022,31.12.9999,ALTA,20668554
121,831173291,LEN ELENA,FRAY C. RODRIGUEZ 2498,16,510440801,5238168,5011120,600508426,634245,5000446,600475322,9262933,5000442,1004,Capital,3400,08.08.2022,31.12.9999,ALTA,20680320
122,824173291,LEN ELENA,PJE. OMBU 4499,16,510440517,5237884,5011120,600475038,9262649,5000442,,,,1004,Capital,3400,01.08.2022,31.12.9999,ALTA,20680311
123,425319698,MOR ARTIN,AV. AVELLANEDA 4390 P:2,16,510432001,5229991,5011120,600468307,619557,5000446,600449299,9253900,5000442,1004,Capital,3400,23.02.2022,31.12.9999,ALTA,20657583
124,176111466,BLA BRIEL,BO. 176 V. 17 AG. S:9 MZ:43,16,510068065,556727,5010096,,,,,,,1008,Capital,3400,06.08.2022,31.12.9999,ALTA,20681003
125,144168515,ACU NCION,BO. 176 V. 17 AG. S:9 MZ:43,16,510440832,5238199,5011120,600508401,634220,5000446,600475353,9262964,5000442,1008,Capital,3400,26.07.2022,31.12.9999,ALTA,20677655
126,495120388,PUC DAVID,AV SARMIENTO 1982,16,,,,,,,,,,1008,Capital,3400,04.06.2010,31.08.2017,BAJA,10186495
127,217115332,FER ETRIA,BO. 166 V.17 AG. MZ:M S:10,16,510427507,4956900,5011120,600499745,625448,5000446,600445870,9250471,5000442,1008,Capital,3400,16.05.2022,31.12.9999,ALTA,20668713
128,201526410,ZAL ERESA,BO. 17 DE AGO. EPAM MZ:J S:10,16,510362341,3931148,5011120,600383224,545820,5000446,600300922,9141631,5000442,1008,Capital,3400,21.07.2022,31.12.9999,ALTA,20677781
129,089293951,ROD VIANA,BO. 17 DE AGO. EPAM S:10 MZ:H,16,510304763,2933078,5011120,600512785,638504,5000446,600187103,9093113,5000442,1008,Capital,3400,25.08.2022,31.12.9999,ALTA,20684952
130,013249503,CAN ITATI,BO. 176 V. 17 AG. MZ:43 S:9,16,510305249,2933564,5011120,600508504,634323,5000446,600187590,9093600,5000442,1008,Capital,3400,02.08.2022,31.12.9999,ALTA,20680651
131,110111476,LUO USANA,QUINTANA 525 P:6,16,510091915,573119,5010096,600506279,631429,5000446,,,,101,Capital,3400,05.08.2022,31.12.9999,ALTA,20680823
132,039468648,BAR GENIA,QUINTANA 731,16,510442408,5239757,5011120,600513398,639017,5000446,600477315,9264926,5000442,101,Capital,3400,26.08.2022,31.12.9999,ALTA,20684778
133,756664386,DE ALBA,QUINTANA 525,16,510022138,5153819,5010131,600471704,623221,5000446,,,,101,Capital,3400,30.03.2022,31.12.9999,ALTA,20662181
134,446444515,MAL IRENE,AV. COSTANERA 537 P:4,16,510433640,5231630,5011120,600471716,623233,5000446,600451026,9255627,5000442,101,Capital,3400,28.03.2022,31.12.9999,ALTA,20661509
135,680250520,MAR ANDRO,PLACIDO MARTINEZ 758,16,510021974,5105385,5010148,600470005,621444,5000446,,,,101,Capital,3400,14.03.2022,31.12.9999,ALTA,20660170
136,289114646,DEC ITATI,QUINTANA 755,16,510022171,474996,5010096,600472274,623487,5000446,,,,101,Capital,3400,19.04.2022,31.12.9999,ALTA,20665092
137,482254996,ROM NOEMI,SAN FCO. DE ASIS 5494,16,510441551,5238900,5011120,600512851,638570,5000446,600476157,9263768,5000442,1012,Capital,3400,23.08.2022,31.12.9999,ALTA,20681566
138,272169144,ENC ATRIZ,MILAN 2657,16,510394183,4504397,5011120,600345303,9176280,5000442,,,,1012,Capital,3400,04.08.2022,31.12.9999,ALTA,20679381
139,271128687,MAR BERTO,SIRACUSA 5332,16,510099418,882,5010061,,,,,,,1012,Capital,3400,04.06.2010,31.12.9999,ALTA,10407271
140,862210039,BOR ANIEL,NAPOLES 2532,16,510433307,5231297,5011120,600468405,620253,5000446,600450685,9255286,5000442,1012,Capital,3400,18.03.2022,31.12.9999,ALTA,20660511
141,160312550,SAN LERIA,NAPOLES 2643,16,510433306,5231296,5011120,600468406,620254,5000446,600450684,9255285,5000442,1012,Capital,3400,18.03.2022,31.12.9999,ALTA,20661033
142,440650261,VER STHER,BO. 78 V 17 DE AGT S:5 M:S2,16,510068174,538553,5010096,600503566,629530,5000446,,,,1016,Capital,3400,26.07.2022,31.12.9999,ALTA,20678083
143,002132516,OJE GINIA,BO. 123 V. 17 DE AGO. S:4 C:16,16,510428979,4958372,5011120,600461360,606776,5000446,600447352,9251953,5000442,1016,Capital,3400,10.08.2022,31.12.9999,ALTA,20678943
144,591999999,DEL GO C.,BO. 17 DE AGO. EPAM MZ:G S:4,16,510064838,262555,5010179,,,,,,,1016,Capital,3400,05.06.2010,31.12.9999,ALTA,10185591
145,684174052,DOM STIAN,BO. 17 DE AGO. EPAM MZ:A S:6,16,510074084,5602121,5010131,600504112,629773,5000446,,,,1016,Capital,3400,19.07.2022,31.12.9999,ALTA,20677068
146,300177678,AGU ZABET,BO. 17 DE AGO. EPAM MZ:G S:6,16,510415172,4929990,5011120,600512924,638643,5000446,600366735,9197713,5000442,1016,Capital,3400,29.08.2022,31.12.9999,ALTA,20685474
147,656309976,CES LERMO,BO. 17 DE AGO. EPAM S:6 MZ:N,16,510400469,4406331,5011120,600469899,621538,5000446,600350782,9181760,5000442,1016,Capital,3400,14.03.2022,31.12.9999,ALTA,20660137
148,749261111,LAF BRIEL,BO. 17 DE AGO. EPAM S:4 MZ:C,18,510104726,4937026,5010131,600282091,504288,5000446,,,,1016,Capital,3400,15.03.2017,31.12.9999,ALTA,20450286
149,530149810,GAL RACIO,BO. 123 V. 17 DE AGO. MZ:C S:4,16,510170870,922312,5010096,600468252,619502,5000446,600061038,9020266,5000442,1016,Capital,3400,24.02.2022,31.12.9999,ALTA,20657804
150,970173293,VAL ANIEL,BO. 244 V. L.SECA S:F,16,510440768,5238135,5011120,600508390,634209,5000446,600475289,9262900,5000442,1024,Capital,3400,10.08.2022,31.12.9999,ALTA,20682611
