Sale Date,Order ID,Customer,Number of Items,Payment Method,Date Shipped,Ship State,Ship Zipcode,Ship Country,Currency,Order Value,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Shipping,Sales Tax,Order Total,Status,Card Processing Fees,Order Net,Adjusted Order Total,Adjusted Card Processing Fees,Adjusted Net Order Amount,Order Type,Payment Type,InPerson Discount,InPerson Location,SKU
12/4/23,3119396097,Customer 16,1,Credit Card,12/5/23,AZ,85706,United States,USD,30,,,0,0,5.5,0,38.11,,1.39,34.11,0,0,0,online,online_cc,,,gold-gsil
12/4/23,3127133190,Customer 17,1,Credit Card,12/4/23,NJ,8873,United States,USD,30,,,0,0,5.5,0,37.85,,1.39,34.11,0,0,0,online,online_cc,,,duc02
12/3/23,3115786567,Customer 18,1,Credit Card,12/3/23,TX,78620,United States,USD,32,,,0,0,5.5,0,40.59,,1.47,36.03,0,0,0,online,online_cc,,,
12/1/23,3112313287,Customer 19,2,Credit Card,12/2/23,IN,46033-9802,United States,USD,24,,,0,0,5.5,0,31.57,,1.2,28.3,0,0,0,online,online_cc,,,
12/1/23,3120219544,Customer 20,2,Credit Card,12/1/23,MN,55405,United States,USD,81,,,0,5.5,0,0,88.31,,2.9,78.1,0,0,0,online,online_cc,,,
11/30/23,3110711277,Customer 21,1,Credit Card,12/1/23,FL,32809,United States,USD,31.5,,,0,0,5.5,0,39.41,,1.43,35.57,0,0,0,online,online_cc,,,
11/28/23,3106527123,Customer 22,4,Credit Card,12/1/23,CA,92065,United States,USD,45,CYBERDEALS2023,% off,11.25,0,5.5,0,39.25,,1.43,37.82,0,0,0,online,online_cc,,,
11/27/23,3113125128,Customer 23,1,Credit Card,11/28/23,MA,1835,United States,USD,24.5,,,0,0,5.5,0,31.53,,1.2,28.8,0,0,0,online,online_cc,,,
11/22/23,3092193967,Customer 24,1,Credit Card,11/24/23,WI,53403,United States,USD,34,,,0,0,5.5,0,41.48,,1.49,38.01,0,0,0,online,online_cc,,,
11/18/23,3094634526,Customer 25,5,Credit Card,11/19/23,VA,23662,United States,USD,125,EARLYDEALS2023,% off,31.25,0,0,0,99.38,,3.23,90.52,0,0,0,online,online_cc,,,
11/18/23,3094355030,Customer 26,1,Credit Card,11/18/23,NJ,07645-1122,United States,USD,24.5,,,0,0,5.5,0,31.99,,1.21,28.79,0,0,0,online,online_cc,,,
11/18/23,3084785855,Customer 25,5,Credit Card,11/18/23,VA,23662,United States,USD,56.25,EARLYDEALS2023,% off,14.06,5.5,0,0,42.61,,1.53,40.66,0,0,0,online,online_cc,,,
11/18/23,3093858662,Customer 27,1,Credit Card,11/18/23,FL,32351-7063,United States,USD,30,,,0,0,5.5,0,38.16,,1.39,34.11,0,0,0,online,online_cc,,,
11/16/23,3082845859,Customer 28,1,Credit Card,11/17/23,NC,27244,United States,USD,30,,,0,0,5.5,0,37.9,,1.39,34.11,0,0,0,online,online_cc,,,
11/16/23,3091859994,Customer 28,1,Credit Card,11/17/23,NC,27244,United States,USD,30,,,0,0,5.5,0,37.9,,1.39,34.11,0,0,0,online,online_cc,,,opo-bk.22
11/14/23,3087562364,Customer 29,1,Credit Card,11/14/23,TN,37167,United States,USD,34.5,ABCD10,% off,3.45,0,5.5,0,40.11,,1.45,35.1,0,0,0,online,online_cc,,,
10/28/23,3057584763,Customer 30,1,Credit Card,10/29/23,CO,80444-0024,United States,USD,24.5,,,0,0,5.5,0,31.67,,1.2,28.8,0,0,0,online,online_cc,,,
10/22/23,3051422895,Customer 17,1,Credit Card,10/23/23,MA,1960,United States,USD,24,,,0,0,5.5,0,31,,1.18,28.32,0,0,0,online,online_cc,,,Go-bdiv-123
10/20/23,3056063256,Customer 31,1,Credit Card,10/20/23,NSW,2165,Australia,USD,34.5,,,0,0,16.5,0,56.1,,1.93,49.07,0,0,0,online,online_cc,,,
10/19/23,3048341593,Customer 15,2,Credit Card,10/20/23,,3741 RB,The Netherlands,USD,49,GWYN20,% off,9.8,0,17.5,0,68.61,,2.31,54.39,0,0,0,online,online_cc,,,Go-bdiv-123
10/12/23,3048196492,Customer 32,1,Credit Card,10/13/23,WV,26180,United States,USD,29,GWYN20,% off,5.8,0,5.5,0,30.42,,1.16,27.54,0,0,0,online,online_cc,,,go-we10
10/10/23,3038321713,Customer 33,1,Credit Card,10/11/23,GA,30519,United States,USD,29.5,,,0,0,5.5,0,37.1,,1.36,33.64,0,0,0,online,online_cc,,,
10/8/23,3035605107,Customer 19,1,Credit Card,10/8/23,KY,41091,United States,USD,22,,,0,0,5.5,0,29.15,,1.12,26.38,0,0,0,online,online_cc,,,
10/7/23,3041405072,Customer 34,2,Credit Card,10/7/23,NV,89120,United States,USD,60,,,0,5.5,0,0,65.03,,2.2,57.8,0,0,0,online,online_cc,,,duc02
9/25/23,3028971690,Customer 35,1,Credit Card,9/26/23,MD,20901,United States,USD,28,ABCD10,% off,2.8,0,5.5,0,32.22,,1.22,29.48,0,0,0,online,online_cc,,,
9/14/23,3010353979,Customer 36,2,Credit Card,9/16/23,IL,60155-4035,United States,USD,62,,,0,5.5,0,0,68.2,,2.3,59.7,0,0,0,online,online_cc,,,
9/9/23,3011154712,Customer 37,1,Credit Card,9/10/23,CA,93704-4513,United States,USD,34,ABCD10,% off,3.4,0,5.5,0,38.66,,1.41,34.69,0,0,0,online,online_cc,,,
9/8/23,3003322045,Customer 38,1,Credit Card,9/8/23,FL,32963,United States,USD,15,,,0,0,5.5,0,20.5,,0.87,19.63,0,0,0,online,online_cc,,,
9/6/23,3008071962,Customer 39,1,Credit Card,9/7/23,CA,94591,United States,USD,32,,,0,0,5.5,0,40.46,,1.46,36.04,0,0,0,online,online_cc,,,
8/31/23,3002122172,Customer 40,1,Credit Card,9/1/23,PA,16601-1114,United States,USD,30,,,0,0,5.5,0,37.63,,1.38,34.12,0,0,0,online,online_cc,,,
8/30/23,3000559804,Customer 41,1,Credit Card,8/30/23,CA,93309,United States,USD,22,,,0,0,5.5,0,29.32,,1.13,26.37,0,0,0,online,online_cc,,,
8/30/23,3000357842,Customer 23,1,Credit Card,8/30/23,IL,60022,United States,USD,22,,,0,0,5.5,0,29.98,,1.15,26.35,0,0,0,online,online_cc,,,
8/29/23,2992895163,Customer 42,1,Credit Card,8/30/23,FL,33181,United States,USD,38,,,0,5.5,0,0,40.66,,1.47,36.53,0,0,0,online,online_cc,,,
8/23/23,2987185451,Customer 43,1,Credit Card,8/24/23,NC,28173,United States,USD,22,,,0,0,5.5,0,29.36,,1.13,26.37,0,0,0,online,online_cc,,,
8/11/23,2981429524,Customer 44,1,Credit Card,8/13/23,TN,37036,United States,USD,28,,,0,0,5.5,0,36.77,,1.35,32.15,0,0,0,online,online_cc,,,
8/9/23,2971856477,Customer 45,1,Credit Card,8/9/23,West Sussex,RH20 4HN,United Kingdom,USD,45,,,0,0,16.5,0,73.8,,2.46,59.04,0,0,0,online,online_cc,,,
8/5/23,2967504635,Customer 46,1,Credit Card,8/5/23,OH,44511-3531,United States,USD,29,,,0,0,5.5,0,37.09,,1.36,33.14,0,0,0,online,online_cc,,,
8/3/23,2972183544,Customer 47,1,Credit Card,8/3/23,,27624,Germany,USD,28.5,,,0,0,16.5,0,53.55,,1.86,43.14,0,0,0,online,online_cc,,,
7/23/23,2955088181,Customer 48,2,Credit Card,7/24/23,PA,15208,United States,USD,60,GET210,% off,6,5.5,0,0,57.24,,1.97,52.03,0,0,0,online,online_cc,,,
7/22/23,2953721781,Customer 26,1,Credit Card,7/23/23,,28357,Germany,USD,22,,,0,0,15.5,0,44.63,,1.59,35.91,0,0,0,online,online_cc,,,
7/21/23,2952556113,Customer 49,1,Credit Card,7/21/23,OH,44256,United States,USD,80,,,0,5.5,0,0,85.4,,2.81,77.19,0,0,0,online,online_cc,,,
7/18/23,2955972438,Customer 50,1,Credit Card,7/18/23,WA,98528,United States,USD,22,,,0,0,5.5,0,29.84,,1.15,26.35,0,0,0,online,online_cc,,,
7/15/23,2947002791,Customer 51,1,Credit Card,7/16/23,IL,60652,United States,USD,63,,,0,5.5,0,0,69.46,,2.33,60.67,0,0,0,online,online_cc,,,
7/14/23,2946130051,Customer 52,1,Credit Card,7/14/23,MA,2360,United States,USD,34,,,0,0,5.5,0,41.63,,1.5,38,0,0,0,online,online_cc,,,
7/2/23,2934278017,Customer 53,1,Credit Card,7/2/23,GA,30701,United States,USD,25,,,0,0,5.5,0,31.42,,1.19,29.31,0,0,0,online,online_cc,,,
7/2/23,2940646578,Customer 54,1,Credit Card,7/2/23,,74100,France,USD,34.5,,,0,0,15.5,0,60,,2.05,47.95,0,0,0,online,online_cc,,,
7/1/23,2933394823,Customer 55,1,Credit Card,7/2/23,AL,35601,United States,USD,30,GWYN20,% off,6,0,5.5,0,31.42,,1.19,28.31,0,0,0,online,online_cc,,,
6/30/23,2939213330,Customer 56,1,Credit Card,6/30/23,,56530,France,USD,24,GWYN20,% off,4.8,0,15.5,0,41.64,,1.5,33.2,0,0,0,online,online_cc,,,Go-bdiv-123
6/27/23,2929861619,Customer 57,1,Credit Card,6/28/23,NC,28806-1564,United States,USD,34,,,0,0,5.5,0,42.27,,1.52,37.98,0,0,0,online,online_cc,,,EL-GN-0621
6/26/23,2929115949,Customer 58,1,Credit Card,6/27/23,NC,27516,United States,USD,29,,,0,0,5.5,0,37.09,,1.36,33.14,0,0,0,online,online_cc,,,
6/20/23,2929463316,Customer 59,1,Credit Card,6/20/23,CA,95630,United States,USD,22,ABCD10,% off,2.2,0,5.5,0,26.83,,1.05,24.25,0,0,0,online,online_cc,,,
6/20/23,2929442438,Customer 60,1,Credit Card,6/20/23,AZ,85713-3809,United States,USD,28,,,0,0,5.5,0,35.94,,1.33,32.17,0,0,0,online,online_cc,,,
6/14/23,2924549656,Customer 56,1,Credit Card,6/14/23,,56530,France,USD,24,,,0,0,15.5,0,47.4,,1.67,37.83,0,0,0,online,online_cc,,,Go-bdiv-123
6/14/23,2917953369,Customer 61,1,Credit Card,6/14/23,CA,94025,United States,USD,35.5,,,0,5.5,0,0,38.83,,1.41,34.09,0,0,0,online,online_cc,,,
6/14/23,2924229576,Customer 62,1,Credit Card,6/14/23,NY,14626,United States,USD,32,,,0,0,5.5,0,40.5,,1.47,36.03,0,0,0,online,online_cc,,,
6/12/23,2922167804,Customer 19,1,Credit Card,6/12/23,IL,60062,United States,USD,22,,,0,0,5.5,0,30.25,,1.16,26.34,0,0,0,online,online_cc,,,
6/12/23,2922077284,Customer 63,1,Credit Card,6/12/23,TX,77450,United States,USD,80,,,0,5.5,0,0,86.6,,2.85,77.15,0,0,0,online,online_cc,,,
6/10/23,2913275703,Customer 64,1,Credit Card,6/11/23,PA,19373,United States,USD,15,,,0,0,5.5,0,21.73,,0.9,19.6,0,0,0,online,online_cc,,,
6/7/23,2917183742,Customer 65,1,Credit Card,6/8/23,MA,1119,United States,USD,30,,,0,0,5.5,0,37.38,,1.37,34.13,0,0,0,online,online_cc,,,
6/6/23,2909901585,Customer 66,2,Credit Card,6/7/23,AZ,86305,United States,USD,59,20OFFFOR2,% off,11.8,5.5,0,0,50.2,,1.76,45.44,0,0,0,online,online_cc,,,
6/5/23,2908320807,Customer 55,4,Credit Card,6/5/23,AL,35601,United States,USD,120,20OFFFOR2,% off,24,5.5,0,0,103.68,,3.36,92.64,0,0,0,online,online_cc,,,
6/1/23,2904948985,Customer 67,1,Credit Card,6/2/23,OH,44145,United States,USD,22,ABCD10,% off,2.2,0,5.5,0,27.32,,1.07,24.23,0,0,0,online,online_cc,,,
5/27/23,2906065662,Customer 68,1,Credit Card,5/28/23,,8042,New Zealand,USD,24,,,0,0,15.5,0,45.43,,1.61,37.89,0,0,0,online,online_cc,,,Go-bdiv-123
5/20/23,2898663728,Customer 69,1,Credit Card,5/20/23,DE,19901,United States,USD,34.5,,,0,0,5.5,0,40,,1.45,38.55,0,0,0,online,online_cc,,,
5/20/23,2898373464,Customer 70,1,Credit Card,5/20/23,ID,83401,United States,USD,30,,,0,0,5.5,0,37.3,,1.37,34.13,0,0,0,online,online_cc,,,
5/15/23,2888179193,Customer 13,1,Credit Card,5/15/23,ID,83311,United States,USD,28,,,0,0,5.5,0,35.18,,1.31,32.19,0,0,0,online,online_cc,,,
5/14/23,2887637401,Customer 71,1,Credit Card,5/15/23,OH,45011,United States,USD,22,SPORTY5,% off,1.1,0,5.5,0,28.12,,1.09,25.31,0,0,0,online,online_cc,,,
5/14/23,2887625205,Customer 72,1,Credit Card,5/15/23,MA,2472,United States,USD,34.5,,,0,0,5.5,0,42.16,,1.51,38.49,0,0,0,online,online_cc,,,
5/13/23,2886657025,Customer 73,1,Credit Card,5/14/23,ON,K1N 5R9,Canada,USD,27,GWYN20,% off,5.4,0,15.5,0,37.1,,1.36,35.74,0,0,0,online,online_cc,,,ot-eos-123
5/11/23,2889384210,Customer 28,1,Credit Card,5/11/23,FL,32225,United States,USD,34.5,,,0,0,5.5,0,43,,1.54,38.46,0,0,0,online,online_cc,,,
5/10/23,2883900543,Customer 19,1,Credit Card,5/11/23,CA,94551,United States,USD,22,,,0,0,5.5,0,29.76,,1.14,26.36,0,0,0,online,online_cc,,,
5/8/23,2885763462,Customer 23,1,Credit Card,5/8/23,NSW,2477,Australia,USD,22,,,0,0,15.5,0,41.25,,1.49,36.01,0,0,0,online,online_cc,,,
5/1/23,2878543634,Customer 74,1,Credit Card,5/2/23,IL,60659,United States,USD,34,,,0,0,5.5,0,43.55,,1.56,37.94,0,0,0,online,online_cc,,,
4/26/23,2872073642,Customer 75,1,Credit Card,4/27/23,TN,37620,United States,USD,22,,,0,0,5.5,0,30.04,,1.15,26.35,0,0,0,online,online_cc,,,
4/22/23,2868049926,Customer 76,1,Credit Card,4/23/23,TX,77346,United States,USD,22,,,0,0,5.5,0,29.49,,1.13,26.37,0,0,0,online,online_cc,,,
4/21/23,2863343563,Customer 77,1,Credit Card,4/22/23,WA,98014,United States,USD,38,,,0,5.5,0,0,41.31,,1.49,36.51,0,0,0,online,online_cc,,,
4/20/23,2865989936,Customer 78,1,Credit Card,4/21/23,AR,72204,United States,USD,28,GWYN15,% off,4.2,0,5.5,0,31.83,,1.2,28.1,0,0,0,online,online_cc,,,
4/15/23,2856506831,Customer 79,1,Credit Card,4/16/23,VA,23124,United States,USD,34.5,,,0,0,5.5,0,42.07,,1.51,38.49,0,0,0,online,online_cc,,,
4/14/23,2859823468,Customer 80,1,Credit Card,4/15/23,FL,33458,United States,USD,29,,,0,0,5.5,0,36.92,,1.36,33.14,0,0,0,online,online_cc,,,
4/13/23,2859067938,Customer 81,1,Credit Card,4/14/23,CO,81641,United States,USD,34.5,,,0,0,5.5,0,42.6,,1.53,38.47,0,0,0,online,online_cc,,,
4/13/23,2855027565,Customer 68,2,Credit Card,4/14/23,,8042,New Zealand,USD,58.5,5EYTY,% off,2.93,0,16.5,0,82.88,,2.74,69.33,0,0,0,online,online_cc,,,
4/9/23,2850748279,Customer 68,1,Credit Card,4/10/23,FL,33406-5060,United States,USD,34.5,,,0,0,5.5,0,42.8,,1.53,38.47,0,0,0,online,online_cc,,,
4/7/23,2853220690,Customer 68,1,Credit Card,4/8/23,,8042,New Zealand,USD,24,,,0,0,15.5,0,45.43,,1.61,37.89,0,0,0,online,online_cc,,,Go-bdiv-123
4/4/23,2846330779,Customer 82,1,Credit Card,4/5/23,PA,19026,United States,USD,30,,,0,0,5.5,0,37.63,,1.38,34.12,0,0,0,online,online_cc,,,
4/4/23,2845694067,Customer 83,1,Credit Card,4/4/23,NY,14612,United States,USD,30,,,0,0,5.5,0,38.34,,1.4,34.1,0,0,0,online,online_cc,,,
3/26/23,2841090118,Customer 84,1,Credit Card,3/27/23,SC,29841,United States,USD,25,,,0,0,5.5,0,32.94,,1.24,29.26,0,0,0,online,online_cc,,,
3/20/23,2834013572,Customer 85,1,Credit Card,3/20/23,TX,77498,United States,USD,34,,,0,0,5.5,0,42.36,,1.52,37.98,0,0,0,online,online_cc,,,
3/20/23,2829692133,Customer 86,1,Credit Card,3/20/23,NC,27557-8910,United States,USD,24,,,0,0,5.5,0,31.49,,1.19,28.31,0,0,0,online,online_cc,,,Go-bdiv-123
3/11/23,2824717130,Customer 87,2,Credit Card,3/11/23,FL,33012,United States,USD,54,15BACK2,% off,5.4,5.5,0,0,52,,1.81,46.79,0,0,0,online,online_cc,,,Go-bdiv-123
3/7/23,2815668505,Customer 88,2,Credit Card,3/7/23,AL,36207-7146,United States,USD,44.5,15BACK2,% off,4.45,5.5,0,0,43.25,,1.55,38.5,0,0,0,online,online_cc,,,wc-5
3/6/23,2814243745,Customer 73,1,Credit Card,3/6/23,SC,29803,United States,USD,25,,,0,0,5.5,0,32.94,,1.24,29.26,0,0,0,online,online_cc,,,
3/5/23,2813392085,Customer 28,1,Credit Card,3/5/23,OH,45505,United States,USD,34,,,0,0,5.5,0,42.36,,1.52,37.98,0,0,0,online,online_cc,,,Go-mg-123
3/3/23,2816011834,Customer 89,2,Credit Card,3/5/23,MI,48858,United States,USD,60,GWYN15,% off,9,5.5,0,0,54.06,,1.87,49.13,0,0,0,online,online_cc,,,
3/1/23,2813723958,Customer 90,3,Credit Card,3/2/23,MO,65802-5314,United States,USD,120,GWYN20,% off,24,5.5,0,0,102.1,,3.31,92.69,0,0,0,online,online_cc,,,EL-BIVB-1
3/1/23,2808736343,Customer 91,1,Credit Card,3/1/23,NB,E2M 6M1,Canada,USD,25,,,0,0,15.5,0,40.5,,1.47,39.03,0,0,0,online,online_cc,,,
2/22/23,2801008799,Customer 92,1,Credit Card,2/23/23,WA,6005,Australia,USD,28.5,,,0,0,15.5,0,48.4,,1.7,42.3,0,0,0,online,online_cc,,,
2/18/23,2797936303,Customer 93,1,Credit Card,2/19/23,FL,32136,United States,USD,34,,,0,0,5.5,0,42.27,,1.52,37.98,0,0,0,online,online_cc,,,
2/18/23,2797929603,Customer 93,1,Credit Card,2/19/23,FL,32136,United States,USD,34,,,0,0,5.5,0,42.27,,1.52,37.98,0,0.72,14.8,online,online_cc,,,
2/17/23,2796570735,Customer 4,1,Credit Card,2/19/23,WA,98058-8640,United States,USD,25,,,0,0,5.5,0,33.58,,1.26,29.24,0,0,0,online,online_cc,,,
2/16/23,2799928498,Customer 94,1,Credit Card,2/19/23,ON,L6A4L8,Canada,USD,30,,,0,0,15.5,0,45.5,,1.62,43.88,0,0,0,online,online_cc,,,
2/3/23,2782003023,Customer 95,1,Credit Card,2/4/23,CA,90713,United States,USD,34.5,,,0,0,5.5,0,43.54,,1.56,38.44,0,0,0,online,online_cc,,,
1/28/23,2774848101,Customer 81,1,Credit Card,1/29/23,NY,14623-1422,United States,USD,34,,,0,0,5.5,0,42.66,,1.53,37.97,0,0,0,online,online_cc,,,Go-mg-123
1/26/23,2776144062,Customer 96,1,Credit Card,1/27/23,WY,82072,United States,USD,34,,,0,0,5.5,0,41.54,,1.5,38,0,0,0,online,online_cc,,,
1/24/23,2769631279,Customer 97,1,Credit Card,1/24/23,SC,29579-4646,United States,USD,30,,,0,0,5.5,0,38.34,,1.4,34.1,0,0,0,online,online_cc,,,
1/21/23,2771059898,Customer 98,1,Credit Card,1/23/23,CT,06111-3214,United States,USD,34,,,0,0,5.5,0,42.01,,1.51,37.99,0,0,0,online,online_cc,,,
1/9/23,2758297002,Customer 99,2,Credit Card,1/10/23,CA,92122,United States,USD,60,,,0,5.5,0,0,64.65,,2.19,57.81,0,0,0,online,online_cc,,,opo-bk.22
1/8/23,2753277243,Customer 100,1,Credit Card,1/9/23,NJ,08087-3612,United States,USD,30,,,0,0,5.5,0,37.85,,1.39,34.11,0,0,0,online,online_cc,,,
1/6/23,2750545915,Customer 101,1,Credit Card,1/9/23,NJ,8550,United States,USD,22,,,0,0,5.5,0,29.32,,1.13,26.37,0,0,0,online,online_cc,,,
1/2/23,2750716392,Customer 7,2,Credit Card,1/3/23,WI,54302,United States,USD,62.5,,,0,5.5,0,0,65.94,,2.23,60.27,0,0,0,online,online_cc,,,
1/2/23,2746081941,Customer 102,1,Credit Card,1/3/23,MO,65789,United States,USD,28.5,,,0,0,5.5,0,36.01,,1.33,32.67,0,0,0,online,online_cc,,,
12/28/22,2741542317,Customer 103,1,Credit Card,12/29/22,MA,1540,United States,USD,34.5,,,0,0,5.5,0,42.16,,1.51,38.49,0,0,0,online,online_cc,,,
12/18/22,2731703797,Customer 104,1,Credit Card,12/18/22,TX,76052,United States,USD,28.5,,,0,0,5.5,0,36.81,,1.35,32.65,0,0,0,online,online_cc,,,
12/18/22,2731472581,Customer 105,1,Credit Card,12/18/22,IN,46259,United States,USD,34.5,,,0,0,5.5,0,42.8,,1.53,38.47,0,0,0,online,online_cc,,,
12/17/22,2729947561,Customer 106,2,Credit Card,12/17/22,CA,91506-1719,United States,USD,64,,,0,5.5,0,0,70.56,,2.37,61.63,0,0,0,online,online_cc,,,
12/13/22,2724661179,Customer 107,1,Credit Card,12/14/22,WA,98146,United States,USD,34,,,0,0,0,0,37.49,,1.37,32.63,0,0,0,online,online_cc,,,
12/12/22,2722372635,Customer 108,1,Credit Card,12/13/22,CA,94501,United States,USD,25,,,0,0,0,0,27.69,,1.08,23.92,0,0,0,online,online_cc,,,
12/11/22,2720076511,Customer 49,1,Credit Card,12/12/22,KY,40383,United States,USD,24,,,0,0,0,0,25.44,,1.01,22.99,0,0,0,online,online_cc,,,
12/10/22,2718477341,Customer 109,1,Credit Card,12/11/22,NY,11360,United States,USD,34,,,0,0,0,0,37.02,,1.36,32.64,0,0,0,online,online_cc,,,Go-mg-123
12/8/22,2719114440,Customer 110,1,Credit Card,12/10/22,FL,33401,United States,USD,34,,,0,0,0,0,36.38,,1.34,32.66,0,0,0,online,online_cc,,,
12/7/22,2710672487,Customer 111,1,Credit Card,12/7/22,OR,97089-7349,United States,USD,30,,,0,0,0,0,30,,1.15,28.85,0,0,0,online,online_cc,,,
12/7/22,2710658067,Customer 112,1,Credit Card,12/7/22,OR,97045,United States,USD,30,,,0,0,0,0,30,,1.15,28.85,0,0,0,online,online_cc,,,
12/7/22,2710580173,Customer 113,1,Credit Card,12/7/22,CA,95667,United States,USD,25,,,0,0,0,0,27.06,,1.06,23.94,0,0,0,online,online_cc,,,
12/5/22,2707267061,Customer 114,1,Credit Card,12/6/22,GA,30605,United States,USD,25,,,0,0,0,0,27,,1.06,23.94,0,0,0,online,online_cc,,,
12/5/22,2706422223,Customer 63,1,Credit Card,12/6/22,AR,71909-5824,United States,USD,30,,,0,0,0,0,32.4,,1.22,28.78,0,0,0,online,online_cc,,,
12/4/22,2710312112,Customer 115,1,Credit Card,12/4/22,IL,60640-8047,United States,USD,30,BOOK5,,5,0,0,0,27.56,,1.08,23.92,0,0,0,online,online_cc,,,
12/4/22,2704706211,Customer 116,3,Credit Card,12/4/22,DC,20008,United States,USD,90,,,0,0,0,0,95.4,,3.11,86.89,0,0,0,online,online_cc,,,
12/2/22,2706041888,Customer 117,1,Credit Card,12/4/22,HI,96772,United States,USD,34.5,,,0,0,0,0,36.05,,1.33,33.17,0,0,0,online,online_cc,,,
11/29/22,2699106340,Customer 118,2,Credit Card,11/30/22,GA,30518-7659,United States,USD,72.5,cyber2022,% off,14.5,0,0,0,61.48,,2.09,55.91,0,0,0,online,online_cc,,,
11/25/22,2688804174,Customer 119,1,Credit Card,11/25/22,OH,44060,United States,USD,30,,,0,0,0,0,32.18,,1.22,28.78,0,0,0,online,online_cc,,,
11/24/22,2681872285,Customer 120,3,Credit Card,11/25/22,MD,20878-5430,United States,USD,98.5,cyber2022,% off,19.7,0,0,0,83.53,,2.76,76.04,0,0,0,online,online_cc,,,
11/23/22,2680811417,Customer 33,1,Credit Card,11/25/22,CA,94025,United States,USD,25,,,0,0,0,0,27.34,,1.07,23.93,0,0,0,online,online_cc,,,
11/23/22,2680625607,Customer 121,1,Credit Card,11/25/22,CT,06067-2728,United States,USD,30,,,0,0,0,0,31.91,,1.21,28.79,0,0,0,online,online_cc,,,opo-bk.22
11/23/22,2680235275,Customer 28,1,Credit Card,11/23/22,NY,14626,United States,USD,34.5,GWYN20,% off,6.9,0,0,0,29.81,,1.14,26.46,0,0,0,online,online_cc,,,
11/22/22,2683516600,Customer 122,1,Credit Card,11/23/22,TX,78660,United States,USD,30,,,0,0,0,0,32.48,,1.22,28.78,0,0,0,online,online_cc,,,
11/19/22,2679307186,Customer 123,1,Credit Card,11/20/22,NS,B1R2K4,Canada,USD,25,ABCD10,% off,2.5,0,15,0,37.5,,1.38,36.12,0,0,0,online,online_cc,,,
11/14/22,2666391069,Customer 124,1,Credit Card,11/15/22,AZ,85737-6889,United States,USD,58,ZEN20,% off,11.6,0,0,0,50.39,,1.76,44.64,0,0,0,online,online_cc,,,
