P1 flow,P1 press,PT1 flow,PT1 press,PT2 flow,PT2 press,Shaft rpm,Shaft torque,Temp,Time stamp
"30,2","634,7",12,"280,2",0,"-4,2","722,5","75,8","82,3",1615563474058393
"30,2","633,3",12,"273,2",0,"1,4","721,1",76,"82,4",1615563474372558
"30,1","637,5",12,"280,2",0,"-1,4","723,2","74,9","82,5",1615563474649904
"30,2","637,5",12,"280,2",0,"1,4","721,8","74,7","82,4",1615563474931087
"30,2","636,1",12,"274,6",0,0,"722,5","74,9","82,4",1615563475224595
"30,2","627,7",12,"280,2",0,0,"719,7","74,7","82,4",1615563475503468
"30,1","629,1",12,"278,8",0,"1,4","722,5","74,9","82,5",1615563475801666
"30,2","627,7",12,"278,8",0,"2,8","723,2","74,4","82,4",1615563476079447
"30,1","630,5",12,"277,4",0,"-1,4","722,5","74,7","82,5",1615563476389807
30,"629,1",12,"280,2",0,"1,4","722,5","74,4","82,4",1615563476669696
30,"629,1","12,1","280,2","-0,1",0,"722,5","74,4","82,5",1615563476950492
"30,1","623,5",12,"278,8",0,"1,4","723,2","74,6","82,4","1,61556E+15"
30,"629,1",12,"278,8","-0,1",0,"722,5","74,4","82,4",1615563477516072
"30,1","624,9",12,"277,4",0,0,"721,1","74,6","82,4",1615563477797179
30,"629,1",12,"278,8",0,"1,4","722,5","73,9","82,4",1615563478109551
"30,1","622,1",12,"280,2","-0,1","2,8","722,5","74,1","82,6",1615563478420503
30,"620,7",12,"278,8",0,"1,4","722,5","73,9","82,4",1615563478701861
30,"622,1",12,"271,8","0,1","-4,2","721,1","72,8","82,4",1615563478978221
"30,1","617,9",12,"270,4",0,"1,4","724,6","73,9","82,4",1615563479282735
"30,1","617,9",12,"271,8",0,"1,4","721,1","73,9","82,4",1615563479570968
30,"622,1",12,"270,4",0,0,"721,8","74,1","82,5",1615563479851217
30,"620,7",12,"271,8",0,"2,8","723,9","73,9","82,4",1615563480132124
30,"622,1",12,"267,6",0,"-1,4","722,5","73,9","82,5",1615563480400245
30,"620,7",12,269,0,"-2,8","723,9","73,5","82,4",1615563480679354
30,"619,3",12,"270,4",0,"2,8","721,8","73,9","82,3",1615563481037233
"29,9","622,1",12,269,"-0,1",0,"722,5","74,1","82,4","1,61556E+15"
30,"620,7",12,"270,4",0,"-1,4","722,5","74,1","82,5",1615563481598962
30,"619,3",12,"271,8","-0,1","1,4","723,2","73,9","82,5",1615563481912927
30,"622,1",12,"271,8",0,0,"719,7","74,1","82,5","1,61556E+15"
"29,9","622,1","12,1","270,4",0,"-1,4",719,"74,1","82,4",1615563482471516
"29,9","623,5",12,"271,8",0,0,"720,4","73,9","82,4",1615563482751759
30,"622,1",12,"270,4",0,"1,4","721,8","73,9","82,4",1615563483029989
30,"620,7",12,276,0,"2,8","723,2","74,1","82,4","1,61556E+15"
"29,9","619,3",12,"270,4",0,"1,4","723,9","73,9","82,3",1615563483590066
"29,9","622,1",12,"270,4",0,"1,4","722,5","73,9","82,4",1615563483865526
"30,1","622,1",12,"271,8","0,1",0,"722,5","72,8","82,3",1615563484148753
"30,1","622,1","12,1","271,8",0,"1,4","722,5","72,5","82,3",1615563484431041
30,"620,7",12,"271,8",0,0,"721,1","73,9","82,4",1615563484712319
30,"629,1","12,3","270,4",0,"-1,4",742,"73,5","82,4",1615563485055369
"29,9","629,1","12,3","271,8",0,"1,4","741,3","75,6","82,4",1615563485332633
"29,9","651,5","12,7","278,8",0,"2,8","775,4","75,6","82,4",1615563485614511
"29,9","650,1","12,7","280,2","-0,1","1,4","776,1","77,7","82,5",1615563485894802
"29,9","664,1","13,1","278,8",0,0,"773,3","77,7","82,5",1615563486177001
30,"659,9","13,1","278,8",0,0,"794,9","78,8","82,4",1615563486459252
"29,9","668,2","13,3","281,6","0,1","-2,8","793,5","79,3","82,4",1615563486740501
30,"666,8","13,4","278,8",0,"1,4","813,7","79,6","82,4",1615563487023939
"29,9","673,8","13,6","277,4",0,"1,4",813,"79,5","82,5",1615563487305166
"29,9","676,6","13,7","280,2",0,0,"824,9","80,3","82,4",1615563487587263
"29,9","682,2","13,7","278,8",0,"1,4","825,6","80,2","82,4",1615563487864484
30,"682,2","13,9","277,4",0,"4,2","831,2","81,5","82,5",1615563488144019
"29,9","680,8","13,9","280,2",0,"2,8","833,9","81,5","82,4",1615563488424333
30,"683,6","14,1",276,0,"-1,4","843,7","81,2","82,4","1,61556E+15"
30,"682,2",14,"280,2",0,0,"844,4","81,4","82,4",1615563488986134
30,"690,6","14,2","278,8","0,1",0,"849,3","81,5","82,4","1,61556E+15"
30,"686,4","14,2","278,8",0,0,"848,6","82,4","82,4",1615563489575552
30,"690,6","14,2","278,8","-0,1",0,"859,7","82,1","82,3",1615563489858794
"29,9","690,6","14,3","278,8",0,0,859,"83,8","82,5",1615563490138057
"29,9","696,2","14,6","280,2",0,"2,8","875,8","83,3","82,3",1615563490418362
"29,9",699,"14,7","277,4",0,"-1,4","873,7",84,"82,5",1615563490699617
30,706,"14,8","278,8",0,0,889,"84,2","82,5","1,61556E+15"
30,"707,4","14,8","278,8",0,0,"890,4",85,"82,4",1615563491263251
"29,9",720,"15,2","287,2",0,"2,8","890,4","85,4","82,3",1615563491544701
"29,9","721,4","15,2","284,4",0,"-1,4","908,5","87,5","82,4",1615563491829783
30,734,"15,6","285,8","0,1",0,"909,2","87,1","82,4",1615563492110972
30,"736,7","15,7",283,"-0,1","4,2",928,"87,6","82,5",1615563492406285
"29,9","743,7","15,9",283,0,"1,4","926,6","88,2","82,4",1615563492686498
30,"745,1","15,9","285,8",0,"1,4",944,"88,9","82,3","1,61556E+15"
30,"752,1","15,9","285,8",0,"1,4","943,3","89,2","82,4",1615563493248569
30,"746,5","16,1","285,8",0,"1,4","960,1","89,9","82,4",1615563493530711
30,"747,9","16,1","285,8",0,"2,8","959,4","90,3","82,4",1615563493842057
30,"750,7","16,3","285,8",0,"2,8","965,6","89,9","82,4",1615563494124167
30,"747,9","16,3","285,8","0,1","1,4","966,3","89,7","82,1",1615563494406615
30,"750,7","16,3",283,0,"-4,2","969,1","89,7","82,4",1615563494683896
30,"756,3","16,4","285,8",0,"1,4","969,1","90,1","82,4",1615563494996414
30,"759,1","16,5",290,0,"1,4","977,5","90,8","82,4","1,61556E+15"
"29,9","760,5","16,5","284,4",0,"2,8","976,1",91,"82,5",1615563495560901
30,"759,1","16,5","285,8",0,"1,4",981,91,"82,4",1615563495839384
"29,9","759,1","16,5","287,2",0,"1,4","982,3","92,2","82,4",1615563496119597
30,"763,3","16,7","287,2",0,"1,4","986,5","91,8","82,3",1615563496401741
"29,9","766,1","16,7","284,4",0,0,"987,9","91,8","82,5",1615563496684086
"29,9","766,1","16,8","285,8",0,"1,4",997,"91,7","82,5",1615563496963189
30,"766,1","16,8","285,8",0,0,"995,6","92,9","82,5",1615563497242445
"29,9","774,5",17,290,0,"-2,8",997,"92,2","82,4",1615563497520865
30,"774,5","16,9","285,8",0,"2,8","1003,9","92,5","82,4",1615563497802903
"29,9","773,1","17,1",290,0,"-2,8","1004,6","92,7","82,5",1615563498082159
"29,9","773,1",17,"285,8",0,"1,4","1003,2","92,9","82,4",1615563498361408
"29,9","766,1",17,"285,8",0,"1,4","1003,2","92,7","82,4",1615563498688354
30,"766,1",17,"288,6",0,0,"1003,9","91,8","82,4",1615563498968807
30,"767,5",17,"285,8",0,0,"1003,9","91,8","82,3",1615563499251065
30,"767,5",17,"284,4",0,"-2,8","999,1","92,2","82,4",1615563499531283
30,"766,1",17,"287,2",0,"1,4","1000,5","91,8","82,4",1615563499827838
30,"773,1",17,"284,4","-0,1",0,"1000,5","91,1","82,6",1615563500111222
30,"766,1","16,9","285,8",0,"1,4","1000,5","91,8","82,4",1615563500397263
30,"764,7","16,9","284,4",0,"2,8","999,8","92,7","82,5",1615563500676066
"29,9","766,1","16,9","287,2",0,"1,4","999,8","91,8","82,4",1615563500956289
30,"767,5","16,9","288,6",0,0,"999,1","92,2","82,5",1615563501236533
"29,9","767,5",17,"285,8",0,"1,4","1000,5","91,8","82,4",1615563501522287
"29,9","764,7","16,9","284,4",0,"1,4","1001,2","91,7","82,4",1615563501835618
"29,9","764,7","16,9","285,8",0,"1,4","999,8","91,8","82,4",1615563502119482
"29,9","767,5","16,9","285,8",0,0,"999,1","91,7","82,4",1615563502400523
30,"767,5","16,9","287,2",0,"1,4","1000,5","91,8","82,4",1615563502668001
30,"766,1","16,9","285,8","-0,1","1,4","1000,5","91,8","82,4",1615563502949083
"29,9","767,5",17,"287,2",0,0,"999,8","91,8","82,4",1615563503229309
30,"770,3","16,9","287,2",0,"2,8","1000,5","91,7","82,3",1615563503508965
"29,9","767,5",17,"285,8",0,"-1,4","1000,5","91,8","82,4",1615563503789358
30,"767,5","16,9","285,8",0,"1,4","999,8","91,8","82,4",1615563504068661
"29,9","770,3","16,9","285,8","0,1",0,"1001,2",92,"82,5",1615563504348168
"29,9","767,5","16,9","285,8",0,"1,4","1001,2","91,8","82,5",1615563504724114
30,"767,5","16,9","285,8",0,0,"999,1",92,"82,5",1615563505005245
"29,9","766,1","16,9","287,2",0,0,"1001,2","91,5","82,4",1615563505287815
30,"767,5","16,9","285,8",0,"1,4","1001,9","91,8","82,4",1615563505571292
"29,9","763,3","16,9","287,2",0,"2,8","1000,5",92,"82,4",1615563505869257
30,"768,9","16,9","285,8",0,"2,8","1000,5","91,8","82,5",1615563506145787
30,"766,1","16,9","287,2",0,"1,4","998,4",92,"82,5",1615563506430173
30,"767,5",17,"285,8",0,"1,4","999,1","91,8","82,5",1615563506724407
30,"767,5","16,9","284,4",0,"-1,4","998,4","91,5","82,4",1615563507002849
"29,9","766,1",17,"287,2",0,"1,4","999,1",91,"82,4",1615563507282051
"29,9","760,5","16,9","284,4",0,"1,4","1000,5","90,6","82,4",1615563507563203
30,"760,5","16,9","284,4",0,"2,8","1000,5","90,8","82,4",1615563507841437
"29,9","757,7",17,"287,2","-0,1","2,8","1000,5","91,1","82,3",1615563508122654
30,"757,7","16,9","285,8",0,"1,4","999,8",91,"82,3",1615563508403658
30,"757,7",17,"281,6",0,"2,8","1000,5","90,8","82,4",1615563508698115
30,"757,7","16,9","287,2","-0,1","1,4","1000,5",91,"82,2",1615563508977352
"29,8","754,9",17,"287,2",0,"1,4","1000,5","90,4","82,5",1615563509273559
"29,8","759,1","16,9","284,4",0,"1,4","1000,5","90,6","82,4",1615563509556482
30,"760,5",17,"281,6",0,"2,8","1001,2",91,"82,4",1615563509831538
"29,9","759,1","16,9","285,8",0,"1,4","1000,5","90,8","82,4",1615563510110792
"29,9","756,3","16,9","288,6",0,0,"1001,2",91,"82,4",1615563510389045
"29,9","759,1",17,"285,8",0,0,"999,8",91,"82,4",1615563510699224
"29,9","756,3","16,9",283,"-0,1","2,8","999,8","90,4","82,4",1615563510977573
"29,8","759,1","16,9","285,8",0,"1,4","999,8",91,"82,4",1615563511253881
"29,8","761,9","16,8","284,4","0,1","2,8","1000,5",91,"82,4",1615563511554031
"29,9","759,1","16,9","285,8",0,"1,4","1000,5","90,8","82,4",1615563511856386
"29,9","760,5",17,"281,6",0,"-1,4","1001,2","90,8","82,5",1615563512137178
30,"757,7","16,9","285,8",0,0,"1000,5","90,6","82,4",1615563512402478
30,"760,5","16,9","285,8",0,0,"999,8","90,6","82,4",1615563512668777
30,"760,5","16,9","285,8",0,"1,4","1001,2",91,"82,4",1615563513016824
30,"759,1","16,9","287,2",0,"1,4","999,8",91,"82,5","1,61556E+15"
30,"757,7","16,9","287,2",0,"2,8","1000,5","90,4","82,3",1615563513612239
"29,9","759,1","16,9","287,2",0,0,"999,8",91,"82,5",1615563513891998
30,"756,3","16,9","287,2",0,0,"999,8",91,"82,5",1615563514161277
30,"753,5","16,9","287,2",0,0,"1000,5",91,"82,5",1615563514431596
30,"757,7","16,9","284,4",0,"1,4","999,8","90,8","82,4",1615563514713836
30,"764,7","16,9","281,6","0,1","-1,4","999,8","91,5","82,6",1615563514978635
30,"757,7",17,"287,2",0,"1,4","1000,5","90,8","82,4",1615563515247886
30,"756,3","16,9","285,8","-0,1","1,4","1000,5","90,8","82,4",1615563515515207
"29,8","761,9","16,9","285,8","-0,1","2,8","1000,5","91,5","82,4","1,61556E+15"
"29,8","759,1","16,9","287,2",0,"1,4","1000,5",91,"82,4",1615563516046788
30,"759,1","16,9","285,8",0,"1,4","1000,5","90,8","82,4",1615563516310056
30,"766,1","16,9","285,8","0,1",0,"998,4",91,"82,7",1615563516590319
"29,8","760,5","16,9","285,8",0,"1,4","999,8","90,8","82,4","1,61556E+15"
"29,9","763,3","16,9","285,8","0,1",0,"1000,5","91,1","82,4",1615563517155791
"29,9","759,1","16,8","285,8",0,"-5,6","1000,5",91,"82,5",1615563517425072
30,"763,3",17,"287,2",0,0,"1001,2","91,5","82,5",1615563517721789
"29,9","760,5","16,9","284,4",0,0,"999,8","90,8","82,4",1615563518001039
"29,9","757,7","16,9","285,8",0,"2,8","1000,5","91,5","82,4","1,61556E+15"
"29,9","757,7","16,9",290,0,"-1,4","999,1","90,8","82,3","1,61556E+15"
"29,9","759,1","16,9","285,8",0,"1,4","999,8","91,1","82,4",1615563518854756
"29,9","759,1",17,"284,4",0,0,"999,8",91,"82,4",1615563519130018
"29,9","759,1","16,9","284,4",0,"1,4","999,8","91,1","82,4",1615563519408273
30,"756,3","16,9","287,2","0,1","1,4","1000,5","91,1","82,4","1,61556E+15"
30,"757,7","16,9","287,2",0,0,"1000,5",91,"82,4",1615563519971766
"29,9","754,9",17,"285,8",0,0,"1000,5","90,6","82,5",1615563520237097
30,"757,7",17,"287,2",0,"1,4","999,8",91,"82,4",1615563520502346
30,"759,1","16,9","285,8",0,0,"999,8",91,"82,4",1615563520767745
30,"759,1","16,9","287,2",0,"1,4","1000,5",91,"82,3",1615563521075121
30,"759,1","16,9","285,8",0,"1,4","999,8","90,8","82,4",1615563521342391
"29,9","759,1","16,9","285,8",0,"1,4","1000,5","90,8","82,4",1615563521634655
"29,9","759,1","16,9","285,8",0,"1,4","1000,5",91,"82,4",1615563521911906
"29,9","757,7","16,9","285,8","-0,1",0,"1000,5","89,7","82,5",1615563522181461
"29,9","752,1","16,9","285,8",0,0,"1000,5","89,9","82,4",1615563522459185
30,"753,5",17,"285,8",0,"-2,8","999,1","90,3","82,4",1615563522737441
"29,8","752,1",17,"285,8",0,"1,4","1000,5","89,9","82,4","1,61556E+15"
30,"749,3",17,"287,2","0,1","-5,6","1000,5","90,3","82,5",1615563523296944
30,"752,1","16,9","287,2",0,0,"999,8","89,9","82,4",1615563523572331
"29,9","761,9",17,"287,2",0,"2,8","999,1","90,1","82,4","1,61556E+15"
"29,8","759,1",17,"285,8",0,"1,4","1000,5","89,7","82,4",1615563524145663
"29,8","759,1","16,9","288,6",0,"1,4","1000,5","89,9","82,3",1615563524427343
30,"759,1","16,9","285,8",0,"1,4","1000,5","89,9","82,4",1615563524710545
30,"759,1",17,"285,8",0,"2,8","999,8","90,3","82,4",1615563524990688
"29,9","760,5","16,9","285,8",0,"-1,4","998,4","89,9","82,3",1615563525270923
30,"752,1","16,9","284,4",0,"2,8","1000,5","89,2","82,3","1,61556E+15"
30,"750,7",17,"287,2",0,"1,4","999,8","90,8","82,5",1615563525854375
30,"782,9","16,6","323,6",0,"1,4",997,91,"82,4",1615563526224381
30,"782,9","16,6","326,4",0,"2,8",997,"98,8","82,5",1615563526508819
30,"873,8","16,4","460,9",0,"1,4","996,3","98,4","82,4",1615563526789681
"29,8",871,"16,4","462,3",0,"-1,4","990,7","111,7","82,3",1615563527075402
"29,9","957,6","16,4",580,0,"1,4","992,8","111,5","82,4",1615563527355641
"29,8",959,"16,4","577,2",0,"1,4","991,4","118,3","82,2","1,61556E+15"
"29,9","1019,1","16,2","671,1",0,0,"992,1","118,5","82,4",1615563527936103
"29,7","1023,3","16,2","671,1",0,"1,4","992,1",127,"82,3",1615563528219333
"29,8","1065,3","16,3","745,3","-0,1","-2,8","992,8","126,7","82,4",1615563528503349
"29,8","1066,7","16,3","746,7",0,0,"992,1","129,8","82,3",1615563528784669
"29,7","1072,3","16,4","750,9",0,"2,8","992,8",130,"82,4",1615563529065879
"29,8","1072,3","16,5","753,7",0,"1,4","992,1","129,6","82,4",1615563529345289
"29,8","1087,6","16,5","774,8",0,0,"991,4",130,"82,4",1615563529626515
"29,9","1090,4","16,3","773,4",0,0,"992,1","132,6","82,4",1615563529905783
30,"1108,6","16,3","802,8",0,"1,4",990,"132,4","82,5",1615563530232785
"29,8","1111,4","16,2",807,0,"1,4","992,1","135,4","82,4",1615563530518148
"29,8","1122,6","16,1","832,2",0,"1,4","992,1","134,9","82,4",1615563530798243
"29,9","1125,4","16,2","836,4",0,"1,4","988,6","138,3","82,4",1615563531084218
"29,7","1142,2","16,2","874,2",0,"1,4","988,6","138,3","82,4",1615563531366497
"29,7","1150,6","16,3","871,4",0,"1,4","987,9","139,9","82,4",1615563531648695
"29,8","1149,2","16,3","882,6",0,"1,4","989,3","140,4","82,4",1615563531925941
"29,9","1163,1","16,2","888,2",0,0,"989,3","140,1","82,4",1615563532209175
"29,7","1164,5","16,2","889,6",0,"2,8","988,6",141,"82,4",1615563532483476
"29,8","1164,5","16,3","895,2",0,"-1,4","989,3","140,8","82,4",1615563532764344
"29,8","1167,3","16,2","895,2",0,"2,8","987,9","141,1","82,5",1615563533044565
"29,8","1164,5","16,3","893,8",0,0,"988,6","140,8","82,4",1615563533325234
"29,7","1164,5","16,3","892,4",0,"-2,8","988,6","140,8","82,4",1615563533608671
"29,8","1170,1","16,2","895,2",0,"1,4","988,6",141,"82,3",1615563533888194
"29,8","1172,9","16,3","893,8",0,0,"989,3","141,1","82,4",1615563534184525
"29,8","1171,5","16,2","895,2",0,"1,4","987,9",141,"82,4",1615563534465261
"29,8","1172,9","16,2","895,2",0,"2,8","990,7",141,"82,4",1615563534743451
"29,7","1165,9","16,2","895,2",0,"2,8","987,2","141,1","82,4",1615563535021885
"29,8","1167,3","16,2","896,6","0,1","1,4","988,6","140,8","82,4",1615563535302022
"29,7","1164,5","16,3","896,6",0,"1,4","987,9","141,1","82,4",1615563535582596
"29,7","1164,5","16,2","893,8",0,0,"989,3","140,8","82,4",1615563535892771
"29,8","1163,1","16,2","896,6",0,"1,4",990,141,"82,4",1615563536173051
"29,8","1165,9","16,2","895,2",0,"-4,2","988,6","141,3","82,5",1615563536453475
"29,8","1165,9","16,2","886,8",0,"2,8","988,6",141,"82,3",1615563536735512
"29,7","1164,5","16,2","886,8",0,"2,8","988,6",141,"82,4",1615563537014804
"29,7","1164,5","16,2","892,4",0,"2,8","988,6","141,1","82,4",1615563537292021
"29,7","1164,5","16,2","895,2",0,"1,4","988,6",141,"82,4",1615563537567885
"29,8","1164,5","16,2","896,6",0,"1,4","987,2","141,1","82,3","1,61556E+15"
"29,7","1163,1","16,2","888,2",0,"2,8","988,6","141,1","82,4",1615563538129481
"29,8","1164,5","16,2","886,8",0,0,"989,3","140,8","82,5",1615563538425395
"29,8","1167,3","16,2","899,4",0,"2,8","988,6","141,1","82,5",1615563538755717
"29,7","1164,5","16,2","900,8",0,"-1,4","987,9","144,3","82,4",1615563539057913
"29,8","1249,8","15,8","1015,7","0,1",0,"985,1","150,4","82,4","1,61556E+15"
"29,8","1249,8","15,7","1014,3",0,"2,8","983,7",158,"82,4",1615563539668306
"29,8","1309,9",16,"1122,2",0,"1,4","985,1","158,2","82,4",1615563539948354
"29,7","1308,5",16,"1123,6",0,"2,8","985,8","160,1","82,3",1615563540213848
"29,7","1309,9",16,"1122,2",0,"1,4","985,8",160,"82,4",1615563540511848
"29,8","1311,3",16,"1122,2",0,"1,4","985,1",160,"82,3",1615563540825024
"29,8","1308,5",16,"1120,8",0,"1,4","985,1",160,"82,4","1,61556E+15"
"29,8","1311,3",16,"1120,8",0,"1,4","983,7",160,"82,5",1615563541385723
"29,8","1307,1","16,1","1120,8","0,1","1,4","985,8","159,6","82,4",1615563541714631
"29,7","1311,3",16,"1120,8",0,0,"984,4",160,"82,4",1615563541993882
"29,7","1307,1","16,1","1123,6","-0,1","1,4",983,"160,1","82,4","1,61556E+15"
"29,8","1308,5",16,"1122,2",0,"1,4","985,1",160,"82,4",1615563542572539
"29,8","1309,9","16,1","1119,4",0,"1,4","984,4",160,"82,4",1615563542853938
"29,8","1311,3",16,"1120,8",0,0,"985,1","159,1","82,4",1615563543134161
"29,8","1259,6","16,3","1052,2",0,"1,4","985,8","158,9","82,4",1615563543417433
"29,7","1255,4","16,4",1055,0,"2,8","987,9","150,7","82,4","1,61556E+15"
"29,7","1217,7","16,3","993,3",0,"1,4","990,7","150,5","82,4",1615563543982037
"29,8","1217,7","16,2","993,3","-0,1","1,4","985,1","149,3","82,5",1615563544261175
"29,7","1217,7","16,1","987,7",0,"2,8","984,4","149,5","82,4",1615563544619001
"29,7","1220,5","16,1","990,5",0,"-1,4","985,1","151,4","82,4","1,61556E+15"
"29,8","1242,8","16,1","1021,3","0,1",0,"985,1","151,4","82,4","1,61556E+15"
"29,7","1238,6","16,1","1024,1",0,0,"985,1","152,5","82,3",1615563545475719
"29,7","1241,4","16,1","1024,1",0,0,"985,1","151,9","82,5",1615563545760764
"29,8","1241,4","16,1","1017,1",0,"2,8","984,4","152,1","82,5",1615563546043015
"29,8","1241,4","16,1","1022,7",0,"1,4","985,1","152,3","82,4",1615563546415151
"29,7","1241,4","16,1","1022,7",0,"1,4","988,6","152,5","82,4",1615563546691469
"29,7",1233,"16,1","1008,7",0,"-1,4","989,3","152,3","82,4",1615563546975555
"29,7","1234,4","16,2","1008,7",0,"-4,2","989,3","149,3","82,4",1615563547253894
"29,8","1227,4","16,2","994,7",0,0,"988,6","149,8","82,4",1615563547532436
"29,8",1226,"16,2","993,3","0,1","1,4","989,3","149,3","82,4",1615563547814727
"29,8","1219,1","16,1","993,3",0,"1,4","988,6","149,7","82,4","1,61556E+15"
"29,8","1217,7","16,1","991,9",0,0,"987,9","149,7","82,4",1615563548459458
"29,8","1217,7","16,1","994,7",0,"1,4","987,2","149,5","82,3",1615563548739843
"29,8","1217,7","16,1","993,3",0,0,"984,4","149,7","82,4",1615563549023039
"29,8","1216,3","16,1","994,7",0,"1,4","984,4","149,3","82,4",1615563549298433
"29,7","1217,7","16,1","993,3",0,0,"985,1","149,5","82,4",1615563549579578
"29,7","1217,7",16,"993,3","0,1","1,4","985,8","149,3","82,4","1,61556E+15"
"29,8","1217,7","16,1","993,3",0,0,"988,6",150,"82,4",1615563550185937
"29,8","1217,7","16,1","993,3",0,"1,4","989,3","149,5","82,4",1615563550466273
"29,7","1219,1","16,1","993,3",0,0,"988,6","149,7","82,4",1615563550749519
"29,8","1217,7","16,2","993,3",0,0,990,"149,7","82,5",1615563551030797
"29,8","1217,7","16,1","993,3",0,"1,4","988,6","149,7","82,4",1615563551312777
