Date,Active Works,Bank Entrance,Bank Output,Cash Entry,Cash Output,Total in Bank,Total Cash,Final
Oct-16,3,"$ 485,110.70","$ 486,480.99","$ 126,252.93","$ 150,043.38","$ 187,466.31","$ 22,349.70","$ 210,595.29"
Nov-16,3,"$ 539,345.35","$ 442,665.34","$ 268,495.46","$ 257,307.00","$ 278,254.27","$ 33,538.16","$ 312,571.71"
Dec-16,5,"$ 1,416,396.36","$ 1,179,410.72","$ 177,612.56","$ 197,423.28","$ 504,465.06","$ 13,727.44","$ 518,971.78"
Jan-17,7,"$ 1,035,910.28","$ 626,940.17","$ 241,717.76","$ 134,651.42","$ 908,329.07","$ 120,793.78","$ 1,029,902.13"
Feb-17,7,"$ 3,329,883.06","$ 3,929,136.12","$ 243,116.55","$ 109,672.87","$ 270,321.89","$ 254,237.46","$ 525,338.64"
Mar-17,8,"$ 2,197,894.88","$ 1,645,462.31","$ 339,319.53","$ 318,888.96","$ 804,566.92","$ 274,668.03","$ 1,080,014.23"
Apr-17,7,"$ 425,636.19","$ 1,109,067.04","$ 579,007.59","$ 280,178.43","$ 113,727.84","$ 573,497.20","$ 688,004.32"
May-17,7,"$ 508,383.22","$ 265,079.12","$ 200,935.80","$ 622,240.45","$ 354,215.95","$ 152,192.54","$ 507,187.77"
Jun-17,8,"$ 1,156,518.81","$ 927,937.31","$ 614,768.78","$ 714,771.63","$ 570,290.71","$ 52,189.69","$ 623,259.67"
Jul-17,8,"$ 996,556.82","$ 867,529.37","$ 493,271.36","$ 339,083.88","$ 688,133.65","$ 206,377.17","$ 895,290.10"
Aug-17,5,"$ 214,166.26","$ 785,310.74","$ 591,192.36","$ 462,341.12","$ 110,992.31","$ 335,228.42","$ 447,000.00"
Sep-17,5,"$ 663,461.04","$ 488,092.41","$ 353,785.82","$ 362,600.69","$ 279,451.61","$ 326,413.55","$ 606,644.44"
Oct-17,7,"$ 1,508,925.56","$ 570,173.03","$ 146,685.54","$ 335,274.99","$ 1,205,729.56","$ 137,824.10","$ 1,344,332.93"
Nov-17,7,"$ 30,775.68","$ 822,927.72","$ 327,162.36","$ 317,379.25","$ 408,455.29","$ 147,607.21","$ 556,841.78"
Dec-17,4,"$ 305,016.89","$ 723,643.57","$ 331,913.41","$ 384,768.23","-$ 16,343.35","$ 94,752.39","$ 79,188.32"
Jan-18,3,"$ 1,190,531.49","$ 953,849.51","$ 444,089.34","$ 576,408.20","$ 259,639.77","$ 84,155.58","$ 344,574.63"
Feb-18,5,"$ 1,722,902.46","$ 1,120,900.35","$ 563,021.52","$ 269,703.34","$ 779,110.05","$ 388,968.79","$ 1,168,858.11"
Mar-18,5,"$ 359,562.94","$ 467,624.48","$ 220,205.44","$ 436,742.61","$ 133,710.04","$ 150,393.98","$ 284,883.29"
Apr-18,4,"$ 731,589.59","$ 883,603.68","$ 920,124.39","$ 631,468.29","-$ 27,995.21","$ 439,050.08","$ 411,834.15"
May-18,4,"$ 1,108,993.24","$ 1,186,581.24","$ 605,355.57","$ 549,778.15","$ 108,600.75","$ 471,854.71","$ 581,234.74"
Jun-18,4,"$ 524,681.70","$ 677,223.76","$ 431,162.70","$ 587,243.26","-$ 51,152.74","$ 315,774.15","$ 265,400.69"
Jul-18,2,"$ 378,006.85","$ 362,756.76","$ 443,189.70","$ 464,200.43","-$ 40,347.24","$ 294,763.42","$ 255,195.46"
Aug-18,3,"$ 1,643,104.71","$ 1,584,749.92","$ 563,431.65","$ 524,824.21","-$ 1,359.57","$ 333,370.86","$ 332,790.57"
Sep-18,3,"$ 488,739.64","$ 565,523.92","$ 386,032.03","$ 357,704.23","-$ 84,469.43","$ 361,698.66","$ 278,008.51"
Oct-18,3,"$ 504,950.10","$ 446,248.35","$ 306,654.39","$ 257,220.39","-$ 31,474.87","$ 411,132.66","$ 380,437.07"
Nov-18,3,"$ 1,663,796.86","$ 1,581,049.35","$ 915,488.10","$ 944,841.55","$ 31,803.56","$ 381,779.21","$ 414,362.05"
Dec-18,5,"$ 410,898.56","$ 647,480.69","$ 438,348.36","$ 288,138.12","-$ 211,128.85","$ 531,989.45","$ 321,639.88"
Jan-19,5,"$ 847,114.51","$ 462,809.65","$ 457,920.69","$ 587,902.66","$ 165,316.47","$ 402,007.48","$ 568,103.23"
Feb-19,6,"$ 1,044,010.58","$ 909,599.44","$ 456,547.05","$ 444,555.11","$ 288,005.95","$ 413,999.43","$ 702,784.65"
Mar-19,7,"$ 1,435,591.08","$ 988,694.47","$ 154,269.56","$ 293,615.12","$ 720,356.84","$ 274,653.87","$ 995,789.99"
Apr-19,7,"$ 528,152.14","$ 965,292.28","$ 453,364.37","$ 294,818.03","$ 274,256.03","$ 433,200.22","$ 708,235.53"
May-19,7,"$ 670,666.97","$ 529,121.88","$ 697,992.51","$ 627,099.69","$ 408,602.39","$ 504,093.03","$ 913,474.71"
Jun-19,7,"$ 123,248.39","$ 337,486.22","$ 462,382.41","$ 212,346.46","$ 191,600.16","$ 754,128.98","$ 946,508.42"
Jul-19,6,"$ 714,543.20","$ 634,467.74","$ 140,898.70","$ 377,773.86","$ 263,581.55","$ 517,253.83","$ 781,614.66"
Aug-19,8,"$ 1,171,494.93","$ 1,034,087.85","$ 447,717.17","$ 414,202.57","$ 387,755.14","$ 550,768.43","$ 939,302.85"
Sep-19,7,"$ 739,559.59","$ 808,175.58","$ 456,771.59","$ 646,568.36","$ 309,852.73","$ 360,806.99","$ 671,439.00"
Oct-19,7,"$ 2,016,520.85","$ 2,289,345.15","$ 637,988.83","$ 764,670.64","$ 11,302.19","$ 234,125.18","$ 246,206.65"
Nov-19,8,"$ 807,388.46","$ 444,196.97","$ 1,708,705.91","$ 1,495,306.10","$ 366,984.17","$ 447,524.99","$ 815,288.44"
Dec-19,7,"$ 998,833.99","$ 1,217,951.07","$ 214,176.59","$ 311,068.50","$ 134,566.38","$ 349,650.56","$ 484,996.22"
Jan-20,9,"$ 1,301,460.76","$ 1,441,259.07","$ 1,441,259.07","$ 1,441,259.07","$ 506,159.00","$ 371,909.36","$ 878,847.64"
Feb-20,9,"$ 1,538,102.08","$ 1,186,196.07","$ 339,214.22","$ 363,513.29","$ 842,646.36","$ 347,610.29","$ 1,191,035.93"
Mar-20,9,"$ 686,008.53","$ 1,464,324.79","$ 434,601.30","$ 435,382.47","$ 51,428.10","$ 346,829.12","$ 399,036.50"
Apr-20,9,"$ 2,761,104.16","$ 1,821,162.31","$ 267,985.35","$ 246,896.25","$ 963,876.35","$ 367,918.22","$ 1,332,573.85"
May-20,9,"$ 1,134,637.44","$ 1,366,464.38","$ 961,266.07","$ 990,919.29","$ 719,314.74","$ 338,265.00","$ 1,058,359.02"
Jun-20,9,"$ 942,113.29","$ 727,391.42","$ 278,572.60","$ 139,300.59","$ 925,871.18","$ 477,537.01","$ 1,404,187.47"
Jul-20,8,"$ 1,640,688.43","$ 2,278,275.78","$ 224,740.24","$ 260,993.53","$ 264,771.57","$ 441,283.72","$ 706,834.57"
Aug-20,8,"$ 1,595,615.13","$ 1,752,786.14","$ 196,837.26","$ 162,501.09","$ 89,610.15","$ 475,619.88","$ 566,009.31"
Sep-20,8,"$ 1,651,607.85","$ 1,275,371.14","$ 171,825.17","$ 206,418.48","$ 450,438.60","$ 441,026.58","$ 892,244.46"
