Cost Code,Concept,Group,Stage,Quantity,Unit,Unit Cost,Total,Markup %,Internal Notes
05300,Cornice - Sheating,5,9,Lot,1,"$1,938.00","$1,938.00",15,
05310,Cornice - Materials,5,9,Lot,1,"$9,572.44","$9,572.44",15,
05320,"Cornice - Fire wall-5/8"" Firecode sheetrock",5,9,Lot,1,$777.51,$777.51,15,
05340,Cornice - Fire wall-Fire caulking,5,9,Lot,1,$300.00,$300.00,15,
05350,Cornice - Madera Verde (4x4),5,9,Lot,1,$0.00,$0.00,15,
05360,Cornice - Cornice Labor,5,8,Lot,1,"$7,606.80","$7,606.80",15,
05400,Windstorm - Materials,5,8,Lot,1,"$1,616.50","$1,616.50",15,
05410,Windstorm - Labor,5,8,Lot,1,$0.00,$0.00,15,
05420,Windstorm - HDU 4,5,8,Lot,1,$0.00,$0.00,15,
05421,Windstorm - HDU 5,5,8,Lot,1,$0.00,$0.00,15,
05422,Windstorm - HDU 8,5,7,Lot,1,$0.00,$0.00,15,
05500,Decking,5,9,Lot,1,"$1,399.95","$1,399.95",15,
05600,Windows,5,7,Lot,1,"$1,195.13","$1,195.13",15,
05700,Roofing - Shingles,5,16,Lot,1,"$4,639.48","$4,639.48",15,
05800,Gutters,6,9,Lot,1,$0.00,$0.00,15,
06100,HVAC - Rough,6,12,Lot,1,"$6,230.00","$6,230.00",15,
06200,HVAC - Trim,6,17,Lot,1,"$2,670.00","$2,670.00",15,
06300,Energy Report,7,5,Lot,1,$0.00,$0.00,15,
07000,Electric - Temporary power pole,7,3,Lot,1,$0.00,$0.00,15,
07100,Electric - Underground,7,9,Lot,1,$0.00,$0.00,15,
07110,Electric - Rough,7,12,Lot,1,"$4,980.00","$4,980.00",15,
07120,Electric - Trim,7,9,Lot,1,"$3,320.00","$3,320.00",15,
07200,Low Voltage - Rough,7,12,Lot,1,$672.00,$672.00,15,
07210,Low Voltage - Trim,7,12,Lot,1,$448.00,$448.00,15,
07331,"Lighting - Light 2 - Bellevue Single Light 8"" Wide Mini Pendant. Mod BRP3674BK",7,12,Lot,1,$294.36,$294.36,15,
07333,"Lighting - Light 4 - Bellevue 9"" Tall Outdoor Wall Sconce Model:GWS19859MBK",7,12,Lot,1,$0.00,$0.00,15,
07400,Lighting - light bulbs,8,10,Lot,1,$12.00,$12.00,15,
08000,Insulation - Batts,8,15,Lot,1,"$1,411.38","$1,411.38",15,
08010,Insulation - Blowing,8,10,Lot,1,$604.88,$604.88,15,
08100,Drywall - Sheetrock,8,10,Lot,1,"$3,059.16","$3,059.16",15,
08110,Drywall - Tape and Float,8,10,Lot,1,"$3,059.16","$3,059.16",15,
08120,Drywall - Texture,8,12,Lot,1,"$1,529.58","$1,529.58",15,
08200,Paint - Interior 1,8,10,Lot,1,"$2,199.63","$2,199.63",15,
08210,Paint - Exterior 1,8,15,Lot,1,"$2,199.63","$2,199.63",15,
08220,Paint - Interior 2,8,16,Lot,1,"$2,199.63","$2,199.63",15,
08230,Paint - Touch up,8,9,Lot,1,$733.21,$733.21,15,
08240,Paint - Fire Caulking Labor,8,9,Lot,1,$350.00,$350.00,15,
08250,Paint - Fire Caulking Materials,9,10,Lot,1,$250.00,$250.00,15,
09000,Brick - Material,9,10,Lot,1,"$3,120.00","$3,120.00",15,
09010,Brick - Labor,9,10,Lot,1,"$4,500.00","$4,500.00",15,
09100,Wrought Iron & Sheet Metal - Turn Key,9,11,Lot,1,"$2,000.00","$2,000.00",15,
010000,Trim Materials,10,11,Lot,1,"$2,660.00","$2,660.00",15,
010100,Trim labor,10,11,Lot,1,"$3,922.00","$3,922.00",15,
010110,Trim labor - Cabinet handlers,10,11,Lot,1,$150.00,$150.00,15,
010120,Trim labor - Exterior door installation (Frame),10,11,Lot,1,$450.00,$450.00,15,
010130,Trim labor - others,10,11,Lot,1,$150.00,$150.00,15,
010140,Exterior doors - Entry Door 3/0x8,10,9,Lot,1,$919.04,$919.04,15,
010141,Exterior doors - Back Yard door 3/0x8,10,9,Lot,1,$919.04,$919.04,15,
010142,Exterior doors - Balcony Door 7/6x8,10,9,Lot,1,"$1,800.00","$1,800.00",15,
010143,Exterior doors - Garage Door 2/6x7,10,9,Lot,1,$465.47,$465.47,15,
010200,Interior doors - 2/0x7 Bathroom,10,11,Lot,1,"$1,619.36","$1,619.36",15,
010202,Interior doors - 2/6x7,10,11,Lot,1,$630.00,$630.00,15,
010203,Interior doors - 2/8x6 Bedroom,10,11,Lot,1,$0.00,$0.00,15,
010204,Interior doors - 2/0x6 Toilet/pantry,10,11,Lot,1,$0.00,$0.00,15,
010205,Interior doors - 1/6x6 Linen closet,10,11,Lot,1,$0.00,$0.00,15,
010206,Interior doors - 2x2/6x7 Utility,10,11,Lot,1,$357.22,$357.22,15,
010207,Interior doors - 2x2/0x6 (4/0x6) Closets,10,11,Lot,1,$339.90,$339.90,15,
010300,Door hardware - Passage,10,15,Lot,1,$124.35,$124.35,15,
010301,Door hardware - Privacy,10,15,Lot,1,$167.23,$167.23,15,
010302,Door hardware - Entry door knob set,10,15,Lot,1,$35.80,$35.80,15,
010303,Door hardware - Main entry door,10,15,Lot,1,$208.14,$208.14,15,
010304,Door hardware - Dummy,10,15,Lot,1,$55.20,$55.20,15,
010305,Door hardware - Deadbolt,10,15,Lot,1,$45.31,$45.31,15,
010306,Door hardware - Cabinet knob,10,15,Lot,1,$206.50,$206.50,15,
010400,Trim Hardware - Soporte barra para techo,10,15,Lot,1,$116.76,$116.76,15,
010401,Trim Hardware - Soporte barra muros,10,15,Lot,1,$300.00,$300.00,15,
010402,Trim Hardware - barra para closet,10,15,Lot,1,$357.21,$357.21,15,
010403,Trim Hardware - Soporte hand rail,10,15,Lot,1,$46.00,$46.00,15,
010404,Trim Hardware - Tope de muro,10,15,Lot,1,$21.65,$21.65,15,
010405,Trim Hardware - tope de puerta,10,15,Lot,1,$6.92,$6.92,15,
010406,Trim Hardware - numero exterior,10,15,Lot,1,$85.00,$85.00,15,
010500,Garage door - Door,10,12,Lot,1,"$1,000.00","$1,000.00",15,
010510,Garage door - Motor,10,12,Lot,1,$300.00,$300.00,15,
010600,Cabinets - bathrooms,10,11,Lot,1,$0.00,$0.00,15,
010610,Cabinets - Kitchen,10,11,Lot,1,$0.00,$0.00,15,
010620,Cabinets - Turn Key,10,11,Lot,1,"$3,800.00","$3,800.00",15,
010700,Countertops - Material,10,12,Lot,1,$0.00,$0.00,15,
010710,Countertops - Bathroom sinks,10,12,Lot,1,$0.00,$0.00,15,
010720,Countertops - Kitchen sink,10,12,Lot,1,$0.00,$0.00,15,
010730,Countertops - Turn Key,10,12,Lot,1,"$4,200.00","$4,200.00",15,
010800,Mirrors,10,14,Lot,1,$750.00,$750.00,15,
010810,Tempered Glass,10,14,Lot,1,"$1,100.00","$1,100.00",15,
011000,Ceramic - Shower floor,11,13,Lot,1,$136.01,$136.01,15,
011010,Ceramic - Shower walls,11,13,Lot,1,$912.00,$912.00,15,
011020,Ceramic - Tub walls,11,13,Lot,1,$0.00,$0.00,15,
011030,Ceramic - Backsplash,11,13,Lot,1,$100.00,$100.00,15,
011040,Ceramic - Thinset,11,13,Lot,1,$42.00,$42.00,15,
011050,Ceramic - Grout 1,11,13,Lot,1,$30.44,$30.44,15,
011060,Ceramic - Grout 2,11,13,Lot,1,$0.00,$0.00,15,
011070,Ceramic - Shluter ,11,13,Lot,1,$152.00,$152.00,15,
011080,Ceramic - Shower drain,11,13,Lot,1,$71.00,$71.00,15,
011090,Ceramic - Labor,11,13,Lot,1,"$2,800.00","$2,800.00",15,
011100,Vinyl floors - 1st Floor ,11,13,Lot,1,$878.50,$878.50,15,
011110,Vinyl floors - 2nd Floor ,11,13,Lot,1,"$2,362.50","$2,362.50",15,
011120,Vinyl floors - 3rd Floor ,11,13,Lot,1,$0.00,$0.00,15,
011130,Vinyl floors - Steps,11,13,Lot,1,$0.00,$0.00,15,
011140,Vinyl floors - Stair nose,11,13,Lot,1,$0.00,$0.00,15,
011150,Vinyl floors - Labor,11,13,Lot,1,"$3,317.00","$3,317.00",15,
011200,Carpet - Materials,11,16,Lot,1,"$1,336.20","$1,336.20",15,
011210,Carpet - Labor,11,16,Lot,1,$0.00,$0.00,15,
012000,Installation,12,16,Lot,1,$0.00,$0.00,15,
012010,Refrigerator,12,16,Lot,1,"$1,466.79","$1,466.79",15,
012020,Gas Range,12,16,Lot,1,"$1,066.26","$1,066.26",15,
012030,Microwave,12,16,Lot,1,$263.05,$263.05,15,
012040,Dishwasher,12,16,Lot,1,$398.36,$398.36,15,
013100,Grading - Materials (dirt fill),13,15,Lot,1,$450.00,$450.00,15,
013110,Grading - Labor,13,15,Lot,1,$400.00,$400.00,15,
013200,Fence - material,13,15,Lot,1,"$1,000.00","$1,000.00",15,
013210,Fence - Labor,13,15,Lot,1,$926.80,$926.80,15,
013220,Fence - door labor,13,15,Lot,1,$180.00,$180.00,15,
013230,Fence- Demolition,13,15,Lot,1,$0.00,$0.00,15,
013300,labor,13,15,Lot,1,$300.00,$300.00,15,
013310,Grass,13,16,Lot,1,$92.50,$92.50,15,
013320,Tree,13,16,Lot,1,$200.00,$200.00,15,
013330,plants,13,16,Lot,1,$150.00,$150.00,15,
013340,bulk rock,13,16,Lot,1,$135.00,$135.00,15,
013350,Mailbox,13,17,Lot,1,$0.00,$0.00,15,
014000,Jobsite cleaning,14,1,Lot,1,$500.00,$500.00,0,
014010,Onsite Dumpsters,14,1,Lot,1,"$1,737.50","$1,737.50",0,
014100,House Cleaning #1 (Deep),14,14,Lot,1,$300.00,$300.00,0,
014110,House Cleaning #2 (Routinely),14,15,Lot,1,$300.00,$300.00,0,
014120,House Cleaning #3 (Final),14,17,Lot,1,$200.00,$200.00,0,
015000,Port-A-Potty,15,14,Lot,1,$170.40,$170.40,0,
015100,Temporary Fencing,15,1,Lot,1,$900.00,$900.00,0,
015200,Security Cameras,15,1,Lot,1,$0.00,$0.00,0,
015300,Staging Furniture,15,18,Lot,1,$0.00,$0.00,0,
015400,Internal Inspections,15,18,Lot,1,$0.00,$0.00,0,
015500,Warranty expences,15,18,Lot,1,$500.00,$500.00,0,
