Date,Category,Company,Order #,Inv. Bought,QTY Sold,Description,Income,Expense,Tax Category
5/11/2023,Sales Tax,Etsy,2885012289,,,Sales Tax,,$1.27,
5/11/2023,Fees,Etsy,2885012289,,,Transaction Fee,,$0.97,
5/11/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/12/2023,Supplies,Lightning Source,,50,,(50) Paperback Copies (SPK-10664921),,$259.10,
5/12/2023,Fees,Etsy,,,,Listing Fees,,$0.80,
5/12/2023,Order,Etsy,2885726447,,4,(4) Book,$63.12,,
5/12/2023,Fees,Etsy,2885726447,,,Processing Fee,,$2.14,
5/12/2023,Sales Tax,Etsy,2885726447,,,Sales Tax,,$3.18,
5/12/2023,Fees,Etsy,2885726447,,,Transaction Fee,,$3.90,
5/16/2023,Fees,Etsy,,,,Listing Fees,,$1.00,
5/16/2023,Fees,Etsy,,,,Listing Fees,,$0.60,
5/16/2023,Order,Etsy,2889530349,,3,(3) Book,$47.65,,
5/16/2023,Fees,Etsy,2889530349,,,Processing Fee,,$1.68,
5/16/2023,Sales Tax,Etsy,2889530349,,,Sales Tax,,$2.70,
5/16/2023,Fees,Etsy,2889530349,,,Transaction Fee,,$2.92,
5/21/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/21/2023,Order,Etsy,2899793210,,1,(1) Book,$17.65,,
5/21/2023,Fees,Etsy,2899793210,,,Processing Fee,,$0.78,
5/21/2023,Sales Tax,Etsy,2899793210,,,Sales Tax,$1.00,,
5/21/2023,Fees,Etsy,2899793210,,,Transaction Fee,,$1.08,
5/21/2023,Refund,Etsy,2899793210,,,10% discount refund to buyer,,$1.77,
5/21/2023,Refund,Etsy,2899793210,,,Refund to Buyer for Sales Tax,$0.10,,
5/21/2023,Refund,Etsy,2899793210,,,Credit for Processing Fee Refund,$0.05,,
5/21/2023,Refund,Etsy,2899793210,,,Credit for Transaction Fee Refund,$0.11,,
5/22/2023,Fees,Etsy,2866792657,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2871993878,,,Shipping Fee,,$4.35,
5/22/2023,Fees,Etsy,2872444630,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2872492640,,,Shipping Fee,,$4.35,
5/22/2023,Fees,Etsy,2873000610,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2869449397,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2870211209,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2870780995,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2873431039,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2877965108,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2875423095,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2875708445,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2877651931,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2878568735,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2883905706,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2886101038,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2887854620,,,Shipping Fee,,$4.35,
5/22/2023,Fees,Etsy,2884575065,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2885012289,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2899793210,,,Shipping Fee,,$3.65,
5/22/2023,Fees,Etsy,2885726447,,,Shipping Fee,,$4.35,
5/22/2023,Fees,Etsy,2889530349,,,Shipping Fee,,$4.32,
5/22/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/22/2023,Order,Etsy,2900885286,,1,(1) Book,$16.03,,
5/22/2023,Fees,Etsy,2900885286,,,Processing Fee,,$0.73,
5/22/2023,Sales Tax,Etsy,2900885286,,,Sales Tax,,$1.05,
5/22/2023,Fees,Etsy,2900885286,,,Transaction Fee,,$0.97,
5/22/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/22/2023,Order,Etsy,2895488379,,1,(1) Book,$16.52,,
5/22/2023,Fees,Etsy,2895488379,,,Processing Fee,,$0.75,
5/22/2023,Sales Tax,Etsy,2895488379,,,Sales Tax,,$1.54,
5/22/2023,Fees,Etsy,2895488379,,,Transaction Fee,,$0.97,
5/22/2023,Fees,Etsy,,,,Listing Fees,,,
5/22/2023,Order,Etsy,2895661493,,1,(1) Book,$15.88,,
5/22/2023,Fees,Etsy,2895661493,,,Processing Fee,,$0.73,
5/22/2023,Sales Tax,Etsy,2895661493,,,Sales Tax,,$0.90,
5/22/2023,Fees,Etsy,2895661493,,,Transaction Fee,,$0.97,
5/22/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/22/2023,Order,Etsy,2901120640,,1,(1) Book,$16.22,,
5/22/2023,Fees,Etsy,2901120640,,,Processing Fee,,$0.74,
5/22/2023,Sales Tax,Etsy,2901120640,,,Sales Tax,,$1.24,
5/22/2023,Fees,Etsy,2901120640,,,Transaction Fee,,$0.97,
5/22/2023,Order,Redacted County Farm Bureau,,,55,(55) Book,$659.45,,
5/23/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/23/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/23/2023,Order,Etsy,2901677988,,1,(1) Book,$16.07,,
5/23/2023,Fees,Etsy,2901677988,,,Processing Fee,,$0.73,
5/23/2023,Sales Tax,Etsy,2901677988,,,Sales Tax,,$1.09,
5/23/2023,Fees,Etsy,2901677988,,,Transaction Fee,,$0.97,
5/23/2023,Fees,Etsy,2895661493,,,Shipping Fee,,$3.65,
5/23/2023,Fees,Etsy,2900885286,,,Shipping Fee,,$3.65,
5/23/2023,Fees,Etsy,2901120640,,,Shipping Fee,,$3.65,
5/23/2023,Fees,Etsy,2895488379,,,Shipping Fee,,$3.65,
5/23/2023,Fees,Etsy,2901677988,,,Shipping Fee,,$3.65,
5/26/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/26/2023,Order,Etsy,2904772230,,1,(1) Book,$15.88,,
5/26/2023,Fees,Etsy,2904772230,,,Processing Fee,,$0.73,
5/26/2023,Sales Tax,Etsy,2904772230,,,Sales Tax,,$0.90,
5/26/2023,Fees,Etsy,2904772230,,,Transaction Fee,,$0.97,
5/26/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/26/2023,Order,Etsy,2904793194,,1,(1) Book,$16.03,,
5/26/2023,Fees,Etsy,2904793194,,,Processing Fee,,$0.73,
5/26/2023,Sales Tax,Etsy,2904793194,,,Sales Tax,,$1.05,
5/26/2023,Fees,Etsy,2904793194,,,Transaction Fee,,$0.97,
5/26/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/26/2023,Order,Etsy,2899013867,,1,(1) Book,$16.29,,
5/26/2023,Fees,Etsy,2899013867,,,Processing Fee,,$0.74,
5/26/2023,Sales Tax,Etsy,2899013867,,,Sales Tax,,$1.31,
5/26/2023,Fees,Etsy,2899013867,,,Transaction Fee,,$0.97,
5/26/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/26/2023,Order,Etsy,2904908044,,1,(1) Book,$16.27,,
5/26/2023,Fees,Etsy,2904908044,,,Processing Fee,,$0.74,
5/26/2023,Sales Tax,Etsy,2904908044,,,Sales Tax,,$1.29,
5/26/2023,Fees,Etsy,2904908044,,,Transaction Fee,,$0.97,
5/27/2023,Fees,Etsy,2904772230,,,Shipping Fee,,$3.65,
5/27/2023,Fees,Etsy,2904793194,,,Shipping Fee,,$3.65,
5/27/2023,Fees,Etsy,2904908044,,,Shipping Fee,,$3.65,
5/27/2023,Fees,Etsy,2899013867,,,Shipping Fee,,$3.65,
5/30/2023,Fees,Etsy,,,,Listing Fees,,$0.40,
5/31/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/31/2023,Order,Etsy,2909153346,,1,(1) Book,$16.18,,
5/31/2023,Fees,Etsy,2909153346,,,Processing Fee,,$0.74,
5/31/2023,Sales Tax,Etsy,2909153346,,,Sales Tax,,$1.20,
5/31/2023,Fees,Etsy,2909153346,,,Transaction Fee,,$0.97,
5/31/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/31/2023,Order,Etsy,2903063013,,1,(1) Book,$16.44,,
5/31/2023,Fees,Etsy,2903063013,,,Processing Fee,,$0.74,
5/31/2023,Sales Tax,Etsy,2903063013,,,Sales Tax,,$1.46,
5/31/2023,Fees,Etsy,2903063013,,,Transaction Fee,,$0.97,
5/31/2023,Order,Etsy,2908209644,,2,(2) Book,$32.37,,
5/31/2023,Fees,Etsy,2908209644,,,Processing Fee,,$1.22,
5/31/2023,Sales Tax,Etsy,2908209644,,,Sales Tax,,$2.40,
5/31/2023,Fees,Etsy,2908209644,,,Transaction Fee,,$1.95,
5/31/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/31/2023,Order,Etsy,2909531004,,1,(1) Book,$15.88,,
5/31/2023,Fees,Etsy,2909531004,,,Processing Fee,,$0.73,
5/31/2023,Sales Tax,Etsy,2909531004,,,Sales Tax,,$0.90,
5/31/2023,Fees,Etsy,2909531004,,,Transaction Fee,,$0.97,
5/31/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/31/2023,Order,Etsy,2903840051,,1,(1) Book,$16.14,,
5/31/2023,Fees,Etsy,2903840051,,,Processing Fee,,$0.73,
5/31/2023,Sales Tax,Etsy,2903840051,,,Sales Tax,,$1.16,
5/31/2023,Fees,Etsy,2903840051,,,Transaction Fee,,$0.97,
5/31/2023,Order,,,,30,Tennesee Orders (30) Books,$360.00,,
5/31/2023,Order,,,,1,Neighbor Order (1) Book,$12.00,,
5/31/2023,Order,,,,1,Redacted (1) Book,$15.00,,
5/31/2023,Fees,PayPal Shipping,,,,Shipping Fees to Redacted,,$14.60,
5/31/2023,Supplies,Lightning Source,,50,,(50) Paperback Copies (SPK-10612957),,$259.10,
6/2/2023,Order,Etsy,2905703283,,1,(1) Book,$14.68,,
6/2/2023,Fees,Etsy,2905703283,,,Processing Fee,,$0.69,
6/2/2023,Sales Tax,Etsy,2905703283,,,Sales Tax,,$0.83,
6/2/2023,Fees,Etsy,2905703283,,,transaction Fee,,$0.90,
6/2/2023,Refund,Etsy,2905703283,,,Partial Refund for Local Pickup,,$1.97,
6/2/2023,Refund,Etsy,2905703283,,,Refund credit for sales tax,$0.11,,
6/2/2023,Refund,Etsy,2905703283,,,Refund credt for processing fee,$0.06,,
6/2/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
6/2/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
6/2/2023,Order,Etsy,2905933807,,2,(2) Books,$32.43,,
6/2/2023,Fees,Etsy,2905933807,,,Processing Fee,,$1.22,
6/2/2023,Sales Tax,Etsy,2905933807,,,Sales Tax,,$2.46,
6/2/2023,Fees,Etsy,2905933807,,,transaction Fee,,$0.97,
6/2/2023,Fees,Etsy,2905933807,,,transaction Fee,,$0.97,
6/3/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
6/2/2023,Order,Etsy,2913061712,,1,(1) Book,$15.88,,
6/2/2023,Fees,Etsy,2913061712,,,Processing Fee,,$0.73,
6/2/2023,Sales Tax,Etsy,2913061712,,,Sales Tax,,$0.90,
6/2/2023,Fees,Etsy,2913061712,,,transaction Fee,,$0.97,
6/5/2023,Fees,Etsy,2905933807,,,Shipping Fee,,$4.35,
6/5/2023,Fees,Etsy,2913061712,,,Shipping Fee,,$3.65,
6/5/2023,Order,Etsy,2914900262,,30,(30) Books for Farm Bureau,$381.28,,
6/5/2023,Fees,Etsy,2914900262,,,Processing Fee,,$11.69,
6/5/2023,Fees,Etsy,2914900262,,,Sales Tax,,$21.58,
6/5/2023,Fees,Etsy,2914900262,,,Transaction Fee,,$23.38,
6/7/2023,Fees,Etsy,2886101038,,,Shipping Fee,,$3.65,
6/7/2023,Fees,Etsy,2900885286,,,Shipping Fee,,$3.65,
6/9/2023,Fees,Etsy,2904908044,,,Shipping Fee,,$3.65,
6/9/2023,Fees,PayPal Shipping,,,,reship to Redacted,,$3.65,
6/9/2023,Fees,PayPal Shipping,,,,reship to Redacted,,$3.65,
6/9/2023,Fees,PayPal Shipping,,,,book to Redacted,,$3.65,
6/9/2023,Supplies,Lightning Source,,50,,(50) Paperback Copies (SPK-10747622-1),,$259.10,
6/13/2023,Fees,Etsy,,,,reship to Redacted,,$3.65,
6/15/2023,Books,Amazon,,,1,"1 test order, paperback copy on Amazon",,$12.71,
6/29/2023,Royaltees,Amazon,,,,eBook Royaltees,$12.44,,
6/30/2023,Order,,,,2,RPG Friend Orders (2) Books,$24.00,,
7/2/2023,Fees,Etsy,,,,Listing Fees,,$0.40,
7/7/2023,Refund,IngramSpark,,-18,,(-18) Refund for 18 Damaged Books,$92.52,,
7/9/2023,Order,,,,12,"Illinois Orders (12 Books, 1 shipping for Redacted)",$147.00,,
7/10/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
7/11/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
7/11/2023,Order,Etsy,2949687372,,1,(1) Book,$9.04,,
7/11/2023,Fees,Etsy,2949687372,,,Processing Fee,,$0.52,
7/11/2023,Sales Tax,Etsy,2949687372,,,Sales Tax,,$0.72,
7/11/2023,Fees,Etsy,2949687372,,,Transaction Fee,,$0.54,
7/11/2023,Fees,Etsy,,,,Listing Fees,,$0.40,
7/11/2023,Order,Etsy,2943128263,,2,(2) Books,$17.65,,
7/11/2023,Fees,Etsy,2943128263,,,Processing Fee,,$0.78,
7/11/2023,Sales Tax,Etsy,2943128263,,,Sales Tax,,$1.00,
7/11/2023,Fees,Etsy,2943128263,,,Transaction Fee,,$1.08,
7/11/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
7/11/2023,Order,Etsy,2943184679,,1,(1) Book,$8.82,,
7/11/2023,Fees,Etsy,2943184679,,,Processing Fee,,$0.51,
7/11/2023,Sales Tax,Etsy,2943184679,,,Sales Tax,,$0.50,
7/11/2023,Fees,Etsy,2943184679,,,Transaction Fee,,$0.54,
7/11/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
7/11/2023,Order,Etsy,2943330265,,1,(1) Book,$8.82,,
7/11/2023,Fees,Etsy,2943330265,,,Processing Fee,,$0.51,
7/11/2023,Sales Tax,Etsy,2943330265,,,Sales Tax,,$0.50,
7/11/2023,Fees,Etsy,2943330265,,,Transaction Fee,,$0.54,
7/11/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
7/11/2023,Order,Etsy,2949891358,,1,(1) Book,$9.03,,
7/11/2023,Fees,Etsy,2949891358,,,Processing Fee,,$0.52,
7/11/2023,Sales Tax,Etsy,2949891358,,,Sales Tax,,$0.71,
7/11/2023,Fees,Etsy,2949891358,,,Transaction Fee,,$0.54,
