key          type,client,type,doc code,doc type,doc number,Num.,application date,expiration date,charges,bonus,balance,coin
5,AXTEL SAB DE CV,Matrix,1,Bill,EE0013327,1,16/Abr/2021,16/May/2021,"2,775.88",0.00,"2,775.88",USD
5,AXTEL SAB DE CV,Matrix,1,Bill,EE0013328,1,16/Abr/2021,16/May/2021,"4,043.76",0.00,"4,043.76",USD
5,AXTEL SAB DE CV,Matrix,1,Bill,EE0013329,1,16/Abr/2021,16/May/2021,62.58,0.00,62.58,USD
5,AXTEL SAB DE CV,Matrix,1,Bill,EE0013331,1,19/Abr/2021,19/May/2021,"61,804.80",0.00,"61,804.80",USD
8,LIBRAMIENTO OMEGA TECPAN SA DE CV,Matrix,1,Bill,EE0013228,1,07/Abr/2021,07/May/2021,285.36,0.00,285.36,USD
19,AIRBUS SLC SA DE CV,Matrix,1,Bill,EE0013129,1,23/Mar/2021,07/May/2021,"3,445.20",0.00,"3,445.20",USD
19,AIRBUS SLC SA DE CV,Matrix,1,Bill,EE0013130,1,23/Mar/2021,07/May/2021,"3,445.20",0.00,"3,445.20",USD
19,AIRBUS SLC SA DE CV,Matrix,1,Bill,EE0013342,1,23/Abr/2021,07/Jun/2021,"3,445.20",0.00,"3,445.20",USD
20,HARRIS COMMUNICATIONS DE MEXICO S DE RL DE CV,Matrix,1,Bill,E3423,1,05/Jul/2016,05/Jul/2016,"30,948.80",0.00,"30,948.80",USD
20,HARRIS COMMUNICATIONS DE MEXICO S DE RL DE CV,Matrix,1,Bill,E4819,1,06/Abr/2017,06/Abr/2017,"30,948.80",0.00,"30,948.80",USD
25,SOLAR TURBINES SWITZERLAND SAGL,Matrix,1001,Nota cred. x apl.,NCFDIE00005,1,15/Abr/2021,15/Abr/2021,0.00,"1,156.00","-1,156.00",USD
26,OPERBES SA DE CV,Matrix,1,Bill,EE0012196,1,13/Nov/2020,13/Dic/2020,"7,429.80",0.00,"7,429.80",USD
26,OPERBES SA DE CV,Matrix,1,Bill,EE0013307,1,14/Abr/2021,14/May/2021,751.68,0.00,751.68,USD
26,OPERBES SA DE CV,Matrix,1,Bill,EE0013308,1,14/Abr/2021,14/May/2021,78.30,0.00,78.30,USD
26,OPERBES SA DE CV,Matrix,1,Bill,EE0013309,1,14/Abr/2021,14/May/2021,"1,039.88",0.00,"1,039.88",USD
26,OPERBES SA DE CV,Matrix,1,Bill,EE0013310,1,14/Abr/2021,14/May/2021,"4,930.00",0.00,"4,930.00",USD
26,OPERBES SA DE CV,Matrix,1,Bill,EE0013311,1,14/Abr/2021,14/May/2021,566.24,0.00,566.24,USD
26,OPERBES SA DE CV,Matrix,1,Bill,EE0013312,1,14/Abr/2021,14/May/2021,"2,147.51",0.00,"2,147.51",USD
26,OPERBES SA DE CV,Matrix,1,Bill,EE0013313,1,14/Abr/2021,14/May/2021,"1,626.32",0.00,"1,626.32",USD
26,OPERBES SA DE CV,Matrix,1,Bill,EE0013314,1,14/Abr/2021,14/May/2021,"7,702.40",0.00,"7,702.40",USD
26,OPERBES SA DE CV,Matrix,1,Bill,EE0013315,1,14/Abr/2021,14/May/2021,962.80,0.00,962.80,USD
26,OPERBES SA DE CV,Matrix,1,Bill,EE0013318,1,14/Abr/2021,14/May/2021,"1,358.59",0.00,"1,358.59",USD
33,ENERGIA OCCIDENTE DE MEXICO S DE RL DE CV,Matrix,1,Bill,E3107,1,08/Abr/2016,08/Abr/2016,"3,953.28",0.00,"3,953.28",USD
34,MICRO SMART SYSTEM DE MEXICO S DE RL DE CV,Matrix,1,Bill,E3103,1,08/Abr/2016,08/Abr/2016,"11,533.30",0.00,"11,533.30",USD
34,MICRO SMART SYSTEM DE MEXICO S DE RL DE CV,Matrix,1,Bill,E3323,1,09/Jun/2016,09/Jun/2016,"11,533.30","5,200.00","6,333.30",USD
34,MICRO SMART SYSTEM DE MEXICO S DE RL DE CV,Matrix,1,Bill,E3461,1,13/Jul/2016,13/Jul/2016,"11,533.30",0.00,"11,533.30",USD
34,MICRO SMART SYSTEM DE MEXICO S DE RL DE CV,Matrix,1,Bill,E3627,1,10/Ago/201,10/Ago/2016,"11,533.30",0.00,"11,533.30",USD
34,MICRO SMART SYSTEM DE MEXICO S DE RL DE CV,Matrix,1,Bill,E3780,1,15/Sep/2016,15/Sep/2016,"11,533.30",0.00,"11,533.30",USD
34,MICRO SMART SYSTEM DE MEXICO S DE RL DE CV,Matrix,1,Bill,E3952,1,01/Nov/2016,01/Nov/2016,"11,602.90",0.00,"11,602.90",USD
34,MICRO SMART SYSTEM DE MEXICO S DE RL DE CV,Matrix,1,Bill,E4225,1,15/Dic/2016,15/Dic/2016,"10,032.78",0.00,"10,032.78",USD
34,MICRO SMART SYSTEM DE MEXICO S DE RL DE CV,Matrix,1,Bill,E4331,1,12/Ene/2017,12/Ene/2017,"9,654.10",0.00,"9,654.10",USD
34,MICRO SMART SYSTEM DE MEXICO S DE RL DE CV,Matrix,1,Bill,E4511,1,14/Feb/2017,14/Feb/2017,"8,319.62",0.00,"8,319.62",USD
34,MICRO SMART SYSTEM DE MEXICO S DE RL DE CV,Matrix,1,Bill,E4739,1,21/Mar/2017,21/Mar/2017,"8,196.89",0.00,"8,196.89",USD
34,MICRO SMART SYSTEM DE MEXICO S DE RL DE CV,Matrix,1,Bill,E4892,1,12/Abr/2017,12/Abr/2017,"2,505.60",0.00,"2,505.60",USD
34,MICRO SMART SYSTEM DE MEXICO S DE RL DE CV,Matrix,1,Bill,E5133,1,26/May/201,26/May/2017,"2,505.60",0.00,"2,505.60",USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,E7594,1,05/Jul/2018,05/Jul/2018,285.36,0.00,285.36,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,E7595,1,05/Jul/2018,05/Jul/2018,285.36,0.00,285.36,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,E7597,1,05/Jul/2018,05/Jul/2018,285.36,0.00,285.36,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,E7598,1,05/Jul/2018,05/Jul/2018,285.36,0.00,285.36,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,E7898,1,06/Ago/201,06/Ago/2018,285.36,0.00,285.36,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,E7901,1,06/Ago/201,06/Ago/2018,285.36,0.00,285.36,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,EE0012069,1,27/Oct/2020,26/Nov/2020,469.80,0.00,469.80,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,EE0012109,1,03/Nov/2020,03/Dic/2020,469.80,0.00,469.80,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,EE0012311,1,01/Dic/2020,31/Dic/2020,469.80,0.00,469.80,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,EE0012632,1,06/Ene/2021,05/Feb/2021,243.60,0.00,243.60,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,EE0012633,1,06/Ene/2021,05/Feb/2021,243.60,0.00,243.60,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,EE0012635,1,06/Ene/2021,05/Feb/2021,469.80,0.00,469.80,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,EE0012803,1,03/Feb/2021,05/Mar/2021,469.80,0.00,469.80,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,EE0012996,1,02/Mar/2021,01/Abr/2021,469.80,0.00,469.80,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,EE0013204,1,06/Abr/2021,06/May/2021,243.60,0.00,243.60,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,EE0013205,1,06/Abr/2021,06/May/2021,243.60,0.00,243.60,USD
37,CONCESIONARIA DE INFRAESTRUCTURA DE SAN LUIS SA DE CV,Matrix,1,Bill,EE0013207,1,06/Abr/2021,06/May/2021,469.80,0.00,469.80,USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012495,1,14/Dic/2020,13/Ene/2021,"5,431.93",0.00,"5,431.93",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012497,1,14/Dic/2020,13/Ene/2021,"26,687.76",0.00,"26,687.76",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012502,1,14/Dic/2020,13/Ene/2021,"58,291.62",0.00,"58,291.62",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012586,1,18/Dic/2020,17/Ene/2021,"5,431.93",0.00,"5,431.93",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012963,1,26-Feb-21,28/Mar/2021,"9,078.76","4,599.69","4,479.07",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012964,1,26/Feb/2021,28/Mar/2021,"1,311.96",0.00,"1,311.96",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012965,1,26/Feb/2021,28/Mar/2021,"1,290.24",0.00,"1,290.24",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012966,1,26/Feb/2021,28/Mar/2021,867.68,0.00,867.68,USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012967,1,26/Feb/2021,28/Mar/2021,284.20,0.00,284.2,USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012968,1,26/Feb/2021,28/Mar/2021,10.92,0.00,10.92,USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012969,1,26/Feb/2021,28/Mar/2021,"5,692.61",0.00,"5,692.61",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012970,1,26/Feb/2021,28/Mar/2021,"26,687.76",0.00,"26,687.76",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012971,1,26/Feb/2021,28/Mar/2021,"6,451.22",0.00,"6,451.22",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012972,1,26/Feb/2021,28/Mar/2021,"7,127.04",0.00,"7,127.04",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012973,1,26/Feb/2021,28/Mar/2021,281.95,0.00,281.95,USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012974,1,26/Feb/2021,28/Mar/2021,"58,264.60",0.00,"58,264.60",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012975,1,26/Feb/2021,28/Mar/2021,"26,751.73",0.00,"26,751.73",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0012976,1,26/Feb/2021,28/Mar/2021,"1,048.69",0.00,"1,048.69",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013089,1,16/Mar/2021,15/Abr/2021,"11,430.43",0.00,"11,430.43",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013144,1,26/Mar/2021,25/Abr/2021,"1,311.96",0.00,"1,311.96",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013145,1,26/Mar/2021,25/Abr/2021,260.68,0.00,260.68,USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013146,1,26/Mar/2021,25/Abr/2021,284.20,0.00,284.2,USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013147,1,26/Mar/2021,25/Abr/2021,867.68,0.00,867.68,USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013148,1,26/Mar/2021,25/Abr/2021,281.95,0.00,281.95,USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013149,1,26/Mar/2021,25/Abr/2021,"1,048.69",0.00,"1,048.69",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013150,1,26/Mar/2021,25/Abr/2021,"26,687.76",0.00,"26,687.76",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013152,1,26/Mar/2021,25/Abr/2021,"7,741.47",0.00,"7,741.47",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013153,1,26/Mar/2021,25/Abr/2021,"16,205.80",0.00,"16,205.80",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013154,1,26/Mar/2021,25/Abr/2021,"11,430.43",0.00,"11,430.43",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013155,1,26/Mar/2021,25/Abr/2021,"58,341.33",0.00,"58,341.33",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013156,1,26/Mar/2021,25/Abr/2021,"36,257.05",0.00,"36,257.05",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013343,1,27/Abr/2021,27/May/2021,"1,311.96",0.00,"1,311.96",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013344,1,27/Abr/2021,27/May/2021,284.20,0.00,284.2,USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013345,1,27/Abr/2021,27/May/2021,867.68,0.00,867.68,USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013346,1,27/Abr/2021,27/May/2021,"36,541.90",0.00,"36,541.90",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013347,1,27/Abr/2021,27/May/2021,"26,687.76",0.00,"26,687.76",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013348,1,27/Abr/2021,27/May/2021,"7,741.47",0.00,"7,741.47",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013349,1,27/Abr/2021,27/May/2021,"16,205.80",0.00,"16,205.80",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013350,1,27/Abr/2021,27/May/2021,"11,430.43",0.00,"11,430.43",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013351,1,27/Abr/2021,27/May/2021,"58,364.95",0.00,"58,364.95",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013352,1,27/Abr/2021,27/May/2021,"1,048.69",0.00,"1,048.69",USD
38,UNINET SA DE CV,Matrix,1,Bill,EE0013353,1,27/Abr/2021,27/May/2021,975.72,0.00,975.72,USD
41,WEATHERFORD SOUTH AMERICA GMBH,Matrix,1,Bill,E4281,1,09/Ene/2017,09/Ene/2017,"1,911.72",0.00,"1,911.72",USD
41,WEATHERFORD SOUTH AMERICA GMBH,Matrix,1,Bill,E4466,1,08/Feb/2017,08/Feb/2017,"1,320.00",0.00,"1,320.00",USD
41,WEATHERFORD SOUTH AMERICA GMBH,Matrix,1,Bill,E4634,1,09/Mar/2017,09/Mar/2017,"1,232.00",0.00,"1,232.00",USD
41,WEATHERFORD SOUTH AMERICA GMBH,Matrix,1,Bill,E5727.,1,13/Sep/2017,13/Sep/2017,433.13,0.00,433.13,USD
42,WEATHERFORD DEL PERU S.R.L.,Matrix,1,Bill,E7270,1,30/May/201,30/May/2018,"1,940.40",0.00,"1,940.40",USD
46,WEATHERFORD LATIN AMERICA SA,Matrix,1,Bill,E5729,1,13/Sep/2017,13/Sep/2017,"8,229.47",0.00,"8,229.47",USD
46,WEATHERFORD LATIN AMERICA SA,Matrix,1,Bill,E5871,1,17/Oct/2017,17/Oct/2017,"8,034.80",0.00,"8,034.80",USD
46,WEATHERFORD LATIN AMERICA SA,Matrix,1,Bill,E6316,1,18/Dic/2017,18/Dic/2017,"8,316.00",0.00,"8,316.00",USD
46,WEATHERFORD LATIN AMERICA SA,Matrix,1,Bill,E6406,1,16/Ene/2018,16/Ene/2018,"2,818.98",0.00,"2,818.98",USD
46,WEATHERFORD LATIN AMERICA SA,Matrix,1,Bill,E6631,1,21/Feb/2018,21/Feb/2018,"4,620.00",0.00,"4,620.00",USD
46,WEATHERFORD LATIN AMERICA SA,Matrix,1,Bill,E6749,1,14/Mar/2018,14/Mar/2018,"4,779.31",0.00,"4,779.31",USD
46,WEATHERFORD LATIN AMERICA SA,Matrix,1,Bill,E6913,1,16/Abr/2018,16/Abr/2018,"4,470.97",0.00,"4,470.97",USD
46,WEATHERFORD LATIN AMERICA SA,Matrix,1,Bill,E7095,1,17/May/201,17/May/2018,"4,891.76",0.00,"4,891.76",USD
50,ALESTRA S DE RL DE CV,Matrix,1,Bill,E4863,1,10/Abr/2017,10/Abr/2017,"5,600.43",0.00,"5,600.43",USD
50,ALESTRA S DE RL DE CV,Matrix,1,Bill,E4864,1,10/Abr/2017,10/Abr/2017,"46,809.89",0.00,"46,809.89",USD
65,COMPAÑIA PERFORADORA MEXICO SAPI DE CV,Matrix,1,Bill,EE0013220,1,06/Abr/2021,06/May/2021,725.00,0.00,725.00,USD
65,COMPAÑIA PERFORADORA MEXICO SAPI DE CV,Matrix,1,Bill,EE0013227,1,06/Abr/2021,06/May/2021,"2,078.72",0.00,"2,078.72",USD
66,CHIHUAHUA JACKUP SA DE CV,Matrix,1,Bill,EE0013221,1,06/Abr/2021,06/May/2021,145.00,0.00,145.00,USD
72,ZACATECAS JACKUP SA DE CV,Matrix,1,Bill,EE0013225,1,06/Abr/2021,06/May/2021,145.00,0.00,145.00,USD
74,ORGTEC S DE RL DE CV,Matrix,1,Bill,EE0009107,1,12/Ago/201,12/Ago/2019,"47,811.15",0.00,"47,811.15",USD
74,ORGTEC S DE RL DE CV,Matrix,1,Bill,EE0009110,1,12/Ago/201,12/Ago/2019,"39,585.37",0.00,"39,585.37",USD
74,ORGTEC S DE RL DE CV,Matrix,1,Bill,EE0009111,1,12/Ago/201,12/Ago/2019,"52,477.25",0.00,"52,477.25",USD
74,ORGTEC S DE RL DE CV,Matrix,1,Bill,EE0009272,1,29/Ago/201,29/Ago/2019,"47,997.54",0.00,"47,997.54",USD
74,ORGTEC S DE RL DE CV,Matrix,1,Bill,EE0013048,1,05/Mar/2021,04/Abr/2021,"1,357.20",0.00,"1,357.20",USD
74,ORGTEC S DE RL DE CV,Matrix,1,Bill,EE0013049,1,05/Mar/2021,04/Abr/2021,"1,357.20",0.00,"1,357.20",USD
74,ORGTEC S DE RL DE CV,Matrix,1,Bill,EE0013249,1,08/Abr/2021,08/May/2021,"1,357.20",0.00,"1,357.20",USD
74,ORGTEC S DE RL DE CV,Matrix,1,Bill,EE0013250,1,08/Abr/2021,08/May/2021,"1,357.20",0.00,"1,357.20",USD
