Contracts,Order No.,Transaction Time(UTC+0),Leverage,Direction,Order Type,Filled Type,Filled Qty,Filled Price,Order Price,Trading Fee Rate,Fees Paid,Transaction ID
WAVESUSDT,2c923a81,2023-01-09 08:57:22,10,Close Long,Limit,Trade,140.7,1.6300,1.6300,0.0001,0.0229341,274648ad
WAVESUSDT,f8a93a71,2023-01-09 08:52:30,10,Open Long,Market,Trade,24.2,1.6150,Market,0.0006,0.0234498,cd4fbaac
WAVESUSDT,f8a93a71,2023-01-09 08:52:30,10,Open Long,Market,Trade,0.8,1.6150,Market,0.0006,0.0007752,b4883d2f
WAVESUSDT,f8a93a71,2023-01-09 08:52:30,10,Open Long,Market,Trade,0.1,1.6150,Market,0.0006,9.69e-05,6532ad51
WAVESUSDT,f8a93a71,2023-01-09 08:52:30,10,Open Long,Market,Trade,0.9,1.6150,Market,0.0006,0.0008721,81da40fa
WAVESUSDT,f8a93a71,2023-01-09 08:52:30,10,Open Long,Market,Trade,3.2,1.6150,Market,0.0006,0.0031008,e7ad5360
WAVESUSDT,f8a93a71,2023-01-09 08:52:30,10,Open Long,Market,Trade,0.3,1.6150,Market,0.0006,0.0002907,649988e9
WAVESUSDT,f8a93a71,2023-01-09 08:52:30,10,Open Long,Market,Trade,100,1.6150,Market,0.0006,0.0969,130cf8f5
WAVESUSDT,f8a93a71,2023-01-09 08:52:30,10,Open Long,Market,Trade,10,1.6150,Market,0.0006,0.00969,40e81195
WAVESUSDT,f8a93a71,2023-01-09 08:52:30,10,Open Long,Market,Trade,1.2,1.6150,Market,0.0006,0.0011628,bbefc506
OPUSDT,ff38c392,2023-01-09 04:31:43,10,Close Long,Limit,Trade,160,1.3320,1.3320,0.0001,0.021312,4225fc5a
OPUSDT,82c70c7e,2023-01-09 04:24:26,10,Open Long,Market,Trade,131.7,1.3190,Market,0.0006,0.10422738,9540f24e
OPUSDT,82c70c7e,2023-01-09 04:24:26,10,Open Long,Market,Trade,25.2,1.3190,Market,0.0006,0.01994328,7c3b7492
OPUSDT,82c70c7e,2023-01-09 04:24:26,10,Open Long,Market,Trade,3.1,1.3190,Market,0.0006,0.00245334,d13c1a99
GALUSDT,c88d137b,2023-01-09 03:47:03,10,Close Long,Market,Trade,235.13,1.2600,Market,0.0006,0.17775828,66ce437c
GALUSDT,2568c94d,2023-01-09 02:38:24,10,Open Long,Market,Trade,235.13,1.3100,Market,0.0006,0.18481218,4462def0
ADAUSDT,866f0033,2023-01-09 01:54:31,50,Close Long,Limit,Trade,869,0.3332,0.3332,0.0001,0.02895508,af638968
ADAUSDT,22577a78,2023-01-09 01:53:41,50,Open Long,Market,Trade,76,0.3299,Market,0.0006,0.01504344,f6f47c35
ADAUSDT,22577a78,2023-01-09 01:53:41,50,Open Long,Market,Trade,793,0.3299,Market,0.0006,0.15696642,57a120fb
SANDUSDT,15a377ad,2023-01-09 01:46:58,10,Close Long,Market,Trade,293,0.5137,Market,0.0006,0.09030846,e75eb4aa
SANDUSDT,15a377ad,2023-01-09 01:46:58,10,Close Long,Market,Trade,324,0.5137,Market,0.0006,0.09986328,99c20404
SANDUSDT,b4757360,2023-01-09 00:32:22,10,Open Long,Market,Trade,617,0.5200,Market,0.0006,0.192504,1144cfc2
DYDXUSDT,875b9060,2023-01-05 05:47:02,10,Close Long,Market,Trade,310.5,1.220,Market,0.0006,0.227286,fca1b9f0
DYDXUSDT,b2b6fb40,2023-01-05 04:44:57,10,Open Long,Market,Trade,310.5,1.245,Market,0.0006,0.2319435,ca15a2cb
CHZUSDT,60b4a089,2023-01-05 02:39:46,10,Close Long,Limit,Trade,3256,0.11165,0.11165,0.0001,0.03635324,ff37052f
CHZUSDT,9f30ba10,2023-01-05 01:33:37,10,Open Long,Market,Trade,3256,0.11055,Market,0.0006,0.21597048,4f3d1d02
AXSUSDT,d299cdbc,2023-01-05 00:22:24,10,Close Long,Limit,Trade,47.8,7.080,7.080,0.0001,0.0338424,562c47ba
AXSUSDT,117c1c8c,2023-01-05 00:16:11,10,Open Long,Market,Trade,47.8,7.010,Market,0.0006,0.2010468,0750e74a
LDOUSDT,38f9316e,2023-01-04 06:44:52,10,Close Long,Limit,Trade,230.4,1.3675,1.3675,0.0001,0.0315072,fc10fddb
LDOUSDT,e650518b,2023-01-04 06:43:09,10,Open Long,Market,Trade,5.4,1.3540,Market,0.0006,0.00438696,6d081489
LDOUSDT,e650518b,2023-01-04 06:43:09,10,Open Long,Market,Trade,225,1.3540,Market,0.0006,0.18279,f6cfa116
NEARUSDT,6fd82758,2023-01-04 02:58:39,10,Close Long,Limit,Trade,203.6,1.443,1.443,0.0001,0.02937948,cbb082c6
NEARUSDT,5d38cd20,2023-01-04 02:56:52,10,Open Long,Market,Trade,29.8,1.429,Market,0.0006,0.02555052,0ba20cbb
NEARUSDT,5d38cd20,2023-01-04 02:56:52,10,Open Long,Market,Trade,0.1,1.429,Market,0.0006,8.574e-05,739e46a2
NEARUSDT,5d38cd20,2023-01-04 02:56:52,10,Open Long,Market,Trade,0.1,1.429,Market,0.0006,8.574e-05,50408541
NEARUSDT,5d38cd20,2023-01-04 02:56:52,10,Open Long,Market,Trade,0.1,1.429,Market,0.0006,8.574e-05,4b0822cc
NEARUSDT,5d38cd20,2023-01-04 02:56:52,10,Open Long,Market,Trade,0.1,1.429,Market,0.0006,8.574e-05,7294cd15
NEARUSDT,5d38cd20,2023-01-04 02:56:52,10,Open Long,Market,Trade,0.3,1.429,Market,0.0006,0.00025722,13833046
NEARUSDT,5d38cd20,2023-01-04 02:56:52,10,Open Long,Market,Trade,0.4,1.429,Market,0.0006,0.00034296,cb14cd5e
NEARUSDT,5d38cd20,2023-01-04 02:56:52,10,Open Long,Market,Trade,0.3,1.429,Market,0.0006,0.00025722,e1a2f118
NEARUSDT,5d38cd20,2023-01-04 02:56:52,10,Open Long,Market,Trade,172.4,1.429,Market,0.0006,0.14781576,c0c4bf74
LDOUSDT,22ea6fb9,2023-01-04 02:47:25,10,Close Long,Market,Trade,273.4,1.2350,Market,0.0006,0.2025894,da83471e
LDOUSDT,fda2531c,2023-01-04 01:19:51,10,Open Long,Market,Trade,273.4,1.2580,Market,0.0006,0.20636232,4762bb79
LDOUSDT,9c817c26,2023-01-03 06:47:26,10,Close Long,Market,Trade,377.5,1.2320,Market,0.0006,0.279048,c11ef825
LDOUSDT,4105c8b2,2023-01-03 05:15:49,10,Open Long,Market,Trade,377.5,1.2760,Market,0.0006,0.289014,9152fe7b
RENUSDT,430cbc03,2023-01-02 12:56:25,10,Close Long,Limit,Trade,5462.3,0.06650,0.06650,0.0001,0.0363243,6b37e5de
RENUSDT,430cbc03,2023-01-02 12:56:21,10,Close Long,Limit,Trade,994.8,0.06650,0.06650,0.0001,0.00661542,69652540
RENUSDT,430cbc03,2023-01-02 12:56:20,10,Close Long,Limit,Trade,335.4,0.06650,0.06650,0.0001,0.00223041,9e906ba3
RENUSDT,22a55de1,2023-01-02 12:55:46,10,Open Long,Market,Trade,6792.5,0.06580,Market,0.0006,0.2681679,93682b70
LTCUSDT,4a1f311f,2023-01-02 08:00:46,10,Close Long,Limit,Trade,5.5,75.27,75.27,0.0001,0.0413985,9841de8e
LTCUSDT,2546-Buy,2023-01-02 08:00:00,10,Open Long,--,Funding,5.5,74.76,0.00,0.0001,0.041118,e49d3bd8
LTCUSDT,f4d32ac8,2023-01-02 07:17:26,10,Open Long,Market,Trade,0.9,74.52,Market,0.0006,0.0402408,ad22fcce
LTCUSDT,f4d32ac8,2023-01-02 07:17:26,10,Open Long,Market,Trade,4.6,74.52,Market,0.0006,0.2056752,4ad0259e
JSTUSDT,d3720e44,2022-12-29 00:23:42,10,Close Long,Limit,Trade,18530,0.02114,0.02114,0.0001,0.03917242,ee676ad8
JSTUSDT,f355def9,2022-12-29 00:19:01,10,Open Long,Market,Trade,10690,0.02093,Market,0.0006,0.13424502,58ec1b7c
JSTUSDT,f355def9,2022-12-29 00:19:01,10,Open Long,Market,Trade,7840,0.02093,Market,0.0006,0.09845472,73cd80ba
HOTUSDT,1eae6690,2022-12-28 17:48:00,10,Close Long,Limit,Trade,237600,0.001532,0.001532,0.0001,0.03640032,a50fdfa5
HOTUSDT,6276b46b,2022-12-28 17:26:20,10,Open Long,Market,Trade,237600,0.001517,Market,0.0006,0.21626352,378b7966
1000LUNCUSDT,31c03a99,2022-12-27 09:51:45,10,Close Long,Limit,Trade,1862,0.18190,0.18190,0.0001,0.03386978,d514492b
1000LUNCUSDT,87de23a0,2022-12-27 09:47:00,10,Open Long,Market,Trade,1862,0.18010,Market,0.0006,0.20120772,151a19ce
LUNA2USDT,7d8fddc0,2022-12-27 09:22:11,10,Close Long,Limit,Trade,223.3,1.4120,1.4120,0.0001,0.03152996,bd999dae
LUNA2USDT,320217a5,2022-12-27 08:56:17,10,Open Long,Market,Trade,7.8,1.3980,Market,0.0006,0.00654264,160bb01c
LUNA2USDT,320217a5,2022-12-27 08:56:17,10,Open Long,Market,Trade,215.5,1.3980,Market,0.0006,0.1807614,138adc76
RENUSDT,9304a725,2022-12-26 23:30:54,10,Close Long,Limit,Trade,3948.3,0.07460,0.07460,0.0001,0.02945432,bc2e1fe7
RENUSDT,2f7eb51f,2022-12-26 22:42:22,10,Open Long,Market,Trade,2825.5,0.07390,Market,0.0006,0.12528267,8e64b32d
RENUSDT,2f7eb51f,2022-12-26 22:42:22,10,Open Long,Market,Trade,1122.8,0.07390,Market,0.0006,0.04978496,7ac07cb2
RENUSDT,3f641e57,2022-12-26 00:12:43,10,Close Long,Limit,Trade,4582.8,0.05970,0.05970,0.0001,0.02735932,105158b0
RENUSDT,a241cae3,2022-12-26 00:11:42,10,Open Long,Market,Trade,4582.8,0.05910,Market,0.0006,0.16250609,c09da080
WAVESUSDT,74b7e705,2022-12-22 09:46:58,10,Close Long,Market,Trade,195.9,1.5800,Market,0.0006,0.1857132,fbf0c130
WAVESUSDT,871f4123,2022-12-22 08:02:54,10,Open Long,Market,Trade,169.9,1.6050,Market,0.0006,0.1636137,3d5357b9
WAVESUSDT,871f4123,2022-12-22 08:02:54,10,Open Long,Market,Trade,26,1.6050,Market,0.0006,0.025038,6ccf1c52
WAVESUSDT,aa4e2618,2022-12-19 09:46:58,10,Close Long,Market,Trade,240.2,1.5700,Market,0.0006,0.2262684,04eb40d7
WAVESUSDT,d583086a,2022-12-19 08:38:54,10,Open Long,Market,Trade,151.1,1.6050,Market,0.0006,0.1455093,0935f94d
WAVESUSDT,d583086a,2022-12-19 08:38:54,10,Open Long,Market,Trade,54.7,1.6050,Market,0.0006,0.0526761,62747252
WAVESUSDT,d583086a,2022-12-19 08:38:54,10,Open Long,Market,Trade,6.8,1.6050,Market,0.0006,0.0065484,0e2ca653
WAVESUSDT,d583086a,2022-12-19 08:38:54,10,Open Long,Market,Trade,24.4,1.6050,Market,0.0006,0.0234972,f3385353
WAVESUSDT,d583086a,2022-12-19 08:38:54,10,Open Long,Market,Trade,2,1.6050,Market,0.0006,0.001926,b5af3c27
WAVESUSDT,d583086a,2022-12-19 08:38:54,10,Open Long,Market,Trade,1.2,1.6050,Market,0.0006,0.0011556,7c18f60c
CHZUSDT,f26815f1,2022-12-18 12:57:40,10,Close Long,Limit,Trade,1426,0.12485,0.12485,0.0001,0.01780361,1b2ca14b
CHZUSDT,f26815f1,2022-12-18 12:57:40,10,Close Long,Limit,Trade,1465,0.12485,0.12485,0.0001,0.01829053,83751868
CHZUSDT,27523a45,2022-12-18 12:38:16,10,Open Long,Market,Trade,2891,0.12360,Market,0.0006,0.21439656,467d4bd4
WAVESUSDT,064902c5,2022-12-17 07:53:54,10,Close Long,Limit,Trade,208.9,1.6150,1.6150,0.0001,0.03373735,46628683
WAVESUSDT,2a438025,2022-12-17 07:40:55,10,Open Long,Market,Trade,208.9,1.6000,Market,0.0006,0.200544,e9d39b06
1000LUNCUSDT,7760b9df,2022-12-17 05:45:45,10,Close Long,Market,Trade,1038,0.14060,Market,0.0006,0.08756568,449a40bd
1000LUNCUSDT,7760b9df,2022-12-17 05:45:45,10,Close Long,Market,Trade,1663,0.14060,Market,0.0006,0.14029068,534e81a1
1000LUNCUSDT,e4359ba2,2022-12-17 04:56:59,10,Open Long,Market,Trade,2701,0.14280,Market,0.0006,0.23142168,998e2f34
STORJUSDT,9fbcb39a,2022-12-14 00:46:46,10,Close Long,Limit,Trade,1050.1,0.3450,0.3450,0.0001,0.03622845,160967cb
STORJUSDT,3eb8b927,2022-12-14 00:22:56,10,Open Long,Market,Trade,174.8,0.3415,Market,0.0006,0.03581652,8eecefef
STORJUSDT,3eb8b927,2022-12-14 00:22:56,10,Open Long,Market,Trade,454.9,0.3415,Market,0.0006,0.09320901,e04e1906
STORJUSDT,3eb8b927,2022-12-14 00:22:56,10,Open Long,Market,Trade,420.4,0.3415,Market,0.0006,0.08613996,3117c6cf
WAVESUSDT,3c8e4792,2022-12-13 17:18:50,10,Close Long,Limit,Trade,178.6,1.8750,1.8750,0.0001,0.0334875,0e019168
WAVESUSDT,07111c0d,2022-12-13 17:17:02,10,Open Long,Market,Trade,31,1.8550,Market,0.0006,0.034503,25ea1156
WAVESUSDT,07111c0d,2022-12-13 17:17:02,10,Open Long,Market,Trade,147.6,1.8550,Market,0.0006,0.1642788,85fdc4fa
STORJUSDT,15250d78,2022-12-13 13:34:46,10,Close Long,Limit,Trade,934.4,0.3320,0.3320,0.0001,0.03102208,4a9581fd
STORJUSDT,b3e476b6,2022-12-13 13:30:18,10,Open Long,Market,Trade,934.4,0.3285,Market,0.0006,0.18417024,e8dd4024
CTSIUSDT,dab8c899,2022-12-09 09:45:56,10,Close Long,Market,Trade,2432,0.13040,Market,0.0006,0.19027968,225868eb
CTSIUSDT,80a7cd83,2022-12-09 08:58:28,10,Open Long,Market,Trade,1843,0.13080,Market,0.0006,0.14463864,1a4a1be0
CTSIUSDT,80a7cd83,2022-12-09 08:58:28,10,Open Long,Market,Trade,4,0.13080,Market,0.0006,0.00031392,ee1254c1
CTSIUSDT,80a7cd83,2022-12-09 08:58:28,10,Open Long,Market,Trade,585,0.13075,Market,0.0006,0.04589325,6e0045ee
EOSUSDT,642ef070,2022-12-09 01:46:46,10,Close Long,Market,Trade,372.7,1.0320,Market,0.0006,0.23077584,ce8f4998
EOSUSDT,eb965127,2022-12-09 00:30:14,10,Open Long,Market,Trade,372.7,1.0550,Market,0.0006,0.2359191,db2e5fb6
WAVESUSDT,d63f05bd,2022-12-08 13:47:14,10,Close Long,Market,Trade,241.2,1.9950,Market,0.0006,0.2887164,c8678063
WAVESUSDT,c3275cf7,2022-12-08 12:34:26,10,Open Long,Market,Trade,66.6,2.0450,Market,0.0006,0.0817182,6638c1e7
WAVESUSDT,c3275cf7,2022-12-08 12:34:26,10,Open Long,Market,Trade,95.7,2.0450,Market,0.0006,0.1174239,fc31dbf3
WAVESUSDT,c3275cf7,2022-12-08 12:34:26,10,Open Long,Market,Trade,78.9,2.0450,Market,0.0006,0.0968103,09267dca
EOSUSDT,d08d2b0f,2022-12-07 14:49:08,10,Close Long,Limit,Trade,457,1.0100,1.0100,0.0001,0.046157,6cbc591c
EOSUSDT,054afa48,2022-12-07 14:48:55,10,Open Long,Market,Trade,457,1.0000,Market,0.0006,0.2742,3c292891
AXSUSDT,4d336a24,2022-12-06 12:45:54,10,Close Long,Limit,Trade,27.1,9.330,9.330,0.0001,0.0252843,e7653033
AXSUSDT,4d336a24,2022-12-06 12:45:54,10,Close Long,Limit,Trade,19.1,9.330,9.330,0.0001,0.0178203,807d1117
AXSUSDT,7a93e1f1,2022-12-06 12:29:39,10,Open Long,Market,Trade,39.6,9.240,Market,0.0006,0.2195424,f1c3c3d4
AXSUSDT,7a93e1f1,2022-12-06 12:29:39,10,Open Long,Market,Trade,2.4,9.240,Market,0.0006,0.0133056,93376aa7
AXSUSDT,7a93e1f1,2022-12-06 12:29:39,10,Open Long,Market,Trade,0.2,9.240,Market,0.0006,0.0011088,db46caa2
AXSUSDT,7a93e1f1,2022-12-06 12:29:39,10,Open Long,Market,Trade,0.9,9.240,Market,0.0006,0.0049896,67ae6778
AXSUSDT,7a93e1f1,2022-12-06 12:29:39,10,Open Long,Market,Trade,0.1,9.240,Market,0.0006,0.0005544,679f9763
AXSUSDT,7a93e1f1,2022-12-06 12:29:39,10,Open Long,Market,Trade,0.5,9.240,Market,0.0006,0.002772,a3216107
AXSUSDT,7a93e1f1,2022-12-06 12:29:39,10,Open Long,Market,Trade,0.1,9.240,Market,0.0006,0.0005544,e2fb29c6
AXSUSDT,7a93e1f1,2022-12-06 12:29:39,10,Open Long,Market,Trade,2.1,9.240,Market,0.0006,0.0116424,64beb59f
AXSUSDT,7a93e1f1,2022-12-06 12:29:39,10,Open Long,Market,Trade,0.3,9.240,Market,0.0006,0.0016632,01acdd0a
CTSIUSDT,00655029,2022-12-06 10:37:47,10,Close Long,Limit,Trade,3174,0.12630,0.12630,0.0001,0.04008762,37ba1a8d
CTSIUSDT,71ca8a3b,2022-12-06 10:37:08,10,Open Long,Market,Trade,1466,0.12505,Market,0.0006,0.10999398,64c45e05
CTSIUSDT,71ca8a3b,2022-12-06 10:37:08,10,Open Long,Market,Trade,1628,0.12505,Market,0.0006,0.12214884,9e7da10b
CTSIUSDT,71ca8a3b,2022-12-06 10:37:08,10,Open Long,Market,Trade,80,0.12500,Market,0.0006,0.006,f8fec64e
WAVESUSDT,a1673936,2022-12-06 01:57:25,10,Close Long,Limit,Trade,143.1,2.5250,2.5250,0.0001,0.03613275,713e4f4c
WAVESUSDT,a1673936,2022-12-06 01:57:25,10,Close Long,Limit,Trade,4.5,2.5250,2.5250,0.0001,0.00113625,2b6e2282
WAVESUSDT,2ae40e01,2022-12-06 01:47:03,10,Open Long,Market,Trade,128,2.5000,Market,0.0006,0.192,969a6f5e
WAVESUSDT,2ae40e01,2022-12-06 01:47:03,10,Open Long,Market,Trade,9.6,2.5000,Market,0.0006,0.0144,4eb72ce6
WAVESUSDT,2ae40e01,2022-12-06 01:47:03,10,Open Long,Market,Trade,10,2.5000,Market,0.0006,0.015,0280bc92
GALAUSDT,59bf1664,2022-12-05 17:42:57,10,Close Long,Limit,Trade,12876,0.02696,0.02696,0.0001,0.0347137,0d76459f
GALAUSDT,881b7229,2022-12-05 17:42:07,10,Open Long,Market,Trade,2057,0.02670,Market,0.0006,0.03295314,147258af
GALAUSDT,881b7229,2022-12-05 17:42:07,10,Open Long,Market,Trade,26,0.02669,Market,0.0006,0.00041637,a73fd6cd
GALAUSDT,881b7229,2022-12-05 17:42:07,10,Open Long,Market,Trade,8793,0.02669,Market,0.0006,0.14081111,098e82f2
GALAUSDT,881b7229,2022-12-05 17:42:07,10,Open Long,Market,Trade,2000,0.02668,Market,0.0006,0.032016,1ac34bc9
AXSUSDT,53d28d65,2022-12-05 08:16:22,10,Close Long,Limit,Trade,1.2,8.150,8.150,0.0001,0.000978,d4a2c424
AXSUSDT,53d28d65,2022-12-05 08:16:22,10,Close Long,Limit,Trade,24.4,8.150,8.150,0.0001,0.019886,94d50660
AXSUSDT,53d28d65,2022-12-05 08:16:22,10,Close Long,Limit,Trade,14,8.150,8.150,0.0001,0.01141,7e42f19d
AXSUSDT,80969deb,2022-12-05 08:10:08,10,Open Long,Market,Trade,20.5,8.070,Market,0.0006,0.099261,50ccb5ad
AXSUSDT,80969deb,2022-12-05 08:10:08,10,Open Long,Market,Trade,19.1,8.065,Market,0.0006,0.0924249,035ba825
AXSUSDT,a3923bc6,2022-12-05 07:32:32,10,Close Long,Limit,Trade,38.9,7.700,7.700,0.0001,0.029953,e2c5c7c0
AXSUSDT,cf7e5ce4,2022-12-05 07:30:09,10,Open Long,Market,Trade,38.9,7.625,Market,0.0006,0.1779675,c00b6881
LTCUSDT,5656374a,2022-12-05 04:54:09,10,Close Long,Limit,Trade,3.3,83.13,83.13,0.0001,0.0274329,8859caab
LTCUSDT,1f26298f,2022-12-05 04:46:04,10,Open Long,Market,Trade,3.3,82.31,Market,0.0006,0.1629738,a124f2d8
ASTRUSDT,d7eb9380,2022-12-02 14:57:23,10,Close Long,Limit,Trade,4214,0.042500,0.042500,0.0001,0.0179095,01721fe2
ASTRUSDT,d7eb9380,2022-12-02 14:57:13,10,Close Long,Limit,Trade,1950,0.042500,0.042500,0.0001,0.0082875,ab485902
ASTRUSDT,9c03d970,2022-12-02 14:57:01,10,Open Long,Market,Trade,6164,0.042100,Market,0.0006,0.15570264,b9a913a7
1000LUNCUSDT,5ac37f57,2022-12-02 02:29:56,10,Close Long,Limit,Trade,538,0.19160,0.19160,0.0001,0.01030808,5da48fb0
1000LUNCUSDT,5ac37f57,2022-12-02 02:29:54,10,Close Long,Limit,Trade,761,0.19160,0.19160,0.0001,0.01458076,bdc6429a
1000LUNCUSDT,2280b12f,2022-12-02 02:27:00,10,Open Long,Market,Trade,1299,0.18970,Market,0.0006,0.14785218,7b06b407
1000LUNCUSDT,bd2d4f15,2022-12-01 18:47:10,10,Close Long,Market,Trade,2382,0.16560,Market,0.0006,0.23667552,5ed6914c
1000LUNCUSDT,3331fe6a,2022-12-01 17:14:59,10,Open Long,Market,Trade,541,0.17470,Market,0.0006,0.05670762,2564681f
1000LUNCUSDT,3331fe6a,2022-12-01 17:14:59,10,Open Long,Market,Trade,1841,0.17470,Market,0.0006,0.19297362,bdff0f8e
LRCUSDT,4e56f5cd,2022-12-01 16:34:27,10,Close Long,Limit,Trade,907.8,0.2720,0.2720,0.0001,0.02469216,23feacda
LRCUSDT,4e56f5cd,2022-12-01 16:34:27,10,Close Long,Limit,Trade,32.2,0.2720,0.2720,0.0001,0.00087584,eb390ec4
LRCUSDT,4e56f5cd,2022-12-01 16:34:27,10,Close Long,Limit,Trade,513.3,0.2720,0.2720,0.0001,0.01396176,52a5ac9c
LRCUSDT,1332af2f,2022-12-01 16:34:20,10,Open Long,Market,Trade,1453.3,0.2695,Market,0.0006,0.23499861,33d52246
FTMUSDT,18c88931,2022-12-01 14:39:56,10,Close Long,Limit,Trade,1434,0.2565,0.2565,0.0001,0.0367821,36bb14b2
FTMUSDT,445e3f64,2022-12-01 14:36:53,10,Open Long,Market,Trade,1434,0.2540,Market,0.0006,0.2185416,a55797a4
OPUSDT,ee270ff3,2022-12-01 00:56:51,10,Close Long,Limit,Trade,322.5,1.0620,1.0620,0.0001,0.0342495,9db074e6
OPUSDT,a1c9c32e,2022-12-01 00:48:11,10,Open Long,Market,Trade,184.9,1.0515,Market,0.0006,0.11665341,88639f2b
OPUSDT,a1c9c32e,2022-12-01 00:48:11,10,Open Long,Market,Trade,137.6,1.0515,Market,0.0006,0.08681184,947abd1a
GALAUSDT,2de09b33,2022-11-30 09:46:43,10,Close Long,Market,Trade,16510,0.02679,Market,0.0006,0.26538174,888703e4
GALAUSDT,2de09b33,2022-11-30 09:46:43,10,Close Long,Market,Trade,400,0.02679,Market,0.0006,0.0064296,34b61fc0
GALAUSDT,2de09b33,2022-11-30 09:46:43,10,Close Long,Market,Trade,7,0.02679,Market,0.0006,0.00011252,76a62cce
GALAUSDT,2de09b33,2022-11-30 09:46:43,10,Close Long,Market,Trade,41,0.02679,Market,0.0006,0.00065904,838ad15d
GALAUSDT,71bf281b,2022-11-30 08:24:46,10,Open Long,Market,Trade,16958,0.02772,Market,0.0006,0.28204546,1fa385a3
FTMUSDT,db7fab0f,2022-11-30 04:19:05,10,Close Long,Limit,Trade,282,0.2460,0.2460,0.0001,0.0069372,313f4498
FTMUSDT,db7fab0f,2022-11-30 04:19:04,10,Close Long,Limit,Trade,88,0.2460,0.2460,0.0001,0.0021648,428cb5f8
FTMUSDT,db7fab0f,2022-11-30 04:19:02,10,Close Long,Limit,Trade,1428,0.2460,0.2460,0.0001,0.0351288,4bdc6f14
FTMUSDT,3a739aa4,2022-11-30 04:04:50,10,Open Long,Market,Trade,1798,0.2435,Market,0.0006,0.2626878,8c4b77da
APEUSDT,a17acdbc,2022-11-30 01:47:13,10,Close Long,Limit,Trade,93.7,4.3760,4.3760,0.0001,0.04100312,4b9e4161
APEUSDT,a2bc0118,2022-11-30 01:37:27,10,Open Long,Market,Trade,47.6,4.3330,Market,0.0006,0.12375048,8ba9158b
