Type of board ,SUBTYPE,SPECIFICATIONS,THICKNESS,BROAD,AVAILABLE,LONG,UNIT,Packaging,Currency,Price,TAX included,CODE REFERENCE,Final price for wholesalers,Order delivery delay
PHENOLIC,GRANDIS,III,18MM,"1,22",X,"2,44",MTS,33,$,"21,501.42",26016.7182,16.00,"20,813.37",5
PHENOLIC,GRANDIS,III,24MM,"1,22",X,"2,44",MTS,25,$,"34,814.50",42125.545,17.00,"33,700.44",5
PHENOLIC,GRANDIS,III,9MM,"1,22",X,"2,44",MTS,66,$,"17,920.21",21683.4541,18.00,"17,346.76",5
PHENOLIC,GRANDIS,III,12MM,"1,22",X,"2,44",MTS,50,$,"21,356.21",25841.0141,19.00,"20,672.81",7
PHENOLIC,GRANDIS,III,15MM,"1,22",X,"2,44",MTS,42,$,"25,558.06",30925.2526,20.00,"24,740.20",7
PHENOLIC,GRANDIS,III,18MM,"1,22",X,"2,44",MTS,33,$,"23,771.86",28763.9506,21.00,"23,011.16",7
PHENOLIC,GRANDIS,III,24MM,"1,22",X,"2,44",MTS,25,$,"38,503.36",46589.0656,22.00,"37,271.25",7
PHENOLIC,GRANDIS,II,18MM,"1,22",X,"2,44",MTS,33,$,"27,878.85",33733.4085,23.00,"26,986.73",7
PLAKIMBRE,GRANDIS,SCRAP,10MM,"1,22",X,"2,44",MTS,60,$,"17,622.15",21322.8015,24.00,"17,058.24",7
PLAKIMBRE,GRANDIS,DECO,12MM,"1,22",X,"2,44",MTS,50,$,"22,242.99",26914.0179,25.00,"21,531.21",7
PLAKIMBRE,GRANDIS,DESIGN,12MM,"1,22",X,"2,44",MTS,50,$,"25,188.00",30477.48,26.00,"24,381.98",7
PHENOLIC,PINE,PLAYWOODHOME,9MM,"1,22",X,"2,44",MTS,66,$,"12,479.23",15099.8683,27.00,"12,079.89",7
PHENOLIC,PINE,PLAYWOODHOME,12MM,"1,22",X,"2,44",MTS,50,$,"15,145.21",18325.7041,28.00,"14,660.56",7
PHENOLIC,PINE,PLAYWOODHOME,18MM,"1,22",X,"2,44",MTS,33,$,"16,973.33",20537.7293,29.00,"16,430.18",7
PHENOLIC,TAPUMO,VERDE,9MM,"1,22",X,"2,44",MTS,50,$,"7,717.71",9338.4291,30.00,"7,470.74",7
PHENOLIC,EUCA,SIDING,18MM,"1,22",X,"2,44",MTS,50,$,"15,826.32",19149.8472,31.00,"15,319.88",7
PHENOLIC,EUCA,4,18MM,"1,22",X,"2,44",MTS,50,$,"17,133.56",20731.6076,32.00,"16,585.29",5
PHENOLIC,EUCA,3-4,18MM,"1,22",X,"2,44",MTS,50,$,"18,341.51",22193.2271,33.00,"17,754.58",5
PHENOLIC,PINE,SIDING ,18MM,"1,22",X,"2,44",MTS,50,$,"13,103.57",15855.3197,34.00,"12,684.26",5
PHENOLIC,PINE,4,18MM,"1,22",X,"2,44",MTS,50,$,"14,085.79",17043.8059,35.00,"13,635.04",5
PHENOLIC,PINE,3,18MM,"1,22",X,"2,44",MTS,50,$,"15,067.94",18232.2074,36.00,"14,585.77",5
PHENOLIC,PINE,3,18MM,"1,22",X,"2,44",MTS,50,$,"16,050.15",19420.6815,37.00,"15,536.55",5
PHENOLIC,SCRAP,COMBI,18MM,"1,22",X,"2,44",MTS,50,$,"10,648.18",12884.2978,38.00,"10,307.44",5
PHENOLIC,SCRAP,COMBI,25MM,"1,22",X,"2,44",MTS,38,$,"16,341.49",19773.2029,39.00,"15,818.56",5
PHENOLIC,CAL,X,6MM,"1,22",X,"2,44",MTS,80,$,"8,567.94",10367.2074,40.00,"8,293.77",5
PHENOLIC,CAL,X,10MM,"1,22",X,"2,44",MTS,80,$,"11,407.52",13803.0992,41.00,"11,042.48",5
PHENOLIC,CAL,X,12MM,"1,22",X,"2,44",MTS,70,$,"12,272.50",14849.725,42.00,"11,879.78",6
PHENOLIC,SCRAP,X,12MM,"1,22",X,"2,44",MTS,70,$,"9,181.50",11109.615,43.00,"8,887.69",6
PHENOLIC,CAL,X,18MM,"1,22",X,"2,44",MTS,50,$,"14,075.43",17031.2703,44.00,"13,625.02",6
PHENOLIC,CAL,X,18MM,"1,22",X,"2,44",MTS,50,$,"13,086.81",15835.0401,45.00,"12,668.03",6
PHENOLIC,SCRAP,X,18MM,"1,22",X,"2,44",MTS,50,$,"10,621.43",12851.9303,46.00,"10,281.54",6
PHENOLIC,CAL,X,18MM,"1,22",X,"2,44",MTS,50,$,"17,540.97",21224.5737,47.00,"16,979.66",6
PHENOLIC,CAL,X,18MM,"1,22",X,"2,44",MTS,50,$,"16,394.22",19837.0062,48.00,"15,869.60",6
PHENOLIC,CAL,X,18MM,"1,22",X,"2,44",MTS,50,$,"11,433.18",13834.1478,49.00,"11,067.32",6
PHENOLIC,SCRAP,X,18MM,"1,22",X,"2,44",MTS,50,$,"10,708.17",12956.8857,50.00,"10,365.51",6
PHENOLIC,CAL,X,18MM,"1,22",X,"2,44",MTS,50,$,"13,839.18",16745.4078,51.00,"13,396.33",6
PHENOLIC,CAL,X,18MM,"1,22",X,"2,44",MTS,50,$,"10,708.17",12956.8857,52.00,"10,365.51",6
PHENOLIC,SCRAP,C+/C,9MM,"1,22",X,"2,44",MTS,100,$,"10,401.52",12585.8392,53.00,"10,068.67",6
PHENOLIC,PINE,C+/C,12MM,"1,22",X,"2,44",MTS,60,$,"13,077.68",15823.9928,54.00,"12,659.19",6
PHENOLIC,PINE,C+/C,15MM,"1,22",X,"2,44",MTS,50,$,"14,661.28",17740.1488,55.00,"14,192.12",6
PHENOLIC,PINE,C+/C,18MM,"1,22",X,"2,44",MTS,40,$,"15,528.30",18789.243,56.00,"15,031.39",6
PHENOLIC,PINE,B/C,8MM,"1,22",X,"2,44",MTS,90,$,"11,429.46",13829.6466,57.00,"11,063.72",6
PHENOLIC,PINE,B/C,12MM,"1,22",X,"2,44",MTS,60,$,"14,371.93",17390.0353,58.00,"13,912.03",6
PHENOLIC,PINE,B/C,15MM,"1,22",X,"2,44",MTS,50,$,"15,986.10",19343.181,59.00,"15,474.54",6
PHENOLIC,PINE,B/C,18MM,"1,22",X,"2,44",MTS,40,$,"17,481.75",21152.9175,60.00,"16,922.33",6
PHENOLIC,PINE,B/B,8MM,"1,22",X,"2,44",MTS,90,$,"12,451.26",15066.0246,61.00,"12,052.82",6
PHENOLIC,PINE,B/B,12MM,"1,22",X,"2,44",MTS,60,$,"15,995.63",19354.7123,62.00,"15,483.77",6
PHENOLIC,PINE,B/B,15MM,"1,22",X,"2,44",MTS,50,$,"17,526.60",21207.186,63.00,"16,965.75",6
PHENOLIC,PINE,B/B,18MM,"1,22",X,"2,44",MTS,40,$,"19,022.25",23016.9225,64.00,"18,413.54",6
PHENOLIC,PINE,C+/C,6MM,"1,60",X,"2,20",MTS,100,$,"12,408.62",15014.4302,65.00,"12,011.54",6
PHENOLIC,PINE,C+/C,8MM,"1,60",X,"2,20",MTS,75,$,"15,420.01",18658.2121,66.00,"14,926.57",6
PHENOLIC,PINE,C+/C,10MM,"1,60",X,"2,20",MTS,60,$,"19,098.65",23109.3665,67.00,"18,487.49",6
PHENOLIC,PINE,C+/C,12MM,"1,60",X,"2,20",MTS,50,$,"21,815.85",26397.1785,68.00,"21,117.74",6
PHENOLIC,PINE,C+/C,15MM,"1,60",X,"2,20",MTS,40,$,"24,861.97",30082.9837,69.00,"24,066.39",6
PHENOLIC,PINE,C+/C,18MM,"1,60",X,"2,20",MTS,30,$,"28,196.27",34117.4867,70.00,"27,293.99",6
PHENOLIC,PINE,C+/C,25MM,"1,60",X,"2,20",MTS,16,$,"40,051.97",48462.8837,71.00,"38,770.31",6
PHENOLIC,EUCA,C+/C,18MM,"1,60",X,"2,20",MTS,30,$,"31,476.36",38086.3956,72.00,"30,469.12",6
PHENOLIC,EUCA,B/C,18MM,"1,22",X,"2,44",MTS,30,$,"26,799.32",32427.1772,73.00,"25,941.74",6
OSB,LP,Multiplac,8MM,"1,22",X,"2,44",MTS,108,$,"9,293.83",11245.5343,74.00,"8,996.43",5
OSB,LP,Multiplac,10MM,"1,20",X,"2,44",MTS,91,$,"10,499.63",12704.5523,75.00,"10,163.64",5
OSB,LP,Multiplac,12MM,"1,20",X,"2,44",MTS,76,$,"11,896.00",14394.16,76.00,"11,515.33",5
OSB,LP,Multiplac,15MM,"1,20",X,"2,44",MTS,59,$,"14,218.22",17204.0462,77.00,"13,763.24",5
OSB,LP,Multiplac,18MM,"1,22",X,"2,44",MTS,51,$,"18,543.84",22438.0464,78.00,"17,950.44",5
OSB,TAPUME,VERDE,10MM,"1,22",X,"2,20",MTS,97,$,"7,523.77",9103.7617,79.00,"7,283.01",5
OSB,LP,APA,"9,5MM","1,22",X,"2,44",MTS,90,$,"12,411.88",15018.3748,80.00,"12,014.70",5
OSB,LP,APA,"11,1MM","1,22",X,"2,44",MTS,77,$,"14,502.37",17547.8677,81.00,"14,038.29",5
OSB,LP,APA,"15,1MM","1,22",X,"2,44",MTS,58,$,"19,728.50",23871.485,82.00,"19,097.19",5
OSB,LP,APA,"18,3MM","1,22",X,"2,44",MTS,46,$,"25,104.79",30376.7959,83.00,"24,301.44",5
OSB,LP,Induplac,25MM,"1,22",X,"2,44",MTS,36.00,$,"26,509.47",32076.4587,84.00,"25,661.17",5
OSB,TECHSHIELD,(ALUMINIUM),"11,1MM","1,22",X,"2,44",MTS,72.00,$,"16,658.97",20157.3537,85.00,"16,125.88",5
OSB,HWRAP,(WHICHI),"11,1MM","1,22",X,"2,44",MTS,72.00,$,"15,886.27",19222.3867,86.00,"15,377.91",5
OSB,Colonial,- ,9MM,"1,22",X,"2,44",MTS,90,$,"13,332.39",16132.1919,87.00,"12,905.75",5
OSB,TOP,NOTCH,18MM,"1,22",X,"2,44",MTS,45,$,"24,002.32",29042.8072,88.00,"23,234.25",5
OSB,ECOFORM,(Resinado),18MM,"1,22",X,"2,20",MTS,46,$,"17,718.14",21438.9494,89.00,"17,151.16",5
