Listing title,eBay item ID,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Ads Standard fees,International fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
Garnier Mineral Action Control Deodorant Women Assorted Scents,254639421014,19,$380.80,$355.82,$24.98,$0.00,$150.80,$1.75,$0.00,$67.45,$37.60,$0.00,$17.11,$61.11,$205.02,$20.04,17,0,0
TURIN PREMIUM FILLED CHOCOLATES LIQUOR JOSE CUERVO 200G,255239853885,19,$636.17,$564.94,$28.33,$42.90,$259.11,$0.00,$0.00,$75.83,$23.46,$3.04,$0.00,$156.78,$348.73,$33.48,14,0,0
3 Packs ZEST TORONJA ALBAHACA GRAPEGRUIT BASIL BAR SOAP 90 G PRODUCT OF MEXICO,254990030448,18,$528.26,$487.82,$40.44,$0.00,$236.68,$0.00,$0.00,$74.60,$27.46,$0.00,$0.00,$134.62,$251.14,$29.35,13,0,0
2 X PALMOLIVE NEUTRO BALANCE DERMOLIMPIADOR JABON LIQUIDO CORPORAL 390ml each,255468558386,17,$437.12,$405.35,$31.77,$0.00,$192.00,$0.00,$0.00,$61.63,$25.02,$0.00,$0.00,$105.35,$213.35,$25.71,15,0,0
ZUKO Flavors No Sugar Needed Makes 2 Liters Of Drink Mix 12 different pouches,255469817155,17,$251.21,$241.24,$9.97,$0.00,$115.22,$0.00,$0.00,$35.02,$6.02,$0.00,$0.00,$74.18,$126.02,$14.78,13,0,0
8 Bar Soaps Palmolive Neutro Balance or Naturals (150g each bar)-Assorted Scents,255548085107,17,$477.87,$441.83,$36.04,$0.00,$216.85,$0.00,$0.00,$68.01,$21.62,$0.47,$0.00,$126.75,$224.98,$28.11,14,0,0
4x NIVEA FACIAL 5 en 1 Assorted 200ml,255973205430,17,$380.80,$293.67,$23.24,$63.89,$143.56,$0.00,$0.00,$55.27,$10.34,$0.00,$0.00,$77.95,$214.00,$22.40,11,0,0
50 x Clight No Sugar Needed Makes 1 Liters Of Drink Mix 7g From Mexico Assorted,255991007696,17,$735.56,$662.87,$43.69,$29.00,$189.44,$0.00,$0.00,$90.72,$20.77,$0.75,$0.00,$77.20,$502.43,$43.27,8,0,0
TAJIN DULCE CHILITOS EN POLVO PARA BOTANAS TAJIN DULCE FRUITS CANDY TOPPIN,256161969187,17,$230.70,$142.39,$0.91,$87.40,$112.08,$0.00,$0.00,$30.50,$27.67,$0.00,$0.00,$53.91,$117.71,$13.57,17,0,0
3 x Desodorante antitranspirante Palmolive Neutro Balance en roll on unisex 65 m,255439720148,16,$455.98,$421.71,$34.27,$0.00,$154.97,$0.00,$0.00,$64.43,$16.42,$0.00,$0.00,$74.12,$266.74,$28.50,9,0,0
2X REXONA EFFICIENT TALCO PARA PIES  200g/FOOT TALCUM POWDER 2 DE 200g FREE SHIP,255973373382,16,$401.96,$363.40,$38.56,$0.00,$174.29,$0.00,$0.00,$56.27,$4.18,$0.00,$0.00,$113.84,$189.11,$25.12,7,0,0
NIVEA FACIAL 5 CUIDADO NUTRITIVO Makeup Prep CREMA KARITE /NURTURING CREAM-200ml,255444869929,15,$269.52,$250.85,$18.67,$0.00,$113.03,$0.00,$0.00,$39.17,$8.00,$0.00,$0.00,$65.86,$137.82,$17.97,9,0,0
2X Crema Real Skin Care Original vitamina E + Glicerina 220g c/u,255444879992,15,$350.52,$327.38,$23.14,$0.00,$146.94,$0.00,$0.00,$49.29,$23.43,$0.00,$0.00,$74.22,$180.44,$23.37,14,0,0
"2 x 14” or 18"" Tall Metal Cone Wreath Form Floral Gardens-Limited Supply- NEW",255548115098,15,$362.72,$233.45,$22.42,$106.85,$144.08,$0.00,$0.00,$51.20,$5.90,$0.00,$0.00,$86.98,$196.22,$24.18,7,0,0
"6x 47g Paqueté MAIZENA ATOLE Available in Chocolate, vanilla,fresas, coco",256237471323,15,$162.11,$134.77,$0.37,$26.97,$79.38,$0.00,$0.00,$22.02,$4.68,$0.00,$0.00,$52.68,$82.36,$10.81,8,0,0
TURIN PREMIUM  FILLED CHOCOLATES LIQUOR CHERRIES 200G,255239836669,14,$363.97,$352.83,$11.14,$0.00,$147.44,$0.00,$0.00,$47.32,$15.37,$0.00,$0.00,$84.75,$205.39,$26.00,11,0,0
Bottle Johnnie Walker Chocolates by Turin Chocolatier {Cont 7 Oz /180grams},255877709727,14,$379.03,$374.59,$4.44,$0.00,$140.45,$0.00,$0.00,$47.64,$7.98,$0.00,$0.00,$84.83,$234.14,$27.07,13,0,0
2 X FERMODYL BRILLO KALEIDOSCOPICO REHIDRATACION PROFUNDA FERMO DUAL 240ML,255383648812,11,$338.39,$314.89,$23.50,$0.00,$145.76,$0.00,$0.00,$52.49,$16.30,$2.04,$7.62,$82.55,$169.13,$30.76,6,0,0
2 x Neutro Balance Deodorant Palmolive,255560844988,11,$237.77,$219.89,$17.88,$0.00,$90.25,$2.45,$0.00,$34.82,$8.54,$0.00,$0.00,$44.44,$129.64,$21.62,8,0,0
Zuko Mexican Drink Mix Sweetened Drink Mix Set of 6 Pick your flavor,255599092307,11,$145.60,$138.60,$7.00,$0.00,$60.24,$0.00,$0.00,$19.77,$7.40,$0.00,$0.00,$33.07,$78.36,$13.24,9,0,0
1 X NIVEA ANTITRANSPIRANTE ACLARADO NATURAL CLASSIC TOUCH DESODORANTE - 2 de 50g,256037910097,11,$159.08,$147.34,$11.74,$0.00,$66.85,$0.00,$0.00,$23.77,$6.76,$0.00,$0.00,$36.32,$80.49,$14.46,5,0,0
VANISH OXI ACTION MULTI POWER FABRIC STAIN REMOVER,254613745673,10,$308.11,$287.92,$20.19,$0.00,$151.73,$2.10,$0.00,$46.33,$28.18,$0.00,$4.58,$79.70,$136.19,$30.81,9,0,0
TURIN PREMIUM  FILLED CHOCOLATES LIQUOR BAILEYS AVELLANA 200G,255239899139,10,$262.09,$249.82,$12.27,$0.00,$105.97,$0.00,$0.00,$38.49,$11.32,$0.57,$7.37,$62.96,$143.85,$26.21,8,0,0
"Ting Polvo 85g Ayuda A Eliminar La Sudoracion , Mal Olor , Comezon , Ardor,",255323163477,10,$226.48,$210.00,$16.48,$0.00,$66.25,$0.00,$0.00,$36.41,$3.73,$0.00,$6.09,$32.20,$143.75,$22.65,2,0,0
Sedal Hidratacion Anti Nudos KIT Shampoo+Acondicionador+Crema para peinar,255370445862,10,$288.06,$267.97,$20.09,$0.00,$130.87,$0.00,$0.00,$40.98,$6.93,$0.00,$0.00,$82.96,$137.10,$28.81,6,0,0
EGO CONTROL CASPA Gel - 32oz (950ml)- Fragrancia Essential - FREE Shipping,255481875208,10,$255.66,$240.00,$15.66,$0.00,$114.11,$0.00,$0.00,$36.14,$6.13,$0.00,$0.00,$71.84,$125.89,$25.57,8,0,0
8 x Palmolive Neutro Balance Pro Cuidado Antibacterial- Moisturizing Bar Soap,255482549778,10,$276.90,$256.26,$20.64,$0.00,$122.13,$0.00,$0.00,$39.14,$16.49,$0.00,$0.00,$66.50,$134.13,$27.69,9,0,0
Crema de noche Nivea Luminous 630°cellular anti-manchas 50 ml,255562436717,10,$462.67,$426.98,$35.69,$0.00,$117.81,$2.80,$0.00,$63.99,$8.10,$0.00,$0.00,$42.92,$309.17,$46.27,7,0,0
2X Oro 24 Kilates Café Microesferas Instant Coffee w/Microspheres 160g each,256233958319,10,$345.21,$345.21,$0.00,$0.00,$139.38,$0.00,$0.00,$43.25,$17.69,$0.00,$0.00,$78.44,$205.83,$34.52,8,0,1
8 x Palmolive Naturals -Sensacion Humectante- Moisturizing Bar Soap w Olive Oil,255217443854,9,$249.48,$233.91,$15.57,$0.00,$164.76,$0.00,$48.00,$35.77,$11.12,$0.00,$0.00,$69.87,$69.15,$27.72,5,0,0
BARRACUDA ORIGINAL Hair Gel Strengthener for Authentic MEN MEXICO ASSORTED,255228315839,9,$194.11,$185.41,$8.70,$0.00,$85.88,$0.00,$0.00,$28.04,$9.62,$0.45,$0.00,$47.77,$99.53,$21.57,7,0,0
EGO ATTRACTION Gel - 32oz (950ml)- Fragrancia Essential - FREE Shipping,255468551273,9,$197.27,$184.00,$13.27,$0.00,$108.81,$0.00,$0.00,$31.86,$5.95,$0.00,$3.70,$74.70,$75.19,$21.92,5,0,0
3 x Nivea Aclarado Natural Classic Touch Spray Deodorant 48H (89 g each),255505409122,9,$239.67,$220.56,$19.11,$0.00,$102.96,$0.00,$0.00,$42.36,$14.45,$0.00,$10.92,$57.07,$117.60,$26.63,6,0,0
Nivea Cellular Luminous 630º Anti-Pigmentation/Spot Fluid SPF50~40ml,255562408426,9,$390.05,$358.69,$31.36,$0.00,$100.31,$2.45,$0.00,$53.95,$8.87,$0.00,$0.00,$35.04,$258.38,$43.34,7,0,0
Cafe Legal Mexican Ground Coffee Cafe Tostado Mexicano De Grano Molido Set of 2,255949538368,9,$207.60,$204.50,$3.10,$0.00,$96.12,$0.00,$0.00,$27.36,$6.66,$0.00,$0.00,$62.10,$108.38,$23.07,8,0,0
Rexona Efficient (200 G),256005036788,9,$134.31,$124.27,$10.04,$0.00,$68.11,$0.00,$0.00,$20.21,$5.63,$0.00,$0.00,$42.27,$56.16,$14.92,4,0,0
5 PACK NIVEA ROLL ON ANTIPERSPIRANT 1.69 OZ EA ACLARADO NATURAL EFECTO SATIN,256017059014,9,$268.54,$243.80,$24.74,$0.00,$81.72,$0.00,$0.00,$37.07,$8.04,$0.00,$0.00,$36.61,$162.08,$29.84,4,0,0
Portector solar L'Oréal UV Defender antifotoenvejecimiento invisible FPS 50+,256048456893,9,$442.58,$387.00,$32.18,$23.40,$119.43,$0.00,$0.00,$61.32,$26.39,$0.00,$0.00,$31.72,$290.97,$49.18,7,0,0
3 x Dove Tono Uniforme Whitening Deodorant Barra 48h AntiPerspirant 45g,256049500790,9,$270.60,$251.91,$18.69,$0.00,$98.63,$0.00,$0.00,$38.54,$18.05,$0.00,$0.00,$42.04,$153.28,$30.07,8,0,0
Authentic Mexican Michelada~MICHEMIX EspecialMix For Beer 8.11oz(240ml)4Bottles,254926741079,8,$204.35,$197.92,$6.43,$0.00,$95.27,$0.00,$0.00,$26.75,$3.82,$0.40,$0.00,$64.30,$102.65,$25.54,4,0,0
4X MAFER CACAHUATE JAPONES CON LIMON / JAPANESE PEANUTS WITH LIME -4 DE 170g c/u,255973407492,8,$281.87,$281.87,$0.00,$0.00,$120.89,$0.00,$0.00,$35.12,$19.11,$0.00,$0.00,$66.66,$160.98,$35.23,8,0,0
4x Dove Tono Uniforme Orquidia Whitening Deodorant RollOn 48h AntiPerspirant 50m,256049483787,8,$253.79,$235.92,$17.87,$0.00,$98.17,$0.00,$0.00,$36.02,$19.93,$0.00,$0.00,$42.22,$137.75,$31.72,7,0,0
2 X Crema corporal Real Skin Care Suavidad Nutritiva para piel delicada 220 g,255395464566,7,$168.27,$155.40,$12.87,$0.00,$97.03,$0.00,$0.00,$24.23,$6.07,$0.00,$0.00,$66.73,$58.37,$24.04,5,0,0
EGO MAGNETIC Gel - 32oz (950ml)- Fragrancia Essential - FREE Shipping,255910453011,7,$174.80,$161.00,$13.80,$0.00,$91.37,$0.00,$0.00,$25.26,$8.01,$0.00,$0.00,$58.10,$69.63,$24.97,6,0,0
Portector solar L'Oréal UV Defender antifotoenvejecimiento con color claro FPS 5,255985676858,7,$327.30,$310.00,$17.30,$0.00,$95.85,$0.00,$0.00,$45.48,$21.99,$0.00,$0.00,$28.38,$214.15,$46.76,6,0,0
5 PACK NIVEA ROLL ON ANTIPERSPIRANT 1.69 OZ EA ACLARADO NATURAL CLASSIC TOUCH,256017056152,7,$222.04,$202.93,$19.11,$0.00,$87.80,$0.00,$0.00,$31.51,$10.44,$0.00,$0.00,$45.85,$115.13,$31.72,4,0,0
Cafe Legal Mexican Ground Coffee Tostado Mexicano De Grano Molido 200gs Set of 2,256053767102,7,$133.69,$132.93,$0.76,$0.00,$70.23,$0.00,$0.00,$18.02,$7.27,$0.00,$0.00,$44.94,$62.70,$19.10,6,0,0
4 x Sedal Hidratacion Anti Nudos Crema para peinar,256069583720,7,$191.28,$184.99,$6.29,$0.00,$90.73,$0.00,$0.00,$27.14,$11.39,$0.00,$0.00,$52.20,$94.26,$27.33,5,0,0
Vanish Gold Super Stain Remover Bar w Enzyme~68gPowerful Stain Removal~3pk pink,254929277063,6,$100.58,$92.94,$7.64,$0.00,$45.88,$0.00,$0.00,$15.07,$4.02,$0.00,$0.00,$26.79,$47.06,$16.76,6,0,0
Café Gila Espresso Tostado yMolido 400 g/Coffee Gila Roasted and ground Espresso,255141363000,6,$153.94,$153.94,$0.00,$0.00,$64.66,$0.00,$0.00,$20.16,$6.72,$0.00,$0.00,$37.78,$89.28,$25.66,6,0,0
Dawn Platinum Powerwash Dish Spray Refills Fresh Scent 16 fl oz PACK OF 2,255370479592,6,$115.16,$107.78,$7.38,$0.00,$59.39,$0.00,$0.00,$19.38,$3.69,$0.00,$2.99,$39.31,$48.39,$19.19,4,0,0
Livean Drink Mix~Tangerine Flavor Sweetened w/ STEVIA~7g ea. Get 14 pk's,255391601214,6,$86.22,$79.98,$6.24,$0.00,$26.47,$0.00,$0.00,$15.43,$5.94,$0.00,$6.08,$11.18,$53.51,$14.37,6,0,0
EGo HAIR GEL MEN STRONG BLACK 950ml PRODUCT OF MEXICO,255407750539,6,$142.72,$137.00,$5.72,$0.00,$83.03,$0.00,$0.00,$20.55,$6.58,$0.40,$0.00,$55.50,$53.97,$23.79,5,0,0
"Garnier Serum  Fructis stop caida, prevent hair loss 30 ml new",255758514846,6,$189.76,$157.86,$8.90,$23.00,$53.44,$0.00,$0.00,$26.39,$5.73,$0.00,$0.00,$21.32,$127.42,$31.63,3,0,0
2 X PALMOLIVE NEUTRO CREMA CORPORAL ASSORTED 400ml each,255973283372,6,$165.70,$153.92,$11.78,$0.00,$71.34,$0.00,$0.00,$23.46,$4.12,$0.00,$0.00,$43.76,$82.58,$27.62,5,0,0
Nivea Doble corrector Luminous fluido con colorantimanchas FP20 40 ml,256221959891,6,$281.32,$263.94,$17.38,$0.00,$87.05,$0.00,$0.00,$39.08,$14.07,$0.00,$0.00,$33.90,$176.89,$46.89,6,0,0
Super Mario LEGO 71386 Character Pack Series 2 Pick n Choose Your Favorites 2021,254832481835,5,$72.47,$67.22,$5.25,$0.00,$27.76,$0.00,$0.00,$10.46,$5.84,$0.00,$0.00,$11.46,$39.46,$14.49,5,0,0
SEDAL Crema Para Peinar Hair Comb Cream or Shampoo/Conditioner(Assorted scents),254881439113,5,$103.22,$95.95,$7.27,$0.00,$48.06,$0.00,$0.00,$15.17,$2.89,$0.00,$0.00,$30.00,$47.89,$20.64,3,0,0
GARNIER FRUCTIS AGUACATE HAIR FOOD  1 SHAMPOO y 1ACONDICIONADOR  ENVIO PRIORIDAD,254946083326,5,$134.91,$124.95,$9.96,$0.00,$64.16,$0.00,$0.00,$23.28,$8.92,$0.00,$6.34,$38.30,$60.79,$26.98,4,0,0
"Spineless Prickly Pear Cactus ""Cacanapa Ellisiana"" - ONE PAD WINTER HARDY",254985396548,5,$109.94,$89.95,$7.01,$12.98,$37.67,$0.00,$0.00,$13.71,$4.27,$0.00,$0.00,$19.69,$65.26,$21.99,4,0,0
3 X Pond's Crema S Piel Suave y Tersa Nutrivia 14oz /400 g (Brand New),255008126566,5,$160.49,$150.59,$9.90,$0.00,$58.69,$0.00,$0.00,$22.16,$0.98,$0.00,$0.00,$35.55,$91.90,$32.10,1,0,0
3 x Nivea Black & White Invisible Spray Deodorant 48H (89 g each),255056466855,5,$139.73,$129.95,$9.78,$0.00,$55.98,$0.00,$0.00,$20.01,$2.77,$0.00,$0.00,$33.20,$73.97,$27.95,3,0,0
TURIN PREMIUM  FILLED CHOCOLATES LIQUOR CARAJILLO180G,255239877746,5,$124.44,$121.89,$2.55,$0.00,$54.32,$0.00,$0.00,$16.34,$5.64,$0.00,$0.00,$32.34,$67.57,$24.89,5,0,0
TURIN PREMIUM  FILLED CHOCOLATES LIQUOR BAILEYS ORIGINAL 200G,255239910420,5,$127.93,$120.66,$7.27,$0.00,$47.22,$0.00,$0.00,$16.16,$6.99,$0.00,$0.00,$24.07,$73.44,$25.59,5,0,0
8 x Palmolive Naturals -Suavidad Exfoliante- Moisturizing Bar Soap,255370444389,5,$139.66,$129.95,$9.71,$0.00,$112.52,$0.00,$48.00,$19.81,$3.91,$0.00,$0.00,$40.80,$17.43,$27.93,4,0,0
3 PK SAVILE SHAMPOO Menta y Eucalipto 730ml,255408866408,5,$163.88,$151.96,$11.92,$0.00,$99.18,$0.00,$0.00,$27.99,$10.15,$0.00,$8.01,$69.05,$52.78,$32.78,4,0,0
3 X PALMOLIVE SENSACION HUMECTANTE JABON LIQUIDO CORPORAL 390ml/13.2 fl each,255439761903,5,$140.30,$129.95,$10.35,$0.00,$63.88,$0.00,$0.00,$20.00,$5.58,$0.00,$0.00,$38.30,$66.07,$28.06,4,0,0
2 x Neutro Balance Men Spray Deodorant Palmolive,255444866189,5,$87.33,$80.00,$7.33,$0.00,$34.28,$0.00,$0.00,$15.80,$4.35,$0.00,$4.27,$18.40,$45.72,$17.47,4,0,0
3 x Nivea Black & White Invisible Effecto Satin Spray Deodorant 48H (89 g each),255468563413,5,$147.43,$135.95,$11.48,$0.00,$59.19,$0.00,$0.00,$20.84,$5.11,$0.00,$0.00,$33.24,$76.76,$29.49,3,0,0
"Ting Polvo 160g Ayuda A Eliminar La Sudoracion , Mal Olor , Comezon , Ardor,",255747337386,5,$120.68,$112.00,$8.68,$0.00,$44.63,$0.00,$0.00,$21.55,$4.54,$0.00,$4.98,$23.52,$67.37,$24.14,5,0,0
2 TING Powder Talcum Antifungal Athletes Foot Pie De Atleta Antiseptic 160g Mex,255781804086,5,$219.48,$206.54,$12.94,$0.00,$67.23,$0.00,$0.00,$41.52,$2.65,$0.00,$11.84,$34.90,$139.31,$43.90,3,0,0
5 Bags Peruvian Beans - Frijol Peruano - 9.92 LBS Mexican Yellow Beans,255907466027,5,$189.61,$161.65,$0.00,$27.96,$81.15,$0.00,$0.00,$23.82,$3.90,$0.00,$0.00,$53.43,$108.46,$37.92,2,0,0
Antitranspirante Dove tono uniforme en aerosol caléndula/vitamina E (spray),256053791137,5,$98.15,$91.45,$6.70,$0.00,$39.79,$0.00,$0.00,$14.21,$4.68,$0.59,$0.00,$20.31,$51.66,$19.63,4,0,0
Dove Tono Uniforme Rosas Whitening Deodorant RollOn 48h AntiPerspirant 50m,256053809079,5,$79.58,$74.75,$4.83,$0.00,$37.38,$0.00,$0.00,$11.89,$7.17,$0.00,$0.00,$18.32,$37.37,$15.92,5,0,0
"2  x Nescafe Dolca, Instant Coffee 2 pack/10.5 Oz ea",256066108762,5,$170.69,$149.73,$0.00,$20.96,$80.73,$0.00,$0.00,$26.14,$15.48,$0.00,$7.47,$46.58,$89.96,$34.14,4,0,1
Grisi Jabon Del Perro Consentido Available in Bar Soap or Shampoo,256133460311,5,$133.36,$99.95,$8.46,$24.95,$66.80,$0.00,$0.00,$19.18,$9.62,$0.00,$0.00,$38.00,$58.10,$26.67,4,0,0
