Lot,Product,Status,% Sieve ,% Sieve Fall ,% Tainted,% Less Tainted,% Uncolored,% SLightly Faded,% Decorated,%Less Decorated  ,% Broken,% Wrinkled,% Gnawed,% Wallowed,% Frozen,% Moldy,% Sprouted,Field Chopped %,Other Types %,% Other Defects
NE-Z30-026,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"0,25  ",0,0,"1,25  ","0,01  ","2,00  ","1,00  ",0,"0,01  ","1,75  ",0,0
NE-Z30-027,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"0,25  ",0,"0,01  ","0,75  ","0,25  ","0,50  ","0,25  ",0,0,"1,50  ",0,0
NE-Z30-028,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,50  ",0,0,"0,75  ","0,25  ","0,01  ",0,"0,25  ",0,"0,01  ","0,50  ","0,01  ",0,0,"0,50  ",0,0
NE-Z30-029,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,01  ",0,0,"0,50  ","0,50  ","0,25  ","0,01  ","0,01  ","1,50  ","0,25  ","1,50  ","0,25  ",0,0,"2,00  ",0,0
NE-Z30-031,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,75  ","0,25  ","1,00  ","0,50  ","0,25  ","0,50  ","0,01  ","1,25  ","0,75  ",0,0,"0,50  ",0,0
NE-Z30-032,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,50  ",0,0,"1,00  ","0,25  ","0,75  ","0,50  ","0,25  ","1,00  ","0,01  ","1,50  ","0,25  ",0,0,"1,75  ",0,0
NE-Z30-033,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ","0,25  ","0,50  ","0,25  ",0,"0,25  ",0,"1,00  ","0,01  ",0,0,"1,00  ",0,0
NE-Z30-035,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,01  ","0,25  ","0,50  ",0,0,"0,01  ","0,50  ",0,0,0,"1,00  ",0,0
NE-Z30-036,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,01  ","1,00  ","0,50  ","0,01  ","1,00  ","0,01  ","1,00  ",0,0,0,"1,00  ",0,0
NE-Z30-037,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"2,50  ","0,50  ","0,50  ","1,00  ","0,25  ","2,50  ","0,01  ","0,75  ","0,25  ",0,0,"1,25  ",0,0
NE-Z30-039,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ","0,25  ","0,50  ","0,25  ","0,25  ","0,75  ","0,01  ","1,00  ",0,0,0,"0,50  ","0,01  ",0
NE-Z30-040,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"0,50  ","0,50  ","0,01  ","0,75  ","0,01  ","0,25  ",0,0,0,"1,00  ",0,0
NE-Z30-042,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","1,00  ","1,00  ","0,25  ","0,25  ",0,0,0,"0,25  ",0,0,"0,75  ",0,0
NE-Z30-043,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"1,75  ","0,25  ","0,25  ","1,00  ",0,"1,00  ","0,25  ",0,0,"0,25  ",0,0
NE-Z30-044,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"0,50  ","1,00  ",0,"0,50  ",0,"0,25  ",0,0,0,"1,25  ",0,0
NE-Z30-045,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"0,50  ","1,00  ",0,"0,50  ",0,"0,25  ",0,0,0,"1,25  ",0,0
NE-Z30-048,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,50  ",0,0,"0,50  ",0,"1,50  ","0,50  ","0,50  ","1,25  ",0,0,"0,25  ",0,0,"1,25  ",0,0
NE-Z30-049,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,25  ","0,50  ","0,50  ",0,0,"1,00  ",0,"0,01  ","0,25  ",0,0,"1,00  ",0,0
NE-Z30-051,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,75  ","1,00  ","0,25  ","0,25  ",0,"1,25  ",0,"1,00  ","0,50  ",0,0,"0,50  ",0,0
NE-Z30-053,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,10  ",0,0,"0,25  ","0,50  ","0,75  ","0,25  ","0,01  ",0,"0,01  ","2,50  ","0,01  ",0,0,"1,00  ",0,0
NE-Z30-054,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,25  ","1,00  ","0,25  ","0,25  ","0,25  ",0,"0,50  ",0,0,0,"0,50  ",0,0
NE-Z30-055,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"1,00  ","0,25  ","0,25  ","0,25  ","0,01  ","2,50  ",0,"2,00  ","0,01  ",0,0,"1,00  ",0,0
NE-Z30-056,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"0,25  ","0,25  ","0,01  ","0,25  ","0,25  ","0,75  ","0,25  ",0,0,"1,00  ",0,0
NE-Z30-057,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,25  ","1,75  ","0,50  ","0,25  ","0,50  ",0,"0,25  ",0,0,0,"1,00  ",0,0
NE-Z30-058,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"0,50  ",0,"0,01  ","1,00  ",0,"0,50  ","0,25  ",0,0,"0,25  ",0,0
NE-Z30-059,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,50  ","0,25  ",0,"0,25  ","0,75  ","0,01  ","1,00  ",0,0,0,"0,75  ",0,0
NE-Z30-062,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,25  ","0,50  ","0,75  ","0,25  ",0,"0,25  ","0,01  ","0,50  ",0,0,0,"1,00  ",0,0
NE-Z30-063,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"0,50  ",0,"0,25  ","1,00  ","0,25  ",0,"0,01  ",0,0,"0,25  ",0,0
NE-Z30-064,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,0,0,"1,25  ",0,0,"0,75  ","0,25  ","0,25  ",0,0,0,"1,00  ",0,0
NE-Z30-065,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,50  ","1,00  ","0,01  ","0,01  ","0,50  ",0,"0,25  ","0,01  ",0,0,"0,50  ",0,0
NE-Z30-066,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,0,0,"1,25  ",0,"0,25  ","0,50  ",0,"0,25  ","0,01  ",0,0,"0,50  ",0,0
NE-Z30-067,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,25  ","0,25  ","1,00  ",0,"0,01  ","0,50  ","0,25  ","0,50  ",0,0,0,"0,50  ",0,0
NE-Z30-068,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,0,0,"0,50  ",0,"0,25  ","0,50  ",0,"0,01  ","0,25  ",0,0,0,0,0
NE-Z30-069,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"1,00  ","0,01  ","1,00  ","1,00  ","0,01  ","1,25  ","0,01  ","0,50  ","0,25  ",0,0,"0,75  ",0,0
NE-Z30-070,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,01  ","1,50  ","1,50  ","0,25  ","0,25  ","0,01  ","1,00  ","0,01  ",0,0,"1,50  ",0,0
NE-Z30-071,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"0,50  ","0,01  ",0,"0,25  ","0,25  ","1,50  ","0,25  ",0,0,"0,50  ",0,0
NE-Z30-072,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"2,00  ","0,50  ","0,01  ","0,50  ",0,"0,50  ",0,0,0,"1,00  ",0,0
NE-Z30-073,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,75  ",0,"0,25  ","0,25  ","0,25  ","0,50  ","0,25  ","0,25  ","0,25  ",0,0,"1,25  ",0,0
NE-Z30-074,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,25  ","0,50  ","0,25  ","0,25  ","0,25  ",0,"0,50  ","0,01  ",0,0,"0,75  ",0,0
NE-Z30-075,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"0,75  ","0,50  ",0,"0,50  ","0,01  ","0,50  ","0,25  ",0,0,"0,25  ",0,0
NE-Z30-076,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ","0,25  ","0,50  ","0,50  ","0,25  ","1,00  ",0,"0,50  ","0,50  ",0,0,"1,00  ",0,0
NE-Z30-079,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,75  ","1,00  ","1,00  ","0,25  ","0,01  ","0,50  ","0,01  ","0,50  ",0,0,0,0,0,0
NE-Z30-080,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,75  ","0,25  ","0,75  ","0,25  ","0,01  ","1,25  ","0,01  ","1,50  ","0,50  ",0,0,"1,25  ",0,0
NE-Z30-081,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"1,50  ","0,01  ","0,01  ","0,50  ","0,25  ","0,50  ","0,01  ",0,0,"0,75  ",0,0
NE-Z30-086,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"1,00  ","1,00  ","1,00  ","1,00  ","0,01  ","1,00  ","0,01  ","1,00  ","0,25  ",0,0,"0,25  ","0,75  ",0
NE-Z30-087,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"1,00  ","0,25  ","0,50  ","0,50  ",0,"2,50  ","0,01  ","0,50  ",0,0,0,"1,50  ",0,0
NE-Z30-089,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,50  ","0,25  ","3,00  ","0,50  ",0,"0,50  ","0,01  ","0,01  ","0,50  ",0,0,"0,50  ",0,0
NE-Z30-092,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,50  ",0,"2,00  ","0,25  ","0,25  ","0,75  ",0,"0,25  ","0,01  ",0,0,"0,25  ","0,01  ",0
NE-Z30-095,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ","0,25  ","3,00  ","1,00  ",0,"0,50  ","0,01  ","1,00  ","0,01  ",0,0,"1,00  ",0,0
NE-Z30-096,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,50  ","0,75  ","1,50  ","0,25  ",0,0,"0,01  ","0,50  ","0,25  ",0,0,"1,00  ",0,0
NE-Z30-099,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ","0,01  ","0,75  ","1,00  ","0,25  ","2,00  ",0,"1,00  ","0,25  ",0,0,"0,75  ",0,0
NE-Z30-103,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"0,50  ","0,50  ","0,25  ",0,"0,01  ","1,50  ","0,50  ",0,0,"0,50  ",0,0
NE-Z30-107,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,50  ","3,00  ","0,50  ","0,25  ","1,00  ","0,01  ","1,50  ",0,0,0,"0,50  ",0,0
NE-Z30-108,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,75  ","0,50  ","2,00  ","1,50  ","0,01  ",0,"0,01  ","0,50  ","0,01  ",0,0,"0,50  ",0,0
NE-Z30-111,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,50  ","0,50  ","1,00  ","1,00  ",0,"0,25  ","0,25  ","1,00  ","0,75  ",0,0,"1,00  ",0,0
NE-Z30-123,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,50  ",0,0,"1,00  ","0,01  ","3,50  ","0,75  ","0,50  ","0,50  ","0,25  ","1,00  ","0,01  ",0,0,"1,25  ",0,0
NE-Z30-127,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,25  ",0,"1,00  ",0,"0,25  ","0,25  ","0,01  ","1,00  ",0,0,0,"1,00  ",0,0
NE-Z30-129,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ","0,25  ","3,50  ","0,75  ","0,25  ","1,50  ","0,01  ","0,50  ","0,01  ",0,0,"1,00  ",0,0
NE-Z30-130,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,75  ","0,01  ","3,00  ","0,75  ","0,25  ","0,75  ","0,25  ","0,50  ","0,01  ",0,0,"1,00  ",0,0
NE-Z30-132,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,75  ","0,01  ","1,25  ","1,00  ","0,25  ","0,75  ","0,01  ","0,25  ","0,01  ",0,0,"0,50  ",0,"0,01  "
NE-Z30-133,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,50  ","0,01  ","2,00  ","0,75  ","0,01  ","1,00  ",0,"0,50  ",0,0,0,"0,75  ",0,"0,25  "
NE-Z30-134,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"0,50  ","0,25  ","0,01  ","1,00  ","0,01  ","0,50  ","0,01  ",0,0,"0,75  ",0,0
NE-Z30-137,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"1,50  ","0,01  ","0,50  ","1,00  ","0,01  ","0,75  ","0,25  ","2,00  ","0,25  ",0,0,"1,00  ",0,0
NE-Z30-138,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"1,00  ",0,"0,01  ","0,75  ","0,25  ","0,25  ","0,01  ",0,0,"0,50  ",0,0
