Date,,,7/17/2012,,,,,,,,,,
ITEM,BRAND,CODE,COMPONENT,QUANTITY,UNIT,MACHINE,REQUEST DATE,REQUIRED DATE,DELIVERY TERM,DELIVERY DATE,ZEN SUPPLIER,PURCHASE ORDER,STATUS
73,CAMBRE,6990,"DIN rail adapter, 2 modules",2,UN,467,8/7/2011,9/26/2011,,,,,TO BUY
74,CISCO,SF100D-08-EU, Switch - switch- 8 ports - desktop,1,UN,467,8/7/2011,9/26/2011,,,,,TO BUY
75,COMPET,,Thermocontrable terminals diameter ext. 2.2 mm,10,MTS,467,8/7/2011,9/26/2011,15 DAYS,,,,TO BUY
76,COMPET,,Thermocontrable terminals diameter ext. 12 mm,10,MTS,467,8/7/2011,9/26/2011,15 DAYS,,,,TO BUY
77,CRYDOM ,SA3-6625D,"Three -phase solid state relay,",1,UN,467,8/7/2011,9/26/2011,15 DAYS,,,,TO BUY
78,INTERELEC,TL2004B 20W,Fluorescent tube 220V 50Hz. ,6,UN,467,8/7/2011,9/26/2011,,,,,TO BUY
79,MOELLER,216594,M22-D-R,6,UN,467,8/7/2011,9/26/2011,15 DAYS,,,,TO BUY
80,MOELLER,216596,M22-D-G,6,UN,467,8/7/2011,9/26/2011,15 DAYS,,,,TO BUY
81,MOELLER,216590,M22-D-S,6,UN,467,8/7/2011,9/26/2011,15 DAYS,,,,TO BUY
82,MOELLER,216887,M22-Wrs,1,UN,467,8/7/2011,9/26/2011,15 DAYS,,,,TO BUY
83,MOELLER,216416,M22-ES-MS1,1,UN,467,8/7/2011,9/26/2011,15 DAYS,,,,TO BUY
84,GENERIC BRAND,,100 mm precint,6,BAG,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
85,GENERIC BRAND,,150 mm precint,6,BAG,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
86,GENERIC BRAND,,200 mm precint,6,BAG,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
87,GENERIC BRAND,,RJ45 male,6,UN,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
88,STECK,SDCT-04,Low base housing - 1 lock,15,,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
89,STECK,SDMM-04/P*,Male nucleus,15,,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
90,STECK,SDMF-04/P*,Female nucleus,15,,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
91,STUCCHI,TBL-1007150,Perforated tray lid. Straight section 3000mts. A: 150mm. E: 0.7mm,6,UN,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
92,STUCCHI,BAP-5007150,PERFORATED TRAY 50mm. Straight section 3000mts. A: 150mm. E: 0.7mm,6,UN,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
93,TABLEPLAST,2912CH,Beige Cabinet,1,UN,467,8/7/2011,9/26/2011,10 DAYS,,,,TO BUY
94,TELEMECANIQUE,,"Red terminals with tongue, 1 mm2",8,BAG,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
95,TELEMECANIQUE,,"Black terminals with tongue, 1.5 mm2",5,BAG,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
96,TELEMECANIQUE,,"Gray terminals with tongue, 2.5 mm2",3,BAG,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
97,TELEMECANIQUE, DZ5-CA062D,"Green terminals with tongue, 6 mm2",2,BAG,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
98,ZOLODA,JSSB -10-5/BP,"Brown Bridge 2.5 mm, 10 elements",40,UN,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
99,ZOLODA,UKM-10,10 mm gray terminals,15,UN,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
100,ZOLODA,"D-BP-2,5/10","Gray cover for terminal BP-2,5/10",30,UN,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
101,ZOLODA,D-UKM-4/10,"BPN-2,5/04/06/10 terminal lid",5,UN,467,8/7/2011,9/26/2011,10 DAYS,,,,TO BUY
102,ZOLODA,SE1,SEPARATOR,30,UN,467,8/7/2011,9/26/2011,10 DAYS,,,,TO BUY
103,ZOLODA,EK1,Holder,30,UN,467,8/7/2011,9/26/2011,10 DAYS,,,,TO BUY
104,ZOLODA,CK-030-70,30x70mm slotted channel cable,8,UN,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
105,ZOLODA,CK-040-70,40x70mm slotted channel cable,4,UN,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
106,ZOLODA,CK-070-70,70x70mm slotted channel cable,1,UN,467,8/7/2011,9/26/2011,IMMEDIATE DELIVERY,,,,TO BUY
107,ZOLODA,ICAB-02/0,Cable identifier. Section 1 to 2.5mm2 (0),1,BOX,467,8/7/2011,9/26/2011,15 DAYS,,,,TO BUY
108,COMPET,,Thermocontrable terminals Diameter Ext. 4.6 mm,5,MTS,469,8/27/2011,9/21/2011,IMMEDIATE DELIVERY,,,,TO BUY
109,CONDUPLAST,144,"Round wire cables, 3x0.35mm2, threads7x0.35, diam ext4,5mm
",200,MTS,469,8/27/2011,9/21/2011,IMMEDIATE DELIVERY,,,,TO BUY
110,INTERELEC,TL2004B 20W,Fluorescent tube 220V 50Hz,6,UN,469,8/27/2011,9/21/2011,IMMEDIATE DELIVERY,,,,TO BUY
111,MOELLER,216594,M22-D-R,3,UN,469,8/27/2011,9/21/2011,15 DAYS,,,,TO BUY
112,MOELLER,216596,M22-D-G,3,UN,469,8/27/2011,9/21/2011,15 DAYS,,,,TO BUY
113,MOELLER,216590,M22-D-S,3,UN,469,8/27/2011,9/21/2011,15 DAYS,,,,TO BUY
114,MOELLER,216887,M22-Wrs,1,UN,469,8/27/2011,9/21/2011,15 DAYS,,,,TO BUY
115,MOELLER,216416,M22-ES-MS1,1,UN,469,8/27/2011,9/21/2011,15 DAYS,,,,TO BUY
116,MOELLER,263467,M22-PVT,3,UN,469,8/27/2011,9/21/2011,15 DAYS,,,,TO BUY
117,MOELLER,216772,M22-l-r,1,UN,469,8/27/2011,9/21/2011,15 DAYS,,,,TO BUY
118,GENERIC BRAND,,100 mm precint,2,BAG,470,10/23/2011,11/7/2011,15 DAYS,,,,TO BUY
119,GENERIC BRAND,,150 mm precint,2,BAG,470,10/23/2011,11/7/2011,15 DAYS,,,,TO BUY
120,GENERIC BRAND,,200 mm precint,2,BAG,470,10/23/2011,11/7/2011,15 DAYS,,,,TO BUY
121,GENERIC BRAND,,RJ45 male,10,UN,470,10/23/2011,11/7/2011,15 DAYS,,,,TO BUY
122,STECK,SDCT-04,Low base housing - 1 lock,15,,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
123,STECK,SDMM-04/P*,Male nucleus,15,,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
124,STECK,SDMF-04/P*,Female nucleus,15,,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
125,STECK,SDCAT-04,COOPLA,10,,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
126,STUCCHI,TBL-1007150,Perforated tray lid. Straight section 3000mts. A: 150mm. E: 0.7mm,4,UN,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
127,STUCCHI,BAP-5007150,PERFORATED TRAY 50mm. Straight section 3000mts. A: 150mm. E: 0.7mm,4,UN,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
128,STUCCHI,GTB,Tray locking hook,50,UN,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
129,TABLEPLAST,2912CH,Beige Cabinet,2,UN,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
130,TELEMECANIQUE,,"Red terminals with tongue, 1 mm2",5,BAG,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
131,TELEMECANIQUE,,"Black terminals with tongue, 1.5 mm2",4,BAG,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
132,TELEMECANIQUE,,"Gray terminals with tongue, 2.5 mm2",2,BAG,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
133,ZOLODA,BT-2.5/C,Triple floor terminal for sensors.,100,UN,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
134,ZOLODA,JSSB-10-5/BT,Fixed bridge for 3 floor terminals,10,UN,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
135,ZOLODA,"BP-2,5",Gray terminals 2.5 mm,200,UN,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
136,ZOLODA,"BP-2,5-AZ",Blue terminals 2.5 mm,30,UN,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
137,ZOLODA,"BP-2,5-RO",2.5 mm red terminals,30,UN,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
138,ZOLODA,"BP-2,5-AV",Green and yellow terminals 2.5 mm,10,UN,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
139,ZOLODA,JSSB -10-5/BP,"Brown Bridge 2.5 mm, 10 elements",30,UN,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
140,ZOLODA,UKM-10,10 mm gray terminals,10,UN,470,10/23/2011,11/7/2011,IMMEDIATE DELIVERY,,,,TO BUY
141,SIEMENS,5SX1625-7,Tetrapolar thermomagnetic,1,UN,471,10/23/2011,12/2/2011,10 DAY,,,,TO BUY
142,SIEMENS,5SX1210-7,Bipolar thermomagnetic,2,UN,471,10/23/2011,12/2/2011,10 DAY,,,,TO BUY
143,SIEMENS,3RT1026-1BB40,"Contactor AC-3 11 kW/400 V, DC 24 V, 3 Poles, Tam. S0, screw connection",1,UN,471,10/23/2011,12/2/2011,45 DAYS,,,,TO BUY
144,SIEMENS,6XV1 830-0EH10,Standard profibus cable,4,MTS,471,10/23/2011,12/2/2011,15 DAYS,,,,TO BUY
145,SIEMENS,6EP1333-2AA01,SMART single -phase source,1,UN,471,10/23/2011,12/2/2011,45 DAYS,,,,TO BUY
146,SIEMENS,6AV6647-0AB11-3AX0,SIMATIC KTP600 BASIC MONO PN,1,UN,471,10/23/2011,12/2/2011,45 DAYS,,,,TO BUY
147,SIEMENS,6ES7214-1AG31-0XB0,CPU S7 - 1214C,1,UN,471,10/23/2011,12/2/2011,45 DAYS,,,,TO BUY
148,SIEMENS,6ES7223-1BH30-0XB0,"SM1223, 8 digital inputs + 8 digital outputs of 24VDC 0.5 AMP.",1,UN,471,10/23/2011,12/2/2011,45 DAYS,,,,TO BUY
149,SIEMENS,6ES7223-1BL30-0XB0,SM1223,1,UN,471,10/23/2011,12/2/2011,45 DAYS,,,,TO BUY
150,SIEMENS,6SL3211-0AB17-5UB1,SINAMICS G110 75/1 0.75 kW - 1HP / USS,1,UN,471,10/23/2011,12/2/2011,45 DAYS,,,,TO BUY
151,SIEMENS,6SL3255-0AA00-4BA1,BOP-S BASIC OPERATION PANEL P/ G110-G120,1,UN,471,10/23/2011,12/2/2011,45 DAYS,,,,TO BUY
152,SIEMENS,3RT1015-1BB41,"Contactor AC-3 3 kW/400 V, 1st, DC 24 V, 3 poles, tam. S00, screw connection",2,UN,471,10/23/2011,12/2/2011,45 DAYS,,,,TO BUY
153,TELEMECANIQUE,,"Black terminals with tongue, 1.5 mm2",2,BAG,470,2/6/2012,2/21/2012,IMMEDIATE DELIVERY,,,,TO BUY
154,SIEMENS,3RU1116-0FB0,Overload relays,1,UN,469,2/6/2012,2/26/2012,IMMEDIATE DELIVERY,,,,TO BUY
155,SIEMENS,3RU1916-3AA01,"SUPPORT FOR INDEPENDENT MOUNT OF 3RU Overload Relay, S00",1,UN,469,2/6/2012,2/26/2012,IMMEDIATE DELIVERY,,,,TO BUY
156,GENERIC BRAND,,100 mm precint,3,BAG,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
157,GENERIC BRAND,,150 mm precint,3,BAG,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
158,GENERIC BRAND,,200 mm precint,3,BAG,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
159,GENERIC BRAND,,RJ45 male,15,UN,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
160,STECK,SDCT-04,Low base housing - 1 lock,20,,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
161,STECK,SDMM-04/P*,Male nucleus,20,,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
162,STECK,SDMF-04/P*,Female nucleus,20,,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
163,STECK,SDCAT-04,COOPLA,15,,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
164,TABLEPLAST,2912CH,Beige Cabinet,2,UN,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
165,TELEMECANIQUE,,"Red terminals with tongue, 1 mm2",15,BAG,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
166,TELEMECANIQUE,,"Black terminals with tongue, 1.5 mm2",10,BAG,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
167,TELEMECANIQUE,,"Gray terminals with tongue, 2.5 mm2",10,BAG,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
168,ZOLODA,BT-2.5/C,Triple floor terminal for sensors.,100,UN,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
169,ZOLODA,JSSB-10-5/BT,Fixed bridge for 3 floor terminals,10,UN,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
170,ZOLODA,"BP-2,5",Gray terminals 2.5 mm,200,UN,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
171,ZOLODA,"BP-2,5-AZ",Blue terminals 2.5 mm,30,UN,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
172,ZOLODA,"BP-2,5-RO",2.5 mm red terminals,30,UN,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
173,ZOLODA,"BP-2,5-AV",Green and yellow terminals 2.5 mm,10,UN,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
174,ZOLODA,JSSB -10-5/BP,"Brown Bridge 2.5 mm, 10 elements",30,UN,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
175,ZOLODA,UKM-10,10 mm gray terminals,10,UN,472,2/6/2012,3/12/2012,IMMEDIATE DELIVERY,,,,TO BUY
176,ARGEMPLAS,U16,16 mm2 unipolar cable black,20,MTS,472,2/6/2012,When they are ready,IMMEDIATE DELIVERY,,,,TO BUY
177,ARGEMPLAS,U16,Unipolar cable 16 mm2 yellow/green,15,MTS,472,2/6/2012,When they are ready,IMMEDIATE DELIVERY,,,,TO BUY
178,REIGN POWER,LP1300D-24M/62-NC24-12.5,"Switching source, 220 VCA/ 24VCC 12.5 A",1,UN,472,7/17/2012,When they are ready,10 DAYS,,,,TO BUY
179,ELENT S.R.L.,Modelo: 1 12 125A,Grounding bars,2,UN,472,7/17/2012,When they are ready,10 DAYS,,,,TO BUY
180,ELENT S.R.L.,AC 30x29x33,Kinging insulators,4,UN,472,7/17/2012,When they are ready,10 DAYS,,,,TO BUY
181,PRYSMIAN,Superastic Flex ,"Unipolar cable, 2.5mm2, lightblue",100,MTS,472,7/17/2012,When they are ready,IMMEDIATE DELIVERY,,,,TO BUY
182,PRYSMIAN,Superastic Flex ,"Unipolar cable, 2.5mm2, red",100,MTS,472,7/17/2012,When they are ready,IMMEDIATE DELIVERY,,,,TO BUY
183,PRYSMIAN,Superastic Flex ,"Unipolar cable, 2.5mm2, yellow green",100,MTS,472,7/17/2012,When they are ready,IMMEDIATE DELIVERY,,,,TO BUY
184,SYBYD,2507,Black helical tape,10,MTS,472,7/17/2012,When they are ready,IMMEDIATE DELIVERY,,,,TO BUY
185,SYBYD,2502,Black helical tape,10,MTS,472,7/17/2012,When they are ready,IMMEDIATE DELIVERY,,,,TO BUY
186,MOELLER,216771,M22-l-w,2,UN,476,7/17/2012,When they are ready,IMMEDIATE DELIVERY,,,,TO BUY
