No.,DATE,CODE,TRIP TYPE,VOLUME (M3),UNIT PRICE,PRICE,VAT,PRICE WITH VAT,TRUCK TYPE,REVIEW
22,25-May-17,A113793,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
23,25-May-17,A113845,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
24,25-May-17,A114031,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
25,25-May-17,A114770,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
26,25-May-17,A114795,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
27,25-May-17,A115207,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
28,25-May-17,A114768,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
29,25-May-17,A113827,TEZONTLE,32, $ 208.50 ," $ 6,672.00 "," $ 1,067.52 "," $ 7,739.52 ",LARGE TRUCK,RECONCILED
30,26-May-17,A113839,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
31,26-May-17,B0051,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
32,26-May-17,B0055,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
33,26-May-17,B0055,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
34,26-May-17,B0057,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
35,26-May-17,B0053,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
36,26-May-17,B0060,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
37,26-May-17,B0073,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
38,26-May-17,A114052,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
39,27-May-17,A115204,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
40,27-May-17,B0064,TEZONTLE,37, $ 208.50 ," $ 7,714.50 "," $ 1,234.32 "," $ 8,948.82 ",LARGE TRUCK,RECONCILED
41,27-May-17,B0080,TEZONTLE,32, $ 208.50 ," $ 6,672.00 "," $ 1,067.52 "," $ 7,739.52 ",LARGE TRUCK,RECONCILED
42,31-May-17,A91556,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
43,31-May-17,A98108,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
44,31-May-17,A113822,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
45,31-May-17,A115481,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
46,31-May-17,A115483,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
47,31-May-17,B0255,TEPETATE,38, $ 156.50 ," $ 5,947.00 ", $ 951.52 ," $ 6,898.52 ",LARGE TRUCK,RECONCILED
48,31-May-17,B0452,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
49,31-May-17,B0653,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
50,31-May-17,B0657,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
51,31-May-17,B0660,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
52,31-May-17,B0661,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
53,31-May-17,LA90960,TEZONTLE,17, $ 208.50 ," $ 3,544.50 ", $ 567.12 ," $ 4,111.62 ",SMALL TRUCK,RECONCILED
54,1-Jun-17,A114431,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
55,2-Jun-17,B0755,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
56,2-Jun-17,LB40977,TEZONTLE,17, $ 208.50 ," $ 3,544.50 ", $ 567.12 ," $ 4,111.62 ",SMALL TRUCK,RECONCILED
57,5-Jun-17,B0798,TEZONTLE,17, $ 208.50 ," $ 3,544.50 ", $ 567.12 ," $ 4,111.62 ",SMALL TRUCK,RECONCILED
58,7-Jun-17,B1878,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
59,7-Jun-17,B1880,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
60,7-Jun-17,B1881,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
61,7-Jun-17,B1883,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
62,7-Jun-17,B1887,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
63,7-Jun-17,B1889,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
64,7-Jun-17,B1891,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
65,7-Jun-17,B1893,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
66,7-Jun-17,B1898,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
67,7-Jun-17,B1900,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
68,7-Jun-17,B1908,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
69,7-Jun-17,B1931,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
70,7-Jun-17,B2168,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
71,7-Jun-17,B1895,TEZONTLE,32, $ 208.50 ," $ 6,672.00 "," $ 1,067.52 "," $ 7,739.52 ",LARGE TRUCK,RECONCILED
72,8-Jun-17,B1910,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
73,8-Jun-17,B1912,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
74,8-Jun-17,B1914,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
75,8-Jun-17,B1916,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
76,8-Jun-17,B1918,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
77,8-Jun-17,B1920,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
78,8-Jun-17,B1922,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
79,8-Jun-17,B1925,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
80,8-Jun-17,B1926,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
81,8-Jun-17,B1928,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
82,8-Jun-17,B1933,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
83,8-Jun-17,B2155,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
84,9-Jun-17,B1858,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
85,9-Jun-17,B2166,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
86,9-Jun-17,B2171,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
