No,Date,Box No.,Account name,Supplier,Bill,Voucher Type,Detail,Net Taxable,VAT,Amount
45,7/7/2021,305,MACRO BANK,BAN MAC S.A,418,INVOICE B,TRANSF,"158000,00",42000,"200.000,00"
46,7/7/2021,305,MACRO BANK,BAN MAC S.A,1330,TICKET,TRANSF,"3397,00",903,"4.300,00"
47,7/7/2021,305,FEE,COR ARC JOR,234,INVOICE C,JUDICIAL EXPTE,0,0,"86.498,00"
48,7/7/2021,305,MANAGEMENT EXPENSES,GES,0,INVOICE B,PROCEDURES VS.,"2219,90","590,1","2.810,00"
49,7/7/2021,305,AUTOMOTIVE PREPARATION AND OFFICE,LA BUR -,200000818,BUDGET,LAVADERO EXPENSES - MARKAS,0,0,"2.430,00"
50,7/7/2021,305,FUELS AND LUBRICANTS,PER HER S.R,300047751,INVOICE B,RENAULT SANDERO RS AC585WM,"790,00",210,"1.000,00"
51,7/7/2021,305,FUELS AND LUBRICANTS,PER HER S.R,300477520,CHECK,FIAT MOBI AD829AT,0,0,"2.000,00"
52,7/7/2021,305,VARIOUS ADMINISTRATION EXPENSES,RAP,0,INVOICE B,DELIVER COPY RESOLUTION TO C,"86,90","23,1",110
53,7/7/2021,305,VARIOUS SALES EXPENSES,TIE DEL NOR,400000294,VOUCHER,MINISTRY OF MINISTRY AND CENOA,0,0,"3.279,87"
54,7/7/2021,309,RETENT.Y PERCEPTION.IMP.GCIAS.,AUT S.A,202100001224,VOUCHER,S/FACT,0,0,"2.057,11"
55,8/7/2021,306,MACRO BANK,BAN MAC S.A,110,RECEIPT,TRANSF,0,0,"35.000,00"
56,8/7/2021,306,FRANK EXPENSES,BUS,691900003429,INVOICE B,CAMARA VAL MAGAZINE,"1187,37","315,63","1.503,00"
57,8/7/2021,306,SALARIES AND COMMISSIONS,CAS NES GAB,0,RECEIPT,COMMISSION DIFFERENCE FOR JUNE/2021,0,0,"58.400,00"
58,8/7/2021,306,FEE,CIC JOR ERN,0,INVOICE A,MONTH JUNE/2021,"30968,00",8232,"39.200,00"
59,8/7/2021,306,AUTOMOTIVE PREPARATION AND OFFICE,CRI JUJ -,300002985,INVOICE B,RENAULT OROCH AD639HT,"1264,00",336,"1.600,00"
60,8/7/2021,306,AUTOMOTIVE PREPARATION AND OFFICE,DES,0,INVOICE C,ETHYL ALCOHOL FOR WORKSHOP,0,0,80
61,8/7/2021,306,SALARIES AND COMMISSIONS,FIA CAR ALB,0,RECEIPT,COMMISSION DIFFERENCE FOR JUNE/2021,0,0,"43.400,00"
62,8/7/2021,306,MANAGEMENT EXPENSES,GES,0,INVOICE B,PROCEDURES VS.,"24505,80","6514,2","31.020,00"
63,8/7/2021,306,AUTOMOTIVE PREPARATION AND OFFICE,LUB BRO,200004801,VOUCHER,RENAULT CLIO NVY425,0,0,500
64,8/7/2021,306,AUTOMOTIVE PREPARATION AND OFFICE,LUB - SAL,2200000527,SALE PURCHASE TICKET,RENAULT DUSTER OROCH AD639TH,"7228,50","1921,5","9.150,00"
65,8/7/2021,306,AUTOMOTIVE PREPARATION AND OFFICE,MEN MAR,0,SALE PURCHASE TICKET,FULL CLEANING VS.,"17301,00",4599,"21.900,00"
66,8/7/2021,306,SALARIES AND COMMISSIONS,VAZ ROD EDU,0,BANK DEPOSIT,COMMISSION P/SALES JUNE/2021,0,0,"37.300,00"
67,8/7/2021,306,AUTOMOTIVE PREPARATION AND OFFICE,VIL S.R,300001809,THIRD CHECK,WORKSHOP EXPENSES UNITS,0,0,"1.000,06"
68,8/7/2021,308,AUTOMOTIVE PREPARATION AND OFFICE,MEC BRO,100000114,CHECK,FIAT STRADA NDX144,0,0,"12.523,50"
69,8/7/2021,308,AUTOMOTIVE PREPARATION AND OFFICE,MEC BRO,100000115,PRICE,RENAULT CLIO LTN858,0,0,"9.813,10"
70,10/7/2021,307,MACRO BANK,BAN MAC S.A,56759,INVOICE A,TRANSF,"29625,00",7875,"37.500,00"
71,10/7/2021,307,OTHER EXPENSES,COM 5 -,59600000321,VOUCHER,CAFETERIA EXPENSES,0,0,"2.427,42"
72,10/7/2021,307,USED CARS,PUS SAL S.A,200100985,RECEIPT,RENAULT DUSTER OROCH PRIVILEGE/2020 AE123RI,0,0,"1.849.841,00"
73,10/7/2021,307,ADMINISTRATIVE EXPENSES,SER EXP,0,VOUCHER,CICERO STUDY - CONTRIBUTIONS,0,0,130
74,10/7/2021,307,AUTOMOTIVE PREPARATION AND OFFICE,VAR SEB,0,INVOICE B,ETIOS AD030TX $ 33600 ONIX AB278VW $ 9600,"34128,00",9072,"43.200,00"
75,12/7/2021,308,MACRO BANK,BAN MAC S.A,3011,BANK DEPOSIT,TRANSF,0,0,"92.270,00"
76,12/7/2021,308,SELLING EXPENSES,EQU ARG S.A,1401119243,THIRD CHECK,VERAZ FERTILIZER JUNE/2021,0,0,"4.285,44"
77,12/7/2021,308,AUTOMOTIVE PREPARATION AND OFFICE,FAC REP -,500000670,INVOICE B,RENAULT CLIO LTN858,"726,80","193,2",920
78,12/7/2021,308,CONTRIBUTIONS AND CONTRIB.A PAY,FAE,0,SALE PURCHASE TICKET,PERIOD 06/2021,"2710,70","720,5646","3.431,26"
79,12/7/2021,308,MANAGEMENT EXPENSES,GES,0,BANK DEPOSIT,PROCEDURES VS.,0,0,"25.360,00"
80,12/7/2021,308,CONTRIBUTIONS AND CONTRIB.A PAY,INA,0,INVOICE B,PERIOD 06/2021,"1690,69","449,4231","2.140,11"
81,12/7/2021,308,AUTOMOTIVE PREPARATION AND OFFICE,LUB - SAL,2200000546,VOUCHER,TOYOTA ETIOS AD030TX,0,0,"5.700,00"
82,12/7/2021,308,FUELS AND LUBRICANTS,PER HER S.R,300047896,PRICE,RENAULT OUSIDE/2019 AD639HT,0,0,"1.000,00"
83,12/7/2021,308,FUELS AND LUBRICANTS,PER HER S.R,300047895,RECEIPT,TOYOTA ETIOS AD030TX,0,0,"1.000,00"
84,12/7/2021,308,FUELS AND LUBRICANTS,PER HER S.R,300047894,TICKET,CHEVROLET ONIX AB278UN,"790,00",210,"1.000,00"
85,12/7/2021,308,AUTOMOTIVE PREPARATION AND OFFICE,VIL S.R,300001780,INVOICE C,RENAULT CLIO LTN858,0,0,"3.500,02"
86,13/7/2021,309,RETENT.Y PERCEPTION.INGR.BRUTES,AUT S.A,28400002021,VOUCHER,FACT,0,0,"1.137,13"
87,13/7/2021,309,BANKS,BAN MAC S.A,42918720,RECEIPT,TRANSF,0,0,"51.842,76"
88,13/7/2021,309,MACRO BANK,BAN MAC S.A,9707,RECEIPT,TRANSF,0,0,"49.790,00"
89,13/7/2021,309,OTHER EXPENSES,CRU WAL -,0,RECEIPT,JUDGERIA COMPLEJO MARKA JUNE/2021,0,0,"2.000,00"
90,13/7/2021,309,AUTOMOTIVE PREPARATION AND OFFICE,FAD S.A,20700000321,VOUCHER,FIAT STRADA NDX144,0,0,"8.500,00"
91,13/7/2021,309,SALARIES AND COMMISSIONS,FIG ZEN MAR,74797619,CHECK,DIFFERENCE AGUINALDO 1 ° SEM/2021,0,0,"43.330,00"
92,13/7/2021,309,MANAGEMENT EXPENSES,GES,0,SALE PURCHASE TICKET,FREE DEBT AND PAYMENT PATENTS,"4289,70","1140,3","5.430,00"
93,13/7/2021,309,SALARIES AND COMMISSIONS,GUT LEO JOS,74797618,BUDGET,DIFFERENCE AGUINALDO 1 ° SEM/2021,0,0,"21.000,00"
94,13/7/2021,309,AUTOMOTIVE PREPARATION AND OFFICE,M - A,0,CHECK,PEUGEOT 2008 AB440XV,0,0,"5.000,00"
95,13/7/2021,309,FEE,MAR PRO,200000618,INVOICE B,LOCAL ADMINISTRATION AVDA,"1726,15","458,85","2.185,00"
96,13/7/2021,309,FEE,MAR PRO,200000622,BANK DEPOSIT,"DUPLEX ADMINISTRATION ""B"" UNDER THE VINEYARD",0,0,"2.600,00"
97,13/7/2021,309,FEE,MAR PRO,108160,CHECK,LOCAL ADMINISTRATION AVDA,0,0,"2.715,00"
98,13/7/2021,309,FUELS AND LUBRICANTS,MIL S.R,4600002659,RECEIPT,FIAT MOBI,0,0,"2.500,05"
99,13/7/2021,309,FUELS AND LUBRICANTS,PER HER S.R,300047926,THIRD CHECK,RENAULT LAGAN AA463AQ,0,0,"1.000,00"
100,13/7/2021,309,ADMINISTRATIVE EXPENSES,SER EXP,0,VOUCHER,MARINO PROPERTIES RENTALS,0,0,210
101,13/7/2021,309,AUTOMOTIVE PREPARATION AND OFFICE,SER ELE,100000597,CHECK,FIAT STRADA NDX144,0,0,"2.500,00"
102,14/7/2021,310,OTHER EXPENSES,BAR,0,BANK DEPOSIT,CHINS,0,0,"1.600,00"
103,14/7/2021,310,MANAGEMENT EXPENSES,GES,0,INVOICE B,PROCEDURES VS.,"104872,50","27877,5","132.750,00"
104,14/7/2021,310,AUTOMOTIVE PREPARATION AND OFFICE,NEU JUJ S.A,200031414,THIRD CHECK,VW UP! ONY050,0,0,"41.600,00"
105,14/7/2021,310,FUELS AND LUBRICANTS,PER HER S.R,300047966,THIRD CHECK,VW AMAROK/2015 OSB842,0,0,"1.500,00"
106,14/7/2021,310,STATIONERY AND UTS.OFFICINA,RAP - GRA,400000199,INVOICE C,10 TALONARIOS RECEPOS X02,0,0,"3.400,00"
107,14/7/2021,310,VARIOUS ADMINISTRATION EXPENSES,RAP,0,INVOICE C,BANCO GALICIA RENT,0,0,150
108,14/7/2021,310,AUTOMOTIVE PREPARATION AND OFFICE,TEC - QUI,300002520,BUDGET,VW UP! AD601XQ,0,0,"2.200,00"
109,14/7/2021,310,USED CARS,TUR EMI HOR,0,CHECK,TOYOTA HILUX 4X4 DX C/S/2019 AD639IZ,0,0,"2.800.000,00"
110,15/7/2021,311,AUTOMOTIVE PREPARATION AND OFFICE,ALI Y BAL,200001285,THIRD CHECK,RENAULT OROCH AD639HT,0,0,300
111,15/7/2021,311,MACRO BANK,BAN MAC S.A,659,TICKET,TRANSF,"12308,20","3271,8","15.580,00"
112,15/7/2021,311,BANKS,BAN SAN,1243,PRICE,TRANSF,0,0,"50.000,00"
113,15/7/2021,311,BANKS,BAN SAN,7990,PRICE,TRANSF,0,0,"50.000,00"
114,15/7/2021,311,EXPENDITURES BY GESTORIA,GES,0,INVOICE C,VARIOUS PROCEDURES,0,0,"47.590,00"
115,15/7/2021,311,CTA.PARTICULAR,GUT JUA CAR,0,INVOICE B,GAINS BALANCE YEAR 2020,"14337,34","3811,1913","18.148,53"
116,15/7/2021,311,SALARIES AND COMMISSIONS,GUT JUA CAR,74797617,RECEIPT,DIFFERENCE AGUINALDO 1 ° SEM/2021,0,0,"47.350,00"
117,15/7/2021,311,PAID RENTALS,ROD NOR BEA,0,BUDGET,"25% DUPLEX ""A"" AND ""B"" MONTH JULIO/2021",0,0,"8.401,00"
118,15/7/2021,311,PAID RENTALS,ROD RUB EDU,0,RECEIPT,"25% MONTH JULY/2021 DUPLEX ""A"" AND ""B""",0,0,"8.401,00"
119,15/7/2021,311,SALARIES AND COMMISSIONS,VIL GER,0,RECEIPT,EXPERTS 26X300 MONTH JUNE/2021,0,0,"7.800,00"
120,16/7/2021,312,BANKS,BAN SAN,9816,BUDGET,TRANSF,0,0,"30.000,00"
121,16/7/2021,312,BANKS,BAN SAN,3216,VOUCHER,"CAYO DEPOSIT, MARIO",0,0,"67.800,00"
122,16/7/2021,312,SALARIES AND COMMISSIONS,CAS NES GAB,0,RECEIPT,DIF AGUINALDO 1ST SEMESTER COMMISSIONS,0,0,"16.520,00"
123,16/7/2021,312,SALARIES AND COMMISSIONS,FIA CAR ALB,0,RECEIPT,DIF AGUINALDO 1ST SEMESTER COMMISSIONS,0,0,"9.785,00"
124,16/7/2021,312,EXPENDITURES BY GESTORIA,GES,0,INVOICE C,PROCEDURES VS.,0,0,"5.065,00"
125,16/7/2021,312,AUTOMOTIVE PREPARATION AND OFFICE,MEN MAR,0,SALE PURCHASE TICKET,TOYOTA ETIOS AD030TX,"5293,00",1407,"6.700,00"
126,16/7/2021,312,OTHER EXPENSES,PAN,0,INVOICE B,BREAD,"158,00",42,200
127,17/7/2021,313,VARIOUS SALES EXPENSES,CRU ROL,0,RECEIPT,DIARIES MONTH JUNE/2021 $ 1300 INFOAUTO $ 600,0,0,"1.900,00"
128,17/7/2021,313,FUELS AND LUBRICANTS,MIL S.R,4700031230,PRICE,FIAT TORO,0,0,"2.235,60"
129,17/7/2021,313,AUTOMOTIVE PREPARATION AND OFFICE,VAR JOS OMA,0,SALE PURCHASE TICKET,SHEET AND PAINT UNITS VS,"45820,00",12180,"58.000,00"
130,19/7/2021,314,SANTADER RIO BANK,BAN SAN,4221773,BUDGET,CAMARA VAL MAGAZINE REINTEGRO,0,0,"4.310,00"
131,19/7/2021,314,EXPENDITURES BY GESTORIA,GES,0,PRICE,GESTORY,0,0,"47.931,00"
132,19/7/2021,314,AUTOMOTIVE PREPARATION AND OFFICE,LUB - SAL,2200000603,TICKET,VW UP ONY-050 2015,"5411,50","1438,5","6.850,00"
133,19/7/2021,314,AUTOMOTIVE PREPARATION AND OFFICE,LUM ACC Y,200001664,BANK DEPOSIT,VW UP ONY050-REAULT LAGAN AA463AG ANTENNAS,0,0,"2.000,01"
134,19/7/2021,314,AUTOMOTIVE PREPARATION AND OFFICE,NEU JUJ S.A,200031425,TICKET,2 RENAULT LOGAN AA463AQ COVERS,"25280,00",6720,"32.000,00"
135,20/7/2021,315,AUTOMOTIVE PREPARATION AND OFFICE,ALI Y BAL,200001289,PRICE,PEUGEOT 2008 FELINE 2017 AB440XV,0,0,"7.000,00"
136,20/7/2021,315,MACRO BANK,BAN MAC S.A,0,INVOICE B,MACRO GUTIERREZ W BANCO TRANSFER,"18328,00",4872,"23.200,00"
137,20/7/2021,315,MACRO BANK,LED MAT LEA,0,CHECK,TRANS BANCO MACRO GS DUSTER PRIVILEGE,0,0,"11.880,00"
138,20/7/2021,315,ADMINISTRATIVE EXPENSES,RAP,0,BANK DEPOSIT,RAPIMOTO MUNI,0,0,110
139,20/7/2021,315,COST VTA.AUTOMOT.USES,URI IRM CEL,0,INVOICE A,BUY FORD KA 2017 AB510KR,"643850,00",171150,"815.000,00"
140,20/7/2021,315,EXPENDITURES BY GESTORIA,URI IRM CEL,0,BANK DEPOSIT,REIMBURSEMENT FORM 13I AND INFISTRATION,0,0,"1.600,00"
141,21/7/2021,316,AUTOMOTIVE PREPARATION AND OFFICE,ALI Y BAL,200001292,INVOICE B,FORD KA TIRE - AB510KR - 2017,"3160,00",840,"4.000,00"
142,21/7/2021,316,MACRO BANK,BAN MAC S.A,9000,VOUCHER,ANGLADA SILVINA V,0,0,"40.000,00"
143,21/7/2021,316,FUELS AND LUBRICANTS,CIA PET PAL,700003393,SALE PURCHASE TICKET,FIAT MOBI GASOLINE,"3002,00",798,"3.800,00"
144,21/7/2021,316,EXPENDITURES BY GESTORIA,GES,0,BUDGET,PERICO REGISTRATION MANAGEMENT,0,0,"3.060,00"
145,21/7/2021,316,AUTOMOTIVE PREPARATION AND OFFICE,MEC BRO,100000120,BANK DEPOSIT,RENAULT CLIO ORB981 - SERVICE,0,0,"6.776,00"
146,21/7/2021,316,AUTOMOTIVE PREPARATION AND OFFICE,MEC BRO,100000121,THIRD CHECK,SERVICE AND DISTRIB - LOGAN- AA463AQ,0,0,"18.634,00"
147,21/7/2021,316,AUTOMOTIVE PREPARATION AND OFFICE,MEC BRO,100000122,RECEIPT,SERVICE -RENAULT CLIO - OQP305,0,0,"6.921,20"
148,21/7/2021,316,AUTOMOTIVE PREPARATION AND OFFICE,NEU JUJ S.A,200031434,INVOICE A,FORD KA AB510KR FIESTA PJW721,"78842,00",20958,"99.800,00"
149,22/7/2021,317,AUTOMOTIVE PREPARATION AND OFFICE,BUR VID,300011390,INVOICE C,FORD KA AB510KR LAP,0,0,"11.800,00"
150,22/7/2021,317,COST VTA.AUTOMOT.NUEVOS,DYC - BOR,462730907,CHECK,A CTA TRACKER 1,0,0,"800.000,00"
151,22/7/2021,317,EXPENDITURES BY GESTORIA,GES,0,TICKET,GESTORY,"104283,95","27721,05","132.005,00"
152,22/7/2021,317,FUELS AND LUBRICANTS,PER HER S.R,300048229,INVOICE A,NAFTA PEUGEOT 408 OOJ-376,"790,00",210,"1.000,00"
153,22/7/2021,317,OTHER EXPENSES,TEL,0,THIRD CHECK,PAYMENT 50% VILTE GERARDO CELLULAR SUBSCRIPTION,0,0,470
154,23/7/2021,318,OTHER EXPENSES,CRU JAR,0,RECEIPT,PAY,0,0,"1.600,00"
155,23/7/2021,318,OTHER EXPENSES,IND PLA ARG,700009881,SALE PURCHASE TICKET,CONSORTIUM BAG,"695,20","184,8",880
156,23/7/2021,318,AUTOMOTIVE PREPARATION AND OFFICE,MEN MAR,0,BANK DEPOSIT,WORK DONE POLISHED CARS,0,0,"32.000,00"
157,23/7/2021,318,EXPENDITURES BY GESTORIA,MI COC -,100005038,TICKET,REGISTRATION GARAGE,"55,30","14,7",70
158,23/7/2021,318,FUELS AND LUBRICANTS,PER HER S.R,300048258,CHECK,RENAULT LAGAN AA463AQ,0,0,"1.000,00"
159,23/7/2021,318,EXPENDITURES BY GESTORIA,VAZ IVO MAR,4847,RECEIPT,GS ESPERANIA APRIL/2021,0,0,"28.800,00"
160,24/7/2021,318,OTHER EXPENSES,EL MUN DEL,3100007985,SALE PURCHASE TICKET,BATHROOM TOILET LEVER HANDLE,"301,76","80,2137","381,97"
161,24/7/2021,319,SANTADER RIO BANK,BAN SAN,2679,INVOICE C,CAYO ARIEL GERARDO FEES,0,0,"5.500,00"
162,24/7/2021,319,SANTADER RIO BANK,BAN SAN,2677,INVOICE B,CAYO ARIEL GERARDO FEES,"41080,00",10920,"52.000,00"
163,24/7/2021,319,AUTOMOTIVE PREPARATION AND OFFICE,TAP FER,92,THIRD CHECK,RENAULT CLIO ORB 981 FILLING,0,0,"5.000,00"
164,26/7/2021,319,AUTOMOTIVE PREPARATION AND OFFICE,VAR JOS OMA,0,VOUCHER,P,0,0,"40.100,00"
165,26/7/2021,320,EXPENDITURES BY GESTORIA,GES,0,THIRD CHECK,GESTORY,0,0,"37.870,00"
166,26/7/2021,320,VARIOUS ADMINISTRATION EXPENSES,INS DE INF,1000006204,INVOICE A,INSUTO INF COMMERCIAL FEE,"79,00",21,100
167,26/7/2021,320,AUTOMOTIVE PREPARATION AND OFFICE,NEU JUJ S.A,200031448,BUDGET,RENAULT CLIO OQP305 COVER,0,0,"10.000,00"
168,26/7/2021,320,FUELS AND LUBRICANTS,PER HER S.R,300048325,VOUCHER,NAFTA RENAULT CAPTUR AB712UR,0,0,"1.000,00"
169,26/7/2021,320,FUELS AND LUBRICANTS,PER HER S.R,300038837,CHECK,NAFTA OROCH AE123RI - 2020,0,0,"1.500,00"
170,26/7/2021,320,COST VTA.AUTOMOT.NUEVOS,ROL S.A,13000790026,PRICE,ROLCAR -JEEP RENEGADE SPORT - DOMINGUEZ,0,0,"2.311.900,00"
171,27/7/2021,321,MACRO BANK,BAN MAC S.A,1908,BANK DEPOSIT,OEHLER CARLOS - PAYMENT FEES,0,0,"45.866,00"
172,27/7/2021,321,OTHER EXPENSES,PAN,0,VOUCHER,BREAD,0,0,150
173,27/7/2021,321,VARIOUS ADMINISTRATION EXPENSES,RAP,0,CHECK,RAPIMOTO,0,0,220
174,27/7/2021,321,AUTOMOTIVE PREPARATION AND OFFICE,TEC - QUI,300002597,RECEIPT,RTV CLIO 2012 LTN 858,0,0,"2.200,01"
175,27/7/2021,321,AUTOMOTIVE PREPARATION AND OFFICE,TEC - QUI,300002596,SALE PURCHASE TICKET,RTV PEUGEOT 408 OOJ-376,"1738,01","462,0021","2.200,01"
176,28/7/2021,322,MACRO BANK,BAN MAC S.A,866800417454,PRICE,PAYMENT OCAMPO CARLOS HUMBERTO,0,0,"41.250,00"
177,28/7/2021,322,SANTADER RIO BANK,BAN SAN,172600000701,CHECK,SIGN MONTERO NUÑEZ MARIA JOSE,0,0,"50.000,00"
178,28/7/2021,322,ADVERTISING EXPENSES,ENT DIG DE,0,PRICE,ADVERTISING PAYMENT AND MKT JUNE/2021,0,0,"8.000,00"
179,28/7/2021,322,EXPENDITURES BY GESTORIA,GES,0,TICKET,GESTORY,"846,09","224,91","1.071,00"
180,28/7/2021,322,AUTOMOTIVE PREPARATION AND OFFICE,GOM,0,INVOICE A,COVER REPAIR M BENZ VITO AB249VI,"790,00",210,"1.000,00"
181,29/7/2021,323,EXPENDITURES BY GESTORIA,COL OSC -,100000001,THIRD CHECK,PAYMENT 4 VERIF AND 1 LOST CEDULA,0,0,"3.400,00"
182,29/7/2021,323,COST VTA.AUTOMOT.NUEVOS,DYC - BOR,100005270,BUDGET,A CTA CH,0,0,"1.730.000,00"
183,29/7/2021,323,COST VTA.AUTOMOT.NUEVOS,DYC - BOR,1191,SALE PURCHASE TICKET,A CTA CH,"79000,00",21000,"100.000,00"
184,29/7/2021,323,COST VTA.AUTOMOT.NUEVOS,DYC - BOR,9819,BANK DEPOSIT,A CTA CH,0,0,"100.000,00"
185,29/7/2021,323,AUTOMOTIVE PREPARATION AND OFFICE,LUM ACC Y,200001672,INVOICE B,PEUGEOT 208 AA 497 UP,"947,99","251,9979","1.199,99"
186,29/7/2021,323,AUTOMOTIVE PREPARATION AND OFFICE,MEN MAR,0,BANK DEPOSIT,COMPLETE CLEANING VEHICLES,0,0,"23.100,00"
