,Corporation,Shop,Supplier,Payment Type,Date Issue,Number,Invoice,Partial amount,Total Amount,Tag,Group,Status,Paid Status
38,Con culpas S.A.S.,CDLM 3,P F ( - P F,Contado,01/01/2023,0003-00008662,Recibo,1600,1600,Empleado Eventual,Sueldos,Cerrado,PAGADA
39,Con culpas S.A.S.,CDLM 2,A S S S ( - A,Contado,01/01/2023,0107-03536228,Fact. A,"8401,88","8401,88",Seguridad,Servicios y Honorarios,Cerrado,PAGADA
40,Con culpas S.A.S.,CDLM 5,I I Y R S ( - M S,Cta Cte,01/01/2023,0029-00045772,Fact. A,"9380,03","9380,03",Alquiler,Alquiler y Expensas,Cerrado,PAGADA
41,Con culpas S.A.S.,CDLM 5,I I Y R S ( - M S,Cta Cte,01/01/2023,0029-00045773,Fact. A,"805199,11","805199,11",Alquiler,Alquiler y Expensas,Cerrado,PAGADA
42,Con culpas S.A.S.,CDLM 2,I Y T S ( - I,Contado,01/01/2023,0006-00128387,Fact. A,3302,3302,Servicios,Servicios y Honorarios,Cerrado,PAGADA
43,Con culpas S.A.S.,CDLM 6,A S S S ( - A,Contado,01/01/2023,0107-03536741,Fact. A,"4149,5","4149,5",Seguridad,Servicios y Honorarios,Cerrado,PAGADA
44,Con culpas S.A.S.,CDLM 2,I Y T S ( - I,Contado,01/01/2023,0006-00128386,Fact. A,"5062,73","5062,73",Servicios,Servicios y Honorarios,Cerrado,PAGADA
45,Con culpas S.A.S.,CDLM 3,A A ( - A A,Contado,02/01/2023,0003-00008669,Recibo,2500,2500,Empleado Eventual,Sueldos,Cerrado,PAGADA
46,Con culpas S.A.S.,CDLM 3,C S ( - E / J / V,Contado,02/01/2023,1366-00000889,Fact. A,"1645,1","1645,1",Kiosco y Supermercado,Almacen,Cerrado,PAGADA
47,Con culpas S.A.S.,CDLM 4,J B ( - J B,Contado,02/01/2023,0004-00003959,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
48,Con culpas S.A.S.,CDLM 4,A N R ( - A N R,Contado,02/01/2023,0004-00003960,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
49,Con culpas S.A.S.,CDLM 4,E A ( - E A,Contado,02/01/2023,0004-00003961,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
50,Con culpas S.A.S.,La Embajada,R C L I ( - T O,Contado,02/01/2023,0004-00009903,Fact. A,"136261,13","136261,13",Materiales Construccion,Inversion,Cerrado,PAGADA
51,Con culpas S.A.S.,La Embajada,R C L I ( - T O,Contado,02/01/2023,0004-00009902,Fact. A,"97570,85","97570,85",Materiales Construccion,Inversion,Cerrado,PAGADA
52,Con culpas S.A.S.,CDLM 3,R S P ( - R S P,Contado,02/01/2023,0003-00008671,Recibo,2400,2400,Almacen,Almacen,Cerrado,PAGADA
53,Con culpas S.A.S.,CDLM 3,J S V ( - J S V,Contado,02/01/2023,0003-00008672,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
54,Con culpas S.A.S.,CDLM 3,C E ( - C E,Contado,02/01/2023,0003-00008673,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
55,Con culpas S.A.S.,CDLM 3,L B ( - L B,Contado,02/01/2023,0003-00008674,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
56,Con culpas S.A.S.,CDLM 3,N L ( - N L,Contado,02/01/2023,0003-00008675,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
57,Con culpas S.A.S.,CDLM 3,R B T ( - R B T,Contado,02/01/2023,0003-00008676,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
58,Con culpas S.A.S.,CDLM 3,V D ( - V D,Contado,02/01/2023,0003-00008677,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
59,Con culpas S.A.S.,CDLM 2,C F S ( - C F,Contado,02/01/2023,0002-00000072,Fact. A,77198,77198,Alquiler,Alquiler y Expensas,Cerrado,PAGADA
60,Con culpas S.A.S.,CDLM 6,Y R ( - Y R,Contado,02/01/2023,0006-00001062,Recibo,1200,1200,Empleado Eventual,Sueldos,Cerrado,PAGADA
61,Con culpas S.A.S.,CDLM 3,P V ( - W,Contado,02/01/2023,0011-00000812,Fact. A,980,980,Libreria e Imprenta,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
62,Con culpas S.A.S.,CDLM 6,D S V A ( - M M,Contado,02/01/2023,0006-00001064,Recibo,1880,1880,Kiosco y Supermercado,Almacen,Cerrado,PAGADA
63,Con culpas S.A.S.,CDLM 1,G U F ( - L A I,Contado,02/01/2023,0001-00015771,Recibo,1260,1260,Libreria e Imprenta,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
64,Con culpas S.A.S.,CDLM 1,E D S L P S ( - S - L P,Contado,02/01/2023,0012-00040016,Fact. A,5000,5000,Combustible,Flete,Cerrado,PAGADA
65,Con culpas S.A.S.,CDLM 2,G N ( - G N,Contado,02/01/2023,0005-00009050,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
66,Con culpas S.A.S.,CDLM 2,L A I ( - L A I,Contado,02/01/2023,0005-00009049,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
67,Con culpas S.A.S.,CDLM 2,J P N ( - J P N,Contado,02/01/2023,0005-00009048,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
68,Con culpas S.A.S.,CDLM 6,G H C A ( - G A,Contado,02/01/2023,0006-00001064,Recibo,6930,6930,Panaderia,Panaderia,Cerrado,PAGADA
69,Con culpas S.A.S.,CDLM 2,J O ( - J O,Contado,02/01/2023,0005-00009051,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
70,Con culpas S.A.S.,CDLM 6,S S ( - S S,Contado,02/01/2023,0006-00001065,Recibo,50000,50000,Sin Asignacion,Sin Grupo,Cerrado,PAGADA
71,Con culpas S.A.S.,CDLM 1,G C S ( - G C S,Contado,02/01/2023,0004-00000449,Fact. A,"42011,2","42011,2",Sin Asignacion,Sin Grupo,Cerrado,PAGADA
72,Con culpas S.A.S.,CDLM 1,C F S - N - ( - C F S - N -,Contado,02/01/2023,0002-00000072,Recibo,77802,77802,Alquiler,Alquiler y Expensas,Cerrado,PAGADA
73,Con culpas S.A.S.,CDLM 2,C M - N - ( - C M - N -,Contado,02/01/2023,0002-00000088,Ticket,150965,150965,Alquiler,Alquiler y Expensas,Cerrado,PAGADA
74,Con culpas S.A.S.,CDLM 3,O M S ( - P,Cta Cte,02/01/2023,0005-00045292,Fact. A,"534097,98","534097,98",Alquiler,Alquiler y Expensas,Cerrado,PAGADA
75,Con culpas S.A.S.,CDLM 3,O M S ( - P,Cta Cte,02/01/2023,0005-00045451,Fact. A,"78492,94","78492,94",Alquiler,Alquiler y Expensas,Cerrado,PAGADA
76,Con culpas S.A.S.,CDLM 2,A S ( - G B,Cta Cte,02/01/2023,0082-00010601,Fact. A,"139835,1","139835,1",Carne,"Carne, Pollo y Pescado",Cerrado,PAGADA
77,Con culpas S.A.S.,CDLM 1,P C S ( - P C S,Contado,02/01/2023,0025-00010428,Fact. A,"3500,04","3500,04",Combustible,Flete,Cerrado,PAGADA
78,Con culpas S.A.S.,CDLM 3,C S ( - E / J / V,Contado,02/01/2023,3657-00000892,Fact. A,"1564,24","1564,24",Kiosco y Supermercado,Almacen,Cerrado,PAGADA
79,Con culpas S.A.S.,CDLM 3,I D ( - I D,Contado,02/01/2023,0003-00008668,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
80,Con culpas S.A.S.,CDLM 3,M G ( - M G,Contado,02/01/2023,0003-00008670,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
81,Con culpas S.A.S.,CDLM 1,A A ( - A A 1,Contado,02/01/2023,0001-00122022,Recibo,50000,50000,Honorarios Profesionales,Sueldos,Cerrado,PAGADA
82,Con culpas S.A.S.,CDLM 4,V ( - E Ñ V,Contado,02/01/2023,0004-00000958,Recibo,800,800,Verduleria,Frutas y Verduras,Cerrado,PAGADA
83,Con culpas S.A.S.,CDLM 6,G F ( - G F,Contado,02/01/2023,0006-00001058,Recibo,3500,3500,Empleado Eventual,Sueldos,Cerrado,PAGADA
84,Con culpas S.A.S.,CDLM 1,S S ( - S A,Contado,02/01/2023,0018-00002652,Fact. A,"1275,87","1275,87",Kiosco y Supermercado,Almacen,Cerrado,PAGADA
85,Con culpas S.A.S.,CDLM 1,G U F ( - L A I,Contado,02/01/2023,0001-00015763,Ticket,600,600,Libreria e Imprenta,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
86,Con culpas S.A.S.,CDLM 2,V S ( - V S,Contado,02/01/2023,0002-00009040,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
87,Con culpas S.A.S.,CDLM 2,A A ( - A A,Contado,02/01/2023,0002-00009039,Recibo,12000,12000,Empleado Eventual,Sueldos,Cerrado,PAGADA
88,Con culpas S.A.S.,CDLM 2,A S ( - K - C D C,Contado,02/01/2023,0002-00009043,Recibo,600,600,Kiosco y Supermercado,Almacen,Cerrado,PAGADA
89,Con culpas S.A.S.,CDLM 2,J P N ( - J P N,Contado,02/01/2023,0002-00009041,Recibo,1400,1400,Empleado Eventual,Sueldos,Cerrado,PAGADA
90,Con culpas S.A.S.,CDLM 1,E D S L P S ( - S - L P,Contado,02/01/2023,0013-00018390,Fact. A,2000,2000,Combustible,Flete,Cerrado,PAGADA
91,Con culpas S.A.S.,CDLM 4,O R D ( - O D,Cta Cte,02/01/2023,0166-00020986,Fact. A,"66284,6","66284,6",Almacen,Almacen,Cerrado,PAGADA
92,Con culpas S.A.S.,CDLM 6,D J O ( - F C,Contado,02/01/2023,0008-00009066,Fact. A,3400,3400,Mantenimiento,Mantenimiento y Mejoras,Cerrado,PAGADA
93,Con culpas S.A.S.,CDLM 3,O R D ( - O D,Cta Cte,02/01/2023,0168-00013401,Fact. A,"66458,79","66458,79",Almacen,Almacen,Cerrado,PAGADA
94,Con culpas S.A.S.,CDLM 1,T S ( - E J,Contado,02/01/2023,0001-00015764,Recibo,3800,3800,Almacen,Almacen,Cerrado,PAGADA
95,Con culpas S.A.S.,CDLM 6,D S V A ( - M M,Contado,02/01/2023,0006-00001059,Recibo,1800,1800,Kiosco y Supermercado,Almacen,Cerrado,PAGADA
96,Con culpas S.A.S.,CDLM 1,F R ( - F R,Contado,02/01/2023,0001-00015762,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
97,Con culpas S.A.S.,CDLM 4,J G ( - J G,Contado,02/01/2023,0004-00003957,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
98,Con culpas S.A.S.,CDLM 2,R T ( - R T,Contado,02/01/2023,0002-00009042,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
99,Con culpas S.A.S.,CDLM 1,S E Q ( - S E Q,Contado,02/01/2023,0001-00015768,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
100,Con culpas S.A.S.,CDLM 1,K S ( - P E R,Cta Cte,02/01/2023,0023-00003480,Fact. A,"10007,77","10007,77",Libreria e Imprenta,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
101,Con culpas S.A.S.,CDLM 1,D H E S ( - P Y,Cta Cte,02/01/2023,0002-02203597,Fact. A,"420916,4","420916,4",Apps,Apps,Cerrado,PAGADA
102,Con culpas S.A.S.,CDLM 6,S S ( - S S 1,Contado,02/01/2023,0006-00001060,Recibo,3600,3600,Empleado Eventual,Sueldos,Cerrado,PAGADA
103,Con culpas S.A.S.,CDLM 1,F C A ( - F C A,Contado,02/01/2023,0001-00015769,Recibo,2400,2400,Empleado Eventual,Sueldos,Cerrado,PAGADA
104,Con culpas S.A.S.,CDLM 1,C M M A ( - C M,Contado,02/01/2023,0002-00000088,Fact. A,149435,149435,Alquiler,Alquiler y Expensas,Cerrado,PAGADA
105,Con culpas S.A.S.,CDLM 3,K - T S ( - K,Contado,02/01/2023,0003-00005405,Fact. A,10750,10750,Servicios,Servicios y Honorarios,Cerrado,PAGADA
106,Con culpas S.A.S.,CDLM 1,M V ( - M V ( L,Contado,02/01/2023,0001-00015765,Recibo,10000,10000,Mantenimiento,Mantenimiento y Mejoras,Cerrado,PAGADA
107,Con culpas S.A.S.,CDLM 1,F G ( - F G,Contado,02/01/2023,0001-00015766,Recibo,32000,32000,Sin Asignacion,Sin Grupo,Cerrado,PAGADA
108,Con culpas S.A.S.,CDLM 1,F G ( - F G,Contado,02/01/2023,0001-00015767,Recibo,30000,30000,Sin Asignacion,Sin Grupo,Cerrado,PAGADA
109,Con culpas S.A.S.,CDLM 1,M C ( - M C,Contado,02/01/2023,0001-00015770,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
110,Con culpas S.A.S.,CDLM 6,C T ( - C C,Contado,02/01/2023,0006-00001061,Recibo,5000,5000,Mantenimiento,Mantenimiento y Mejoras,Cerrado,PAGADA
111,Con culpas S.A.S.,CDLM 2,A S ( - K - C D C,Contado,02/01/2023,0002-00009047,Recibo,1400,1400,Kiosco y Supermercado,Almacen,Cerrado,PAGADA
112,Con culpas S.A.S.,CDLM 2,P F ( - P F,Contado,02/01/2023,0002-00009046,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
113,Con culpas S.A.S.,CDLM 2,I A ( - I A,Contado,02/01/2023,0002-00009045,Recibo,4000,4000,Empleado Eventual,Sueldos,Cerrado,PAGADA
114,Con culpas S.A.S.,CDLM 2,N L ( - N L,Contado,02/01/2023,0002-00009044,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
115,Con culpas S.A.S.,CDLM 5,P B S ( - P B,Cta Cte,02/01/2023,0005-00000406,Fact. A,"98717,85","98717,85",Descartables,Descartables,Cerrado,PAGADA
116,Con culpas S.A.S.,CDLM 6,R D S ( - F L,Cta Cte,02/01/2023,0002-00062645,Fact. A,"391258,39","391258,39",Quesos y Fiambres,"Quesos, Fiambres y Lacteos",Cerrado,PAGADA
117,Con culpas S.A.S.,CDLM 4,G B ( - G B,Contado,02/01/2023,0086-00000917,Fact. A,"486,87","486,87",Carne,"Carne, Pollo y Pescado",Cerrado,PAGADA
118,Con culpas S.A.S.,CDLM 1,C J F E ( - G,Contado,02/01/2023,0002-00011498,Fact. A,4235,4235,Bebidas con Alcohol,Bebidas,Cerrado,PAGADA
119,Con culpas S.A.S.,CDLM 2,M D G ( - M D G,Contado,02/01/2023,0003-02012023,Recibo,36420,36420,Verduleria,Frutas y Verduras,Cerrado,PAGADA
120,Con culpas S.A.S.,CDLM 2,O R D ( - O D,Cta Cte,02/01/2023,0167-00026054,Fact. A,"66103,65","66103,65",Almacen,Almacen,Cerrado,PAGADA
121,Con culpas S.A.S.,CDLM 2,L J P ( - L A,Contado,02/01/2023,0002-00000183,Fact. A,"4096,33","4096,33",Marketing e Indumentaria,Inversion,Cerrado,PAGADA
122,Con culpas S.A.S.,CDLM 2,I A ( - I A,Contado,02/01/2023,0002-00009038,Recibo,5000,5000,Empleado Eventual,Sueldos,Cerrado,PAGADA
123,Con culpas S.A.S.,CDLM 4,M D G ( - M D G,Contado,02/01/2023,0004-02012023,Recibo,21960,21960,Verduleria,Frutas y Verduras,Cerrado,PAGADA
124,Con culpas S.A.S.,CDLM 1,I C F ( - I R,Contado,02/01/2023,0007-00000614,Fact. A,3000,3000,Mantenimiento,Mantenimiento y Mejoras,Cerrado,PAGADA
125,Con culpas S.A.S.,CDLM 3,M D G ( - M D G,Contado,02/01/2023,0002-02012023,Recibo,46950,46950,Verduleria,Frutas y Verduras,Cerrado,PAGADA
126,Con culpas S.A.S.,CDLM 1,M D G ( - M D G,Contado,02/01/2023,0001-02012023,Recibo,73500,73500,Almacen,Almacen,Cerrado,PAGADA
127,Con culpas S.A.S.,CDLM 1,G S ( - G S,Contado,02/01/2023,0041-00001059,Fact. A,28600,28600,Pollo,"Carne, Pollo y Pescado",Cerrado,PAGADA
128,Con culpas S.A.S.,La Embajada,O S S ( - O,Contado,02/01/2023,0001-09029304,Fact. A,"5830,09","5830,09",Servicios,Servicios y Honorarios,Cerrado,PAGADA
129,Con culpas S.A.S.,CDLM 6,B A A ( - B A A,Contado,02/01/2023,0002-00002347,Fact. A,"39610,26","39610,26",Almacen,Almacen,Cerrado,PAGADA
130,Con culpas S.A.S.,CDLM 6,G Y A S ( - G Y A S,Cta Cte,02/01/2023,0001-00000031,Fact. A,302500,302500,Alquiler,Alquiler y Expensas,Cerrado,PAGADA
131,Con culpas S.A.S.,CDLM 3,A P G ( - A P G,Contado,03/01/2023,0003-00008687,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
132,Con culpas S.A.S.,CDLM 1,S S ( - S A,Contado,03/01/2023,0018-00002659,Fact. A,"1024,79","1024,79",Kiosco y Supermercado,Almacen,Cerrado,PAGADA
133,Con culpas S.A.S.,CDLM 4,J A ( - J A,Contado,03/01/2023,0004-00003966,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
134,Con culpas S.A.S.,CDLM 4,M E ( - M E,Contado,03/01/2023,0004-00003964,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
135,Con culpas S.A.S.,CDLM 4,E A ( - E A,Contado,03/01/2023,0004-00003962,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
136,Con culpas S.A.S.,CDLM 2,I A ( - I A,Contado,03/01/2023,0002-00009059,Recibo,1500,1500,Empleado Eventual,Sueldos,Cerrado,PAGADA
137,Con culpas S.A.S.,CDLM 1,F C A ( - F C A,Contado,03/01/2023,0001-00015777,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
138,Con culpas S.A.S.,CDLM 1,S E Q ( - S E Q,Contado,03/01/2023,0001-00015773,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
139,Con culpas S.A.S.,CDLM 4,S E ( - S E,Contado,03/01/2023,0004-00003963,Recibo,2250,2250,Empleado Eventual,Sueldos,Cerrado,PAGADA
140,Con culpas S.A.S.,CDLM 5,E R ( - E R,Contado,03/01/2023,0005-00000243,Recibo,2500,2500,Mantenimiento,Mantenimiento y Mejoras,Cerrado,PAGADA
141,Con culpas S.A.S.,La Embajada,D J O ( - F C,Contado,03/01/2023,0001-00000040,Fact. A,5400,5400,Mantenimiento,Mantenimiento y Mejoras,Cerrado,PAGADA
142,Con culpas S.A.S.,CDLM 6,L V O ( - G P,Contado,03/01/2023,0006-00001071,Recibo,21400,21400,Postres,Almacen,Cerrado,PAGADA
143,Con culpas S.A.S.,CDLM 3,I D ( - I D,Contado,03/01/2023,0003-00008681,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
144,Con culpas S.A.S.,CDLM 6,D S V A ( - M M,Contado,03/01/2023,0006-00001069,Recibo,1400,1400,Kiosco y Supermercado,Almacen,Cerrado,PAGADA
145,Con culpas S.A.S.,CDLM 6,I S ( - T,Contado,03/01/2023,0006-00001068,Recibo,1600,1600,Hielo,Bebidas,Cerrado,PAGADA
146,Con culpas S.A.S.,CDLM 3,A R ( - O I,Contado,03/01/2023,0003-00008688,Recibo,5000,5000,Mantenimiento,Mantenimiento y Mejoras,Cerrado,PAGADA
147,Con culpas S.A.S.,CDLM 3,L B ( - L B,Contado,03/01/2023,0003-00008679,Recibo,3250,3250,Empleado Eventual,Sueldos,Cerrado,PAGADA
148,Con culpas S.A.S.,CDLM 6,O C ( - F Y V,Contado,03/01/2023,0000-00000001,Recibo,45650,45650,Verduleria,Frutas y Verduras,Cerrado,PAGADA
149,Con culpas S.A.S.,CDLM 2,V S ( - V S,Contado,03/01/2023,0005-00009054,Recibo,2300,2300,Empleado Eventual,Sueldos,Cerrado,PAGADA
150,Con culpas S.A.S.,CDLM 2,I A ( - I A,Contado,03/01/2023,0005-00009056,Recibo,4000,4000,Empleado Eventual,Sueldos,Cerrado,PAGADA
151,Con culpas S.A.S.,CDLM 5,E R ( - E R,Contado,03/01/2023,0005-00000244,Recibo,2500,2500,Mantenimiento,Mantenimiento y Mejoras,Cerrado,PAGADA
152,Con culpas S.A.S.,CDLM 4,A S ( - G B,Contado,03/01/2023,0094-00000905,Fact. A,"229,65","229,65",Carne,"Carne, Pollo y Pescado",Cerrado,PAGADA
153,Con culpas S.A.S.,CDLM 2,G V ( - G V,Contado,03/01/2023,0002-00009058,Recibo,2000,2000,Verduleria,Frutas y Verduras,Cerrado,PAGADA
154,Con culpas S.A.S.,CDLM 6,L B ( - L B 1,Contado,03/01/2023,0006-00001066,Recibo,5000,5000,Mantenimiento,Mantenimiento y Mejoras,Cerrado,PAGADA
