Item,Date,Month,Year,Payment_method,Operation_number,,,Bill_number,Article,Description,Colour,Quantity,Price,Total,Shipping_income,Shipping_outcome,Comision,Extras,CMV,Net_gain,Shipping_method,Province,CP,Status
33,2/6/2022,6,2022,EF,200000363358832,,,2271,5613,2 seat bee nest foot,Silver,8,5361,42888,0,0,0,0,26616,42888,Withdrawal,Tucumán,4000,In charge
31,2/6/2022,6,2022,EF,200000363358835,,,2272,5613,2 seat bee nest foot,Hazelnut,8,5361,42888,0,0,0,0,26616,42888,Withdrawal,Tucumán,4000,Manager 16-5
35,3/6/2022,6,2022,EF,200000363358834,,,2272,1124T,2 Squares Tusor,Natural,1,10900,10900,0,0,0,0,7803,10900,Withdrawal,Buenos Aires,1727,I already pay everything
36,3/6/2022,6,2022,TR,200000363358836,,,1416,1014,Gabardina/Pique Square,Blue Star,4,6990,27960,0,"1178,23",0,0,17144,"26781,77",Mail,Misiones,3334,Payment 6000 owes me 5500
34,3/6/2022,6,2022,MP,200000363357889,,,1415,8500,Nordic candle,Natural,2,2390,4780,"276,99","276,99","741,4",0,2344,"4038,6",Particular,Caba,1426,Retention imposed by Santa Fe taxes
37,5/6/2022,6,2022,MP,200000363357890,,,1417,8500,Nordic candle,Natural,2,2390,4780,"466,99","466,99","741,4",0,2344,"4038,6",Particular,Cordoba,5103,Paid
38,6/6/2022,6,2022,EF,200000363358752,,,2240,1114,1/2 Gabardina/Pique Square,Bambi,2,6493,12986,0,0,0,0,11292,12986,Withdrawal,Tucumán,4000,In stock
39,6/6/2022,6,2022,EF,200000363358837,,,2273,1114,1/2 Gabardina/Pique Square,Caritas,2,6493,12986,0,0,0,0,11292,12986,Withdrawal,Tucumán,4000,In stock
40,6/6/2022,6,2022,EF,200000363358839,,,2274,1134T,2 1/2 Plazas Tusor,Hazelnut,1,13000,13000,0,0,0,0,9783,13000,Withdrawal,Tucumán,4000,In stock
43,7/6/2022,6,2022,TR,200000363358841,,,1420,1124T,2 Squares Tusor,Natural,1,13690,13690,0,"632,1",0,0,7803,"13057,9",Mail,Buenos Aires,8170,I already pay everything
45,7/6/2022,6,2022,EF,200000363358838,,,2273,1124T,2 Squares Tusor,Pink,1,11200,11200,0,0,0,0,7803,11200,Withdrawal,Tucumán,4000,In stock
44,7/6/2022,6,2022,TR,200000363358753,,,1421,3110T,Case 55 * 80 tusor,Natural,2,1900,3800,0,0,0,0,2274,3800,Mail,Buenos Aires,8170,Paid
42,7/6/2022,6,2022,MP,200000363357883,,,1419,8500,Nordic candle,Natural,1,2250,2250,"689,99","689,99","352,5",0,1172,"1897,5",Particular,Caba,1095,Paid
41,7/6/2022,6,2022,MP,200000363357891,,,1418,8500,Nordic candle,Natural,2,2250,4500,"839,99","839,99",705,0,2344,3795,Particular,Salta,4126,Paid
47,8/6/2022,6,2022,MP,200000363357938,,,1423,5503,Puff ultra soft Ø 40,Natural,1,8290,8290,0,"684,99","2321,2",0,2733,"5283,81",Particular,Buenos Aires,7600,Paid
48,8/6/2022,6,2022,MP,200000363357939,,,1424,8500,Nordic candle,Natural,1,2250,2250,"879,99","879,99","352,5",0,1172,"1897,5",Particular,Buenos Aires,7600,Paid
46,8/6/2022,6,2022,MP,200000363357892,,,1422,8500,Nordic candle,Natural,2,2250,4500,"494,99","494,99",705,"202,5",2344,"3592,5",Particular,Santa Fe,3070,Paid
50,9/6/2022,6,2022,EF,200000363358840,,,2274,1214T,Smooth tusor functional padded c/cho,Sand,1,4457,4457,0,0,0,0,3876,4457,Withdrawal,Tucumán,4000,In stock
49,9/6/2022,6,2022,MP,200000363357893,,,1425,8500,Nordic candle,Natural,1,2250,2250,"798,74","798,74","352,5",0,1172,"1897,5",Particular,Buenos Aires,7116,Paid
51,10/6/2022,6,2022,MP,200000363357895,,,1426,8500,Nordic candle,Natural,1,2250,2250,0,0,"352,5",0,1172,"1897,5",Particular,Misiones,3370,Extra by Misiones taxes
52,11/6/2022,6,2022,MP,200000363357896,,,1427,8500,Nordic candle,Natural,2,2250,4500,"304,99","304,99",705,0,2344,3795,Particular,Buenos Aires,1882,Paid
53,12/6/2022,6,2022,MP,200000363357947,,,1428,1124T,2 Squares Tusor,Mallow,1,15790,15790,0,"969,99","2210,6",0,7803,"12609,41",Particular,Caba,1429,Paid
54,13/6/2022,6,2022,MP,200000363357898,,,1429,5503,Puff ultra soft Ø 40,Natural,1,6390,6390,0,"779,99","830,7",0,2733,"4779,31",Particular,Buenos Aires,1804,Paid
57,14/6/2022,6,2022,EF,200000363358842,,,2275,1134T,2 1/2 Plazas Tusor,Hazelnut,1,15000,15000,0,0,0,0,9783,15000,Withdrawal,Tucumán,4000,In stock
59,14/6/2022,6,2022,EF,200000363358843,,,2275,3199,FILLING Pillow case 55 * 80,Natural,2,1100,2200,0,0,0,0,1438,2200,Withdrawal,Tucumán,4000,In stock
60,14/6/2022,6,2022,EF,200000363358845,,,2276,5503,Puff ultra soft Ø 40,Lead,2,5250,10500,0,0,0,0,5466,10500,Withdrawal,Tucumán,4000,In stock
55,14/6/2022,6,2022,MP,200000363357899,,,1430,8500,Nordic candle,Natural,1,2250,2250,0,0,"352,5",0,1172,"1897,5",Particular,Buenos Aires,1824,Paid
56,14/6/2022,6,2022,MP,200000363357900,,,1431,8500,Nordic candle,Natural,1,2250,2250,0,0,"352,5",0,1172,"1897,5",Particular,Buenos Aires,1708,Paid
58,14/6/2022,6,2022,EF,200000363358754,,,2241,3110T,Case 55 * 80 tusor,Hazelnut,2,1800,3600,0,0,0,0,2274,3600,Withdrawal,Buenos Aires,1727,Paid
61,14/6/2022,6,2022,MP,200000363357949,,,1432,8500,Nordic candle,Natural,1,1990,1990,"689,99","689,99","318,7",0,1172,"1671,3",Particular,Caba,1417,Paid
62,15/6/2022,6,2022,EF,200000363358847,,,2277,3008N,Pillow 45 * 45 Bee nest,Hazelnut,2,1200,2400,0,0,0,0,2076,2400,Withdrawal,Tucumán,4000,In stock
63,15/6/2022,6,2022,MP,200000363357901,,,1433,8500,Nordic candle,Natural,2,1990,3980,"568,74","568,74","637,4",0,2344,"3342,6",Particular,Caba,1427,Paid
64,17/6/2022,6,2022,MP,200000363357950,,,1434,8500,Nordic candle,Natural,1,1990,1990,"1004,99","1004,99","318,7",0,1172,"1671,3",Particular,San Luis,4400,Extra by San Luis taxes
65,17/6/2022,6,2022,MP,200000363357951,,,1435,1124T,2 Squares Tusor,Hazelnut,1,15790,15790,0,"969,99","2210,6",0,7803,"12609,41",Particular,Buenos Aires,1663,Paid
66,20/6/2022,6,2022,MP,200000363357952,,,1436,8500,Nordic candle,Natural,1,1990,1990,"529,99","529,99","318,7",0,1172,"1671,3",Particular,Buenos Aires,1629,Paid
67,21/6/2022,6,2022,MP,200000363357953,,,1437,1014,Gabardina/Pique Square,Aqua and Rosa Estrella,1,8690,8690,0,"779,99","1216,6",0,4286,"6693,41",Particular,Caba,1407,Paid
69,22/6/2022,6,2022,MP,200000363358844,,,1438,1114T,1/2 tusor square,Lead,1,11500,11500,0,"489,11",667,0,6094,"10343,89",Mail,Caba,1440,Iibb withholding of Santa Fe
71,22/6/2022,6,2022,MP,200000363357903,,,1439,8500,Nordic candle,Natural,2,2290,4580,"296,99","296,99","715,4",0,2344,"3864,6",Particular,Buenos Aires,1651,Paid
68,22/6/2022,6,2022,TR,200000363358755,,,2241,5603,Bee nest ride blanket,Hazelnut,1,2000,2000,,,,,1960,2000,Mail,Buenos Aires,1727,Paid
70,22/6/2022,6,2022,MP,200000363357902,,,1438,8500,Nordic candle,Natural,2,1990,3980,"568,74","568,74","637,4",0,2344,"3342,6",Particular,Caba,1426,Paid
77,23/6/2022,6,2022,MP,200000363357905,,,1444,8500,Nordic candle,Natural,5,2290,11450,0,0,"1788,5","515,25",5860,"9146,25",Particular,Santa Fe,3000,Extra by Santa Fe taxes
75,23/6/2022,6,2022,MP,200000363357957,,,1442,8500,Nordic candle,Natural,1,2290,2290,"1639,99","1639,99","357,7",0,1172,"1932,3",Particular,Santa Cruz,9050,Extra by Cordoba taxes
72,23/6/2022,6,2022,EF,200000363358846,,,2276,1214,Functional padding c/chichonera,Mustard,1,4457,4457,0,0,0,0,3739,4457,Withdrawal,Tucumán,4000,In stock
73,23/6/2022,6,2022,MP,200000363357904,,,1440,8500,Nordic candle,Natural,1,2290,2290,0,0,"357,7",0,1172,"1932,3",Particular,Buenos Aires,1661,Paid
74,23/6/2022,6,2022,MP,200000363357955,,,1441,5503,Puff ultra soft Ø 40,Natural,1,8290,8290,0,"684,99","2321,2",0,2733,"5283,81",Particular,Buenos Aires,7100,Paid
76,23/6/2022,6,2022,MP,200000363357958,,,1443,8500,Nordic candle,Natural,1,2290,2290,"954,99","954,99","357,7",0,1172,"1932,3",Particular,Cordoba,5003,Paid
79,24/6/2022,6,2022,MP,200000363357959,,,1446,8500,Nordic candle,Natural,1,2290,2290,"607,49","607,49","357,7",0,1172,"1932,3",Particular,Buenos Aires,1744,Extra by Entre Rios taxes
78,24/6/2022,6,2022,MP,200000363357956,,,1445,8500,Nordic candle,Natural,1,2290,2290,"1124,99","1124,99","357,7","204,42",1172,"1727,88",Particular,Entre Ríos,3190,Retention imposed by Entre Rios taxes
81,25/6/2022,6,2022,MP,200000363357908,,,1448,8500,Nordic candle,Natural,1,2290,2290,0,0,"357,7",0,1172,"1932,3",Particular,Buenos Aires,1900,Extra by Entre Rios taxes
80,25/6/2022,6,2022,MP,200000363357960,,,1447,8500,Nordic candle,Natural,1,2290,2290,"809,99","809,99","357,7",0,1172,"1932,3",Particular,Caba,1414,Extra by Entre Rios taxes
82,25/6/2022,6,2022,MP,200000363357961,,,1449,5503,Puff ultra soft Ø 40,Natural,1,8290,8290,0,"684,99","2321,2",0,2733,"5283,81",Particular,Santa Cruz,9011,Paid
85,26/6/2022,6,2022,MP,200000363357963,,,1450,8500,Nordic candle,Natural,1,2290,2290,"607,49","607,49","357,7",0,1172,"1932,3",Particular,Buenos Aires,1625,Extra by Entre Rios taxes
84,26/6/2022,6,2022,TR,200000363358756,,,1450,5603,Bee nest ride blanket,Lead,1,2000,2000,0,0,0,0,1960,2000,Mail,Chubut,9001,Extra by Entre Rios taxes
83,26/6/2022,6,2022,TR,200000363358848,,,1450,1014T,Plain Plaza Tusor,Natural,1,8500,8500,0,0,0,0,4867,8500,Mail,Chubut,9001,It is missing
88,27/6/2022,6,2022,MP,200000363357964,,,1452,8500,Nordic candle,Natural,1,2290,2290,"689,99","689,99","357,7",0,1172,"1932,3",Particular,Buenos Aires,1752,Extra by Entre Rios taxes
89,27/6/2022,6,2022,MP,200000363357965,,,1453,1124T,2 Squares Tusor,Natural,1,13690,13690,0,"969,99","328,56",0,7803,"12391,45",Particular,Caba,1406,Extra by Entre Rios taxes
87,27/6/2022,6,2022,MP,200000363357909,,,1451,8500,Nordic candle,Natural,1,2290,2290,0,0,"357,7",0,1172,"1932,3",Particular,Cordoba,5964,Extra by Entre Rios taxes
86,27/6/2022,6,2022,EF,200000363358849,,,2277,-,Thread candle,Hazelnut,1,3700,3700,0,0,0,0,1800,3700,Mail,Tucumán,4000,In stock
93,28/6/2022,6,2022,MP,200000363357913,,,1457,8500,Nordic candle,Natural,2,2290,4580,"199,05","199,05","715,4",0,2344,"3864,6",Particular,Buenos Aires,1653,Extra by Santa Fe taxes
92,28/6/2022,6,2022,MP,200000363357966,,,1456,1124T,2 Squares Tusor,Lead,1,15790,15790,0,"969,99","2210,6",0,7803,"12609,41",Particular,Caba,1406,Extra by Santa Fe taxes
91,28/6/2022,6,2022,MP,200000363357911,,,1455,8500,Nordic candle,Natural,1,2290,2290,0,0,"357,7",0,1172,"1932,3",Particular,Cordoba,5107,Extra by Santa Fe taxes
90,28/6/2022,6,2022,MP,200000363357910,,,1454,8500,Nordic candle,Natural,2,2290,4580,"296,99","296,99","715,4",0,2344,"3864,6",Particular,Caba,1429,Extra by Entre Rios taxes
97,29/6/2022,6,2022,MP,200000363357915,,,1460,8500,Nordic candle,Natural,1,2290,2290,"689,99","689,99","357,7",0,1172,"1932,3",Particular,Buenos Aires,1635,Paid
95,29/6/2022,6,2022,MP,200000363358851,,,1459,1214,Functional padding c/chichonera,Blue Star,1,6400,6400,600,"541,64","253,4",0,3739,"6204,96",Mail,Cordoba,5000,Paid
94,29/6/2022,6,2022,MP,200000363357967,,,1458,8500,Nordic candle,Natural,1,2290,2290,"607,49","607,49","357,7",480,1172,"1452,3",Particular,Caba,1107,"Reason for the extra, retention of Santa Fe"
96,29/6/2022,6,2022,TR,200000363358853,,,1460,5613,2 seat bee nest foot,Silver,1,4200,4200,0,0,0,0,3660,4200,Withdrawal,Santiago del Estero,4200,Retention imposed by Santa Fe taxes
98,30/6/2022,6,2022,MP,200000363357917,,,1461,8500,Nordic candle,Natural,2,2290,4580,"486,99","486,99","715,4",0,2344,"3864,6",Particular,Buenos Aires,6015,Paid
100,30/6/2022,6,2022,MP,200000363357920,,,1463,8500,Nordic candle,Natural,1,2290,2290,0,0,"357,7",0,1172,"1932,3",Particular,Buenos Aires,1650,Paid
101,30/6/2022,6,2022,MP,200000363357970,,,1464,8500,Nordic candle,Natural,1,2290,2290,"529,99","529,99","357,7",0,1172,"1932,3",Particular,Buenos Aires,1609,Paid
102,30/6/2022,6,2022,MP,200000363357921,,,1465,8500,Nordic candle,Natural,2,2290,4580,"296,99","296,99","715,4",0,2344,"3864,6",Particular,Buenos Aires,1876,Paid
99,30/6/2022,6,2022,MP,200000363357919,,,1462,8500,Nordic candle,Natural,1,2290,2290,0,0,"357,7",0,1172,"1932,3",Particular,Cordoba,5107,Retention imposed by Santa Fe taxes
117,1/7/2022,7,2022,EF,200000363358863,,,2283,3118T,Cover 55 * 80 Tusor Print,Beige line,2,1378,2756,0,0,0,0,2396,2756,Withdrawal,Misiones,3334,Beige stripes
121,1/7/2022,7,2022,EF,200000363358864,,,2284,5611,GASA/CORDERITO BED FOOT 2 seats,Hazelnut,2,4376,8752,0,0,0,0,7610,8752,Withdrawal,Misiones,3334,Beige stripes
118,1/7/2022,7,2022,EF,200000363358865,,,2284,3110T,Case 55 * 80 tusor,Sand,2,1308,2616,0,0,0,0,2274,2616,Withdrawal,Misiones,3334,Beige stripes
122,1/7/2022,7,2022,EF,200000363358866,,,2285,5611,GASA/CORDERITO BED FOOT 2 seats,Natural,2,4376,8752,0,0,0,0,7610,8752,Withdrawal,Misiones,3334,Beige stripes
124,1/7/2022,7,2022,EF,200000363358867,,,2285,5612,Bee/lamb nest foot 2 seats,Natural,3,5897,17691,0,0,0,0,15384,17691,Withdrawal,Misiones,3334,Beige stripes
125,1/7/2022,7,2022,EF,200000363358869,,,2286,5612,Bee/lamb nest foot 2 seats,Silver,2,5897,11794,0,0,0,0,10256,11794,Withdrawal,Misiones,3334,Beige stripes
114,1/7/2022,7,2022,EF,200000363358860,,,2282,3199,FILLING Pillow case 55 * 80,Natural,14,827,11578,0,0,0,0,10066,11578,Withdrawal,Tucumán,4000,In charge
104,1/7/2022,7,2022,EF,200000363358850,,,2278,1124T,2 Squares Tusor,Cigar,1,8973,8973,0,0,0,0,7803,8973,Withdrawal,Tucumán,4000,In stock
105,1/7/2022,7,2022,EF,200000363358852,,,2278,1124T,2 Squares Tusor,Elephant,1,8973,8973,0,0,0,0,7803,8973,Withdrawal,Tucumán,4000,In stock
106,1/7/2022,7,2022,EF,200000363358854,,,2279,1124T,2 Squares Tusor,Hazelnut,1,8973,8973,0,0,0,0,7803,8973,Withdrawal,Tucumán,4000,In stock
108,1/7/2022,7,2022,EF,200000363358855,,,2279,1124T,2 Squares Tusor,Lead,2,8973,17946,0,0,0,0,15606,17946,Withdrawal,Tucumán,4000,In stock
112,1/7/2022,7,2022,EF,200000363358856,,,2280,1134T,2 1/2 Plazas Tusor,Silver,1,11250,11250,0,0,0,0,9783,11250,Withdrawal,Tucumán,4000,In stock
109,1/7/2022,7,2022,EF,200000363358857,,,2280,1124T,2 Squares Tusor,Mallow,1,8973,8973,0,0,0,0,7803,8973,Withdrawal,Tucumán,4000,In stock
113,1/7/2022,7,2022,EF,200000363358858,,,2281,1134T,2 1/2 Plazas Tusor,Elephant,1,11250,11250,0,0,0,0,9783,11250,Withdrawal,Tucumán,4000,In stock
110,1/7/2022,7,2022,EF,200000363358859,,,2281,1134T,2 1/2 Plazas Tusor,Natural,1,11250,11250,0,0,0,0,9783,11250,Withdrawal,Tucumán,4000,In stock
103,1/7/2022,7,2022,EF,200000363358757,,,2242,1124T,2 Squares Tusor,Sand,2,8973,17946,0,0,0,0,15606,17946,Withdrawal,Buenos Aires,1727,Paid
107,1/7/2022,7,2022,EF,200000363358758,,,2242,1124T,2 Squares Tusor,Silver,2,8973,17946,0,0,0,0,15606,17946,Withdrawal,Buenos Aires,1727,Paid
111,1/7/2022,7,2022,EF,200000363358759,,,2243,1134T,2 1/2 Plazas Tusor,Sand,1,11250,11250,0,0,0,0,9783,11250,Withdrawal,Buenos Aires,1727,Paid
119,1/7/2022,7,2022,EF,200000363358761,,,2244,3110T,Case 55 * 80 tusor,Hazelnut,4,1308,5232,0,0,0,0,4548,5232,Withdrawal,Buenos Aires,1727,Paid
123,1/7/2022,7,2022,EF,200000363358762,,,2244,5611,GASA/CORDERITO BED FOOT 2 seats,Silver,1,4376,4376,0,0,0,0,3805,4376,Withdrawal,Buenos Aires,1727,Paid
127,1/7/2022,7,2022,EF,200000363358763,,,2245,5612,Bee/lamb nest foot 2 seats,Hazelnut,1,5897,5897,0,0,0,0,5128,5897,Withdrawal,Buenos Aires,1727,Paid
120,1/7/2022,7,2022,EF,200000363358862,,,2283,3110T,Case 55 * 80 tusor,Moss,2,1308,2616,0,0,0,0,2274,2616,Withdrawal,Santiago del Estero,4200,Paid
126,1/7/2022,7,2022,EF,200000363358871,,,2287,5612,Bee/lamb nest foot 2 seats,#VALUE!,1,5897,5897,0,0,0,0,5128,5897,Withdrawal,Misiones,3334,Relax
128,1/7/2022,7,2022,MP,200000363357922,,,1466,8500,Nordic candle,Natural,2,2290,4580,"831,99","831,99","715,4",0,2344,"3864,6",Particular,Mendoza,5500,Retention imposed by Santa Fe taxes
115,1/7/2022,7,2022,EF,200000363358760,,,2243,3118T,Cover 55 * 80 Tusor Print,Natural,2,1378,2756,0,0,0,0,2396,2756,Withdrawal,Santiago del Estero,4200,World map
116,1/7/2022,7,2022,EF,200000363358861,,,2282,3118T,Cover 55 * 80 Tusor Print,Lead,2,1378,2756,0,0,0,0,2396,2756,Withdrawal,Santiago del Estero,4200,World map
130,2/7/2022,7,2022,MP,200000363357979,,,1468,14124,Nordic case 2 Tusor,Cigar,1,13690,13690,0,"969,99","328,56","1150,5",6975,"11240,95",Particular,Cordoba,2670,Extra by Entre Rios taxes
129,2/7/2022,7,2022,MP,200000363357978,,,1467,8500,Nordic candle,Natural,1,2290,2290,"954,99","954,99","357,7","146,02",1172,"1786,28",Particular,Santa Fe,2206,Iibb withholding of Santa Fe
131,2/7/2022,7,2022,MP,200000363357980,,,1469,1124T,2 Squares Tusor,Sand,1,13690,13690,0,"969,99","328,56",0,7803,"12391,45",Particular,Buenos Aires,1609,Shipping of $ 575.25 x 2 to solve the change
132,2/7/2022,7,2022,MP,200000363357923,,,1470,8500,Nordic candle,Natural,2,2290,4580,"296,99","296,99","715,4",0,2344,"3864,6",Particular,Buenos Aires,1643,Shipping of $ 575.25 x 2 to solve the change
133,3/7/2022,7,2022,MP,200000363357924,,,1471,8500,Nordic candle,Natural,1,2290,2290,"160,63","160,63","357,7",0,1172,"1932,3",Particular,Buenos Aires,1609,Extra by Entre Rios taxes
134,5/7/2022,7,2022,EF,200000363358868,,,2286,1124T,2 Squares Tusor,Natural,1,8973,8973,0,0,0,0,7803,8973,Mail,Misiones,3334,Beige stripes
135,5/7/2022,7,2022,EF,200000363358870,,,2287,1114,1/2 Gabardina/Pique Square,Space,1,6493,6493,0,0,0,0,5646,6493,Mail,Misiones,3334,Beige stripes
136,7/7/2022,7,2022,EF,200000363358872,,,2288,5511,Long hair pillow 50 x 50,Natural,2,3600,7200,0,0,0,0,4230,7200,Mail,Chubut,9001,It is missing
137,11/7/2022,7,2022,MP,200000363357991,,,1472,1124T,2 Squares Tusor,Lead,1,14990,14990,0,"1372,49","359,75","674,55",8583,"12583,21",Particular,Santa Fe,3000,Extra by Santa Fe taxes
138,12/7/2022,7,2022,MP,200000363357992,,,1473,5503,Puff ultra soft Ø 40,Natural,1,6990,6990,0,"779,99","908,7",0,3020,"5301,31",Particular,Caba,1407,"I went to make the change because I was supposedly failed 480 is the parking lot, high anger"
140,14/7/2022,7,2022,MP,200000363357993,,,1474,8500,Nordic candle,Natural,1,2290,2290,0,0,"357,7",0,1213,"1932,3",Particular,Buenos Aires,1669,Extra by Santa Fe taxes
141,14/7/2022,7,2022,MP,200000363357925,,,1475,8500,Nordic candle,Natural,2,2290,4580,0,0,"715,4",0,2426,"3864,6",Particular,Cordoba,5000,"Reason for the extra, retention of Santa Fe"
139,14/7/2022,7,2022,TR,200000363358764,,,1474,8500,Nordic candle,Natural,2,2100,4200,0,0,0,0,2426,4200,Mail,Santiago del Estero,4200,World map
142,15/7/2022,7,2022,MP,200000363357994,,,1476,8500,Nordic candle,Natural,1,1990,1990,0,0,"96,12",0,1213,"1893,88",Particular,Corrientes,3401,Extra by Chaco taxes
