Date,ID,Title,Ad views,Ad skips,Credits," Ad, USD "," Token, USD "," Gross, USD "," Net, USD ", Ad rate ,TOTAL EARNED
11/1/2023,243f8153-c005-4de8-92bf-077665a4430e,Flower Garden at Night,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,d6023e1b-8a68-475a-9528-5e9ca45d1aa7,Mushrooms,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,60e72f7d-dfa0-4698-a64d-80e7a652996e,Fire and Water,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,4291597d-4db1-4e5c-adfb-c7a226ff92b2,Fourth Of July,3,0,0, $ 0.06 , $ -   , $ 0.06 , $ 0.04 , $ 0.02 ,
11/1/2023,7c6474ea-7579-4cb4-b6fc-bbb41052f9e8,Seaturtle,0,0,30, $ -   , $ 0.03 , $ 0.03 , $ 0.02 , $ 0.02 ,
11/1/2023,0fc3bbc9-a76d-4455-b008-2405dd8c8f8f,Kitsune,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/1/2023,2f1d39d4-3718-4a80-ba0b-e31d65443730,Magic Dragon,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,a84b0bd3-a767-44cb-98db-e82bbff1e77f,Dreamcatcher,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,6b6ffe8b-86df-49af-8b51-0c9b3ae16c26,Rose,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,2b003a03-a3e3-44ab-a98d-aee8880ab7bf,Hummingbirds,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,5c529740-6983-4877-8e51-8fac40229714,Skeleton Gnome 2,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,3b84f9dd-cbf9-4a10-a01a-c0178a02b3d7,Bear and Honey,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,b0a67bf1-3961-42f1-a566-a179fe7b52a9,Mushrooms Jungle ,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,0998a882-60e4-49c1-823d-4732e80f1d76,Scavenger  2,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,e8fbb4b1-1d76-40ac-9e13-4c3bf975b5c8,Mushroom Patterns,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/2/2023,05610e05-29d8-45e8-bdd3-57015ffb9319,Red White Blue Paint,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,cac396cd-4e1d-449c-8ce4-b16daf1e0375,Dragon Pup,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,437a98c3-bf9a-43ed-b3a4-7f81332ac11d,Day of the Dead,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,5ff2646b-1988-42c9-b286-f6437a21c68a,Cross,7,9,20, $ 0.33 , $ 0.02 , $ 0.35 , $ 0.24 , $ 0.02 ,
11/2/2023,78462e3c-9ba5-4014-828b-05f5a05ad763,Mushrooms,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,4d3ec1b7-35c6-4e8e-a1d7-b8d244d9c37d,Fantasy Kitty,0,1,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,4c48861d-61ed-4f2f-a8c5-bcd64930bbf1,Skull Tree,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,84682347-f632-4656-8920-81e81a562712,Sunflowers,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,0358b9db-722f-4686-9ca9-12c48c8739ea,Monster Coffee 2,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,0646a9a1-60ef-4a2e-9ef6-7541f7565352,Ozzy Zombie,1,0,10, $ 0.02 , $ 0.01 , $ 0.03 , $ 0.02 , $ 0.02 ,
11/2/2023,01b34d0e-5328-4e8d-957e-9b16865a2b13,Fireworks,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,25328f20-159b-4b38-b321-5b3bf2757163,Flowers and Bubbles,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,412059d4-d377-4c4c-9659-966f989d9b49,Colorful Parrot,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,12c4dab3-3a18-435a-a3cc-eef72e8001b8,Fourth of July,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,6a432ba7-35ff-4a94-8660-6476a72f2090,Swans by the waterfall,0,1,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,2ba923bf-976d-4a90-8d7b-0fa46eae9b60,Crochet Skeleton,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/2/2023,460f242f-ee05-42b4-951f-9510dd6182e5,Alien Mermaid,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/3/2023,3c0de4f7-f400-4cf7-9698-193d329d3ece,Sunflower owl,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,f4939588-3e44-477b-8608-42541a1af615,Owl,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,fd27161e-d8c6-4118-89a3-cca227c0b813,"Nebula, planet, Clouds",1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,2bec3ec8-d331-40d9-9bba-2a12c1d3520a,Line-Art Dragon,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,412059d4-d377-4c4c-9659-966f989d9b49,Colorful Parrot,1,0,10, $ 0.01 , $ 0.01 , $ 0.02 , $ 0.02 , $ 0.02 ,
11/3/2023,73aec196-3b36-4fe1-ab21-73ed39d996fa,Fireworks Show,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,a84b0bd3-a767-44cb-98db-e82bbff1e77f,Dreamcatcher,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,c71fc8a7-b87f-4b27-8716-af03023d066a,Jellyfish city,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,b4f80b6d-784e-4e6b-a120-60a8f51873b0,Alien ,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,e6df21bc-d1b7-4804-8fa0-61faccd11ac9,Tiger Gnomes,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,4c5e8bfb-487a-444e-8444-63cb3a24a712,Opal and Pink Dragon,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,820b9a00-bb5c-4013-8eb4-c77433e9c2d1,Tree Stump House,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/3/2023,44689e41-a414-416a-8efb-c0ec6835ab7c,Flower and Stars,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,1026da8a-531c-4ff1-bf0d-d42af8c75e1f,Wolf,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,8109a287-367c-426f-a74c-1e25c2abe914,Watercolor Windmill,0,1,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,cbcf0cb5-280e-4a67-b176-3d18dafab31f,Rose on a Starry Night,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,cbb4f179-1678-4cbb-9f3d-66f54f2e0604,Dreamcatcher,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,e0df5eac-70b5-4df3-9662-e2468cee4ba4,Willow Tree,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/3/2023,4a019f61-d16b-42ae-bef7-07c0b24d11dd,Axolotl ,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,aa295feb-4b02-4689-b118-0b428f5d053e,Cross,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,a4b5e11a-83b0-434e-9c3f-c1be69c389fc,Gnome in garden,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/3/2023,5ff2646b-1988-42c9-b286-f6437a21c68a,Cross,8,10,0, $ 0.34 , $ -   , $ 0.34 , $ 0.24 , $ 0.02 ,
11/3/2023,fd9b1343-fa18-4b61-af53-123cbc4e5b9e,Magnolia Tree,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,87133b83-5c15-4920-b707-1e1a325bd956,Mermaid,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,a070c49e-44a5-4d9d-a15b-690997839481,Mermaid,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,4291597d-4db1-4e5c-adfb-c7a226ff92b2,Fourth Of July,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,b8f81358-e421-4953-b064-624508fd77a8,Roses at Night,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/3/2023,88a33a89-f289-4d6a-a324-e8fd616ba52a,Black n Yellow Flower,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,0dafa980-07d4-4019-ad72-2648455cf757,"Red, White, Blue Cloud",1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,aa295feb-4b02-4689-b118-0b428f5d053e,Cross,5,0,0, $ 0.09 , $ -   , $ 0.09 , $ 0.06 , $ 0.02 ,
11/4/2023,fa9a1b79-4c63-4a90-a750-4fe4b094b8b2,Cross,2,1,0, $ 0.05 , $ -   , $ 0.05 , $ 0.04 , $ 0.02 ,
11/4/2023,e0df5eac-70b5-4df3-9662-e2468cee4ba4,Willow Tree,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,0e9e15d8-1007-4701-a0dc-3a9aea4c4cbe,Cute Tiger,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,1f4b3d78-0ebd-4d13-85f3-024f082565c8,Rose,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/4/2023,5ff2646b-1988-42c9-b286-f6437a21c68a,Cross,10,7,20, $ 0.32 , $ 0.02 , $ 0.34 , $ 0.24 , $ 0.02 ,
11/4/2023,0646a9a1-60ef-4a2e-9ef6-7541f7565352,Ozzy Zombie,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,0c94ddd9-b52f-49b3-8dfb-5206e899c074,Mandala-Flowers,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/4/2023,804b3109-4104-48cf-94ac-6c7fd6132597,Black Dreamcatcher,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,8ff3e5bc-4e32-4ad9-9065-49b247fcfda3,Skeleton  Warrior,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,84a7ac91-fd67-4a88-b703-5c084bde7077,Colorful Animal,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,412059d4-d377-4c4c-9659-966f989d9b49,Colorful Parrot,0,1,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,78462e3c-9ba5-4014-828b-05f5a05ad763,Mushrooms,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,373ae8ba-907d-410d-a2bb-09b59c4d8877,Fountain in the city,0,0,50, $ -   , $ 0.05 , $ 0.05 , $ 0.03 , $ 0.02 ,
11/4/2023,fd27161e-d8c6-4118-89a3-cca227c0b813,"Nebula, planet, Clouds",1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,4c5e8bfb-487a-444e-8444-63cb3a24a712,Opal and Pink Dragon,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,b355bfd2-8c0b-47fe-b036-f2be4dead711,Rose Splash,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/4/2023,42fc353d-fa26-4bcf-98c2-6e2ec2f39ef2,Lady and Creature ,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,6ab3ae1b-ce23-450c-8270-b3912bfefaf9,Waterbender,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/5/2023,0e4ef1c2-ef22-462c-a799-b95ab6a069d8,Poster Art,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/5/2023,5ff2646b-1988-42c9-b286-f6437a21c68a,Cross,3,3,0, $ 0.11 , $ -   , $ 0.11 , $ 0.08 , $ 0.02 ,
11/5/2023,fa9a1b79-4c63-4a90-a750-4fe4b094b8b2,Cross,1,1,0, $ 0.03 , $ -   , $ 0.03 , $ 0.02 , $ 0.02 ,
11/5/2023,41e946e2-473a-4b50-862f-049ef2fc8ec4,Smoke Flower,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,b8f81358-e421-4953-b064-624508fd77a8,Roses at Night,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,ce6ae690-7cf1-4ac6-8426-dfb97e622b27,Rose,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,aa295feb-4b02-4689-b118-0b428f5d053e,Cross,6,2,10, $ 0.15 , $ 0.01 , $ 0.16 , $ 0.11 , $ 0.02 ,
11/5/2023,412059d4-d377-4c4c-9659-966f989d9b49,Colorful Parrot,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,8faae06f-12d3-411f-9852-0fb768bffd57,Rose lantern,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,f21892d6-ca5d-4f07-92f2-f32db655de97,Peace 2,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,17e43803-ff65-49e7-8d5e-dcd3f816d820,Wolf and Subaru WRX,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/5/2023,d6023e1b-8a68-475a-9528-5e9ca45d1aa7,Mushrooms,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,6c26c37e-f11a-43a3-aa7b-e49e734e01b3,Seaturtle,0,1,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,afc284aa-b620-4b0e-b053-ff778300d27a,Subaru-WRX,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/5/2023,bd96a9cd-3bce-4461-b813-a2b1ab843f4a,Sunflower Inkblot,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/5/2023,4940ec19-1c3b-4009-b9fd-f5a83c32881c,Candle Car,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/5/2023,540ecedb-3b7a-424b-8e88-d17c80795f4f,Cherry Blossom Trees,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,7cf75a4c-5dc0-4a29-a173-539066fb2d8c,Dreamy Lineart,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,e0df5eac-70b5-4df3-9662-e2468cee4ba4,Willow Tree,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,f45c6bb3-cba1-445b-b44c-b7b101276a5c,Paint Splat Flower,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,84a7ac91-fd67-4a88-b703-5c084bde7077,Colorful Animal,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/5/2023,dcfdfde9-4aaf-4d4d-8707-2f9853a22f51,Mushrooms,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/5/2023,475d7b94-d380-4341-8e8f-c2ef9492d65f,Fluffy Dragon Cub,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,cbb4f179-1678-4cbb-9f3d-66f54f2e0604,Dreamcatcher,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,0d96e038-b372-4930-8f31-1c6d9082e5d3,Black Dreamcatcher,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/6/2023,cde1a9c8-ccaf-4ced-886a-459ef5a07f17,Colorful Cow,0,1,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,fa9a1b79-4c63-4a90-a750-4fe4b094b8b2,Cross,1,1,0, $ 0.03 , $ -   , $ 0.03 , $ 0.02 , $ 0.02 ,
11/6/2023,ce6ae690-7cf1-4ac6-8426-dfb97e622b27,Rose,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,3e5b24f8-a338-4702-b6e1-fbc6d5055317,Lava Wax Liquid 2,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,804b3109-4104-48cf-94ac-6c7fd6132597,Black Dreamcatcher,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/6/2023,5ff2646b-1988-42c9-b286-f6437a21c68a,Cross,6,1,0, $ 0.13 , $ -   , $ 0.13 , $ 0.09 , $ 0.02 ,
11/6/2023,f7974532-31db-4098-8595-f767e41d979b,Dreamcatcher,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/6/2023,b355bfd2-8c0b-47fe-b036-f2be4dead711,Rose Splash,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,aa295feb-4b02-4689-b118-0b428f5d053e,Cross,2,2,0, $ 0.07 , $ -   , $ 0.07 , $ 0.05 , $ 0.02 ,
11/6/2023,4940ec19-1c3b-4009-b9fd-f5a83c32881c,Candle Car,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,913060dc-9235-45ef-8828-95db00cc180e,Skull,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/6/2023,e6ade520-420e-4f0b-bbad-469b36a00c71,Glowing Mushroom House,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,cc98a703-046d-431d-a91b-a79f0f0b1b01,Paint Splat Rose,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,e161a627-ba7a-4129-bd55-f2a73ea7190f,Cupcakes and Flowers,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/6/2023,07d5ccd6-d38a-49c8-9466-e6d827b52934,Neon Wolf,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/6/2023,25328f20-159b-4b38-b321-5b3bf2757163,Flowers and Bubbles,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,78f604c5-c522-48f7-af71-2d4a6f484676,Cat Wizard,0,0,100, $ -   , $ 0.10 , $ 0.10 , $ 0.07 , $ 0.02 ,
11/6/2023,f45c6bb3-cba1-445b-b44c-b7b101276a5c,Paint Splat Flower,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/6/2023,afc284aa-b620-4b0e-b053-ff778300d27a,Subaru-WRX,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,8faae06f-12d3-411f-9852-0fb768bffd57,Rose lantern,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,540ecedb-3b7a-424b-8e88-d17c80795f4f,Cherry Blossom Trees,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,7ddbe2ab-a137-4713-86dc-70fe36879a1b,Subaru Wrx,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/6/2023,19196453-63c8-4a06-ac9b-35aa6a696bb8,Pink Dreamcatcher,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/7/2023,aa295feb-4b02-4689-b118-0b428f5d053e,Cross,5,4,0, $ 0.16 , $ -   , $ 0.16 , $ 0.11 , $ 0.02 ,
11/7/2023,5ff2646b-1988-42c9-b286-f6437a21c68a,Cross,4,4,20, $ 0.14 , $ 0.02 , $ 0.16 , $ 0.11 , $ 0.02 ,
11/7/2023,eb92e1b5-4e3f-403d-928d-8a8e84411c25,Phoenix ,0,1,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/7/2023,d6023e1b-8a68-475a-9528-5e9ca45d1aa7,Mushrooms,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/7/2023,37e84426-6e2a-4545-a698-1e46e2e905b2,Rainbow Rose,0,0,40, $ -   , $ 0.04 , $ 0.04 , $ 0.02 , $ 0.02 ,
11/7/2023,a6a9e15a-43f0-49b1-bea8-3da6fe48f1d6,Skulls,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/7/2023,44689e41-a414-416a-8efb-c0ec6835ab7c,Flower and Stars,1,0,10, $ 0.01 , $ 0.01 , $ 0.02 , $ 0.01 , $ 0.02 ,
11/7/2023,4ca2f1bd-b6ea-4b65-a1db-631a52e2b675,Fashionable Woman,0,1,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/7/2023,cdfab333-7e15-4c9f-b3e0-3e91ec8ae68f,Parrot,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/7/2023,cbb4f179-1678-4cbb-9f3d-66f54f2e0604,Dreamcatcher,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/7/2023,cdaf66c4-34f4-4fcf-9053-74b8e0e893f7,Rose,0,0,40, $ -   , $ 0.04 , $ 0.04 , $ 0.02 , $ 0.02 ,
11/7/2023,437a98c3-bf9a-43ed-b3a4-7f81332ac11d,Day of the Dead,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/7/2023,e8062edd-ec65-4649-8ef0-4def95d35505,Skeleton Gnome,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/7/2023,5082acc0-873b-4035-aa78-0ff502979aa8,Halloween Tiger,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/7/2023,da131f4a-c676-46c0-a108-c581321fe9f1,Blacklight Cross,0,1,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/7/2023,b8f81358-e421-4953-b064-624508fd77a8,Roses at Night,2,1,0, $ 0.05 , $ -   , $ 0.05 , $ 0.03 , $ 0.02 ,
11/7/2023,dba3e4a9-36ec-4593-9691-545351200e3f,Blue Eyed Tiger,0,1,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
11/7/2023,e21fec76-8847-4e92-8ee5-8763bf664e82,Dragon and waterfall,1,0,0, $ 0.01 , $ -   , $ 0.01 , $ 0.01 , $ 0.02 ,
