Lot expenses - La Francisca neighborhood.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LOT NUMBER,CODE,PH,AREA M2,% FROM TOTAL,% FROM LOTS,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
EX 7,1 (FR.II),B,326.19,0.903%,1.271%,$ 227.60,$ 185.75,$ 155.02,$ 158.28,$ 170.37,$ 166.97,$ 185.48,$ 334.80,$ 344.79,$ 379.73,$ 238.72,$ 216.28
EX 7,1 (FR.II),C,325.18,0.900%,1.267%,$ 226.89,$ 185.18,$ 154.54,$ 157.79,$ 169.84,$ 166.46,$ 184.90,$ 333.76,$ 343.72,$ 378.56,$ 237.98,$ 215.61
EX 7,1 (FR.II),D,300.76,0.833%,1.172%,$ 209.86,$ 171.27,$ 142.94,$ 145.94,$ 157.08,$ 153.96,$ 171.02,$ 308.70,$ 317.91,$ 350.13,$ 220.11,$ 199.42
EX 7,1 (FR.II),E,300.29,0.831%,1.170%,$ 209.53,$ 171.00,$ 142.71,$ 145.72,$ 156.84,$ 153.72,$ 170.75,$ 308.22,$ 317.41,$ 349.58,$ 219.77,$ 199.11
EX 8,5 (FR.II),A,403.06,1.116%,1.570%,$ 281.23,$ 229.52,$ 191.55,$ 195.59,$ 210.51,$ 206.32,$ 229.19,$ 413.70,$ 426.04,$ 469.22,$ 294.98,$ 267.25
EX 8,5 (FR.II),B,528.82,1.464%,2.060%,$ 368.98,$ 301.14,$ 251.32,$ 256.61,$ 276.20,$ 270.70,$ 300.70,$ 542.78,$ 558.97,$ 615.62,$ 387.02,$ 350.63
EX 8,5 (FR.II),C,589.04,1.631%,2.295%,$ 411.00,$ 335.43,$ 279.94,$ 285.83,$ 307.65,$ 301.53,$ 334.94,$ 604.59,$ 622.63,$ 685.73,$ 431.09,$ 390.56
EX 8,5 (FR.II),D,393.40,1.089%,1.533%,$ 274.49,$ 224.02,$ 186.96,$ 190.90,$ 205.47,$ 201.38,$ 223.70,$ 403.78,$ 415.83,$ 457.97,$ 287.91,$ 260.84
EX 8,5 (FR.II),Common space,1364.63,3.778%,0.000%,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00
EX 9,6 (FR.II),A,435.66,1.206%,1.697%,$ 303.98,$ 248.09,$ 207.05,$ 211.41,$ 227.54,$ 223.01,$ 247.73,$ 447.16,$ 460.50,$ 507.17,$ 318.84,$ 288.86
EX 9,6 (FR.II),B,485.04,1.343%,1.890%,$ 338.44,$ 276.21,$ 230.52,$ 235.37,$ 253.33,$ 248.29,$ 275.80,$ 497.84,$ 512.70,$ 564.66,$ 354.98,$ 321.61
EX 9,6 (FR.II),C,458.05,1.268%,1.785%,$ 319.60,$ 260.84,$ 217.69,$ 222.27,$ 239.23,$ 234.47,$ 260.46,$ 470.14,$ 484.17,$ 533.24,$ 335.23,$ 303.71
EX 9,6 (FR.II),D,454.25,1.258%,1.770%,$ 316.95,$ 258.68,$ 215.88,$ 220.43,$ 237.25,$ 232.53,$ 258.30,$ 466.24,$ 480.15,$ 528.81,$ 332.45,$ 301.19
EX 10,7 (FR.II),A,794.63,2.200%,3.096%,$ 554.45,$ 452.51,$ 377.65,$ 385.60,$ 415.03,$ 406.77,$ 451.84,$ 815.61,$ 839.94,$ 925.06,$ 581.55,$ 526.88
EX 10,7 (FR.II),B,482.81,1.337%,1.881%,$ 336.88,$ 274.94,$ 229.46,$ 234.28,$ 252.17,$ 247.15,$ 274.54,$ 495.55,$ 510.34,$ 562.06,$ 353.35,$ 320.13
EX 10,7 (FR.II),C,472.61,1.309%,1.841%,$ 329.76,$ 269.13,$ 224.61,$ 229.34,$ 246.84,$ 241.93,$ 268.74,$ 485.09,$ 499.56,$ 550.19,$ 345.88,$ 313.36
EX 10,7 (FR.II),D,440.34,1.219%,1.716%,$ 307.25,$ 250.75,$ 209.27,$ 213.68,$ 229.98,$ 225.41,$ 250.39,$ 451.96,$ 465.45,$ 512.62,$ 322.27,$ 291.97
EX 11,8 (FR.II),A,672.24,1.861%,2.619%,$ 469.05,$ 382.81,$ 319.48,$ 326.21,$ 351.10,$ 344.12,$ 382.25,$ 689.98,$ 710.57,$ 782.58,$ 491.98,$ 445.73
EX 11,8 (FR.II),B,373.99,1.036%,1.457%,$ 260.95,$ 212.97,$ 177.74,$ 181.48,$ 195.33,$ 191.44,$ 212.66,$ 383.86,$ 395.31,$ 435.38,$ 273.71,$ 247.97
EX 11,8 (FR.II),C,378.01,1.047%,1.473%,$ 263.76,$ 215.26,$ 179.65,$ 183.43,$ 197.43,$ 193.50,$ 214.94,$ 387.99,$ 399.56,$ 440.06,$ 276.65,$ 250.64
EX 11,8 (FR.II),D,376.96,1.044%,1.469%,$ 263.02,$ 214.66,$ 179.15,$ 182.92,$ 196.88,$ 192.96,$ 214.35,$ 386.91,$ 398.45,$ 438.84,$ 275.88,$ 249.94
EX 13,15 (MZ.21),A,506.38,1.402%,1.973%,$ 353.33,$ 288.36,$ 240.66,$ 245.72,$ 264.48,$ 259.21,$ 287.94,$ 519.75,$ 535.25,$ 589.50,$ 370.60,$ 335.75
EX 13,15 (MZ.21),B,506.38,1.402%,1.973%,$ 353.33,$ 288.36,$ 240.66,$ 245.72,$ 264.48,$ 259.21,$ 287.94,$ 519.75,$ 535.25,$ 589.50,$ 370.60,$ 335.75
EX 14,14 (MZ.21),A,428.66,1.187%,1.670%,$ 299.10,$ 244.10,$ 203.72,$ 208.01,$ 223.88,$ 219.43,$ 243.75,$ 439.98,$ 453.10,$ 499.02,$ 313.72,$ 284.22
EX 14,14 (MZ.21),B,429.04,1.188%,1.672%,$ 299.36,$ 244.32,$ 203.90,$ 208.19,$ 224.08,$ 219.62,$ 243.96,$ 440.37,$ 453.50,$ 499.46,$ 314.00,$ 284.47
EX 14,14 (MZ.21),C,429.41,1.189%,1.673%,$ 299.62,$ 244.53,$ 204.08,$ 208.37,$ 224.28,$ 219.81,$ 244.17,$ 440.74,$ 453.89,$ 499.90,$ 314.27,$ 284.72
