Seller,ORDERDATE,%Delivery effectiveness,Rejected Boxes,%Break,Breaks,WEIGHTXBOX,UNITWEIGHT,SALESBOXES,ASSIGNEDBOXES,SHIPPEDBOXES,ORDEREDBOXES
660,6/5/2023,1.87%,16.8075,3.05%,28.2375,7254.182,922,880.6275,897.435,897.435,925.6725
687,6/5/2023,0.27%,1.5,3.66%,20.7825,5264.539,686,546.0975,547.5975,547.5975,568.38
708,6/5/2023,0.96%,9.93,0.79%,8.25,7862.9292,1034,1025.4675,1035.3975,1035.3975,1043.6475
712,6/5/2023,4.59%,49.6275,5.55%,63.495,7274.226,946,1030.53,1080.1575,1080.1575,1143.6525
715,6/5/2023,3.85%,49.5,3.01%,39.8775,8975.439,1176,1234.5825,1284.0825,1284.0825,1323.96
719,6/5/2023,1.38%,18.7125,2.16%,30,5955.9152,813,1337.2125,1355.925,1355.925,1385.925
721,6/5/2023,0.00%,0,2.19%,16.6875,5939.062,787,744.735,744.735,744.735,761.4225
724,6/5/2023,0.47%,4.0575,2.03%,17.76,7074.027,907,852.1275,856.185,856.185,873.945
725,6/5/2023,4.21%,42.8325,0.38%,3.8625,7777.945,1040,973.9275,1016.76,1016.76,1020.6225
728,6/5/2023,1.14%,11.5575,1.97%,20.3025,7845.97,1032,1001.3175,1012.875,1012.875,1033.1775
729,6/5/2023,2.74%,27,2.52%,25.4625,7052.2712,926,956.7975,983.7975,983.7975,1009.26
730,6/5/2023,2.65%,29.925,2.00%,23.025,8219.0312,1065,1097.6325,1127.5575,1127.5575,1150.5825
731,6/5/2023,0.92%,15.2475,3.75%,64.8975,8163.5372,1102,1649.6475,1664.895,1664.895,1729.7925
735,6/5/2023,3.17%,37.875,5.86%,74.3925,7977.609,1094,1156.9125,1194.7875,1194.7875,1269.18
736,6/5/2023,1.26%,19.6125,1.05%,16.5,9076.852,1209,1537.755,1557.3675,1557.3675,1573.8675
738,6/5/2023,4.08%,60.555,4.95%,77.4075,10870.3402,1434,1422.855,1485.66,1483.41,1563.0675
745,6/5/2023,0.62%,6.7275,3.37%,38.0025,7993.98,1077,1084.005,1090.7325,1090.7325,1128.735
747,6/5/2023,0.75%,7.005,2.13%,20.385,7223.086,940,931.68,938.685,938.685,959.07
750,6/5/2023,0.70%,6.075,2.48%,21.975,7290.743,910,858.945,865.02,865.02,886.995
754,6/5/2023,2.13%,22.3575,2.79%,30.075,8195.2232,1077,1025.43,1047.7875,1047.7875,1077.8625
756,6/5/2023,3.29%,29.655,0.99%,9,6866.159,849,871.3125,900.9675,900.9675,909.9675
762,6/5/2023,0.00%,0,2.19%,19.5975,6184.492,821,875.37,875.37,875.37,894.9675
765,6/5/2023,0.42%,5.4375,2.13%,28.1325,7646.197,965,1286.9475,1292.385,1292.385,1320.5175
767,6/5/2023,-0.03%,-0.3,1.78%,17.04,6444.435,872,942.7275,942.4275,942.4275,959.4675
770,6/5/2023,2.25%,17.1675,0.92%,7.1175,6511.445,805,746.8275,763.995,763.995,771.1125
774,6/5/2023,4.34%,46.335,0.43%,4.6575,8573.518,1114,1021.005,1067.34,1067.34,1071.9975
775,6/5/2023,1.31%,14.8125,0.33%,3.75,8371.965,1089,1116.705,1131.5175,1131.5175,1135.2675
776,6/5/2023,2.68%,24.93,1.80%,17.025,7456.872,951,905.085,930.015,930.015,947.04
780,6/3/2023,6.99%,63.4725,1.67%,15.45,5333.7372,676,844.3125,907.785,907.785,923.235
781,6/5/2023,2.16%,21,1.52%,15,6196.73,829,949.575,970.575,970.575,985.575
782,6/5/2023,1.30%,13.905,1.81%,19.7175,7415.8732,961,1058.4375,1072.3425,1072.3425,1092.06
783,6/5/2023,0.96%,7.68,0.48%,3.8625,7076.602,910,789.24,796.92,796.92,800.7825
785,6/5/2023,3.94%,36.9525,0.67%,6.315,8193.456,1002,900.84,937.7925,937.7925,944.1075
786,6/5/2023,0.44%,3.75,1.31%,11.3625,5690.214,692,851.835,855.585,855.585,866.9475
788,6/5/2023,1.57%,11.4975,0.51%,3.75,6671.8212,811,720.03,731.5275,731.5275,735.2775
789,6/5/2023,0.64%,5.4,4.42%,39.2625,7515.0842,973,844.0425,849.4425,849.4425,888.705
790,6/5/2023,2.22%,30.6975,0.32%,4.5,10069.615,1283,1350.1725,1380.87,1380.87,1385.37
796,6/3/2023,4.33%,43.62,2.72%,28.125,6944.1612,925,963.99,1007.61,1007.61,1035.735
800,6/5/2023,0.41%,5.3775,3.85%,52.1475,9119.934,1185,1298.2725,1303.65,1303.65,1355.7975
801,6/5/2023,3.46%,22.6275,1.27%,8.4075,5455.6902,718,631.4175,654.045,654.045,662.4525
802,6/5/2023,5.70%,45.1425,2.21%,17.925,6545.316,871,746.9325,792.075,792.075,810
804,6/5/2023,0.94%,8.5575,2.00%,18.6375,7062.378,913,905.9925,914.55,914.55,933.1875
805,6/5/2023,2.99%,29.0775,1.00%,9.8625,7515.994,1014,943.35,972.4275,972.4275,982.29
807,6/5/2023,1.49%,17.6625,1.90%,22.8825,8925.3762,1175,1166.8875,1184.55,1184.55,1207.4325
809,6/5/2023,0.72%,8.55,1.41%,16.8825,8429.947,1111,1175.19,1183.74,1183.74,1200.6225
810,6/5/2023,2.04%,15.18,0.30%,2.25,5905.307,776,729.585,744.765,744.765,747.015
812,6/5/2023,2.83%,30.105,2.42%,26.37,8800.207,1128,1034.0475,1064.1525,1064.1525,1090.5225
815,6/5/2023,2.25%,32.5575,2.14%,31.5525,9479.866,1270,1411.62,1444.1775,1444.1775,1475.73
817,6/5/2023,-0.31%,-2.25,0.20%,1.5,6492.989,848,735.7725,733.5225,733.5225,735.0225
818,6/5/2023,1.44%,15.8775,0.82%,9.075,8530.92,1085,1085.7375,1101.615,1101.615,1110.69
819,6/5/2023,2.28%,20.0775,2.79%,25.26,7291.6328,902,858.9525,879.03,879.03,904.29
820,6/5/2023,0.87%,6.75,5.29%,43.5225,7195.256,916,772.3575,779.1075,779.1075,822.63
823,6/5/2023,0.98%,8.715,0.42%,3.75,6652.8822,856,876.195,884.91,884.91,888.66
824,6/5/2023,2.71%,27.66,4.05%,43.125,8632.7002,1103,994.2075,1021.8675,1021.8675,1064.9925
826,6/5/2023,3.54%,42.9825,0.06%,0.7875,9122.9066,1195,1172.91,1215.8925,1215.8925,1216.68
830,6/5/2023,1.27%,15.645,1.59%,19.8825,7942.554,1027,1215.57,1231.215,1231.215,1251.0975
833,6/5/2023,4.38%,37.2525,4.17%,37.05,7479.781,1004,813.6,850.8525,850.8525,887.9025
834,6/3/2023,-0.49%,-3.6,2.21%,16.5,6486.286,822,734.07,730.47,730.47,746.97
836,6/5/2023,0.92%,9.105,6.06%,63.8625,7846.939,1028,980.6175,989.7225,989.7225,1053.585
837,6/5/2023,0.40%,3.105,0.69%,5.3775,7185.976,917,766.8075,769.9125,769.9125,775.29
839,6/5/2023,0.24%,2.3475,1.52%,14.835,6670.1232,896,960.4875,962.835,962.835,977.67
845,6/5/2023,4.04%,30.03,4.32%,33.5625,7033.164,909,712.8375,742.8675,742.8675,776.43
856,6/5/2023,2.13%,30.0975,3.61%,52.875,9793.1262,1281,1380.0375,1410.135,1410.135,1463.01
860,6/5/2023,0.00%,0,6.97%,12.6075,1583.036,206,168.1875,168.1875,168.1875,180.795
861,6/5/2023,1.46%,13.4025,3.95%,37.65,8553.3312,1115,902.31,915.7125,915.7125,953.3625
862,6/5/2023,0.76%,11.43,1.64%,25.035,8978.984,1246,1494.4275,1505.8575,1505.8575,1530.8925
864,6/5/2023,0.61%,4.6275,3.26%,25.5,7031.0562,890,753.1125,757.74,757.74,783.24
868,6/3/2023,0.88%,7.5,2.64%,23.25,5239.241,675,849.54,857.04,857.04,880.29
871,6/5/2023,0.54%,9.5625,1.79%,32.3025,8505.2292,1146,1760.4075,1769.97,1769.97,1802.2725
872,6/5/2023,0.77%,16.725,1.69%,37.5,7650.288,1052,2165.3775,2182.1025,2182.1025,2219.6025
877,6/5/2023,0.60%,6.06,5.65%,60.57,8411.693,1126,1005.2475,1011.3075,1011.3075,1071.8775
881,6/5/2023,1.98%,15.8025,4.95%,41.7,6897.643,925,784.275,800.0775,800.0775,841.7775
883,6/5/2023,2.24%,19.3575,2.95%,26.325,7484.4534,957,845.235,864.5925,864.5925,890.9175
891,6/5/2023,0.01%,0.1275,4.10%,41.31,6787.142,865,965.0475,965.175,965.175,1006.485
893,6/5/2023,0.75%,9.255,1.33%,16.62,8826.977,1197,1225.2975,1234.5525,1234.5525,1251.1725
903,6/5/2023,1.59%,15.255,4.97%,50.25,8498.9964,1083,944.7975,960.0525,960.0525,1010.3025
906,6/5/2023,0.84%,15.8775,2.04%,39.09,11641.201,1588,1865.3175,1881.195,1881.195,1920.285
926,6/5/2023,0.63%,5.3025,2.85%,24.75,6902.147,935,836.955,842.2575,842.2575,867.0075
929,6/5/2023,0.56%,3.75,2.23%,15.1875,6189.73,789,661.335,665.085,665.085,680.2725
931,6/5/2023,1.80%,23.5575,8.92%,128.4825,10192.21,1357,1288.5,1312.0575,1312.0575,1440.54
56885,6/5/2023,0.09%,0.75,0.00%,0,1701.437,187,811.5,891,812.25,891
136357,6/5/2023,0.00%,0,0.00%,0,24.16,2,1.6275,1.6275,1.6275,1.6275
136367,6/5/2023,1.81%,44.25,0.43%,10.6725,5828.586,897,2398.9125,2443.1625,2443.1625,2453.835
136377,6/5/2023,0.00%,0,0.00%,0,966.493,161,26559,26559,26559,26559
136388,6/5/2023,10.52%,75.165,2.37%,17.3475,5456.574,852,639,714.165,714.165,731.5125
136394,6/5/2023,2.49%,48.12,0.75%,15,5409.83,750,1887.6075,1988.2275,1935.7275,2003.2275
136434,6/5/2023,9.86%,73.1625,0.74%,5.55,4784.605,750,668.985,746.0925,742.1475,751.6425
136435,6/5/2023,5.32%,28.8675,0.97%,5.2875,3303.537,565,513.3975,542.265,542.265,547.5525
136440,6/5/2023,10.21%,38.4975,4.37%,17.3475,2757.469,443,338.6325,379.4775,377.13,396.825
136449,6/5/2023,2.37%,10.995,4.28%,20.7525,3008.668,489,452.7075,463.7025,463.7025,484.455
136458,6/5/2023,4.37%,39.45,1.95%,18,4116.3002,647,863.3625,902.8125,902.8125,920.8125
137296,6/5/2023,6.21%,56.4,3.45%,33,6512.683,893,852.5325,922.485,908.9325,955.485
139216,6/5/2023,4.56%,28.14,11.71%,81.8325,4660.51,688,588.7575,616.8975,616.8975,698.73
151282,6/5/2023,3.77%,22.4025,3.19%,19.6125,3416.122,591,572.4,594.8025,594.8025,614.415
151283,6/5/2023,0.50%,3.495,11.85%,95.25,614.812,115,696.81,708.6525,700.305,803.9025
153743,6/5/2023,8.30%,90.8925,6.60%,78.18,6314.843,881,1004.22,1106.3625,1095.1125,1184.5425
155008,6/5/2023,9.68%,58.545,2.95%,18.75,2874.012,443,546.18,616.7775,604.725,635.5275
157738,6/5/2023,2.26%,16.695,5.31%,41.385,3870.438,582,721.77,738.465,738.465,779.85
158527,6/5/2023,0.25%,3,0.13%,1.5375,5376.9172,826,1215.99,1218.99,1218.99,1220.5275
160768,6/5/2023,9.86%,50.8725,7.98%,44.745,3923.664,592,464.9625,515.835,515.835,560.58
161313,6/5/2023,1.14%,9.8475,8.52%,80.7375,5869.98,895,857.4675,867.315,867.315,948.0525
163922,6/5/2023,2.97%,24.15,9.57%,87,964.752,172,788.8575,822.0075,813.0075,909.0075
167769,6/5/2023,16.44%,91.935,1.32%,7.5,3357.425,506,467.19,559.125,559.125,566.625
167770,6/5/2023,7.49%,66.5625,6.83%,65.175,5425.935,832,822.48,889.0425,889.0425,954.2175
172825,6/5/2023,4.72%,28.8375,4.12%,26.25,4110.415,616,581.6025,611.19,610.44,637.44
174138,6/5/2023,9.64%,40.935,21.96%,119.7225,4175.514,637,383.6775,425.3625,424.6125,545.085
174139,6/5/2023,4.69%,29.34,0.88%,5.565,3988.6492,650,595.7475,625.0875,625.0875,630.6525
177237,6/5/2023,3.23%,23.895,4.45%,34.5,4958.7604,788,716.88,740.775,740.775,775.275
177247,6/5/2023,0.61%,11.505,1.13%,21.375,4200.337,673,1861.5375,1873.0425,1873.0425,1894.4175
177369,6/5/2023,8.00%,56.0925,1.72%,12.255,6306.041,766,645.36,701.4525,701.4525,713.7075
178279,6/5/2023,7.97%,68.2125,1.20%,10.5,6192.456,838,787.5975,867.81,855.81,878.31
182549,6/5/2023,5.93%,43.0125,2.43%,18.0975,4475.036,694,682.5825,725.595,725.595,743.6925
186478,6/5/2023,3.15%,15.825,0.81%,4.125,3810.823,603,486.5325,502.3575,502.3575,506.4825
186501,6/5/2023,2.74%,21.0975,0.19%,1.5,3344.949,497,749.5575,776.7075,770.655,778.2075
186502,6/5/2023,4.06%,48,1.79%,21.75,6389.521,893,1135.4025,1194.6525,1183.4025,1216.4025
197640,6/5/2023,5.64%,32.19,2.69%,15.75,4161.52,669,538.3575,570.5475,570.5475,586.2975
209420,6/5/2023,5.47%,30.8475,11.10%,70.365,4025.3742,611,532.95,563.7975,563.7975,634.1625
209429,6/5/2023,8.71%,42.645,1.21%,6,3753.523,579,446.955,489.6,489.6,495.6
209439,6/5/2023,5.91%,27.4425,0.95%,4.5,3033.87,456,437.07,471.315,464.5125,475.815
209441,6/5/2023,2.27%,19.1475,13.38%,131.0925,5978.824,779,822.75,848.6475,841.8975,979.74
221320,6/5/2023,1.95%,12.9525,2.79%,19.065,5605.89,735,650.4825,663.435,663.435,682.5
221321,6/5/2023,1.36%,9.0525,5.86%,41.505,5192.191,674,658.2825,667.335,667.335,708.84
221325,6/5/2023,5.77%,33.6675,6.71%,41.9775,4080.938,606,549.6375,583.305,583.305,625.2825
221329,6/5/2023,1.46%,9.1875,2.90%,18.75,5481.838,788,618.42,627.6075,627.6075,646.3575
221331,6/5/2023,2.20%,14.2575,7.17%,50.1375,4503.3092,638,634.62,648.8775,648.8775,699.015
221333,6/5/2023,1.03%,7.3275,4.86%,36.465,6722.659,865,706.2975,713.625,713.625,750.09
221335,6/5/2023,0.77%,6.825,6.50%,61.8225,5400.658,751,881.805,888.63,888.63,950.4525
222937,6/5/2023,3.20%,12.8475,7.63%,33.2025,3750.338,518,388.89,401.7375,401.7375,434.94
224414,6/5/2023,0.80%,16.08,0.07%,1.5,3739.496,578,2003.685,2019.765,2019.765,2021.265
225903,6/5/2023,0.45%,8.1975,1.58%,29.0325,4426.942,641,1795.0875,1803.285,1803.285,1832.3175
226784,6/5/2023,2.36%,7.5,2.55%,8.325,817.453,180,310.05,317.55,317.55,325.875
227841,6/5/2023,2.19%,56.19,0.14%,3.75,1279.798,188,2510.2575,2605.4475,2566.4475,2609.1975
228389,6/5/2023,6.54%,34.05,3.42%,18.75,3756.268,531,486.27,530.07,520.32,548.82
231228,6/5/2023,12.84%,61.635,1.19%,6,3457.07,512,418.3425,497.3325,479.9775,503.3325
232478,6/5/2023,26.59%,97.995,3.30%,12.75,2857.143,446,270.525,373.77,368.52,386.52
232525,6/5/2023,1.19%,6,4.73%,25.065,4624.558,625,499.35,505.35,505.35,530.415
234611,6/5/2023,7.76%,56.6775,1.79%,13.59,6555.265,884,673.3725,747.5925,730.05,761.1825
234614,6/5/2023,10.85%,71.685,0.44%,3,5240.57,692,589.1625,672.8475,660.8475,675.8475
234617,6/5/2023,0.26%,2.25,1.80%,15.9,7066.152,870,865.4925,867.7425,867.7425,883.6425
234618,6/5/2023,2.88%,32.6025,0.26%,3,9101.0162,1114,1098.06,1130.6625,1130.6625,1133.6625
234619,6/5/2023,2.28%,13.0875,1.60%,9.3375,5458.501,667,560.2575,573.345,573.345,582.6825
234620,6/5/2023,2.46%,21.15,1.13%,9.87,6901.779,846,839.58,860.73,860.73,870.6
234621,6/5/2023,1.07%,9.81,1.61%,15.06,7979.318,956,909.525,919.335,919.335,934.395
234623,6/5/2023,4.67%,26.5875,2.16%,12.6,5655.786,681,543.345,569.9325,569.9325,582.5325
234624,6/5/2023,3.22%,20.2875,0.95%,6.0375,6191.718,728,609.585,629.8725,629.8725,635.91
234625,6/5/2023,4.98%,30.48,0.86%,5.31,6012.068,700,581.2275,611.7075,611.7075,617.0175
234626,6/5/2023,5.57%,40.5075,1.04%,7.6125,6931.986,835,686.2575,726.765,726.765,734.3775
234654,6/5/2023,0.92%,6.75,8.03%,64.59,5219.15,727,726.6225,739.3725,733.3725,803.9625
236563,6/5/2023,9.86%,41.325,12.22%,60.87,4745.761,599,377.94,437.265,419.265,498.135
237852,6/5/2023,7.16%,27.42,2.67%,10.5,2383.397,395,355.3425,382.7625,382.7625,393.2625
237881,6/5/2023,0.07%,0.15,6.80%,15.5025,706.804,100,212.4075,212.5575,212.5575,228.06
237889,6/5/2023,15.12%,10.7625,5.05%,3.7875,718.938,100,60.3975,71.16,71.16,74.9475
237902,6/5/2023,3.28%,35.0775,2.38%,26.1525,4645.95,597,1035.33,1070.4075,1070.4075,1096.56
237906,6/5/2023,2.12%,12.8775,4.71%,30.0375,4595.083,604,594.69,608.3175,607.5675,638.355
237908,6/5/2023,0.03%,0.15,4.76%,26.6475,4966.663,672,532.935,533.085,533.085,559.7325
237909,6/5/2023,2.45%,18.645,5.54%,44.625,6128.509,833,741.51,760.155,760.155,804.78
237911,6/5/2023,3.24%,21.7575,5.12%,36.2475,5360.161,708,649.2975,671.055,671.055,707.3025
237912,6/5/2023,3.41%,18.6225,8.57%,51.21,5074.434,681,528.015,546.6375,546.6375,597.8475
237913,6/5/2023,1.94%,14.7,4.84%,38.5875,6156.044,858,743.415,758.115,758.115,796.7025
237919,6/5/2023,2.00%,13.7775,2.26%,15.915,5770.458,760,674.235,688.0125,688.0125,703.9275
238132,6/5/2023,5.24%,29.145,7.40%,44.4225,3916.458,617,527.0775,556.2225,556.2225,600.645
238134,6/5/2023,4.39%,26.475,4.70%,29.73,4193.333,665,576.8475,603.3225,603.3225,633.0525
239896,6/5/2023,1.09%,10.8525,2.08%,21.075,4028.905,564,982.0275,992.88,992.88,1013.955
240033,6/5/2023,0.00%,0,0.24%,3.75,130.496,19,1540.5,1540.5,1540.5,1544.25
240233,6/5/2023,1.74%,19.1475,4.92%,58.5,4195.887,626,1083.615,1129.7625,1102.7625,1188.2625
240234,6/5/2023,2.74%,14.475,3.31%,18.75,4294.382,634,513.2175,547.1925,527.6925,565.9425
241290,6/5/2023,3.90%,30.0675,7.60%,63.435,7626.569,1008,740.64,770.7075,770.7075,834.1425
241292,6/5/2023,2.12%,6.1275,7.04%,21.8625,2898.589,346,282.6825,288.81,288.81,310.6725
244121,6/5/2023,8.47%,56.46,0.76%,5.25,4159.9162,652,610.305,690.015,666.765,695.265
244146,6/5/2023,5.64%,33.5925,1.49%,9,5184.0442,741,562.4625,596.055,596.055,605.055
244628,6/5/2023,0.45%,5.3775,3.15%,39.3,7700.5882,1035,1202.04,1207.4175,1207.4175,1246.7175
244933,6/5/2023,20.20%,49.5975,2.03%,5.25,1722.6,255,195.8925,253.2,245.49,258.45
245300,6/5/2023,1.23%,8.4525,0.44%,3,4413.568,669,677.655,686.1075,686.1075,689.1075
246470,6/5/2023,9.22%,55.0725,3.58%,22.5,4697.5402,644,542.49,606.5625,597.5625,629.0625
246734,6/5/2023,18.03%,28.905,3.54%,6,920.941,138,131.385,163.29,160.29,169.29
246828,6/5/2023,0.73%,10.755,2.52%,38.25,6633.371,924,1469.4375,1480.1925,1480.1925,1518.4425
248569,6/5/2023,-1.72%,-19.5,1.25%,14.325,7825.3602,1070,1155.5925,1136.0925,1136.0925,1150.4175
248570,6/5/2023,1.35%,15.87,2.70%,32.565,8718.72,1110,1159.695,1175.565,1175.565,1208.13
248571,6/5/2023,6.91%,58.35,2.20%,19.035,6672.9,893,785.5575,847.6575,843.9075,866.6925
248572,6/5/2023,6.34%,57.3375,4.47%,42.3075,7256.053,913,847.575,904.9125,904.9125,947.22
249233,6/5/2023,4.62%,28.08,2.87%,18,4357.65,602,580.17,608.25,608.25,626.25
249383,6/5/2023,5.67%,36,6.22%,42.1125,6181.596,800,599.415,635.415,635.415,677.5275
250012,6/5/2023,0.84%,6.8025,1.78%,14.685,6613.5902,862,805.6575,812.46,812.46,827.145
250013,6/5/2023,0.56%,2.25,10.44%,46.8825,1007.866,140,399.945,402.195,402.195,449.0775
250014,6/5/2023,2.72%,17.7525,6.05%,42.795,865.056,154,635.5125,665.145,653.265,707.94
250015,6/5/2023,17.52%,22.875,2.61%,5.4975,458.8402,78,107.6925,205.0275,130.5675,210.525
250075,6/5/2023,3.33%,20.4225,2.75%,17.3625,5748.608,700,593.325,613.7475,613.7475,631.11
250076,6/5/2023,4.79%,27.255,0.95%,5.4375,5523.755,664,542.1975,569.4525,569.4525,574.89
250227,6/5/2023,7.71%,34.2225,0.81%,3.75,3536.399,482,409.8675,458.34,444.09,462.09
250726,6/5/2023,3.85%,23.685,4.74%,31.5,4497.978,706,591.7575,633.375,615.4425,664.875
250728,6/5/2023,3.40%,30.18,2.26%,20.4825,6314.416,810,857.5275,887.7075,887.7075,908.19
251288,6/5/2023,4.58%,18.405,3.27%,13.65,3212.576,466,383.7,403.7025,402.105,417.3525
251375,6/5/2023,13.53%,111.9225,2.08%,17.565,7003.092,895,715.3425,828.8625,827.265,846.4275
252807,6/5/2023,0.54%,0.81,8.66%,18.705,809.183,134,149.0625,197.385,149.8725,216.09
252809,6/5/2023,2.02%,31.2,2.42%,38.445,4286.186,604,1515.96,1547.16,1547.16,1585.605
253248,6/5/2023,2.34%,15.9975,0.43%,3,4683.485,709,669.0825,701.0625,685.08,704.0625
253577,6/5/2023,8.37%,86.055,0.87%,9,1455.047,203,941.7375,1027.7925,1027.7925,1036.7925
254176,6/5/2023,6.07%,32.4825,8.88%,52.1625,4840.567,659,502.6425,535.125,535.125,587.2875
254177,6/5/2023,1.59%,10.05,5.31%,35.5125,4005.695,579,622.83,632.88,632.88,668.3925
254392,6/5/2023,0.64%,8.5425,0.00%,0,619.379,124,1321.8975,1330.44,1330.44,1330.44
254652,6/5/2023,2.06%,13.7775,2.67%,18.3375,6203.867,760,655.56,669.3375,669.3375,687.675
254760,6/5/2023,0.33%,4.95,2.52%,38.6625,7276.5,967,1493.19,1498.14,1498.14,1536.8025
255245,6/5/2023,5.04%,29.505,4.37%,27.45,4045.402,593,556.26,601.14,585.765,628.59
255246,6/5/2023,13.32%,117.4275,0.75%,6.75,6604.222,931,763.935,889.665,881.3625,896.415
255612,6/5/2023,11.79%,72.27,2.00%,12.75,4219.541,616,540.54,623.31,612.81,636.06
256897,6/5/2023,2.66%,12.0975,8.23%,41.4,4276.348,599,442.8075,461.655,454.905,503.055
256899,6/5/2023,5.40%,45.885,0.72%,6.1875,6736.3112,855,803.985,849.87,849.87,856.0575
257795,6/5/2023,2.75%,40.035,0.53%,7.71,4968.396,725,1416.5175,1456.5525,1456.5525,1464.2625
258989,6/5/2023,7.75%,35.0475,2.11%,9.9375,3942.756,555,417.06,460.3575,452.1075,470.295
259407,6/5/2023,13.00%,74.8275,2.67%,15.825,3564.328,642,500.97,575.7975,575.7975,591.6225
259551,6/5/2023,0.08%,0.75,6.17%,65.73,4756.385,664,998.025,998.775,998.775,1064.505
260015,6/5/2023,1.67%,16.245,1.22%,12,7785.481,1016,954.2925,970.5375,970.5375,982.5375
260120,6/5/2023,3.06%,39.195,6.26%,86.2725,7980.479,1107,1241.775,1292.97,1280.97,1379.2425
260252,6/5/2023,0.49%,3.8475,1.43%,11.475,6521.263,838,787.485,791.3325,791.3325,802.8075
260514,6/5/2023,5.21%,24.0975,4.35%,21.75,3387.336,504,438.2025,478.8,462.3,500.55
260601,6/5/2023,9.76%,18.8475,3.97%,7.9875,1524.842,209,174.18,193.0275,193.0275,201.015
261511,6/5/2023,3.11%,17.25,3.38%,19.5,4230.613,564,536.655,557.655,553.905,577.155
261512,6/5/2023,0.15%,1.5,1.76%,18,6508.67,873,989.8575,1002.6075,991.3575,1020.6075
262298,6/5/2023,1.11%,13.8075,3.65%,47.22,8762.893,1119,1232.7525,1246.56,1246.56,1293.78
263465,6/5/2023,2.68%,8.3475,5.72%,18.9375,3012.214,396,303.6825,312.03,312.03,330.9675
263466,6/5/2023,-0.20%,-0.6225,3.21%,10.5975,3018.932,379,319.665,319.0425,319.0425,329.64
263468,6/5/2023,3.87%,8.6775,6.02%,14.3625,2227.58,291,215.73,224.4075,224.4075,238.77
264846,6/5/2023,0.60%,4.995,4.07%,35.34,4101.172,585,828.9675,833.9625,833.9625,869.3025
264847,6/5/2023,6.04%,41.1525,0.33%,2.25,4712.293,675,640.44,681.5925,681.5925,683.8425
265486,6/5/2023,4.04%,34.725,0.96%,8.3625,4879.047,704,825.4425,860.1675,860.1675,868.53
265487,6/5/2023,5.92%,19.6875,3.69%,12.84,2737.101,378,312.9375,334.875,332.625,347.715
265488,6/5/2023,2.91%,23.4675,2.37%,19.605,3888.203,559,783.03,806.4975,806.4975,826.1025
265571,6/5/2023,3.02%,18.975,2.10%,13.5,4759.759,681,608.8875,630.1125,627.8625,643.6125
265732,6/5/2023,12.94%,132.795,15.53%,191.0325,7152.079,995,893.1525,1038.6975,1025.9475,1229.73
265733,6/5/2023,11.05%,112.3125,0.87%,9,5899.086,782,903.7425,1030.3575,1016.055,1039.3575
265832,6/5/2023,3.11%,9,8.94%,28.785,2658.411,356,280.4175,293.1675,289.4175,321.9525
