Cost Code,Concept,Group,Stage,Quantity,Unit,Unit Cost,Total,Markup %
03250,P - Fixtures - kitchen faucet,3,15,Lot,1,$296.48,$296.48,15
03260,P - Fixtures - freestanding tub,3,15,Lot,1,"$1,067.77","$1,067.77",15
03270,P - Fixtures - toilet,3,15,Lot,1,$226.18,$226.18,15
03280,P - Fixtures - shower drain,3,15,Lot,1,$64.95,$64.95,15
03290,P - Fixtures - tub drain ,3,15,Lot,1,$27.26,$27.26,15
03300,P - Fixtures - disposal,3,15,Lot,1,$117.01,$117.01,15
03310,P - Fixtures - Disposal pneumatic button,3,15,Lot,1,$48.49,$48.49,15
03320,P - Fixtures - Sink Pedestal,3,15,Lot,1,$135.60,$135.60,15
03330,P - Fixtures - Pedestal,3,15,Lot,1,$125.38,$125.38,15
03400,P - Hardware - Towel handler small,3,15,Lot,1,$139.28,$139.28,15
03410,P - Hardware - Towel handler large,3,15,Lot,1,$73.34,$73.34,15
03420,P - Hardware - Toilet paper holder,3,15,Lot,1,$130.17,$130.17,15
03430,P - Hardware - hook,3,15,Lot,1,$43.92,$43.92,15
04000,Slab - Foundation (turn key),4,5,Lot,1,"$16,926.00","$16,926.00",15
04100,Driveway - Exterior Driveway (ROW),4,15,Lot,1,"$1,914.00","$1,914.00",15
04110,Driveway - Interior Driveway,4,15,Lot,1,"$1,335.00","$1,335.00",15
04200,Walkway - Exterior Walkway (ROW),4,15,Lot,1,$0.00,$0.00,15
04210,Walkway - Interior Walkway-Flat work,4,15,Lot,1,$174.00,$174.00,15
04300,Stamped Concrete,4,15,Lot,1,$782.50,$782.50,15
04400,Post - Tensioned wires inspection,4,5,Lot,1,$180.00,$180.00,15
05000,Frame 1 - Wood frame pack 1 ,5,6,Lot,1,"$5,757.43","$5,757.43",15
05010,Frame 1 - Trusses 1,5,6,Lot,1,"$5,784.88","$5,784.88",15
05020,Frame 1 - Beams 1,5,6,Lot,1,"$2,049.82","$2,049.82",15
05030,Frame 1 - Labor,5,6,Lot,1,"$3,742.20","$3,742.20",15
05100,Frame 2 - Wood frame pack 2,5,7,Lot,1,"$6,702.84","$6,702.84",15
05120,Frame 2 - Beams 2,5,7,Lot,1,"$3,180.27","$3,180.27",15
05130,Frame 2 - Beams 3+4,5,7,Lot,1,$437.05,$437.05,15
05140,Frame 2 - Subfloor,5,7,Lot,1,"$2,210.46","$2,210.46",15
05150,Frame 2 - Labor ,5,7,Lot,1,"$3,742.20","$3,742.20",15
05300,Cornice - Sheating,5,9,Lot,1,"$1,900.07","$1,900.07",15
05310,Cornice - Materials,5,9,Lot,1,"$6,263.46","$6,263.46",15
05320,"Cornice - Fire wall-5/8"" Firecode sheetrock",5,9,Lot,1,$445.50,$445.50,15
05340,Cornice - Fire wall-Fire caulking,5,9,Lot,1,$207.00,$207.00,15
05350,Cornice - Madera Verde (4x4),5,9,Lot,1,$150.00,$150.00,15
05360,Cornice - Cornice Labor,5,9,Lot,1,"$7,484.40","$7,484.40",15
05400,Windstorm - Materials,5,8,Lot,1,$805.92,$805.92,15
05410,Windstorm - Labor,5,8,Lot,1,$800.00,$800.00,15
05420,Windstorm - HDU 4,5,8,Lot,1,$70.00,$70.00,15
05421,Windstorm - HDU 5,5,8,Lot,1,$160.00,$160.00,15
05422,Windstorm - HDU 8,5,8,Lot,1,$216.48,$216.48,15
05500,Decking,5,7,Lot,1,$870.41,$870.41,15
05600,Windows,5,9,Lot,1,"$1,738.27","$1,738.27",15
05700,Roofing - Shingles,5,7,Lot,1,"$5,651.33","$5,651.33",15
05800,Gutters,5,16,Lot,1,"$1,155.00","$1,155.00",15
06100,HVAC - Rough,6,9,Lot,1,"$5,000.00","$5,000.00",15
06200,HVAC - Trim,6,12,Lot,1,"$3,900.00","$3,900.00",15
06300,Energy Report,6,17,Lot,1,$350.00,$350.00,15
07000,Electric - Temporary power pole,7,5,Lot,1,$0.00,$0.00,15
07100,Electric - Underground,7,3,Lot,1,$0.00,$0.00,15
07110,Electric - Rough,7,9,Lot,1,"$5,364.00","$5,364.00",15
07120,Electric - Trim,7,12,Lot,1,"$3,576.00","$3,576.00",15
07200,Low Voltage - Rough,7,9,Lot,1,$618.00,$618.00,15
07210,Low Voltage - Trim,7,12,Lot,1,$412.00,$412.00,15
07331,"Lighting - Light 2 - Varaluz Halcyon 13"" Bathroom Light Model:292B02SN",7,12,Lot,1,$481.48,$481.48,15
07333,"Lighting - Light 4 - Bellevue 9"" Tall Outdoor Wall Sconce Model:GWS19859MBK",7,12,Lot,1,$90.66,$90.66,15
07400,Lighting - light bulbs,7,12,Lot,1,$42.84,$42.84,15
08000,Insulation - Batts,8,10,Lot,1,"$1,819.13","$1,819.13",15
08010,Insulation - Blowing,8,15,Lot,1,$779.63,$779.63,15
08100,Drywall - Sheetrock,8,10,Lot,1,"$3,243.24","$3,243.24",15
08110,Drywall - Tape and Float,8,10,Lot,1,"$3,243.24","$3,243.24",15
08120,Drywall - Texture,8,10,Lot,1,"$1,621.62","$1,621.62",15
08200,Paint - Interior 1,8,12,Lot,1,"$2,164.24","$2,164.24",15
08210,Paint - Exterior 1,8,10,Lot,1,"$2,164.24","$2,164.24",15
08220,Paint - Interior 2,8,15,Lot,1,"$2,164.24","$2,164.24",15
08230,Paint - Touch up,8,16,Lot,1,$721.41,$721.41,15
09000,Brick - Material,9,10,Lot,1,"$2,000.00","$2,000.00",15
09010,Brick - Labor,9,10,Lot,1,"$4,500.00","$4,500.00",15
09100,Wrought Iron & Sheet Metal - Turn Key,9,11,Lot,1,"$1,800.00","$1,800.00",15
010000,Trim Materials,10,11,Lot,1,"$2,660.00","$2,660.00",15
010100,Trim labor,10,11,Lot,1,"$3,102.00","$3,102.00",15
010110,Trim labor - Cabinet handlers,10,11,Lot,1,$150.00,$150.00,15
010120,Trim labor - Exterior door installation (Frame),10,11,Lot,1,$450.00,$450.00,15
010130,Trim labor - others,10,11,Lot,1,$150.00,$150.00,15
010140,Exterior doors - Entry Door 3/0x8,10,9,Lot,1,"$1,350.00","$1,350.00",15
010141,Exterior doors - Back Yard door 3/0x8,10,9,Lot,1,$908.21,$908.21,15
010142,Exterior doors - Balcony Door 3/0x8,10,9,Lot,1,$908.21,$908.21,15
010143,Exterior doors - Garage Door 2/8x6,10,9,Lot,1,$519.60,$519.60,15
010200,Interior doors - 2/0x6 Bathroom,10,11,Lot,1,"$1,214.52","$1,214.52",15
010203,Interior doors - 2/8x6 Bedroom,10,11,Lot,1,$639.75,$639.75,15
010204,Interior doors - 2/0x6 Toilet/pantry,10,11,Lot,1,$404.84,$404.84,15
010205,Interior doors - 1/6x6 Linen closet,10,11,Lot,1,$202.42,$202.42,15
010206,Interior doors - 2x2/6x6 (5/0x6)Utility,10,11,Lot,1,$357.22,$357.22,15
010207,Interior doors - 2x2/0x6 (4/0x6) Closets,10,11,Lot,1,$679.80,$679.80,15
010300,Door hardware - Passage,10,11,Lot,1,$126.76,$126.76,15
010301,Door hardware - Privacy,10,15,Lot,1,$210.78,$210.78,15
010302,Door hardware - Entry door knob set,10,15,Lot,1,$36.77,$36.77,15
010303,Door hardware - Main entry door,10,15,Lot,1,$197.45,$197.45,15
010304,Door hardware - Dummy,10,15,Lot,1,$110.95,$110.95,15
010305,Door hardware - Deadbolt,10,15,Lot,1,$91.52,$91.52,15
010306,Door hardware - Cabinet knob,10,15,Lot,1,$259.50,$259.50,15
010400,Trim Hardware - Soporte barra para techo,10,15,Lot,1,$116.76,$116.76,15
010401,Trim Hardware - Soporte barra muros,10,15,Lot,1,$300.00,$300.00,15
010402,Trim Hardware - barra para closet,10,15,Lot,1,$357.21,$357.21,15
010403,Trim Hardware - Soporte hand rail,10,15,Lot,1,$46.00,$46.00,15
010404,Trim Hardware - Tope de muro,10,15,Lot,1,$21.65,$21.65,15
010405,Trim Hardware - tope de puerta,10,15,Lot,1,$6.92,$6.92,15
010500,Garage door - Door,10,15,Lot,1,$990.00,$990.00,15
010510,Garage door - Motor,10,15,Lot,1,$300.00,$300.00,15
010600,Cabinets - bathrooms,10,12,Lot,1,$762.56,$762.56,15
010610,Cabinets - Kitchen,10,12,Lot,1,"$1,432.75","$1,432.75",15
010620,Cabinets - Installation,10,11,Lot,1,"$1,500.00","$1,500.00",15
010700,Countertops - Material,10,11,Lot,1,"$1,000.00","$1,000.00",15
010710,Countertops - Bathroom sinks,10,11,Lot,1,$96.00,$96.00,15
010720,Countertops - Kitchen sink,10,12,Lot,1,$135.00,$135.00,15
010730,Countertops - Labor,10,12,Lot,1,"$2,350.00","$2,350.00",15
010800,Mirrors,10,12,Lot,1,$600.00,$600.00,15
010810,Tempered Glass,10,12,Lot,1,"$1,100.00","$1,100.00",15
011000,Ceramic - Shower floor,11,13,Lot,1,$268.32,$268.32,15
011010,Ceramic - Shower walls,11,13,Lot,1,"$2,012.40","$2,012.40",15
011020,Ceramic - Tub walls,11,13,Lot,1,$955.89,$955.89,15
011030,Ceramic - Backsplash,11,13,Lot,1,$554.88,$554.88,15
011040,Ceramic - Labor,11,13,Lot,1,$0.00,$0.00,15
011100,Vinyl floors - 1st Floor ,11,13,Lot,1,"$3,501.41","$3,501.41",15
011110,Vinyl floors - 2nd Floor ,11,13,Lot,1,"$1,466.68","$1,466.68",15
011120,Vinyl floors - 3rd Floor ,11,13,Lot,1,$0.00,$0.00,15
011130,Vinyl floors - Steps,11,13,Lot,1,$0.00,$0.00,15
011140,Vinyl floors - Stair nose,11,13,Lot,1,$0.00,$0.00,15
011150,Vinyl floors - Labor,11,13,Lot,1,$0.00,$0.00,15
011200,Carpet - Materials,11,13,Lot,1,"$1,836.78","$1,836.78",15
011210,Carpet - Labor,11,13,Lot,1,$0.00,$0.00,15
012000,Installation,12,16,Lot,1,$0.00,$0.00,15
012010,Refrigerator,12,16,Lot,1,"$1,466.79","$1,466.79",15
012020,Gas Range,12,16,Lot,1,"$1,066.26","$1,066.26",15
012030,Microwave,12,16,Lot,1,$263.05,$263.05,15
012040,Dishwasher,12,16,Lot,1,$398.36,$398.36,15
013100,Grading - Materials (dirt fill),13,15,Lot,1,$360.00,$360.00,15
013110,Grading - Labor,13,15,Lot,1,$500.00,$500.00,15
013200,Fence - material,13,15,Lot,1,"$1,000.00","$1,000.00",15
013210,Fence - Labor,13,15,Lot,1,"$1,128.40","$1,128.40",15
013220,Fence - door labor,13,15,Lot,1,$180.00,$180.00,15
013230,Fence- Demolition,13,15,Lot,1,$100.00,$100.00,15
013300,labor,13,15,Lot,1,$600.00,$600.00,15
013310,Grass,13,16,Lot,1,$330.00,$330.00,15
013320,Tree,13,16,Lot,1,$230.00,$230.00,15
013330,plants,13,16,Lot,1,$250.00,$250.00,15
013340,bulk rock,13,16,Lot,1,$180.00,$180.00,15
013350,Mailbox,13,17,Lot,1,$55.00,$55.00,15
014000,Jobsite cleaning,14,1,Lot,1,$500.00,$500.00,0
014010,Onsite Dumpsters,14,1,Lot,1,"$1,737.50","$1,737.50",0
014100,House Cleaning #1 (Deep),14,14,Lot,1,$300.00,$300.00,0
014110,House Cleaning #2 (Routinely),14,15,Lot,1,$300.00,$300.00,0
014120,House Cleaning #3 (Final),14,17,Lot,1,$200.00,$200.00,0
015000,Port-A-Potty,15,14,Lot,1,$170.40,$170.40,0
015100,Temporary Fencing,15,1,Lot,1,$900.00,$900.00,0
015200,Security Cameras,15,1,Lot,1,$0.00,$0.00,0
015300,Staging Furniture,15,18,Lot,1,$0.00,$0.00,0
015400,Internal Inspections,15,18,Lot,1,$0.00,$0.00,0
015500,Warranty expences,15,18,Lot,1,$500.00,$500.00,0
