id,type,public_lightpost,aerial_cable,subterranean_cable,other_services,lng,lat,unit_cost,quantity,total_cost
8492,Concrete,False,2,0,6,-59.53163246693424071, -30.0296708605496967," $42,600.00",3," $127,800.00"
9735,Wood,False,0,0,0,-58.8308194524432011 ,-27.47167469484082858," $28,800.00",6," $172,800.00"
5689,Concrete,False,4,0,1,-58.0598514328276778 ,-29.79436536620561071," $42,600.00",3," $127,800.00"
248,Concrete,False,2,0,0,-58.51003835798677954,-27.37082977251037974," $42,600.00",6," $255,600.00"
8860,Concrete,False,1,0,0,-59.52915243825184177,-30.02193723039721363," $42,600.00",3," $127,800.00"
1381,Concrete,False,0,0,6,-58.84568098000677594,-27.46875739475208533," $42,600.00",7," $298,200.00"
3064,Concrete,False,0,0,0,-58.06590296121427741,-29.78500316342452692," $42,600.00",6," $255,600.00"
6170,Bracket,True,0,0,0,-58.05695306284954427,-29.79593080937986826," $16,900.00",7," $118,300.00"
3224,Wood,False,0,0,5,-58.84159489987032998,-27.46560709404872114," $28,800.00",5," $144,000.00"
3149,Concrete,False,0,0,2,-58.06543527794064374,-29.78749267864969852," $42,600.00",2," $85,200.00"
8538,Wood,False,0,0,8,-58.83296950712286844,-27.46643786465514125," $28,800.00",2," $57,600.00"
6510,Concrete,False,2,0,0,-59.50968929636519533,-30.03227481006888766," $42,600.00",8," $340,800.00"
8564,Concrete,True,2,0,0,-59.53538119363398096,-30.02677274346736525," $42,600.00",3," $127,800.00"
626,Wood,False,0,0,0,-58.8480320720234289 ,-27.46797233623976098," $28,800.00",5," $144,000.00"
5097,Wood,False,5,0,3,-58.05962973614057177,-29.79234837912633438," $28,800.00",6," $172,800.00"
3731,Bracket,False,0,0,0,-58.05336927834578375,-29.78680626749571303," $16,900.00",8," $135,200.00"
3381,Concrete,False,4,0,5,-58.05766960960418999,-29.78387902424278622," $42,600.00",2," $85,200.00"
9855,Wood,False,0,0,0,-58.83109716550302437,-27.47417103599659427," $28,800.00",6," $172,800.00"
9657,Wood,False,0,0,1,-58.830636718797642 -,-27.47001747824138107," $28,800.00",4," $115,200.00"
8824,Concrete,False,0,0,0,-59.52648384238035106,-30.02224058026827436," $42,600.00",5," $213,000.00"
7670,Concrete,False,0,0,3,-59.51746211852248081,-30.02635987507263948," $42,600.00",1," $42,600.00"
967,Bracket,False,0,0,0,-58.81649575592014401,-27.52270910171761642," $16,900.00",2," $33,800.00"
107,Concrete,False,0,0,1,-58.51388674190116035,-27.37309571115557461," $42,600.00",6," $255,600.00"
1466,Bracket,False,0,0,2,-58.84427366670897896,-27.46692813064697702," $16,900.00",7," $118,300.00"
3345,Concrete,True,5,0,0,-58.05846318307661136,-29.78525806989387803," $42,600.00",4," $170,400.00"
9208,Concrete,False,0,0,0,-59.52133566664556952,-30.02159407464382923," $42,600.00",8," $340,800.00"
7964,Concrete,False,0,0,0,-59.51984337600259067, -29.9939981549293222," $42,600.00",5," $213,000.00"
9084,Concrete,False,2,0,4,-59.52226380703933017,-30.02103643420798562," $42,600.00",8," $340,800.00"
3470,Concrete,False,0,0,0,-58.05481908335152497,-29.78484755029282383," $42,600.00",2," $85,200.00"
10061,Wood,False,0,0,0,-58.82758712560880099,-27.46550150546043056," $28,800.00",1," $28,800.00"
9250,Concrete,False,0,0,3,-59.52113702779234217,-30.01926441832960535," $42,600.00",4," $170,400.00"
10430,Bracket,False,0,0,0,-58.82858477442440659,-27.47425915513365169," $16,900.00",5," $84,500.00"
7524,Concrete,False,0,0,0,-59.51707839252355114,-30.02579888751152737," $42,600.00",4," $170,400.00"
2988,Concrete,True,0,0,0,-58.06794079548853915,-29.78613101945222752," $42,600.00",3," $127,800.00"
1924,Bracket,False,0,0,4,-58.84308210901662761,-27.46365876517404558," $16,900.00",4," $67,600.00"
9315,Concrete,False,1,0,2,-59.52093632022680225,-30.01717611823065823," $42,600.00",8," $340,800.00"
9598,Wood,False,0,0,6,-58.83035774847759569,-27.46761171434115667," $28,800.00",2," $57,600.00"
5647,Concrete,False,0,0,0,-58.05836197433664836,-29.79545394313286266," $42,600.00",1," $42,600.00"
7914,Concrete,True,3,0,1,-59.52214209219792451,-30.02897057398334724," $42,600.00",1," $42,600.00"
5078,Wood,False,5,0,2,-58.05728772564552997,-29.79320449496609413," $28,800.00",2," $57,600.00"
5446,Wood,False,0,0,3,-58.83776983215652479,-27.46694739670424568," $28,800.00",8," $230,400.00"
4543,Wood,True,4,0,0,-58.0595611693412863 ,-29.78883659590418986," $28,800.00",5," $144,000.00"
1773,Bracket,False,0,2,1,-58.84276804339388889, -27.4681850949839621," $16,900.00",8," $135,200.00"
2979,Concrete,True,3,0,0,-58.0689834083730716 ,-29.78356449304806119," $42,600.00",3," $127,800.00"
3882,Wood,False,0,0,0,-58.8415527847611628 ,-27.46681442043959009," $28,800.00",6," $172,800.00"
8138,Bracket,False,0,0,0,-59.52281590237510045,-29.99738275581868407," $16,900.00",2," $33,800.00"
10298,Wood,False,0,0,1,-58.82845115739100095,-27.47281538894733899," $28,800.00",1," $28,800.00"
9832,Wood,False,0,0,0,-58.83236567474533985,-27.47383198930831583," $28,800.00",5," $144,000.00"
9052,Concrete,False,3,0,4,-59.52456105495118521,-30.01922635975737563," $42,600.00",8," $340,800.00"
5092,Concrete,False,4,0,5,-58.05864695877593107,-29.79312166841389242," $42,600.00",5," $213,000.00"
10006,Bracket,False,0,0,1,-58.82746353063463118,-27.46432512179746865," $16,900.00",1," $16,900.00"
3876,Wood,False,0,0,4,-58.84107876712176477,-27.46719477547220123," $28,800.00",8," $230,400.00"
2084,Concrete,False,1,0,0,-58.51047333538782169,-27.36672199288912211," $42,600.00",6," $255,600.00"
4607,Bracket,False,0,0,6,-58.84019227060703372,-27.47183356419767719," $16,900.00",8," $135,200.00"
10363,Iron,False,0,0,0,-58.82738309978781643, -27.4740861849798641," $62,000.00",4," $248,000.00"
590,Concrete,False,0,0,1,-58.84759927198670937,-27.46905984661399458," $42,600.00",7," $298,200.00"
9943,Bracket,True,0,0,3,-58.82876264854628801,-27.46292101142336151," $16,900.00",4," $67,600.00"
7076,Concrete,False,2,0,0,-59.50700002016504442,-30.03366635129610174," $42,600.00",8," $340,800.00"
5863,Concrete,True,2,0,1,-58.04843048596222843,-29.79722098902666261," $42,600.00",6," $255,600.00"
5016,Bracket,True,2,0,0,-58.05807019004710412,-29.79165052993459639," $16,900.00",3," $50,700.00"
1451,Bracket,False,0,0,2,-58.845636177348986 -,-27.46796658504820954," $16,900.00",3," $50,700.00"
7967,Concrete,True,2,0,1,-59.51848310193287972,-29.99321547892083828," $42,600.00",1," $42,600.00"
8975,Wood,False,0,0,0,-58.83113636781347111,-27.46181636011521476," $28,800.00",7," $201,600.00"
8963,Wood,False,1,0,3,-58.83489666948950259,-27.46203990548098517," $28,800.00",5," $144,000.00"
6743,Wood,False,0,0,1,-58.83639623626363857,-27.46863294919830878," $28,800.00",7," $201,600.00"
4848,Concrete,False,0,0,5,-58.04657963938378629,-29.79471460993460852," $42,600.00",2," $85,200.00"
3866,Wood,False,0,0,3,-58.84042402520385195,-27.46692732519465707," $28,800.00",8," $230,400.00"
9063,Concrete,False,2,0,3,-59.52511767347902349,-30.02023188503473961," $42,600.00",7," $298,200.00"
3114,Wood,False,0,0,0,-58.06722407606487479,-29.78859999323412211," $28,800.00",6," $172,800.00"
10273,Wood,False,0,0,0,-58.82758423960344629,-27.47062100598099832," $28,800.00",4," $115,200.00"
600,Bracket,False,0,0,3,-58.84860532032267599,-27.46887578005052788," $16,900.00",5," $84,500.00"
9288,Concrete,False,0,0,4,-59.51913784666150065,-30.02034020423939253," $42,600.00",8," $340,800.00"
7032,Concrete,False,4,0,5,-59.51966076473194533,-30.02086713817403307," $42,600.00",7," $298,200.00"
2676,Concrete,False,1,0,2,-58.51393245368407037, -27.3850825785938099," $42,600.00",5," $213,000.00"
6957,Wood,False,0,0,3,-58.83643219093288934,-27.47488538836108418," $28,800.00",4," $115,200.00"
2252,Concrete,False,0,0,0,-58.51468100338389178,-27.37418106924523897," $42,600.00",4," $170,400.00"
10496,Bracket,False,0,0,10,-58.8262763214520561 , -27.4649000717087759," $16,900.00",3," $50,700.00"
6352,Wood,False,1,0,3,-58.83747247296315663,-27.46222499142807294," $28,800.00",4," $115,200.00"
2228,Concrete,False,0,0,0,-58.5116035311196967 ,-27.36421396350448276," $42,600.00",8," $340,800.00"
4796,Wood,False,0,0,10,-58.83912431111762231,-27.46604733499847839," $28,800.00",6," $172,800.00"
3003,Concrete,False,0,0,5,-58.06900218032884453,-29.78483298487515185," $42,600.00",1," $42,600.00"
8955,Wood,False,0,0,2,-58.83386621001978511,-27.46219659325829454," $28,800.00",3," $86,400.00"
1110,Bracket,False,0,0,0,-58.81587507983074659,-27.52595098343748603," $16,900.00",5," $84,500.00"
2747,Concrete,False,5,0,5,-58.05772654355234863,-29.78245556284439033," $42,600.00",7," $298,200.00"
7968,Concrete,True,2,0,1,-59.51829432807062403,-29.99311785273340192," $42,600.00",7," $298,200.00"
3205,Wood,False,0,0,0,-58.84057740631739364,-27.46504982944221496," $28,800.00",5," $144,000.00"
8220,Concrete,True,6,0,4,-59.5257369485462462 ,-30.02712686681264032," $42,600.00",2," $85,200.00"
4605,Bracket,False,0,1,1,-58.83959007378092565,-27.47283877008418429," $16,900.00",1," $16,900.00"
3707,Concrete,False,4,0,1,-58.04671228427184815,-29.79109593725397076," $42,600.00",2," $85,200.00"
4547,Iron,True,1,0,0,-58.05960537473183791,-29.78946221363712255," $62,000.00",2," $124,000.00"
2816,Concrete,False,2,0,5,-58.06239645220751555,-29.78125138804600169," $42,600.00",3," $127,800.00"
7471,Concrete,True,3,0,4,-59.51934607534769128,-30.02159350141017313," $42,600.00",3," $127,800.00"
10526,Bracket,False,0,0,5,-58.82650088420499657,-27.46350613599856771," $16,900.00",1," $16,900.00"
5130,Concrete,False,4,0,5,-58.05884373932867959,-29.79188068691907176," $42,600.00",1," $42,600.00"
7816,Wood,False,0,0,8,-58.83299771503535425,-27.47123392161103439," $28,800.00",8," $230,400.00"
5798,Iron,True,2,0,0,-58.04793920690894282,-29.79815294586441254," $62,000.00",4," $248,000.00"
6858,Wood,False,0,0,0,-58.83497357789837423,-27.47115580661840184," $28,800.00",2," $57,600.00"
199,Concrete,False,2,0,4,-58.5085974906089632 ,-27.37132741214262666," $42,600.00",4," $170,400.00"
5755,Concrete,True,3,0,5,-58.0447035947859078 ,-29.79606862531471734," $42,600.00",6," $255,600.00"
8467,Concrete,True,2,0,0,-59.53414336190054001,-30.02751465310850776," $42,600.00",4," $170,400.00"
6813,Iron,False,0,0,10,-58.83527040924494855,-27.46988341319675087," $62,000.00",7," $434,000.00"
7556,Bracket,False,0,0,3,-59.51844202733536093,-30.02627855227824938," $16,900.00",4," $67,600.00"
4069,Concrete,True,5,0,2,-58.05932283435736707,-29.78671168158602001," $42,600.00",3," $127,800.00"
970,Bracket,True,0,0,0,-58.81636304083847477,-27.52221656389342641," $16,900.00",1," $16,900.00"
4081,Wood,False,3,0,5,-58.05795737083050057, -29.7869857550678887," $28,800.00",5," $144,000.00"
584,Wood,False,0,0,2,-58.84703152007079296,-27.46976136921031397," $28,800.00",2," $57,600.00"
2814,Concrete,True,2,0,5,-58.06373941638351965,-29.78125077257204012," $42,600.00",3," $127,800.00"
9473,Concrete,True,0,0,3,-59.51564045166536232,-30.01565633524625909," $42,600.00",8," $340,800.00"
3402,Concrete,False,5,0,0,-58.05784592198189387,-29.78401383509949696," $42,600.00",6," $255,600.00"
8468,Concrete,False,4,0,2,-59.53430501617154391,1 -30.027244352428486," $42,600.00",2," $85,200.00"
4261,Wood,False,4,0,0,-58.05512124590412526,-29.78921481062947407," $28,800.00",3," $86,400.00"
302,Bracket,False,0,0,2,-58.85065249251206154, -27.4686817433873145," $16,900.00",8," $135,200.00"
6760,Wood,False,0,0,3,-58.83487641605228902,-27.46877473727079888," $28,800.00",4," $115,200.00"
441,Wood,False,4,0,0,-58.85112146617743178,-27.47336711433346323," $28,800.00",4," $115,200.00"
2586,Concrete,True,1,0,3,-58.50969289896454484, -27.3811335756602503," $42,600.00",6," $255,600.00"
4568,Wood,False,0,0,6,-58.84092886085236529,-27.47157623222887679," $28,800.00",8," $230,400.00"
7044,Concrete,False,2,0,6,-59.51707348028193678,-30.02144136221483706," $42,600.00",5," $213,000.00"
3485,Concrete,False,5,0,0,-58.05154285659761371,-29.78565474689068893," $42,600.00",5," $213,000.00"
1621,Bracket,False,0,0,4,-58.84445976950810575,-27.47132787895132466," $16,900.00",1," $16,900.00"
6589,Concrete,False,2,0,0,-59.51524372793158335,-30.03142894402238028," $42,600.00",4," $170,400.00"
5757,Concrete,True,2,0,1,-58.0446387588103434 ,-29.79634544700374477," $42,600.00",7," $298,200.00"
3253,Wood,False,0,0,2,-58.84036857638419349, -27.4649040061530556," $28,800.00",4," $115,200.00"
2674,Concrete,True,1,0,3,-58.51391307146780463,-27.38452193935680512," $42,600.00",4," $170,400.00"
3745,Concrete,False,5,0,0,-58.05175946225465111,-29.78604243870774582," $42,600.00",1," $42,600.00"
2445,Concrete,False,1,0,4,-58.51007228223551948,-27.37464331650285843," $42,600.00",1," $42,600.00"
1953,Wood,False,3,0,1,-58.84097863294399389, -27.4626285497941609," $28,800.00",8," $230,400.00"
8611,Wood,False,0,0,1,-58.83371131207569249, -27.4626318501506077," $28,800.00",8," $230,400.00"
9579,Wood,False,0,0,1,-58.83239826017206298,-27.46472147566729305," $28,800.00",8," $230,400.00"
5055,Wood,False,4,0,0,-58.05742782442258942,-29.79188627874723494," $28,800.00",2," $57,600.00"
9104,Wood,False,0,0,1,-58.83068056228575671,-27.46256437431239306," $28,800.00",1," $28,800.00"
10204,Wood,False,0,0,3,-58.82750289040109237,-27.46724032510065427," $28,800.00",3," $86,400.00"
2613,Concrete,False,1,0,2,-58.51092088697606641, -27.3819775767049336," $42,600.00",6," $255,600.00"
4019,Concrete,False,2,0,0,-58.05349415280486625,-29.78566037423318491," $42,600.00",3," $127,800.00"
108,Concrete,True,5,0,4,-58.51398768126599492,-27.37315536998837828," $42,600.00",3," $127,800.00"
2998,Iron,False,0,0,0,-58.06901941359966202,-29.78545830641631298," $62,000.00",1," $62,000.00"
7307,Bracket,False,0,0,9,-59.51495078046544052,-30.02588151744449974," $16,900.00",2," $33,800.00"
4815,Wood,False,2,0,4,-58.83889537159699756,-27.46406912193342009," $28,800.00",1," $28,800.00"
7428,Concrete,False,0,0,2,-59.52034702274112732,-30.02549628282482885," $42,600.00",1," $42,600.00"
5409,Concrete,False,3,0,5,-58.05228689081879878,-29.79491326723270817," $42,600.00",8," $340,800.00"
7839,Wood,False,0,0,1,-58.83203695959680601,-27.46964919492775792," $28,800.00",6," $172,800.00"
112,Concrete,False,0,0,2,-58.51303672442237058,-27.37369043816030967," $42,600.00",6," $255,600.00"
9478,Concrete,False,0,0,2,-59.51493046785518004,-30.01487377829400316," $42,600.00",8," $340,800.00"
7936,Concrete,True,2,0,1,-59.52080393457756458,-29.99316580596894966," $42,600.00",6," $255,600.00"
4603,Bracket,False,0,1,1,-58.84087144201355102, -27.4728356863005807," $16,900.00",8," $135,200.00"
1018,Bracket,False,0,0,1,-58.81871124989243782,-27.52553744401702929," $16,900.00",5," $84,500.00"
185,Wood,True,2,0,2,-58.51164541135371167,-27.37252487442284021," $28,800.00",2," $57,600.00"
3559,Wood,False,3,0,0,-58.050210733537142 -,-29.78554860707483343," $28,800.00",8," $230,400.00"
6680,Concrete,True,0,0,2,-59.51511612349746372,-30.02716112107405877," $42,600.00",6," $255,600.00"
6792,Wood,False,0,0,6,-58.83624112210821266,-27.46979158367456364," $28,800.00",4," $115,200.00"
9394,Wood,False,0,0,6,-58.83009611348808221,-27.46408830260624612," $28,800.00",8," $230,400.00"
9983,Bracket,False,0,0,4,-58.82966678858873166,-27.46371752074081485," $16,900.00",1," $16,900.00"
3635,Concrete,True,0,0,0,-58.04626040057429748,-29.78952554825374577," $42,600.00",1," $42,600.00"
6851,Wood,False,0,0,5,-58.83481899406044136,-27.47085625610957749," $28,800.00",3," $86,400.00"
1445,Wood,False,0,0,0,-58.84671434478224228,-27.46789639236234848," $28,800.00",7," $201,600.00"
2115,Concrete,False,0,0,3,-58.50889992742791179,-27.36872947066912332," $42,600.00",2," $85,200.00"
7020,Bracket,False,3,0,0,-58.83381575986544476,-27.47536356871870922," $16,900.00",2," $33,800.00"
1070,Bracket,True,0,0,0,-58.81715386207180529,-27.52649263457246676," $16,900.00",7," $118,300.00"
2874,Concrete,True,3,0,0,-58.06900125711766236,-29.78037695342042923," $42,600.00",8," $340,800.00"
5648,Bracket,False,3,0,0,-58.05834715494208353,-29.79537344245827413," $16,900.00",3," $50,700.00"
4590,Wood,False,0,0,0,-58.84170310410188875,-27.47276014690120149," $28,800.00",2," $57,600.00"
8530,Wood,False,0,0,9,-58.83319115019838819, -27.4646434131510091," $28,800.00",4," $115,200.00"
6316,Wood,False,0,0,2,-58.83547981545026317,-27.46318272396179339," $28,800.00",8," $230,400.00"
1750,Bracket,False,0,0,7,-58.84426762703034086,-27.46905788578075303," $16,900.00",8," $135,200.00"
9362,Wood,False,0,0,3,-58.83112369363968241,-27.46278102904099683," $28,800.00",2," $57,600.00"
3215,Wood,False,0,0,2,-58.84146272901514152,-27.46557275654881991," $28,800.00",5," $144,000.00"
1036,Bracket,True,0,0,3,-58.81847471405801286,-27.52446003644826789," $16,900.00",5," $84,500.00"
4424,Concrete,False,5,0,1,-58.05802557953183651,-29.78840304106040549," $42,600.00",7," $298,200.00"
8899,Concrete,False,4,0,0,-59.52995708562772847,-30.02415822552979918," $42,600.00",6," $255,600.00"
1518,Bracket,False,0,0,0,-58.84342250672166585,-27.47389853579478469," $16,900.00",2," $33,800.00"
1456,Wood,False,0,0,0,-58.8445133224199779 ,-27.46803244382354592," $28,800.00",6," $172,800.00"
8251,Concrete,True,0,0,3,-59.52758999628958492, -30.0259272975858913," $42,600.00",4," $170,400.00"
2285,Concrete,True,2,0,4,-58.51667566802127851,-27.37532650449819727," $42,600.00",6," $255,600.00"
4937,Wood,False,5,0,0,-58.05365267662601525,-29.79322203541695302," $28,800.00",7," $201,600.00"
9547,Wood,False,0,0,4,-58.83156836782902133,-27.46666287861508948," $28,800.00",6," $172,800.00"
10409,Bracket,False,0,0,2,-58.82993074936241129,-27.47536164052881702," $16,900.00",1," $16,900.00"
6068,Wood,False,0,0,4,-58.83907938745358024,-27.47411898437394839," $28,800.00",1," $28,800.00"
8643,Wood,False,0,0,2,-58.8348718673605191 ,-27.46323447508867943," $28,800.00",8," $230,400.00"
6340,Wood,False,0,0,3,-58.83647517431089824,-27.46256234178339639," $28,800.00",3," $86,400.00"
5145,Concrete,False,4,0,5,-58.05820356010540451,1 -29.792017756991374," $42,600.00",8," $340,800.00"
4934,Wood,False,4,0,1,-58.05363361762253049,-29.79253129764013508," $28,800.00",5," $144,000.00"
5848,Concrete,False,3,0,1,-58.0508630948005333 ,-29.79855122616153196," $42,600.00",8," $340,800.00"
8602,Wood,False,0,0,1,-58.83383665875282986,-27.46273003859488426," $28,800.00",8," $230,400.00"
7003,Wood,False,0,0,3,-58.83522758687934839,-27.47517219390740451," $28,800.00",5," $144,000.00"
32,Bracket,True,0,0,0,-58.51106518530338718,-27.37352886334559088," $16,900.00",8," $135,200.00"
6273,Wood,False,0,0,5,-58.83958174786192785,-27.47483172331154577," $28,800.00",1," $28,800.00"
2100,Concrete,False,1,0,1,-58.51072497704944908,-27.36613349809431739," $42,600.00",7," $298,200.00"
8053,Wood,False,0,0,10,-58.83521520998473164,-27.46551547123713988," $28,800.00",5," $144,000.00"
6119,Concrete,False,5,0,0,-58.05544816935293539,-29.79835100821953731," $42,600.00",6," $255,600.00"
4990,Wood,False,4,0,0,-58.05592884289368527,-29.79053148050066113," $28,800.00",2," $57,600.00"
2232,Concrete,False,0,0,1,-58.51523701449059445,-27.37252475251284878," $42,600.00",6," $255,600.00"
5595,Wood,False,0,0,5,-58.05370433977798683,-29.79575504142171738," $28,800.00",3," $86,400.00"
6730,Concrete,False,2,0,0,-59.51602704062435123,-30.01878881379991171," $42,600.00",5," $213,000.00"
10082,Wood,False,0,0,1,-58.82923401357411564,-27.46606837867665618," $28,800.00",1," $28,800.00"
1374,Wood,False,0,0,5,-58.84550458074976831, -27.4682569515257704," $28,800.00",5," $144,000.00"
2152,Concrete,False,0,0,1,-58.50899660749612963,-27.36672617668876129," $42,600.00",7," $298,200.00"
6508,Concrete,False,2,0,0,-59.50977118196947657,-30.03298501237367901," $42,600.00",5," $213,000.00"
5123,Concrete,False,4,0,5,-58.05819049271868693, -29.7915929693738839," $42,600.00",5," $213,000.00"
3617,Concrete,True,0,0,1,-58.04562418179808958,-29.78721989468715137," $42,600.00",3," $127,800.00"
8858,Concrete,False,5,0,0,-59.52912741934251528,-30.02173374200957667," $42,600.00",4," $170,400.00"
8486,Concrete,False,0,0,1,-59.53212455767850741,-30.02873565388841826," $42,600.00",2," $85,200.00"
3553,Concrete,False,2,0,5,-58.04930855278336566,6 -29.785492117724921," $42,600.00",6," $255,600.00"
9722,Wood,False,0,0,5,-58.83158466811946141,-27.47024550244792707," $28,800.00",2," $57,600.00"
4202,Wood,True,5,0,5,-58.05168160709543201,-29.78936130397158166," $28,800.00",2," $57,600.00"
1128,Bracket,True,0,0,0,-58.81600889772085594,-27.52611966698928825," $16,900.00",4," $67,600.00"
2830,Concrete,True,3,0,2,-58.0623222875956273 ,-29.78045711890340641," $42,600.00",2," $85,200.00"
7404,Bracket,False,0,0,0,-59.52148219345836111,-30.02410356053550444," $16,900.00",2," $33,800.00"
2758,Concrete,True,3,0,0,-58.05809090413536211,-29.78268944294840992," $42,600.00",8," $340,800.00"
4579,Wood,False,0,0,2,-58.84180226438102324,-27.47168643888560169," $28,800.00",5," $144,000.00"
2597,Concrete,True,0,0,1,-58.51030597440855985,-27.38266058958180693," $42,600.00",8," $340,800.00"
2949,Concrete,True,0,0,0,-58.0656770822714563 ,-29.78484590982826319," $42,600.00",2," $85,200.00"
1271,Wood,False,0,0,3,-58.84707818238562993,-27.47233021400399622," $28,800.00",8," $230,400.00"
9697,Wood,False,0,0,0,-58.83070837080146021,-27.47070161317746084," $28,800.00",2," $57,600.00"
9361,Wood,False,0,0,5,-58.83114841971087117,-27.46301096552491927," $28,800.00",5," $144,000.00"
9538,Wood,False,0,0,2,-58.83141963819640807,-27.46541371298439671," $28,800.00",6," $172,800.00"
5020,Iron,True,2,0,0,-58.05804025659628564, -29.7911037763937685," $62,000.00",3," $186,000.00"
7729,Concrete,False,2,0,0,-59.52472055704617304,-30.02544485659219831," $42,600.00",6," $255,600.00"
8363,Concrete,False,0,0,2,-59.53037939884094243,-30.02766135971109307," $42,600.00",4," $170,400.00"
6717,Concrete,False,2,0,0,-59.51695494827665556,-30.02055381811630141," $42,600.00",4," $170,400.00"
1594,Bracket,False,1,0,0,-58.84435346037687253,-27.47377699365564041," $16,900.00",4," $67,600.00"
160,Concrete,False,0,0,2,-58.51086520102225563,-27.37008131353401552," $42,600.00",2," $85,200.00"
7388,Concrete,True,0,0,5,-59.52095942972552933,-30.02381739097365454," $42,600.00",2," $85,200.00"
8531,Wood,False,0,0,5,-58.83286937750040124,-27.46467697201248725," $28,800.00",2," $57,600.00"
8624,Wood,False,0,0,1,-58.8325616936877438 ,-27.46306321624391344," $28,800.00",1," $28,800.00"
2643,Concrete,True,2,0,1,-58.51184140341103301,-27.38351959356700149," $42,600.00",1," $42,600.00"
