AccountID,MovementID,Date,Amount,Client,Subclient,Administrator,Voided,New Payment,Branch,Sub status,Corrected date,Subestado2
32368529,3.069.979,14/04/2022,"$3.200,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,mluna,N,N,JUJUY,WITH AGREEMENT,14/4/2022,
32254594,3.069.639,13/04/2022,"$3.075,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,valid92,N,N,SANTIAGO DEL ESTERO,CANCELLED,13/4/2022,
32368406,3.067.644,06/04/2022,"$3.061,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pvictor,N,N,BUENOS AIRES,WITH AGREEMENT,6/4/2022,
32988643,3.068.111,07/04/2022,"$3.000,00",BANCO COMAFI FRED,CARTERA COMAFI,mvallejo,N,N,BUENOS AIRES,PARTIAL PAYMENTS,7/4/2022,
32437629,3.067.354,06/04/2022,"$2.900,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rrodriguez,N,N,SANTIAGO DEL ESTERO,WITH AGREEMENT,6/4/2022,
32565287,3.068.541,08/04/2022,"$2.600,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pramirez,N,N,CHACO,WITH AGREEMENT,8/4/2022,
32272238,3.068.167,08/04/2022,"$2.539,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,valid22,N,N,BUENOS AIRES,WITH AGREEMENT,8/4/2022,
32331942,3.068.543,08/04/2022,"$2.500,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,valid92,N,N,MENDOZA,WITH AGREEMENT,8/4/2022,
32387796,0,08/04/2022,"$2.500,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 2DA,mluna,N,N,TUCUMAN,WITH AGREEMENT,8/4/2022,
32994919,3.068.549,08/04/2022,"$2.399,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rdiaz,N,S,SAN LUIS,COMPROMISED,8/4/2022,
32470096,3.067.351,06/04/2022,"$2.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pvictor,N,N,BUENOS AIRES,WITH AGREEMENT,6/4/2022,
32359761,0,08/04/2022,"$1.800,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 2DA,ahermosilla,N,N,BUENOS AIRES,WITH AGREEMENT,8/4/2022,
32983034,3.067.645,06/04/2022,"$1.590,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,nalzogaray,N,S,MISIONES,CANCELLED,6/4/2022,
31049702,3.068.152,07/04/2022,"$1.500,00",BANCO COMAFI FRED,BCO COMAFI - FIDEICOMISO CREVAL JUDICIAL,mcainzo,N,N,TUCUMAN,CANCELLED,7/4/2022,
32287799,3.069.635,13/04/2022,"$1.500,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,njuri,N,N,BUENOS AIRES,WITH AGREEMENT,13/4/2022,
32953907,0,05/04/2022,"$1.480,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,fbernales,N,S,SALTA,CANCELLED,5/4/2022,
