Shop,Supplier,Date,Invoice Number,Supply,Quantity,Unit Price,Price,Tag
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,VINAGRE CASALTA ALCOHOL X 1 LT,3,"115,843","420,51009",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,PAN SUPER PANCHO ALKOPAN X 12U,2,"378,7175","916,49635",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,MANTECA 1 PREMIO PILON X 2.5 KG,1,"2182,5015","2640,826815",Lacteos
CDLM 1,Gra-Me Srl (1838 - GRA-ME SRL),02/01/2023,0041-00001059,SUPREMA 20KG SOYCHU,2,"12941,176","28599,99896",Pollo
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,BROWNIES EXQUISITA X 425 GR,4,"284,015","1374,6326",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,CREMA LECHE SANTA MARIA X 2.5 LTS,1,"1875,091","2268,86011",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,PREPIZZA VENEZIANA  X 2 UN,4,"198,36","960,0624",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,PAÑO AMARILLO PISO VIRULANA,2,"229,6815","555,82923",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,ESPONJA CUADRICULADA MORTIMER,2,"56,715","137,2503",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,AYUDIN CLASICA LAVANDINA X 2 LT,2,"222,585","538,6557",Limpieza
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,GALLETAS MELBA X 120 G,2,"74,1095","179,34499",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,ATUN CARACAS ENTERO ACE X 170G,2,"363,4035","879,43647",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,MASA PASCUALINA LA ITALIANA HOJALDRE,4,"190,551","922,26684",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,VIENA PANCHERA FRIAR X 12 UNI,2,"457,197","1106,41674",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,ROQUEFORT LA QUESERA EN MITAD,"1,2","1324,927","1923,794004",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,COCA COLA BOT X 500ML,4,"28,6805","138,81362",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,PROVOLONE MANJAR BLANCO,"7,8","1264,7065","11936,299947",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,BOBINAS ECCO X 2 U BLANCA X 300 MT,1,"2649,645","3206,07045",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,LYSOFORM AER LAVANDA X 495 ML,2,"334,552","809,61584",Almacen
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,CIBULLET - ATADO,5,60,300,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,CHAMPIÑION - BANDEJA,1,1300,1300,Verduleria
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,PLUMERO DUCANITO N°30|,1,"1511,0225","1828,337225",Limpieza
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,AZUCAR INDIVIDUAL LEDESMA X 800 SOBRES,1,"1590,357","1924,33197",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,AZUCAR LEDESMA X 1 KG,10,"190,97","2310,737",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,LECHE ILOLAY L VIDA 1 LT ENTERA,12,"144,1236","2092,674672",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,REJILLA MALAMO ART 11020,5,"55,4895","335,711475",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,SAL DOS ANCLAS FINA CAJA X 500 GR,4,"78,2705","378,82922",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,JUGO CITRIC X 5 LT NARANJA,2,"1254,076","3034,86392",Almacen
CDLM 6,Red Deer S.R.L. (2018 - FIAMBRES LUVIANKA),02/01/2023,0002-00062645,PANCETA AHUMADA LUVIANKA,"163,2","1368,5041","256729,17955344",Quesos y Fiambres
CDLM 6,Red Deer S.R.L. (2018 - FIAMBRES LUVIANKA),02/01/2023,0002-00062645,FIAMBRE DE PALETA 295 RECTANGULAR 295,164,"677,9339","134529,203116",Quesos y Fiambres
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,LIMON - BOLSA,1,2700,2700,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,LECHUGA  - CAJÓN,2,1600,3200,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,CEBOLLA MORADA - BOLSA,1,2400,2400,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,RUCULA  - CAJÓN,2,1000,2000,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,PAPA - BOLSA,2,2700,5400,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,CEBOLLON - BOLSA,2,2600,5200,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,PIMIENTO ROJO - KILO,5,250,1250,Verduleria
CDLM 3,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0002-02012023,ZANAHORIA - BOLSA,2,800,1600,Verduleria
CDLM 3,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0002-02012023,RUCULA  - CAJÓN,2,1000,2000,Verduleria
CDLM 5,Papelera Brenard Srl (2581 - PAPELERA BRENARD),02/01/2023,0005-00000406,BANDEJA ENTRADA,3300,"8,33","33261,69",Descartables
CDLM 6,Bartol Ariel Alejandro (2492 - BARTOL  ARIEL ALEJANDRO),02/01/2023,0002-00002347,MAPLES DE HUEVO,60,"545,6","39610,56",Almacen
CDLM 5,Papelera Brenard Srl (2581 - PAPELERA BRENARD),02/01/2023,0005-00000406,BANDEJA CDM,3840,"9,8","45534,72",Descartables
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,PREPIZZA LAURENTI X 2UN,4,"187,435","907,1854",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,REJILLA MALAMO ART 11020,5,"55,4895","335,711475",Almacen
La Embajada,Obras Sanitarias S.E. (2463 - OSSE),02/01/2023,0001-09029304,IMPORTE BASICO,1,"4818,26","5830,0946",Servicios
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,ROQUEFORT LA QUESERA EN MITAD,"1,15","1324,927","1843,6359205",Almacen
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0004-02012023,ZAPALLO COREANO - BOLSA,2,1500,3000,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0004-02012023,PEPINO - KG,1,250,250,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0004-02012023,TOMATE  - CAJÓN,1,3200,3200,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0004-02012023,MENTA - ATADO,4,80,320,Verduleria
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,LECHE ILOLAY L VIDA 1 LT ENTERA,12,"160,069","2324,20188",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,MANTECA 1 PREMIO PILON X 2.5 KG,1,"2182,5015","2640,826815",Lacteos
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,VARIEDAD NUEVO MIX X 590 GR,3,"374,6515","1359,984945",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,JUGO LIMON MINERVA X 1 LT,24,"309,5271","8988,666984",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,PROVOLONE MANJAR BLANCO,"7,3","1264,7065","11171,1525145",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,PRE PIZZA DIALECTO X 2 UN,4,"184,6515","893,71326",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,PIM. MORRONES CARACAS X 793 GR,2,"728,1085","1762,02257",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,ARVEJAS INALPA X 350 GRS,3,"61,788","224,29044",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,BOBINAS ECCO X 2 U BLANCA X 300 MT,1,"2649,645","3206,07045",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,VINAGRE CASALTA ALCOHOL X 1 LT,3,"115,843","420,51009",Almacen
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0004-02012023,NARANJA - KILOS,1,250,250,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0004-02012023,RUCULA  - CAJÓN,1,1000,1000,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0004-02012023,ZANAHORIA - BOLSA,2,800,1600,Verduleria
CDLM 4,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0004-02012023,PAPA - BOLSA,2,2700,5400,Verduleria
CDLM 3,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0002-02012023,PEREJIL - ATADO,10,50,500,Verduleria
CDLM 3,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0002-02012023,ZAPALLO COREANO - BOLSA,2,1500,3000,Verduleria
CDLM 3,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0002-02012023,TOMATE  - CAJÓN,2,3200,6400,Verduleria
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,ESPONJA DEA CUADRICULADA GRANDE PL,2,"96,957","234,63594",Limpieza
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,MAGISTRAL LIMON M POWER 750 ML,5,"553,8101","3350,551105",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,JUGO CITRIC X 5 LT NARANJA,2,"1254,076","3034,86392",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,AZUCAR LEDESMA X 1 KG,10,"190,97","2310,737",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,MASA PASCUALINA LA ITALIANA HOJALDRE,4,"190,551","922,26684",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,ATUN CARACAS ENTERO ACE X 170G,2,"363,4035","879,43647",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,GLADE AUTOMATIC PARAISO AZUL X 175,1,"569,392","688,96432",Limpieza
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,REJILLA PABILO VALENA,5,"77,748","470,3754",Limpieza
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,PAÑO AMARILLO PISO VIRULANA,2,"229,6815","555,82923",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,AYUDIN CLASICA LAVANDINA X 2 LT,2,"222,585","538,6557",Limpieza
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,CREMA LECHE SANTA MARIA X 2.5 LTS,1,"1875,091","2268,86011",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,PLUMERO DUCANITO N°30|,1,"1511,0225","1828,337225",Limpieza
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,MIX DE SEMILLAS CROCANTE MARVESE,4,"173,7265","767,87113",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,SAL DOS ANCLAS FINA CAJA X 500 GR,4,"78,2705","378,82922",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,PAÑO AMARILLO PISO VIRULANA,2,"229,6815","555,82923",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,COCA COLA BOT X 500ML,4,"28,6805","138,81362",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,VIENA PANCHERA FRIAR X 12 UNI,2,"457,197","1106,41674",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,MASA PASCUALINA LA ITALIANA HOJALDRE,4,"190,551","922,26684",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,VIENA PANCHERA FRIAR X 12 UNI,1,"457,197","553,20837",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,VIENA PANCHERA FRIAR X 12 UNI,1,"457,197","553,20837",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,ROQUEFORT LA QUESERA EN MITAD,"1,2","1324,927","1923,794004",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,AZUCAR INDIVIDUAL LEDESMA X 800 SOBRES,1,"1590,357","1924,33197",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,PAÑO DE PISO COSTERO 55 X 50 CM BLANCO,10,"216,733","2622,4693",Limpieza
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,BROWNIES EXQUISITA X 425 GR,4,"284,015","1374,6326",Almacen
CDLM 3,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0002-02012023,CEBOLLA DE VERDEO - FARDO,6,250,1500,Verduleria
CDLM 6,Gaston Horacio Cuillieri Arenas (2482 - GASTON ARENAS),02/01/2023,0006-00001064,PAN DE HAMBUERGUESA X9,63,110,6930,Panaderia
CDLM 3,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0002-02012023,NARANJA - KILOS,2,250,500,Verduleria
CDLM 1,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0001-02012023,CAJON DE HUEVO,21,3500,73500,Verduleria
CDLM 3,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0002-02012023,ALBAHACA CAJON,1,1300,1300,Verduleria
CDLM 5,Papelera Brenard Srl (2581 - PAPELERA BRENARD),02/01/2023,0005-00000406,BANDEJA ENSALADERA,1600,"10,29","19921,44",Descartables
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,MANTECA 1 PREMIO PILON X 2.5 KG,1,"2182,5015","2640,826815",Lacteos
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,COCA COLA S/AZUCAR BOT X 500 ML,2,"28,6805","69,40681",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,TE GREEN HILLS X 50 SAQ. ENSOBRADO,1,"237,728","287,65088",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,ESPONJA CUADRADITOS VIRULANA,2,"61,978","149,98676",Limpieza
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,DULCE LECHE ILOLAY X 1 KG CLASICO,1,"647,8715","783,924515",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,ARVEJAS INALPA X 350 GRS,3,"61,788","224,29044",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,JUGO LIMON MINERVA X 1 LT,24,"309,5271","8988,666984",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,KETCHUP HELLMANS X 3000 GR,1,"1380,616","1670,54536",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,VINAGRE CASALTA ALCOHOL X 1 LT,3,"115,843","420,51009",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,PROVOLONE MANJAR BLANCO,"7,58","1264,7065","11599,6350767",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,PIM. MORRONES CARACAS X 793 GR,2,"728,1085","1762,02257",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,LYSOFORM AER LAVANDA X 495 ML,2,"334,552","809,61584",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,BOBINAS ECCO X 2 U BLANCA X 300 MT,1,"2649,645","3206,07045",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,VARIEDAD NUEVO MIX X 590 GR,3,"374,6515","1359,984945",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,MAGISTRAL ULTRA MARINA 750 ML,5,"553,8101","3350,551105",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,ANILLOS TIA MARUCA DE COCO X 250 GR,4,"110,409","534,37956",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,PAN SUPER PANCHO ALKOPAN X 12U,2,"378,7175","916,49635",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,DULCE LECHE ILOLAY X 1 KG CLASICO,1,"647,8715","783,924515",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,KETCHUP HELLMANS X 3000 GR,1,"1380,616","1670,54536",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,LYSOFORM AER LAVANDA X 495 ML,2,"334,552","809,61584",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,COCA COLA S/AZUCAR BOT X 500 ML,6,"28,6805","208,22043",Almacen
CDLM 4,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0166-00020986,TE GREEN HILLS X 50 SAQ. ENSOBRADO,1,"237,728","287,65088",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,TOSTADAS RIERA LIGHT  X 200 G,3,"154,3845","560,415735",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,MIX SEMILLAS NATURAL MARVESE,4,"115,44","510,2448",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,AZUCAR INDIVIDUAL LEDESMA X 800 SOBRES,1,"1590,357","1924,33197",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,AYUDIN CLASICA LAVANDINA X 2 LT,2,"222,585","538,6557",Limpieza
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,PLUMERO DUCANITO N°30|,1,"1511,0225","1828,337225",Limpieza
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,PAÑO DE PISO COSTERO SEMI PROF. 101,11,"140,296","1867,33976",Limpieza
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,GLADE AUTOMATIC PARAISO AZUL X 175,1,"569,392","688,96432",Limpieza
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,ATUN CARACAS ENTERO ACE X 170G,2,"363,4035","879,43647",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,SAL DOS ANCLAS FINA CAJA X 500 GR,4,"78,2705","378,82922",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,JUGO CITRIC X 5 LT NARANJA,2,"1254,076","3034,86392",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,LECHE ILOLAY L VIDA 1 LT ENTERA,12,"144,1236","2092,674672",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,AZUCAR LEDESMA X 1 KG,10,"190,97","2310,737",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,GALLETAS MELBA X 120 G,2,"74,1095","179,34499",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,CREMA LECHE SANTA MARIA X 2.5 LTS,1,"1875,091","2268,86011",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,BROWNIES EXQUISITA X 425 GR,4,"284,015","1374,6326",Almacen
CDLM 3,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0168-00013401,PAN DE SUPER PANCHO ALKOPAN X12,2,"378,7175","916,49635",Almacen
CDLM 3,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0002-02012023,PAPA - BOLSA,3,2700,8100,Verduleria
CDLM 3,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0002-02012023,PIMIENTO ROJO - KILO,5,250,1250,Verduleria
CDLM 3,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0002-02012023,POMELO - KILO,1,500,500,Verduleria
CDLM 3,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0002-02012023,CEBOLLON - BOLSA,2,2600,5200,Verduleria
