,Transaction ID,Date,Product Type,Quantity,Unit Price,Total Amount,Unit Capital,Total Capital,Unit Profit,Total Profit,Notes
,2022CC054,"Tuesday, 25 January 2022",Kid's Wear,28,₱25.00,₱700.00,₱13.00,₱364.00,₱12.00,₱336.00,
,2022CC055,"Tuesday, 25 January 2022",Customized Notepad,5,₱20.00,₱100.00,₱12.00,₱60.00,₱8.00,₱40.00,50 Pages
,2022CC056,"Wednesday, 26 January 2022",Ladies Tshirt,15,₱20.00,₱300.00,₱12.00,₱180.00,₱8.00,₱120.00,
,2022CC057,"Wednesday, 26 January 2022",Electronics (Laptop),1,"₱6,000.00","₱6,000.00","₱4,000.00","₱4,000.00","₱2,000.00","₱2,000.00",Dell Chromebook
,2022CC058,"Wednesday, 26 January 2022",Ladies Tshirt,26,₱20.00,₱520.00,₱12.00,₱312.00,₱8.00,₱208.00,
,2022CC059,"Friday, 28 January 2022",Customized Receipt,5,₱20.00,₱100.00,₱12.00,₱60.00,₱8.00,₱40.00,50 Pages
,2022CC060,"Friday, 28 January 2022",Ladies Tshirt,33,₱20.00,₱660.00,₱12.00,₱396.00,₱8.00,₱264.00,
,2022CC061,"Friday, 28 January 2022",Ladies Tshirt,12,₱20.00,₱240.00,₱12.00,₱144.00,₱8.00,₱96.00,
,2022CC062,"Friday, 28 January 2022",Cosmetics,5,₱70.00,₱350.00,₱35.00,₱175.00,₱35.00,₱175.00,
,2022CC063,"Sunday, 30 January 2022",Kid's Wear,15,₱25.00,₱375.00,₱13.00,₱195.00,₱12.00,₱180.00,
,2022CC064,"Sunday, 30 January 2022",Kid's Wear,22,₱25.00,₱550.00,₱13.00,₱286.00,₱12.00,₱264.00,
,2022CC065,"Sunday, 30 January 2022",Kid's Wear,34,₱25.00,₱850.00,₱13.00,₱442.00,₱12.00,₱408.00,
TOTAL SALES,,,,,,"₱40,050.00",,"₱23,406.00","₱9,902.00","₱16,644.00",
