inflation adjustment affects,account code,alternative account code,account name,disabling date ,enabled,enablement date,account ID,ID information,assets,credit,debits,liability ,net loss,net income,credit balance,opening credit balance,debit balance,opening debit balance,usual balance,account type,use accounting assistants,use additional unit
No,1.01.01.02.009,,Galicia Bank,,Yes,,545,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.01.02.010,,Dollar City bank,,Yes,,557,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.02.01.001,,Diverse debtors,,Yes,,372,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},126931231.72,41488294.97,168419526.69,0.00,0.00,0.00,0.00,0.00,126931231.72,0.00,debtor,non-monetary,No,Yes
No,1.01.02.01.002,,advance to creditors,,Yes,,373,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.02.01.003,,Rejected third party checks,,Yes,,548,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},1245995.79,149440.60,1395436.39,0.00,0.00,0.00,0.00,0.00,1245995.79,0.00,debtor,non-monetary,No,No
No,1.01.03.01.001,,Cash 001,,Yes,,374,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.03.01.002,,Cash 002,,Yes,,375,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.03.01.003,,Contributions Pending Integration,,Yes,,376,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.03.03.000,,Other accounts receivable,,Yes,,377,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.03.04.000,,Barlasina account 01,,Yes,,378,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.03.05.000,,Supplier client compensation,,Yes,,551,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.04.00.001,,VAT tax credit,,Yes,,379,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},22976272.88,2060237.72,25036510.60,0.00,0.00,0.00,0.00,0.00,22976272.88,0.00,debtor,non-monetary,No,No
No,1.01.04.00.002,,VAT Balance in Favor 1st Paragraph,,Yes,,380,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.04.00.003,,VAT Balance in Favor 2st Paragraph,,Yes,,381,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.04.00.004,,VAT Withholding-Perception 01,,Yes,,382,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},42323.12,0.00,42323.12,0.00,0.00,0.00,0.00,0.00,42323.12,0.00,debtor,non-monetary,No,No
No,1.01.04.00.005,,VAT Withholding-Perception 02,,Yes,,383,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},33276.38,0.00,33276.38,0.00,0.00,0.00,0.00,0.00,33276.38,0.00,debtor,non-monetary,No,No
No,1.01.04.00.006,,Earnings retention,,Yes,,384,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.04.00.007,,Tax Advance on Earnings,,Yes,,385,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.04.00.008,,Bank Credit-Debit Taxes,,Yes,,386,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.04.00.009,,Fuel taxes,,Yes,,387,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.04.00.010,,Suss Withholdings,,Yes,,388,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.04.00.011,,Advance Minimum Earnings Budget,,Yes,,389,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.04.00.012,,Balance in Favor Gross Income,,Yes,,390,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.04.00.013,,Balance in favor Income tax,,Yes,,391,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.04.00.014,,VAT Deferred Tax Credit,,Yes,,392,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.05.01.001,,Agrochemicals,,Yes,,393,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.05.01.002,,Tax authorities,,Yes,,394,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.05.02.001,,Corn Seed,,Yes,,395,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.05.02.002,,Soybean field,,Yes,,396,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.05.03.001,,Corn Grains,,Yes,,397,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.05.03.002,,Soybeans,,Yes,,398,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.06.00.001,,Santander Common Investment Fund,,Yes,,399,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.06.00.002,,French Investment Common Fund,,Yes,,400,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.06.00.003,,SYC investments SA DOLLARS,,Yes,,555,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.06.00.004,,SYC investments SA PESOS,,Yes,,556,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.01.01.000,,Financial Placements,,Yes,,401,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.02.01.001,,Properties Original Values,,Yes,,402,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.02.01.002,,Real Estate Updates,,Yes,,403,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.02.01.003,,Accumulated Real Estate Amortizations,,Yes,,404,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.02.02.001,,Machinery Origin Values,,Yes,,405,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},5950.41,0.00,5950.41,0.00,0.00,0.00,0.00,0.00,5950.41,0.00,debtor,non-monetary,No,No
No,1.02.02.02.002,,Machinery Updates,,Yes,,406,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.02.02.003,,Accumulated Depreciation of Machinery,,Yes,,407,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.02.03.001,,Furniture and Supplies Values of Origin,,Yes,,408,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},7580.54,0.00,7580.54,0.00,0.00,0.00,0.00,0.00,7580.54,0.00,debtor,non-monetary,No,No
No,1.02.02.03.002,,Furniture and Supplies Update,,Yes,,409,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.02.03.003,,Accumulated Amortization of Furniture and Supplies,,Yes,,410,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.02.04.002,,Rolled Updates,,Yes,,412,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},32000.00,0.00,32000.00,0.00,0.00,0.00,0.00,0.00,32000.00,0.00,debtor,non-monetary,No,No
No,1.02.02.04.003,,Accumulated amortizations rolled,,Yes,,413,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.02.05.002,,Accumulated Amortization Facilities,,Yes,,415,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.02.08.001,,Work progress,,Yes,,416,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},825116.45,28451.22,853567.67,0.00,0.00,0.00,0.00,0.00,825116.45,0.00,debtor,non-monetary,No,No
No,1.02.02.08.002,,Work progress Accumulated Amortization,,Yes,,417,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.03.00.001,,Trademarks and Patents Original Value,,Yes,,418,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.03.00.002,,Trademarks and Patents Update,,Yes,,419,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.02.03.00.003,,Trademarks and Patents Accumulated Amortization,,Yes,,420,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.11.01.01.000,,Cash 01,,Yes,,1,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.01.01.001,,Various Suppliers,,Yes,,421,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,156152103.07,12320891.62,143831211.45,0.00,0.00,143831211.45,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.01.01.002,,Rent to pay,,Yes,,422,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.01.01.003,,Ing Santander Pending checks ,,Yes,,423,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.01.01.004,,Barlasina rural card,,Yes,,424,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.01.01.005,,Ing Frances Check pending ,,Yes,,425,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.01.01.006,,Ing City Pending check ,,Yes,,426,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.01.01.007,,Advance Debtors for sale,,Yes,,427,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.01.01.008,,Galicia Bank Pending check,,Yes,,544,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.02.00.001,,Salaries and Wages to Pay,,Yes,,428,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.03.00.001,,Social Security Contribution to Pay,,Yes,,429,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.03.00.002,,Social Work Contribution to Pay,,Yes,,430,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.03.00.003,,ART to Pay,,Yes,,431,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.03.00.004,,Life Insurance to Pay,,Yes,,432,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.03.00.005,,RNGT supplier to pay,,Yes,,433,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.03.00.006,,Union to pay,,Yes,,434,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.04.00.001,,TAXES TO PAY,,Yes,,435,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.04.00.002,,Tax on Gross Income payable,,Yes,,436,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.04.00.003,,Tax on Profits payable,,Yes,,437,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.04.00.004,,Earnings Tax payable,,Yes,,438,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.04.00.005,,Sicore to pay,,Yes,,439,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.04.00.006,,Municipality to Pay,,Yes,,440,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.04.00.007,,Collection of VAT payable,,Yes,,441,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,8834.86,0.00,8834.86,0.00,0.00,8834.86,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.04.00.008,,VAT Tax Debit,,Yes,,442,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,23771986.22,4675744.40,19096241.82,0.00,0.00,19096241.82,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.04.00.009,,VAT to pay,,Yes,,443,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.04.00.010,,DGR payment plan,,Yes,,542,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.05.00.001,,City bank Loan,,Yes,,444,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.05.00.002,,Patagonia bank to pay,,Yes,,445,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.05.00.003,,French Bank 02,,Yes,,446,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.05.00.004,,National Bank,,Yes,,447,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.05.00.005,,Supervielle Bank,,Yes,,448,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.06.00.001,,Fees to pay,,Yes,,449,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.06.00.002,,Directors Fees payable,,Yes,,450,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.01.06.00.003,,Interest to pay,,Yes,,546,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,2.02.01.00.001,,Moratoriums,,Yes,,451,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,3.01.01.00.001,,Subscribed Capital,,Yes,,452,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,3.01.01.00.002,,Capital Adjustment,,Yes,,453,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,3.02.00.00.001,,Legal Reserve,,Yes,,454,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,3.02.00.00.002,,Optional reservation,,Yes,,455,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,3.03.00.00.001,,Result of the excersice,,Yes,,456,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,3.03.00.00.002,,Result of previous years,,Yes,,457,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.01.001,,Agrochemical Sales,,Yes,,458,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,83817359.35,6969863.08,0.00,0.00,76847496.27,76847496.27,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.01.002,,Seed Sales,,Yes,,459,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,21073084.50,7121191.04,0.00,0.00,13951893.46,13951893.46,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.01.003,,Estate Sale,,Yes,,460,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,28445289.59,22450439.70,0.00,0.00,5994849.89,5994849.89,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.01.004,,Soybean Sale,,Yes,,461,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,921848.55,0.00,0.00,0.00,921848.55,921848.55,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.01.005,,FEES PROVIDED,,Yes,,462,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,207213.59,572.30,0.00,0.00,206641.29,206641.29,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.01.006,,Sale of Corn Grain,,Yes,,463,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,6525660.14,0.00,0.00,0.00,6525660.14,6525660.14,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.01.007,,Sale of Peanut Grain,,Yes,,549,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,493732.98,0.00,0.00,0.00,493732.98,493732.98,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.02.001,,Discounts Obtained,,Yes,,464,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,163702.29,0.00,0.00,0.00,163702.29,163702.29,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.02.002,,Wheeled Sale,,Yes,,465,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.02.003,,Vehicle Sale Result,,Yes,,466,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,269683.25,0.00,0.00,0.00,269683.25,269683.25,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.02.004,,Earned interests,,Yes,,467,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,1094626.29,0.00,0.00,0.00,1094626.29,1094626.29,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.02.005,,Machinery Sale,,Yes,,468,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.02.006,,Machinery Sale Result,,Yes,,469,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.02.007,,Leases Income,,Yes,,470,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.02.008,,Tax Recovery,,Yes,,471,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,4.01.01.02.009,,FCI City Sale Result,,Yes,,472,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
